,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Port Macquarie,844.0,912.0,21.0,48.1,51.9,--,13246
Lake Innes,3.0,5.0,31.0,37.5,62.5,--,12251
Fernbank Creek,8.0,0.0,32.0,100.0,0.0,--,11505
North Shore (NSW),12.0,4.0,24.0,75.0,25.0,--,13006
Telegraph Point,14.0,9.0,25.0,60.9,39.1,--,13781
Blackmans Point,3.0,3.0,50.0,50.0,50.0,--,10395
Cooperabung,7.0,3.0,24.0,70.0,30.0,--,11046
Rollands Plains,4.0,0.0,61.0,100.0,0.0,--,13392
Pembrooke,0.0,5.0,28.0,0.0,100.0,--,13180
Mortons Creek,3.0,4.0,41.0,42.9,57.1,--,12731
Ellenborough,6.0,3.0,28.0,66.7,33.3,--,11401
Wauchope,239.0,272.0,16.0,46.8,53.2,--,14197
Rosewood (Port Macquarie-Hastings - NSW),3.0,0.0,24.0,100.0,0.0,--,13414
Beechwood,18.0,22.0,19.0,45.0,55.0,--,10248
Redbank (NSW),3.0,10.0,34.0,23.1,76.9,--,13336
Crosslands,21.0,14.0,14.0,60.0,40.0,--,11127
King Creek,18.0,21.0,25.0,46.2,53.8,--,12145
Sancrox,0.0,3.0,24.0,0.0,100.0,--,13471
Gloucester,129.0,152.0,24.0,45.9,54.1,--,11685
Craven,4.0,0.0,50.0,100.0,0.0,--,11107
Stratford (NSW),10.0,9.0,40.0,52.6,47.4,--,13672
Barrington (NSW),17.0,18.0,38.0,48.6,51.4,--,10216
Diamond Beach,18.0,27.0,16.0,40.0,60.0,--,11251
Manning Point,5.0,4.0,53.0,55.6,44.4,--,12478
Mitchells Island,4.0,8.0,16.0,33.3,66.7,--,12652
Oxley Island,5.0,7.0,27.0,41.7,58.3,--,13109
Old Bar,125.0,117.0,18.0,51.7,48.3,--,13073
Black Head,13.0,3.0,48.0,81.2,18.8,--,10384
Red Head,6.0,16.0,12.0,27.3,72.7,--,13329
Rainbow Flat,10.0,11.0,38.0,47.6,52.4,--,13305
Hallidays Point,3.0,0.0,63.0,100.0,0.0,--,11832
Wallabi Point,16.0,8.0,13.0,66.7,33.3,--,14099
Tallwoods Village,4.0,6.0,26.0,40.0,60.0,--,13737
Taree,845.0,880.0,19.0,49.0,51.0,--,13764
Cundletown,44.0,58.0,16.0,43.1,56.9,--,11161
Taree South,12.0,10.0,31.0,54.5,45.5,--,13765
Pampoolah,12.0,9.0,21.0,57.1,42.9,--,13142
Glenthorne,3.0,4.0,47.0,42.9,57.1,--,11680
Tinonee,22.0,27.0,37.0,44.9,55.1,--,13876
Harrington,48.0,60.0,34.0,44.4,55.6,--,11858
Wherrol Flat,9.0,0.0,11.0,100.0,0.0,--,14271
Coopernook,12.0,21.0,17.0,36.4,63.6,--,11047
Moorland (NSW),11.0,16.0,16.0,40.7,59.3,--,12714
Upper Lansdowne,6.0,5.0,47.0,54.5,45.5,--,14033
Lansdowne (Mid-Coast - NSW),22.0,17.0,20.0,56.4,43.6,--,12273
Kundle Kundle,7.0,7.0,10.0,50.0,50.0,--,12211
Cedar Party,12.0,12.0,12.0,50.0,50.0,--,10870
Marlee,14.0,9.0,18.0,60.9,39.1,--,12494
Elands,4.0,11.0,21.0,26.7,73.3,--,11388
Mount George (NSW),3.0,3.0,41.0,50.0,50.0,--,12761
Burrell Creek,5.0,4.0,14.0,55.6,44.4,--,10709
Mondrook,8.0,12.0,19.0,40.0,60.0,--,12676
Hillville,15.0,15.0,21.0,50.0,50.0,--,11913
Krambach,8.0,0.0,39.0,100.0,0.0,--,12202
Dyers Crossing,7.0,11.0,28.0,38.9,61.1,--,11338
Firefly,9.0,0.0,35.0,100.0,0.0,--,11521
Coralville,0.0,6.0,45.0,0.0,100.0,--,11064
Wingham,156.0,157.0,17.0,49.8,50.2,--,14332
Thurgoona,93.0,75.0,19.0,55.4,44.6,--,13856
East Albury,46.0,69.0,22.0,40.0,60.0,--,11344
North Albury,116.0,130.0,19.0,47.2,52.8,--,12977
Lavington,222.0,225.0,21.0,49.7,50.3,--,12287
Glenroy (Albury - NSW),21.0,13.0,25.0,61.8,38.2,--,11678
Hamilton Valley,14.0,12.0,16.0,53.8,46.2,--,11842
Albury,25.0,25.0,24.0,50.0,50.0,--,10027
South Albury,25.0,16.0,26.0,61.0,39.0,--,13573
West Albury,66.0,90.0,16.0,42.3,57.7,--,14239
Splitters Creek,7.0,3.0,22.0,70.0,30.0,--,13610
Jindera,34.0,29.0,15.0,54.0,46.0,--,12032
Holbrook,17.0,30.0,15.0,36.2,63.8,--,11920
Table Top,3.0,3.0,39.0,50.0,50.0,--,13722
Gerogery,18.0,14.0,15.0,56.2,43.8,--,11605
Brocklesby,3.0,0.0,10.0,100.0,0.0,--,10584
Burrumbuttock,10.0,3.0,10.0,76.9,23.1,--,10716
Culcairn,33.0,29.0,14.0,53.2,46.8,--,11147
Henty (NSW),36.0,21.0,13.0,63.2,36.8,--,11892
Mullengandra,0.0,7.0,8.0,0.0,100.0,--,12823
Springdale Heights,55.0,64.0,13.0,46.2,53.8,--,13622
Hay (NSW),77.0,68.0,20.0,53.1,46.9,--,11874
Hay South,21.0,6.0,31.0,77.8,22.2,--,11875
Gol Gol,12.0,18.0,25.0,40.0,60.0,--,11693
Buronga,41.0,55.0,24.0,42.7,57.3,--,10696
Wentworth (NSW),71.0,73.0,31.0,49.3,50.7,--,14225
Coomealla,82.0,86.0,26.0,48.8,51.2,--,11041
Dareton,95.0,97.0,26.0,49.5,50.5,--,11206
Curlwaa,3.0,4.0,54.0,42.9,57.1,--,11170
Euston,18.0,25.0,30.0,41.9,58.1,--,11468
Tooleybuc,3.0,3.0,56.0,50.0,50.0,--,13902
Balranald,91.0,79.0,23.0,53.5,46.5,--,10168
Corowa,42.0,49.0,21.0,46.2,53.8,--,11080
Mulwala,6.0,9.0,54.0,40.0,60.0,--,12830
Rand,7.0,11.0,15.0,38.9,61.1,--,13311
Howlong,22.0,30.0,26.0,42.3,57.7,--,11950
Urana,6.0,8.0,45.0,42.9,57.1,--,14052
Deniliquin,157.0,196.0,21.0,44.5,55.5,--,11237
Barham,18.0,20.0,34.0,47.4,52.6,--,10199
Moulamein,3.0,14.0,30.0,17.6,82.4,--,12743
Koraleigh,3.0,4.0,10.0,42.9,57.1,--,12195
Moama,99.0,131.0,26.0,43.0,57.0,--,12654
Barooga,20.0,17.0,23.0,54.1,45.9,--,10205
Tocumwal,28.0,24.0,27.0,53.8,46.2,--,13886
Finley,37.0,45.0,18.0,45.1,54.9,--,11520
Berrigan,10.0,19.0,20.0,34.5,65.5,--,10318
Jerilderie,19.0,18.0,25.0,51.4,48.6,--,12014
Armidale,818.0,875.0,21.0,48.3,51.7,--,10085
Guyra,73.0,74.0,20.0,49.7,50.3,--,11822
South Guyra,18.0,23.0,19.0,43.9,56.1,--,13586
Llangothlin,4.0,0.0,39.0,100.0,0.0,--,12364
Black Mountain (NSW),5.0,0.0,26.0,100.0,0.0,--,10387
Thalgarrah,5.0,3.0,29.0,62.5,37.5,--,13810
Hillgrove (Armidale Regional - NSW),0.0,3.0,35.0,0.0,100.0,--,11907
Ebor,6.0,0.0,43.0,100.0,0.0,--,11372
Uralla (NSW),141.0,158.0,24.0,47.2,52.8,--,14051
Arding,3.0,3.0,26.0,50.0,50.0,--,10075
Kellys Plains,3.0,4.0,39.0,42.9,57.1,--,12087
Kentucky,3.0,5.0,42.0,37.5,62.5,--,12102
Rocky River (Uralla - NSW),8.0,7.0,15.0,53.3,46.7,--,13390
Walcha,85.0,55.0,26.0,60.7,39.3,--,14093
Woolbrook,18.0,17.0,21.0,51.4,48.6,--,14400
Stonehenge (NSW),3.0,0.0,56.0,100.0,0.0,--,13665
Glen Innes,209.0,208.0,21.0,50.1,49.9,--,11649
Emmaville,19.0,22.0,18.0,46.3,53.7,--,11414
Deepwater (NSW),9.0,7.0,50.0,56.2,43.8,--,11231
Red Range,3.0,3.0,51.0,50.0,50.0,--,13333
Glencoe (NSW),0.0,4.0,0.0,0.0,100.0,--,11657
Inverell,539.0,564.0,20.0,48.9,51.1,--,11981
Ashford (NSW),53.0,61.0,34.0,46.5,53.5,--,10099
Tingha,116.0,100.0,22.0,53.7,46.3,--,13874
Yetman,3.0,3.0,14.0,50.0,50.0,--,14514
Bundarra,16.0,16.0,29.0,50.0,50.0,--,10671
Gilgai,23.0,35.0,21.0,39.7,60.3,--,11618
Bonshaw (NSW),3.0,0.0,4.0,100.0,0.0,--,10473
Bukkulla,0.0,3.0,27.0,0.0,100.0,--,10648
Oakwood (NSW),7.0,0.0,10.0,100.0,0.0,--,13061
Bingara,35.0,43.0,20.0,44.9,55.1,--,10365
Gravesend,15.0,10.0,38.0,60.0,40.0,--,11742
Delungra,31.0,15.0,22.0,67.4,32.6,--,11234
Warialda,64.0,55.0,18.0,53.8,46.2,--,14149
Warialda Rail,7.0,3.0,19.0,70.0,30.0,--,14150
Upper Horton,9.0,4.0,8.0,69.2,30.8,--,14029
Tabulam,51.0,63.0,28.0,44.7,55.3,--,13723
Tenterfield,102.0,101.0,23.0,50.2,49.8,--,13792
Drake,12.0,12.0,18.0,50.0,50.0,--,11290
Urbenville,17.0,17.0,18.0,50.0,50.0,--,14057
Woodenbong,22.0,14.0,48.0,61.1,38.9,--,14382
Jennings,0.0,7.0,25.0,0.0,100.0,--,12008
Moree,927.0,1070.0,25.0,46.4,53.6,--,12722
Pallamallawa,24.0,24.0,33.0,50.0,50.0,--,13131
Garah,9.0,5.0,29.0,64.3,35.7,--,11586
Boomi,8.0,5.0,35.0,61.5,38.5,--,10489
Ashley,22.0,14.0,23.0,61.1,38.9,--,10100
Boggabilla,256.0,301.0,22.0,46.0,54.0,--,10441
North Star,7.0,0.0,13.0,100.0,0.0,--,13008
Mungindi (NSW),60.0,67.0,18.0,47.2,52.8,--,12843
Gurley,8.0,3.0,53.0,72.7,27.3,--,11817
Biniguy,0.0,4.0,50.0,0.0,100.0,--,10369
Bellata,14.0,15.0,25.0,48.3,51.7,--,10266
Narrabri,423.0,480.0,21.0,46.8,53.2,--,12903
Wee Waa,181.0,171.0,22.0,51.4,48.6,--,14211
Merah North,9.0,10.0,12.0,47.4,52.6,--,12572
Baan Baa,9.0,3.0,45.0,75.0,25.0,--,10120
Bohena Creek,10.0,6.0,22.0,62.5,37.5,--,10444
Jacks Creek,3.0,3.0,48.0,50.0,50.0,--,11993
Gwabegar,21.0,22.0,20.0,48.8,51.2,--,11823
Gunnedah,660.0,664.0,20.0,49.8,50.2,--,11812
Curlewis (NSW),43.0,54.0,24.0,44.3,55.7,--,11169
Boggabri,63.0,62.0,22.0,50.4,49.6,--,10442
Carroll,41.0,35.0,25.0,53.9,46.1,--,10832
Breeza,14.0,16.0,48.0,46.7,53.3,--,10561
Caroona,49.0,53.0,25.0,48.0,52.0,--,10823
Spring Ridge,9.0,6.0,27.0,60.0,40.0,--,13619
Mullaley,7.0,5.0,44.0,58.3,41.7,--,12820
Werris Creek,151.0,142.0,28.0,51.5,48.5,--,14238
Quirindi,209.0,220.0,27.0,48.7,51.3,--,13301
Wallabadah,12.0,21.0,22.0,36.4,63.6,--,14098
Currabubula,8.0,6.0,34.0,57.1,42.9,--,11172
Quipolly,4.0,11.0,20.0,26.7,73.3,--,13300
Willow Tree,11.0,8.0,48.0,57.9,42.1,--,14305
Blackville,7.0,8.0,11.0,46.7,53.3,--,10398
Hillvue,258.0,276.0,20.0,48.3,51.7,--,11914
Calala,126.0,146.0,16.0,46.3,53.7,--,10748
Kingswood (Tamworth Regional - NSW),24.0,20.0,20.0,54.5,45.5,--,12164
South Tamworth,491.0,529.0,21.0,48.1,51.9,--,13597
West Tamworth,516.0,545.0,20.0,48.6,51.4,--,14252
North Tamworth,216.0,142.0,25.0,60.3,39.7,--,13011
Tamworth,9.0,8.0,40.0,52.9,47.1,--,13746
East Tamworth,127.0,154.0,24.0,45.2,54.8,--,11363
Oxley Vale,260.0,314.0,19.0,45.3,54.7,--,13111
Nemingha,27.0,23.0,24.0,54.0,46.0,--,12926
Westdale (Tamworth Regional - NSW),208.0,200.0,17.0,51.0,49.0,--,14259
Kootingal,103.0,119.0,17.0,46.4,53.6,--,12194
Duri,20.0,4.0,25.0,83.3,16.7,--,11332
Winton (NSW),3.0,7.0,12.0,30.0,70.0,--,14336
Somerton (NSW),7.0,7.0,20.0,50.0,50.0,--,13572
Bective,7.0,3.0,29.0,70.0,30.0,--,10245
Attunga,21.0,23.0,23.0,47.7,52.3,--,10105
Limbri,7.0,3.0,31.0,70.0,30.0,--,12327
Tintinhull,20.0,8.0,14.0,71.4,28.6,--,13879
Loomberah,4.0,4.0,16.0,50.0,50.0,--,12386
Moonbi,49.0,36.0,22.0,57.6,42.4,--,12699
Bendemeer,23.0,17.0,44.0,57.5,42.5,--,10289
Watsons Creek (NSW),3.0,3.0,31.0,50.0,50.0,--,14188
Barraba,54.0,46.0,27.0,54.0,46.0,--,10206
Manilla,173.0,187.0,22.0,48.1,51.9,--,12474
Daruka,9.0,13.0,43.0,40.9,59.1,--,11218
Moore Creek,67.0,74.0,15.0,47.5,52.5,--,12710
Hallsville,12.0,9.0,29.0,57.1,42.9,--,11835
Nundle,29.0,14.0,43.0,67.4,32.6,--,13043
Piallamore,7.0,9.0,25.0,43.8,56.2,--,13195
Woolomin,21.0,16.0,23.0,56.8,43.2,--,14408
Windale,221.0,253.0,18.0,46.6,53.4,--,14315
Jewells,35.0,27.0,21.0,56.5,43.5,--,12024
Belmont North,125.0,120.0,20.0,51.0,49.0,--,10277
Belmont (NSW),113.0,106.0,25.0,51.6,48.4,--,10276
Floraville,26.0,30.0,15.0,46.4,53.6,--,11535
Blacksmiths,65.0,45.0,25.0,59.1,40.9,--,10396
Pelican (NSW),5.0,14.0,21.0,26.3,73.7,--,13178
Marks Point,45.0,42.0,26.0,51.7,48.3,--,12492
Belmont South,34.0,35.0,21.0,49.3,50.7,--,10278
Kahibah,36.0,48.0,22.0,42.9,57.1,--,12048
Charlestown (NSW),162.0,130.0,25.0,55.5,44.5,--,10885
Whitebridge,34.0,23.0,26.0,59.6,40.4,--,14276
Gateshead,143.0,160.0,18.0,47.2,52.8,--,11594
Dudley,23.0,26.0,23.0,46.9,53.1,--,11300
Highfields (NSW),10.0,15.0,18.0,40.0,60.0,--,11902
Garden Suburb,11.0,14.0,21.0,44.0,56.0,--,11587
Cardiff (NSW),119.0,118.0,23.0,50.2,49.8,--,10809
Hillsborough (Lake Macquarie - NSW),17.0,15.0,20.0,53.1,46.9,--,11909
Warners Bay,81.0,104.0,22.0,43.8,56.2,--,14153
Argenton,49.0,41.0,25.0,54.4,45.6,--,10078
Glendale (NSW),93.0,111.0,22.0,45.6,54.4,--,11658
Elermore Vale,106.0,105.0,22.0,50.2,49.8,--,11394
Macquarie Hills,50.0,63.0,22.0,44.2,55.8,--,12434
Kotara,33.0,42.0,24.0,44.0,56.0,--,12200
Cardiff Heights,16.0,18.0,20.0,47.1,52.9,--,10810
Cardiff South,72.0,79.0,22.0,47.7,52.3,--,10811
New Lambton Heights,19.0,18.0,31.0,51.4,48.6,--,12943
Rankin Park,20.0,24.0,28.0,45.5,54.5,--,13315
Tingira Heights,49.0,47.0,19.0,51.0,49.0,--,13875
Mount Hutton (NSW),60.0,49.0,24.0,55.0,45.0,--,12766
Eleebana,33.0,33.0,27.0,50.0,50.0,--,11393
Redhead,56.0,39.0,19.0,58.9,41.1,--,13340
Caves Beach,54.0,52.0,25.0,50.9,49.1,--,10862
Nords Wharf,19.0,10.0,26.0,65.5,34.5,--,12975
Swansea (NSW),109.0,135.0,26.0,44.7,55.3,--,13711
Swansea Heads,11.0,8.0,23.0,57.9,42.1,--,13712
Valentine,35.0,37.0,26.0,48.6,51.4,--,14065
Croudace Bay,9.0,12.0,18.0,42.9,57.1,--,11128
Speers Point,49.0,45.0,21.0,52.1,47.9,--,13605
Lakelands (NSW),16.0,26.0,25.0,38.1,61.9,--,12256
Boolaroo,20.0,15.0,21.0,57.1,42.9,--,10482
Booragul,29.0,49.0,26.0,37.2,62.8,--,10495
Fennell Bay,33.0,36.0,28.0,47.8,52.2,--,11500
Marmong Point,8.0,14.0,19.0,36.4,63.6,--,12498
Woodrising,43.0,33.0,23.0,56.6,43.4,--,14391
Bolton Point,97.0,100.0,23.0,49.2,50.8,--,10449
Teralba,64.0,44.0,23.0,59.3,40.7,--,13793
Fassifern (NSW),20.0,19.0,34.0,51.3,48.7,--,11495
Balcolyn,28.0,25.0,15.0,52.8,47.2,--,10145
Yarrawonga Park,4.0,7.0,21.0,36.4,63.6,--,14487
Mirrabooka (NSW),18.0,20.0,27.0,47.4,52.6,--,12647
Sunshine (NSW),4.0,3.0,32.0,57.1,42.9,--,13694
Silverwater (Lake Macquarie - NSW),7.0,0.0,28.0,100.0,0.0,--,13546
Bonnells Bay,75.0,83.0,22.0,47.5,52.5,--,10468
Brightwaters,16.0,17.0,21.0,48.5,51.5,--,10570
Morisset Park,12.0,8.0,27.0,60.0,40.0,--,12724
Windermere Park,25.0,28.0,15.0,47.2,52.8,--,14321
Edgeworth,196.0,214.0,19.0,47.8,52.2,--,11381
Cameron Park,174.0,172.0,17.0,50.3,49.7,--,10775
Cooranbong,90.0,95.0,20.0,48.6,51.4,--,11052
Wyee,54.0,51.0,21.0,51.4,48.6,--,14438
Morisset,68.0,48.0,23.0,58.6,41.4,--,12723
Wyee Point,24.0,22.0,14.0,52.2,47.8,--,14439
Mandalong,7.0,7.0,26.0,50.0,50.0,--,12465
Dora Creek,38.0,44.0,18.0,46.3,53.7,--,11277
Blackalls Park,76.0,78.0,19.0,49.4,50.6,--,10390
Toronto,203.0,190.0,21.0,51.7,48.3,--,13918
Kilaben Bay,19.0,23.0,22.0,45.2,54.8,--,12125
Coal Point,21.0,25.0,21.0,45.7,54.3,--,10943
Awaba,15.0,12.0,25.0,55.6,44.4,--,10118
Buttaba,22.0,18.0,17.0,55.0,45.0,--,10723
Fishing Point,25.0,25.0,19.0,50.0,50.0,--,11526
Rathmines,35.0,31.0,27.0,53.0,47.0,--,13319
Wangi Wangi,58.0,57.0,25.0,50.4,49.6,--,14135
Arcadia Vale,30.0,26.0,23.0,53.6,46.4,--,10073
Balmoral (Lake Macquarie - NSW),19.0,12.0,23.0,61.3,38.7,--,10166
Holmesville,41.0,37.0,26.0,52.6,47.4,--,11924
Barnsley,51.0,64.0,22.0,44.3,55.7,--,10204
Seahampton,7.0,4.0,21.0,63.6,36.4,--,13511
West Wallsend,68.0,59.0,20.0,53.5,46.5,--,14253
Killingworth (NSW),13.0,10.0,28.0,56.5,43.5,--,12137
Adamstown Heights,63.0,58.0,22.0,52.1,47.9,--,10017
Adamstown,88.0,77.0,26.0,53.3,46.7,--,10016
Kotara South,18.0,14.0,19.0,56.2,43.8,--,12201
Woodberry,139.0,150.0,18.0,48.1,51.9,--,14377
Beresfield,103.0,76.0,24.0,57.5,42.5,--,10301
Tarro,36.0,46.0,19.0,43.9,56.1,--,13771
Hexham (NSW),6.0,5.0,34.0,54.5,45.5,--,11898
Hamilton South,59.0,67.0,28.0,46.8,53.2,--,11841
Broadmeadow,34.0,29.0,25.0,54.0,46.0,--,10578
Hamilton East,12.0,24.0,18.0,33.3,66.7,--,11839
Newcastle West,11.0,7.0,25.0,61.1,38.9,--,12951
Hamilton North,23.0,23.0,23.0,50.0,50.0,--,11840
Hamilton (NSW),56.0,60.0,25.0,48.3,51.7,--,11838
New Lambton,123.0,138.0,24.0,47.1,52.9,--,12942
Lambton,53.0,78.0,26.0,40.5,59.5,--,12264
Jesmond,38.0,32.0,24.0,54.3,45.7,--,12023
Maryland (Newcastle - NSW),206.0,226.0,19.0,47.7,52.3,--,12514
Fletcher (NSW),104.0,104.0,21.0,50.0,50.0,--,11533
Minmi,15.0,12.0,18.0,55.6,44.4,--,12638
Warabrook,24.0,30.0,26.0,44.4,55.6,--,14140
Mayfield West,39.0,26.0,30.0,60.0,40.0,--,12536
Mayfield (Newcastle - NSW),191.0,202.0,26.0,48.6,51.4,--,12530
Mayfield East,32.0,24.0,31.0,57.1,42.9,--,12534
Merewether Heights,16.0,8.0,21.0,66.7,33.3,--,12574
Merewether,72.0,86.0,28.0,45.6,54.4,--,12573
Cooks Hill,63.0,66.0,27.0,48.8,51.2,--,11019
Bar Beach,13.0,3.0,29.0,81.2,18.8,--,10187
Newcastle,29.0,31.0,36.0,48.3,51.7,--,12949
The Hill,23.0,23.0,27.0,50.0,50.0,--,13826
Newcastle East,9.0,10.0,45.0,47.4,52.6,--,12950
Carrington (Newcastle - NSW),72.0,69.0,28.0,51.1,48.9,--,10830
Shortland,89.0,100.0,20.0,47.1,52.9,--,13542
Birmingham Gardens,44.0,42.0,22.0,51.2,48.8,--,10377
Sandgate (NSW),10.0,13.0,43.0,43.5,56.5,--,13474
North Lambton,76.0,83.0,21.0,47.8,52.2,--,12993
Stockton (NSW),101.0,87.0,28.0,53.7,46.3,--,13662
Fern Bay,39.0,44.0,25.0,47.0,53.0,--,11501
Fullerton Cove,9.0,12.0,28.0,42.9,57.1,--,11575
Wallsend,264.0,340.0,21.0,43.7,56.3,--,14118
Georgetown (NSW),30.0,34.0,28.0,46.9,53.1,--,11603
Waratah West,58.0,73.0,21.0,44.3,55.7,--,14142
Waratah (NSW),114.0,94.0,23.0,54.8,45.2,--,14141
Wickham (NSW),6.0,18.0,20.0,25.0,75.0,--,14285
Maryville,18.0,17.0,31.0,51.4,48.6,--,12518
Tighes Hill,27.0,22.0,36.0,55.1,44.9,--,13863
Islington,28.0,39.0,27.0,41.8,58.2,--,11990
Ballina,176.0,198.0,29.0,47.1,52.9,--,10162
West Ballina,89.0,120.0,22.0,42.6,57.4,--,14240
East Ballina,55.0,52.0,26.0,51.4,48.6,--,11345
Alstonville,55.0,52.0,24.0,51.4,48.6,--,10046
Wollongbar,60.0,71.0,24.0,45.8,54.2,--,14357
Wardell,42.0,41.0,21.0,50.6,49.4,--,14144
East Wardell,5.0,0.0,43.0,100.0,0.0,--,11365
Meerschaum Vale,3.0,0.0,28.0,100.0,0.0,--,12556
Dalwood (Ballina - NSW),0.0,3.0,51.0,0.0,100.0,--,11195
Pimlico (NSW),5.0,3.0,35.0,62.5,37.5,--,13207
Keith Hall,6.0,0.0,13.0,100.0,0.0,--,12086
Uralba,6.0,0.0,14.0,100.0,0.0,--,14050
Tintenbar,7.0,6.0,48.0,53.8,46.2,--,13878
Cumbalum,22.0,27.0,17.0,44.9,55.1,--,11154
Knockrow,4.0,0.0,29.0,100.0,0.0,--,12178
Alstonvale,5.0,7.0,12.0,41.7,58.3,--,10045
Teven,3.0,4.0,12.0,42.9,57.1,--,13807
Ewingsdale,7.0,3.0,25.0,70.0,30.0,--,11474
Coorabell,0.0,6.0,52.0,0.0,100.0,--,11051
Possum Creek,0.0,3.0,13.0,0.0,100.0,--,13252
Bangalow,16.0,12.0,20.0,57.1,42.9,--,10174
Federal (NSW),3.0,3.0,62.0,50.0,50.0,--,11499
Binna Burra (NSW),6.0,0.0,0.0,100.0,0.0,--,10371
Brunswick Heads,27.0,24.0,25.0,52.9,47.1,--,10621
Ocean Shores,63.0,67.0,22.0,48.5,51.5,--,13070
New Brighton,10.0,8.0,10.0,55.6,44.4,--,12939
South Golden Beach,3.0,11.0,33.0,21.4,78.6,--,13581
Byron Bay,41.0,43.0,30.0,48.8,51.2,--,10733
Suffolk Park,22.0,33.0,27.0,40.0,60.0,--,13684
Broken Head,0.0,3.0,31.0,0.0,100.0,--,10591
Woodburn (Richmond Valley - NSW),22.0,15.0,17.0,59.5,40.5,--,14379
Broadwater (Richmond Valley - NSW),5.0,11.0,54.0,31.2,68.8,--,10580
Evans Head,73.0,59.0,21.0,55.3,44.7,--,11469
Bungawalbin,5.0,4.0,36.0,55.6,44.4,--,10683
New Italy,6.0,3.0,26.0,66.7,33.3,--,12941
Swan Bay (Richmond Valley - NSW),8.0,3.0,57.0,72.7,27.3,--,13705
Doonbah,0.0,6.0,43.0,0.0,100.0,--,11274
Lennox Head,61.0,60.0,23.0,50.4,49.6,--,12303
Myocum,3.0,11.0,20.0,21.4,78.6,--,12877
The Pocket,7.0,5.0,19.0,58.3,41.7,--,13834
Main Arm,0.0,3.0,45.0,0.0,100.0,--,12445
Mullumbimby,35.0,35.0,30.0,50.0,50.0,--,12828
Goonengerry,4.0,0.0,46.0,100.0,0.0,--,11712
Yorklea,3.0,5.0,37.0,37.5,62.5,--,14517
Casino,527.0,560.0,19.0,48.5,51.5,--,10843
North Casino,15.0,6.0,23.0,71.4,28.6,--,12987
Bonalbo,12.0,16.0,26.0,42.9,57.1,--,10463
Coraki,79.0,76.0,22.0,51.0,49.0,--,11063
Spring Grove,3.0,12.0,12.0,20.0,80.0,--,13614
McKees Hill,5.0,0.0,0.0,100.0,0.0,--,12543
Tatham,8.0,4.0,5.0,66.7,33.3,--,13773
Ellangowan (NSW),7.0,12.0,23.0,36.8,63.2,--,11400
Leeville,3.0,3.0,19.0,50.0,50.0,--,12295
Rappville,8.0,3.0,29.0,72.7,27.3,--,13318
Goonellabah,437.0,439.0,19.0,49.9,50.1,--,11711
Wiangaree,3.0,6.0,16.0,33.3,66.7,--,14283
Doubtful Creek,5.0,0.0,36.0,100.0,0.0,--,11282
Kyogle,41.0,53.0,18.0,43.6,56.4,--,12229
Geneva,10.0,8.0,42.0,55.6,44.4,--,11599
Barkers Vale,3.0,0.0,51.0,100.0,0.0,--,10201
Wadeville,3.0,0.0,59.0,100.0,0.0,--,14082
Fawcetts Plain,0.0,5.0,30.0,0.0,100.0,--,11498
Homeleigh,4.0,3.0,12.0,57.1,42.9,--,11931
Green Pigeon,0.0,3.0,19.0,0.0,100.0,--,11752
East Lismore,116.0,145.0,20.0,44.4,55.6,--,11358
Lismore (NSW),121.0,98.0,26.0,55.3,44.7,--,12344
Lismore Heights,50.0,53.0,17.0,48.5,51.5,--,12345
South Lismore,61.0,64.0,25.0,48.8,51.2,--,13589
Girards Hill,36.0,30.0,25.0,54.5,45.5,--,11631
North Lismore,23.0,13.0,35.0,63.9,36.1,--,12994
Loftville,11.0,14.0,31.0,44.0,56.0,--,12372
Modanville,15.0,11.0,19.0,57.7,42.3,--,12655
Clunes (NSW),5.0,11.0,21.0,31.2,68.8,--,10939
The Channon,3.0,3.0,57.0,50.0,50.0,--,13816
Koonorigan,4.0,4.0,34.0,50.0,50.0,--,12188
Rosebank,3.0,9.0,36.0,25.0,75.0,--,13401
East Coraki,0.0,3.0,26.0,0.0,100.0,--,11347
Tregeagle,4.0,5.0,19.0,44.4,55.6,--,13933
Wyrallah,3.0,4.0,44.0,42.9,57.1,--,14449
South Gundurimba,4.0,6.0,18.0,40.0,60.0,--,13585
Blakebrook,0.0,4.0,15.0,0.0,100.0,--,10402
Booerie Creek,9.0,4.0,12.0,69.2,30.8,--,10475
Goolmangar,4.0,5.0,30.0,44.4,55.6,--,11708
Keerrong,0.0,3.0,5.0,0.0,100.0,--,12083
Tullera,4.0,7.0,27.0,36.4,63.6,--,13956
Bexhill,11.0,12.0,22.0,47.8,52.2,--,10333
Richmond Hill (NSW),7.0,8.0,45.0,46.7,53.3,--,13361
Nimbin,30.0,23.0,26.0,56.6,43.4,--,12965
Blue Knob,3.0,4.0,45.0,42.9,57.1,--,10416
Tuntable Creek,6.0,0.0,26.0,100.0,0.0,--,13971
Larnook,5.0,12.0,17.0,29.4,70.6,--,12279
Georgica,7.0,5.0,17.0,58.3,41.7,--,11604
Jiggi,12.0,11.0,15.0,52.2,47.8,--,12026
Dunoon,7.0,4.0,54.0,63.6,36.4,--,11325
Numulgi,0.0,6.0,35.0,0.0,100.0,--,13041
Fingal Head,51.0,38.0,32.0,57.3,42.7,--,11519
