,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Rydalmere,514,404,620,295,245,246,225,182,18.4,14.5,22.3,10.6,8.8,8.8,8.1,6.5
Ryde,"1,832","1,300","2,918","1,438",911,874,699,419,17.3,12.3,27.5,13.6,8.6,8.2,6.6,3.9
Sadleir,104,145,55,49,72,68,146,133,13.1,18.2,6.9,6.2,9.0,8.5,18.3,16.7
San Remo,204,256,158,115,202,242,253,189,12.4,15.5,9.6,7.0,12.2,14.7,15.3,11.5
Sandringham,77,60,129,75,57,41,25,20,15.7,12.2,26.3,15.3,11.6,8.4,5.1,4.1
Sans Souci,835,546,890,689,455,362,282,248,19.0,12.4,20.3,15.7,10.4,8.2,6.4,5.6
Saratoga,246,315,384,225,185,181,139,62,13.9,17.8,21.8,12.7,10.5,10.3,7.9,3.5
Scarborough,18,15,42,24,8,18,0,9,13.4,11.2,31.3,17.9,6.0,13.4,0.0,6.7
Schofields,334,326,294,239,175,182,206,176,17.0,16.6,14.9,12.2,8.9,9.3,10.5,8.9
Scotland Island,51,54,153,58,16,21,21,12,13.2,14.0,39.6,15.0,4.1,5.4,5.4,3.1
Seaforth,427,242,"1,051",689,252,223,90,48,13.9,7.9,34.1,22.4,8.2,7.2,2.9,1.6
Sefton,275,321,325,182,170,156,239,210,14.2,16.6,16.8,9.4,8.8,8.1,12.3,10.8
Seven Hills,"1,548","1,219","1,702",768,759,790,856,782,18.0,14.2,19.8,8.9,8.8,9.2,10.0,9.1
Shalvey,174,130,70,59,100,108,193,232,15.9,11.9,6.4,5.4,9.1,9.9,17.6,21.2
Shell Cove,294,281,381,250,217,168,123,139,15.6,14.9,20.3,13.3,11.5,8.9,6.5,7.4
Shellharbour,218,261,266,163,178,198,146,131,13.6,16.3,16.6,10.2,11.1,12.4,9.1,8.2
Shelly Beach,75,111,87,59,73,63,38,26,13.8,20.5,16.1,10.9,13.5,11.6,7.0,4.8
Shortland,176,278,224,95,182,185,212,146,11.6,18.3,14.8,6.3,12.0,12.2,14.0,9.6
Silverwater,21,19,20,7,10,6,3,7,22.6,20.4,21.5,7.5,10.8,6.5,3.2,7.5
Smithfield,636,616,432,296,374,372,510,544,16.3,15.8,11.1,7.6,9.6,9.5,13.1,13.9
South Coogee,324,149,688,336,146,188,80,43,16.2,7.4,34.3,16.7,7.3,9.4,4.0,2.1
South Granville,224,223,189,94,126,92,151,156,17.2,17.2,14.5,7.2,9.7,7.1,11.6,12.0
South Hurstville,391,286,528,241,211,197,178,151,17.6,12.9,23.8,10.9,9.5,8.9,8.0,6.8
South Penrith,"1,088",886,868,551,625,571,464,554,19.0,15.5,15.2,9.6,10.9,10.0,8.1,9.7
South Turramurra,194,98,518,290,104,96,49,18,14.1,7.1,37.7,21.1,7.6,7.0,3.6,1.3
South Wentworthville,489,377,452,211,182,210,182,211,20.7,15.9,19.1,8.9,7.7,8.9,7.7,8.9
Speers Point,226,242,305,170,182,149,139,112,14.7,15.7,19.8,11.0,11.8,9.7,9.0,7.3
Springfield,288,276,395,218,217,225,162,99,15.1,14.5,20.8,11.5,11.4,11.8,8.5,5.2
Springwood,614,523,"1,232",452,287,403,232,169,15.5,13.2,31.0,11.4,7.2,10.2,5.8,4.3
St Andrews,542,482,375,240,276,281,294,331,18.9,16.8,13.1,8.4,9.6,9.8,10.3,11.5
St Clair,"2,237","1,746","1,254",924,"1,086",940,"1,018","1,280",21.0,16.4,11.8,8.7,10.2,8.8,9.5,12.0
St Helens Park,514,500,350,250,340,328,345,348,17.0,16.5,11.6,8.3,11.3,10.9,11.4,11.5
St Huberts Island,56,61,79,67,64,35,28,9,13.8,15.1,19.5,16.5,15.8,8.6,6.9,2.2
St Ives,"1,083",418,"2,591","1,634",674,517,189,62,14.9,5.7,35.5,22.4,9.2,7.1,2.6,0.9
St Ives Chase,205,75,500,350,142,104,45,9,14.1,5.2,34.5,24.1,9.8,7.2,3.1,0.6
St Johns Park,359,391,341,187,228,203,326,277,15.2,16.5,14.4,7.9,9.6,8.6,13.8,11.7
St Leonards,373,138,"1,441",518,151,161,47,27,12.8,4.7,49.4,17.8,5.2,5.5,1.6,0.9
St Marys,734,596,498,304,364,463,657,719,16.5,13.4,11.2,6.8,8.2,10.4,14.8,16.2
St Peters,271,172,602,248,105,158,80,68,15.6,9.9,34.7,14.3,6.0,9.1,4.6,3.9
Stanhope Gardens,712,393,"1,105",623,372,289,191,196,18.0,9.9,27.9,15.8,9.4,7.3,4.8,5.0
Stanmore,682,350,"1,827",700,294,374,161,86,15.0,7.7,40.2,15.4,6.5,8.2,3.5,1.9
Stockton,235,299,293,146,143,197,197,125,14.1,17.9,17.6,8.8,8.6,11.8,11.8,7.5
Strathfield,"1,672","1,131","3,716","1,392","1,083",875,821,282,14.8,10.0,33.0,12.3,9.6,7.8,7.3,2.5
Strathfield South,254,215,436,183,145,123,106,81,16.0,13.6,27.5,11.6,9.2,7.8,6.7,5.1
Summer Hill,557,330,"1,472",496,267,309,174,98,14.8,8.8,39.2,13.2,7.1,8.2,4.6,2.6
Surry Hills,"1,108",675,"3,901","1,648",664,821,313,99,11.8,7.2,41.6,17.6,7.1,8.7,3.3,1.1
Sutherland,987,727,"1,377",619,481,545,311,262,18.3,13.5,25.5,11.5,8.9,10.1,5.8,4.9
Swansea,209,330,170,105,182,192,233,174,12.8,20.3,10.4,6.4,11.2,11.8,14.3,10.7
Swansea Heads,40,58,74,30,28,17,30,12,13.6,19.7,25.2,10.2,9.5,5.8,10.2,4.1
Sydenham,93,75,127,70,55,57,52,41,16.1,13.0,22.0,12.2,9.5,9.9,9.0,7.1
Sydney,873,612,"2,398","1,083",644,852,537,75,12.0,8.4,32.9,14.8,8.8,11.7,7.4,1.0
Sylvania,860,555,"1,005",674,480,404,259,185,19.2,12.4,22.4,15.0,10.7,9.0,5.8,4.1
