,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Abbotsbury,447,384,375,303,290,184,171,121,19.3,16.6,16.2,13.1,12.5,7.9,7.4,5.2
New South Wales,"473,141","414,668","713,548","418,333","290,496","297,667","273,129","199,438",15.1,13.2,22.7,13.3,9.3,9.5,8.7,6.4
Australia,"1,483,558","1,425,146","2,145,442","1,293,970","942,140","971,897","947,608","659,551",14.7,14.2,21.3,12.9,9.4,9.7,9.4,6.6
Abbotsford,422,227,854,532,217,185,92,53,16.1,8.7,32.6,20.3,8.3,7.1,3.5,2.0
Acacia Gardens,404,246,497,246,204,173,113,118,19.9,12.1,24.5,12.1,10.0,8.5,5.6,5.8
Adamstown,473,414,726,300,292,324,244,139,16.0,14.0,24.6,10.2,9.9,11.0,8.3,4.7
Adamstown Heights,380,305,788,273,252,202,158,122,15.1,12.2,31.4,10.9,10.0,8.0,6.3,4.9
Airds,70,71,36,27,58,86,147,104,11.2,11.3,5.8,4.3,9.3,13.7,23.5,16.6
Albion Park,967,"1,076",847,573,657,727,593,635,15.7,17.5,13.8,9.3,10.7,11.8,9.6,10.3
Albion Park Rail,406,549,296,223,335,361,382,364,13.7,18.6,10.0,7.5,11.3,12.2,12.9,12.3
Alexandria,708,404,"1,903",919,337,399,109,96,14.4,8.2,38.6,18.6,6.8,8.1,2.2,1.9
Alfords Point,388,234,415,317,235,140,102,74,19.9,12.0,21.3,16.3,12.1,7.2,5.2,3.8
Allambie Heights,521,390,806,534,317,272,198,89,16.4,12.3,25.3,16.8,10.0,8.5,6.2,2.8
Allawah,477,357,665,222,278,258,233,178,17.5,13.1,24.4,8.1,10.2,9.5,8.5,6.5
Ambarvale,482,427,346,250,294,309,342,350,16.7,14.8,12.0,8.7,10.2,10.7,11.9,12.1
Annandale,662,348,"2,168",985,353,369,113,73,12.9,6.8,42.2,19.2,6.9,7.2,2.2,1.4
Argenton,71,95,43,29,62,56,92,81,13.2,17.7,8.0,5.4,11.6,10.4,17.2,15.1
Arncliffe,570,442,716,382,341,323,411,307,16.0,12.4,20.1,10.7,9.6,9.1,11.5,8.6
Artarmon,700,351,"2,049",716,290,324,162,85,14.7,7.4,43.1,15.1,6.1,6.8,3.4,1.8
Ashbury,269,198,447,211,129,107,96,50,17.5,12.8,29.0,13.7,8.4,6.9,6.2,3.2
Ashcroft,109,132,71,43,76,96,156,161,12.5,15.1,8.1,4.9,8.7,11.0,17.9,18.5
Ashfield,"1,691","1,137","3,336","1,115",997,"1,086",863,451,15.5,10.5,30.7,10.2,9.2,10.0,7.9,4.1
Asquith,276,217,529,195,151,165,118,50,15.9,12.5,30.6,11.3,8.7,9.5,6.8,2.9
Auburn,"1,405","1,832","1,699",713,"1,092","1,036","1,793","1,207",12.5,16.3,15.2,6.4,9.7,9.2,16.0,10.8
Austinmer,150,137,480,173,67,115,51,26,12.4,11.3,39.6,14.3,5.5,9.5,4.2,2.1
Avoca Beach,284,313,613,266,177,230,127,74,13.4,14.8,29.0,12.6,8.4,10.9,6.0,3.5
Balgowlah,549,306,"1,275",745,353,328,136,66,14.4,8.0,33.4,19.5,9.2,8.6,3.6,1.7
Balgowlah Heights,190,71,574,347,93,106,26,14,13.0,4.9,39.3,23.8,6.4,7.3,1.8,1.0
Balgownie,355,392,667,318,184,240,167,116,14.3,15.8,26.9,12.8,7.4,9.7,6.7,4.7
Balmain,675,321,"2,420","1,291",338,336,117,68,12.0,5.7,43.0,22.9,6.0,6.0,2.1,1.2
Balmain East,133,48,471,239,75,48,14,13,12.5,4.5,44.2,22.4,7.0,4.5,1.3,1.2
Bangor,634,418,746,473,331,277,154,116,19.8,13.1,23.3,14.8,10.4,8.7,4.8,3.6
Banksia,252,195,258,152,151,136,176,121,17.1,13.2,17.5,10.3,10.3,9.2,11.9,8.2
Bankstown,"1,540","1,457","1,847",797,985,"1,005","1,319","1,170",14.8,14.0,17.7,7.6,9.4,9.6,12.6,11.2
Bar Beach,68,56,213,77,40,53,22,23,12.0,9.9,37.7,13.6,7.1,9.4,3.9,4.1
Barden Ridge,473,336,495,347,274,204,121,100,19.9,14.1,20.8,14.6,11.5,8.6,5.1,4.2
Bardwell Park,181,143,326,139,99,95,61,52,16.2,12.8,29.1,12.4,8.8,8.5,5.5,4.6
Bardwell Valley,173,129,241,118,84,58,75,67,17.9,13.3,24.9,12.2,8.7,6.0,7.8,6.9
Barnsley,129,208,61,63,92,97,149,101,14.0,22.6,6.6,6.8,10.0,10.5,16.2,11.0
Barrack Heights,294,425,263,147,301,294,275,237,12.9,18.7,11.6,6.5,13.2,12.9,12.1,10.4
Barrack Point,37,45,55,36,34,23,20,14,13.8,16.7,20.4,13.4,12.6,8.6,7.4,5.2
Bass Hill,543,513,478,294,294,239,291,278,18.0,17.0,15.8,9.7,9.7,7.9,9.6,9.2
Bateau Bay,665,826,861,489,635,635,475,296,13.4,16.7,17.4,9.9,12.8,12.8,9.6,6.0
Baulkham Hills,"3,116","2,060","5,025","2,583","1,624","1,378",806,583,17.9,11.8,28.8,14.8,9.3,7.9,4.6,3.3
Bayview,198,113,379,273,125,108,49,21,15.4,8.8,29.5,21.3,9.7,8.4,3.8,1.6
Beacon Hill,648,434,832,548,374,279,219,121,18.4,12.4,23.7,15.6,10.6,7.9,6.2,3.4
Beaconsfield,76,54,174,99,42,49,15,18,14.2,10.1,32.5,18.5,7.9,9.2,2.8,3.4
Beecroft,674,289,"1,766",739,353,291,144,53,15.4,6.6,40.3,16.9,8.1,6.6,3.3,1.2
Belfield,458,405,468,282,242,221,214,153,18.3,16.2,18.7,11.3,9.7,8.8,8.6,6.1
Bella Vista,756,348,"1,196",757,427,301,163,94,18.4,8.5,29.1,18.4,10.4,7.3,4.0,2.3
Bellambi,230,240,223,81,140,194,188,129,16.0,16.7,15.5,5.6,9.7,13.5,13.0,9.0
Bellevue Hill,662,261,"2,167","1,073",401,344,99,36,12.8,5.0,41.9,20.7,7.8,6.7,1.9,0.7
Belmont,423,425,472,297,284,276,258,161,16.1,16.1,17.9,11.3,10.8,10.5,9.8,6.1
Belmont North,439,581,452,225,319,311,289,242,15.1,20.0,15.6,7.7,11.0,10.7,10.0,8.3
Belmont South,69,92,55,43,59,60,60,38,14.2,18.9,11.3,8.8,12.1,12.3,12.3,7.8
Belmore,796,708,778,393,471,489,701,450,16.2,14.4,15.9,8.0,9.6,10.0,14.3,9.2
Belrose,625,403,990,685,358,316,148,84,17.1,11.0,27.1,18.7,9.8,8.6,4.0,2.3
Bensville,180,231,264,149,138,137,96,42,14.2,18.2,20.8,11.7,10.9,10.8,7.6,3.3
Berala,515,562,604,216,252,281,515,321,15.3,16.7,17.9,6.4,7.5,8.3,15.3,9.5
Berkeley,366,484,311,176,308,355,443,342,12.9,17.1,11.0,6.2,10.9,12.5,15.6,12.1
Berkeley Vale,557,715,535,342,467,474,453,285,14.4,18.4,13.8,8.8,12.0,12.2,11.7,7.3
Berowra,429,289,684,353,211,230,125,58,17.7,12.0,28.3,14.6,8.7,9.5,5.2,2.4
Berowra Heights,494,411,724,361,208,228,171,93,18.2,15.1,26.6,13.3,7.7,8.4,6.3,3.4
Beverley Park,166,154,226,130,104,78,38,47,17.3,16.1,23.6,13.6,10.9,8.1,4.0,4.9
Beverly Hills,799,547,"1,005",426,390,385,307,300,18.8,12.9,23.7,10.0,9.2,9.1,7.2,7.1
Bexley,"1,495","1,081","1,800",915,772,693,819,663,17.7,12.8,21.3,10.8,9.2,8.2,9.7,7.9
Bexley North,311,219,388,205,131,131,117,113,18.9,13.3,23.5,12.4,7.9,7.9,7.1,6.9
Bidwill,125,115,60,42,95,124,216,194,12.5,11.5,6.0,4.2,9.5,12.4,21.6,19.4
Birchgrove,206,86,816,438,101,82,23,15,11.5,4.8,45.4,24.4,5.6,4.6,1.3,0.8
Birmingham Gardens,99,126,163,47,96,120,103,70,11.8,15.0,19.4,5.6,11.4,14.3,12.3,8.3
Birrong,190,170,194,84,105,74,127,118,17.4,15.5,17.7,7.7,9.6,6.8,11.6,10.8
Blackalls Park,138,241,167,68,125,155,173,109,11.5,20.1,13.9,5.7,10.4,12.9,14.4,9.1
Blackbutt,231,225,240,150,179,147,165,120,15.6,15.2,16.2,10.1,12.1,9.9,11.1,8.1
Blackett,136,136,50,43,95,96,167,236,13.7,13.7,5.0,4.3,9.6,9.7,16.8,23.7
Blacksmiths,96,124,87,69,89,78,95,65,13.4,17.4,12.2,9.7,12.5,10.9,13.3,9.1
Blacktown,"3,333","2,643","2,982","1,435","1,751","1,761","2,253","2,197",17.7,14.0,15.8,7.6,9.3,9.3,11.9,11.7
Blackwall,105,120,98,62,74,86,68,39,15.9,18.1,14.8,9.4,11.2,13.0,10.3,5.9
Blairmount,26,19,29,35,21,19,33,23,12.7,9.3,14.1,17.1,10.2,9.3,16.1,11.2
Blakehurst,549,279,788,539,289,197,126,88,18.8,9.6,27.0,18.5,9.9,6.7,4.3,3.0
Blaxland,616,454,"1,115",456,312,379,212,147,16.4,12.1,29.8,12.2,8.3,10.1,5.7,3.9
Blue Bay,63,54,62,47,60,55,39,20,15.5,13.3,15.3,11.6,14.8,13.5,9.6,4.9
Blue Haven,340,358,259,200,337,296,323,278,13.9,14.6,10.6,8.2,13.8,12.1,13.2,11.4
Bolton Point,105,92,128,72,66,89,102,75,14.2,12.4,17.3,9.7,8.9,12.0,13.8,10.1
Bondi,595,492,"2,055",886,448,464,206,87,11.2,9.2,38.6,16.6,8.4,8.7,3.9,1.6
Bondi Beach,690,528,"2,541","1,156",523,572,231,109,10.6,8.1,39.2,17.8,8.1,8.8,3.6,1.7
Bondi Junction,585,378,"1,667",701,356,421,177,77,13.1,8.5,37.4,15.7,8.0,9.5,4.0,1.7
Bonnet Bay,247,109,321,221,101,88,51,27,20.9,9.2,27.2,18.7,8.5,7.4,4.3,2.3
Bonnyrigg,385,444,340,212,256,249,445,363,13.8,15.9,12.2,7.6,9.2,8.9,15.9,13.0
Bonnyrigg Heights,532,548,434,247,333,220,393,367,16.8,17.3,13.7,7.8,10.5,7.0,12.4,11.6
Booker Bay,69,55,69,54,47,39,35,17,17.5,13.9,17.5,13.7,11.9,9.9,8.9,4.3
Boolaroo,62,92,48,17,42,42,57,44,15.1,22.4,11.7,4.1,10.2,10.2,13.9,10.7
Booragul,69,74,63,29,57,48,74,47,14.8,15.8,13.5,6.2,12.2,10.3,15.8,10.1
Bossley Park,"1,144",996,932,548,577,517,626,627,18.7,16.3,15.2,9.0,9.4,8.5,10.2,10.3
Botany,836,564,881,579,379,441,317,303,19.1,12.9,20.1,13.2,8.6,10.1,7.2,6.9
Bow Bowing,165,115,105,76,62,77,105,84,20.5,14.3,13.0,9.4,7.7,9.6,13.0,10.4
Bradbury,695,575,552,298,365,433,380,432,18.3,15.1,14.5,7.8,9.6,11.4,10.0,11.4
Broadmeadow,129,118,181,78,71,82,84,40,16.3,14.9,22.8,9.8,9.0,10.3,10.6,5.0
Bronte,427,247,"1,480",680,261,273,93,47,11.9,6.9,41.3,19.0,7.3,7.6,2.6,1.3
Brookvale,230,193,300,203,137,135,117,72,16.4,13.7,21.3,14.4,9.7,9.6,8.3,5.1
Budgewoi,132,227,155,101,127,157,175,101,10.9,18.8,12.8,8.4,10.5,13.0,14.5,8.4
Buff Point,164,233,160,113,159,164,165,123,12.6,17.9,12.3,8.7,12.2,12.6,12.7,9.4
Bulli,375,416,745,320,192,316,183,129,13.8,15.4,27.5,11.8,7.1,11.7,6.8,4.8
Burwood,855,641,"1,603",611,607,511,488,188,15.0,11.3,28.2,10.8,10.7,9.0,8.6,3.3
Burwood Heights,67,34,104,54,34,29,20,10,18.5,9.4,28.7,14.9,9.4,8.0,5.5,2.8
Busby,172,181,73,58,116,126,201,200,14.8,15.6,6.3,5.0,10.0,10.9,17.3,17.2
Cabarita,176,53,326,235,89,49,24,17,17.8,5.4,33.0,23.8,9.0,5.0,2.4,1.7
Cabramatta,654,944,657,368,516,596,"1,502","1,029",10.0,14.4,10.0,5.6,7.9,9.1,22.9,15.7
Cabramatta West,271,291,232,169,223,187,410,360,12.2,13.1,10.5,7.6,10.1,8.4,18.5,16.2
Cambridge Gardens,240,173,122,94,112,111,106,129,21.8,15.7,11.1,8.5,10.2,10.1,9.6,11.7
Cambridge Park,525,493,302,201,320,287,335,366,18.2,17.1,10.5,7.0,11.1,10.0,11.6,12.7
Camden,247,239,354,155,130,133,125,125,16.2,15.7,23.2,10.2,8.5,8.7,8.2,8.2
Camden South,343,349,476,253,232,254,164,209,14.9,15.2,20.7,11.0,10.1,11.1,7.1,9.1
Cammeray,647,211,"1,629",871,267,261,88,49,15.8,5.2,39.9,21.3,6.5,6.4,2.2,1.2
Campbelltown,727,604,675,379,413,454,468,438,17.1,14.2,15.9,8.9,9.7,10.7,11.0,10.3
Camperdown,592,326,"2,198",782,315,439,102,53,12.2,6.7,45.3,16.1,6.5,9.0,2.1,1.1
Campsie,"1,195","1,366","1,395",651,883,931,"1,272",798,13.6,15.6,15.9,7.4,10.1,10.6,14.5,9.1
Canada Bay,116,71,183,106,70,51,40,23,17.4,10.7,27.5,15.9,10.5,7.7,6.0,3.5
Canley Heights,471,468,434,228,316,336,700,528,13.0,12.9,12.0,6.3,8.7,9.3,19.3,14.5
Canley Vale,376,435,410,160,267,287,533,445,12.3,14.3,13.5,5.3,8.8,9.4,17.5,14.6
Canterbury,424,393,607,324,261,293,321,193,14.6,13.6,21.0,11.2,9.0,10.1,11.1,6.7
Canton Beach,27,36,28,24,23,32,32,22,11.9,15.9,12.3,10.6,10.1,14.1,14.1,9.7
Cardiff,400,453,474,214,287,254,296,197,15.2,17.2,18.0,8.1,10.9,9.7,11.3,7.5
Cardiff Heights,69,70,195,54,62,44,35,23,12.3,12.5,34.8,9.6,11.1,7.8,6.2,4.1
Cardiff South,266,270,198,104,176,147,161,129,18.1,18.4,13.5,7.1,12.0,10.0,11.0,8.8
Caringbah,"1,003",843,"1,205",697,558,628,358,309,17.7,14.9,21.3,12.3,9.8,11.1,6.3,5.5
Carlingford,"1,672","1,079","3,127","1,397",889,739,572,377,16.6,10.7,31.1,13.9,8.8,7.3,5.7,3.7
Carlton,800,603,"1,083",451,447,423,426,315,17.2,13.0,23.3,9.7,9.6,9.1,9.2,6.8
Carramar,134,163,135,59,79,126,196,178,12.0,14.6,12.1,5.3,7.1,11.3,17.6,16.0
Carrington,122,109,253,82,74,124,91,55,13.3,11.9,27.6,8.9,8.1,13.5,9.9,6.0
Carss Park,95,51,152,106,61,40,18,10,17.4,9.3,27.8,19.4,11.2,7.3,3.3,1.8
Cartwright,90,84,49,20,56,63,111,97,15.0,14.0,8.2,3.3,9.3,10.5,18.5,16.2
Castle Cove,157,64,429,261,77,69,39,11,14.0,5.7,38.1,23.2,6.8,6.1,3.5,1.0
Castle Hill,"3,199","1,827","5,782","3,545","1,981","1,277",732,423,16.8,9.6,30.4,18.6,10.4,6.7,3.8,2.2
Castlecrag,151,56,557,337,92,82,30,19,11.2,4.2,41.3,25.0,6.8,6.1,2.2,1.4
Casula,"1,116",871,"1,083",640,573,553,581,562,18.3,14.3,17.7,10.5,9.4,9.1,9.5,9.2
Caves Beach,246,277,388,195,196,192,159,93,14.0,15.7,22.0,11.1,11.1,10.9,9.0,5.3
Cecil Hills,592,492,539,418,391,227,297,307,17.6,14.6,16.0,12.4,11.6,6.7,8.8,9.1
Centennial Park,215,92,551,234,103,96,34,22,15.8,6.7,40.4,17.2,7.6,7.0,2.5,1.6
Charlestown,992,939,"1,426",621,680,584,455,322,16.3,15.4,23.4,10.2,11.2,9.6,7.5,5.3
Charmhaven,110,139,103,82,107,126,132,102,12.0,15.2,11.2,9.0,11.7,13.8,14.4,11.1
Chatswood,"1,417",829,"3,815","1,612",794,763,406,175,14.1,8.2,38.0,16.0,7.9,7.6,4.0,1.7
Chatswood West,103,47,285,128,55,41,27,3,14.7,6.7,40.6,18.2,7.8,5.8,3.8,0.4
Cheltenham,141,69,434,204,101,69,18,14,13.3,6.5,40.9,19.2,9.5,6.5,1.7,1.3
Cherrybrook,"1,577",821,"3,268","1,646",888,721,397,188,16.3,8.5,33.8,17.0,9.2,7.5,4.1,1.9
Chester Hill,791,649,602,343,389,350,498,485,18.8,15.4,14.3,8.2,9.2,8.3,11.8,11.5
Chifley,302,200,260,185,132,158,104,101,20.4,13.5,17.6,12.5,8.9,10.7,7.0,6.8
Chippendale,337,182,942,296,221,203,98,29,14.3,7.7,40.0,12.6,9.4,8.6,4.2,1.2
Chipping Norton,899,673,833,568,438,376,310,332,20.0,15.0,18.5,12.6,9.7,8.4,6.9,7.4
Chiswick,205,107,576,310,125,102,39,20,13.5,7.1,38.1,20.5,8.3,6.7,2.6,1.3
Chittaway Bay,126,154,123,73,94,103,128,58,14.5,17.7,14.1,8.4,10.8,11.8,14.7,6.7
Chittaway Point,60,79,60,55,60,43,53,31,13.5,17.8,13.5,12.4,13.5,9.7,11.9,7.0
Church Point,83,46,169,119,48,34,12,10,15.4,8.5,31.3,22.0,8.9,6.3,2.2,1.9
Claremont Meadows,434,323,289,176,218,213,188,230,20.5,15.2,13.6,8.3,10.3,10.0,8.9,10.8
Claymore,45,31,20,19,35,56,111,107,9.9,6.8,4.4,4.2,7.7,12.3,24.4,23.5
Clontarf,101,33,267,175,61,64,6,11,13.6,4.5,36.0,23.6,8.2,8.6,0.8,1.5
Clovelly,299,173,"1,059",486,152,207,41,34,12.0,6.9,42.4,19.5,6.1,8.3,1.6,1.4
Coal Point,107,119,215,142,77,50,44,32,13.3,14.8,26.8,17.7,9.6,6.2,5.5,4.0
Coledale,67,76,190,86,35,63,36,21,11.4,12.9,32.3,14.6,6.0,10.7,6.1,3.6
Collaroy,"1,252","1,068","1,901","1,228",763,683,366,228,16.4,14.0,25.0,16.1,10.0,9.0,4.8,3.0
Colyton,671,506,331,259,354,366,441,509,19.1,14.4,9.4,7.4,10.1,10.4,12.5,14.5
Como,320,248,632,303,167,162,87,60,16.0,12.4,31.7,15.2,8.4,8.1,4.4,3.0
Concord,"1,185",744,"1,914","1,086",687,507,362,224,17.4,10.9,28.1,15.9,10.1,7.4,5.3,3.3
Concord West,522,357,829,373,242,210,149,83,18.6,12.7,29.5,13.3,8.6,7.5,5.3,3.0
Condell Park,613,614,642,408,353,330,365,360,16.2,16.2,16.9,10.8,9.3,8.7,9.6,9.5
Coniston,146,107,198,73,62,105,111,70,16.5,12.1,22.4,8.3,7.0,11.9,12.6,7.9
Connells Point,254,127,339,238,129,77,42,42,19.9,10.0,26.6,18.7,10.1,6.0,3.3,3.3
Coogee,"1,117",763,"3,467","1,342",577,711,246,134,13.1,9.0,40.7,15.7,6.8,8.3,2.9,1.6
Cooks Hill,230,211,875,224,167,201,100,58,11.0,10.1,41.7,10.7,8.0,9.6,4.8,2.8
Copacabana,135,201,375,173,129,166,82,42,10.3,15.3,28.5,13.1,9.8,12.6,6.2,3.2
Cordeaux Heights,392,391,644,293,253,238,195,142,15.1,15.1,24.8,11.3,9.7,9.2,7.5,5.5
Corrimal,406,453,524,246,244,328,256,231,14.8,16.6,19.2,9.0,8.9,12.0,9.4,8.4
Cranebrook,"1,398","1,258",997,759,747,762,682,699,18.8,16.9,13.4,10.2,10.1,10.3,9.2,9.4
Cremorne,917,355,"2,585","1,314",466,392,122,70,14.5,5.6,40.8,20.7,7.4,6.2,1.9,1.1
Cremorne Point,129,40,496,289,64,63,6,8,11.6,3.6,44.5,25.9,5.7,5.7,0.5,0.7
Cringila,56,102,47,23,60,68,122,76,9.8,17.8,8.2,4.0,10.5,11.8,21.3,13.2
Cromer,593,513,792,573,367,323,245,130,16.5,14.2,22.0,15.9,10.2,9.0,6.8,3.6
Cronulla,"1,625","1,385","2,374","1,524",915,"1,179",489,394,16.2,13.8,23.6,15.2,9.1,11.7,4.9,3.9
Croudace Bay,46,54,63,30,22,27,11,10,17.5,20.5,24.0,11.4,8.4,10.3,4.2,3.8
Crows Nest,343,195,"1,063",523,170,130,59,20,13.4,7.6,41.6,20.4,6.6,5.1,2.3,0.8
Croydon,805,484,"1,582",636,405,418,300,213,16.4,9.8,32.2,12.9,8.2,8.5,6.1,4.3
Croydon Park,882,654,"1,268",615,462,471,402,247,17.2,12.8,24.8,12.0,9.0,9.2,7.9,4.8
Curl Curl,150,127,355,233,109,86,71,25,12.7,10.8,30.1,19.7,9.2,7.3,6.0,2.1
Currans Hill,470,374,390,284,222,256,220,292,18.5,14.7,15.3,11.2,8.7,10.1,8.7,11.5
Daceyville,58,36,49,33,27,33,28,20,20.0,12.4,16.9,11.4,9.3,11.4,9.7,6.9
Daleys Point,38,40,41,28,22,24,11,11,17.1,18.0,18.5,12.6,9.9,10.8,5.0,5.0
Dapto,628,838,555,305,450,552,496,494,14.3,19.1,12.7,7.0,10.3,12.6,11.3,11.3
Darling Point,259,76,855,459,142,103,27,3,13.0,3.8,43.0,23.1,7.1,5.2,1.4,0.2
Darlinghurst,726,428,"2,774","1,160",488,583,225,64,11.1,6.5,42.3,17.7,7.4,8.9,3.4,1.0
Darlington,186,105,517,127,118,154,40,17,14.5,8.2,40.2,9.9,9.2,12.0,3.1,1.3
Davidson,237,123,361,243,131,101,52,20,18.5,9.6,28.2,19.0,10.2,7.9,4.1,1.6
Davistown,170,203,142,123,96,107,82,52,17.2,20.5,14.4,12.4,9.7,10.8,8.3,5.3
Dawes Point,21,8,125,99,20,12,5,0,7.1,2.7,42.2,33.4,6.8,4.1,1.7,0.0
Dean Park,271,240,158,105,136,140,181,182,18.9,16.8,11.0,7.3,9.5,9.8,12.6,12.7
Dee Why,"1,687","1,656","2,584","1,516","1,179","1,213",950,609,14.6,14.3,22.3,13.1,10.2,10.5,8.2,5.3
Denistone,284,174,621,278,162,125,92,47,15.6,9.6,34.2,15.3,8.9,6.9,5.1,2.6
Denistone East,170,103,346,150,82,72,54,26,16.7,10.1,33.9,14.7,8.0,7.1,5.3,2.5
Denistone West,56,37,184,60,37,27,13,15,12.9,8.5,42.5,13.9,8.5,6.2,3.0,3.5
Dharruk,193,124,84,55,89,104,161,200,18.5,11.9,8.1,5.3,8.5,10.0,15.5,19.2
Dolans Bay,57,36,65,54,26,21,11,5,20.2,12.8,23.0,19.1,9.2,7.4,3.9,1.8
Dolls Point,180,112,212,111,97,79,47,50,19.6,12.2,23.1,12.1,10.6,8.6,5.1,5.4
Doonside,972,723,693,302,492,523,667,682,18.8,14.0,13.4,5.8,9.5,10.1,12.9,13.2
Double Bay,311,115,"1,055",508,219,164,43,15,12.5,4.6,42.5,20.4,8.8,6.6,1.7,0.6
Dover Heights,257,87,761,431,174,110,36,17,13.4,4.5,39.6,22.4,9.1,5.7,1.9,0.9
Drummoyne,890,413,"2,184","1,344",488,385,158,81,14.7,6.8,36.1,22.2,8.1,6.4,2.6,1.3
Dudley,148,150,351,150,88,101,59,48,13.4,13.6,31.8,13.6,8.0,9.2,5.3,4.4
Dulwich Hill,"1,011",699,"2,361",965,476,549,441,267,14.7,10.2,34.3,14.0,6.9,8.0,6.4,3.9
Dundas,320,242,446,205,144,145,136,101,18.1,13.7,25.2,11.6,8.1,8.2,7.7,5.7
Dundas Valley,360,315,546,243,191,183,182,91,16.7,14.6,25.4,11.3,8.9,8.5,8.5,4.2
Dural,638,442,928,727,375,249,203,102,17.1,11.9,24.9,19.5,10.1,6.7,5.5,2.7
Eagle Vale,498,409,323,206,281,284,341,354,18.2,14.9,11.8,7.5,10.2,10.4,12.4,12.9
Earlwood,"1,284",992,"1,858","1,055",728,558,515,434,16.9,13.1,24.5,13.9,9.6,7.3,6.8,5.7
East Gosford,278,200,418,165,165,179,137,59,17.1,12.3,25.7,10.1,10.1,11.0,8.4,3.6
East Hills,323,241,263,186,125,134,111,94,21.4,16.0,17.4,12.3,8.3,8.9,7.4,6.2
East Killara,201,68,467,281,106,77,31,11,15.9,5.4,36.9,22.2,8.4,6.1,2.5,0.9
East Lindfield,208,58,634,328,106,75,33,10,14.0,3.9,42.7,22.1,7.1,5.0,2.2,0.7
East Ryde,197,101,390,195,94,85,27,25,17.5,9.0,34.6,17.3,8.3,7.5,2.4,2.2
Eastern Creek,53,51,28,21,39,39,44,54,15.5,15.0,8.2,6.2,11.4,11.4,12.9,15.8
Eastlakes,433,360,416,200,325,293,348,254,16.1,13.4,15.4,7.4,12.1,10.9,12.9,9.4
Eastwood,"1,170",764,"2,491",918,644,569,442,204,15.9,10.4,34.0,12.5,8.8,7.8,6.0,2.8
Edensor Park,675,701,610,422,445,315,505,434,16.0,16.6,14.5,10.0,10.6,7.5,12.0,10.3
Edgecliff,155,59,479,232,98,67,26,9,13.4,5.1,41.5,20.1,8.5,5.8,2.3,0.8
Edgeworth,417,538,255,171,318,290,392,274,15.5,20.0,9.5,6.3,11.8,10.8,14.5,10.2
Elanora Heights,315,252,498,355,196,181,84,49,16.0,12.8,25.2,18.0,9.9,9.2,4.3,2.5
Elderslie,385,325,478,263,197,221,152,138,17.7,15.0,22.0,12.1,9.1,10.2,7.0,6.4
Eleebana,460,380,799,370,291,249,149,107,16.1,13.3,28.0,13.0,10.2,8.7,5.2,3.8
Elermore Vale,383,370,537,212,241,244,240,162,15.8,15.3,22.2,8.8,10.0,10.1,9.9,6.7
Elizabeth Bay,410,166,"1,476",608,215,220,56,21,12.6,5.1,45.5,18.7,6.6,6.8,1.7,0.6
Emerton,82,95,56,25,53,71,138,148,11.8,13.7,8.1,3.6,7.6,10.2,19.9,21.3
Empire Bay,161,184,169,111,112,120,94,54,15.7,17.9,16.4,10.8,10.9,11.7,9.1,5.3
Emu Heights,307,298,331,185,191,178,160,122,17.1,16.6,18.4,10.3,10.6,9.9,8.9,6.8
Emu Plains,754,548,712,447,378,347,305,267,19.7,14.3,18.6,11.7,9.9,9.0,8.0,7.0
Enfield,234,149,268,164,133,114,81,54,19.1,12.2,21.9,13.4,10.8,9.3,6.6,4.4
Engadine,"1,754","1,520","1,627",959,791,941,520,409,20.3,17.6,18.9,11.1,9.2,10.9,6.0,4.7
Enmore,272,175,893,285,139,172,80,60,12.9,8.3,42.3,13.5,6.6,8.2,3.8,2.8
Epping,"1,629",813,"3,959","1,361",775,666,412,211,16.3,8.1,39.7,13.6,7.8,6.7,4.1,2.1
Erina,234,216,287,203,207,179,153,48,15.1,14.0,18.5,13.1,13.4,11.6,9.9,3.1
Ermington,732,606,911,519,380,339,337,228,17.6,14.6,22.0,12.5,9.2,8.2,8.1,5.5
Erskine Park,760,595,433,405,364,330,318,373,20.9,16.3,11.9,11.1,10.0,9.1,8.7,10.2
Erskineville,674,360,"2,091",863,289,355,113,73,13.8,7.4,42.9,17.7,5.9,7.3,2.3,1.5
Eschol Park,256,237,163,95,133,130,132,140,19.5,18.0,12.4,7.2,10.1,9.9,10.0,10.6
Ettalong Beach,248,239,189,155,149,184,193,110,16.4,15.8,12.5,10.3,9.9,12.2,12.8,7.3
Fairfield,730,796,658,290,435,484,818,685,14.4,15.7,13.0,5.7,8.6,9.6,16.2,13.5
Fairfield East,221,259,232,86,108,142,252,209,14.1,16.6,14.8,5.5,6.9,9.1,16.1,13.4
Fairfield Heights,296,309,274,122,193,162,336,236,14.8,15.5,13.7,6.1,9.7,8.1,16.9,11.8
Fairfield West,615,672,460,260,367,305,599,516,15.7,17.2,11.8,6.7,9.4,7.8,15.3,13.2
Fairlight,404,220,"1,189",603,244,258,107,55,12.9,7.0,38.0,19.3,7.8,8.2,3.4,1.8
