,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Grasmere,410.0,193.0,4.0,67.5,31.8,0.7,11739
Camden,780.0,415.0,30.0,63.7,33.9,2.4,10770
Camden Park (NSW),580.0,38.0,11.0,92.2,6.0,1.7,10772
Cawdor (NSW),107.0,21.0,0.0,83.6,16.4,0.0,10863
Camden South,1293.0,266.0,22.0,81.8,16.8,1.4,10773
Harrington Park,2755.0,204.0,21.0,92.4,6.8,0.7,11859
Elderslie (Camden - NSW),1614.0,298.0,29.0,83.2,15.4,1.5,11391
Narellan,975.0,254.0,40.0,76.8,20.0,3.2,12896
Kirkham,176.0,15.0,0.0,92.1,7.9,0.0,12171
Mount Annan,3106.0,317.0,46.0,89.5,9.1,1.3,12745
Currans Hill,1394.0,233.0,27.0,84.3,14.1,1.6,11175
Gregory Hills,1324.0,111.0,21.0,90.9,7.6,1.4,11774
Narellan Vale,1901.0,259.0,32.0,86.7,11.8,1.5,12897
Spring Farm (NSW),1211.0,182.0,24.0,85.5,12.8,1.7,13612
Airds,692.0,227.0,18.0,73.9,24.2,1.9,10022
Bradbury (NSW),2304.0,579.0,86.0,77.6,19.5,2.9,10543
St Helens Park,1683.0,310.0,43.0,82.7,15.2,2.1,13637
Wedderburn (NSW),141.0,23.0,3.0,84.4,13.8,1.8,14209
Woodbine (NSW),694.0,127.0,10.0,83.5,15.3,1.2,14378
Campbelltown (NSW),3040.0,1471.0,180.0,64.8,31.4,3.8,10780
Leumeah,2528.0,824.0,89.0,73.5,23.9,2.6,12308
Blair Athol (NSW),699.0,54.0,14.0,91.1,7.0,1.8,10400
Raby,1613.0,244.0,33.0,85.3,12.9,1.7,13303
Eagle Vale,1502.0,240.0,30.0,84.8,13.5,1.7,11341
Eschol Park,720.0,124.0,14.0,83.9,14.5,1.6,11441
Blairmount,97.0,14.0,3.0,85.1,12.3,2.6,10401
Kearns,710.0,105.0,17.0,85.3,12.6,2.0,12079
Claymore,493.0,94.0,19.0,81.4,15.5,3.1,10924
Holsworthy,1277.0,125.0,23.0,89.6,8.8,1.6,11926
Ingleburn,3824.0,1047.0,114.0,76.7,21.0,2.3,11978
Macquarie Links,343.0,35.0,3.0,90.0,9.2,0.8,12435
Denham Court,484.0,79.0,7.0,84.9,13.9,1.2,11235
Bardia,405.0,47.0,15.0,86.7,10.1,3.2,10194
Edmondson Park,545.0,31.0,0.0,94.6,5.4,0.0,11383
Ruse,1518.0,302.0,40.0,81.6,16.2,2.2,13443
Kentlyn,169.0,39.0,0.0,81.2,18.8,0.0,12101
Minto Heights,88.0,9.0,0.0,90.7,9.3,0.0,12643
Macquarie Fields,3352.0,930.0,118.0,76.2,21.1,2.7,12433
Glenfield (NSW),2387.0,443.0,74.0,82.2,15.3,2.5,11664
St Andrews (NSW),1514.0,231.0,31.0,85.2,13.0,1.7,13631
Bow Bowing,418.0,70.0,4.0,85.0,14.2,0.8,10526
Minto,3092.0,652.0,77.0,80.9,17.1,2.0,12642
Rosemeadow,1956.0,395.0,60.0,81.1,16.4,2.5,13410
Ambarvale,1895.0,356.0,49.0,82.4,15.5,2.1,10049
Menangle Park,73.0,9.0,0.0,89.0,11.0,0.0,12569
Gilead,89.0,40.0,0.0,69.0,31.0,0.0,11617
Glen Alpine,1215.0,80.0,10.0,93.1,6.1,0.8,11645
Englorie Park,108.0,20.0,7.0,80.0,14.8,5.2,11423
Yanderra,159.0,32.0,7.0,80.3,16.2,3.5,14461
Douglas Park,364.0,57.0,12.0,84.1,13.2,2.8,11283
Razorback,272.0,27.0,4.0,89.8,8.9,1.3,13328
Appin (NSW),686.0,90.0,10.0,87.3,11.5,1.3,10063
Menangle,289.0,69.0,4.0,79.8,19.1,1.1,12568
Picton (NSW),1288.0,284.0,26.0,80.6,17.8,1.6,13200
Tahmoor,1317.0,357.0,39.0,76.9,20.8,2.3,13727
Buxton (NSW),531.0,90.0,3.0,85.1,14.4,0.5,10726
Thirlmere,1031.0,259.0,21.0,78.6,19.8,1.6,13847
Couridjah,72.0,18.0,0.0,80.0,20.0,0.0,11093
Lakesland,117.0,10.0,3.0,90.0,7.7,2.3,12258
The Oaks,683.0,103.0,11.0,85.7,12.9,1.4,13831
Werombi,238.0,22.0,3.0,90.5,8.4,1.1,14232
Orangeville,322.0,31.0,3.0,90.4,8.7,0.8,13094
Belimbla Park,147.0,19.0,7.0,85.0,11.0,4.0,10261
Mount Hunter,182.0,21.0,3.0,88.3,10.2,1.5,12765
Theresa Park,139.0,16.0,3.0,88.0,10.1,1.9,13845
Silverdale (NSW),946.0,91.0,12.0,90.2,8.7,1.1,13544
Oakdale (NSW),462.0,109.0,10.0,79.5,18.8,1.7,13054
Blackheath,1178.0,664.0,75.0,61.5,34.6,3.9,10393
Mount Victoria,240.0,138.0,17.0,60.8,34.9,4.3,12797
Glenbrook,1346.0,322.0,48.0,78.4,18.8,2.8,11656
Blaxland (NSW),2081.0,468.0,42.0,80.3,18.1,1.6,10407
Warrimoo,673.0,140.0,10.0,81.8,17.0,1.2,14174
Lapstone,263.0,59.0,3.0,80.9,18.2,0.9,12276
Mount Riverview,891.0,135.0,17.0,85.4,12.9,1.6,12788
Yarramundi,199.0,26.0,3.0,87.3,11.4,1.3,14477
Katoomba,1870.0,1314.0,206.0,55.2,38.8,6.1,12077
Leura,1084.0,656.0,74.0,59.8,36.2,4.1,12309
Medlow Bath,158.0,80.0,15.0,62.5,31.6,5.9,12553
Linden (NSW),135.0,31.0,6.0,78.5,18.0,3.5,12335
Woodford (NSW),543.0,153.0,15.0,76.4,21.5,2.1,14383
Hazelbrook,1320.0,459.0,44.0,72.4,25.2,2.4,11881
Lawson (NSW),663.0,306.0,35.0,66.0,30.5,3.5,12289
