,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Lower Boro,48.0,20.0,4.0,66.7,27.8,5.6,12402
New South Wales,1874524.0,620778.0,109004.0,72.0,23.8,4.2,
Australia,5907625.0,2023542.0,354917.0,71.3,24.4,4.3,
Oallen,32.0,20.0,0.0,61.5,38.5,0.0,13062
Braidwood,414.0,186.0,13.0,67.5,30.3,2.1,10547
Majors Creek (NSW),70.0,29.0,0.0,70.7,29.3,0.0,12452
Araluen (NSW),38.0,28.0,0.0,57.6,42.4,0.0,10070
Reidsdale,34.0,7.0,0.0,82.9,17.1,0.0,13348
Bombay,30.0,10.0,0.0,75.0,25.0,0.0,10456
Warri,25.0,15.0,0.0,62.5,37.5,0.0,14172
Manar,28.0,3.0,0.0,90.3,9.7,0.0,12462
Mongarlowe,34.0,17.0,0.0,66.7,33.3,0.0,12678
Karabar,2175.0,713.0,78.0,73.3,24.0,2.6,12071
Queanbeyan,1421.0,1110.0,103.0,53.9,42.1,3.9,13291
Crestwood,1102.0,821.0,67.0,55.4,41.3,3.4,11115
Queanbeyan East,931.0,758.0,63.0,53.1,43.3,3.6,13292
Greenleigh,199.0,20.0,0.0,90.9,9.1,0.0,11767
The Ridgeway,47.0,9.0,4.0,78.3,15.0,6.7,13836
Bungendore,1135.0,164.0,21.0,86.0,12.4,1.6,10684
Sutton (NSW),376.0,82.0,0.0,82.1,17.9,0.0,13702
Carwoola,395.0,54.0,8.0,86.4,11.8,1.8,10841
Hoskinstown,52.0,12.0,0.0,81.2,18.8,0.0,11944
Captains Flat,151.0,79.0,8.0,63.4,33.2,3.4,10804
Burra (Queanbeyan-Palerang Regional - NSW),214.0,28.0,3.0,87.3,11.4,1.2,10697
Mount Fairy,60.0,15.0,0.0,80.0,20.0,0.0,12758
Mulloon,37.0,7.0,0.0,84.1,15.9,0.0,12827
Royalla,257.0,15.0,0.0,94.5,5.5,0.0,13434
Primrose Valley,42.0,13.0,0.0,76.4,23.6,0.0,13265
Urila,29.0,7.0,3.0,74.4,17.9,7.7,14059
Tarago,115.0,24.0,0.0,82.7,17.3,0.0,13758
Currawang,46.0,11.0,0.0,80.7,19.3,0.0,11177
Googong,712.0,62.0,8.0,91.0,7.9,1.0,11704
Wamboin,452.0,63.0,3.0,87.3,12.2,0.6,14123
Bywong,378.0,68.0,4.0,84.0,15.1,0.9,10735
Michelago,139.0,35.0,3.0,78.5,19.8,1.7,12598
Jerrabomberra,2594.0,388.0,35.0,86.0,12.9,1.2,12016
Queanbeyan West,798.0,291.0,37.0,70.9,25.8,3.3,13293
Delegate,89.0,63.0,7.0,56.0,39.6,4.4,11233
Bombala,350.0,182.0,14.0,64.1,33.3,2.6,10455
Cathcart (NSW),32.0,7.0,0.0,82.1,17.9,0.0,10855
Cooma (NSW),1673.0,938.0,78.0,62.2,34.9,2.9,11036
Kosciuszko National Park,57.0,62.0,3.0,46.7,50.8,2.5,12199
Adaminaby,82.0,55.0,0.0,59.9,40.1,0.0,10015
Nimmitabel,82.0,47.0,0.0,63.6,36.4,0.0,12966
Numeralla,66.0,19.0,0.0,77.6,22.4,0.0,13039
Colinton (NSW),36.0,7.0,3.0,78.3,15.2,6.5,10968
Dairymans Plains,44.0,11.0,0.0,80.0,20.0,0.0,11188
Binjura,85.0,23.0,3.0,76.6,20.7,2.7,10370
Bunyan,40.0,21.0,0.0,65.6,34.4,0.0,10691
Bredbo,88.0,16.0,0.0,84.6,15.4,0.0,10559
Berridale,300.0,148.0,12.0,65.2,32.2,2.6,10316
Kalkite,61.0,12.0,4.0,79.2,15.6,5.2,12052
Crackenback,39.0,14.0,3.0,69.6,25.0,5.4,11103
Jindabyne,558.0,263.0,92.0,61.1,28.8,10.1,12030
East Jindabyne,179.0,47.0,6.0,77.2,20.3,2.6,11352
Dalgety,56.0,28.0,3.0,64.4,32.2,3.4,11190
Moonbah,144.0,40.0,5.0,76.2,21.2,2.6,12698
Catalina,598.0,285.0,19.0,66.3,31.6,2.1,10853
Batemans Bay,321.0,332.0,24.0,47.4,49.0,3.5,10229
Nelligen,104.0,35.0,0.0,74.8,25.2,0.0,12920
Long Beach,435.0,100.0,9.0,80.0,18.4,1.7,12376
Benandarah,32.0,26.0,0.0,55.2,44.8,0.0,10287
North Batemans Bay,147.0,75.0,6.0,64.5,32.9,2.6,12982
Surfside,375.0,139.0,22.0,70.0,25.9,4.1,13698
Maloneys Beach,113.0,36.0,0.0,75.8,24.2,0.0,12460
Lilli Pilli (Eurobodalla - NSW),187.0,48.0,0.0,79.6,20.4,0.0,12321
Malua Bay,543.0,169.0,19.0,74.3,23.1,2.6,12461
Surf Beach (NSW),508.0,257.0,19.0,64.8,32.8,2.4,13697
Denhams Beach,139.0,51.0,10.0,69.5,25.5,5.0,11236
Sunshine Bay,369.0,147.0,14.0,69.6,27.7,2.6,13695
Rosedale (NSW),67.0,21.0,0.0,76.1,23.9,0.0,13407
Batehaven,443.0,267.0,22.0,60.5,36.5,3.0,10228
Bega,1185.0,586.0,44.0,65.3,32.3,2.4,10253
Tathra,437.0,254.0,18.0,61.6,35.8,2.5,13774
Kalaru,178.0,70.0,0.0,71.8,28.2,0.0,12051
Wallagoot,143.0,37.0,0.0,79.4,20.6,0.0,14103
Bournda,33.0,18.0,4.0,60.0,32.7,7.3,10524
Black Range (NSW),51.0,9.0,0.0,85.0,15.0,0.0,10388
Tarraganda,93.0,33.0,3.0,72.1,25.6,2.3,13768
Kanoona,39.0,0.0,0.0,100.0,0.0,0.0,12066
Toothdale,52.0,6.0,0.0,89.7,10.3,0.0,13914
Wolumla,196.0,51.0,14.0,75.1,19.5,5.4,14362
South Wolumla,48.0,8.0,0.0,85.7,14.3,0.0,13602
Wyndham (NSW),100.0,45.0,0.0,69.0,31.0,0.0,14443
Kiah,38.0,25.0,3.0,57.6,37.9,4.5,12115
Towamba,59.0,30.0,8.0,60.8,30.9,8.2,13927
Lochiel (NSW),102.0,22.0,6.0,78.5,16.9,4.6,12367
Nethercote,106.0,11.0,3.0,88.3,9.2,2.5,12932
Candelo,188.0,76.0,3.0,70.4,28.5,1.1,10788
Tantawangalo,40.0,8.0,0.0,83.3,16.7,0.0,13753
Bemboka,153.0,80.0,9.0,63.2,33.1,3.7,10284
Quaama,76.0,40.0,4.0,63.3,33.3,3.3,13285
Cobargo,206.0,103.0,9.0,64.8,32.4,2.8,10951
Yowrie,34.0,14.0,0.0,70.8,29.2,0.0,14520
Wandella (NSW),45.0,9.0,3.0,78.9,15.8,5.3,14128
Angledale,44.0,16.0,0.0,73.3,26.7,0.0,10056
Verona,89.0,28.0,3.0,74.2,23.3,2.5,14073
Tanja,47.0,20.0,0.0,70.1,29.9,0.0,13749
Coolagolite,83.0,30.0,4.0,70.9,25.6,3.4,11023
Brogo,135.0,66.0,6.0,65.2,31.9,2.9,10589
Coopers Gully,43.0,16.0,0.0,72.9,27.1,0.0,11048
Stony Creek (Bega Valley - NSW),38.0,11.0,0.0,77.6,22.4,0.0,13668
Numbugga,35.0,9.0,0.0,79.5,20.5,0.0,13038
Buckajo,87.0,20.0,0.0,81.3,18.7,0.0,10629
Kameruka,30.0,5.0,0.0,85.7,14.3,0.0,12054
Greigs Flat,41.0,10.0,0.0,80.4,19.6,0.0,11775
Broulee,432.0,221.0,17.0,64.5,33.0,2.5,10608
Tomakin,259.0,125.0,11.0,65.6,31.6,2.8,13890
Mossy Point,165.0,55.0,8.0,72.4,24.1,3.5,12741
Bodalla,215.0,72.0,6.0,73.4,24.6,2.0,10434
Narooma,658.0,479.0,33.0,56.2,40.9,2.8,12900
Eden,774.0,436.0,39.0,62.0,34.9,3.1,11375
South Durras,82.0,34.0,7.0,66.7,27.6,5.7,13580
Mogo (Eurobodalla - NSW),77.0,41.0,0.0,65.3,34.7,0.0,12660
Jeremadra,54.0,14.0,0.0,79.4,20.6,0.0,12012
Mogendoura,58.0,14.0,6.0,74.4,17.9,7.7,12657
Turlinjah,41.0,11.0,3.0,74.5,20.0,5.5,13975
Potato Point,36.0,20.0,0.0,64.3,35.7,0.0,13253
Kianga (NSW),222.0,97.0,5.0,68.5,29.9,1.5,12119
Tuross Head,683.0,326.0,29.0,65.8,31.4,2.8,13979
Pambula Beach,193.0,81.0,9.0,68.2,28.6,3.2,13141
Merimbula,887.0,586.0,42.0,58.5,38.7,2.8,12575
Tura Beach,916.0,333.0,24.0,72.0,26.2,1.9,13973
South Pambula,130.0,25.0,0.0,83.9,16.1,0.0,13595
Pambula,240.0,135.0,6.0,63.0,35.4,1.6,13140
Broadwater (Bega Valley - NSW),36.0,6.0,0.0,85.7,14.3,0.0,10579
Bald Hills (NSW),68.0,15.0,0.0,81.9,18.1,0.0,10147
Millingandi,127.0,84.0,3.0,59.3,39.3,1.4,12622
Mirador,123.0,15.0,0.0,89.1,10.9,0.0,12644
Berrambool,118.0,74.0,8.0,59.0,37.0,4.0,10312
Moruya,1054.0,541.0,39.0,64.5,33.1,2.4,12734
Moruya Heads,273.0,101.0,14.0,70.4,26.0,3.6,12735
Bergalia,54.0,9.0,0.0,85.7,14.3,0.0,10302
Congo,58.0,32.0,3.0,62.4,34.4,3.2,11008
Bingie,61.0,17.0,3.0,75.3,21.0,3.7,10367
Bermagui,409.0,231.0,20.0,62.0,35.0,3.0,10307
Dalmeny,506.0,226.0,16.0,67.6,30.2,2.1,11191
Wallaga Lake,157.0,95.0,5.0,61.1,37.0,1.9,14102
Central Tilba,77.0,30.0,3.0,70.0,27.3,2.7,10877
North Narooma,201.0,56.0,3.0,77.3,21.5,1.2,12998
Akolele,30.0,13.0,0.0,69.8,30.2,0.0,10023
Mystery Bay,52.0,29.0,0.0,64.2,35.8,0.0,12883
Goulburn,5518.0,2690.0,219.0,65.5,31.9,2.6,11725
Run-o-Waters,143.0,10.0,0.0,93.5,6.5,0.0,13440
Marulan,307.0,122.0,5.0,70.7,28.1,1.2,12513
Windellama,90.0,51.0,0.0,63.8,36.2,0.0,14318
Bigga,56.0,33.0,0.0,62.9,37.1,0.0,10346
Tirrannaville,61.0,20.0,3.0,72.6,23.8,3.6,13883
Lake Bathurst,47.0,16.0,0.0,74.6,25.4,0.0,12239
Quialigo,75.0,15.0,0.0,83.3,16.7,0.0,13297
Laggan,103.0,17.0,3.0,83.7,13.8,2.4,12235
Grabben Gullen,56.0,26.0,0.0,68.3,31.7,0.0,11731
Parkesbourne,55.0,8.0,3.0,83.3,12.1,4.5,13152
Yarra,48.0,7.0,5.0,80.0,11.7,8.3,14468
Crookwell,706.0,343.0,16.0,66.3,32.2,1.5,11123
Bungonia,102.0,34.0,3.0,73.4,24.5,2.2,10685
Collector,83.0,21.0,0.0,79.8,20.2,0.0,10972
Middle Arm,104.0,11.0,4.0,87.4,9.2,3.4,12599
Taralga,99.0,67.0,3.0,58.6,39.6,1.8,13759
Tarlo,49.0,13.0,3.0,75.4,20.0,4.6,13767
Wayo,30.0,8.0,0.0,78.9,21.1,0.0,14204
Kingsdale,51.0,7.0,0.0,87.9,12.1,0.0,12155
Bannister (NSW),34.0,11.0,0.0,75.6,24.4,0.0,10183
Brayton,41.0,19.0,0.0,68.3,31.7,0.0,10554
Greenwich Park,33.0,11.0,0.0,75.0,25.0,0.0,11771
Tallong,235.0,49.0,9.0,80.2,16.7,3.1,13733
Carrick (NSW),33.0,13.0,3.0,67.3,26.5,6.1,10828
Brisbane Grove,36.0,7.0,0.0,83.7,16.3,0.0,10577
Binda,64.0,32.0,0.0,66.7,33.3,0.0,10363
Towrang,50.0,9.0,0.0,84.7,15.3,0.0,13930
Mummel,29.0,10.0,0.0,74.4,25.6,0.0,12835
Baw Baw (NSW),72.0,15.0,0.0,82.8,17.2,0.0,10234
Boxers Creek,58.0,12.0,4.0,78.4,16.2,5.4,10541
Gundary,70.0,10.0,0.0,87.5,12.5,0.0,11806
Yass,1670.0,630.0,53.0,71.0,26.8,2.3,14493
Binalong,148.0,63.0,3.0,69.2,29.4,1.4,10362
Jugiong,56.0,27.0,0.0,67.5,32.5,0.0,12044
Galong,53.0,35.0,0.0,60.2,39.8,0.0,11580
Manton (NSW),77.0,8.0,9.0,81.9,8.5,9.6,12481
Yass River,102.0,14.0,0.0,87.9,12.1,0.0,14494
Rye Park,66.0,15.0,0.0,81.5,18.5,0.0,13455
Dalton,57.0,23.0,3.0,68.7,27.7,3.6,11194
Gundaroo,319.0,56.0,3.0,84.4,14.8,0.8,11805
Bowning,169.0,45.0,0.0,79.0,21.0,0.0,10535
Bellmount Forest,36.0,9.0,0.0,80.0,20.0,0.0,10274
Gunning,174.0,84.0,3.0,66.7,32.2,1.1,11813
Lade Vale,36.0,9.0,4.0,73.5,18.4,8.2,12232
Good Hope,35.0,13.0,3.0,68.6,25.5,5.9,11700
Wallaroo (NSW),182.0,25.0,4.0,86.3,11.8,1.9,14112
Murrumbateman,875.0,105.0,12.0,88.2,10.6,1.2,12860
Springrange,74.0,11.0,3.0,84.1,12.5,3.4,13625
Jeir,74.0,8.0,0.0,90.2,9.8,0.0,12004
Marchmont,66.0,14.0,0.0,82.5,17.5,0.0,12487
Nanima,51.0,3.0,0.0,94.4,5.6,0.0,12891
Young,2571.0,1153.0,107.0,67.1,30.1,2.8,14518
Kingsvale,50.0,13.0,0.0,79.4,20.6,0.0,12161
Burrangong,66.0,25.0,0.0,72.5,27.5,0.0,10706
Wyangala,52.0,28.0,0.0,65.0,35.0,0.0,14434
Wombat,61.0,22.0,0.0,73.5,26.5,0.0,14364
Cunningar,48.0,10.0,0.0,82.8,17.2,0.0,11164
Harden,524.0,295.0,25.0,62.1,35.0,3.0,11851
Boorowa,428.0,223.0,18.0,64.0,33.3,2.7,10503
Murrumburrah,31.0,4.0,0.0,88.6,11.4,0.0,12863
Frogmore,34.0,21.0,0.0,61.8,38.2,0.0,11571
Maimuru,37.0,11.0,0.0,77.1,22.9,0.0,12444
Koorawatha,104.0,65.0,5.0,59.8,37.4,2.9,12192
Monteagle,60.0,18.0,3.0,74.1,22.2,3.7,12683
Murringo,103.0,42.0,0.0,71.0,29.0,0.0,12858
Bribbaree,40.0,24.0,0.0,62.5,37.5,0.0,10566
Avoca Beach,1216.0,277.0,27.0,80.0,18.2,1.8,10114
Copacabana,746.0,176.0,24.0,78.9,18.6,2.5,11056
Killcare Heights,220.0,59.0,0.0,78.9,21.1,0.0,12134
Macmasters Beach,365.0,76.0,12.0,80.6,16.8,2.6,12432
Empire Bay,662.0,147.0,23.0,79.6,17.7,2.8,11415
Wagstaffe,61.0,29.0,3.0,65.6,31.2,3.2,14084
St Huberts Island,315.0,97.0,8.0,75.0,23.1,1.9,13638
Killcare,122.0,47.0,0.0,72.2,27.8,0.0,12133
Bensville,703.0,87.0,14.0,87.4,10.8,1.7,10297
Daleys Point,202.0,101.0,6.0,65.4,32.7,1.9,11189
Pretty Beach (Central Coast - NSW),93.0,31.0,0.0,75.0,25.0,0.0,13261
Hardys Bay,73.0,14.0,0.0,83.9,16.1,0.0,11852
Kincumber South,169.0,215.0,10.0,42.9,54.6,2.5,12142
Somersby,260.0,50.0,14.0,80.2,15.4,4.3,13571
Calga,31.0,10.0,0.0,75.6,24.4,0.0,10752
Woy Woy,2673.0,1663.0,151.0,59.6,37.1,3.4,14425
Patonga,49.0,45.0,3.0,50.5,46.4,3.1,13160
Mooney Mooney,92.0,25.0,4.0,76.0,20.7,3.3,12704
Kariong,1654.0,290.0,38.0,83.5,14.6,1.9,12074
Peats Ridge,86.0,19.0,8.0,76.1,16.8,7.1,13172
Central Mangrove,68.0,18.0,0.0,79.1,20.9,0.0,10876
Mangrove Mountain,182.0,42.0,4.0,79.8,18.4,1.8,12472
Kulnura,162.0,32.0,4.0,81.8,16.2,2.0,12206
Mount White,39.0,40.0,4.0,47.0,48.2,4.8,12803
Wendoree Park,28.0,11.0,0.0,71.8,28.2,0.0,14224
Wisemans Ferry,52.0,39.0,7.0,53.1,39.8,7.1,14344
Gunderman,36.0,34.0,5.0,48.0,45.3,6.7,11808
Spencer,55.0,47.0,9.0,49.5,42.3,8.1,13607
Erina,1121.0,808.0,41.0,56.9,41.0,2.1,11433
Green Point (Central Coast - NSW),1772.0,613.0,45.0,72.9,25.2,1.9,11753
Matcham,261.0,32.0,3.0,88.2,10.8,1.0,12520
Holgate,254.0,21.0,9.0,89.4,7.4,3.2,11921
Lisarow,1354.0,294.0,30.0,80.7,17.5,1.8,12343
Erina Heights,110.0,11.0,6.0,86.6,8.7,4.7,11434
Terrigal,3066.0,917.0,176.0,73.7,22.0,4.2,13805
Springfield (Central Coast - NSW),1106.0,285.0,37.0,77.5,20.0,2.6,13623
North Gosford,917.0,443.0,78.0,63.8,30.8,5.4,12991
West Gosford,304.0,255.0,29.0,51.7,43.4,4.9,14244
Gosford,821.0,687.0,130.0,50.1,41.9,7.9,11722
East Gosford,1038.0,777.0,39.0,56.0,41.9,2.1,11349
Point Frederick,489.0,300.0,33.0,59.5,36.5,4.0,13232
Kincumber,1906.0,878.0,46.0,67.3,31.0,1.6,12141
Picketts Valley,53.0,3.0,0.0,94.6,5.4,0.0,13198
Narara,2159.0,476.0,78.0,79.6,17.5,2.9,12895
Niagara Park,731.0,188.0,26.0,77.4,19.9,2.8,12961
Mount Elliot (NSW),42.0,3.0,0.0,93.3,6.7,0.0,12757
Point Clare,1008.0,362.0,47.0,71.1,25.5,3.3,13231
Tascott,444.0,139.0,31.0,72.3,22.6,5.0,13772
Koolewong,247.0,88.0,15.0,70.6,25.1,4.3,12185
Saratoga,1081.0,244.0,27.0,80.0,18.0,2.0,13492
Davistown,681.0,295.0,22.0,68.2,29.6,2.2,11221
Yattalunga (NSW),156.0,37.0,0.0,80.8,19.2,0.0,14496
North Avoca,590.0,122.0,28.0,79.7,16.5,3.8,12980
Umina Beach,4350.0,1809.0,214.0,68.3,28.4,3.4,14007
Booker Bay,359.0,203.0,21.0,61.6,34.8,3.6,10477
Ettalong Beach,1261.0,878.0,87.0,56.6,39.4,3.9,11445
Pearl Beach,145.0,79.0,6.0,63.0,34.3,2.6,13171
Wamberal,1737.0,342.0,56.0,81.4,16.0,2.6,14122
Forresters Beach,804.0,210.0,17.0,78.0,20.4,1.6,11549
Tumbi Umbi,1389.0,327.0,37.0,79.2,18.7,2.1,13962
Horsfield Bay,142.0,29.0,3.0,81.6,16.7,1.7,11941
Phegans Bay,110.0,37.0,4.0,72.8,24.5,2.6,13192
Woy Woy Bay,121.0,20.0,9.0,80.7,13.3,6.0,14426
Blackwall (NSW),501.0,220.0,30.0,66.7,29.3,4.0,10399
Wyoming,2522.0,1064.0,110.0,68.2,28.8,3.0,14445
Bateau Bay,3156.0,1248.0,88.0,70.3,27.8,2.0,10227
Killarney Vale,1844.0,629.0,73.0,72.4,24.7,2.9,12131
Blue Haven,1684.0,344.0,64.0,80.5,16.4,3.1,10415
San Remo (NSW),1137.0,296.0,63.0,76.0,19.8,4.2,13470
Doyalson,81.0,23.0,3.0,75.7,21.5,2.8,11286
Buff Point,921.0,340.0,35.0,71.1,26.2,2.7,10645
Budgewoi,905.0,415.0,57.0,65.7,30.1,4.1,10642
Halekulani,677.0,344.0,29.0,64.5,32.8,2.8,11830
Glenning Valley,553.0,98.0,11.0,83.5,14.8,1.7,11672
Berkeley Vale,2189.0,668.0,70.0,74.8,22.8,2.4,10304
Chittaway Point,251.0,64.0,6.0,78.2,19.9,1.9,10912
Chittaway Bay,541.0,127.0,21.0,78.5,18.4,3.0,10911
Kanwal,946.0,364.0,35.0,70.3,27.1,2.6,12067
Wyongah,543.0,120.0,18.0,79.7,17.6,2.6,14448
Tuggerawong,310.0,136.0,16.0,67.1,29.4,3.5,13951
Rocky Point (NSW),70.0,16.0,3.0,78.7,18.0,3.4,13388
Gorokan,2145.0,1028.0,123.0,65.1,31.2,3.7,11721
Charmhaven,624.0,203.0,37.0,72.2,23.5,4.3,10889
Lake Haven,893.0,514.0,37.0,61.8,35.6,2.6,12247
Jilliby,405.0,37.0,10.0,89.6,8.2,2.2,12027
Yarramalong,93.0,30.0,3.0,73.8,23.8,2.4,14475
Cedar Brush Creek,30.0,11.0,0.0,73.2,26.8,0.0,10867
Wyong Creek,103.0,35.0,4.0,72.5,24.6,2.8,14447
Dooralong,79.0,13.0,0.0,85.9,14.1,0.0,11276
Lake Munmorah,1434.0,586.0,48.0,69.3,28.3,2.3,12253
Chain Valley Bay,692.0,313.0,25.0,67.2,30.4,2.4,10880
Kingfisher Shores,51.0,12.0,0.0,81.0,19.0,0.0,12146
Mannering Park,666.0,204.0,31.0,73.9,22.6,3.4,12477
Doyalson North,103.0,104.0,4.0,48.8,49.3,1.9,11287
Ourimbah,1052.0,279.0,45.0,76.5,20.3,3.3,13103
Fountaindale,184.0,12.0,0.0,93.9,6.1,0.0,11554
Palm Grove (NSW),34.0,8.0,0.0,81.0,19.0,0.0,13133
Gwandalan,925.0,248.0,42.0,76.1,20.4,3.5,11824
Summerland Point,687.0,231.0,32.0,72.3,24.3,3.4,13690
Long Jetty,1605.0,978.0,104.0,59.7,36.4,3.9,12378
Shelly Beach (NSW),343.0,109.0,15.0,73.4,23.3,3.2,13535
Blue Bay,280.0,136.0,21.0,64.1,31.1,4.8,10414
Toowoon Bay,132.0,110.0,7.0,53.0,44.2,2.8,13916
The Entrance North,376.0,183.0,21.0,64.8,31.6,3.6,13819
Magenta (NSW),71.0,17.0,0.0,80.7,19.3,0.0,12441
The Entrance,936.0,822.0,98.0,50.4,44.3,5.3,13818
Toukley,1094.0,673.0,72.0,59.5,36.6,3.9,13925
Canton Beach,253.0,282.0,26.0,45.1,50.3,4.6,10798
Noraville,764.0,265.0,40.0,71.5,24.8,3.7,12974
Norah Head,319.0,75.0,7.0,79.6,18.7,1.7,12973
Kangy Angy,74.0,30.0,0.0,71.2,28.8,0.0,12064
Tuggerah,242.0,96.0,17.0,68.2,27.0,4.8,13950
Wyong,1041.0,582.0,76.0,61.3,34.3,4.5,14446
Mardi,955.0,180.0,37.0,81.5,15.4,3.2,12488
Tacoma South,66.0,20.0,0.0,76.7,23.3,0.0,13725
Hamlyn Terrace,1543.0,288.0,36.0,82.6,15.4,1.9,11843
Woongarrah,1351.0,141.0,34.0,88.5,9.2,2.2,14415
Warnervale,169.0,19.0,8.0,86.2,9.7,4.1,14154
Wallarah,87.0,13.0,0.0,87.0,13.0,0.0,14109
Wadalba,725.0,208.0,29.0,75.4,21.6,3.0,14080
Watanobbi,998.0,280.0,53.0,75.0,21.0,4.0,14181
Tacoma,167.0,22.0,5.0,86.1,11.3,2.6,13724
Llanarth (NSW),586.0,90.0,18.0,84.4,13.0,2.6,12362
South Bathurst,374.0,198.0,37.0,61.4,32.5,6.1,13577
Bathurst,1440.0,1283.0,259.0,48.3,43.0,8.7,10231
Robin Hill,267.0,38.0,0.0,87.5,12.5,0.0,13375
West Bathurst,921.0,447.0,71.0,64.0,31.1,4.9,14241
Mitchell (NSW),40.0,59.0,10.0,36.7,54.1,9.2,12650
Gormans Hill,163.0,134.0,13.0,52.6,43.2,4.2,11720
Abercrombie,299.0,46.0,4.0,85.7,13.2,1.1,10004
Eglinton (NSW),626.0,105.0,13.0,84.1,14.1,1.7,11386
Windradyne,766.0,294.0,34.0,70.0,26.9,3.1,14324
Raglan (NSW),323.0,70.0,8.0,80.5,17.5,2.0,13304
White Rock (NSW),189.0,29.0,3.0,85.5,13.1,1.4,14275
Kelso (NSW),2288.0,600.0,79.0,77.1,20.2,2.7,12090
O'Connell (NSW),150.0,28.0,3.0,82.9,15.5,1.7,13052
Brewongle,35.0,16.0,0.0,68.6,31.4,0.0,10564
Trunkey Creek,29.0,20.0,0.0,59.2,40.8,0.0,13942
Perthville,159.0,40.0,5.0,77.9,19.6,2.5,13189
Sofala,27.0,30.0,0.0,47.4,52.6,0.0,13569
Wattle Flat (NSW),64.0,40.0,6.0,58.2,36.4,5.5,14191
Peel,70.0,15.0,0.0,82.4,17.6,0.0,13174
Limekilns,28.0,6.0,0.0,82.4,17.6,0.0,12330
Clear Creek,39.0,6.0,0.0,86.7,13.3,0.0,10925
Rockley,44.0,29.0,0.0,60.3,39.7,0.0,13380
Georges Plains,55.0,10.0,0.0,84.6,15.4,0.0,11602
Duramana,65.0,8.0,0.0,89.0,11.0,0.0,11330
Billywillinga,54.0,8.0,0.0,87.1,12.9,0.0,10357
Mount Rankin,96.0,18.0,3.0,82.1,15.4,2.6,12786
Rock Forest,57.0,10.0,0.0,85.1,14.9,0.0,13377
Evans Plains,42.0,9.0,0.0,82.4,17.6,0.0,11470
Wisemans Creek,31.0,15.0,0.0,67.4,32.6,0.0,14343
Yetholme,63.0,20.0,0.0,75.9,24.1,0.0,14513
Meadow Flat,89.0,18.0,0.0,83.2,16.8,0.0,12549
Tarana,45.0,16.0,0.0,73.8,26.2,0.0,13760
Glanmire (NSW),46.0,10.0,0.0,82.1,17.9,0.0,11640
Napoleon Reef,44.0,9.0,0.0,83.0,17.0,0.0,12893
Oberon,813.0,371.0,23.0,67.4,30.7,1.9,13068
Black Springs (NSW),56.0,13.0,0.0,81.2,18.8,0.0,10389
Condobolin,849.0,383.0,24.0,67.6,30.5,1.9,11002
Tullamore,113.0,49.0,6.0,67.3,29.2,3.6,13954
Lake Cargelligo,356.0,143.0,7.0,70.4,28.3,1.4,12242
Tullibigeal,65.0,21.0,0.0,75.6,24.4,0.0,13957
Ungarie,136.0,71.0,3.0,64.8,33.8,1.4,14011
Euabalong,41.0,22.0,3.0,62.1,33.3,4.5,11449
Fifield,35.0,8.0,0.0,81.4,18.6,0.0,11514
Tottenham (NSW),110.0,56.0,3.0,65.1,33.1,1.8,13923
Cowra,2581.0,1227.0,86.0,66.3,31.5,2.2,11099
Canowindra,570.0,317.0,14.0,63.3,35.2,1.6,10796
Woodstock (Cowra - NSW),184.0,87.0,6.0,66.4,31.4,2.2,14394
Gooloogong,109.0,50.0,0.0,68.6,31.4,0.0,11709
Mandurama,98.0,43.0,7.0,66.2,29.1,4.7,12467
Wattamondara,58.0,24.0,0.0,70.7,29.3,0.0,14190
Darbys Falls,71.0,19.0,0.0,78.9,21.1,0.0,11205
Billimari,40.0,14.0,0.0,74.1,25.9,0.0,10354
Moorbel,60.0,25.0,3.0,68.2,28.4,3.4,12709
Forbes (NSW),2076.0,962.0,75.0,66.7,30.9,2.4,11536
Eugowra,214.0,89.0,10.0,68.4,28.4,3.2,11454
Warroo (NSW),34.0,5.0,0.0,87.2,12.8,0.0,14175
Bedgerabong,41.0,11.0,0.0,78.8,21.2,0.0,10247
Grenfell,670.0,397.0,26.0,61.3,36.3,2.4,11776
Greenethorpe,55.0,20.0,0.0,73.3,26.7,0.0,11760
Quandialla,50.0,16.0,3.0,72.5,23.2,4.3,13290
Caragabal,45.0,9.0,0.0,83.3,16.7,0.0,10806
Parkes (NSW),2813.0,1204.0,82.0,68.6,29.4,2.0,13151
Cookamidgera,36.0,13.0,6.0,65.5,23.6,10.9,11016
Peak Hill (NSW),283.0,154.0,10.0,63.3,34.5,2.2,13166
Trundle,168.0,94.0,3.0,63.4,35.5,1.1,13940
Alectown,49.0,22.0,3.0,66.2,29.7,4.1,10029
West Wyalong,763.0,392.0,15.0,65.2,33.5,1.3,14256
Wyalong,185.0,65.0,4.0,72.8,25.6,1.6,14431
Weethalle,63.0,38.0,0.0,62.4,37.6,0.0,14215
Tallimba,42.0,11.0,0.0,79.2,20.8,0.0,13732
Barellan,136.0,55.0,9.0,68.0,27.5,4.5,10197
Ardlethan,121.0,73.0,8.0,59.9,36.1,4.0,10076
Ariah Park,121.0,57.0,3.0,66.9,31.5,1.7,10081
Barmedman,118.0,45.0,0.0,72.4,27.6,0.0,10202
South Bowenfels,303.0,105.0,5.0,73.4,25.4,1.2,13578
