,Worked full-time,Worked part-time,Away from work,Unemployed,Total in labour force,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),Total in labour force (%)
Abbotsbury,1508.0,684.0,129.0,100.0,2421.0,62.3,28.3,5.3,4.1,--
New South Wales,2007924.0,939465.0,190944.0,196525.0,3334858.0,60.2,28.2,5.7,5.9,--
Australia,6367554.0,3062976.0,627797.0,600133.0,10658460.0,59.7,28.7,5.9,5.6,--
Abbotsford (NSW),1815.0,643.0,169.0,102.0,2729.0,66.5,23.6,6.2,3.7,--
Acacia Gardens,1449.0,466.0,112.0,86.0,2113.0,68.6,22.1,5.3,4.1,--
Adamstown,1819.0,939.0,188.0,125.0,3071.0,59.2,30.6,6.1,4.1,--
Adamstown Heights,1458.0,913.0,141.0,82.0,2594.0,56.2,35.2,5.4,3.2,--
Airds,367.0,203.0,60.0,231.0,861.0,42.6,23.6,7.0,26.8,--
Albion Park,3899.0,1850.0,407.0,355.0,6511.0,59.9,28.4,6.3,5.5,--
Albion Park Rail,1804.0,965.0,186.0,258.0,3213.0,56.1,30.0,5.8,8.0,--
Alexandria,3882.0,860.0,194.0,161.0,5097.0,76.2,16.9,3.8,3.2,--
Alfords Point,1210.0,637.0,97.0,56.0,2000.0,60.5,31.9,4.9,2.8,--
Allambie Heights,1942.0,1070.0,169.0,121.0,3302.0,58.8,32.4,5.1,3.7,--
Allawah,1871.0,718.0,140.0,221.0,2950.0,63.4,24.3,4.7,7.5,--
Ambarvale,1947.0,727.0,207.0,274.0,3155.0,61.7,23.0,6.6,8.7,--
Annandale (NSW),3570.0,1315.0,256.0,221.0,5362.0,66.6,24.5,4.8,4.1,--
Argenton,343.0,151.0,40.0,51.0,585.0,58.6,25.8,6.8,8.7,--
Arncliffe,2268.0,1025.0,274.0,230.0,3797.0,59.7,27.0,7.2,6.1,--
Artarmon,3366.0,1171.0,209.0,230.0,4976.0,67.6,23.5,4.2,4.6,--
Ashbury,951.0,495.0,101.0,69.0,1616.0,58.8,30.6,6.2,4.3,--
Ashcroft,529.0,267.0,81.0,157.0,1034.0,51.2,25.8,7.8,15.2,--
Ashfield (NSW),7019.0,3257.0,604.0,832.0,11712.0,59.9,27.8,5.2,7.1,--
Asquith,1075.0,564.0,93.0,87.0,1819.0,59.1,31.0,5.1,4.8,--
Auburn (NSW),6624.0,3657.0,936.0,1349.0,12566.0,52.7,29.1,7.4,10.7,--
Austinmer,685.0,435.0,91.0,53.0,1264.0,54.2,34.4,7.2,4.2,--
Avoca Beach,1206.0,782.0,123.0,92.0,2203.0,54.7,35.5,5.6,4.2,--
Balgowlah,2425.0,1195.0,203.0,137.0,3960.0,61.2,30.2,5.1,3.5,--
Balgowlah Heights,844.0,532.0,84.0,43.0,1503.0,56.2,35.4,5.6,2.9,--
Balgownie,1507.0,818.0,150.0,144.0,2619.0,57.5,31.2,5.7,5.5,--
Balmain,4069.0,1262.0,300.0,244.0,5875.0,69.3,21.5,5.1,4.2,--
Balmain East,739.0,262.0,61.0,36.0,1098.0,67.3,23.9,5.6,3.3,--
Bangor (NSW),2002.0,1019.0,173.0,104.0,3298.0,60.7,30.9,5.2,3.2,--
Banksia,976.0,402.0,98.0,83.0,1559.0,62.6,25.8,6.3,5.3,--
Bankstown,6722.0,2962.0,749.0,1278.0,11711.0,57.4,25.3,6.4,10.9,--
Bar Beach,360.0,175.0,29.0,41.0,605.0,59.5,28.9,4.8,6.8,--
Barden Ridge,1485.0,767.0,126.0,86.0,2464.0,60.3,31.1,5.1,3.5,--
Bardwell Park,718.0,336.0,62.0,38.0,1154.0,62.2,29.1,5.4,3.3,--
Bardwell Valley,638.0,262.0,66.0,62.0,1028.0,62.1,25.5,6.4,6.0,--
Barnsley,569.0,281.0,68.0,40.0,958.0,59.4,29.3,7.1,4.2,--
Barrack Heights,1351.0,751.0,171.0,197.0,2470.0,54.7,30.4,6.9,8.0,--
Barrack Point,165.0,86.0,18.0,12.0,281.0,58.7,30.6,6.4,4.3,--
Bass Hill,1895.0,892.0,240.0,252.0,3279.0,57.8,27.2,7.3,7.7,--
Bateau Bay,2884.0,1748.0,318.0,368.0,5318.0,54.2,32.9,6.0,6.9,--
Baulkham Hills,11471.0,4977.0,972.0,770.0,18190.0,63.1,27.4,5.3,4.2,--
Bayview (NSW),719.0,502.0,65.0,59.0,1345.0,53.5,37.3,4.8,4.4,--
Beacon Hill,2137.0,1171.0,207.0,106.0,3621.0,59.0,32.3,5.7,2.9,--
Beaconsfield (NSW),420.0,90.0,28.0,28.0,566.0,74.2,15.9,4.9,4.9,--
Beecroft,2617.0,1536.0,229.0,186.0,4568.0,57.3,33.6,5.0,4.1,--
Belfield,1594.0,722.0,186.0,159.0,2661.0,59.9,27.1,7.0,6.0,--
Bella Vista,2642.0,1220.0,254.0,184.0,4300.0,61.4,28.4,5.9,4.3,--
Bellambi,842.0,510.0,93.0,187.0,1632.0,51.6,31.2,5.7,11.5,--
Bellevue Hill,3418.0,1498.0,254.0,190.0,5360.0,63.8,27.9,4.7,3.5,--
Belmont (NSW),1577.0,883.0,173.0,166.0,2799.0,56.3,31.5,6.2,5.9,--
Belmont North,1769.0,940.0,198.0,164.0,3071.0,57.6,30.6,6.4,5.3,--
Belmont South,283.0,175.0,29.0,37.0,524.0,54.0,33.4,5.5,7.1,--
Belmore,3109.0,1443.0,358.0,449.0,5359.0,58.0,26.9,6.7,8.4,--
Belrose,2200.0,1250.0,209.0,147.0,3806.0,57.8,32.8,5.5,3.9,--
Bensville,719.0,459.0,88.0,66.0,1332.0,54.0,34.5,6.6,5.0,--
Berala,2171.0,981.0,225.0,369.0,3746.0,58.0,26.2,6.0,9.9,--
Berkeley,1740.0,884.0,213.0,289.0,3126.0,55.7,28.3,6.8,9.2,--
Berkeley Vale,2339.0,1315.0,222.0,251.0,4127.0,56.7,31.9,5.4,6.1,--
Berowra,1467.0,820.0,132.0,83.0,2502.0,58.6,32.8,5.3,3.3,--
Berowra Heights,1692.0,876.0,149.0,90.0,2807.0,60.3,31.2,5.3,3.2,--
Beverley Park,620.0,285.0,53.0,43.0,1001.0,61.9,28.5,5.3,4.3,--
Beverly Hills,2763.0,1210.0,267.0,280.0,4520.0,61.1,26.8,5.9,6.2,--
Bexley,5531.0,2320.0,583.0,534.0,8968.0,61.7,25.9,6.5,6.0,--
Bexley North,1076.0,467.0,104.0,99.0,1746.0,61.6,26.7,6.0,5.7,--
Bidwill (NSW),591.0,336.0,76.0,256.0,1259.0,46.9,26.7,6.0,20.3,--
Birchgrove,1233.0,456.0,105.0,64.0,1858.0,66.4,24.5,5.7,3.4,--
Birmingham Gardens,449.0,333.0,57.0,103.0,942.0,47.7,35.4,6.1,10.9,--
Birrong,731.0,307.0,57.0,105.0,1200.0,60.9,25.6,4.8,8.8,--
Blackalls Park,705.0,432.0,65.0,71.0,1273.0,55.4,33.9,5.1,5.6,--
Blackbutt (NSW),912.0,470.0,98.0,95.0,1575.0,57.9,29.8,6.2,6.0,--
Blackett,630.0,288.0,77.0,165.0,1160.0,54.3,24.8,6.6,14.2,--
Blacksmiths,420.0,238.0,57.0,46.0,761.0,55.2,31.3,7.5,6.0,--
Blacktown,12686.0,4968.0,1197.0,1597.0,20448.0,62.0,24.3,5.9,7.8,--
Blackwall (NSW),391.0,228.0,40.0,63.0,722.0,54.2,31.6,5.5,8.7,--
Blairmount,141.0,46.0,16.0,16.0,219.0,64.4,21.0,7.3,7.3,--
Blakehurst,1865.0,899.0,160.0,115.0,3039.0,61.4,29.6,5.3,3.8,--
Blaxland (NSW),2349.0,1208.0,184.0,169.0,3910.0,60.1,30.9,4.7,4.3,--
Blue Bay,241.0,150.0,16.0,45.0,452.0,53.3,33.2,3.5,10.0,--
Blue Haven,1501.0,773.0,166.0,221.0,2661.0,56.4,29.0,6.2,8.3,--
Bolton Point,421.0,252.0,66.0,81.0,820.0,51.3,30.7,8.0,9.9,--
Bondi,3806.0,1267.0,250.0,208.0,5531.0,68.8,22.9,4.5,3.8,--
Bondi Beach,4760.0,1410.0,308.0,295.0,6773.0,70.3,20.8,4.5,4.4,--
Bondi Junction,3116.0,1100.0,241.0,236.0,4693.0,66.4,23.4,5.1,5.0,--
Bonnet Bay,755.0,350.0,80.0,29.0,1214.0,62.2,28.8,6.6,2.4,--
Bonnyrigg,1798.0,763.0,232.0,347.0,3140.0,57.3,24.3,7.4,11.1,--
Bonnyrigg Heights,2148.0,791.0,225.0,296.0,3460.0,62.1,22.9,6.5,8.6,--
Booker Bay,221.0,136.0,39.0,41.0,437.0,50.6,31.1,8.9,9.4,--
Boolaroo,255.0,125.0,32.0,29.0,441.0,57.8,28.3,7.3,6.6,--
Booragul,282.0,164.0,23.0,36.0,505.0,55.8,32.5,4.6,7.1,--
Bossley Park,4027.0,1685.0,405.0,456.0,6573.0,61.3,25.6,6.2,6.9,--
Botany,3000.0,1140.0,251.0,161.0,4552.0,65.9,25.0,5.5,3.5,--
Bow Bowing,564.0,194.0,46.0,53.0,857.0,65.8,22.6,5.4,6.2,--
Bradbury (NSW),2501.0,1045.0,253.0,261.0,4060.0,61.6,25.7,6.2,6.4,--
Broadmeadow,490.0,256.0,47.0,45.0,838.0,58.5,30.5,5.6,5.4,--
Bronte,2405.0,993.0,189.0,109.0,3696.0,65.1,26.9,5.1,2.9,--
Brookvale,1003.0,328.0,71.0,76.0,1478.0,67.9,22.2,4.8,5.1,--
Budgewoi,716.0,407.0,76.0,104.0,1303.0,55.0,31.2,5.8,8.0,--
Buff Point,791.0,428.0,87.0,100.0,1406.0,56.3,30.4,6.2,7.1,--
Bulli,1639.0,901.0,171.0,138.0,2849.0,57.5,31.6,6.0,4.8,--
Burwood (NSW),3569.0,1842.0,273.0,531.0,6215.0,57.4,29.6,4.4,8.5,--
Burwood Heights,230.0,113.0,23.0,9.0,375.0,61.3,30.1,6.1,2.4,--
Busby,724.0,343.0,96.0,155.0,1318.0,54.9,26.0,7.3,11.8,--
Cabarita (NSW),648.0,282.0,55.0,35.0,1020.0,63.5,27.6,5.4,3.4,--
Cabramatta,4067.0,1936.0,538.0,1053.0,7594.0,53.6,25.5,7.1,13.9,--
Cabramatta West,1412.0,646.0,163.0,269.0,2490.0,56.7,25.9,6.5,10.8,--
Cambridge Gardens,738.0,275.0,89.0,39.0,1141.0,64.7,24.1,7.8,3.4,--
Cambridge Park,1993.0,714.0,173.0,170.0,3050.0,65.3,23.4,5.7,5.6,--
Camden,1045.0,378.0,100.0,67.0,1590.0,65.7,23.8,6.3,4.2,--
Camden South,1472.0,689.0,136.0,86.0,2383.0,61.8,28.9,5.7,3.6,--
Cammeray,2962.0,924.0,201.0,164.0,4251.0,69.7,21.7,4.7,3.9,--
Campbelltown (NSW),2895.0,1101.0,257.0,391.0,4644.0,62.3,23.7,5.5,8.4,--
Camperdown (NSW),3429.0,1190.0,230.0,274.0,5123.0,66.9,23.2,4.5,5.3,--
Campsie,5376.0,2825.0,559.0,940.0,9700.0,55.4,29.1,5.8,9.7,--
Canada Bay,456.0,181.0,34.0,25.0,696.0,65.5,26.0,4.9,3.6,--
Canley Heights,2396.0,966.0,272.0,447.0,4081.0,58.7,23.7,6.7,11.0,--
Canley Vale,1987.0,822.0,234.0,464.0,3507.0,56.7,23.4,6.7,13.2,--
Canterbury (NSW),1859.0,853.0,184.0,213.0,3109.0,59.8,27.4,5.9,6.9,--
Canton Beach,126.0,89.0,14.0,38.0,267.0,47.2,33.3,5.2,14.2,--
Cardiff (NSW),1663.0,800.0,166.0,152.0,2781.0,59.8,28.8,6.0,5.5,--
Cardiff Heights,339.0,191.0,30.0,28.0,588.0,57.7,32.5,5.1,4.8,--
Cardiff South,883.0,492.0,89.0,79.0,1543.0,57.2,31.9,5.8,5.1,--
Caringbah,3804.0,1553.0,308.0,246.0,5911.0,64.4,26.3,5.2,4.2,--
Carlingford,6364.0,3149.0,549.0,591.0,10653.0,59.7,29.6,5.2,5.5,--
Carlton (NSW),3060.0,1305.0,290.0,305.0,4960.0,61.7,26.3,5.8,6.1,--
Carramar (NSW),721.0,321.0,71.0,143.0,1256.0,57.4,25.6,5.7,11.4,--
Carrington (Newcastle - NSW),589.0,265.0,66.0,68.0,988.0,59.6,26.8,6.7,6.9,--
Carss Park,342.0,170.0,33.0,31.0,576.0,59.4,29.5,5.7,5.4,--
Cartwright,368.0,173.0,56.0,104.0,701.0,52.5,24.7,8.0,14.8,--
Castle Cove,671.0,391.0,67.0,40.0,1169.0,57.4,33.4,5.7,3.4,--
Castle Hill (NSW),12511.0,5616.0,923.0,827.0,19877.0,62.9,28.3,4.6,4.2,--
Castlecrag,816.0,463.0,68.0,61.0,1408.0,58.0,32.9,4.8,4.3,--
Casula,4204.0,1518.0,386.0,458.0,6566.0,64.0,23.1,5.9,7.0,--
Caves Beach,1000.0,654.0,103.0,90.0,1847.0,54.1,35.4,5.6,4.9,--
Cecil Hills,2280.0,877.0,211.0,205.0,3573.0,63.8,24.5,5.9,5.7,--
Centennial Park (NSW),1020.0,294.0,54.0,36.0,1404.0,72.6,20.9,3.8,2.6,--
Charlestown (NSW),3742.0,1969.0,382.0,277.0,6370.0,58.7,30.9,6.0,4.3,--
Charmhaven,542.0,318.0,58.0,100.0,1018.0,53.2,31.2,5.7,9.8,--
Chatswood,6727.0,2798.0,524.0,661.0,10710.0,62.8,26.1,4.9,6.2,--
Chatswood West,425.0,234.0,45.0,28.0,732.0,58.1,32.0,6.1,3.8,--
Cheltenham (NSW),637.0,386.0,38.0,49.0,1110.0,57.4,34.8,3.4,4.4,--
Cherrybrook,6188.0,3054.0,432.0,508.0,10182.0,60.8,30.0,4.2,5.0,--
Chester Hill,2750.0,1167.0,289.0,444.0,4650.0,59.1,25.1,6.2,9.5,--
Chifley (NSW),925.0,467.0,91.0,67.0,1550.0,59.7,30.1,5.9,4.3,--
Chippendale,1611.0,634.0,109.0,205.0,2559.0,63.0,24.8,4.3,8.0,--
Chipping Norton,3032.0,1211.0,255.0,204.0,4702.0,64.5,25.8,5.4,4.3,--
Chiswick,1153.0,271.0,93.0,48.0,1565.0,73.7,17.3,5.9,3.1,--
Chittaway Bay,542.0,283.0,45.0,63.0,933.0,58.1,30.3,4.8,6.8,--
Chittaway Point,268.0,149.0,31.0,35.0,483.0,55.5,30.8,6.4,7.2,--
Church Point,312.0,189.0,36.0,18.0,555.0,56.2,34.1,6.5,3.2,--
Claremont Meadows,1436.0,551.0,138.0,118.0,2243.0,64.0,24.6,6.2,5.3,--
Claymore,246.0,155.0,49.0,202.0,652.0,37.7,23.8,7.5,31.0,--
Clontarf (NSW),424.0,290.0,33.0,26.0,773.0,54.9,37.5,4.3,3.4,--
Clovelly,1694.0,658.0,149.0,63.0,2564.0,66.1,25.7,5.8,2.5,--
Coal Point,463.0,279.0,59.0,41.0,842.0,55.0,33.1,7.0,4.9,--
Coledale,334.0,210.0,38.0,33.0,615.0,54.3,34.1,6.2,5.4,--
