,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
New Lambton,3579.0,237.0,806.0,598.0,2591.0,45.8,3.0,10.3,7.7,33.2
New Lambton Heights,1097.0,48.0,87.0,45.0,464.0,63.0,2.8,5.0,2.6,26.7
Newcastle,767.0,69.0,171.0,77.0,1147.0,34.4,3.1,7.7,3.5,51.4
Newcastle East,287.0,28.0,146.0,36.0,390.0,32.4,3.2,16.5,4.1,44.0
Newcastle West,142.0,18.0,76.0,19.0,280.0,26.5,3.4,14.2,3.6,52.3
Newington (NSW),2567.0,88.0,225.0,81.0,1166.0,62.2,2.1,5.5,2.0,28.3
Newport (NSW),3809.0,177.0,699.0,337.0,2286.0,52.1,2.4,9.6,4.6,31.3
Newtown (NSW),2962.0,247.0,873.0,254.0,8453.0,23.2,1.9,6.8,2.0,66.1
Niagara Park,1049.0,91.0,205.0,86.0,741.0,48.3,4.2,9.4,4.0,34.1
Norah Head,500.0,28.0,66.0,76.0,274.0,53.0,3.0,7.0,8.1,29.0
Noraville,965.0,98.0,234.0,181.0,740.0,43.5,4.4,10.6,8.2,33.4
Normanhurst,2255.0,72.0,288.0,313.0,1128.0,55.6,1.8,7.1,7.7,27.8
North Avoca,866.0,49.0,116.0,41.0,514.0,54.6,3.1,7.3,2.6,32.4
North Balgowlah,1548.0,45.0,139.0,104.0,633.0,62.7,1.8,5.6,4.2,25.6
North Bondi,2851.0,128.0,500.0,244.0,3224.0,41.0,1.8,7.2,3.5,46.4
North Curl Curl,1503.0,75.0,176.0,121.0,795.0,56.3,2.8,6.6,4.5,29.8
North Epping,2160.0,52.0,137.0,164.0,947.0,62.4,1.5,4.0,4.7,27.4
North Gosford,1197.0,108.0,325.0,118.0,1091.0,42.2,3.8,11.4,4.2,38.4
North Lambton,1022.0,76.0,201.0,163.0,1169.0,38.8,2.9,7.6,6.2,44.4
North Manly,1226.0,45.0,119.0,135.0,578.0,58.3,2.1,5.7,6.4,27.5
North Narrabeen,2353.0,95.0,377.0,157.0,1326.0,54.6,2.2,8.8,3.6,30.8
North Parramatta,4520.0,311.0,964.0,529.0,4186.0,43.0,3.0,9.2,5.0,39.8
North Rocks,3773.0,103.0,329.0,340.0,1581.0,61.6,1.7,5.4,5.6,25.8
North Ryde,4386.0,154.0,524.0,594.0,2582.0,53.2,1.9,6.4,7.2,31.3
North St Marys,1067.0,140.0,333.0,184.0,1128.0,37.4,4.9,11.7,6.5,39.6
North Strathfield,1775.0,75.0,192.0,128.0,1503.0,48.3,2.0,5.2,3.5,40.9
North Sydney,2186.0,144.0,455.0,253.0,2606.0,38.7,2.6,8.1,4.5,46.2
North Turramurra,1994.0,36.0,172.0,523.0,609.0,59.8,1.1,5.2,15.7,18.3
North Wahroonga,1006.0,25.0,60.0,62.0,356.0,66.7,1.7,4.0,4.1,23.6
North Willoughby,1642.0,59.0,234.0,157.0,971.0,53.6,1.9,7.6,5.1,31.7
North Wollongong,408.0,44.0,133.0,64.0,1499.0,19.0,2.0,6.2,3.0,69.8
Northbridge (NSW),2768.0,66.0,242.0,216.0,1227.0,61.3,1.5,5.4,4.8,27.2
Northmead,4308.0,242.0,728.0,635.0,2440.0,51.6,2.9,8.7,7.6,29.2
Northwood (NSW),491.0,6.0,27.0,17.0,178.0,68.3,0.8,3.8,2.4,24.8
Oak Flats,2630.0,165.0,443.0,337.0,1548.0,51.3,3.2,8.6,6.6,30.2
Oakhurst (NSW),2745.0,184.0,303.0,162.0,1752.0,53.3,3.6,5.9,3.1,34.0
Oatlands (NSW),2378.0,65.0,290.0,244.0,1337.0,55.1,1.5,6.7,5.7,31.0
Oatley,4652.0,177.0,462.0,547.0,2374.0,56.6,2.2,5.6,6.7,28.9
Old Guildford,979.0,61.0,107.0,84.0,659.0,51.8,3.2,5.7,4.4,34.9
Old Toongabbie,1165.0,58.0,149.0,93.0,635.0,55.5,2.8,7.1,4.4,30.2
Ourimbah,1605.0,116.0,312.0,106.0,1109.0,49.4,3.6,9.6,3.3,34.1
Oxley Park,872.0,122.0,272.0,121.0,904.0,38.1,5.3,11.9,5.3,39.5
Oyster Bay,2563.0,99.0,213.0,170.0,1114.0,61.6,2.4,5.1,4.1,26.8
Paddington (NSW),3646.0,203.0,916.0,295.0,5549.0,34.4,1.9,8.6,2.8,52.3
Padstow,5354.0,318.0,832.0,731.0,3190.0,51.4,3.1,8.0,7.0,30.6
Padstow Heights,1597.0,56.0,179.0,303.0,720.0,55.9,2.0,6.3,10.6,25.2
Pagewood,1506.0,81.0,239.0,225.0,893.0,51.2,2.8,8.1,7.6,30.3
Palm Beach (NSW),797.0,40.0,127.0,85.0,324.0,58.0,2.9,9.2,6.2,23.6
Panania,4819.0,247.0,696.0,616.0,2759.0,52.7,2.7,7.6,6.7,30.2
Parramatta,8597.0,415.0,1129.0,547.0,6249.0,50.8,2.5,6.7,3.2,36.9
Peakhurst,4224.0,202.0,546.0,886.0,2141.0,52.8,2.5,6.8,11.1,26.8
Peakhurst Heights,1174.0,35.0,118.0,105.0,453.0,62.3,1.9,6.3,5.6,24.0
Pearl Beach,258.0,11.0,65.0,42.0,89.0,55.5,2.4,14.0,9.0,19.1
Pelican (NSW),362.0,27.0,69.0,48.0,193.0,51.8,3.9,9.9,6.9,27.6
Pendle Hill,2834.0,161.0,410.0,522.0,1423.0,53.0,3.0,7.7,9.8,26.6
Pennant Hills,3290.0,117.0,321.0,303.0,1732.0,57.1,2.0,5.6,5.3,30.1
Penrith,3507.0,458.0,1191.0,887.0,3746.0,35.8,4.7,12.2,9.1,38.3
Penrose (Wollongong - NSW),513.0,48.0,128.0,51.0,386.0,45.6,4.3,11.4,4.5,34.3
Penshurst (NSW),4980.0,241.0,776.0,547.0,3084.0,51.7,2.5,8.1,5.7,32.0
Petersham,2128.0,211.0,558.0,197.0,3295.0,33.3,3.3,8.7,3.1,51.6
Phillip Bay,276.0,4.0,33.0,33.0,155.0,55.1,0.8,6.6,6.6,30.9
Picnic Point,2681.0,93.0,260.0,248.0,1176.0,60.1,2.1,5.8,5.6,26.4
Plumpton (NSW),3353.0,158.0,324.0,264.0,2084.0,54.2,2.6,5.2,4.3,33.7
Point Clare,1511.0,92.0,349.0,334.0,788.0,49.2,3.0,11.4,10.9,25.6
Point Frederick,647.0,69.0,203.0,148.0,488.0,41.6,4.4,13.1,9.5,31.4
Point Piper,624.0,23.0,103.0,79.0,389.0,51.2,1.9,8.5,6.5,31.9
Port Kembla,1789.0,166.0,389.0,361.0,1390.0,43.7,4.1,9.5,8.8,33.9
Potts Point,1175.0,134.0,639.0,131.0,4547.0,17.7,2.0,9.6,2.0,68.6
Prairiewood,1332.0,72.0,156.0,133.0,778.0,53.9,2.9,6.3,5.4,31.5
Prestons,6280.0,307.0,456.0,358.0,2983.0,60.5,3.0,4.4,3.4,28.7
Primbee,631.0,42.0,128.0,107.0,403.0,48.1,3.2,9.8,8.2,30.7
Prospect (NSW),2075.0,102.0,228.0,128.0,1140.0,56.5,2.8,6.2,3.5,31.0
Punchbowl (Canterbury - NSW),7256.0,492.0,943.0,685.0,4677.0,51.6,3.5,6.7,4.9,33.3
Putney,1876.0,49.0,181.0,189.0,929.0,58.2,1.5,5.6,5.9,28.8
Pymble,5264.0,114.0,359.0,300.0,2347.0,62.8,1.4,4.3,3.6,28.0
Pyrmont,3858.0,279.0,822.0,166.0,5472.0,36.4,2.6,7.8,1.6,51.6
Quakers Hill,11203.0,582.0,1243.0,600.0,6296.0,56.2,2.9,6.2,3.0,31.6
Queens Park (NSW),1162.0,47.0,192.0,101.0,827.0,49.9,2.0,8.2,4.3,35.5
Raby,2432.0,174.0,345.0,116.0,1671.0,51.3,3.7,7.3,2.4,35.3
Ramsgate,376.0,29.0,57.0,45.0,238.0,50.5,3.9,7.7,6.0,31.9
Ramsgate Beach,546.0,38.0,163.0,135.0,374.0,43.5,3.0,13.0,10.7,29.8
Randwick,8818.0,507.0,1803.0,1076.0,11421.0,37.3,2.1,7.6,4.6,48.3
Rankin Park,1196.0,43.0,147.0,85.0,521.0,60.0,2.2,7.4,4.3,26.2
Redfern,2524.0,306.0,1062.0,465.0,6846.0,22.5,2.7,9.5,4.2,61.1
Redhead,1533.0,73.0,271.0,259.0,696.0,54.1,2.6,9.6,9.1,24.6
Regents Park (NSW),1831.0,113.0,268.0,185.0,1143.0,51.7,3.2,7.6,5.2,32.3
Regentville,263.0,15.0,24.0,18.0,163.0,54.5,3.1,5.0,3.7,33.7
Revesby,5160.0,301.0,842.0,858.0,3336.0,49.2,2.9,8.0,8.2,31.8
Revesby Heights,608.0,27.0,62.0,70.0,290.0,57.5,2.6,5.9,6.6,27.4
Rhodes,2298.0,91.0,209.0,108.0,2352.0,45.4,1.8,4.1,2.1,46.5
Riverstone,2241.0,173.0,461.0,247.0,1750.0,46.0,3.6,9.5,5.1,35.9
Riverview (Lane Cove - NSW),1461.0,32.0,87.0,110.0,721.0,60.6,1.3,3.6,4.6,29.9
Riverwood,3926.0,309.0,942.0,593.0,2691.0,46.4,3.7,11.1,7.0,31.8
Rockdale,5940.0,307.0,749.0,527.0,4488.0,49.5,2.6,6.2,4.4,37.4
Rocky Point (NSW),113.0,4.0,16.0,9.0,68.0,53.8,1.9,7.6,4.3,32.4
Rodd Point,623.0,18.0,59.0,55.0,288.0,59.7,1.7,5.7,5.3,27.6
Rooty Hill,5278.0,362.0,667.0,729.0,3431.0,50.4,3.5,6.4,7.0,32.8
Rose Bay (NSW),3673.0,144.0,635.0,479.0,2815.0,47.4,1.9,8.2,6.2,36.3
Rosebery (NSW),3431.0,181.0,441.0,293.0,2783.0,48.1,2.5,6.2,4.1,39.0
Roselands,4662.0,285.0,654.0,533.0,2612.0,53.3,3.3,7.5,6.1,29.9
Rosemeadow,2655.0,226.0,482.0,196.0,2191.0,46.2,3.9,8.4,3.4,38.1
Roseville,4245.0,115.0,354.0,348.0,2046.0,59.7,1.6,5.0,4.9,28.8
Roseville Chase,765.0,21.0,61.0,54.0,292.0,64.1,1.8,5.1,4.5,24.5
Rouse Hill,3304.0,152.0,332.0,107.0,1347.0,63.0,2.9,6.3,2.0,25.7
Rozelle,2810.0,158.0,638.0,164.0,2834.0,42.5,2.4,9.7,2.5,42.9
Ruse,2229.0,163.0,391.0,163.0,1431.0,50.9,3.7,8.9,3.7,32.7
Rushcutters Bay,450.0,36.0,256.0,96.0,1418.0,19.9,1.6,11.3,4.3,62.9
Russell Lea,2057.0,80.0,261.0,262.0,1255.0,52.5,2.0,6.7,6.7,32.1
Russell Vale,609.0,41.0,106.0,65.0,374.0,51.0,3.4,8.9,5.4,31.3
Rydalmere,2475.0,141.0,404.0,250.0,1627.0,50.5,2.9,8.2,5.1,33.2
Ryde,9069.0,449.0,1198.0,1106.0,5963.0,51.0,2.5,6.7,6.2,33.5
Sadleir,874.0,138.0,192.0,173.0,877.0,38.8,6.1,8.5,7.7,38.9
San Remo (NSW),1326.0,157.0,355.0,154.0,1247.0,40.9,4.8,11.0,4.8,38.5
Sandringham (NSW),460.0,28.0,51.0,61.0,205.0,57.1,3.5,6.3,7.6,25.5
Sans Souci,4199.0,206.0,755.0,654.0,2188.0,52.5,2.6,9.4,8.2,27.3
Saratoga,1690.0,74.0,257.0,158.0,811.0,56.5,2.5,8.6,5.3,27.1
Scarborough (NSW),104.0,5.0,19.0,7.0,69.0,51.0,2.5,9.3,3.4,33.8
Schofields,1533.0,105.0,207.0,140.0,1004.0,51.3,3.5,6.9,4.7,33.6
Scotland Island,288.0,21.0,57.0,12.0,174.0,52.2,3.8,10.3,2.2,31.5
Seaforth (NSW),3074.0,80.0,306.0,199.0,1337.0,61.5,1.6,6.1,4.0,26.8
Sefton,2075.0,124.0,298.0,287.0,1290.0,50.9,3.0,7.3,7.0,31.7
Seven Hills (NSW),7851.0,444.0,1143.0,878.0,4741.0,52.1,2.9,7.6,5.8,31.5
Shalvey,1009.0,111.0,203.0,112.0,1129.0,39.4,4.3,7.9,4.4,44.0
Shell Cove,1952.0,59.0,160.0,68.0,647.0,67.6,2.0,5.5,2.4,22.4
Shellharbour,1427.0,96.0,215.0,140.0,862.0,52.1,3.5,7.8,5.1,31.5
Shelly Beach (NSW),578.0,26.0,97.0,79.0,293.0,53.9,2.4,9.0,7.4,27.3
Shortland,1318.0,91.0,249.0,253.0,1179.0,42.7,2.9,8.1,8.2,38.2
Silverwater (Lake Macquarie - NSW),114.0,10.0,15.0,11.0,48.0,57.6,5.1,7.6,5.6,24.2
Smithfield (NSW),4208.0,407.0,693.0,612.0,2831.0,48.1,4.7,7.9,7.0,32.4
South Coogee,1841.0,130.0,389.0,306.0,1439.0,44.8,3.2,9.5,7.5,35.1
South Granville,1769.0,175.0,243.0,214.0,1215.0,48.9,4.8,6.7,5.9,33.6
South Hurstville,2008.0,116.0,294.0,275.0,1301.0,50.3,2.9,7.4,6.9,32.6
South Penrith,4701.0,317.0,734.0,482.0,3000.0,50.9,3.4,7.9,5.2,32.5
South Turramurra,1493.0,36.0,106.0,107.0,496.0,66.7,1.6,4.7,4.8,22.2
South Wentworthville,2155.0,146.0,320.0,291.0,1427.0,49.7,3.4,7.4,6.7,32.9
Speers Point,1374.0,87.0,243.0,198.0,779.0,51.2,3.2,9.1,7.4,29.1
Springfield (Gosford - NSW),1536.0,96.0,314.0,161.0,1001.0,49.4,3.1,10.1,5.2,32.2
Springwood (NSW),3429.0,222.0,652.0,679.0,1898.0,49.8,3.2,9.5,9.9,27.6
St Andrews (NSW),2224.0,170.0,346.0,150.0,1615.0,49.4,3.8,7.7,3.3,35.8
St Clair (Penrith - NSW),8106.0,526.0,1053.0,457.0,5462.0,51.9,3.4,6.7,2.9,35.0
St Helens Park,2189.0,191.0,366.0,144.0,1751.0,47.2,4.1,7.9,3.1,37.7
St Huberts Island,538.0,27.0,73.0,78.0,194.0,59.1,3.0,8.0,8.6,21.3
St Ives (NSW),8020.0,166.0,563.0,739.0,3070.0,63.9,1.3,4.5,5.9,24.4
St Ives Chase,1624.0,29.0,112.0,92.0,600.0,66.1,1.2,4.6,3.7,24.4
St Johns Park,2617.0,112.0,286.0,318.0,1587.0,53.2,2.3,5.8,6.5,32.3
St Leonards (NSW),1732.0,85.0,262.0,51.0,1917.0,42.8,2.1,6.5,1.3,47.4
St Marys (NSW),3285.0,470.0,959.0,634.0,3376.0,37.7,5.4,11.0,7.3,38.7
St Peters (NSW),736.0,77.0,196.0,80.0,1412.0,29.4,3.1,7.8,3.2,56.5
Stanhope Gardens,3512.0,144.0,367.0,165.0,1346.0,63.5,2.6,6.6,3.0,24.3
Stanmore (NSW),2247.0,152.0,481.0,209.0,3528.0,34.0,2.3,7.3,3.2,53.3
Stockton (NSW),1358.0,108.0,388.0,294.0,1474.0,37.5,3.0,10.7,8.1,40.7
Strathfield (NSW),10340.0,304.0,933.0,1073.0,7733.0,50.7,1.5,4.6,5.3,37.9
Strathfield South,1407.0,76.0,146.0,127.0,856.0,53.9,2.9,5.6,4.9,32.8
Summer Hill (Ashfield - NSW),2123.0,138.0,498.0,229.0,2645.0,37.7,2.4,8.8,4.1,47.0
Surry Hills,2929.0,327.0,1037.0,421.0,9860.0,20.1,2.2,7.1,2.9,67.7
Sutherland (NSW),3435.0,330.0,963.0,586.0,3116.0,40.7,3.9,11.4,7.0,37.0
Swansea (NSW),1896.0,159.0,461.0,487.0,1137.0,45.8,3.8,11.1,11.8,27.5
Swansea Heads,340.0,16.0,38.0,25.0,153.0,59.4,2.8,6.6,4.4,26.7
Sydenham (NSW),327.0,33.0,88.0,32.0,441.0,35.5,3.6,9.6,3.5,47.9
Sydney,4227.0,223.0,741.0,178.0,8347.0,30.8,1.6,5.4,1.3,60.9
Sylvania,4489.0,199.0,609.0,683.0,2083.0,55.7,2.5,7.6,8.5,25.8
Sylvania Waters,1494.0,59.0,155.0,134.0,707.0,58.6,2.3,6.1,5.3,27.7
Tacoma,294.0,22.0,54.0,15.0,210.0,49.4,3.7,9.1,2.5,35.3
Tacoma South,109.0,12.0,23.0,5.0,63.0,51.4,5.7,10.8,2.4,29.7
Tamarama,414.0,27.0,102.0,24.0,681.0,33.2,2.2,8.2,1.9,54.6
Taren Point,850.0,36.0,100.0,226.0,282.0,56.9,2.4,6.7,15.1,18.9
Tarrawanna,873.0,39.0,117.0,134.0,461.0,53.8,2.4,7.2,8.3,28.4
Tascott,761.0,31.0,122.0,76.0,386.0,55.3,2.3,8.9,5.5,28.1
Tempe,1158.0,82.0,230.0,103.0,1147.0,42.6,3.0,8.5,3.8,42.2
Teralba,523.0,66.0,156.0,147.0,405.0,40.3,5.1,12.0,11.3,31.2
Terrey Hills,1401.0,31.0,135.0,112.0,658.0,59.9,1.3,5.8,4.8,28.2
Terrigal,4505.0,306.0,889.0,453.0,2611.0,51.4,3.5,10.1,5.2,29.8
The Entrance,1021.0,221.0,487.0,267.0,1242.0,31.5,6.8,15.0,8.2,38.4
The Entrance North,409.0,74.0,155.0,48.0,434.0,36.5,6.6,13.8,4.3,38.8
The Hill,516.0,33.0,116.0,53.0,820.0,33.6,2.1,7.5,3.4,53.3
The Junction,481.0,40.0,136.0,70.0,560.0,37.4,3.1,10.6,5.4,43.5
Thirroul,2323.0,106.0,403.0,262.0,1410.0,51.6,2.4,8.9,5.8,31.3
Thornleigh,3713.0,143.0,428.0,306.0,1745.0,58.6,2.3,6.8,4.8,27.5
Tighes Hill,419.0,45.0,184.0,67.0,600.0,31.9,3.4,14.0,5.1,45.6
Tingira Heights,850.0,38.0,131.0,50.0,449.0,56.0,2.5,8.6,3.3,29.6
Toongabbie (NSW),5751.0,238.0,716.0,437.0,3253.0,55.3,2.3,6.9,4.2,31.3
