,Median rent,Households where rent payments are less than 30% of household income,"Households where rent payments are 30%, or greater, of household income",Median rent (%),Households where rent payments are less than 30% of household income (%),"Households where rent payments are 30%, or greater, of household income (%)"
Baulkham Hills,420.0,--,--,--,94.9,5.1
Bayview (NSW),480.0,--,--,--,96.2,3.8
Beacon Hill,575.0,--,--,--,94.6,5.4
Beaconsfield (NSW),500.0,--,--,--,86.0,14.0
Beecroft,500.0,--,--,--,96.7,3.3
Belfield,320.0,--,--,--,88.9,11.1
Bella Vista,600.0,--,--,--,95.2,4.8
Bellambi,175.0,--,--,--,81.6,18.4
Bellevue Hill,508.0,--,--,--,86.7,13.3
Belmont (NSW),233.0,--,--,--,86.4,13.6
Belmont North,255.0,--,--,--,92.6,7.4
Belmont South,245.0,--,--,--,82.1,17.9
Belmore,300.0,--,--,--,80.1,19.9
Belrose,630.0,--,--,--,96.5,3.5
Bensville,350.0,--,--,--,97.4,2.6
Berala,300.0,--,--,--,82.0,18.0
Berkeley,170.0,--,--,--,88.7,11.3
Berkeley Vale,300.0,--,--,--,90.6,9.4
Berowra,400.0,--,--,--,96.9,3.1
Berowra Heights,430.0,--,--,--,96.6,3.4
Beverley Park,440.0,--,--,--,93.6,6.4
Beverly Hills,380.0,--,--,--,91.1,8.9
Bexley,370.0,--,--,--,89.4,10.6
Bexley North,325.0,--,--,--,90.0,10.0
Bidwill (NSW),155.0,--,--,--,76.1,23.9
Birchgrove,560.0,--,--,--,91.3,8.7
Birmingham Gardens,290.0,--,--,--,78.5,21.5
Birrong,250.0,--,--,--,90.8,9.2
Blackalls Park,260.0,--,--,--,92.7,7.3
Blackbutt (NSW),275.0,--,--,--,89.4,10.6
Blackett,200.0,--,--,--,82.3,17.7
Blacksmiths,230.0,--,--,--,89.9,10.1
Blacktown,320.0,--,--,--,86.1,13.9
Blackwall (NSW),250.0,--,--,--,84.6,15.4
Blairmount,320.0,--,--,--,88.4,11.6
Blakehurst,430.0,--,--,--,94.5,5.5
Blaxland (NSW),305.0,--,--,--,93.6,6.4
Blue Bay,270.0,--,--,--,77.3,22.7
Blue Haven,300.0,--,--,--,89.0,11.0
Bolton Point,182.0,--,--,--,85.5,14.5
Bondi,500.0,--,--,--,80.0,20.0
Bondi Beach,490.0,--,--,--,77.5,22.5
Bondi Junction,520.0,--,--,--,78.0,22.0
Bonnet Bay,538.0,--,--,--,99.1,0.9
Bonnyrigg,191.0,--,--,--,85.9,14.1
Bonnyrigg Heights,370.0,--,--,--,92.8,7.2
Booker Bay,290.0,--,--,--,81.3,18.7
Boolaroo,270.0,--,--,--,87.3,12.7
Booragul,206.0,--,--,--,90.2,9.8
Bossley Park,350.0,--,--,--,91.6,8.4
Botany,350.0,--,--,--,89.6,10.4
Bow Bowing,340.0,--,--,--,94.7,5.3
Bradbury (NSW),277.0,--,--,--,91.5,8.5
Broadmeadow,270.0,--,--,--,81.3,18.7
Bronte,495.0,--,--,--,87.2,12.8
Brookvale,430.0,--,--,--,83.5,16.5
Budgewoi,225.0,--,--,--,86.7,13.3
Buff Point,250.0,--,--,--,90.3,9.7
Bulli,220.0,--,--,--,91.7,8.3
Burwood (NSW),421.0,--,--,--,76.4,23.6
Burwood Heights,280.0,--,--,--,91.2,8.8
Busby,185.0,--,--,--,85.4,14.6
Cabarita (NSW),715.0,--,--,--,92.3,7.7
Cabramatta,250.0,--,--,--,77.4,22.6
Cambridge Gardens,320.0,--,--,--,92.6,7.4
Cambridge Park,300.0,--,--,--,91.0,9.0
Camden,320.0,--,--,--,88.5,11.5
Camden South,345.0,--,--,--,95.7,4.3
Cammeray,480.0,--,--,--,85.8,14.2
Campbelltown (NSW),260.0,--,--,--,85.0,15.0
Camperdown (NSW),493.0,--,--,--,79.9,20.1
Campsie,320.0,--,--,--,74.2,25.8
Canada Bay,420.0,--,--,--,90.0,10.0
Canley Heights,270.0,--,--,--,86.7,13.3
Canley Vale,250.0,--,--,--,82.7,17.3
Canterbury (NSW),330.0,--,--,--,83.1,16.9
Canton Beach,230.0,--,--,--,85.3,14.7
Cardiff (NSW),280.0,--,--,--,90.5,9.5
Cardiff Heights,250.0,--,--,--,95.0,5.0
Cardiff South,288.0,--,--,--,91.9,8.1
