,Median rent,Households where rent payments are less than 30% of household income,"Households where rent payments are 30%, or greater, of household income",Median rent (%),Households where rent payments are less than 30% of household income (%),"Households where rent payments are 30%, or greater, of household income (%)"
Regents Park (NSW),300.0,--,--,--,81.1,18.9
Regentville,300.0,--,--,--,89.9,10.1
Revesby,315.0,--,--,--,90.6,9.4
Revesby Heights,420.0,--,--,--,95.4,4.6
Rhodes,560.0,--,--,--,72.8,27.2
Riverstone,295.0,--,--,--,88.4,11.6
Riverview (Lane Cove - NSW),581.0,--,--,--,96.6,3.4
Riverwood,160.0,--,--,--,83.9,16.1
Rockdale,390.0,--,--,--,82.7,17.3
Rocky Point (NSW),200.0,--,--,--,89.6,10.4
Rodd Point,620.0,--,--,--,94.6,5.4
Rooty Hill,320.0,--,--,--,91.1,8.9
Rose Bay (NSW),500.0,--,--,--,82.0,18.0
Roselands,310.0,--,--,--,86.6,13.4
Rosemeadow,263.0,--,--,--,89.0,11.0
Roseville,498.0,--,--,--,93.6,6.4
Roseville Chase,500.0,--,--,--,95.1,4.9
Rouse Hill,485.0,--,--,--,93.1,6.9
Rozelle,530.0,--,--,--,88.3,11.7
Rushcutters Bay,350.0,--,--,--,75.1,24.9
Russell Lea,430.0,--,--,--,93.2,6.8
Russell Vale,205.0,--,--,--,93.5,6.5
Rydalmere,300.0,--,--,--,88.5,11.5
Ryde,360.0,--,--,--,85.6,14.4
Sadleir,150.0,--,--,--,81.9,18.1
San Remo (NSW),260.0,--,--,--,86.0,14.0
Sandringham (NSW),405.0,--,--,--,89.3,10.7
Sans Souci,380.0,--,--,--,90.6,9.4
Saratoga,320.0,--,--,--,93.1,6.9
Scarborough (NSW),430.0,--,--,--,94.6,5.4
Schofields,325.0,--,--,--,89.9,10.1
Scotland Island,380.0,--,--,--,89.3,10.7
Seaforth (NSW),550.0,--,--,--,92.6,7.4
Sefton,310.0,--,--,--,86.5,13.5
Seven Hills (NSW),275.0,--,--,--,90.9,9.1
Shalvey,170.0,--,--,--,83.9,16.1
Shell Cove,430.0,--,--,--,94.8,5.2
Shellharbour,300.0,--,--,--,89.2,10.8
Shelly Beach (NSW),300.0,--,--,--,92.0,8.0
Shortland,270.0,--,--,--,88.9,11.1
Silverwater (Lake Macquarie - NSW),295.0,--,--,--,94.4,5.6
Smithfield (NSW),290.0,--,--,--,85.6,14.4
South Coogee,135.0,--,--,--,83.6,16.4
South Granville,151.0,--,--,--,81.6,18.4
South Hurstville,380.0,--,--,--,89.4,10.6
South Penrith,300.0,--,--,--,92.3,7.7
South Turramurra,640.0,--,--,--,96.8,3.2
South Wentworthville,345.0,--,--,--,87.4,12.6
Speers Point,280.0,--,--,--,90.9,9.1
Springfield (Gosford - NSW),250.0,--,--,--,91.2,8.8
Springwood (NSW),295.0,--,--,--,92.6,7.4
St Andrews (NSW),300.0,--,--,--,93.0,7.0
St Clair (Penrith - NSW),330.0,--,--,--,94.3,5.7
St Ives (NSW),665.0,--,--,--,94.6,5.4
St Ives Chase,796.0,--,--,--,96.5,3.5
St Johns Park,340.0,--,--,--,92.8,7.2
St Leonards (NSW),500.0,--,--,--,77.9,22.1
St Marys (NSW),270.0,--,--,--,80.3,19.7
St Peters (NSW),465.0,--,--,--,84.0,16.0
Stanhope Gardens,500.0,--,--,--,94.1,5.9
Stanmore (NSW),390.0,--,--,--,84.7,15.3
Stockton (NSW),250.0,--,--,--,89.1,10.9
Strathfield (NSW),420.0,--,--,--,82.4,17.6
Strathfield South,390.0,--,--,--,88.6,11.4
Summer Hill (Ashfield - NSW),360.0,--,--,--,81.8,18.2
Surry Hills,450.0,--,--,--,77.6,22.4
Sutherland (NSW),360.0,--,--,--,85.4,14.6
Swansea (NSW),230.0,--,--,--,86.4,13.6
Swansea Heads,395.0,--,--,--,94.2,5.8
Sydenham (NSW),405.0,--,--,--,91.2,8.8
Sydney,600.0,--,--,--,61.3,38.7
Sylvania,380.0,--,--,--,92.4,7.6
Sylvania Waters,420.0,--,--,--,93.5,6.5
Tacoma,250.0,--,--,--,93.2,6.8
Tamarama,630.0,--,--,--,83.0,17.0
Taren Point,480.0,--,--,--,96.5,3.5
Tarrawanna,202.0,--,--,--,91.2,8.8
Tascott,340.0,--,--,--,91.5,8.5
Tempe,400.0,--,--,--,91.0,9.0
Teralba,210.0,--,--,--,88.8,11.2
Terrey Hills,520.0,--,--,--,94.9,5.1
Terrigal,360.0,--,--,--,89.9,10.1
The Entrance,260.0,--,--,--,63.4,36.6
The Entrance North,280.0,--,--,--,73.1,26.9
The Hill,273.0,--,--,--,82.7,17.3
The Junction,260.0,--,--,--,86.2,13.8
Thirroul,330.0,--,--,--,92.4,7.6
Thornleigh,395.0,--,--,--,94.6,5.4
Tighes Hill,260.0,--,--,--,85.1,14.9
Tingira Heights,300.0,--,--,--,95.7,4.3
Toongabbie (NSW),320.0,--,--,--,90.4,9.6
Toowoon Bay,240.0,--,--,--,77.6,22.4
Toronto,200.0,--,--,--,86.3,13.7
Toukley,240.0,--,--,--,81.4,18.6
Towradgi,230.0,--,--,--,90.9,9.1
Tregear,205.0,--,--,--,80.0,20.0
Tuggerah,290.0,--,--,--,82.7,17.3
Tuggerawong,220.0,--,--,--,84.8,15.2
Tumbi Umbi,270.0,--,--,--,91.4,8.6
Turramurra,510.0,--,--,--,94.2,5.8
Turrella,450.0,--,--,--,92.2,7.8
Ultimo,458.0,--,--,--,59.3,40.7
Umina Beach,275.0,--,--,--,85.0,15.0
Unanderra,170.0,--,--,--,86.4,13.6
Valentine (NSW),350.0,--,--,--,95.7,4.3
Valley Heights,310.0,--,--,--,94.6,5.4
Vaucluse,531.0,--,--,--,86.8,13.2
Villawood,130.0,--,--,--,81.2,18.8
Voyager Point,470.0,--,--,--,96.6,3.4
Wahroonga,501.0,--,--,--,94.0,6.0
Waitara,420.0,--,--,--,81.5,18.5
Wakeley,350.0,--,--,--,91.9,8.1
Wallsend,260.0,--,--,--,88.9,11.1
Wamberal,350.0,--,--,--,93.0,7.0
Warabrook,275.0,--,--,--,91.7,8.3
Waratah (NSW),220.0,--,--,--,83.4,16.6
Waratah West,300.0,--,--,--,85.8,14.2
Wareemba,480.0,--,--,--,89.9,10.1
Warilla,200.0,--,--,--,83.9,16.1
Warners Bay,290.0,--,--,--,91.1,8.9
Warrawee,530.0,--,--,--,89.9,10.1
Warrawong,160.0,--,--,--,82.8,17.2
Warriewood,570.0,--,--,--,91.7,8.3
Warwick Farm,230.0,--,--,--,72.8,27.2
Watanobbi,250.0,--,--,--,84.5,15.5
Waterloo (NSW),350.0,--,--,--,71.8,28.2
Watsons Bay,400.0,--,--,--,90.0,10.0
Wattle Grove (NSW),280.0,--,--,--,94.2,5.8
Waverley (NSW),461.0,--,--,--,82.3,17.7
Waverton,490.0,--,--,--,88.3,11.7
Wentworthville,340.0,--,--,--,85.8,14.2
Werrington,280.0,--,--,--,82.5,17.5
Werrington County,310.0,--,--,--,95.6,4.4
Werrington Downs,335.0,--,--,--,94.5,5.5
West Gosford,280.0,--,--,--,81.1,18.9
West Hoxton,450.0,--,--,--,95.1,4.9
West Pymble,618.0,--,--,--,96.6,3.4
West Wallsend,275.0,--,--,--,91.4,8.6
West Wollongong,240.0,--,--,--,84.8,15.2
Westleigh,546.0,--,--,--,97.8,2.2
Westmead,360.0,--,--,--,81.4,18.6
Wetherill Park,385.0,--,--,--,91.8,8.2
Whalan,190.0,--,--,--,84.2,15.8
Wickham (NSW),275.0,--,--,--,80.9,19.1
Wiley Park,295.0,--,--,--,71.6,28.4
Willmot,185.0,--,--,--,79.4,20.6
Willoughby (NSW),470.0,--,--,--,89.5,10.5
Willoughby East,610.0,--,--,--,93.8,6.2
Windale,132.0,--,--,--,77.4,22.6
Windang,200.0,--,--,--,89.0,11.0
Winmalee,330.0,--,--,--,94.9,5.1
Winston Hills,410.0,--,--,--,96.3,3.7
Wollongong,280.0,--,--,--,75.3,24.7
Wollstonecraft,466.0,--,--,--,87.2,12.8
Wombarra,370.0,--,--,--,92.4,7.6
Woodbine (NSW),310.0,--,--,--,90.2,9.8
Woodcroft (NSW),378.0,--,--,--,95.1,4.9
Woodpark,360.0,--,--,--,94.1,5.9
Woollahra,550.0,--,--,--,84.9,15.1
Woolloomooloo,420.0,--,--,--,73.1,26.9
Woolooware,330.0,--,--,--,90.9,9.1
Woolwich,390.0,--,--,--,92.4,7.6
Woonona,260.0,--,--,--,91.4,8.6
Woronora,380.0,--,--,--,96.0,4.0
Woronora Heights,570.0,--,--,--,98.3,1.7
Woy Woy,240.0,--,--,--,85.9,14.1
Woy Woy Bay,275.0,--,--,--,92.5,7.5
Wyoming,265.0,--,--,--,91.5,8.5
Wyongah,250.0,--,--,--,90.7,9.3
Yagoona,300.0,--,--,--,86.3,13.7
Yarrawarrah,430.0,--,--,--,98.3,1.7
Yennora,132.0,--,--,--,83.2,16.8
Yowie Bay,550.0,--,--,--,97.9,2.1
Zetland,565.0,--,--,--,79.4,20.6
