,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Abbotsbury,354,272,251,235,205,157,145,136,116,12.8,9.9,9.1,8.5,7.4,5.7,5.3,4.9,4.2
Australia,"1,366,701","1,514,096","1,018,903","975,653","792,378","764,823","717,457","670,821","309,968",9.2,10.2,6.9,6.6,5.3,5.1,4.8,4.5,2.1
Abbotsford,440,818,192,425,144,398,67,90,150,10.6,19.7,4.6,10.2,3.5,9.6,1.6,2.2,3.6
Acacia Gardens,183,152,143,124,81,77,45,67,55,14.5,12.1,11.4,9.9,6.4,6.1,3.6,5.3,4.4
Adamstown,366,409,270,273,219,121,172,154,74,9.2,10.3,6.8,6.9,5.5,3.1,4.3,3.9,1.9
Adamstown Heights,381,630,221,318,259,165,117,137,113,8.9,14.7,5.2,7.4,6.0,3.8,2.7,3.2,2.6
Airds,119,35,63,32,92,9,140,132,14,4.5,1.3,2.4,1.2,3.5,0.3,5.3,5.0,0.5
Albion Park,860,598,715,527,543,231,383,585,146,11.7,8.1,9.7,7.1,7.4,3.1,5.2,7.9,2.0
Albion Park Rail,502,248,521,274,379,89,290,447,84,9.2,4.5,9.5,5.0,6.9,1.6,5.3,8.2,1.5
Alexandria,447,893,173,363,167,351,77,115,126,11.9,23.7,4.6,9.6,4.4,9.3,2.0,3.1,3.3
Alfords Point,302,367,177,222,157,237,61,88,117,12.3,15.0,7.2,9.1,6.4,9.7,2.5,3.6,4.8
Allambie Heights,595,691,359,454,299,316,207,179,167,10.9,12.7,6.6,8.3,5.5,5.8,3.8,3.3,3.1
Allawah,412,430,195,247,212,132,158,174,68,11.6,12.1,5.5,6.9,6.0,3.7,4.4,4.9,1.9
Ambarvale,614,282,396,297,369,139,328,389,113,11.4,5.3,7.4,5.5,6.9,2.6,6.1,7.3,2.1
Annandale,708,"1,837",322,631,301,672,143,138,185,9.9,25.8,4.5,8.9,4.2,9.4,2.0,1.9,2.6
Argenton,74,26,73,32,72,16,60,65,3,6.9,2.4,6.9,3.0,6.8,1.5,5.6,6.1,0.3
Arncliffe,654,553,437,392,404,219,387,396,136,8.9,7.6,6.0,5.4,5.5,3.0,5.3,5.4,1.9
Artarmon,695,"1,629",179,652,322,528,127,105,199,10.2,23.9,2.6,9.6,4.7,7.7,1.9,1.5,2.9
Ashbury,238,340,212,157,144,117,91,103,75,9.3,13.2,8.2,6.1,5.6,4.6,3.5,4.0,2.9
Ashcroft,151,68,140,56,99,20,123,162,20,6.2,2.8,5.7,2.3,4.1,0.8,5.0,6.6,0.8
Ashfield,"1,629","2,625",760,"1,022",910,620,688,572,339,9.4,15.1,4.4,5.9,5.2,3.6,4.0,3.3,2.0
Asquith,270,380,194,189,135,129,93,75,81,11.0,15.5,7.9,7.7,5.5,5.3,3.8,3.1,3.3
Auburn,"1,304","1,052","1,120",732,886,292,"1,108","1,145",203,6.5,5.2,5.6,3.6,4.4,1.5,5.5,5.7,1.0
Austinmer,110,397,93,127,63,101,34,36,29,6.4,23.1,5.4,7.4,3.7,5.9,2.0,2.1,1.7
Avoca Beach,289,429,267,255,182,131,104,95,72,9.3,13.8,8.6,8.2,5.9,4.2,3.4,3.1,2.3
Balgowlah,578,873,241,482,281,405,111,119,168,11.4,17.2,4.7,9.5,5.5,8.0,2.2,2.3,3.3
Balgowlah Heights,167,409,60,208,92,263,16,29,82,7.0,17.3,2.5,8.8,3.9,11.1,0.7,1.2,3.5
Balgownie,422,676,348,307,258,209,149,168,85,8.6,13.8,7.1,6.3,5.3,4.3,3.0,3.4,1.7
Balmain,610,"2,078",254,739,296,"1,055",107,90,215,7.7,26.2,3.2,9.3,3.7,13.3,1.3,1.1,2.7
Balmain East,123,448,33,150,40,202,31,15,39,7.9,28.8,2.1,9.6,2.6,13.0,2.0,1.0,2.5
Bangor,588,666,351,382,391,340,137,158,162,13.3,15.1,8.0,8.7,8.9,7.7,3.1,3.6,3.7
Banksia,239,174,168,153,145,72,169,144,54,9.9,7.2,6.9,6.3,6.0,3.0,7.0,6.0,2.2
Bankstown,"1,401","1,238","1,207",808,952,378,"1,035","1,169",244,7.1,6.3,6.1,4.1,4.8,1.9,5.3,5.9,1.2
Bar Beach,88,213,34,73,46,44,27,18,32,7.8,18.8,3.0,6.4,4.1,3.9,2.4,1.6,2.8
Barden Ridge,368,338,253,265,200,225,62,105,102,14.4,13.2,9.9,10.4,7.8,8.8,2.4,4.1,4.0
Bardwell Park,170,228,125,126,120,81,61,82,54,9.3,12.4,6.8,6.9,6.5,4.4,3.3,4.5,2.9
Bardwell Valley,166,177,106,86,104,49,48,90,37,10.9,11.6,7.0,5.6,6.8,3.2,3.2,5.9,2.4
Barnsley,115,54,161,67,108,30,96,125,19,8.5,4.0,11.9,4.9,8.0,2.2,7.1,9.2,1.4
Barrack Heights,417,218,438,240,318,75,292,367,71,8.3,4.3,8.7,4.8,6.3,1.5,5.8,7.3,1.4
Barrack Point,44,36,48,22,28,17,19,23,7,9.4,7.7,10.3,4.7,6.0,3.6,4.1,4.9,1.5
Bass Hill,699,469,535,335,317,195,293,375,157,10.4,7.0,8.0,5.0,4.7,2.9,4.4,5.6,2.3
Bateau Bay,715,604,626,446,530,228,353,322,156,8.1,6.9,7.1,5.1,6.0,2.6,4.0,3.7,1.8
Baulkham Hills,"3,356","4,349","1,839","2,318","1,559","2,018",761,881,990,12.5,16.2,6.9,8.7,5.8,7.5,2.8,3.3,3.7
Bayview,201,332,111,178,87,251,39,20,94,7.7,12.7,4.2,6.8,3.3,9.6,1.5,0.8,3.6
Beacon Hill,542,594,342,418,312,321,173,165,190,11.6,12.7,7.3,8.9,6.7,6.9,3.7,3.5,4.1
Beaconsfield,66,107,30,84,28,38,24,34,15,10.7,17.4,4.9,13.6,4.5,6.2,3.9,5.5,2.4
Beecroft,597,"1,567",205,495,339,594,99,86,204,8.8,23.0,3.0,7.3,5.0,8.7,1.5,1.3,3.0
Belfield,436,370,325,245,234,140,175,201,109,9.8,8.3,7.3,5.5,5.3,3.1,3.9,4.5,2.5
Bella Vista,386,594,163,334,213,361,74,95,124,11.8,18.2,5.0,10.2,6.5,11.1,2.3,2.9,3.8
Bellambi,272,172,223,146,151,44,158,158,49,8.4,5.3,6.9,4.5,4.6,1.4,4.9,4.9,1.5
Bellevue Hill,613,"1,756",184,762,296,844,85,68,245,7.7,22.1,2.3,9.6,3.7,10.6,1.1,0.9,3.1
Belmont,356,351,314,255,245,144,160,185,82,7.3,7.2,6.4,5.2,5.0,2.9,3.3,3.8,1.7
Belmont North,380,275,351,196,245,97,182,244,79,8.9,6.4,8.2,4.6,5.7,2.3,4.3,5.7,1.8
Belmont South,56,28,61,34,34,9,44,38,24,6.2,3.1,6.7,3.8,3.8,1.0,4.9,4.2,2.7
Belmore,756,543,655,446,534,170,598,546,143,7.6,5.5,6.6,4.5,5.4,1.7,6.0,5.5,1.4
Belrose,677,806,388,511,362,476,133,158,232,11.0,13.1,6.3,8.3,5.9,7.7,2.2,2.6,3.8
Bensville,124,133,132,96,89,51,55,64,41,9.9,10.7,10.6,7.7,7.1,4.1,4.4,5.1,3.3
Berala,488,392,396,245,281,117,411,387,77,8.0,6.5,6.5,4.0,4.6,1.9,6.8,6.4,1.3
Berkeley,366,199,354,153,320,61,379,420,60,6.3,3.4,6.1,2.6,5.5,1.1,6.6,7.3,1.0
Berkeley Vale,710,482,693,433,412,178,385,388,139,10.1,6.9,9.9,6.2,5.9,2.5,5.5,5.5,2.0
Berowra,422,554,262,309,184,218,103,96,129,13.1,17.2,8.1,9.6,5.7,6.8,3.2,3.0,4.0
Berowra Heights,572,604,339,356,245,286,153,166,154,14.4,15.2,8.5,8.9,6.2,7.2,3.8,4.2,3.9
Beverley Park,177,184,121,99,76,60,56,76,40,10.5,11.0,7.2,5.9,4.5,3.6,3.3,4.5,2.4
Beverly Hills,755,669,402,420,370,241,250,296,148,10.5,9.3,5.6,5.8,5.1,3.3,3.5,4.1,2.1
Bexley,"1,414","1,306",958,865,761,433,703,750,311,9.9,9.1,6.7,6.0,5.3,3.0,4.9,5.2,2.2
Bexley North,300,332,185,197,137,110,120,122,92,9.5,10.5,5.8,6.2,4.3,3.5,3.8,3.8,2.9
Bidwill,197,59,123,69,124,26,188,220,19,6.3,1.9,3.9,2.2,4.0,0.8,6.0,7.0,0.6
Birchgrove,195,776,74,250,68,302,32,26,87,8.0,31.9,3.0,10.3,2.8,12.4,1.3,1.1,3.6
Birmingham Gardens,96,110,98,52,99,12,55,59,15,6.7,7.6,6.8,3.6,6.9,0.8,3.8,4.1,1.0
Birrong,181,161,149,110,109,51,112,107,41,7.8,6.9,6.4,4.7,4.7,2.2,4.8,4.6,1.8
Blackalls Park,170,138,169,99,130,41,127,139,33,7.9,6.4,7.8,4.6,6.0,1.9,5.9,6.4,1.5
Blackbutt,217,161,216,145,171,58,113,153,45,9.6,7.1,9.6,6.4,7.6,2.6,5.0,6.8,2.0
Blackett,207,57,132,48,142,16,144,212,17,8.5,2.3,5.4,2.0,5.8,0.7,5.9,8.7,0.7
Blacksmiths,113,54,93,48,80,21,49,67,20,7.9,3.8,6.5,3.3,5.6,1.5,3.4,4.7,1.4
Blacktown,"3,086","1,918","2,308","1,352","1,700",655,"1,588","2,118",561,10.5,6.5,7.8,4.6,5.8,2.2,5.4,7.2,1.9
Blackwall,141,79,84,50,84,26,58,61,20,10.2,5.7,6.1,3.6,6.1,1.9,4.2,4.4,1.5
Blairmount,33,33,28,22,16,15,15,13,,8.2,8.2,7.0,5.5,4.0,3.7,3.7,3.2,
Blakehurst,402,605,189,343,219,281,83,111,174,9.4,14.2,4.4,8.0,5.1,6.6,1.9,2.6,4.1
Blaxland,618,"1,003",410,437,315,315,162,174,162,11.3,18.4,7.5,8.0,5.8,5.8,3.0,3.2,3.0
Blue Bay,55,37,40,48,26,12,28,23,12,7.8,5.3,5.7,6.8,3.7,1.7,4.0,3.3,1.7
Blue Haven,321,164,256,197,210,85,203,228,46,9.9,5.0,7.9,6.1,6.5,2.6,6.2,7.0,1.4
Bolton Point,100,98,70,56,65,28,64,45,13,6.1,6.0,4.3,3.4,4.0,1.7,3.9,2.7,0.8
Bondi,752,"1,376",360,648,326,442,180,178,201,9.8,17.9,4.7,8.4,4.2,5.7,2.3,2.3,2.6
Bondi Beach,953,"1,941",478,774,405,660,213,182,250,10.0,20.3,5.0,8.1,4.2,6.9,2.2,1.9,2.6
Bondi Junction,605,"1,241",251,554,295,446,144,124,188,9.0,18.4,3.7,8.2,4.4,6.6,2.1,1.8,2.8
Bonnet Bay,262,389,118,157,127,171,36,35,97,13.9,20.6,6.3,8.3,6.7,9.1,1.9,1.9,5.1
Bonnyrigg,439,306,404,214,290,75,386,455,92,6.6,4.6,6.1,3.2,4.4,1.1,5.8,6.9,1.4
Bonnyrigg Heights,480,292,455,244,271,152,363,391,92,9.2,5.6,8.7,4.7,5.2,2.9,7.0,7.5,1.8
Booker Bay,77,46,55,60,35,27,47,32,16,6.9,4.1,5.0,5.4,3.2,2.4,4.2,2.9,1.4
Boolaroo,88,50,92,59,62,16,43,52,13,9.4,5.3,9.8,6.3,6.6,1.7,4.6,5.5,1.4
Booragul,74,40,62,23,36,13,62,40,19,5.9,3.2,4.9,1.8,2.9,1.0,4.9,3.2,1.5
Bossley Park,"1,178",748,993,573,621,326,733,735,253,10.7,6.8,9.0,5.2,5.6,3.0,6.6,6.7,2.3
Botany,747,500,492,382,341,224,335,455,175,12.4,8.3,8.2,6.3,5.6,3.7,5.6,7.5,2.9
Bow Bowing,169,88,105,82,83,45,68,103,33,14.4,7.5,9.0,7.0,7.1,3.8,5.8,8.8,2.8
Bradbury,896,571,566,449,481,193,366,462,167,12.6,8.0,7.9,6.3,6.7,2.7,5.1,6.5,2.3
Broadmeadow,102,119,72,78,68,16,70,48,26,8.6,10.0,6.1,6.6,5.7,1.3,5.9,4.0,2.2
Bronte,536,"1,266",274,533,252,488,112,64,173,9.4,22.1,4.8,9.3,4.4,8.5,2.0,1.1,3.0
Brookvale,182,191,163,154,149,88,127,107,58,8.7,9.1,7.8,7.4,7.1,4.2,6.1,5.1,2.8
Budgewoi,140,89,149,94,134,38,107,83,26,5.8,3.7,6.1,3.9,5.5,1.6,4.4,3.4,1.1
Buff Point,239,120,195,100,129,55,132,127,41,9.2,4.6,7.5,3.8,5.0,2.1,5.1,4.9,1.6
Bulli,359,481,341,273,204,154,137,204,80,8.6,11.5,8.1,6.5,4.9,3.7,3.3,4.9,1.9
Burwood,752,"1,279",382,531,491,324,353,260,163,7.9,13.5,4.0,5.6,5.2,3.4,3.7,2.7,1.7
Burwood Heights,62,116,47,64,34,34,29,24,14,7.7,14.4,5.8,8.0,4.2,4.2,3.6,3.0,1.7
Busby,218,67,169,93,129,33,196,179,31,7.4,2.3,5.7,3.2,4.4,1.1,6.7,6.1,1.1
Cabarita,85,152,46,101,40,124,16,22,30,8.8,15.7,4.7,10.4,4.1,12.8,1.6,2.3,3.1
Cabramatta,620,465,759,367,524,160,"1,239",960,85,4.1,3.1,5.0,2.4,3.4,1.1,8.1,6.3,0.6
Cabramatta West,264,158,318,141,209,69,327,336,42,5.2,3.1,6.3,2.8,4.1,1.4,6.4,6.6,0.8
Cambridge Gardens,246,109,167,114,126,40,99,138,47,15.1,6.7,10.2,7.0,7.7,2.5,6.1,8.5,2.9
Cambridge Park,582,248,456,267,313,101,283,406,111,12.3,5.2,9.6,5.6,6.6,2.1,6.0,8.6,2.3
Camden,212,270,180,138,97,102,95,125,51,8.5,10.8,7.2,5.5,3.9,4.1,3.8,5.0,2.0
Camden South,443,513,343,286,253,165,171,242,92,12.0,13.9,9.3,7.7,6.8,4.5,4.6,6.5,2.5
Cammeray,562,"1,237",168,603,196,562,87,71,191,10.9,24.0,3.3,11.7,3.8,10.9,1.7,1.4,3.7
Campbelltown,843,536,587,448,472,207,419,508,147,10.7,6.8,7.5,5.7,6.0,2.6,5.3,6.5,1.9
Camperdown,613,"1,037",143,316,313,291,109,75,119,12.1,20.5,2.8,6.3,6.2,5.8,2.2,1.5,2.4
Campsie,"1,260",956,"1,134",690,946,290,942,996,202,7.6,5.8,6.8,4.2,5.7,1.7,5.7,6.0,1.2
Canada Bay,102,133,64,89,47,83,23,27,33,10.2,13.3,6.4,8.9,4.7,8.3,2.3,2.7,3.3
Canley Heights,452,277,491,212,310,82,508,551,63,6.1,3.7,6.6,2.9,4.2,1.1,6.8,7.4,0.8
Canley Vale,407,311,459,202,281,86,562,489,66,5.2,4.0,5.8,2.6,3.6,1.1,7.1,6.2,0.8
Canterbury,373,377,297,247,253,119,258,218,91,8.4,8.5,6.7,5.6,5.7,2.7,5.8,4.9,2.1
Canton Beach,42,24,47,28,30,10,31,31,6,4.1,2.4,4.6,2.8,3.0,1.0,3.1,3.1,0.6
Cardiff,341,299,338,246,263,88,201,202,60,8.4,7.3,8.3,6.0,6.5,2.2,4.9,5.0,1.5
Cardiff Heights,126,194,81,100,86,56,51,61,28,8.6,13.2,5.5,6.8,5.9,3.8,3.5,4.2,1.9
Cardiff South,221,119,179,119,151,39,105,120,36,10.8,5.8,8.8,5.8,7.4,1.9,5.2,5.9,1.8
Caringbah,"1,774","1,892","1,327","1,257",907,981,495,564,665,10.6,11.3,7.9,7.5,5.4,5.8,2.9,3.4,4.0
Carlingford,"1,604","2,585",822,"1,225",819,942,409,453,484,10.2,16.5,5.2,7.8,5.2,6.0,2.6,2.9,3.1
Carlton,816,851,537,505,455,271,422,382,188,10.5,10.9,6.9,6.5,5.9,3.5,5.4,4.9,2.4
Carramar,156,98,150,54,103,30,163,169,14,6.4,4.0,6.1,2.2,4.2,1.2,6.7,6.9,0.6
Carrington,86,96,65,53,50,22,62,51,12,6.6,7.3,5.0,4.1,3.8,1.7,4.7,3.9,0.9
Carss Park,91,132,35,84,41,58,10,25,29,9.6,14.0,3.7,8.9,4.3,6.1,1.1,2.6,3.1
Cartwright,116,40,85,27,53,19,105,105,9,6.6,2.3,4.9,1.5,3.0,1.1,6.0,6.0,0.5
Castle Cove,134,330,47,159,60,191,10,11,61,7.1,17.6,2.5,8.5,3.2,10.2,0.5,0.6,3.2
Castle Hill,"2,692","4,071","1,246","2,135","1,493","2,268",561,532,871,10.8,16.3,5.0,8.6,6.0,9.1,2.3,2.1,3.5
Castlecrag,117,480,49,165,75,264,28,15,72,5.6,22.9,2.3,7.9,3.6,12.6,1.3,0.7,3.4
Casula,967,730,762,567,492,319,408,483,214,11.4,8.6,9.0,6.7,5.8,3.8,4.8,5.7,2.5
Caves Beach,280,302,251,167,209,109,114,131,66,8.7,9.4,7.8,5.2,6.5,3.4,3.6,4.1,2.1
Cecil Hills,503,358,385,322,277,190,236,292,126,12.0,8.5,9.2,7.7,6.6,4.5,5.6,6.9,3.0
Centennial Park,222,452,62,182,94,159,24,30,52,11.7,23.7,3.3,9.6,4.9,8.4,1.3,1.6,2.7
Charlestown,870,975,659,640,644,312,370,303,204,9.5,10.6,7.2,7.0,7.0,3.4,4.0,3.3,2.2
Charmhaven,147,84,146,82,113,31,91,98,36,8.8,5.0,8.7,4.9,6.7,1.9,5.4,5.9,2.1
Chatswood,704,"1,381",297,654,406,562,209,125,179,8.2,16.0,3.4,7.6,4.7,6.5,2.4,1.4,2.1
Chatswood West,526,"1,466",197,503,281,541,104,85,198,8.4,23.4,3.1,8.0,4.5,8.6,1.7,1.4,3.2
Cheltenham,116,423,47,106,73,151,28,19,47,7.4,27.1,3.0,6.8,4.7,9.7,1.8,1.2,3.0
Cherrybrook,"1,465","2,759",533,"1,271",780,"1,304",268,250,482,10.4,19.5,3.8,9.0,5.5,9.2,1.9,1.8,3.4
Chester Hill,631,424,519,325,364,159,366,481,135,8.0,5.4,6.6,4.1,4.6,2.0,4.6,6.1,1.7
Chifley,300,160,167,145,128,92,75,118,80,12.6,6.7,7.0,6.1,5.4,3.9,3.1,4.9,3.4
Chippendale,334,668,99,284,141,185,68,44,69,10.7,21.4,3.2,9.1,4.5,5.9,2.2,1.4,2.2
Chipping Norton,974,743,675,580,418,463,290,390,282,13.7,10.4,9.5,8.1,5.9,6.5,4.1,5.5,4.0
Chiswick,127,240,54,129,50,110,13,15,42,10.9,20.5,4.6,11.0,4.3,9.4,1.1,1.3,3.6
Chittaway Bay,155,78,118,91,91,46,96,74,39,10.4,5.2,7.9,6.1,6.1,3.1,6.4,5.0,2.6
Chittaway Point,53,31,53,39,40,18,37,25,17,8.8,5.1,8.8,6.5,6.6,3.0,6.1,4.1,2.8
Church Point,82,162,38,87,40,123,9,19,36,8.8,17.4,4.1,9.3,4.3,13.2,1.0,2.0,3.9
Claremont Meadows,383,173,230,157,172,77,147,206,69,16.4,7.4,9.9,6.7,7.4,3.3,6.3,8.8,3.0
Claymore,72,18,42,20,64,6,122,128,6,3.4,0.9,2.0,0.9,3.0,0.3,5.8,6.1,0.3
Clontarf,88,222,42,100,46,144,17,6,43,6.9,17.3,3.3,7.8,3.6,11.3,1.3,0.5,3.4
Clovelly,343,840,194,335,156,319,68,68,131,9.4,23.1,5.3,9.2,4.3,8.8,1.9,1.9,3.6
Coal Point,122,196,73,91,66,87,28,27,37,9.1,14.6,5.4,6.8,4.9,6.5,2.1,2.0,2.8
Coledale,64,103,62,47,41,28,30,19,13,9.1,14.6,8.8,6.7,5.8,4.0,4.2,2.7,1.8
Collaroy,"1,266","1,474",919,941,591,695,349,356,412,11.9,13.9,8.6,8.8,5.6,6.5,3.3,3.3,3.9
Colyton,793,259,564,297,374,139,382,607,139,12.8,4.2,9.1,4.8,6.0,2.2,6.2,9.8,2.2
Como,320,492,219,218,147,188,64,101,115,11.4,17.6,7.8,7.8,5.3,6.7,2.3,3.6,4.1
Concord,"1,129","1,385",722,845,628,656,348,334,335,10.4,12.7,6.6,7.8,5.8,6.0,3.2,3.1,3.1
Concord West,472,689,283,356,233,240,178,156,146,9.7,14.1,5.8,7.3,4.8,4.9,3.6,3.2,3.0
Condell Park,641,494,526,369,354,186,353,386,134,9.1,7.0,7.5,5.3,5.0,2.6,5.0,5.5,1.9
Coniston,118,121,122,78,66,26,104,65,23,7.6,7.8,7.9,5.0,4.2,1.7,6.7,4.2,1.5
Connells Point,214,353,127,161,114,194,41,51,95,9.4,15.5,5.6,7.1,5.0,8.5,1.8,2.2,4.2
Coogee,"1,242","2,748",620,"1,107",488,911,220,225,385,10.5,23.3,5.3,9.4,4.1,7.7,1.9,1.9,3.3
Cooks Hill,214,488,81,168,124,84,55,42,29,9.6,22.0,3.7,7.6,5.6,3.8,2.5,1.9,1.3
Copacabana,190,303,215,155,105,95,68,62,49,9.7,15.4,10.9,7.9,5.3,4.8,3.5,3.2,2.5
Cordeaux Heights,378,570,301,279,233,214,115,162,90,11.2,16.8,8.9,8.2,6.9,6.3,3.4,4.8,2.7
Corrimal,690,648,586,459,391,156,311,350,104,9.0,8.4,7.6,6.0,5.1,2.0,4.0,4.6,1.4
Cranebrook,"1,232",702,884,618,626,301,523,701,235,13.7,7.8,9.8,6.9,7.0,3.4,5.8,7.8,2.6
Cremorne,786,"2,144",226,946,354,"1,070",71,92,376,8.7,23.8,2.5,10.5,3.9,11.9,0.8,1.0,4.2
Cremorne Point,102,415,21,184,41,229,6,9,60,6.4,25.9,1.3,11.5,2.6,14.3,0.4,0.6,3.7
Cringila,73,37,85,33,101,6,156,115,12,3.8,1.9,4.5,1.7,5.3,0.3,8.2,6.1,0.6
Cromer,652,623,471,440,346,384,195,189,238,12.0,11.5,8.7,8.1,6.4,7.1,3.6,3.5,4.4
Cronulla,"1,672","1,896","1,186","1,220",747,896,474,495,582,11.7,13.3,8.3,8.6,5.2,6.3,3.3,3.5,4.1
Croudace Bay,34,28,23,12,16,10,6,9,7,11.4,9.4,7.7,4.0,5.4,3.4,2.0,3.0,2.3
Crows Nest,330,738,114,289,138,371,46,26,92,11.3,25.2,3.9,9.9,4.7,12.7,1.6,0.9,3.1
Croydon,722,"1,083",445,478,388,313,285,230,180,9.7,14.5,6.0,6.4,5.2,4.2,3.8,3.1,2.4
Croydon Park,944,968,591,588,455,289,343,356,214,11.1,11.4,7.0,6.9,5.4,3.4,4.0,4.2,2.5
Curl Curl,130,212,94,137,77,111,43,29,45,9.3,15.1,6.7,9.8,5.5,7.9,3.1,2.1,3.2
Currans Hill,487,237,354,236,206,121,133,285,81,16.4,8.0,11.9,7.9,6.9,4.1,4.5,9.6,2.7
Daceyville,90,46,42,34,49,19,32,29,9,8.4,4.3,3.9,3.2,4.6,1.8,3.0,2.7,0.8
Daleys Point,25,22,20,18,12,20,,3,6,6.2,5.4,4.9,4.4,3.0,4.9,,0.7,1.5
Dapto,788,453,773,433,519,162,415,561,148,9.3,5.3,9.1,5.1,6.1,1.9,4.9,6.6,1.7
Darling Point,205,707,60,318,116,433,21,20,100,5.4,18.7,1.6,8.4,3.1,11.5,0.6,0.5,2.7
Darlinghurst,798,"1,795",229,724,323,686,124,99,168,9.4,21.1,2.7,8.5,3.8,8.1,1.5,1.2,2.0
Darlington,194,451,51,128,125,101,39,16,44,10.2,23.6,2.7,6.7,6.5,5.3,2.0,0.8,2.3
Davidson,277,368,130,204,137,208,66,47,91,13.4,17.8,6.3,9.9,6.6,10.1,3.2,2.3,4.4
Davistown,137,89,150,77,69,46,81,72,45,9.1,5.9,9.9,5.1,4.6,3.0,5.4,4.8,3.0
Dawes Point,20,31,13,20,10,25,3,3,3,5.9,9.2,3.9,5.9,3.0,7.4,0.9,0.9,0.9
Dean Park,315,132,218,112,158,39,165,221,24,13.3,5.6,9.2,4.7,6.7,1.7,7.0,9.4,1.0
Dee Why,"1,586","1,644","1,099","1,148",867,645,773,724,427,11.4,11.8,7.9,8.2,6.2,4.6,5.5,5.2,3.1
Denistone,266,546,115,212,157,204,53,55,80,9.6,19.6,4.1,7.6,5.6,7.3,1.9,2.0,2.9
Denistone East,154,276,78,105,87,96,28,31,36,10.0,17.9,5.1,6.8,5.6,6.2,1.8,2.0,2.3
Denistone West,57,111,28,40,24,43,9,9,17,9.0,17.5,4.4,6.3,3.8,6.8,1.4,1.4,2.7
Dharruk,230,92,167,101,146,32,143,191,36,10.9,4.4,7.9,4.8,6.9,1.5,6.8,9.1,1.7
Dolans Bay,75,139,69,72,56,80,21,21,51,8.4,15.5,7.7,8.0,6.2,8.9,2.3,2.3,5.7
Dolls Point,108,105,59,88,42,55,31,33,21,10.2,9.9,5.5,8.3,3.9,5.2,2.9,3.1,2.0
Doonside,"1,043",569,714,449,621,184,634,802,145,10.4,5.7,7.1,4.5,6.2,1.8,6.3,8.0,1.4
Double Bay,233,593,65,259,91,286,22,9,82,8.3,21.1,2.3,9.2,3.2,10.2,0.8,0.3,2.9
Dover Heights,189,556,83,241,104,274,22,15,89,7.0,20.6,3.1,8.9,3.9,10.1,0.8,0.6,3.3
Drummoyne,797,"1,780",323,852,325,916,141,128,302,9.0,20.1,3.7,9.6,3.7,10.4,1.6,1.4,3.4
Dudley,146,291,126,154,110,74,39,53,39,8.1,16.2,7.0,8.6,6.1,4.1,2.2,2.9,2.2
Dulwich Hill,973,"1,710",578,710,551,492,452,429,240,9.4,16.5,5.6,6.9,5.3,4.7,4.4,4.1,2.3
Dundas,815,968,455,470,343,351,309,286,182,10.7,12.8,6.0,6.2,4.5,4.6,4.1,3.8,2.4
Dundas Valley,506,779,297,370,253,259,157,159,140,9.4,14.5,5.5,6.9,4.7,4.8,2.9,3.0,2.6
Dural,276,481,163,252,168,277,79,64,102,9.5,16.6,5.6,8.7,5.8,9.6,2.7,2.2,3.5
Eagle Vale,554,273,330,241,257,115,275,375,82,13.5,6.7,8.1,5.9,6.3,2.8,6.7,9.2,2.0
Earlwood,"1,205","1,341",932,863,773,538,577,607,336,8.7,9.7,6.7,6.2,5.6,3.9,4.2,4.4,2.4
East Gosford,226,258,137,168,134,82,94,91,70,7.9,9.1,4.8,5.9,4.7,2.9,3.3,3.2,2.5
East Hills,223,194,173,106,112,90,69,93,67,11.0,9.5,8.5,5.2,5.5,4.4,3.4,4.6,3.3
East Killara,159,432,47,183,118,212,28,6,64,6.9,18.6,2.0,7.9,5.1,9.1,1.2,0.3,2.8
East Lindfield,186,526,54,165,132,260,18,21,70,7.0,19.8,2.0,6.2,5.0,9.8,0.7,0.8,2.6
East Ryde,181,347,76,153,100,162,43,30,66,9.9,19.0,4.2,8.4,5.5,8.9,2.4,1.6,3.6
Eastern Creek,43,23,36,15,25,11,28,23,12,10.3,5.5,8.7,3.6,6.0,2.6,6.7,5.5,2.9
Eastlakes,494,366,286,241,382,114,336,364,91,8.7,6.4,5.0,4.2,6.7,2.0,5.9,6.4,1.6
Eastwood,"1,031","2,018",462,752,584,600,308,222,292,9.2,18.0,4.1,6.7,5.2,5.4,2.7,2.0,2.6
Edensor Park,644,459,599,344,368,230,474,502,166,9.2,6.6,8.6,4.9,5.3,3.3,6.8,7.2,2.4
Edgecliff,195,507,17,218,99,206,12,27,73,7.8,20.2,0.7,8.7,4.0,8.2,0.5,1.1,2.9
Edgeworth,556,237,608,277,412,104,375,407,99,9.4,4.0,10.2,4.7,6.9,1.7,6.3,6.8,1.7
Elanora Heights,301,419,257,252,203,256,86,74,126,10.2,14.3,8.7,8.6,6.9,8.7,2.9,2.5,4.3
Elderslie,204,256,177,147,107,121,88,106,45,10.1,12.7,8.8,7.3,5.3,6.0,4.4,5.3,2.2
