,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Merewether,781,"1,445",465,677,439,363,216,208,173,9.3,17.3,5.6,8.1,5.2,4.3,2.6,2.5,2.1
Merewether Heights,86,189,48,87,59,78,29,22,34,8.1,17.8,4.5,8.2,5.6,7.4,2.7,2.1,3.2
Merrylands,"1,361","1,065","1,125",795,816,363,763,838,289,8.8,6.9,7.3,5.1,5.3,2.3,4.9,5.4,1.9
Merrylands West,428,279,298,225,257,109,191,259,92,9.7,6.3,6.8,5.1,5.8,2.5,4.3,5.9,2.1
Middle Cove,46,162,18,51,23,86,9,3,15,6.0,21.2,2.4,6.7,3.0,11.2,1.2,0.4,2.0
Miller,116,58,107,39,100,20,144,110,13,5.0,2.5,4.6,1.7,4.3,0.9,6.2,4.7,0.6
Millers Point,60,125,18,74,56,91,13,22,23,5.5,11.5,1.7,6.8,5.2,8.4,1.2,2.0,2.1
Milperra,527,323,369,286,179,153,123,212,118,16.5,10.1,11.6,9.0,5.6,4.8,3.9,6.7,3.7
Milsons Point,90,281,23,99,16,199,4,3,33,7.6,23.6,1.9,8.3,1.3,16.7,0.3,0.3,2.8
Minchinbury,485,282,331,255,237,145,215,328,105,13.4,7.8,9.1,7.0,6.5,4.0,5.9,9.0,2.9
Minmi,51,22,64,27,28,20,16,41,10,11.3,4.9,14.1,6.0,6.2,4.4,3.5,9.1,2.2
Minto,735,347,516,330,445,154,486,630,116,9.2,4.4,6.5,4.1,5.6,1.9,6.1,7.9,1.5
Miranda,"1,132","1,035",761,739,629,409,393,439,324,11.0,10.0,7.4,7.2,6.1,4.0,3.8,4.3,3.1
Mona Vale,790,928,654,642,449,521,225,242,322,10.2,12.0,8.5,8.3,5.8,6.7,2.9,3.1,4.2
Monterey,340,327,205,235,194,146,88,159,107,9.9,9.5,5.9,6.8,5.6,4.2,2.6,4.6,3.1
Moorebank,637,430,506,295,301,193,221,318,157,12.9,8.7,10.2,6.0,6.1,3.9,4.5,6.4,3.2
Mortdale,932,899,560,553,453,311,303,384,264,12.3,11.8,7.4,7.3,6.0,4.1,4.0,5.1,3.5
Mortlake,35,49,17,34,15,49,9,,13,10.8,15.1,5.2,10.5,4.6,15.1,2.8,,4.0
Mosman,"1,700","4,455",488,"2,065",782,"2,454",178,170,719,8.2,21.5,2.4,10.0,3.8,11.9,0.9,0.8,3.5
Mount Annan,661,509,472,445,302,280,214,303,157,14.4,11.1,10.3,9.7,6.6,6.1,4.7,6.6,3.4
Mount Colah,592,902,359,416,298,331,203,156,172,11.6,17.7,7.1,8.2,5.9,6.5,4.0,3.1,3.4
Mount Druitt,836,395,582,340,544,146,569,642,105,9.6,4.5,6.7,3.9,6.3,1.7,6.6,7.4,1.2
Mount Hutton,179,145,161,112,126,56,102,114,39,7.8,6.3,7.0,4.9,5.5,2.4,4.5,5.0,1.7
Mount Keira,110,203,71,77,71,55,23,31,20,10.0,18.4,6.4,7.0,6.4,5.0,2.1,2.8,1.8
Mount Kembla,58,125,65,56,37,39,19,32,16,8.4,18.2,9.4,8.1,5.4,5.7,2.8,4.7,2.3
Mount Lewis,57,42,57,48,46,15,29,23,11,6.8,5.0,6.8,5.7,5.5,1.8,3.5,2.7,1.3
Mount Ousley,106,194,76,82,81,64,34,51,32,7.6,13.8,5.4,5.8,5.8,4.6,2.4,3.6,2.3
Mount Pleasant,57,153,35,50,38,57,8,11,21,7.7,20.7,4.7,6.8,5.1,7.7,1.1,1.5,2.8
Mount Pritchard,614,344,559,264,368,131,381,464,100,8.9,5.0,8.1,3.8,5.3,1.9,5.5,6.7,1.5
Mount Riverview,301,444,201,203,147,163,70,104,68,12.1,17.9,8.1,8.2,5.9,6.6,2.8,4.2,2.7
Mount Saint Thomas,112,122,69,64,65,35,55,47,19,9.3,10.1,5.7,5.3,5.4,2.9,4.6,3.9,1.6
Mount Warrigal,340,261,384,238,286,87,219,290,74,7.7,5.9,8.7,5.4,6.5,2.0,5.0,6.6,1.7
Narara,685,596,518,450,441,260,318,290,184,11.3,9.8,8.5,7.4,7.3,4.3,5.2,4.8,3.0
Narellan,319,212,265,204,161,102,133,214,79,11.8,7.8,9.8,7.5,5.9,3.8,4.9,7.9,2.9
Narellan Vale,732,471,539,446,304,255,169,344,172,15.4,9.9,11.3,9.4,6.4,5.4,3.5,7.2,3.6
Naremburn,371,"1,024",145,434,168,475,72,61,141,9.0,24.9,3.5,10.6,4.1,11.6,1.8,1.5,3.4
Narrabeen,508,633,431,394,247,353,150,135,166,9.0,11.2,7.6,7.0,4.4,6.3,2.7,2.4,2.9
Narraweena,406,305,336,280,270,179,218,180,118,9.5,7.2,7.9,6.6,6.3,4.2,5.1,4.2,2.8
Narwee,305,279,203,187,150,89,121,167,60,9.3,8.5,6.2,5.7,4.6,2.7,3.7,5.1,1.8
Neutral Bay,855,"2,325",223,957,314,"1,088",80,84,357,9.7,26.5,2.5,10.9,3.6,12.4,0.9,1.0,4.1
New Lambton,697,948,451,434,414,269,250,285,130,9.5,12.9,6.1,5.9,5.6,3.7,3.4,3.9,1.8
New Lambton Heights,188,455,97,164,117,129,52,59,63,8.4,20.4,4.3,7.3,5.2,5.8,2.3,2.6,2.8
Newcastle,117,253,40,105,84,76,28,12,27,7.3,15.8,2.5,6.6,5.2,4.7,1.7,0.7,1.7
Newcastle East,57,157,28,62,44,49,29,17,13,6.9,18.9,3.4,7.5,5.3,5.9,3.5,2.0,1.6
Newcastle West,9,22,13,9,3,16,9,6,,5.9,14.4,8.5,5.9,2.0,10.5,5.9,3.9,
Newington,86,187,20,92,35,94,15,19,20,3.1,6.8,0.7,3.3,1.3,3.4,0.5,0.7,0.7
Newport,708,"1,124",570,696,387,653,173,136,302,9.8,15.5,7.9,9.6,5.3,9.0,2.4,1.9,4.2
Newtown,"1,228","2,986",465,943,582,739,241,214,300,10.9,26.5,4.1,8.4,5.2,6.6,2.1,1.9,2.7
Niagara Park,196,184,155,131,125,61,97,89,44,11.3,10.6,8.9,7.6,7.2,3.5,5.6,5.1,2.5
Norah Head,74,87,73,52,51,41,33,21,14,8.0,9.4,7.9,5.6,5.5,4.4,3.6,2.3,1.5
Noraville,143,107,174,107,110,38,81,83,31,7.2,5.4,8.8,5.4,5.6,1.9,4.1,4.2,1.6
Normanhurst,327,683,155,262,164,200,88,70,123,9.2,19.2,4.3,7.4,4.6,5.6,2.5,2.0,3.5
North Avoca,184,316,127,167,109,106,47,40,47,10.7,18.4,7.4,9.7,6.4,6.2,2.7,2.3,2.7
North Balgowlah,227,413,159,212,182,198,53,71,86,9.4,17.1,6.6,8.8,7.6,8.2,2.2,2.9,3.6
North Bondi,700,"1,406",379,668,318,539,150,124,220,10.1,20.3,5.5,9.7,4.6,7.8,2.2,1.8,3.2
North Curl Curl,261,318,220,201,133,186,91,89,92,10.3,12.5,8.7,7.9,5.2,7.3,3.6,3.5,3.6
North Epping,294,706,149,244,189,267,75,62,116,8.9,21.4,4.5,7.4,5.7,8.1,2.3,1.9,3.5
North Gosford,270,245,174,159,150,78,113,110,58,10.8,9.8,7.0,6.4,6.0,3.1,4.5,4.4,2.3
North Lambton,206,239,148,124,136,33,92,83,40,8.3,9.6,6.0,5.0,5.5,1.3,3.7,3.3,1.6
North Manly,228,248,153,185,114,118,87,65,60,10.7,11.7,7.2,8.7,5.4,5.6,4.1,3.1,2.8
North Narrabeen,529,562,504,382,273,279,149,166,144,12.3,13.1,11.7,8.9,6.3,6.5,3.5,3.9,3.3
North Parramatta,738,914,314,470,300,285,256,251,156,10.2,12.7,4.4,6.5,4.2,4.0,3.6,3.5,2.2
North Rocks,652,"1,060",373,513,316,514,135,160,206,11.1,18.1,6.4,8.7,5.4,8.8,2.3,2.7,3.5
North Ryde,806,"1,014",556,590,408,413,227,214,223,10.1,12.7,6.9,7.4,5.1,5.2,2.8,2.7,2.8
North St Marys,240,91,188,105,175,39,191,242,46,8.5,3.2,6.6,3.7,6.2,1.4,6.8,8.6,1.6
North Strathfield,269,414,133,223,133,120,88,88,89,10.7,16.5,5.3,8.9,5.3,4.8,3.5,3.5,3.5
North Sydney,440,"1,234",115,479,170,528,53,37,155,8.7,24.5,2.3,9.5,3.4,10.5,1.1,0.7,3.1
North Turramurra,214,460,78,185,96,253,46,16,88,6.9,14.9,2.5,6.0,3.1,8.2,1.5,0.5,2.9
North Wahroonga,174,423,36,151,80,167,22,21,78,9.8,23.8,2.0,8.5,4.5,9.4,1.2,1.2,4.4
North Willoughby,319,515,156,276,161,255,57,61,98,10.4,16.8,5.1,9.0,5.3,8.3,1.9,2.0,3.2
North Wollongong,148,260,87,138,105,83,61,43,33,7.9,13.9,4.7,7.4,5.6,4.4,3.3,2.3,1.8
Northbridge,363,931,125,364,199,513,46,36,144,8.0,20.6,2.8,8.1,4.4,11.3,1.0,0.8,3.2
Northmead,597,832,415,443,269,332,144,203,178,11.2,15.6,7.8,8.3,5.0,6.2,2.7,3.8,3.3
Northwood,50,168,10,65,31,94,6,9,19,6.8,23.0,1.4,8.9,4.2,12.9,0.8,1.2,2.6
Oak Flats,414,290,515,255,369,96,305,349,76,8.1,5.7,10.1,5.0,7.2,1.9,6.0,6.8,1.5
Oakhurst,583,275,349,253,307,90,308,485,61,13.5,6.3,8.1,5.8,7.1,2.1,7.1,11.2,1.4
Oatlands,366,616,180,338,195,286,94,82,150,9.5,15.9,4.7,8.7,5.0,7.4,2.4,2.1,3.9
Oatley,743,"1,335",420,622,348,541,132,165,239,9.8,17.5,5.5,8.2,4.6,7.1,1.7,2.2,3.1
Old Guildford,123,70,122,79,87,28,73,112,32,7.7,4.4,7.6,4.9,5.4,1.8,4.6,7.0,2.0
Old Toongabbie,474,454,269,247,208,146,156,175,100,12.2,11.7,6.9,6.3,5.3,3.8,4.0,4.5,2.6
Ourimbah,223,193,178,161,120,81,119,122,58,11.5,9.9,9.2,8.3,6.2,4.2,6.1,6.3,3.0
Oxley Park,204,79,155,80,111,30,118,165,26,10.8,4.2,8.2,4.2,5.9,1.6,6.2,8.7,1.4
Oyster Bay,519,648,349,382,240,298,94,137,177,12.3,15.4,8.3,9.1,5.7,7.1,2.2,3.3,4.2
Paddington,857,"2,665",306,"1,019",407,"1,106",131,107,345,8.3,25.9,3.0,9.9,4.0,10.8,1.3,1.0,3.4
Padstow,"1,109",849,768,581,487,302,362,508,242,11.3,8.7,7.9,5.9,5.0,3.1,3.7,5.2,2.5
Padstow Heights,345,290,206,204,139,141,67,124,100,12.5,10.5,7.4,7.4,5.0,5.1,2.4,4.5,3.6
Pagewood,301,281,169,189,161,110,103,108,89,10.9,10.2,6.1,6.8,5.8,4.0,3.7,3.9,3.2
Palm Beach,75,188,51,100,49,126,8,14,45,5.7,14.2,3.9,7.6,3.7,9.5,0.6,1.1,3.4
Panania,999,747,762,483,471,283,272,469,229,11.7,8.8,8.9,5.7,5.5,3.3,3.2,5.5,2.7
Parramatta,"1,482","1,822",724,942,812,548,657,581,296,9.9,12.2,4.8,6.3,5.4,3.7,4.4,3.9,2.0
Peakhurst,701,581,491,395,340,237,200,298,180,10.7,8.9,7.5,6.0,5.2,3.6,3.1,4.5,2.7
Peakhurst Heights,249,226,132,125,102,120,58,71,93,12.8,11.6,6.8,6.4,5.2,6.2,3.0,3.6,4.8
Pearl Beach,9,19,9,9,3,6,3,,6,6.5,13.8,6.5,6.5,2.2,4.3,2.2,,4.3
Pelican,59,32,59,24,38,6,22,31,6,9.0,4.9,9.0,3.6,5.8,0.9,3.3,4.7,0.9
Pendle Hill,797,701,452,374,353,212,313,405,138,10.9,9.5,6.2,5.1,4.8,2.9,4.3,5.5,1.9
Pennant Hills,468,"1,037",213,377,253,343,116,92,132,9.4,20.8,4.3,7.6,5.1,6.9,2.3,1.8,2.7
Penrith,928,655,618,526,494,229,427,548,157,9.8,6.9,6.5,5.6,5.2,2.4,4.5,5.8,1.7
Penrose,128,95,108,70,68,23,71,88,15,11.4,8.4,9.6,6.2,6.0,2.0,6.3,7.8,1.3
Penshurst,"1,013","1,109",559,609,505,346,346,362,264,11.5,12.6,6.4,6.9,5.7,3.9,3.9,4.1,3.0
Petersham,617,"1,146",284,450,282,348,179,169,144,10.8,20.1,5.0,7.9,4.9,6.1,3.1,3.0,2.5
