,People,Male,Female,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied)
Elderslie,2639.0,1297.0,1342.0,2469.0,329.0,8.0,760.0,1025.0
Eleebana,5760.0,2799.0,2961.0,5459.0,662.0,11.0,1681.0,2041.0
Elermore Vale,4823.0,2346.0,2477.0,4570.0,598.0,3.0,1342.0,1708.0
Elizabeth Bay,4776.0,2520.0,2256.0,3294.0,1534.0,460.0,743.0,3410.0
Emerton,2306.0,1142.0,1164.0,1860.0,717.0,3.0,593.0,778.0
Empire Bay,1523.0,717.0,806.0,1383.0,148.0,0.0,408.0,652.0
Emu Heights,3302.0,1634.0,1668.0,3088.0,521.0,13.0,908.0,1072.0
Emu Plains,8117.0,3924.0,4193.0,7080.0,1426.0,33.0,2168.0,3042.0
Enfield,2448.0,1207.0,1241.0,2044.0,992.0,20.0,625.0,948.0
Engadine,17938.0,8962.0,8976.0,16665.0,2427.0,70.0,5251.0,6286.0
Enmore,3511.0,1794.0,1717.0,2725.0,1142.0,69.0,735.0,1749.0
Epping,18065.0,8664.0,9401.0,15140.0,6567.0,282.0,4979.0,7118.0
Erina,4474.0,1966.0,2508.0,3958.0,787.0,13.0,1228.0,1975.0
Ermington,10281.0,5043.0,5238.0,8878.0,2916.0,37.0,2696.0,3923.0
Erskine Park,7008.0,3520.0,3488.0,6285.0,1834.0,20.0,1835.0,2000.0
Erskineville,4818.0,2483.0,2335.0,3894.0,1416.0,46.0,1118.0,2467.0
Eschol Park,2797.0,1403.0,1394.0,2492.0,574.0,14.0,738.0,900.0
Ettalong Beach,4073.0,1945.0,2128.0,3630.0,469.0,8.0,1102.0,2340.0
Fairfield,14585.0,7274.0,7311.0,11200.0,9179.0,64.0,3752.0,5109.0
Fairfield East,2313.0,1159.0,1154.0,2008.0,1232.0,11.0,587.0,773.0
Fairfield Heights,5451.0,2682.0,2769.0,4512.0,2865.0,30.0,1414.0,1848.0
Fairfield West,10311.0,5153.0,5158.0,9100.0,5130.0,48.0,2814.0,3199.0
Fairlight,5382.0,2494.0,2888.0,4333.0,1440.0,89.0,1446.0,2736.0
Fairy Meadow,6739.0,3328.0,3411.0,5786.0,1869.0,206.0,1776.0,2878.0
Farmborough Heights,3756.0,1894.0,1862.0,3500.0,696.0,7.0,1056.0,1265.0
Faulconbridge,3859.0,1879.0,1980.0,3517.0,646.0,12.0,1096.0,1493.0
Fennell Bay,2028.0,988.0,1040.0,1899.0,163.0,4.0,614.0,820.0
Figtree,10234.0,5113.0,5121.0,9311.0,2231.0,34.0,2859.0,3807.0
Five Dock,7284.0,3459.0,3825.0,6277.0,2417.0,44.0,2033.0,3176.0
Fletcher,707.0,361.0,346.0,667.0,57.0,0.0,211.0,274.0
Flinders,2609.0,1273.0,1336.0,2344.0,509.0,4.0,763.0,954.0
Floraville,1296.0,650.0,646.0,1221.0,94.0,0.0,374.0,485.0
Forest Lodge,2257.0,1036.0,1221.0,1748.0,614.0,59.0,467.0,1180.0
Forestville,7462.0,3621.0,3841.0,6508.0,2088.0,48.0,2090.0,2818.0
Forresters Beach,2310.0,1157.0,1153.0,2151.0,237.0,0.0,654.0,959.0
Frenchs Forest,12292.0,6125.0,6167.0,10985.0,3086.0,143.0,3595.0,4194.0
Garden Suburb,1588.0,802.0,786.0,1516.0,158.0,7.0,461.0,554.0
Gateshead,3664.0,1798.0,1866.0,3348.0,266.0,3.0,968.0,1449.0
Georges Hall,7944.0,3955.0,3989.0,7307.0,2408.0,24.0,2224.0,2659.0
Georgetown,1796.0,862.0,934.0,1670.0,192.0,3.0,486.0,887.0
Girraween,3608.0,1775.0,1833.0,3084.0,1358.0,22.0,1007.0,1422.0
Gladesville,10612.0,5054.0,5558.0,9366.0,3004.0,85.0,2799.0,4788.0
Glebe,10872.0,5140.0,5732.0,8348.0,3298.0,559.0,2242.0,5568.0
Glen Alpine,4171.0,2071.0,2100.0,3833.0,999.0,21.0,1125.0,1183.0
Glenbrook,5027.0,2516.0,2511.0,4679.0,698.0,23.0,1354.0,1858.0
Glendale,3027.0,1468.0,1559.0,2862.0,251.0,3.0,888.0,1273.0
Glendenning,4707.0,2308.0,2399.0,3927.0,1819.0,18.0,1224.0,1411.0
Glenfield,6984.0,3368.0,3616.0,5938.0,2122.0,30.0,1701.0,2284.0
Glenhaven,5672.0,2784.0,2888.0,5104.0,1342.0,25.0,1562.0,1724.0
Glenmore Park,16914.0,8246.0,8668.0,14790.0,3387.0,57.0,4623.0,5443.0
Glenning Valley,714.0,359.0,355.0,664.0,93.0,6.0,200.0,236.0
Glenwood,9280.0,4638.0,4642.0,7917.0,3247.0,146.0,2614.0,2993.0
Gordon,6278.0,2857.0,3421.0,5241.0,2192.0,107.0,1670.0,2209.0
Gorokan,7183.0,3418.0,3765.0,6550.0,876.0,26.0,2009.0,3539.0
Gosford,2750.0,1411.0,1339.0,2245.0,537.0,26.0,545.0,1431.0
Granville,20794.0,10526.0,10268.0,17303.0,8537.0,129.0,5010.0,7232.0
Grays Point,2755.0,1395.0,1360.0,2583.0,409.0,12.0,796.0,934.0
Green Point,6287.0,2935.0,3352.0,5828.0,1039.0,20.0,1780.0,2477.0
Green Valley,11518.0,5682.0,5836.0,9911.0,5802.0,44.0,2975.0,3227.0
Greenacre,20637.0,10166.0,10471.0,18060.0,8211.0,79.0,5048.0,6819.0
Greenfield Park,5369.0,2656.0,2713.0,4784.0,2947.0,17.0,1400.0,1518.0
Greenwich,5314.0,2606.0,2708.0,4484.0,1543.0,113.0,1262.0,2060.0
Greystanes,21690.0,10824.0,10866.0,19451.0,6155.0,63.0,6136.0,7405.0
Guildford,10575.0,5238.0,5337.0,8901.0,4133.0,65.0,2648.0,3906.0
Guildford West,4147.0,2074.0,2073.0,3666.0,1200.0,13.0,1087.0,1445.0
Gwynneville,1962.0,928.0,1034.0,1546.0,603.0,105.0,427.0,845.0
Gymea,6542.0,3132.0,3410.0,5965.0,1087.0,26.0,1847.0,2837.0
Gymea Bay,6413.0,3170.0,3243.0,6048.0,741.0,29.0,1797.0,2184.0
Haberfield,6733.0,3276.0,3457.0,5928.0,2268.0,53.0,1867.0,2537.0
Halekulani,2302.0,1122.0,1180.0,2141.0,262.0,8.0,656.0,1110.0
Hamilton,3959.0,1912.0,2047.0,3646.0,646.0,16.0,882.0,2006.0
Hamilton East,997.0,491.0,506.0,938.0,124.0,12.0,255.0,431.0
Hamilton North,849.0,412.0,437.0,783.0,76.0,3.0,215.0,408.0
Hamilton South,3693.0,1797.0,1896.0,3358.0,482.0,3.0,924.0,1862.0
Hammondville,3445.0,1626.0,1819.0,3089.0,815.0,14.0,885.0,1159.0
Harrington Park,3015.0,1471.0,1544.0,2731.0,519.0,14.0,864.0,962.0
Harris Park,6911.0,3618.0,3293.0,4552.0,3682.0,118.0,1550.0,2742.0
Hassall Grove,4393.0,2268.0,2125.0,3895.0,1571.0,22.0,1121.0,1260.0
Haymarket,5091.0,2563.0,2528.0,1088.0,2275.0,1348.0,492.0,1435.0
Heathcote,5928.0,2897.0,3031.0,5608.0,688.0,15.0,1613.0,2069.0
Hebersham,5971.0,2977.0,2994.0,4826.0,1763.0,22.0,1502.0,1830.0
Heckenberg,2947.0,1456.0,1491.0,2582.0,1005.0,10.0,766.0,927.0
Henley,416.0,211.0,205.0,376.0,99.0,6.0,111.0,163.0
Highfields,596.0,282.0,314.0,577.0,60.0,3.0,181.0,282.0
Hillsborough,700.0,339.0,361.0,668.0,49.0,6.0,201.0,234.0
Hillsdale,5788.0,2864.0,2924.0,4373.0,3173.0,54.0,1537.0,2311.0
Hinchinbrook,9904.0,4974.0,4930.0,8741.0,4290.0,74.0,2606.0,2842.0
Holmesville,1505.0,758.0,747.0,1423.0,90.0,0.0,438.0,550.0
Holsworthy,2904.0,1566.0,1338.0,2527.0,698.0,13.0,727.0,840.0
Homebush,4339.0,2191.0,2148.0,3382.0,2205.0,33.0,1096.0,1523.0
Homebush West,2659.0,1351.0,1308.0,1765.0,1779.0,53.0,686.0,1091.0
Horningsea Park,2657.0,1343.0,1314.0,2227.0,994.0,7.0,762.0,853.0
Hornsby,18276.0,8893.0,9383.0,14563.0,6938.0,228.0,4965.0,7767.0
Hornsby Heights,5914.0,2935.0,2979.0,5258.0,1469.0,23.0,1684.0,2007.0
Horsley,5328.0,2653.0,2675.0,4855.0,934.0,11.0,1507.0,1737.0
Hoxton Park,3336.0,1637.0,1699.0,2865.0,1488.0,19.0,878.0,986.0
Hunters Hill,8811.0,4482.0,4329.0,7857.0,2189.0,80.0,2004.0,3053.0
Huntleys Point,169.0,87.0,82.0,160.0,26.0,3.0,52.0,62.0
Hurlstone Park,5013.0,2512.0,2501.0,4190.0,2191.0,35.0,1381.0,1954.0
Hurstville,20371.0,9971.0,10400.0,14846.0,10503.0,375.0,5248.0,8186.0
Hurstville Grove,2243.0,1122.0,1121.0,2075.0,623.0,12.0,629.0,792.0
Illawong,7897.0,3966.0,3931.0,7369.0,1583.0,27.0,2035.0,2251.0
Ingleburn,14255.0,7040.0,7215.0,12231.0,3937.0,73.0,3892.0,5368.0
Ingleside,961.0,456.0,505.0,777.0,226.0,7.0,234.0,367.0
Islington,1398.0,700.0,698.0,1262.0,140.0,7.0,322.0,782.0
Jamisontown,4849.0,2393.0,2456.0,4283.0,940.0,16.0,1282.0,1897.0
Jannali,5005.0,2440.0,2565.0,4520.0,859.0,26.0,1397.0,2059.0
Jesmond,2340.0,1110.0,1230.0,1839.0,571.0,41.0,536.0,1140.0
Jewells,2643.0,1307.0,1336.0,2526.0,221.0,3.0,782.0,922.0
Kahibah,2388.0,1213.0,1175.0,2271.0,230.0,5.0,720.0,1058.0
Kanahooka,4529.0,2260.0,2269.0,4064.0,964.0,9.0,1339.0,1727.0
Kangaroo Point,578.0,295.0,283.0,550.0,118.0,3.0,170.0,203.0
Kanwal,3707.0,1768.0,1939.0,3386.0,463.0,3.0,1046.0,1466.0
Kareela,2575.0,1289.0,1286.0,2406.0,541.0,13.0,783.0,876.0
Kariong,5974.0,2951.0,3023.0,5412.0,1046.0,22.0,1638.0,2019.0
Kearns,2880.0,1466.0,1414.0,2621.0,564.0,9.0,714.0,860.0
Keiraville,3449.0,1674.0,1775.0,2840.0,997.0,93.0,905.0,1452.0
Kellyville,13398.0,6670.0,6728.0,11722.0,3493.0,68.0,3642.0,4257.0
Kembla Grange,133.0,59.0,74.0,117.0,12.0,0.0,32.0,46.0
Kensington,10680.0,5399.0,5281.0,7350.0,4827.0,391.0,2209.0,4343.0
Kilaben Bay,1219.0,551.0,668.0,1156.0,129.0,3.0,370.0,481.0
Killara,7829.0,3660.0,4169.0,6808.0,2441.0,84.0,2105.0,2919.0
Killarney Heights,4047.0,1954.0,2093.0,3489.0,1309.0,49.0,1175.0,1390.0
Killarney Vale,7128.0,3360.0,3768.0,6608.0,695.0,18.0,1983.0,3044.0
Kincumber,6687.0,3048.0,3639.0,6139.0,857.0,9.0,1823.0,2751.0
Kincumber South,629.0,285.0,344.0,574.0,139.0,0.0,167.0,349.0
Kings Langley,9517.0,4720.0,4797.0,8594.0,2442.0,40.0,2710.0,3127.0
Kings Park,3524.0,1753.0,1771.0,3124.0,923.0,8.0,1023.0,1245.0
Kingsford,14294.0,7137.0,7157.0,9472.0,6852.0,318.0,3321.0,5803.0
Kingsgrove,10800.0,5300.0,5500.0,9285.0,4283.0,43.0,3019.0,4042.0
Kingswood,8657.0,4245.0,4412.0,7369.0,1956.0,49.0,2152.0,3443.0
Kirrawee,9620.0,4657.0,4963.0,8786.0,1650.0,37.0,2752.0,3741.0
Kirribilli,3468.0,1686.0,1782.0,2493.0,1216.0,200.0,729.0,2414.0
