,People,Male,Female,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied)
Warrawong,4725.0,2364.0,2361.0,3965.0,1996.0,13.0,1265.0,2084.0
Warriewood,3013.0,1516.0,1497.0,2680.0,671.0,16.0,846.0,1123.0
Warrimoo,2258.0,1114.0,1144.0,2127.0,297.0,10.0,637.0,856.0
Warwick Farm,4585.0,2285.0,2300.0,3413.0,2114.0,26.0,1022.0,1802.0
Watanobbi,3222.0,1566.0,1656.0,2875.0,461.0,3.0,906.0,1206.0
Waterloo,5164.0,2510.0,2654.0,4236.0,2230.0,36.0,1121.0,2931.0
Watsons Bay,654.0,342.0,312.0,589.0,157.0,16.0,154.0,262.0
Wattle Grove,9586.0,4778.0,4808.0,8565.0,2487.0,48.0,2629.0,3050.0
Waverley,3549.0,1593.0,1956.0,2897.0,1184.0,45.0,744.0,1524.0
Waverton,3182.0,1498.0,1684.0,2582.0,1064.0,47.0,805.0,1762.0
Wentworthville,9542.0,4688.0,4854.0,7359.0,3981.0,126.0,2388.0,3762.0
Werrington,3502.0,1729.0,1773.0,2898.0,814.0,9.0,873.0,1423.0
Werrington County,4105.0,2041.0,2064.0,3708.0,715.0,10.0,1135.0,1312.0
Werrington Downs,3558.0,1754.0,1804.0,3200.0,580.0,14.0,950.0,1085.0
West Gosford,1638.0,784.0,854.0,1486.0,332.0,9.0,424.0,732.0
West Hoxton,4725.0,2345.0,2380.0,4179.0,1737.0,19.0,1281.0,1380.0
West Pennant Hills,15864.0,7675.0,8189.0,13972.0,5167.0,159.0,4239.0,4971.0
West Pymble,4703.0,2259.0,2444.0,4189.0,1251.0,48.0,1337.0,1693.0
West Ryde,10745.0,5309.0,5436.0,8582.0,4386.0,141.0,2824.0,4558.0
West Wallsend,1635.0,814.0,821.0,1540.0,76.0,3.0,456.0,620.0
West Wollongong,4460.0,2204.0,2256.0,3938.0,1128.0,27.0,1223.0,2019.0
Westleigh,4127.0,2027.0,2100.0,3824.0,969.0,20.0,1201.0,1359.0
Westmead,10013.0,4872.0,5141.0,7088.0,4512.0,197.0,2072.0,3693.0
Wetherill Park,6390.0,3188.0,3202.0,5698.0,3047.0,20.0,1708.0,1932.0
Whalan,5860.0,2913.0,2947.0,4968.0,1412.0,11.0,1484.0,2037.0
Whitebridge,2430.0,1201.0,1229.0,2322.0,180.0,0.0,687.0,901.0
Wickham,647.0,350.0,297.0,564.0,55.0,6.0,140.0,365.0
Wiley Park,8625.0,4435.0,4190.0,6415.0,4803.0,92.0,2032.0,3224.0
Willmot,2531.0,1247.0,1284.0,2122.0,540.0,3.0,677.0,855.0
Willoughby,5391.0,2530.0,2861.0,4538.0,1665.0,45.0,1403.0,2278.0
Willoughby East,1667.0,809.0,858.0,1500.0,425.0,12.0,470.0,607.0
Windale,2929.0,1380.0,1549.0,2579.0,145.0,4.0,765.0,1213.0
Windang,2366.0,1237.0,1129.0,2107.0,405.0,0.0,672.0,1162.0
Winmalee,6315.0,3113.0,3202.0,5815.0,992.0,27.0,1758.0,2221.0
Winston Hills,8887.0,4260.0,4627.0,8028.0,2213.0,33.0,2584.0,3112.0
Wollongong,13526.0,6891.0,6635.0,10938.0,4209.0,271.0,2930.0,7367.0
Wollstonecraft,7572.0,3509.0,4063.0,5862.0,2707.0,157.0,1852.0,4250.0
Wombarra,839.0,403.0,436.0,748.0,142.0,3.0,214.0,348.0
Woodbine,2722.0,1391.0,1331.0,2427.0,756.0,10.0,730.0,831.0
Woodcroft,4914.0,2406.0,2508.0,4200.0,2734.0,25.0,1306.0,1409.0
Woodpark,1262.0,628.0,634.0,1106.0,342.0,3.0,364.0,439.0
Woodrising,1523.0,766.0,757.0,1395.0,140.0,0.0,411.0,489.0
Woollahra,7032.0,3216.0,3816.0,5279.0,1894.0,132.0,1580.0,3686.0
Woolloomooloo,3038.0,1687.0,1351.0,2153.0,1033.0,320.0,605.0,1826.0
Woolooware,7115.0,3533.0,3582.0,6567.0,1186.0,30.0,1980.0,2760.0
Woolwich,800.0,400.0,400.0,695.0,169.0,12.0,217.0,342.0
Woonona,9712.0,4705.0,5007.0,8917.0,1478.0,30.0,2672.0,3907.0
Woronora,1796.0,907.0,889.0,1640.0,228.0,8.0,514.0,626.0
Woronora Heights,3033.0,1516.0,1517.0,2912.0,359.0,7.0,783.0,816.0
Woy Woy,9891.0,4654.0,5237.0,8946.0,1272.0,34.0,2615.0,4718.0
Woy Woy Bay,491.0,259.0,232.0,457.0,67.0,3.0,144.0,242.0
Wyoming,8970.0,4338.0,4632.0,8042.0,1398.0,61.0,2451.0,3388.0
Wyong,3168.0,1575.0,1593.0,2840.0,452.0,8.0,860.0,1443.0
Wyongah,1738.0,872.0,866.0,1609.0,172.0,3.0,489.0,682.0
Yagoona,14510.0,7178.0,7332.0,12878.0,5651.0,59.0,3762.0,4916.0
Yarrawarrah,1528.0,752.0,776.0,1456.0,138.0,9.0,406.0,434.0
Yattalunga,548.0,300.0,248.0,489.0,99.0,0.0,145.0,202.0
Yennora,1281.0,625.0,656.0,1052.0,632.0,8.0,302.0,473.0
Yowie Bay,3616.0,1821.0,1795.0,3382.0,498.0,21.0,1040.0,1288.0
Zetland,581.0,316.0,265.0,447.0,137.0,7.0,137.0,263.0
