,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Roseville Chase,86.0,244.0,180.0,608.0,158.0,248.0,5.7,16.0,11.8,39.9,10.4,16.3
Rouse Hill,417.0,465.0,319.0,1707.0,146.0,96.0,13.2,14.8,10.1,54.2,4.6,3.0
Rozelle,416.0,462.0,674.0,4226.0,540.0,475.0,6.1,6.8,9.9,62.2,7.9,7.0
Ruse,330.0,822.0,1126.0,2703.0,512.0,316.0,5.7,14.1,19.4,46.5,8.8,5.4
Rushcutters Bay,51.0,90.0,203.0,1371.0,203.0,298.0,2.3,4.1,9.2,61.9,9.2,13.5
Russell Lea,329.0,571.0,556.0,2392.0,436.0,829.0,6.4,11.2,10.9,46.8,8.5,16.2
Russell Vale,78.0,180.0,151.0,522.0,116.0,186.0,6.3,14.6,12.2,42.3,9.4,15.1
Rydalmere,88.0,139.0,165.0,672.0,130.0,236.0,6.2,9.8,11.7,47.5,9.2,16.7
Ryde,1224.0,2297.0,2605.0,9043.0,1723.0,3358.0,6.0,11.3,12.9,44.7,8.5,16.6
Sadleir,239.0,529.0,421.0,1132.0,258.0,341.0,8.2,18.1,14.4,38.8,8.8,11.7
San Remo,349.0,724.0,462.0,1661.0,283.0,405.0,9.0,18.6,11.9,42.8,7.3,10.4
Sandringham,60.0,96.0,79.0,505.0,119.0,257.0,5.4,8.6,7.1,45.2,10.7,23.0
Sans Souci,544.0,899.0,895.0,3835.0,1102.0,2012.0,5.9,9.7,9.6,41.3,11.9,21.7
Saratoga,209.0,595.0,381.0,1421.0,374.0,801.0,5.5,15.7,10.1,37.6,9.9,21.2
Scarborough,41.0,48.0,25.0,183.0,29.0,31.0,11.8,13.9,7.2,52.9,8.4,9.0
Schofields,257.0,492.0,445.0,1370.0,238.0,197.0,8.6,16.4,14.8,45.7,7.9,6.6
Scotland Island,48.0,137.0,73.0,386.0,63.0,22.0,6.5,18.7,9.9,52.6,8.6,3.0
Seaforth,485.0,957.0,704.0,2567.0,560.0,771.0,8.0,15.8,11.6,42.5,9.3,12.8
Sefton,365.0,797.0,695.0,2094.0,358.0,813.0,7.1,15.6,13.6,40.9,7.0,15.9
Seven Hills,1263.0,2303.0,2487.0,7846.0,1768.0,2005.0,7.1,13.0,14.1,44.4,10.0,11.3
Shalvey,365.0,783.0,625.0,1554.0,290.0,127.0,9.7,20.9,16.7,41.4,7.7,3.4
Shell Cove,134.0,183.0,115.0,578.0,106.0,81.0,11.2,15.3,9.6,48.4,8.9,6.8
Shellharbour,225.0,566.0,410.0,1448.0,286.0,395.0,6.8,17.0,12.3,43.5,8.6,11.9
Shelly Beach,60.0,159.0,164.0,454.0,130.0,332.0,4.6,12.2,12.6,34.9,10.0,25.6
Shortland,197.0,492.0,1176.0,1407.0,348.0,683.0,4.6,11.4,27.3,32.7,8.1,15.9
Silverwater,104.0,165.0,156.0,469.0,88.0,118.0,9.4,14.9,14.1,42.4,8.0,10.7
