,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Abbotsbury,238.0,855.0,629.0,1782.0,214.0,130.0,6.2,22.2,16.3,46.3,5.6,3.4
Australia,1243969.0,2668506.0,2566346.0,8159808.0,1759742.0,2370878.0,6.6,14.2,13.7,43.5,9.4,12.6
Abbotsford,249.0,439.0,501.0,2500.0,496.0,665.0,5.1,9.1,10.3,51.6,10.2,13.7
Acacia Gardens,187.0,333.0,231.0,887.0,80.0,60.0,10.5,18.8,13.0,50.0,4.5,3.4
Adamstown,285.0,624.0,651.0,2126.0,386.0,801.0,5.8,12.8,13.4,43.6,7.9,16.4
Adamstown Heights,263.0,660.0,641.0,2012.0,742.0,893.0,5.0,12.7,12.3,38.6,14.2,17.1
Airds,455.0,998.0,682.0,1502.0,312.0,156.0,11.1,24.3,16.6,36.6,7.6,3.8
Albion Park,1008.0,2089.0,1408.0,4746.0,562.0,660.0,9.6,19.9,13.4,45.3,5.4,6.3
Albion Park Rail,590.0,1203.0,1068.0,3071.0,604.0,718.0,8.1,16.6,14.7,42.3,8.3,9.9
Alexandria,210.0,230.0,570.0,2686.0,254.0,254.0,5.0,5.5,13.6,64.0,6.0,6.0
Alfords Point,246.0,887.0,517.0,1598.0,181.0,154.0,6.9,24.9,14.5,44.8,5.1,4.3
Allambie Heights,451.0,851.0,704.0,2732.0,723.0,1287.0,6.7,12.6,10.4,40.5,10.7,19.1
Allawah,312.0,468.0,543.0,2259.0,348.0,411.0,7.2,10.8,12.5,52.0,8.0,9.5
Ambarvale,606.0,1583.0,1356.0,3248.0,442.0,318.0,8.0,21.0,18.0,43.0,5.9,4.2
Annandale,444.0,544.0,991.0,4763.0,634.0,734.0,5.5,6.7,12.2,58.7,7.8,9.0
Argenton,73.0,140.0,171.0,527.0,126.0,241.0,5.7,10.9,13.3,41.1,9.8,18.8
Arncliffe,671.0,1248.0,1299.0,3953.0,834.0,1230.0,7.3,13.5,14.1,42.8,9.0,13.3
Artarmon,450.0,808.0,1093.0,4358.0,572.0,801.0,5.6,10.0,13.5,53.9,7.1,9.9
Ashbury,225.0,430.0,416.0,1418.0,322.0,414.0,7.0,13.3,12.9,44.0,10.0,12.8
Ashcroft,266.0,561.0,506.0,1262.0,307.0,368.0,8.1,17.2,15.5,38.6,9.4,11.3
Ashfield,1093.0,1890.0,2662.0,9986.0,1563.0,3152.0,5.4,9.3,13.1,49.1,7.7,15.5
Asquith,177.0,450.0,442.0,1304.0,268.0,432.0,5.8,14.7,14.4,42.5,8.7,14.1
Auburn,2300.0,4067.0,4295.0,11266.0,1860.0,2679.0,8.7,15.4,16.2,42.6,7.0,10.1
Austinmer,143.0,358.0,262.0,977.0,213.0,265.0,6.5,16.2,11.8,44.1,9.6,12.0
Avoca Beach,284.0,709.0,539.0,1786.0,305.0,468.0,6.9,17.3,13.2,43.7,7.5,11.4
Balgowlah,459.0,650.0,630.0,2982.0,592.0,872.0,7.4,10.5,10.2,48.2,9.6,14.1
Balgowlah Heights,224.0,542.0,342.0,1227.0,268.0,533.0,7.1,17.3,10.9,39.1,8.5,17.0
Balgownie,396.0,881.0,826.0,2554.0,755.0,768.0,6.4,14.3,13.4,41.3,12.2,12.4
Balmain,444.0,632.0,924.0,5270.0,868.0,871.0,4.9,7.0,10.3,58.5,9.6,9.7
Balmain East,74.0,133.0,174.0,985.0,204.0,192.0,4.2,7.6,9.9,56.3,11.7,11.0
Bangor,339.0,920.0,1105.0,2531.0,458.0,317.0,6.0,16.2,19.5,44.6,8.1,5.6
Banksia,213.0,370.0,416.0,1301.0,318.0,383.0,7.1,12.3,13.9,43.4,10.6,12.8
Bankstown,2269.0,3335.0,3661.0,11282.0,1867.0,2877.0,9.0,13.2,14.5,44.6,7.4,11.4
Bar Beach,64.0,148.0,227.0,584.0,126.0,197.0,4.8,11.1,17.0,43.6,9.4,14.7
Barden Ridge,351.0,963.0,526.0,1789.0,158.0,80.0,9.1,24.9,13.6,46.3,4.1,2.1
Bardwell Park,137.0,251.0,323.0,934.0,229.0,348.0,6.2,11.3,14.6,42.1,10.3,15.7
Bardwell Valley,135.0,257.0,252.0,829.0,201.0,241.0,7.1,13.4,13.2,43.3,10.5,12.6
Barnsley,160.0,327.0,314.0,863.0,104.0,77.0,8.7,17.8,17.1,47.0,5.7,4.2
Barrack Heights,397.0,950.0,928.0,2750.0,715.0,654.0,6.2,14.9,14.5,43.0,11.2,10.2
Barrack Point,29.0,62.0,84.0,224.0,75.0,83.0,5.1,10.9,14.7,39.3,13.2,14.6
Bass Hill,648.0,1233.0,1180.0,3469.0,859.0,1215.0,7.5,14.3,13.7,40.3,10.0,14.1
Bateau Bay,621.0,1708.0,1286.0,4050.0,981.0,2493.0,5.6,15.3,11.5,36.4,8.8,22.4
Baulkham Hills,2192.0,4506.0,4881.0,14947.0,3865.0,3071.0,6.6,13.5,14.6,44.7,11.6,9.2
Bayview,143.0,377.0,311.0,1007.0,375.0,922.0,4.6,12.0,9.9,32.1,12.0,29.4
Beacon Hill,434.0,875.0,734.0,2524.0,688.0,735.0,7.2,14.6,12.2,42.1,11.5,12.3
Beaconsfield,41.0,46.0,61.0,430.0,60.0,65.0,6.0,6.7,8.9,62.4,8.7,9.4
Beecroft,414.0,1276.0,1225.0,3257.0,992.0,1348.0,4.9,15.0,14.4,38.3,11.7,15.8
Belfield,390.0,839.0,685.0,2399.0,541.0,822.0,6.9,14.8,12.1,42.2,9.5,14.5
Bella Vista,273.0,914.0,665.0,2099.0,305.0,190.0,6.1,20.5,14.9,47.1,6.8,4.3
Bellambi,350.0,750.0,622.0,1809.0,394.0,430.0,8.0,17.2,14.3,41.5,9.0,9.9
Bellevue Hill,419.0,1223.0,1400.0,4448.0,836.0,1247.0,4.4,12.8,14.6,46.5,8.7,13.0
Belmont,377.0,746.0,620.0,2263.0,636.0,1381.0,6.3,12.4,10.3,37.6,10.6,22.9
Belmont North,355.0,803.0,676.0,2130.0,565.0,901.0,6.5,14.8,12.5,39.2,10.4,16.6
Belmont South,76.0,155.0,132.0,441.0,127.0,205.0,6.7,13.7,11.7,38.9,11.2,18.1
Belmore,842.0,1654.0,1657.0,5413.0,1187.0,1632.0,6.8,13.4,13.4,43.7,9.6,13.2
Belrose,425.0,992.0,911.0,2820.0,1036.0,1396.0,5.6,13.1,12.0,37.2,13.7,18.4
Bensville,149.0,358.0,218.0,799.0,115.0,116.0,8.5,20.4,12.4,45.4,6.5,6.6
Berala,579.0,1078.0,1093.0,3473.0,568.0,937.0,7.5,14.0,14.1,44.9,7.4,12.1
Berkeley,461.0,1245.0,1086.0,2932.0,677.0,1085.0,6.2,16.6,14.5,39.2,9.0,14.5
Berkeley Vale,743.0,1613.0,1207.0,3868.0,669.0,1283.0,7.9,17.2,12.9,41.2,7.1,13.7
Berowra,390.0,722.0,549.0,2015.0,370.0,285.0,9.0,16.7,12.7,46.6,8.6,6.6
Berowra Heights,385.0,766.0,727.0,2435.0,506.0,311.0,7.5,14.9,14.2,47.5,9.9,6.1
Beverley Park,153.0,247.0,235.0,836.0,210.0,399.0,7.4,11.9,11.3,40.3,10.1,19.2
Beverly Hills,530.0,997.0,1113.0,3543.0,819.0,1727.0,6.1,11.4,12.7,40.6,9.4,19.8
Bexley,1313.0,2191.0,2220.0,7637.0,1634.0,2852.0,7.4,12.3,12.4,42.8,9.2,16.0
Bexley North,251.0,483.0,478.0,1570.0,422.0,704.0,6.4,12.3,12.2,40.1,10.8,18.0
Bidwill,462.0,987.0,790.0,1782.0,347.0,202.0,10.1,21.6,17.3,39.0,7.6,4.4
Birchgrove,145.0,287.0,283.0,1649.0,275.0,227.0,5.1,10.0,9.9,57.5,9.6,7.9
Birmingham Gardens,109.0,206.0,324.0,657.0,131.0,330.0,6.2,11.6,18.3,37.1,7.4,18.7
Birrong,165.0,381.0,354.0,1179.0,252.0,534.0,5.8,13.3,12.4,41.2,8.8,18.7
Blackalls Park,197.0,401.0,369.0,1142.0,270.0,379.0,7.1,14.5,13.3,41.3,9.8,13.7
Blackbutt,284.0,506.0,403.0,1358.0,244.0,250.0,9.3,16.6,13.2,44.6,8.0,8.2
Blackett,349.0,714.0,519.0,1352.0,355.0,204.0,10.0,20.4,14.9,38.7,10.2,5.8
Blacksmiths,106.0,195.0,195.0,645.0,220.0,374.0,6.1,11.3,11.3,37.4,12.8,21.7
Blacktown,2880.0,5095.0,5433.0,16026.0,3350.0,4628.0,7.7,13.6,14.5,42.8,9.0,12.4
Blackwall,111.0,210.0,166.0,669.0,166.0,377.0,6.5,12.3,9.7,39.2,9.7,22.1
Blairmount,24.0,121.0,192.0,151.0,33.0,26.0,4.2,21.4,33.9,26.7,5.8,4.6
Blakehurst,316.0,747.0,702.0,2136.0,466.0,959.0,5.9,14.0,13.2,40.1,8.7,18.0
Blaxland,414.0,1144.0,1096.0,3041.0,675.0,646.0,5.9,16.3,15.6,43.3,9.6,9.2
Blue Bay,39.0,81.0,95.0,285.0,95.0,229.0,4.6,9.6,11.3,33.9,11.3,27.2
Blue Haven,560.0,884.0,521.0,2016.0,349.0,368.0,11.9,18.8,11.1,42.9,7.4,7.8
Bolton Point,194.0,459.0,301.0,787.0,233.0,318.0,8.5,20.0,13.1,34.3,10.2,13.9
Bondi,394.0,665.0,1139.0,4523.0,727.0,1307.0,4.5,7.6,13.0,51.7,8.3,14.9
Bondi Beach,478.0,720.0,1411.0,6350.0,724.0,1079.0,4.4,6.7,13.1,59.0,6.7,10.0
Bondi Junction,362.0,543.0,1092.0,3930.0,602.0,1109.0,4.7,7.1,14.3,51.4,7.9,14.5
Bonnet Bay,102.0,324.0,433.0,1058.0,290.0,105.0,4.4,13.9,18.6,45.5,12.5,4.5
Bonnyrigg,636.0,1608.0,1573.0,3878.0,611.0,543.0,7.2,18.2,17.8,43.8,6.9,6.1
Bonnyrigg Heights,552.0,1321.0,1197.0,3264.0,454.0,297.0,7.8,18.7,16.9,46.1,6.4,4.2
Booker Bay,67.0,148.0,108.0,456.0,155.0,391.0,5.1,11.2,8.2,34.4,11.7,29.5
Boolaroo,81.0,167.0,131.0,532.0,117.0,160.0,6.8,14.1,11.0,44.8,9.8,13.5
Booragul,115.0,266.0,174.0,552.0,117.0,414.0,7.0,16.3,10.7,33.8,7.2,25.4
Bossley Park,922.0,2453.0,2524.0,6454.0,1148.0,916.0,6.4,17.0,17.5,44.8,8.0,6.4
Botany,506.0,923.0,913.0,3456.0,725.0,942.0,6.8,12.4,12.2,46.3,9.7,12.6
Bow Bowing,162.0,295.0,216.0,828.0,70.0,59.0,9.9,18.1,13.3,50.8,4.3,3.6
Bradbury,653.0,1254.0,1500.0,3873.0,938.0,818.0,7.2,13.9,16.6,42.8,10.4,9.0
Broadmeadow,81.0,171.0,227.0,675.0,98.0,186.0,5.6,11.8,15.6,46.5,6.7,12.8
Bronte,381.0,670.0,728.0,3566.0,545.0,879.0,5.6,9.9,10.8,52.7,8.1,13.0
Brookvale,135.0,267.0,373.0,1116.0,224.0,380.0,5.4,10.7,15.0,44.8,9.0,15.2
Budgewoi,151.0,362.0,319.0,996.0,376.0,733.0,5.1,12.3,10.9,33.9,12.8,25.0
Buff Point,231.0,585.0,408.0,1302.0,358.0,537.0,6.8,17.1,11.9,38.1,10.5,15.7
Bulli,349.0,825.0,636.0,2338.0,441.0,771.0,6.5,15.4,11.9,43.6,8.2,14.4
Burwood,501.0,1167.0,1817.0,5117.0,874.0,1653.0,4.5,10.5,16.3,46.0,7.9,14.9
Burwood Heights,49.0,105.0,131.0,417.0,99.0,157.0,5.1,10.9,13.6,43.4,10.3,16.3
Busby,292.0,806.0,607.0,1538.0,388.0,413.0,7.2,19.9,15.0,38.1,9.6,10.2
Cabarita,69.0,119.0,138.0,526.0,163.0,144.0,5.9,10.2,11.9,45.3,14.0,12.4
Cabramatta,1704.0,2459.0,2475.0,9043.0,1419.0,2291.0,8.8,12.7,12.8,46.6,7.3,11.8
Cabramatta West,456.0,998.0,929.0,2780.0,491.0,874.0,7.0,15.3,14.2,42.6,7.5,13.4
Cambridge Gardens,154.0,397.0,391.0,1001.0,150.0,88.0,7.1,18.2,17.9,45.9,6.9,4.0
Cambridge Park,468.0,919.0,957.0,2694.0,575.0,519.0,7.6,15.0,15.6,43.9,9.4,8.5
Camden,185.0,381.0,346.0,1192.0,291.0,672.0,6.0,12.4,11.3,38.9,9.5,21.9
Camden South,258.0,692.0,785.0,2075.0,434.0,407.0,5.5,14.9,16.9,44.6,9.3,8.7
Cammeray,311.0,445.0,659.0,3381.0,520.0,596.0,5.3,7.5,11.1,57.2,8.8,10.1
Campbelltown,650.0,1418.0,1581.0,4279.0,901.0,1100.0,6.5,14.3,15.9,43.1,9.1,11.1
Camperdown,226.0,182.0,1669.0,2593.0,309.0,479.0,4.1,3.3,30.6,47.5,5.7,8.8
Campsie,1652.0,2590.0,2728.0,9924.0,1615.0,2343.0,7.9,12.4,13.1,47.6,7.7,11.2
Canada Bay,72.0,135.0,126.0,608.0,108.0,160.0,6.0,11.2,10.4,50.4,8.9,13.3
Canley Heights,771.0,1480.0,1420.0,4192.0,798.0,1026.0,8.0,15.3,14.7,43.3,8.2,10.6
Canley Vale,759.0,1467.0,1371.0,4478.0,731.0,1288.0,7.5,14.5,13.6,44.4,7.2,12.8
Canterbury,346.0,672.0,742.0,2514.0,529.0,634.0,6.4,12.4,13.6,46.2,9.7,11.7
Canton Beach,27.0,70.0,128.0,260.0,166.0,460.0,2.4,6.3,11.4,23.2,14.8,41.1
Cardiff,355.0,616.0,650.0,2080.0,486.0,853.0,7.0,12.2,12.9,41.3,9.6,16.9
Cardiff Heights,84.0,227.0,224.0,694.0,197.0,353.0,4.7,12.8,12.6,39.0,11.1,19.9
Cardiff South,207.0,442.0,321.0,1151.0,211.0,355.0,7.7,16.5,12.0,42.9,7.9,13.2
Caringbah,1249.0,2546.0,2438.0,8692.0,1799.0,3865.0,6.1,12.4,11.8,42.2,8.7,18.8
Carlingford,1180.0,2602.0,2725.0,8127.0,2358.0,2466.0,6.1,13.4,14.0,41.8,12.1,12.7
Carlton,651.0,1113.0,1257.0,4521.0,875.0,1124.0,6.8,11.7,13.2,47.4,9.2,11.8
Carramar,232.0,428.0,339.0,1457.0,266.0,388.0,7.5,13.8,10.9,46.9,8.6,12.5
Carrington,108.0,192.0,172.0,748.0,141.0,246.0,6.7,11.9,10.7,46.5,8.8,15.3
Carss Park,73.0,145.0,142.0,447.0,138.0,219.0,6.3,12.6,12.3,38.9,12.0,19.0
Cartwright,146.0,370.0,261.0,913.0,308.0,264.0,6.5,16.4,11.6,40.4,13.6,11.7
Castle Cove,138.0,308.0,248.0,934.0,249.0,447.0,5.9,13.3,10.7,40.2,10.7,19.2
Castle Hill,1749.0,4865.0,4822.0,13107.0,3146.0,3840.0,5.5,15.4,15.3,41.6,10.0,12.2
Castlecrag,168.0,370.0,306.0,1099.0,259.0,436.0,6.4,14.0,11.6,41.6,9.8,16.5
Casula,929.0,1790.0,1595.0,5050.0,858.0,973.0,8.3,16.0,14.2,45.1,7.7,8.7
Caves Beach,251.0,662.0,508.0,1657.0,506.0,534.0,6.1,16.1,12.3,40.2,12.3,13.0
Cecil Hills,544.0,1067.0,886.0,2815.0,289.0,213.0,9.4,18.3,15.2,48.4,5.0,3.7
Centennial Park,65.0,137.0,300.0,1221.0,215.0,168.0,3.1,6.5,14.3,58.1,10.2,8.0
Charlestown,652.0,1508.0,1581.0,4584.0,1210.0,1805.0,5.8,13.3,13.9,40.4,10.7,15.9
Charmhaven,164.0,399.0,301.0,867.0,189.0,318.0,7.3,17.8,13.4,38.6,8.4,14.2
Chatswood,550.0,1045.0,1662.0,4597.0,769.0,1595.0,5.4,10.2,16.3,45.0,7.5,15.6
Chatswood West,468.0,750.0,1066.0,3607.0,652.0,948.0,6.2,10.0,14.2,48.1,8.7,12.7
Cheltenham,106.0,304.0,292.0,784.0,249.0,236.0,5.4,15.4,14.8,39.7,12.6,11.9
Cherrybrook,1088.0,3385.0,2902.0,8104.0,1507.0,1616.0,5.8,18.2,15.6,43.6,8.1,8.7
Chester Hill,683.0,1372.0,1304.0,4247.0,776.0,1574.0,6.9,13.8,13.1,42.7,7.8,15.8
Chifley,184.0,415.0,381.0,1272.0,263.0,468.0,6.2,13.9,12.8,42.6,8.8,15.7
Chippendale,75.0,103.0,754.0,2024.0,169.0,170.0,2.3,3.1,22.9,61.4,5.1,5.2
Chipping Norton,525.0,1335.0,1503.0,4180.0,794.0,654.0,5.8,14.8,16.7,46.5,8.8,7.3
Chiswick,44.0,97.0,166.0,687.0,117.0,199.0,3.4,7.4,12.7,52.5,8.9,15.2
Chittaway Bay,146.0,352.0,246.0,836.0,147.0,261.0,7.3,17.7,12.4,42.1,7.4,13.1
Chittaway Point,61.0,122.0,80.0,343.0,91.0,90.0,7.7,15.3,10.1,43.1,11.4,11.3
Church Point,42.0,152.0,146.0,494.0,158.0,135.0,3.8,13.6,13.0,44.1,14.1,12.1
Claremont Meadows,415.0,728.0,468.0,1673.0,111.0,82.0,11.9,20.9,13.4,48.0,3.2,2.4
Claymore,493.0,964.0,628.0,1235.0,167.0,81.0,13.8,27.0,17.6,34.6,4.7,2.3
Clontarf,97.0,258.0,183.0,675.0,184.0,238.0,5.9,15.8,11.2,41.3,11.3,14.6
Clovelly,277.0,448.0,439.0,2378.0,357.0,461.0,6.4,10.3,10.1,54.6,8.2,10.6
Coal Point,90.0,239.0,177.0,654.0,216.0,293.0,5.4,14.3,10.6,39.1,12.9,17.5
Coledale,78.0,114.0,108.0,414.0,72.0,112.0,8.7,12.7,12.0,46.1,8.0,12.5
Collaroy,861.0,1671.0,1698.0,5852.0,1310.0,1774.0,6.5,12.7,12.9,44.4,9.9,13.5
Colyton,648.0,1285.0,1305.0,3618.0,750.0,534.0,8.0,15.8,16.0,44.5,9.2,6.6
Como,267.0,604.0,393.0,1690.0,289.0,425.0,7.3,16.4,10.7,46.0,7.9,11.6
Concord,836.0,1598.0,1698.0,5905.0,1333.0,1940.0,6.3,12.0,12.8,44.4,10.0,14.6
Concord West,316.0,727.0,764.0,2489.0,596.0,1033.0,5.3,12.3,12.9,42.0,10.1,17.4
Condell Park,658.0,1290.0,1324.0,3687.0,856.0,1157.0,7.3,14.4,14.8,41.1,9.5,12.9
Coniston,116.0,190.0,245.0,830.0,186.0,293.0,6.2,10.2,13.2,44.6,10.0,15.8
Connells Point,152.0,392.0,337.0,1113.0,325.0,498.0,5.4,13.9,12.0,39.5,11.5,17.7
Coogee,672.0,942.0,1708.0,7713.0,1013.0,1352.0,5.0,7.0,12.7,57.6,7.6,10.1
Cooks Hill,99.0,205.0,549.0,1217.0,170.0,283.0,3.9,8.1,21.8,48.3,6.7,11.2
Copacabana,219.0,552.0,345.0,1257.0,154.0,212.0,8.0,20.1,12.6,45.8,5.6,7.7
Cordeaux Heights,411.0,1069.0,673.0,2281.0,251.0,179.0,8.5,22.0,13.8,46.9,5.2,3.7
Corrimal,592.0,1211.0,1263.0,3930.0,894.0,1603.0,6.2,12.8,13.3,41.4,9.4,16.9
Cranebrook,1361.0,2739.0,1944.0,6002.0,637.0,394.0,10.4,20.9,14.9,45.9,4.9,3.0
Cremorne,462.0,725.0,1083.0,5574.0,973.0,1381.0,4.5,7.1,10.6,54.7,9.5,13.5
Cremorne Point,84.0,103.0,142.0,1027.0,213.0,219.0,4.7,5.8,7.9,57.5,11.9,12.3
Cringila,150.0,307.0,379.0,892.0,312.0,316.0,6.4,13.1,16.1,38.0,13.3,13.4
Cromer,527.0,968.0,846.0,2953.0,755.0,885.0,7.6,14.0,12.2,42.6,10.9,12.8
Cronulla,703.0,1319.0,2315.0,8139.0,1289.0,2516.0,4.3,8.1,14.2,50.0,7.9,15.5
Croudace Bay,15.0,51.0,39.0,153.0,49.0,57.0,3.9,13.3,10.2,39.8,12.8,14.8
Crows Nest,174.0,194.0,414.0,1997.0,246.0,274.0,5.3,5.9,12.6,60.6,7.5,8.3
Croydon,531.0,1089.0,1247.0,4096.0,887.0,1246.0,5.8,12.0,13.7,45.0,9.8,13.7
Croydon Park,689.0,1390.0,1371.0,4861.0,969.0,1271.0,6.5,13.2,13.0,46.1,9.2,12.0
Curl Curl,120.0,318.0,187.0,829.0,127.0,262.0,6.5,17.2,10.1,44.9,6.9,14.2
Currans Hill,604.0,833.0,539.0,2184.0,144.0,103.0,13.7,18.9,12.2,49.6,3.3,2.3
Daceyville,41.0,101.0,179.0,418.0,160.0,318.0,3.4,8.3,14.7,34.2,13.1,26.0
Daleys Point,22.0,28.0,19.0,109.0,60.0,217.0,4.8,6.1,4.2,23.9,13.2,47.6
Dapto,750.0,1536.0,1408.0,4386.0,1207.0,1496.0,7.0,14.2,13.1,40.7,11.2,13.9
Darling Point,126.0,180.0,341.0,1791.0,540.0,1099.0,3.1,4.4,8.4,44.0,13.3,27.0
Darlinghurst,254.0,412.0,1167.0,5680.0,735.0,930.0,2.8,4.5,12.7,61.9,8.0,10.1
Darlington,57.0,78.0,575.0,1130.0,94.0,111.0,2.8,3.8,28.2,55.3,4.6,5.4
Davidson,110.0,356.0,462.0,1098.0,376.0,130.0,4.3,14.0,18.2,43.2,14.8,5.1
Davistown,114.0,306.0,224.0,761.0,200.0,327.0,5.9,15.9,11.6,39.5,10.4,17.0
Dawes Point,6.0,24.0,53.0,203.0,31.0,50.0,1.7,7.0,15.4,58.8,9.0,14.5
Dean Park,289.0,624.0,551.0,1479.0,148.0,183.0,8.8,19.0,16.8,45.1,4.5,5.6
Dee Why,997.0,1477.0,2194.0,8307.0,1336.0,2123.0,6.1,9.0,13.4,50.5,8.1,12.9
Denistone,225.0,476.0,452.0,1480.0,323.0,527.0,6.5,13.7,13.0,42.5,9.3,15.1
Denistone East,104.0,286.0,249.0,830.0,173.0,290.0,5.4,14.8,12.9,42.9,8.9,15.0
Denistone West,53.0,99.0,108.0,308.0,55.0,162.0,6.8,12.7,13.8,39.4,7.0,20.7
Dharruk,218.0,528.0,497.0,1247.0,232.0,134.0,7.6,18.4,17.3,43.5,8.1,4.7
Dolans Bay,70.0,168.0,149.0,468.0,124.0,156.0,6.2,14.8,13.1,41.3,10.9,13.8
Dolls Point,63.0,95.0,120.0,563.0,149.0,232.0,5.2,7.8,9.9,46.4,12.3,19.1
Doonside,1061.0,2586.0,2177.0,5893.0,970.0,967.0,7.8,18.9,15.9,43.2,7.1,7.1
Double Bay,143.0,259.0,375.0,1636.0,331.0,473.0,4.4,8.0,11.6,50.8,10.3,14.7
Dover Heights,177.0,471.0,487.0,1364.0,326.0,523.0,5.3,14.1,14.5,40.7,9.7,15.6
Drummoyne,580.0,881.0,1063.0,5199.0,1023.0,1550.0,5.6,8.6,10.3,50.5,9.9,15.1
Dudley,135.0,319.0,335.0,959.0,225.0,281.0,6.0,14.1,14.8,42.4,10.0,12.4
Dulwich Hill,811.0,1301.0,1477.0,6689.0,1044.0,1151.0,6.5,10.4,11.8,53.6,8.4,9.2
Dundas,667.0,1328.0,1120.0,4457.0,814.0,1192.0,7.0,13.9,11.7,46.5,8.5,12.4
Dundas Valley,427.0,951.0,864.0,2940.0,554.0,1009.0,6.3,14.1,12.8,43.6,8.2,15.0
Dural,260.0,632.0,468.0,1637.0,350.0,440.0,6.9,16.7,12.4,43.2,9.2,11.6
Eagle Vale,543.0,1248.0,931.0,2690.0,268.0,209.0,9.2,21.2,15.8,45.6,4.5,3.5
Earlwood,1051.0,1971.0,2046.0,7170.0,1886.0,2719.0,6.2,11.7,12.1,42.6,11.2,16.1
East Gosford,145.0,341.0,372.0,1190.0,352.0,933.0,4.4,10.2,11.2,35.7,10.6,28.0
East Hills,153.0,354.0,325.0,1051.0,252.0,406.0,6.0,13.9,12.8,41.3,9.9,16.0
East Killara,111.0,427.0,501.0,1097.0,353.0,366.0,3.9,14.9,17.5,38.4,12.4,12.8
East Lindfield,212.0,520.0,434.0,1260.0,336.0,628.0,6.3,15.4,12.8,37.2,9.9,18.5
East Ryde,128.0,288.0,281.0,894.0,287.0,364.0,5.7,12.8,12.5,39.8,12.8,16.2
Eastern Creek,40.0,78.0,106.0,224.0,27.0,59.0,7.3,14.3,19.4,41.1,5.0,10.8
Eastlakes,508.0,831.0,917.0,3111.0,712.0,959.0,7.2,11.8,13.0,44.2,10.1,13.6
Eastwood,840.0,2029.0,2047.0,6188.0,1104.0,1875.0,6.0,14.4,14.5,43.9,7.8,13.3
Edensor Park,628.0,1690.0,1588.0,4275.0,626.0,508.0,6.7,18.1,17.0,45.9,6.7,5.5
Edgecliff,77.0,191.0,331.0,1232.0,285.0,656.0,2.8,6.9,11.9,44.5,10.3,23.7
Edgeworth,622.0,1204.0,1092.0,3352.0,619.0,882.0,8.0,15.5,14.1,43.1,8.0,11.3
Elanora Heights,253.0,561.0,485.0,1562.0,455.0,437.0,6.7,15.0,12.9,41.6,12.1,11.6
Elderslie,190.0,440.0,315.0,1160.0,238.0,300.0,7.2,16.7,11.9,44.0,9.0,11.4
Eleebana,302.0,971.0,837.0,2433.0,632.0,584.0,5.2,16.9,14.5,42.2,11.0,10.1
Elermore Vale,316.0,826.0,797.0,2169.0,358.0,353.0,6.6,17.1,16.5,45.0,7.4,7.3
Elizabeth Bay,108.0,141.0,346.0,2966.0,429.0,787.0,2.3,3.0,7.2,62.1,9.0,16.5
Emerton,215.0,464.0,356.0,902.0,228.0,145.0,9.3,20.1,15.4,39.1,9.9,6.3
Empire Bay,95.0,274.0,165.0,634.0,149.0,206.0,6.2,18.0,10.8,41.6,9.8,13.5
Emu Heights,294.0,632.0,509.0,1472.0,243.0,162.0,8.9,19.1,15.4,44.6,7.4,4.9
Emu Plains,508.0,1095.0,1294.0,3576.0,789.0,854.0,6.3,13.5,15.9,44.1,9.7,10.5
Enfield,142.0,327.0,349.0,1067.0,230.0,334.0,5.8,13.4,14.3,43.6,9.4,13.6
Engadine,1243.0,2490.0,2704.0,8060.0,2089.0,1351.0,6.9,13.9,15.1,44.9,11.6,7.5
Enmore,152.0,232.0,517.0,2072.0,243.0,298.0,4.3,6.6,14.7,59.0,6.9,8.5
Epping,973.0,2296.0,2983.0,7840.0,1514.0,2458.0,5.4,12.7,16.5,43.4,8.4,13.6
Erina,234.0,555.0,376.0,1433.0,427.0,1448.0,5.2,12.4,8.4,32.0,9.5,32.4
Ermington,651.0,1472.0,1280.0,4338.0,947.0,1595.0,6.3,14.3,12.5,42.2,9.2,15.5
Erskine Park,673.0,1532.0,1013.0,3355.0,253.0,182.0,9.6,21.9,14.5,47.9,3.6,2.6
Erskineville,224.0,321.0,637.0,3088.0,268.0,277.0,4.6,6.7,13.2,64.1,5.6,5.7
Eschol Park,223.0,500.0,491.0,1358.0,150.0,74.0,8.0,17.9,17.6,48.6,5.4,2.6
Ettalong Beach,252.0,453.0,373.0,1410.0,435.0,1149.0,6.2,11.1,9.2,34.6,10.7,28.2
Fairfield,1101.0,2046.0,2026.0,6476.0,1194.0,1743.0,7.5,14.0,13.9,44.4,8.2,12.0
Fairfield East,160.0,375.0,332.0,979.0,209.0,262.0,6.9,16.2,14.4,42.3,9.0,11.3
Fairfield Heights,398.0,852.0,766.0,2260.0,455.0,713.0,7.3,15.6,14.1,41.5,8.3,13.1
Fairfield West,704.0,1518.0,1571.0,4416.0,1174.0,924.0,6.8,14.7,15.2,42.8,11.4,9.0
Fairlight,362.0,442.0,542.0,2760.0,469.0,808.0,6.7,8.2,10.1,51.3,8.7,15.0
Fairy Meadow,411.0,805.0,1075.0,2591.0,642.0,1213.0,6.1,11.9,16.0,38.4,9.5,18.0
Farmborough Heights,309.0,632.0,583.0,1740.0,298.0,202.0,8.2,16.8,15.5,46.3,7.9,5.4
