,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Dee Why,1694.0,2222.0,3301.0,43.0,853.0,20.9,27.4,40.7,0.5,10.5
Denistone,541.0,425.0,155.0,0.0,38.0,46.7,36.7,13.4,0.0,3.3
Denistone East,331.0,261.0,90.0,4.0,19.0,46.9,37.0,12.7,0.6,2.7
Denistone West,115.0,91.0,24.0,0.0,9.0,47.9,37.9,10.0,0.0,3.8
Dharruk,230.0,347.0,244.0,4.0,50.0,26.2,39.6,27.8,0.5,5.7
Dolans Bay,189.0,150.0,42.0,0.0,14.0,48.3,38.4,10.7,0.0,3.6
Dolls Point,297.0,188.0,296.0,8.0,78.0,34.3,21.7,34.1,0.9,9.0
Doonside,927.0,1395.0,1673.0,16.0,265.0,21.7,32.6,39.1,0.4,6.2
Double Bay,775.0,356.0,829.0,8.0,248.0,34.9,16.0,37.3,0.4,11.2
Dover Heights,605.0,375.0,235.0,37.0,191.0,41.9,26.0,16.3,2.6,13.2
Drummoyne,1456.0,1141.0,1522.0,44.0,421.0,31.8,24.9,33.2,1.0,9.2
Dudley,380.0,302.0,130.0,5.0,27.0,45.1,35.9,15.4,0.6,3.2
Dulwich Hill,1312.0,1402.0,2097.0,17.0,521.0,24.5,26.2,39.2,0.3,9.7
Dundas,963.0,1070.0,1431.0,9.0,259.0,25.8,28.7,38.3,0.2,6.9
Dundas Valley,741.0,720.0,599.0,81.0,189.0,31.8,30.9,25.7,3.5,8.1
Dural (Baulkham Hills and Hornsby),944.0,891.0,292.0,14.0,113.0,41.8,39.5,12.9,0.6,5.0
Eagle Vale,325.0,957.0,327.0,3.0,90.0,19.1,56.2,19.2,0.2,5.3
Earlwood,2724.0,1556.0,1065.0,27.0,472.0,46.6,26.6,18.2,0.5,8.1
East Gosford,566.0,336.0,646.0,22.0,149.0,32.9,19.5,37.6,1.3,8.7
East Hills,360.0,279.0,273.0,0.0,57.0,37.0,28.7,28.1,0.0,5.9
East Killara,484.0,283.0,103.0,0.0,41.0,53.1,31.1,11.3,0.0,4.5
East Lindfield,606.0,362.0,117.0,33.0,46.0,52.0,31.0,10.0,2.8,3.9
East Ryde,400.0,260.0,80.0,3.0,30.0,51.7,33.6,10.3,0.4,3.9
Eastern Creek,61.0,80.0,26.0,0.0,10.0,34.5,45.2,14.7,0.0,5.6
Eastlakes,647.0,493.0,1312.0,24.0,211.0,24.1,18.3,48.8,0.9,7.8
Eastwood,1903.0,1430.0,1489.0,15.0,378.0,36.5,27.4,28.6,0.3,7.2
Edensor Park,910.0,1114.0,487.0,6.0,105.0,34.7,42.5,18.6,0.2,4.0
Edgecliff,243.0,126.0,405.0,3.0,152.0,26.2,13.6,43.6,0.3,16.4
Edgeworth,728.0,845.0,477.0,80.0,133.0,32.2,37.4,21.1,3.5,5.9
Elanora Heights,528.0,513.0,132.0,5.0,41.0,43.3,42.1,10.8,0.4,3.4
Elderslie (Camden),345.0,386.0,222.0,5.0,37.0,34.6,38.8,22.3,0.5,3.7
Eleebana,867.0,799.0,186.0,17.0,49.0,45.2,41.6,9.7,0.9,2.6
Elermore Vale,634.0,610.0,347.0,0.0,77.0,38.0,36.5,20.8,0.0,4.6
Elizabeth Bay,525.0,452.0,1495.0,11.0,655.0,16.7,14.4,47.7,0.4,20.9
Emerton,110.0,211.0,345.0,5.0,74.0,14.7,28.2,46.2,0.7,9.9
Empire Bay,331.0,338.0,148.0,6.0,42.0,38.2,39.0,17.1,0.7,4.8
Emu Heights,297.0,574.0,165.0,0.0,18.0,28.2,54.5,15.7,0.0,1.7
Emu Plains,1056.0,1092.0,555.0,31.0,120.0,37.0,38.3,19.4,1.1,4.2
Enfield,332.0,267.0,296.0,8.0,46.0,35.1,28.2,31.3,0.8,4.9
Engadine,2438.0,2776.0,800.0,28.0,179.0,39.2,44.6,12.9,0.5,2.9
Enmore (Marrickville),296.0,386.0,677.0,3.0,209.0,18.8,24.6,43.1,0.2,13.3
Epping,2735.0,1833.0,1804.0,26.0,409.0,40.2,26.9,26.5,0.4,6.0
Erina,932.0,510.0,327.0,131.0,104.0,46.5,25.4,16.3,6.5,5.2
Ermington,1115.0,1062.0,1281.0,13.0,263.0,29.9,28.4,34.3,0.3,7.0
Erskine Park,389.0,1194.0,268.0,0.0,97.0,20.0,61.3,13.8,0.0,5.0
Erskineville,329.0,896.0,1725.0,11.0,240.0,10.3,28.0,53.9,0.3,7.5
Eschol Park,190.0,489.0,142.0,3.0,39.0,22.0,56.7,16.5,0.3,4.5
Ettalong Beach,797.0,220.0,800.0,13.0,170.0,39.9,11.0,40.1,0.7,8.5
Fairfield,1218.0,1050.0,2433.0,13.0,476.0,23.5,20.2,46.9,0.3,9.2
Fairfield East,393.0,400.0,478.0,6.0,94.0,28.7,29.2,34.9,0.4,6.9
Fairfield Heights,591.0,425.0,765.0,3.0,169.0,30.3,21.8,39.2,0.2,8.7
Fairfield West,1227.0,1107.0,618.0,13.0,197.0,38.8,35.0,19.5,0.4,6.2
Fairlight,790.0,651.0,854.0,12.0,193.0,31.6,26.1,34.2,0.5,7.7
Fairy Meadow,917.0,550.0,1022.0,18.0,202.0,33.9,20.3,37.7,0.7,7.5
Farmborough Heights,452.0,579.0,108.0,3.0,97.0,36.4,46.7,8.7,0.2,7.8
Faulconbridge,529.0,647.0,216.0,9.0,54.0,36.4,44.5,14.8,0.6,3.7
Fennell Bay,254.0,200.0,123.0,0.0,25.0,42.1,33.1,20.4,0.0,4.1
Figtree,1770.0,1262.0,507.0,35.0,136.0,47.7,34.0,13.7,0.9,3.7
Five Dock,1053.0,836.0,1087.0,17.0,246.0,32.5,25.8,33.5,0.5,7.6
Fletcher,90.0,440.0,55.0,4.0,9.0,15.1,73.8,9.2,0.7,1.5
Flinders,308.0,623.0,376.0,7.0,64.0,22.3,45.2,27.3,0.5,4.6
Floraville,187.0,226.0,94.0,3.0,9.0,36.0,43.5,18.1,0.6,1.7
Forest Lodge,163.0,271.0,516.0,5.0,164.0,14.5,24.2,46.0,0.4,14.6
Forestville,1231.0,915.0,506.0,65.0,111.0,43.5,32.4,17.9,2.3,3.9
Forresters Beach,274.0,350.0,135.0,0.0,48.0,34.0,43.4,16.7,0.0,5.9
Frenchs Forest,1729.0,1759.0,469.0,10.0,110.0,42.4,43.1,11.5,0.2,2.7
Garden Suburb,256.0,259.0,47.0,0.0,26.0,43.5,44.0,8.0,0.0,4.4
Gateshead,384.0,391.0,508.0,4.0,84.0,28.0,28.5,37.1,0.3,6.1
Georges Hall,1215.0,841.0,372.0,7.0,121.0,47.6,32.9,14.6,0.3,4.7
Georgetown,281.0,281.0,223.0,0.0,31.0,34.4,34.4,27.3,0.0,3.8
Girraween,514.0,447.0,436.0,6.0,83.0,34.6,30.1,29.4,0.4,5.6
Gladesville,1381.0,1310.0,1544.0,22.0,294.0,30.4,28.8,33.9,0.5,6.5
Glebe,784.0,717.0,2896.0,51.0,840.0,14.8,13.6,54.8,1.0,15.9
Glen Alpine,383.0,776.0,48.0,6.0,52.0,30.3,61.4,3.8,0.5,4.1
Glenbrook,712.0,698.0,294.0,11.0,54.0,40.2,39.5,16.6,0.6,3.1
Glendale,479.0,394.0,303.0,9.0,32.0,39.3,32.3,24.9,0.7,2.6
Glendenning,113.0,894.0,343.0,10.0,76.0,7.9,62.3,23.9,0.7,5.3
Glenfield,652.0,791.0,519.0,19.0,244.0,29.3,35.6,23.4,0.9,11.0
Glenhaven,699.0,838.0,139.0,9.0,37.0,40.5,48.6,8.1,0.5,2.1
Glenmore Park,960.0,3459.0,1327.0,11.0,189.0,16.2,58.2,22.3,0.2,3.2
Glenning Valley,189.0,328.0,100.0,0.0,19.0,29.6,51.3,15.6,0.0,3.0
Glenwood,572.0,2568.0,795.0,6.0,142.0,14.0,62.9,19.5,0.1,3.5
Gordon,1013.0,575.0,340.0,11.0,65.0,50.7,28.8,17.0,0.6,3.3
Gorokan,1226.0,768.0,936.0,13.0,177.0,39.3,24.6,30.0,0.4,5.7
Gosford,213.0,196.0,933.0,0.0,290.0,13.1,12.0,57.2,0.0,17.8
Granville,1880.0,1947.0,3154.0,38.0,682.0,24.4,25.3,41.0,0.5,8.9
Grays Point,396.0,416.0,54.0,7.0,27.0,44.0,46.3,6.0,0.8,3.0
Green Point (Gosford),1064.0,839.0,437.0,19.0,106.0,43.1,34.0,17.7,0.8,4.3
Green Valley,713.0,1572.0,683.0,14.0,316.0,21.6,47.7,20.7,0.4,9.6
Greenacre,2295.0,2101.0,1959.0,40.0,533.0,33.1,30.3,28.3,0.6,7.7
Greenfield Park,538.0,566.0,260.0,4.0,97.0,36.7,38.6,17.7,0.3,6.6
Greenwich,679.0,554.0,533.0,17.0,162.0,34.9,28.5,27.4,0.9,8.3
Greystanes,3048.0,2317.0,1057.0,21.0,302.0,45.2,34.3,15.7,0.3,4.5
Guildford,1134.0,918.0,1378.0,19.0,460.0,29.0,23.5,35.3,0.5,11.8
Guildford West,454.0,477.0,325.0,8.0,148.0,32.1,33.7,23.0,0.6,10.5
Gwynneville,295.0,205.0,478.0,10.0,66.0,27.9,19.4,45.2,0.9,6.2
Gymea,1014.0,839.0,843.0,13.0,124.0,35.8,29.6,29.7,0.5,4.4
Gymea Bay,1067.0,1065.0,175.0,10.0,80.0,44.6,44.5,7.3,0.4,3.3
