,School Education,"Cafes, Restaurants and Takeaway Food Services",Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Hospitals,Auxiliary Finance and Investment Services,Depository Financial Intermediation,Public Order and Safety Services,Defence,Tertiary Education,Manufacturing,Residential Care Services,"Building Cleaning, Pest Control and Gardening Services",Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Architectural, Engineering and Technical Services",Building Installation Services,Local Government Administration,"Pubs, Taverns and Bars",Air and Space Transport,Building Completion Services,Medical Services,Real Estate Services,Other Social Assistance Services,Other Machinery and Equipment Wholesaling,Employment Services,Automotive Repair and Maintenance,Postal and Courier Pick-up and Delivery Services,State Government Administration,Coal Mining,Polymer Product Manufacturing,Pharmaceutical and Other Store-Based Retailing,Department Stores,Health Care and Social Assistance,Advertising Services,Religious Services,Specialised Food Retailing,"Grocery, Liquor and Tobacco Product Wholesaling",Clothing and Footwear Manufacturing,Converted Paper Product Manufacturing,Accommodation,Clubs,Management and Related Consulting Services,"Clothing, Footwear and Personal Accessory Retailing",Allied Health Services,Meat and Meat Product Manufacturing,Timber and Hardware Goods Wholesaling,"Furniture, Floor Covering and Other Goods Wholesaling",Central Government Administration,Food Retailing,Horse and Dog Racing Activities,Land Development and Site Preparation Services,Personal Care Services,Transport Equipment Manufacturing,Petroleum and Coal Product Manufacturing,Road Passenger Transport,"Adult, Community and Other Education",Structural Metal Product Manufacturing,Telecommunications Services,Property Operators,Electrical and Electronic Goods Retailing,Mushroom and Vegetable Growing,Other Wood Product Manufacturing,Building Structure Services,Other Transport Support Services,Furniture Manufacturing,Rail Passenger Transport,Heavy and Civil Engineering Construction,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Hospitals (%),Auxiliary Finance and Investment Services (%),Depository Financial Intermediation (%),Public Order and Safety Services (%),Defence (%),Tertiary Education (%),Manufacturing (%),Residential Care Services (%),"Building Cleaning, Pest Control and Gardening Services (%)",Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Architectural, Engineering and Technical Services (%)",Building Installation Services (%),Local Government Administration (%),"Pubs, Taverns and Bars (%)",Air and Space Transport (%),Building Completion Services (%),Medical Services (%),Real Estate Services (%),Other Social Assistance Services (%),Other Machinery and Equipment Wholesaling (%),Employment Services (%),Automotive Repair and Maintenance (%),Postal and Courier Pick-up and Delivery Services (%),State Government Administration (%),Coal Mining (%),Polymer Product Manufacturing (%),Pharmaceutical and Other Store-Based Retailing (%),Department Stores (%),Health Care and Social Assistance (%),Advertising Services (%),Religious Services (%),Specialised Food Retailing (%),"Grocery, Liquor and Tobacco Product Wholesaling (%)",Clothing and Footwear Manufacturing (%),Converted Paper Product Manufacturing (%),Accommodation (%),Clubs (%),Management and Related Consulting Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Allied Health Services (%),Meat and Meat Product Manufacturing (%),Timber and Hardware Goods Wholesaling (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Central Government Administration (%),Food Retailing (%),Horse and Dog Racing Activities (%),Land Development and Site Preparation Services (%),Personal Care Services (%),Transport Equipment Manufacturing (%),Petroleum and Coal Product Manufacturing (%),Road Passenger Transport (%),"Adult, Community and Other Education (%)",Structural Metal Product Manufacturing (%),Telecommunications Services (%),Property Operators (%),Electrical and Electronic Goods Retailing (%),Mushroom and Vegetable Growing (%),Other Wood Product Manufacturing (%),Building Structure Services (%),Other Transport Support Services (%),Furniture Manufacturing (%),Rail Passenger Transport (%),Heavy and Civil Engineering Construction (%)
Busby,34,42,54,,,,,,,,,36,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.8,4.8,,,,,,,,,3.2,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabarita,67,36,,,47,,34,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.4,,,4.4,,3.2,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta,,207,,138,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,138,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,2.3,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta West,,88,,49,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,2.4,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Gardens,47,36,33,,,39,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.2,3.0,,,3.5,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Park,100,,93,,,87,,,77,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,3.3,,,3.1,,,2.7,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,100,50,33,,35,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,3.5,2.3,,2.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden South,187,,,58,,77,,,65,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.5,,3.3,,,2.8,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cammeray,,144,,,224,,194,,,,,,,,,,192,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,5.3,,4.6,,,,,,,,,,4.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbelltown,175,106,104,,,110,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,3.2,3.1,,,3.3,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camperdown,123,178,,,123,245,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.7,,,3.2,6.4,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campsie,,519,,199,,207,,,,,,,,,,196,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,2.5,,2.6,,,,,,,,,,2.4,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Bay,32,,,,18,24,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,2.9,3.9,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Heights,,110,81,,,,,,,,,124,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.4,,,,,,,,,3.7,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Vale,,98,,68,,,,,,,,95,,,,,,,,,,,62,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,2.4,,,,,,,,3.3,,,,,,,,,,,2.2,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,92,104,,,,,,,,,,,,63,,56,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.3,,,,,,,,,,,,2.6,,2.3,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton Beach,,,,,,14,,,,,,,,,,9,,,,,,,,,,7,,,,,,,,,,,,,,,,,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,4.6,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,8.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff,113,103,,,,138,,,,,,,,,,81,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.9,,,,5.2,,,,,,,,,,3.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff Heights,102,53,,,39,73,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.1,,,3.0,5.7,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff South,39,43,,32,,57,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.3,,2.4,,4.4,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caringbah,528,383,,,310,342,,,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.6,,,2.9,3.2,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlingford,561,373,,,284,350,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.7,,,2.8,3.5,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton,138,202,,,132,192,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.7,,,3.1,4.4,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carramar,,28,29,27,,,,,,,,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.8,2.6,,,,,,,,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington,29,43,,,,47,,,,25,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.7,,,,6.3,,,,3.3,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carss Park,34,21,,,29,,14,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,3.9,,,5.3,,2.6,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartwright,19,14,27,,,,,,,,,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.7,5.1,,,,,,,,,2.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Cove,36,,,,69,,46,,,,,,,,,,49,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,6.5,,4.3,,,,,,,,,,4.6,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Hill,"1,000",628,,,546,582,,,,,,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.4,,,3.0,3.2,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlecrag,,,,,94,,72,,,,,,,,,,,62,,,,,,51,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,5.4,,,,,,,,,,,4.7,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Casula,222,172,153,130,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,2.9,2.6,2.2,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caves Beach,117,70,,,,65,,,,,,,,,,75,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,4.0,,,,3.7,,,,,,,,,,4.3,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecil Hills,95,114,,102,,,,83,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.5,,3.2,,,,2.6,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Park,,,,,86,62,46,39,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,4.8,3.6,3.0,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlestown,327,226,,,146,262,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,4.2,,,2.7,4.9,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmhaven,39,22,,,,22,,,,,,,39,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.5,,,,2.5,,,,,,,4.5,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood,,302,,,299,,222,194,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,3.7,3.2,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood West,139,,,,167,136,,,,,,,,,,,233,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,4.1,3.3,,,,,,,,,,,5.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,74,43,,,56,68,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.0,,,5.2,6.3,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrybrook,507,350,,,316,306,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,3.7,,,3.3,3.2,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester Hill,121,114,113,,,92,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.1,3.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chifley,64,41,,,,45,,,41,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.0,,,,3.3,,,3.0,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chippendale,,98,,,63,,,47,,,121,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,3.7,,,2.8,,,7.1,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Norton,247,160,142,,,113,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.6,3.2,,,2.5,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiswick,38,,,,60,51,53,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,4.3,3.7,3.8,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Bay,38,32,,,,29,,,,,,,30,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.5,,,,3.2,,,,,,,3.3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Point,,,14,,,14,,,,,,,,,,12,,,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,3.8,,,,,,,,,,3.2,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Point,20,21,,,20,,,,,,,,,,,,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.7,,,3.5,,,,,,,,,,,,5.1,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Meadows,51,46,55,,,69,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.8,3.3,,,4.2,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claymore,,30,27,,,,,,16,,,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.3,,,,,,3.1,,,4.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clontarf,,24,,26,46,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.6,6.4,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Clovelly,96,,,,98,96,83,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,4.0,3.9,3.4,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Point,46,25,,26,,,,,,,,,,,,,,34,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3.1,,3.2,,,,,,,,,,,,,,4.2,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coledale,23,15,,,,28,,,,,34,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,3.4,,,,6.3,,,,,7.6,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collaroy,344,223,,203,227,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.0,,2.7,3.0,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colyton,101,109,191,,,78,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.2,5.5,,,2.3,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como,141,61,,,62,70,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,3.1,,,3.1,3.5,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,323,237,,,220,237,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,3.8,,,3.5,3.8,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord West,154,119,,,85,170,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.3,,,3.1,6.2,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condell Park,145,121,96,92,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.2,2.5,2.4,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coniston,29,,,,,,,,20,,25,,,31,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,2.7,,3.4,,,4.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connells Point,54,39,,37,54,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.9,,2.7,4.0,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coogee,290,236,,,315,402,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.9,,,3.9,5.0,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooks Hill,88,99,,,65,113,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.2,,,4.1,7.1,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copacabana,107,54,,36,,71,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,4.2,,2.8,,5.5,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordeaux Heights,172,89,,,,99,,,,,76,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,3.5,,,,3.9,,,,,3.0,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrimal,118,95,,,,88,,,,,83,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.5,,,,3.2,,,,,3.0,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranebrook,252,206,214,,,232,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.3,3.4,,,3.7,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne,,,,,346,,364,231,,,,,,,,,237,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,6.1,3.9,,,,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne Point,31,,,,63,,63,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,6.3,,6.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Cringila,,26,,,,,,,,,,,,24,61,25,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,3.9,10.0,4.1,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromer,165,118,,87,,,,,,,,,,,,,100,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.0,,2.2,,,,,,,,,,,,,2.5,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronulla,444,280,,,283,309,,,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.0,,,3.1,3.4,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
