,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Cliftleigh,53.0,86.0,68.0,0.0,25.6,41.5,32.9,0.0,10932
Sawyers Gully,40.0,70.0,14.0,3.0,31.5,55.1,11.0,2.4,13499
Hunterview,235.0,446.0,93.0,17.0,29.7,56.4,11.8,2.1,11955
Redbournberry,28.0,39.0,10.0,0.0,36.4,50.6,13.0,0.0,13337
Singleton (NSW),478.0,515.0,279.0,23.0,36.9,39.8,21.5,1.8,13549
Whittingham,51.0,37.0,18.0,0.0,48.1,34.9,17.0,0.0,14279
Gowrie (Singleton - NSW),34.0,54.0,11.0,0.0,34.3,54.5,11.1,0.0,11729
Glenridding,25.0,27.0,13.0,3.0,36.8,39.7,19.1,4.4,11676
Singleton Heights,379.0,574.0,231.0,11.0,31.7,48.0,19.3,0.9,13550
Wattle Ponds,90.0,191.0,26.0,0.0,29.3,62.2,8.5,0.0,14193
McDougalls Hill,19.0,13.0,3.0,0.0,54.3,37.1,8.6,0.0,12541
Darlington (Singleton - NSW),45.0,42.0,15.0,3.0,42.9,40.0,14.3,2.9,11213
Broke (NSW),55.0,63.0,22.0,0.0,39.3,45.0,15.7,0.0,10590
Putty,9.0,4.0,3.0,0.0,56.2,25.0,18.8,0.0,13279
Howes Valley,8.0,7.0,3.0,0.0,44.4,38.9,16.7,0.0,11948
Bulga (NSW),49.0,39.0,8.0,0.0,51.0,40.6,8.3,0.0,10651
Jerrys Plains,34.0,36.0,8.0,0.0,43.6,46.2,10.3,0.0,12021
Maison Dieu,16.0,22.0,0.0,0.0,42.1,57.9,0.0,0.0,12448
Bridgman,18.0,38.0,6.0,0.0,29.0,61.3,9.7,0.0,10567
Mount Olive (Singleton - NSW),25.0,16.0,5.0,0.0,54.3,34.8,10.9,0.0,12781
Westbrook (NSW),14.0,19.0,0.0,0.0,42.4,57.6,0.0,0.0,14257
Reedy Creek (NSW),13.0,27.0,3.0,0.0,30.2,62.8,7.0,0.0,13342
Sedgefield,28.0,22.0,9.0,0.0,47.5,37.3,15.3,0.0,13514
Mitchells Flat,22.0,34.0,0.0,0.0,39.3,60.7,0.0,0.0,12651
Glendon,19.0,16.0,0.0,0.0,54.3,45.7,0.0,0.0,11660
Elderslie (Singleton - NSW),11.0,19.0,3.0,0.0,33.3,57.6,9.1,0.0,11392
