,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Werris Creek,169.0,118.0,84.0,12.0,44.1,30.8,21.9,3.1,14238
Quirindi,378.0,317.0,189.0,16.0,42.0,35.2,21.0,1.8,13301
Wallabadah,52.0,40.0,14.0,4.0,47.3,36.4,12.7,3.6,14098
Currabubula,42.0,34.0,11.0,0.0,48.3,39.1,12.6,0.0,11172
Quipolly,26.0,16.0,4.0,0.0,56.5,34.8,8.7,0.0,13300
Willow Tree,39.0,23.0,10.0,0.0,54.2,31.9,13.9,0.0,14305
Hillvue,763.0,734.0,280.0,19.0,42.5,40.9,15.6,1.1,11914
Calala,391.0,490.0,156.0,13.0,37.2,46.7,14.9,1.2,10748
Kingswood (Tamworth Regional - NSW),127.0,143.0,19.0,3.0,43.5,49.0,6.5,1.0,12164
South Tamworth,627.0,470.0,473.0,43.0,38.9,29.1,29.3,2.7,13597
West Tamworth,405.0,348.0,429.0,32.0,33.4,28.7,35.3,2.6,14252
North Tamworth,472.0,450.0,202.0,22.0,41.2,39.3,17.6,1.9,13011
Tamworth,8.0,12.0,8.0,0.0,28.6,42.9,28.6,0.0,13746
East Tamworth,638.0,488.0,247.0,12.0,46.1,35.2,17.8,0.9,11363
Oxley Vale,328.0,360.0,240.0,14.0,34.8,38.2,25.5,1.5,13111
Nemingha,76.0,78.0,27.0,0.0,42.0,43.1,14.9,0.0,12926
Westdale (Tamworth Regional - NSW),198.0,323.0,147.0,12.0,29.1,47.5,21.6,1.8,14259
Kootingal,242.0,252.0,94.0,6.0,40.7,42.4,15.8,1.0,12194
Duri,57.0,70.0,15.0,0.0,40.1,49.3,10.6,0.0,11332
Bithramere,28.0,16.0,7.0,0.0,54.9,31.4,13.7,0.0,10381
Winton (NSW),21.0,24.0,9.0,0.0,38.9,44.4,16.7,0.0,14336
Rushes Creek,11.0,8.0,0.0,0.0,57.9,42.1,0.0,0.0,13445
Somerton (NSW),30.0,29.0,3.0,0.0,48.4,46.8,4.8,0.0,13572
Bective,25.0,26.0,4.0,0.0,45.5,47.3,7.3,0.0,10245
Attunga,81.0,56.0,29.0,8.0,46.6,32.2,16.7,4.6,10105
Garthowen,21.0,23.0,0.0,0.0,47.7,52.3,0.0,0.0,11593
Limbri,20.0,7.0,3.0,0.0,66.7,23.3,10.0,0.0,12327
Tintinhull,53.0,48.0,14.0,0.0,46.1,41.7,12.2,0.0,13879
Loomberah,55.0,79.0,12.0,0.0,37.7,54.1,8.2,0.0,12386
Moonbi,128.0,107.0,48.0,3.0,44.8,37.4,16.8,1.0,12699
Bendemeer,59.0,37.0,20.0,5.0,48.8,30.6,16.5,4.1,10289
Watsons Creek (NSW),11.0,7.0,4.0,0.0,50.0,31.8,18.2,0.0,14188
Barraba,185.0,102.0,50.0,3.0,54.4,30.0,14.7,0.9,10206
Upper Manilla,20.0,13.0,7.0,0.0,50.0,32.5,17.5,0.0,14037
Manilla,268.0,205.0,152.0,11.0,42.1,32.2,23.9,1.7,12474
Daruka,85.0,131.0,14.0,3.0,36.5,56.2,6.0,1.3,11218
Moore Creek,213.0,369.0,56.0,3.0,33.2,57.6,8.7,0.5,12710
Hallsville,73.0,65.0,19.0,0.0,46.5,41.4,12.1,0.0,11835
Nundle,60.0,35.0,18.0,0.0,53.1,31.0,15.9,0.0,13043
Dungowan,49.0,51.0,14.0,0.0,43.0,44.7,12.3,0.0,11321
Piallamore,33.0,38.0,3.0,0.0,44.6,51.4,4.1,0.0,13195
Woolomin,35.0,27.0,20.0,0.0,42.7,32.9,24.4,0.0,14408
Warral,55.0,42.0,12.0,3.0,49.1,37.5,10.7,2.7,14163
Timbumburi,18.0,18.0,3.0,0.0,46.2,46.2,7.7,0.0,13870
Windale,209.0,245.0,343.0,19.0,25.6,30.0,42.0,2.3,14315
Jewells,334.0,325.0,67.0,6.0,45.6,44.4,9.2,0.8,12024
Belmont North,654.0,809.0,301.0,20.0,36.7,45.3,16.9,1.1,10277
Belmont (NSW),807.0,725.0,366.0,33.0,41.8,37.5,19.0,1.7,10276
Floraville,180.0,286.0,52.0,3.0,34.5,54.9,10.0,0.6,11535
Blacksmiths,210.0,200.0,87.0,14.0,41.1,39.1,17.0,2.7,10396
Pelican (NSW),117.0,106.0,33.0,3.0,45.2,40.9,12.7,1.2,13178
Marks Point,222.0,146.0,124.0,5.0,44.7,29.4,24.9,1.0,12492
Belmont South,115.0,93.0,80.0,12.0,38.3,31.0,26.7,4.0,10278
Kahibah,256.0,299.0,117.0,6.0,37.8,44.1,17.3,0.9,12048
Charlestown (NSW),1480.0,1464.0,651.0,48.0,40.6,40.2,17.9,1.3,10885
Whitebridge,268.0,362.0,102.0,9.0,36.2,48.9,13.8,1.2,14276
Gateshead,225.0,309.0,264.0,17.0,27.6,37.9,32.4,2.1,11594
Dudley,240.0,341.0,85.0,9.0,35.6,50.5,12.6,1.3,11300
Highfields (NSW),77.0,113.0,37.0,3.0,33.5,49.1,16.1,1.3,11902
Garden Suburb,207.0,256.0,62.0,5.0,39.1,48.3,11.7,0.9,11587
Cardiff (NSW),568.0,641.0,365.0,27.0,35.5,40.0,22.8,1.7,10809
Hillsborough (Lake Macquarie - NSW),69.0,88.0,37.0,0.0,35.6,45.4,19.1,0.0,11909
Warners Bay,894.0,824.0,397.0,30.0,41.7,38.4,18.5,1.4,14153
Argenton,121.0,122.0,111.0,11.0,33.2,33.4,30.4,3.0,10078
Glendale (NSW),301.0,357.0,177.0,8.0,35.7,42.3,21.0,0.9,11658
Elermore Vale,584.0,656.0,267.0,29.0,38.0,42.7,17.4,1.9,11394
Macquarie Hills,315.0,503.0,141.0,7.0,32.6,52.1,14.6,0.7,12434
Kotara,406.0,532.0,177.0,7.0,36.2,47.4,15.8,0.6,12200
Cardiff Heights,153.0,166.0,50.0,5.0,40.9,44.4,13.4,1.3,10810
Cardiff South,263.0,368.0,148.0,10.0,33.3,46.6,18.8,1.3,10811
New Lambton Heights,245.0,361.0,80.0,6.0,35.4,52.2,11.6,0.9,12943
Rankin Park,320.0,326.0,95.0,7.0,42.8,43.6,12.7,0.9,13315
Tingira Heights,175.0,293.0,115.0,3.0,29.9,50.0,19.6,0.5,13875
Mount Hutton (NSW),393.0,350.0,163.0,6.0,43.1,38.4,17.9,0.7,12766
Eleebana,672.0,832.0,150.0,14.0,40.3,49.9,9.0,0.8,11393
Redhead,353.0,437.0,124.0,4.0,38.5,47.6,13.5,0.4,13340
Caves Beach,495.0,504.0,170.0,8.0,42.1,42.8,14.4,0.7,10862
Nords Wharf,100.0,111.0,41.0,3.0,39.2,43.5,16.1,1.2,12975
Swansea (NSW),636.0,427.0,297.0,21.0,46.1,30.9,21.5,1.5,13711
Swansea Heads,53.0,92.0,24.0,0.0,31.4,54.4,14.2,0.0,13712
Catherine Hill Bay,18.0,14.0,3.0,0.0,51.4,40.0,8.6,0.0,10857
Cams Wharf,20.0,18.0,9.0,0.0,42.6,38.3,19.1,0.0,10784
Murrays Beach,85.0,99.0,8.0,0.0,44.3,51.6,4.2,0.0,12854
Valentine,687.0,779.0,170.0,4.0,41.9,47.5,10.4,0.2,14065
Croudace Bay,57.0,71.0,31.0,0.0,35.8,44.7,19.5,0.0,11128
Speers Point,400.0,369.0,148.0,14.0,43.0,39.6,15.9,1.5,13605
Lakelands (NSW),161.0,207.0,44.0,8.0,38.3,49.3,10.5,1.9,12256
Boolaroo,109.0,91.0,72.0,3.0,39.6,33.1,26.2,1.1,10482
Booragul,116.0,123.0,99.0,3.0,34.0,36.1,29.0,0.9,10495
Fennell Bay,223.0,150.0,107.0,4.0,46.1,31.0,22.1,0.8,11500
Marmong Point,82.0,93.0,33.0,0.0,39.4,44.7,15.9,0.0,12498
Woodrising,96.0,147.0,84.0,3.0,29.1,44.5,25.5,0.9,14391
Bolton Point,210.0,171.0,169.0,3.0,38.0,30.9,30.6,0.5,10449
Teralba,134.0,165.0,94.0,3.0,33.8,41.7,23.7,0.8,13793
Fassifern (NSW),73.0,63.0,33.0,3.0,42.4,36.6,19.2,1.7,11495
Balcolyn,120.0,103.0,42.0,3.0,44.8,38.4,15.7,1.1,10145
Yarrawonga Park,51.0,34.0,28.0,3.0,44.0,29.3,24.1,2.6,14487
Mirrabooka (NSW),79.0,85.0,47.0,0.0,37.4,40.3,22.3,0.0,12647
Sunshine (NSW),52.0,46.0,20.0,4.0,42.6,37.7,16.4,3.3,13694
Silverwater (Lake Macquarie - NSW),28.0,33.0,17.0,0.0,35.9,42.3,21.8,0.0,13546
Bonnells Bay,478.0,386.0,181.0,12.0,45.2,36.5,17.1,1.1,10468
Brightwaters,116.0,97.0,44.0,3.0,44.6,37.3,16.9,1.2,10570
Morisset Park,117.0,78.0,25.0,0.0,53.2,35.5,11.4,0.0,12724
Windermere Park,69.0,75.0,53.0,0.0,35.0,38.1,26.9,0.0,14321
Edgeworth,649.0,689.0,350.0,32.0,37.7,40.1,20.3,1.9,11381
Cameron Park,605.0,1302.0,230.0,20.0,28.0,60.4,10.7,0.9,10775
Cooranbong,602.0,609.0,204.0,18.0,42.0,42.5,14.2,1.3,11052
Wyee,254.0,280.0,91.0,3.0,40.4,44.6,14.5,0.5,14438
Morisset,414.0,216.0,155.0,13.0,51.9,27.1,19.4,1.6,12723
Wyee Point,130.0,154.0,37.0,3.0,40.1,47.5,11.4,0.9,14439
Mandalong,42.0,62.0,3.0,0.0,39.3,57.9,2.8,0.0,12465
Dora Creek,224.0,158.0,83.0,11.0,47.1,33.2,17.4,2.3,11277
Eraring,36.0,24.0,4.0,0.0,56.2,37.5,6.2,0.0,11429
Martinsville,51.0,46.0,12.0,0.0,46.8,42.2,11.0,0.0,12512
Blackalls Park,281.0,319.0,151.0,6.0,37.1,42.1,19.9,0.8,10390
Toronto,630.0,471.0,368.0,25.0,42.2,31.5,24.6,1.7,13918
Kilaben Bay,193.0,176.0,56.0,4.0,45.0,41.0,13.1,0.9,12125
Coal Point,258.0,207.0,50.0,3.0,49.8,40.0,9.7,0.6,10943
Awaba,32.0,58.0,18.0,7.0,27.8,50.4,15.7,6.1,10118
Carey Bay,122.0,62.0,31.0,0.0,56.7,28.8,14.4,0.0,10812
Buttaba,132.0,144.0,37.0,0.0,42.2,46.0,11.8,0.0,10723
Fishing Point,164.0,113.0,33.0,0.0,52.9,36.5,10.6,0.0,11526
Rathmines,252.0,221.0,90.0,6.0,44.3,38.8,15.8,1.1,13319
Wangi Wangi,424.0,263.0,113.0,12.0,52.2,32.4,13.9,1.5,14135
Arcadia Vale,167.0,171.0,68.0,4.0,40.7,41.7,16.6,1.0,10073
Balmoral (Lake Macquarie - NSW),88.0,95.0,32.0,5.0,40.0,43.2,14.5,2.3,10166
Holmesville,135.0,187.0,80.0,3.0,33.3,46.2,19.8,0.7,11924
Barnsley,162.0,238.0,81.0,9.0,33.1,48.6,16.5,1.8,10204
Seahampton,32.0,38.0,17.0,0.0,36.8,43.7,19.5,0.0,13511
West Wallsend,272.0,253.0,118.0,8.0,41.8,38.9,18.1,1.2,14253
Killingworth (NSW),54.0,108.0,28.0,0.0,28.4,56.8,14.7,0.0,12137
Wakefield,19.0,17.0,7.0,0.0,44.2,39.5,16.3,0.0,14088
Adamstown Heights,581.0,750.0,173.0,19.0,38.1,49.2,11.4,1.2,10017
Adamstown,528.0,697.0,286.0,27.0,34.3,45.3,18.6,1.8,10016
Kotara South,105.0,155.0,47.0,4.0,33.8,49.8,15.1,1.3,12201
Woodberry,256.0,290.0,245.0,16.0,31.7,35.9,30.4,2.0,14377
Beresfield,359.0,292.0,215.0,30.0,40.1,32.6,24.0,3.3,10301
Tarro,200.0,162.0,87.0,3.0,44.2,35.8,19.2,0.7,13771
Hamilton South,344.0,412.0,180.0,18.0,36.1,43.2,18.9,1.9,11841
Broadmeadow,149.0,145.0,93.0,10.0,37.5,36.5,23.4,2.5,10578
Hamilton East,107.0,124.0,25.0,7.0,40.7,47.1,9.5,2.7,11839
Newcastle West,66.0,17.0,18.0,0.0,65.3,16.8,17.8,0.0,12951
Hamilton North,80.0,82.0,56.0,5.0,35.9,36.8,25.1,2.2,11840
Hamilton (NSW),422.0,336.0,208.0,31.0,42.3,33.7,20.9,3.1,11838
New Lambton,926.0,1210.0,480.0,52.0,34.7,45.4,18.0,1.9,12942
Lambton,443.0,582.0,257.0,30.0,33.8,44.4,19.6,2.3,12264
Jesmond,172.0,251.0,131.0,32.0,29.4,42.8,22.4,5.5,12023
Maryland (Newcastle - NSW),665.0,1073.0,387.0,25.0,30.9,49.9,18.0,1.2,12514
Fletcher (NSW),361.0,876.0,154.0,13.0,25.7,62.4,11.0,0.9,11533
Minmi,62.0,105.0,39.0,0.0,30.1,51.0,18.9,0.0,12638
Warabrook,195.0,204.0,82.0,17.0,39.2,41.0,16.5,3.4,14140
Mayfield West,179.0,179.0,98.0,10.0,38.4,38.4,21.0,2.1,12536
Mayfield (Newcastle - NSW),874.0,793.0,533.0,72.0,38.5,34.9,23.5,3.2,12530
Mayfield East,180.0,142.0,93.0,13.0,42.1,33.2,21.7,3.0,12534
Merewether Heights,140.0,207.0,38.0,3.0,36.1,53.4,9.8,0.8,12574
Merewether,1094.0,1291.0,324.0,45.0,39.7,46.9,11.8,1.6,12573
The Junction,103.0,112.0,46.0,0.0,39.5,42.9,17.6,0.0,13827
Cooks Hill,396.0,238.0,154.0,17.0,49.2,29.6,19.1,2.1,11019
Bar Beach,118.0,122.0,26.0,10.0,42.8,44.2,9.4,3.6,10187
Newcastle,435.0,124.0,62.0,4.0,69.6,19.8,9.9,0.6,12949
The Hill,250.0,128.0,47.0,7.0,57.9,29.6,10.9,1.6,13826
Newcastle East,122.0,76.0,29.0,0.0,53.7,33.5,12.8,0.0,12950
Carrington (Newcastle - NSW),212.0,145.0,99.0,12.0,45.3,31.0,21.2,2.6,10830
Shortland,375.0,351.0,218.0,27.0,38.6,36.1,22.5,2.8,13542
Birmingham Gardens,162.0,167.0,102.0,25.0,35.5,36.6,22.4,5.5,10377
Sandgate (NSW),10.0,10.0,13.0,0.0,30.3,30.3,39.4,0.0,13474
North Lambton,300.0,290.0,188.0,20.0,37.6,36.3,23.6,2.5,12993
Stockton (NSW),410.0,392.0,204.0,23.0,39.8,38.1,19.8,2.2,13662
Fern Bay,465.0,257.0,74.0,4.0,58.1,32.1,9.2,0.5,11501
Fullerton Cove,127.0,45.0,18.0,0.0,66.8,23.7,9.5,0.0,11575
Wallsend,1251.0,1246.0,696.0,66.0,38.4,38.2,21.4,2.0,14118
Georgetown (NSW),206.0,207.0,116.0,8.0,38.4,38.5,21.6,1.5,11603
Waratah West,270.0,239.0,158.0,32.0,38.6,34.2,22.6,4.6,14142
Waratah (NSW),396.0,362.0,233.0,27.0,38.9,35.6,22.9,2.7,14141
Wickham (NSW),158.0,54.0,49.0,0.0,60.5,20.7,18.8,0.0,14285
Maryville,172.0,127.0,83.0,4.0,44.6,32.9,21.5,1.0,12518
Tighes Hill,149.0,151.0,94.0,10.0,36.9,37.4,23.3,2.5,13863
Islington,200.0,127.0,102.0,20.0,44.5,28.3,22.7,4.5,11990
Ballina,982.0,525.0,479.0,45.0,48.4,25.8,23.6,2.2,10162
West Ballina,462.0,203.0,179.0,8.0,54.2,23.8,21.0,0.9,14240
East Ballina,815.0,525.0,234.0,19.0,51.2,33.0,14.7,1.2,11345
Skennars Head,146.0,144.0,33.0,0.0,45.2,44.6,10.2,0.0,13554
Alstonville,719.0,559.0,270.0,23.0,45.8,35.6,17.2,1.5,10046
Wollongbar,334.0,345.0,143.0,5.0,40.4,41.7,17.3,0.6,14357
Wardell,85.0,66.0,41.0,3.0,43.6,33.8,21.0,1.5,14144
East Wardell,36.0,31.0,20.0,0.0,41.4,35.6,23.0,0.0,11365
Empire Vale,21.0,25.0,4.0,0.0,42.0,50.0,8.0,0.0,11416
Meerschaum Vale,47.0,47.0,14.0,0.0,43.5,43.5,13.0,0.0,12556
Dalwood (Ballina - NSW),36.0,29.0,10.0,0.0,48.0,38.7,13.3,0.0,11195
Marom Creek,16.0,18.0,5.0,0.0,41.0,46.2,12.8,0.0,12499
Rous,26.0,26.0,11.0,0.0,41.3,41.3,17.5,0.0,13427
Pimlico (NSW),40.0,31.0,9.0,0.0,50.0,38.8,11.2,0.0,13207
Coolgardie (NSW),21.0,9.0,3.0,0.0,63.6,27.3,9.1,0.0,11031
Keith Hall,16.0,23.0,3.0,0.0,38.1,54.8,7.1,0.0,12086
Uralba,42.0,19.0,5.0,0.0,63.6,28.8,7.6,0.0,14050
Tuckombil,38.0,32.0,4.0,0.0,51.4,43.2,5.4,0.0,13947
Fernleigh,39.0,39.0,6.0,0.0,46.4,46.4,7.1,0.0,11508
Tintenbar,83.0,102.0,23.0,6.0,38.8,47.7,10.7,2.8,13878
Cumbalum,168.0,218.0,45.0,4.0,38.6,50.1,10.3,0.9,11154
Brooklet,26.0,34.0,8.0,0.0,38.2,50.0,11.8,0.0,10598
Knockrow,25.0,25.0,4.0,0.0,46.3,46.3,7.4,0.0,12178
Newrybar,70.0,56.0,11.0,0.0,51.1,40.9,8.0,0.0,12957
Alstonvale,60.0,56.0,12.0,3.0,45.8,42.7,9.2,2.3,10045
Teven,42.0,29.0,3.0,0.0,56.8,39.2,4.1,0.0,13807
Pearces Creek,8.0,30.0,4.0,0.0,19.0,71.4,9.5,0.0,13170
Lynwood (NSW),30.0,28.0,7.0,0.0,46.2,43.1,10.8,0.0,12427
Rous Mill,26.0,18.0,9.0,0.0,49.1,34.0,17.0,0.0,13428
Ewingsdale,87.0,74.0,29.0,0.0,45.8,38.9,15.3,0.0,11474
Eureka (NSW),42.0,40.0,8.0,0.0,46.7,44.4,8.9,0.0,11461
Coorabell,52.0,42.0,8.0,3.0,49.5,40.0,7.6,2.9,11051
Possum Creek,33.0,30.0,12.0,0.0,44.0,40.0,16.0,0.0,13252
Bangalow,178.0,250.0,94.0,4.0,33.8,47.5,17.9,0.8,10174
Coopers Shoot,46.0,23.0,10.0,0.0,58.2,29.1,12.7,0.0,11049
Skinners Shoot,11.0,10.0,0.0,0.0,52.4,47.6,0.0,0.0,13556
Talofa,11.0,11.0,8.0,0.0,36.7,36.7,26.7,0.0,13739
Nashua,26.0,28.0,11.0,0.0,40.0,43.1,16.9,0.0,12914
Federal (NSW),75.0,69.0,40.0,0.0,40.8,37.5,21.7,0.0,11499
Binna Burra (NSW),23.0,21.0,10.0,0.0,42.6,38.9,18.5,0.0,10371
Brunswick Heads,173.0,120.0,113.0,8.0,41.8,29.0,27.3,1.9,10621
Ocean Shores,531.0,501.0,325.0,16.0,38.7,36.5,23.7,1.2,13070
New Brighton,38.0,28.0,16.0,0.0,46.3,34.1,19.5,0.0,12939
South Golden Beach,62.0,85.0,54.0,0.0,30.8,42.3,26.9,0.0,13581
Wooyung,12.0,8.0,5.0,0.0,48.0,32.0,20.0,0.0,14418
Byron Bay,452.0,337.0,199.0,26.0,44.6,33.2,19.6,2.6,10733
Suffolk Park,347.0,365.0,172.0,16.0,38.6,40.6,19.1,1.8,13684
Broken Head,33.0,25.0,4.0,0.0,53.2,40.3,6.5,0.0,10591
Woodburn (Richmond Valley - NSW),69.0,64.0,47.0,5.0,37.3,34.6,25.4,2.7,14379
Broadwater (Richmond Valley - NSW),78.0,66.0,24.0,0.0,46.4,39.3,14.3,0.0,10580
Rileys Hill,25.0,25.0,3.0,0.0,47.2,47.2,5.7,0.0,13364
Evans Head,376.0,216.0,154.0,11.0,49.7,28.5,20.3,1.5,11469
Bungawalbin,15.0,8.0,3.0,0.0,57.7,30.8,11.5,0.0,10683
New Italy,23.0,17.0,3.0,0.0,53.5,39.5,7.0,0.0,12941
Swan Bay (Richmond Valley - NSW),23.0,34.0,5.0,0.0,37.1,54.8,8.1,0.0,13705
Doonbah,41.0,13.0,8.0,3.0,63.1,20.0,12.3,4.6,11274
Lennox Head,715.0,800.0,261.0,8.0,40.1,44.8,14.6,0.4,12303
Myocum,119.0,94.0,38.0,0.0,47.4,37.5,15.1,0.0,12877
Billinudgel,22.0,23.0,10.0,0.0,40.0,41.8,18.2,0.0,10355
Yelgun,12.0,10.0,5.0,0.0,44.4,37.0,18.5,0.0,14499
The Pocket,25.0,34.0,9.0,0.0,36.8,50.0,13.2,0.0,13834
Middle Pocket,12.0,19.0,9.0,0.0,30.0,47.5,22.5,0.0,12606
Main Arm,57.0,59.0,25.0,0.0,40.4,41.8,17.7,0.0,12445
Upper Main Arm,20.0,16.0,10.0,0.0,43.5,34.8,21.7,0.0,14035
Mullumbimby,294.0,347.0,244.0,14.0,32.7,38.6,27.1,1.6,12828
Mullumbimby Creek,49.0,64.0,30.0,0.0,34.3,44.8,21.0,0.0,12829
Wilsons Creek,35.0,38.0,17.0,0.0,38.9,42.2,18.9,0.0,14310
Goonengerry,33.0,28.0,21.0,3.0,38.8,32.9,24.7,3.5,11712
Huonbrook,14.0,8.0,6.0,0.0,50.0,28.6,21.4,0.0,11962
Whian Whian,16.0,18.0,3.0,0.0,43.2,48.6,8.1,0.0,14272
Yorklea,48.0,49.0,12.0,0.0,44.0,45.0,11.0,0.0,14517
Casino,1067.0,947.0,668.0,61.0,38.9,34.5,24.4,2.2,10843
North Casino,105.0,143.0,13.0,3.0,39.8,54.2,4.9,1.1,12987
Fairy Hill,53.0,48.0,13.0,0.0,46.5,42.1,11.4,0.0,11483
Bonalbo,46.0,14.0,23.0,0.0,55.4,16.9,27.7,0.0,10463
Coraki,124.0,105.0,74.0,7.0,40.0,33.9,23.9,2.3,11063
Mallanganee,23.0,9.0,12.0,0.0,52.3,20.5,27.3,0.0,12457
Dobies Bight,16.0,16.0,4.0,0.0,44.4,44.4,11.1,0.0,11262
Backmede,14.0,25.0,4.0,0.0,32.6,58.1,9.3,0.0,10130
Stratheden,37.0,27.0,3.0,0.0,55.2,40.3,4.5,0.0,13674
Woodview,18.0,15.0,5.0,0.0,47.4,39.5,13.2,0.0,14397
Bentley (NSW),35.0,19.0,6.0,0.0,58.3,31.7,10.0,0.0,10298
Spring Grove,55.0,61.0,12.0,0.0,43.0,47.7,9.4,0.0,13614
Greenridge,9.0,25.0,4.0,0.0,23.7,65.8,10.5,0.0,11768
McKees Hill,30.0,53.0,5.0,0.0,34.1,60.2,5.7,0.0,12543
Tatham,28.0,18.0,3.0,5.0,51.9,33.3,5.6,9.3,13773
West Coraki,17.0,11.0,4.0,0.0,53.1,34.4,12.5,0.0,14243
Ellangowan (NSW),38.0,24.0,24.0,0.0,44.2,27.9,27.9,0.0,11400
Leeville,30.0,29.0,11.0,0.0,42.9,41.4,15.7,0.0,12295
Shannon Brook,19.0,17.0,11.0,0.0,40.4,36.2,23.4,0.0,13525
Rappville,17.0,16.0,7.0,0.0,42.5,40.0,17.5,0.0,13318
Goonellabah,1360.0,1204.0,745.0,44.0,40.6,35.9,22.2,1.3,11711
Chilcotts Grass,27.0,25.0,10.0,0.0,43.5,40.3,16.1,0.0,10903
Eden Creek,24.0,9.0,5.0,0.0,63.2,23.7,13.2,0.0,11376
West Wiangaree,16.0,14.0,5.0,0.0,45.7,40.0,14.3,0.0,14254
Wiangaree,15.0,10.0,10.0,0.0,42.9,28.6,28.6,0.0,14283
Ettrick (NSW),14.0,12.0,9.0,0.0,40.0,34.3,25.7,0.0,11448
Kyogle,217.0,147.0,141.0,13.0,41.9,28.4,27.2,2.5,12229
Cedar Point,25.0,23.0,3.0,0.0,49.0,45.1,5.9,0.0,10871
Geneva,103.0,59.0,27.0,3.0,53.6,30.7,14.1,1.6,11599
Upper Horseshoe Creek,8.0,14.0,7.0,0.0,27.6,48.3,24.1,0.0,14028
Barkers Vale,14.0,11.0,10.0,0.0,40.0,31.4,28.6,0.0,10201
Wadeville,22.0,8.0,8.0,0.0,57.9,21.1,21.1,0.0,14082
Lillian Rock,19.0,12.0,7.0,0.0,50.0,31.6,18.4,0.0,12323
Fawcetts Plain,23.0,15.0,3.0,0.0,56.1,36.6,7.3,0.0,11498
New Park,20.0,20.0,5.0,0.0,44.4,44.4,11.1,0.0,12945
Homeleigh,17.0,7.0,3.0,0.0,63.0,25.9,11.1,0.0,11931
Green Pigeon,18.0,17.0,4.0,0.0,46.2,43.6,10.3,0.0,11752
Collins Creek,20.0,15.0,4.0,0.0,51.3,38.5,10.3,0.0,10978
East Lismore,383.0,412.0,323.0,15.0,33.8,36.4,28.5,1.3,11358
Lismore (NSW),228.0,263.0,232.0,34.0,30.1,34.7,30.6,4.5,12344
Lismore Heights,250.0,169.0,149.0,8.0,43.4,29.3,25.9,1.4,12345
South Lismore,112.0,153.0,135.0,11.0,27.3,37.2,32.8,2.7,13589
Girards Hill,119.0,98.0,90.0,7.0,37.9,31.2,28.7,2.2,11631
Monaltrie,26.0,23.0,7.0,0.0,46.4,41.1,12.5,0.0,12674
North Lismore,63.0,57.0,57.0,9.0,33.9,30.6,30.6,4.8,12994
Loftville,16.0,12.0,15.0,0.0,37.2,27.9,34.9,0.0,12372
Modanville,71.0,81.0,17.0,0.0,42.0,47.9,10.1,0.0,12655
Clunes (NSW),112.0,101.0,33.0,3.0,45.0,40.6,13.3,1.2,10939
Terania Creek,17.0,22.0,8.0,0.0,36.2,46.8,17.0,0.0,13794
The Channon,40.0,39.0,14.0,3.0,41.7,40.6,14.6,3.1,13816
Koonorigan,44.0,31.0,21.0,0.0,45.8,32.3,21.9,0.0,12188
Rosebank,62.0,30.0,18.0,3.0,54.9,26.5,15.9,2.7,13401
Corndale (NSW),46.0,42.0,9.0,0.0,47.4,43.3,9.3,0.0,11076
East Coraki,28.0,29.0,10.0,0.0,41.8,43.3,14.9,0.0,11347
Tregeagle,64.0,57.0,15.0,0.0,47.1,41.9,11.0,0.0,13933
Wyrallah,62.0,54.0,16.0,0.0,47.0,40.9,12.1,0.0,14449
South Gundurimba,35.0,47.0,10.0,0.0,38.0,51.1,10.9,0.0,13585
Caniaba,69.0,95.0,17.0,0.0,38.1,52.5,9.4,0.0,10790
Booerie Creek,24.0,11.0,10.0,0.0,53.3,24.4,22.2,0.0,10475
Goolmangar,23.0,18.0,4.0,0.0,51.1,40.0,8.9,0.0,11708
Keerrong,12.0,18.0,11.0,0.0,29.3,43.9,26.8,0.0,12083
Tullera,34.0,36.0,3.0,0.0,46.6,49.3,4.1,0.0,13956
Bexhill,59.0,66.0,19.0,0.0,41.0,45.8,13.2,0.0,10333
Richmond Hill (NSW),135.0,93.0,30.0,3.0,51.7,35.6,11.5,1.1,13361
McLeans Ridges,72.0,71.0,13.0,0.0,46.2,45.5,8.3,0.0,12545
Eltham (NSW),44.0,51.0,8.0,0.0,42.7,49.5,7.8,0.0,11409
Lindendale,36.0,27.0,10.0,0.0,49.3,37.0,13.7,0.0,12336
Nimbin,110.0,85.0,106.0,8.0,35.6,27.5,34.3,2.6,12965
Stony Chute,20.0,12.0,6.0,0.0,52.6,31.6,15.8,0.0,13667
Blue Knob,24.0,11.0,14.0,0.0,49.0,22.4,28.6,0.0,10416
Tuntable Creek,20.0,10.0,16.0,3.0,40.8,20.4,32.7,6.1,13971
Coffee Camp,26.0,17.0,16.0,0.0,44.1,28.8,27.1,0.0,10958
Tucki Tucki,19.0,19.0,6.0,0.0,43.2,43.2,13.6,0.0,13946
Larnook,33.0,31.0,20.0,0.0,39.3,36.9,23.8,0.0,12279
Georgica,34.0,20.0,7.0,0.0,55.7,32.8,11.5,0.0,11604
Jiggi,46.0,40.0,12.0,0.0,46.9,40.8,12.2,0.0,12026
Rock Valley,40.0,25.0,9.0,0.0,54.1,33.8,12.2,0.0,13378
Leycester,24.0,14.0,3.0,0.0,58.5,34.1,7.3,0.0,12314
Dunoon,78.0,66.0,36.0,0.0,43.3,36.7,20.0,0.0,11325
