,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Davistown,998.0,128.0,88.6,11.4,11221
Yattalunga (NSW),190.0,19.0,90.9,9.1,14496
North Avoca,741.0,245.0,75.2,24.8,12980
Umina Beach,6376.0,909.0,87.5,12.5,14007
Booker Bay,580.0,124.0,82.4,17.6,10477
Ettalong Beach,2229.0,434.0,83.7,16.3,11445
Pearl Beach,229.0,359.0,38.9,61.1,13171
Wamberal,2135.0,361.0,85.5,14.5,14122
Forresters Beach,1033.0,145.0,87.7,12.3,11549
Tumbi Umbi,1747.0,155.0,91.9,8.1,13962
Horsfield Bay,174.0,29.0,85.7,14.3,11941
Phegans Bay,154.0,25.0,86.0,14.0,13192
Woy Woy Bay,151.0,35.0,81.2,18.8,14426
Blackwall (NSW),764.0,96.0,88.8,11.2,10399
Wyoming,3689.0,289.0,92.7,7.3,14445
Bateau Bay,4489.0,435.0,91.2,8.8,10227
Killarney Vale,2535.0,229.0,91.7,8.3,12131
Blue Haven,2095.0,149.0,93.4,6.6,10415
San Remo (NSW),1495.0,140.0,91.4,8.6,13470
Doyalson,109.0,4.0,96.5,3.5,11286
Buff Point,1289.0,148.0,89.7,10.3,10645
Budgewoi,1380.0,239.0,85.2,14.8,10642
Halekulani,1055.0,110.0,90.6,9.4,11830
Glenning Valley,659.0,34.0,95.1,4.9,11672
Berkeley Vale,2930.0,223.0,92.9,7.1,10304
Chittaway Point,327.0,46.0,87.7,12.3,10912
Chittaway Bay,689.0,61.0,91.9,8.1,10911
Kanwal,1334.0,83.0,94.1,5.9,12067
Wyongah,678.0,54.0,92.6,7.4,14448
Tuggerawong,461.0,50.0,90.2,9.8,13951
Rocky Point (NSW),94.0,8.0,92.2,7.8,13388
Gorokan,3303.0,323.0,91.1,8.9,11721
Charmhaven,853.0,70.0,92.4,7.6,10889
Lake Haven,1455.0,140.0,91.2,8.8,12247
Jilliby,449.0,49.0,90.2,9.8,12027
Yarramalong,121.0,21.0,85.2,14.8,14475
Cedar Brush Creek,41.0,9.0,82.0,18.0,10867
Wyong Creek,141.0,15.0,90.4,9.6,14447
Dooralong,94.0,7.0,93.1,6.9,11276
Lake Munmorah,2072.0,186.0,91.8,8.2,12253
Chain Valley Bay,1034.0,109.0,90.5,9.5,10880
Kingfisher Shores,67.0,6.0,91.8,8.2,12146
Mannering Park,904.0,150.0,85.8,14.2,12477
Doyalson North,212.0,13.0,94.2,5.8,11287
Ourimbah,1374.0,98.0,93.3,6.7,13103
Fountaindale,203.0,15.0,93.1,6.9,11554
Palm Grove (NSW),41.0,0.0,100.0,0.0,13133
Gwandalan,1213.0,232.0,83.9,16.1,11824
Summerland Point,957.0,255.0,79.0,21.0,13690
Long Jetty,2689.0,517.0,83.9,16.1,12378
Shelly Beach (NSW),471.0,56.0,89.4,10.6,13535
Blue Bay,434.0,205.0,67.9,32.1,10414
Toowoon Bay,247.0,89.0,73.5,26.5,13916
The Entrance North,564.0,284.0,66.5,33.5,13819
Magenta (NSW),81.0,182.0,30.8,69.2,12441
The Entrance,1858.0,1157.0,61.6,38.4,13818
Toukley,1840.0,239.0,88.5,11.5,13925
Canton Beach,577.0,74.0,88.6,11.4,10798
Noraville,1062.0,162.0,86.8,13.2,12974
Norah Head,389.0,82.0,82.6,17.4,12973
Kangy Angy,105.0,12.0,89.7,10.3,12064
Tuggerah,344.0,35.0,90.8,9.2,13950
Wyong,1695.0,146.0,92.1,7.9,14446
Mardi,1164.0,92.0,92.7,7.3,12488
Tacoma South,90.0,11.0,89.1,10.9,13725
Hamlyn Terrace,1862.0,100.0,94.9,5.1,11843
Woongarrah,1520.0,81.0,94.9,5.1,14415
Warnervale,195.0,14.0,93.3,6.7,14154
Wallarah,97.0,7.0,93.3,6.7,14109
Wadalba,952.0,80.0,92.2,7.8,14080
Watanobbi,1337.0,87.0,93.9,6.1,14181
Tacoma,188.0,13.0,93.5,6.5,13724
Llanarth (NSW),700.0,65.0,91.5,8.5,12362
South Bathurst,611.0,100.0,85.9,14.1,13577
Bathurst,2993.0,578.0,83.8,16.2,10231
Robin Hill,300.0,19.0,94.0,6.0,13375
West Bathurst,1440.0,188.0,88.5,11.5,14241
Mitchell (NSW),108.0,27.0,80.0,20.0,12650
Gormans Hill,317.0,37.0,89.5,10.5,11720
Abercrombie,347.0,22.0,94.0,6.0,10004
Eglinton (NSW),748.0,43.0,94.6,5.4,11386
Windradyne,1091.0,117.0,90.3,9.7,14324
Raglan (NSW),398.0,26.0,93.9,6.1,13304
White Rock (NSW),211.0,19.0,91.7,8.3,14275
Kelso (NSW),2954.0,285.0,91.2,8.8,12090
O'Connell (NSW),185.0,37.0,83.3,16.7,13052
Brewongle,51.0,6.0,89.5,10.5,10564
Trunkey Creek,42.0,11.0,79.2,20.8,13942
Perthville,202.0,10.0,95.3,4.7,13189
Sofala,60.0,39.0,60.6,39.4,13569
Wattle Flat (NSW),109.0,32.0,77.3,22.7,14191
Peel,87.0,9.0,90.6,9.4,13174
Limekilns,35.0,13.0,72.9,27.1,12330
Rockley,72.0,20.0,78.3,21.7,13380
Georges Plains,70.0,6.0,92.1,7.9,11602
Billywillinga,60.0,15.0,80.0,20.0,10357
Mount Rankin,112.0,22.0,83.6,16.4,12786
Rock Forest,70.0,10.0,87.5,12.5,13377
Evans Plains,47.0,7.0,87.0,13.0,11470
The Lagoon,73.0,11.0,86.9,13.1,13828
Wisemans Creek,40.0,11.0,78.4,21.6,14343
