,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%)
Enmore (Marrickville - NSW),1040.0,935.0,222.0,118.0,33.1,29.7,7.1,3.8
Epping (NSW),4322.0,4374.0,2200.0,1659.0,25.5,25.9,13.0,9.8
Erina,678.0,927.0,473.0,421.0,16.9,23.2,11.8,10.5
Ermington,1654.0,1756.0,808.0,766.0,21.6,22.9,10.5,10.0
Erskine Park,1266.0,1339.0,605.0,456.0,24.5,26.0,11.7,8.8
Erskineville,2322.0,2006.0,444.0,197.0,38.1,32.9,7.3,3.2
Eschol Park,461.0,506.0,228.0,233.0,22.3,24.5,11.1,11.3
Ettalong Beach,690.0,933.0,466.0,449.0,17.7,23.9,11.9,11.5
Fairfield (NSW),2241.0,2164.0,960.0,1083.0,16.6,16.1,7.1,8.0
Fairfield East,682.0,660.0,299.0,310.0,17.4,16.9,7.6,7.9
Fairfield Heights,875.0,821.0,436.0,466.0,16.7,15.6,8.3,8.9
Fairfield West,1553.0,1608.0,684.0,756.0,18.4,19.0,8.1,9.0
Fairlight,1336.0,1417.0,470.0,340.0,29.4,31.1,10.3,7.5
Fairy Meadow,1261.0,1356.0,614.0,554.0,23.0,24.7,11.2,10.1
Farmborough Heights,779.0,890.0,442.0,355.0,23.8,27.2,13.5,10.8
Faulconbridge,697.0,1032.0,527.0,368.0,22.0,32.6,16.6,11.6
Fennell Bay,241.0,305.0,167.0,176.0,19.8,25.0,13.7,14.4
Figtree,1797.0,2250.0,1255.0,954.0,21.3,26.6,14.9,11.3
Five Dock,1848.0,2016.0,777.0,567.0,25.7,28.0,10.8,7.9
Fletcher (NSW),458.0,583.0,293.0,209.0,23.6,30.1,15.1,10.8
Flinders (NSW),859.0,1077.0,532.0,414.0,22.4,28.1,13.9,10.8
Floraville,284.0,346.0,174.0,121.0,24.0,29.2,14.7,10.2
Forest Lodge,881.0,724.0,165.0,121.0,36.8,30.2,6.9,5.1
Forestville (NSW),1373.0,1715.0,851.0,662.0,22.7,28.3,14.1,10.9
Forresters Beach,463.0,570.0,305.0,205.0,23.5,28.9,15.5,10.4
Frenchs Forest,2356.0,2961.0,1537.0,1088.0,23.4,29.4,15.3,10.8
Garden Suburb,360.0,419.0,232.0,177.0,23.6,27.4,15.2,11.6
Gateshead,488.0,651.0,343.0,362.0,17.4,23.2,12.2,12.9
Georges Hall,1308.0,1496.0,753.0,755.0,19.1,21.8,11.0,11.0
Georgetown (NSW),406.0,515.0,191.0,157.0,24.9,31.6,11.7,9.6
Girraween (NSW),726.0,874.0,421.0,402.0,20.0,24.1,11.6,11.1
Gladesville,2354.0,2579.0,1063.0,748.0,26.5,29.0,11.9,8.4
Glebe (NSW),3148.0,2658.0,789.0,452.0,31.4,26.6,7.9,4.5
Glen Alpine,955.0,971.0,433.0,305.0,26.4,26.8,12.0,8.4
Glenbrook,958.0,1211.0,619.0,465.0,24.7,31.2,16.0,12.0
Glendale (NSW),513.0,729.0,363.0,318.0,19.3,27.4,13.7,12.0
Glendenning,812.0,904.0,393.0,350.0,22.7,25.3,11.0,9.8
Glenfield (NSW),1348.0,1425.0,615.0,542.0,22.0,23.2,10.0,8.8
Glenhaven,1184.0,1371.0,730.0,544.0,23.8,27.6,14.7,10.9
Glenmore Park,3723.0,4389.0,1891.0,1502.0,24.9,29.4,12.7,10.1
Glenning Valley,372.0,461.0,236.0,195.0,23.4,29.0,14.8,12.3
Glenwood (NSW),2811.0,3095.0,1346.0,1082.0,25.0,27.5,12.0,9.6
Gordon (NSW),1334.0,1406.0,749.0,508.0,24.9,26.2,14.0,9.5
Gorokan,1116.0,1477.0,762.0,777.0,17.9,23.6,12.2,12.4
Gosford,788.0,866.0,230.0,184.0,25.5,28.0,7.4,6.0
Granville (NSW),2156.0,2143.0,895.0,863.0,19.2,19.1,8.0,7.7
Grays Point,525.0,626.0,382.0,224.0,23.3,27.8,16.9,9.9
Green Point (Great Lakes - NSW),85.0,132.0,72.0,73.0,17.8,27.6,15.1,15.3
Green Valley (NSW),1979.0,1806.0,822.0,789.0,20.9,19.1,8.7,8.3
Greenacre,3144.0,3014.0,1494.0,1725.0,18.0,17.3,8.6,9.9
Greenfield Park,780.0,720.0,339.0,319.0,20.6,19.0,9.0,8.4
Greenwich,1237.0,1315.0,538.0,336.0,28.6,30.4,12.4,7.8
Greystanes,3662.0,4064.0,2050.0,1920.0,21.1,23.4,11.8,11.1
