,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Barnsley,48.0,0.0,39.0,0.0,53.9,0.0,43.8,0.0
Barrack Heights,234.0,298.0,106.0,9.0,36.3,46.2,16.4,1.4
Barrack Point,23.0,0.0,17.0,0.0,57.5,0.0,42.5,0.0
Bass Hill,205.0,344.0,215.0,6.0,26.3,44.2,27.6,0.8
Bateau Bay,393.0,265.0,241.0,12.0,43.0,29.0,26.4,1.3
Baulkham Hills,982.0,59.0,429.0,11.0,66.2,4.0,28.9,0.7
Bayview,34.0,0.0,41.0,0.0,39.5,0.0,47.7,0.0
Beacon Hill,131.0,13.0,88.0,6.0,54.8,5.4,36.8,2.5
Beaconsfield,62.0,0.0,46.0,0.0,55.4,0.0,41.1,0.0
Beecroft,157.0,0.0,108.0,0.0,59.2,0.0,40.8,0.0
Belfield,174.0,199.0,104.0,6.0,36.3,41.5,21.7,1.3
Bella Vista,81.0,0.0,36.0,0.0,67.5,0.0,30.0,0.0
Bellambi,217.0,558.0,82.0,16.0,24.9,63.9,9.4,1.8
Bellevue Hill,752.0,0.0,477.0,12.0,60.5,0.0,38.4,1.0
Belmont,361.0,114.0,212.0,7.0,51.6,16.3,30.3,1.0
Belmont North,137.0,136.0,120.0,3.0,34.6,34.3,30.3,0.8
Belmont South,87.0,67.0,44.0,0.0,44.8,34.5,22.7,0.0
Belmore,938.0,165.0,319.0,25.0,65.0,11.4,22.1,1.7
Belrose,98.0,3.0,105.0,0.0,49.0,1.5,52.5,0.0
Bensville,27.0,0.0,17.0,0.0,73.0,0.0,45.9,0.0
Berala,526.0,116.0,174.0,12.0,63.8,14.1,21.1,1.5
Berkeley,94.0,730.0,101.0,14.0,10.0,77.4,10.7,1.5
Berkeley Vale,285.0,43.0,185.0,9.0,54.4,8.2,35.3,1.7
Berowra,82.0,6.0,96.0,6.0,44.3,3.2,51.9,3.2
Berowra Heights,91.0,0.0,71.0,0.0,56.9,0.0,44.4,0.0
Beverley Park,76.0,0.0,27.0,0.0,76.8,0.0,27.3,0.0
Beverly Hills,382.0,186.0,143.0,6.0,53.4,26.0,20.0,0.8
Bexley,920.0,20.0,479.0,22.0,63.9,1.4,33.3,1.5
Bexley North,135.0,99.0,81.0,3.0,41.2,30.2,24.7,0.9
Bidwill,32.0,889.0,25.0,16.0,3.3,92.6,2.6,1.7
Birchgrove,266.0,44.0,153.0,3.0,56.8,9.4,32.7,0.6
Birmingham Gardens,97.0,3.0,82.0,3.0,50.5,1.6,42.7,1.6
Birrong,63.0,34.0,39.0,0.0,46.3,25.0,28.7,0.0
Blackalls Park,99.0,40.0,60.0,6.0,48.3,19.5,29.3,2.9
Blackbutt,111.0,111.0,43.0,0.0,41.1,41.1,15.9,0.0
Blackett,82.0,331.0,50.0,6.0,17.5,70.7,10.7,1.3
Blacksmiths,84.0,25.0,56.0,3.0,48.8,14.5,32.6,1.7
Blacktown,2079.0,655.0,815.0,41.0,57.9,18.3,22.7,1.1
Blackwall,111.0,16.0,61.0,6.0,58.1,8.4,31.9,3.1
Blairmount,25.0,0.0,8.0,0.0,73.5,0.0,23.5,0.0
Blakehurst,136.0,9.0,74.0,0.0,61.0,4.0,33.2,0.0
Blaxland,201.0,90.0,123.0,6.0,48.8,21.8,29.9,1.5
Blue Bay,105.0,17.0,47.0,0.0,63.3,10.2,28.3,0.0
Blue Haven,283.0,26.0,87.0,6.0,71.3,6.5,21.9,1.5
Bolton Point,35.0,317.0,33.0,0.0,9.0,81.7,8.5,0.0
Bondi,1142.0,82.0,700.0,24.0,58.9,4.2,36.1,1.2
Bondi Beach,1801.0,76.0,762.0,31.0,67.4,2.8,28.5,1.2
Bondi Junction,980.0,40.0,545.0,18.0,62.0,2.5,34.5,1.1
Bonnet Bay,23.0,0.0,8.0,0.0,67.6,0.0,23.5,0.0
Bonnyrigg,124.0,873.0,89.0,13.0,11.3,79.3,8.1,1.2
Bonnyrigg Heights,121.0,55.0,79.0,0.0,48.6,22.1,31.7,0.0
Booker Bay,144.0,8.0,58.0,3.0,66.1,3.7,26.6,1.4
Boolaroo,61.0,3.0,20.0,6.0,73.5,3.6,24.1,7.2
Booragul,38.0,143.0,48.0,3.0,17.3,65.0,21.8,1.4
Bossley Park,367.0,207.0,160.0,13.0,49.1,27.7,21.4,1.7
Botany,362.0,158.0,199.0,6.0,49.7,21.7,27.3,0.8
Bow Bowing,43.0,0.0,27.0,0.0,55.8,0.0,35.1,0.0
Bradbury,305.0,235.0,169.0,6.0,42.9,33.1,23.8,0.8
Broadmeadow,129.0,13.0,129.0,0.0,48.0,4.8,48.0,0.0
Bronte,636.0,28.0,368.0,3.0,61.0,2.7,35.3,0.3
Brookvale,125.0,71.0,105.0,0.0,42.1,23.9,35.4,0.0
Budgewoi,194.0,27.0,109.0,9.0,58.8,8.2,33.0,2.7
Buff Point,165.0,28.0,71.0,3.0,59.6,10.1,25.6,1.1
Bulli,166.0,248.0,129.0,3.0,30.5,45.6,23.7,0.6
Burwood,1115.0,165.0,485.0,28.0,62.3,9.2,27.1,1.6
Burwood Heights,21.0,0.0,21.0,0.0,50.0,0.0,50.0,0.0
Busby,81.0,405.0,65.0,9.0,14.6,72.8,11.7,1.6
Cabarita,41.0,6.0,25.0,0.0,63.1,9.2,38.5,0.0
Cabramatta,1768.0,226.0,703.0,79.0,63.8,8.2,25.4,2.9
Cabramatta West,134.0,242.0,142.0,10.0,25.4,45.9,26.9,1.9
Cambridge Gardens,52.0,8.0,28.0,0.0,55.3,8.5,29.8,0.0
Cambridge Park,217.0,47.0,144.0,6.0,53.1,11.5,35.2,1.5
Camden,152.0,93.0,90.0,9.0,44.2,27.0,26.2,2.6
Camden South,119.0,12.0,62.0,3.0,61.7,6.2,32.1,1.6
Cammeray,748.0,34.0,395.0,6.0,62.9,2.9,33.2,0.5
Campbelltown,680.0,308.0,247.0,20.0,54.1,24.5,19.7,1.6
Camperdown,555.0,146.0,212.0,15.0,60.3,15.9,23.0,1.6
Campsie,2308.0,226.0,693.0,50.0,70.3,6.9,21.1,1.5
Canada Bay,98.0,22.0,43.0,0.0,62.4,14.0,27.4,0.0
Canley Heights,260.0,255.0,223.0,21.0,34.6,33.9,29.7,2.8
Canley Vale,469.0,269.0,374.0,25.0,41.5,23.8,33.1,2.2
Canterbury,390.0,10.0,183.0,13.0,65.0,1.7,30.5,2.2
Canton Beach,31.0,0.0,74.0,3.0,29.0,0.0,69.2,2.8
Cardiff,231.0,28.0,168.0,4.0,53.2,6.5,38.7,0.9
Cardiff Heights,50.0,0.0,31.0,3.0,61.7,0.0,38.3,3.7
Cardiff South,110.0,9.0,84.0,0.0,55.6,4.5,42.4,0.0
Caringbah,879.0,338.0,497.0,11.0,50.6,19.5,28.6,0.6
Carlingford,649.0,133.0,289.0,10.0,60.2,12.3,26.8,0.9
Carlton,655.0,47.0,275.0,13.0,66.2,4.8,27.8,1.3
Carramar,278.0,130.0,99.0,9.0,53.4,25.0,19.0,1.7
Carrington,162.0,55.0,94.0,6.0,50.6,17.2,29.4,1.9
Carss Park,19.0,51.0,13.0,0.0,23.5,63.0,16.0,0.0
Cartwright,24.0,345.0,46.0,3.0,5.7,81.8,10.9,0.7
Castle Cove,59.0,0.0,22.0,3.0,68.6,0.0,25.6,3.5
Castle Hill,837.0,57.0,487.0,15.0,60.0,4.1,34.9,1.1
Castlecrag,55.0,0.0,50.0,0.0,55.0,0.0,50.0,0.0
Casula,466.0,192.0,232.0,12.0,51.7,21.3,25.7,1.3
Caves Beach,104.0,60.0,59.0,0.0,46.4,26.8,26.3,0.0
Cecil Hills,130.0,0.0,42.0,6.0,74.3,0.0,24.0,3.4
Centennial Park,456.0,3.0,144.0,3.0,75.9,0.5,24.0,0.5
Charlestown,551.0,64.0,322.0,17.0,58.1,6.7,33.9,1.8
Charmhaven,117.0,0.0,45.0,6.0,69.2,0.0,26.6,3.6
Chatswood,1002.0,23.0,450.0,16.0,66.8,1.5,30.0,1.1
Chatswood West,613.0,6.0,233.0,12.0,72.0,0.7,27.4,1.4
Cheltenham,27.0,0.0,19.0,0.0,55.1,0.0,38.8,0.0
Cherrybrook,440.0,10.0,221.0,7.0,65.2,1.5,32.7,1.0
Chester Hill,248.0,505.0,202.0,15.0,25.6,52.2,20.9,1.5
Chifley,68.0,193.0,47.0,0.0,22.1,62.9,15.3,0.0
Chippendale,578.0,106.0,211.0,17.0,64.1,11.8,23.4,1.9
Chipping Norton,303.0,11.0,126.0,3.0,68.2,2.5,28.4,0.7
Chiswick,154.0,0.0,63.0,0.0,71.0,0.0,29.0,0.0
Chittaway Bay,87.0,49.0,43.0,0.0,48.6,27.4,24.0,0.0
Chittaway Point,26.0,0.0,22.0,0.0,46.4,0.0,39.3,0.0
Church Point,16.0,0.0,12.0,0.0,48.5,0.0,36.4,0.0
Claremont Meadows,138.0,20.0,42.0,0.0,71.1,10.3,21.6,0.0
Claymore,0.0,827.0,63.0,12.0,0.0,92.0,7.0,1.3
Clontarf,17.0,0.0,27.0,0.0,34.7,0.0,55.1,0.0
Clovelly,408.0,23.0,235.0,3.0,60.8,3.4,35.0,0.4
Coal Point,38.0,0.0,28.0,0.0,59.4,0.0,43.8,0.0
Coledale,36.0,0.0,34.0,0.0,54.5,0.0,51.5,0.0
Collaroy,714.0,3.0,415.0,15.0,62.1,0.3,36.1,1.3
Colyton,272.0,89.0,148.0,0.0,52.9,17.3,28.8,0.0
Como,70.0,6.0,42.0,3.0,56.0,4.8,33.6,2.4
Concord,542.0,129.0,262.0,10.0,57.5,13.7,27.8,1.1
Concord West,221.0,29.0,123.0,6.0,58.8,7.7,32.7,1.6
Condell Park,258.0,127.0,205.0,6.0,43.6,21.5,34.6,1.0
Coniston,138.0,39.0,99.0,3.0,48.4,13.7,34.7,1.1
Connells Point,49.0,0.0,38.0,3.0,58.3,0.0,45.2,3.6
Coogee,1956.0,29.0,884.0,22.0,67.7,1.0,30.6,0.8
Cooks Hill,302.0,178.0,155.0,3.0,46.8,27.6,24.0,0.5
Copacabana,178.0,0.0,76.0,6.0,71.2,0.0,30.4,2.4
Cordeaux Heights,55.0,22.0,22.0,0.0,52.9,21.2,21.2,0.0
Corrimal,630.0,214.0,354.0,15.0,51.8,17.6,29.1,1.2
Cranebrook,411.0,415.0,271.0,12.0,36.8,37.2,24.3,1.1
Cremorne,1614.0,33.0,667.0,27.0,69.0,1.4,28.5,1.2
Cremorne Point,239.0,0.0,185.0,3.0,56.0,0.0,43.3,0.7
Cringila,32.0,9.0,74.0,6.0,27.8,7.8,64.3,5.2
Cromer,129.0,14.0,169.0,6.0,40.3,4.4,52.8,1.9
Cronulla,2373.0,78.0,769.0,33.0,73.0,2.4,23.7,1.0
Croudace Bay,8.0,0.0,0.0,0.0,88.9,0.0,0.0,0.0
Crows Nest,513.0,27.0,233.0,3.0,66.2,3.5,30.1,0.4
Croydon,452.0,73.0,291.0,18.0,54.3,8.8,34.9,2.2
Croydon Park,675.0,161.0,285.0,15.0,59.4,14.2,25.1,1.3
Curl Curl,81.0,11.0,71.0,0.0,48.8,6.6,42.8,0.0
Currans Hill,251.0,39.0,64.0,0.0,70.9,11.0,18.1,0.0
Daceyville,12.0,410.0,21.0,3.0,2.7,92.3,4.7,0.7
Daleys Point,9.0,0.0,6.0,3.0,56.3,0.0,37.5,18.8
Dapto,371.0,147.0,295.0,11.0,44.8,17.7,35.6,1.3
Darling Point,353.0,0.0,253.0,7.0,57.1,0.0,40.9,1.1
Darlinghurst,1423.0,122.0,761.0,22.0,61.2,5.2,32.7,0.9
Darlington,225.0,17.0,161.0,3.0,55.3,4.2,39.6,0.7
Davidson,30.0,0.0,23.0,3.0,54.5,0.0,41.8,5.5
Davistown,105.0,0.0,57.0,6.0,65.6,0.0,35.6,3.8
Dawes Point,6.0,67.0,12.0,3.0,6.8,76.1,13.6,3.4
Dean Park,110.0,21.0,71.0,6.0,53.7,10.2,34.6,2.9
Dee Why,2242.0,128.0,834.0,30.0,69.3,4.0,25.8,0.9
Denistone,91.0,7.0,46.0,0.0,66.4,5.1,33.6,0.0
Denistone East,50.0,0.0,31.0,0.0,56.8,0.0,35.2,0.0
Denistone West,13.0,0.0,6.0,0.0,72.2,0.0,33.3,0.0
Dharruk,67.0,100.0,40.0,3.0,31.2,46.5,18.6,1.4
Dolans Bay,18.0,0.0,7.0,0.0,66.7,0.0,25.9,0.0
Dolls Point,159.0,0.0,52.0,6.0,71.9,0.0,23.5,2.7
Doonside,341.0,1079.0,192.0,23.0,20.8,65.9,11.7,1.4
Double Bay,365.0,0.0,199.0,3.0,64.0,0.0,34.9,0.5
Dover Heights,98.0,0.0,75.0,3.0,53.8,0.0,41.2,1.6
Drummoyne,964.0,56.0,405.0,6.0,67.1,3.9,28.2,0.4
Dudley,53.0,22.0,35.0,3.0,49.1,20.4,32.4,2.8
Dulwich Hill,1424.0,65.0,564.0,24.0,68.5,3.1,27.1,1.2
Dundas,477.0,715.0,157.0,12.0,34.9,52.3,11.5,0.9
Dundas Valley,295.0,224.0,122.0,3.0,45.5,34.5,18.8,0.5
Dural,115.0,0.0,78.0,3.0,61.5,0.0,41.7,1.6
Eagle Vale,179.0,55.0,78.0,6.0,57.2,17.6,24.9,1.9
Earlwood,584.0,53.0,353.0,9.0,58.2,5.3,35.2,0.9
East Gosford,265.0,173.0,159.0,9.0,44.0,28.7,26.4,1.5
East Hills,68.0,132.0,52.0,3.0,26.7,51.8,20.4,1.2
East Killara,61.0,0.0,34.0,0.0,61.0,0.0,34.0,0.0
East Lindfield,59.0,0.0,47.0,0.0,57.8,0.0,46.1,0.0
East Ryde,42.0,0.0,17.0,0.0,68.9,0.0,27.9,0.0
Eastern Creek,12.0,0.0,12.0,0.0,44.4,0.0,44.4,0.0
Eastlakes,604.0,547.0,164.0,7.0,45.8,41.5,12.4,0.5
Eastwood,954.0,137.0,355.0,21.0,65.1,9.4,24.2,1.4
Edensor Park,206.0,140.0,97.0,12.0,46.3,31.5,21.8,2.7
Edgecliff,386.0,0.0,227.0,7.0,61.6,0.0,36.2,1.1
Edgeworth,216.0,165.0,145.0,3.0,41.1,31.4,27.6,0.6
Elanora Heights,64.0,0.0,70.0,3.0,48.1,0.0,52.6,2.3
Elderslie,102.0,67.0,63.0,6.0,43.4,28.5,26.8,2.6
Eleebana,109.0,0.0,49.0,0.0,67.7,0.0,30.4,0.0
Elermore Vale,165.0,87.0,80.0,3.0,48.4,25.5,23.5,0.9
Elizabeth Bay,1006.0,7.0,418.0,15.0,69.5,0.5,28.9,1.0
Emerton,101.0,199.0,48.0,10.0,28.4,55.9,13.5,2.8
Empire Bay,52.0,0.0,17.0,0.0,75.4,0.0,24.6,0.0
Emu Heights,87.0,19.0,36.0,0.0,60.8,13.3,25.2,0.0
Emu Plains,287.0,77.0,152.0,13.0,54.2,14.5,28.7,2.5
Enfield,110.0,39.0,79.0,3.0,46.6,16.5,33.5,1.3
Engadine,457.0,58.0,208.0,13.0,62.7,8.0,28.5,1.8
Enmore,487.0,26.0,218.0,3.0,66.4,3.5,29.7,0.4
Epping,1184.0,50.0,441.0,10.0,70.3,3.0,26.2,0.6
Erina,131.0,66.0,91.0,9.0,45.3,22.8,31.5,3.1
Ermington,245.0,761.0,202.0,19.0,20.1,62.4,16.6,1.6
Erskine Park,145.0,20.0,63.0,6.0,62.8,8.7,27.3,2.6
Erskineville,634.0,196.0,323.0,6.0,54.5,16.9,27.8,0.5
Eschol Park,72.0,0.0,53.0,0.0,55.8,0.0,41.1,0.0
Ettalong Beach,443.0,3.0,174.0,6.0,70.0,0.5,27.5,0.9
Fairfield,1511.0,230.0,434.0,41.0,68.2,10.4,19.6,1.9
Fairfield East,81.0,72.0,64.0,3.0,36.7,32.6,29.0,1.4
Fairfield Heights,324.0,133.0,148.0,15.0,52.3,21.5,23.9,2.4
Fairfield West,272.0,76.0,186.0,9.0,49.9,13.9,34.1,1.7
Fairlight,529.0,6.0,264.0,6.0,66.4,0.8,33.1,0.8
Fairy Meadow,414.0,296.0,271.0,6.0,42.3,30.2,27.7,0.6
Farmborough Heights,62.0,28.0,32.0,0.0,50.4,22.8,26.0,0.0
Faulconbridge,117.0,6.0,65.0,0.0,60.9,3.1,33.9,0.0
Fennell Bay,59.0,36.0,49.0,3.0,40.4,24.7,33.6,2.1
Figtree,241.0,15.0,214.0,9.0,50.6,3.2,45.0,1.9
Five Dock,447.0,169.0,194.0,12.0,54.6,20.7,23.7,1.5
Fletcher,6.0,0.0,6.0,0.0,33.3,0.0,33.3,0.0
Flinders,132.0,83.0,43.0,3.0,50.8,31.9,16.5,1.2
Floraville,44.0,0.0,19.0,0.0,64.7,0.0,27.9,0.0
Forest Lodge,309.0,75.0,177.0,3.0,55.2,13.4,31.6,0.5
Forestville,184.0,71.0,124.0,3.0,48.9,18.9,33.0,0.8
Forresters Beach,98.0,0.0,42.0,0.0,69.5,0.0,29.8,0.0
Frenchs Forest,196.0,6.0,200.0,8.0,48.6,1.5,49.6,2.0
Garden Suburb,25.0,0.0,17.0,3.0,53.2,0.0,36.2,6.4
Gateshead,67.0,350.0,63.0,19.0,13.6,70.9,12.8,3.8
Georges Hall,188.0,14.0,102.0,0.0,61.0,4.5,33.1,0.0
Georgetown,93.0,0.0,82.0,0.0,53.4,0.0,47.1,0.0
Girraween,227.0,63.0,92.0,6.0,60.4,16.8,24.5,1.6
Gladesville,872.0,295.0,368.0,7.0,56.5,19.1,23.9,0.5
Glebe,1273.0,1136.0,629.0,22.0,41.6,37.1,20.5,0.7
Glen Alpine,16.0,0.0,23.0,0.0,43.2,0.0,62.2,0.0
Glenbrook,149.0,0.0,111.0,0.0,57.1,0.0,42.5,0.0
Glendale,109.0,96.0,85.0,3.0,38.0,33.4,29.6,1.0
Glendenning,163.0,70.0,69.0,0.0,53.3,22.9,22.5,0.0
Glenfield,246.0,160.0,122.0,12.0,46.3,30.1,23.0,2.3
Glenhaven,59.0,0.0,34.0,0.0,60.2,0.0,34.7,0.0
Glenmore Park,808.0,52.0,310.0,8.0,68.4,4.4,26.2,0.7
Glenning Valley,31.0,0.0,3.0,0.0,79.5,0.0,7.7,0.0
Glenwood,377.0,0.0,115.0,3.0,76.2,0.0,23.2,0.6
Gordon,207.0,0.0,124.0,6.0,61.6,0.0,36.9,1.8
Gorokan,481.0,70.0,231.0,6.0,61.0,8.9,29.3,0.8
Gosford,513.0,100.0,137.0,3.0,67.5,13.2,18.0,0.4
Granville,783.0,983.0,554.0,19.0,33.5,42.0,23.7,0.8
Grays Point,38.0,0.0,24.0,3.0,54.3,0.0,34.3,4.3
Green Point,173.0,84.0,142.0,3.0,43.3,21.0,35.5,0.8
Green Valley,396.0,150.0,152.0,3.0,55.5,21.0,21.3,0.4
Greenacre,502.0,844.0,404.0,15.0,28.5,47.8,22.9,0.9
Greenfield Park,127.0,39.0,69.0,0.0,52.9,16.3,28.8,0.0
Greenwich,335.0,16.0,215.0,6.0,59.0,2.8,37.9,1.1
Greystanes,466.0,163.0,308.0,7.0,49.4,17.3,32.6,0.7
Guildford,551.0,283.0,301.0,23.0,47.6,24.4,26.0,2.0
Guildford West,117.0,51.0,116.0,3.0,40.6,17.7,40.3,1.0
Gwynneville,191.0,21.0,83.0,3.0,64.1,7.0,27.9,1.0
Gymea,467.0,81.0,191.0,3.0,63.0,10.9,25.8,0.4
Gymea Bay,87.0,3.0,69.0,3.0,52.1,1.8,41.3,1.8
Haberfield,247.0,41.0,146.0,12.0,55.8,9.3,33.0,2.7
Halekulani,83.0,0.0,90.0,0.0,48.0,0.0,52.0,0.0
Hamilton,338.0,50.0,328.0,12.0,46.5,6.9,45.1,1.7
Hamilton East,38.0,14.0,24.0,0.0,45.8,16.9,28.9,0.0
Hamilton North,53.0,0.0,30.0,0.0,61.6,0.0,34.9,0.0
Hamilton South,87.0,633.0,84.0,0.0,10.8,78.2,10.4,0.0
Hammondville,121.0,55.0,74.0,3.0,49.6,22.5,30.3,1.2
Harrington Park,92.0,0.0,33.0,0.0,74.2,0.0,26.6,0.0
Harris Park,922.0,168.0,349.0,24.0,63.2,11.5,23.9,1.6
Hassall Grove,130.0,11.0,72.0,3.0,58.6,5.0,32.4,1.4
Haymarket,477.0,3.0,118.0,10.0,78.5,0.5,19.4,1.6
Heathcote,104.0,0.0,70.0,6.0,58.4,0.0,39.3,3.4
Hebersham,123.0,381.0,100.0,6.0,20.5,63.6,16.7,1.0
Heckenberg,50.0,268.0,50.0,3.0,13.3,71.1,13.3,0.8
Henley,20.0,3.0,3.0,0.0,80.0,12.0,12.0,0.0
Highfields,22.0,0.0,11.0,0.0,64.7,0.0,32.4,0.0
Hillsborough,12.0,0.0,9.0,0.0,52.2,0.0,39.1,0.0
Hillsdale,688.0,85.0,215.0,16.0,68.3,8.4,21.4,1.6
Hinchinbrook,256.0,65.0,125.0,9.0,57.0,14.5,27.8,2.0
Holmesville,28.0,6.0,26.0,0.0,45.2,9.7,41.9,0.0
Holsworthy,105.0,0.0,122.0,3.0,44.7,0.0,51.9,1.3
Homebush,378.0,29.0,114.0,3.0,71.9,5.5,21.7,0.6
Homebush West,385.0,83.0,78.0,15.0,69.2,14.9,14.0,2.7
Horningsea Park,108.0,3.0,34.0,0.0,77.7,2.2,24.5,0.0
Hornsby,1932.0,205.0,811.0,34.0,64.7,6.9,27.2,1.1
Hornsby Heights,92.0,0.0,61.0,9.0,57.1,0.0,37.9,5.6
Horsley,95.0,7.0,30.0,3.0,72.5,5.3,22.9,2.3
Hoxton Park,124.0,9.0,48.0,0.0,67.0,4.9,25.9,0.0
Hunters Hill,239.0,177.0,164.0,6.0,40.7,30.2,27.9,1.0
Huntleys Point,6.0,0.0,3.0,0.0,150.0,0.0,75.0,0.0
Hurlstone Park,341.0,23.0,158.0,3.0,65.0,4.4,30.1,0.6
Hurstville,1821.0,172.0,549.0,34.0,70.7,6.7,21.3,1.3
Hurstville Grove,39.0,3.0,26.0,0.0,55.7,4.3,37.1,0.0
Illawong,85.0,0.0,34.0,3.0,71.4,0.0,28.6,2.5
Ingleburn,839.0,283.0,268.0,16.0,59.8,20.2,19.1,1.1
Ingleside,57.0,0.0,34.0,0.0,62.6,0.0,37.4,0.0
Islington,187.0,6.0,89.0,6.0,64.9,2.1,30.9,2.1
Jamisontown,356.0,44.0,108.0,0.0,70.1,8.7,21.3,0.0
Jannali,223.0,195.0,92.0,6.0,43.1,37.7,17.8,1.2
Jesmond,205.0,167.0,159.0,10.0,37.4,30.5,29.0,1.8
Jewells,47.0,3.0,11.0,0.0,70.1,4.5,16.4,0.0
Kahibah,93.0,33.0,82.0,0.0,44.3,15.7,39.0,0.0
Kanahooka,74.0,0.0,71.0,6.0,48.4,0.0,46.4,3.9
Kangaroo Point,3.0,0.0,3.0,0.0,60.0,0.0,60.0,0.0
Kanwal,123.0,34.0,95.0,3.0,47.7,13.2,36.8,1.2
Kareela,23.0,0.0,13.0,0.0,65.7,0.0,37.1,0.0
Kariong,230.0,71.0,90.0,6.0,58.4,18.0,22.8,1.5
Kearns,61.0,0.0,31.0,0.0,70.1,0.0,35.6,0.0
Keiraville,145.0,108.0,164.0,6.0,34.5,25.7,39.0,1.4
Kellyville,292.0,0.0,114.0,0.0,71.0,0.0,27.7,0.0
Kembla Grange,6.0,0.0,3.0,0.0,75.0,0.0,37.5,0.0
Kensington,1336.0,49.0,491.0,53.0,69.2,2.5,25.4,2.7
Kilaben Bay,39.0,0.0,27.0,3.0,66.1,0.0,45.8,5.1
Killara,185.0,0.0,165.0,9.0,52.0,0.0,46.3,2.5
Killarney Heights,86.0,0.0,43.0,0.0,66.7,0.0,33.3,0.0
Killarney Vale,285.0,163.0,185.0,9.0,44.5,25.4,28.9,1.4
Kincumber,187.0,151.0,107.0,6.0,41.7,33.7,23.9,1.3
Kincumber South,6.0,0.0,26.0,0.0,20.7,0.0,89.7,0.0
Kings Langley,166.0,10.0,106.0,9.0,57.2,3.4,36.6,3.1
Kings Park,139.0,8.0,63.0,0.0,65.0,3.7,29.4,0.0
Kingsford,1537.0,142.0,467.0,15.0,70.8,6.5,21.5,0.7
Kingsgrove,370.0,170.0,139.0,9.0,53.9,24.8,20.3,1.3
Kingswood,838.0,282.0,226.0,16.0,61.6,20.7,16.6,1.2
Kirrawee,368.0,210.0,158.0,9.0,49.7,28.4,21.4,1.2
Kirribilli,563.0,247.0,299.0,12.0,50.0,21.9,26.5,1.1
Kogarah,1140.0,38.0,382.0,16.0,72.3,2.4,24.2,1.0
Kogarah Bay,42.0,0.0,23.0,0.0,63.6,0.0,34.8,0.0
Koolewong,36.0,0.0,13.0,0.0,69.2,0.0,25.0,0.0
