,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Hassall Grove,174.0,741.0,254.0,3.0,32.0,14.5,61.5,21.1,0.2,2.7
Haymarket,232.0,285.0,1042.0,8.0,74.0,14.1,17.4,63.5,0.5,4.5
Heathcote (NSW),858.0,885.0,192.0,43.0,42.0,42.5,43.8,9.5,2.1,2.1
Hebersham,366.0,633.0,589.0,8.0,54.0,22.2,38.4,35.7,0.5,3.3
Heckenberg,186.0,252.0,381.0,8.0,33.0,21.6,29.3,44.3,0.9,3.8
Henley,75.0,51.0,25.0,0.0,0.0,49.7,33.8,16.6,0.0,0.0
Highfields (NSW),157.0,162.0,53.0,0.0,6.0,41.5,42.9,14.0,0.0,1.6
Hillsborough (Lake Macquarie - NSW),93.0,111.0,17.0,0.0,4.0,41.3,49.3,7.6,0.0,1.8
Hillsdale,416.0,489.0,920.0,4.0,57.0,22.1,25.9,48.8,0.2,3.0
Hinchinbrook (NSW),666.0,1562.0,563.0,15.0,72.0,23.1,54.3,19.6,0.5,2.5
Holmesville,169.0,237.0,54.0,6.0,5.0,35.9,50.3,11.5,1.3,1.1
Holsworthy,187.0,817.0,405.0,0.0,18.0,13.1,57.3,28.4,0.0,1.3
Homebush (NSW),409.0,590.0,849.0,15.0,36.0,21.5,31.1,44.7,0.8,1.9
Homebush West,240.0,752.0,1029.0,8.0,59.0,11.5,36.0,49.3,0.4,2.8
Horningsea Park,152.0,681.0,171.0,3.0,11.0,14.9,66.9,16.8,0.3,1.1
Hornsby,1853.0,2589.0,2969.0,56.0,140.0,24.4,34.0,39.0,0.7,1.8
Hornsby Heights,785.0,1037.0,175.0,13.0,13.0,38.8,51.3,8.7,0.6,0.6
Horsley,634.0,1263.0,274.0,4.0,27.0,28.8,57.4,12.4,0.2,1.2
Hoxton Park,216.0,701.0,244.0,6.0,15.0,18.3,59.3,20.6,0.5,1.3
Hunters Hill,1152.0,952.0,653.0,48.0,59.0,40.2,33.2,22.8,1.7,2.1
Huntleys Point,30.0,20.0,3.0,0.0,0.0,56.6,37.7,5.7,0.0,0.0
Hurlstone Park,674.0,563.0,471.0,14.0,42.0,38.2,31.9,26.7,0.8,2.4
Hurstville,2430.0,2621.0,3401.0,65.0,232.0,27.8,30.0,38.9,0.7,2.7
Hurstville Grove,376.0,274.0,85.0,0.0,18.0,49.9,36.4,11.3,0.0,2.4
Illawong,1043.0,950.0,161.0,3.0,20.0,47.9,43.6,7.4,0.1,0.9
Ingleburn,1433.0,1958.0,1368.0,26.0,98.0,29.3,40.1,28.0,0.5,2.0
Ingleside,156.0,94.0,104.0,4.0,7.0,42.7,25.8,28.5,1.1,1.9
Islington,159.0,247.0,366.0,3.0,18.0,20.1,31.1,46.2,0.4,2.3
Jamisontown,569.0,753.0,654.0,6.0,44.0,28.1,37.2,32.3,0.3,2.2
Jannali,684.0,856.0,542.0,8.0,43.0,32.1,40.1,25.4,0.4,2.0
Jesmond,220.0,138.0,614.0,5.0,53.0,21.4,13.4,59.6,0.5,5.1
Jewells,451.0,412.0,146.0,19.0,28.0,42.7,39.0,13.8,1.8,2.7
Kahibah,335.0,314.0,173.0,0.0,20.0,39.8,37.3,20.5,0.0,2.4
Kanahooka,952.0,680.0,178.0,28.0,46.0,50.5,36.1,9.4,1.5,2.4
Kangaroo Point (NSW),98.0,73.0,6.0,0.0,4.0,54.1,40.3,3.3,0.0,2.2
Kanwal,507.0,453.0,311.0,9.0,42.0,38.4,34.3,23.5,0.7,3.2
Kareela,584.0,453.0,71.0,0.0,8.0,52.3,40.6,6.4,0.0,0.7
Kariong,471.0,1113.0,396.0,9.0,47.0,23.1,54.7,19.4,0.4,2.3
Kearns,217.0,479.0,121.0,3.0,15.0,26.0,57.4,14.5,0.4,1.8
Keiraville,496.0,277.0,381.0,33.0,38.0,40.5,22.6,31.1,2.7,3.1
Kellyville,1578.0,3390.0,818.0,15.0,60.0,26.9,57.8,14.0,0.3,1.0
Kembla Grange,37.0,24.0,11.0,0.0,0.0,51.4,33.3,15.3,0.0,0.0
Kensington (NSW),989.0,827.0,2092.0,13.0,93.0,24.6,20.6,52.1,0.3,2.3
Kilaben Bay,209.0,185.0,79.0,0.0,17.0,42.7,37.8,16.1,0.0,3.5
Killara (NSW),1463.0,937.0,609.0,41.0,59.0,47.1,30.1,19.6,1.3,1.9
Killarney Heights,691.0,536.0,158.0,3.0,19.0,49.1,38.1,11.2,0.2,1.4
Killarney Vale,840.0,936.0,703.0,13.0,62.0,32.9,36.6,27.5,0.5,2.4
Kincumber,936.0,890.0,508.0,222.0,110.0,35.1,33.4,19.1,8.3,4.1
Kincumber South,312.0,30.0,33.0,0.0,21.0,78.8,7.6,8.3,0.0,5.3
Kings Langley,1066.0,1545.0,338.0,16.0,45.0,35.4,51.3,11.2,0.5,1.5
Kings Park (NSW),331.0,604.0,215.0,4.0,21.0,28.2,51.4,18.3,0.3,1.8
Kingsford (NSW),1449.0,1049.0,2427.0,26.0,131.0,28.5,20.6,47.8,0.5,2.6
Kingsgrove,1788.0,1095.0,922.0,19.0,95.0,45.6,27.9,23.5,0.5,2.4
Kingswood (Tamworth - NSW),163.0,170.0,38.0,0.0,13.0,42.4,44.3,9.9,0.0,3.4
Kirrawee,1201.0,1255.0,790.0,65.0,71.0,35.5,37.1,23.4,1.9,2.1
Kirribilli,346.0,247.0,1200.0,11.0,43.0,18.7,13.4,65.0,0.6,2.3
Kogarah,1213.0,1365.0,1909.0,21.0,127.0,26.2,29.4,41.2,0.5,2.7
