,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Woolloomooloo,192.0,234.0,1227.0,10.0,39.0,11.3,13.7,72.1,0.6,2.3
Woolooware,549.0,585.0,326.0,12.0,37.0,36.4,38.8,21.6,0.8,2.5
Woolwich,142.0,63.0,64.0,4.0,5.0,51.1,22.7,23.0,1.4,1.8
Woonona,1515.0,1518.0,1123.0,40.0,113.0,35.2,35.2,26.1,0.9,2.6
Woronora,258.0,355.0,90.0,7.0,8.0,35.9,49.4,12.5,1.0,1.1
Woronora Heights,308.0,495.0,34.0,3.0,3.0,36.5,58.7,4.0,0.4,0.4
Woy Woy,1590.0,1106.0,1448.0,35.0,159.0,36.7,25.5,33.4,0.8,3.7
Woy Woy Bay,58.0,54.0,38.0,0.0,3.0,37.9,35.3,24.8,0.0,2.0
Wyoming,1252.0,1345.0,815.0,178.0,116.0,33.8,36.3,22.0,4.8,3.1
Wyong,540.0,322.0,643.0,7.0,55.0,34.5,20.5,41.0,0.4,3.5
Wyongah,210.0,299.0,148.0,0.0,18.0,31.1,44.3,21.9,0.0,2.7
Yagoona,1645.0,1584.0,1419.0,30.0,174.0,33.9,32.6,29.2,0.6,3.6
Yarrawarrah,418.0,448.0,63.0,8.0,10.0,44.1,47.3,6.7,0.8,1.1
Yattalunga (NSW),61.0,86.0,33.0,0.0,7.0,32.6,46.0,17.6,0.0,3.7
Yennora,103.0,100.0,219.0,3.0,19.0,23.2,22.5,49.3,0.7,4.3
Yowie Bay,541.0,398.0,72.0,22.0,27.0,51.0,37.5,6.8,2.1,2.5
Zetland,217.0,608.0,809.0,3.0,14.0,13.1,36.8,49.0,0.2,0.8
