,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Normanhurst,1348.0,178.0,179.0,0.0,79.1,10.4,10.5,0.0
North Avoca,633.0,32.0,9.0,0.0,93.9,4.7,1.3,0.0
North Balgowlah,977.0,53.0,43.0,0.0,90.7,4.9,4.0,0.0
North Bondi,890.0,758.0,1522.0,10.0,27.9,23.8,47.8,0.3
North Curl Curl,1010.0,66.0,45.0,3.0,89.6,5.9,4.0,0.3
North Epping,1336.0,97.0,5.0,0.0,92.9,6.7,0.3,0.0
North Gosford,820.0,375.0,146.0,0.0,60.7,27.8,10.8,0.0
North Lambton,1057.0,37.0,83.0,0.0,89.8,3.1,7.1,0.0
North Manly,778.0,50.0,51.0,0.0,88.5,5.7,5.8,0.0
North Narrabeen,1660.0,70.0,64.0,29.0,91.1,3.8,3.5,1.6
North Parramatta,1110.0,727.0,2709.0,0.0,24.4,16.0,59.5,0.0
North Rocks,2302.0,185.0,14.0,0.0,92.0,7.4,0.6,0.0
North Ryde,2776.0,385.0,180.0,0.0,83.0,11.5,5.4,0.0
North St Marys,1196.0,8.0,20.0,0.0,97.7,0.7,1.6,0.0
North Strathfield,558.0,98.0,834.0,17.0,37.0,6.5,55.3,1.1
North Sydney,282.0,413.0,2097.0,10.0,10.0,14.7,74.6,0.4
North Turramurra,966.0,245.0,200.0,0.0,68.5,17.4,14.2,0.0
North Wahroonga,586.0,20.0,8.0,0.0,95.4,3.3,1.3,0.0
North Willoughby,809.0,198.0,427.0,3.0,56.2,13.8,29.7,0.2
North Wollongong,170.0,36.0,561.0,4.0,22.0,4.7,72.8,0.5
Northbridge (NSW),1539.0,123.0,316.0,7.0,77.5,6.2,15.9,0.4
Northmead,2129.0,714.0,1211.0,0.0,52.5,17.6,29.9,0.0
Northwood (NSW),266.0,0.0,8.0,0.0,97.1,0.0,2.9,0.0
Oak Flats,2065.0,142.0,117.0,7.0,88.6,6.1,5.0,0.3
Oakhurst (NSW),1851.0,50.0,6.0,0.0,97.1,2.6,0.3,0.0
Oatlands (NSW),1093.0,479.0,87.0,3.0,65.2,28.6,5.2,0.2
Oatley,2610.0,281.0,643.0,40.0,73.0,7.9,18.0,1.1
Old Guildford,565.0,81.0,12.0,0.0,85.9,12.3,1.8,0.0
Old Toongabbie,880.0,15.0,3.0,0.0,98.0,1.7,0.3,0.0
Ourimbah,1086.0,326.0,6.0,0.0,76.6,23.0,0.4,0.0
Oxley Park,614.0,356.0,5.0,4.0,62.7,36.4,0.5,0.4
Oyster Bay,1659.0,44.0,47.0,6.0,94.3,2.5,2.7,0.3
Paddington (NSW),323.0,3139.0,1564.0,31.0,6.3,61.7,30.7,0.6
Padstow,3132.0,823.0,481.0,40.0,70.0,18.4,10.7,0.9
Padstow Heights,940.0,117.0,124.0,3.0,79.4,9.9,10.5,0.3
Pagewood,963.0,102.0,180.0,0.0,77.3,8.2,14.5,0.0
Palm Beach (NSW),440.0,109.0,27.0,3.0,76.0,18.8,4.7,0.5
Panania,3135.0,728.0,107.0,17.0,78.6,18.2,2.7,0.4
Parramatta,995.0,460.0,5646.0,0.0,14.0,6.5,79.3,0.0
Peakhurst,2514.0,766.0,139.0,11.0,73.2,22.3,4.0,0.3
Peakhurst Heights,737.0,70.0,0.0,0.0,91.3,8.7,0.0,0.0
Pearl Beach,199.0,3.0,3.0,4.0,95.2,1.4,1.4,1.9
Pelican (NSW),320.0,19.0,0.0,0.0,94.4,5.6,0.0,0.0
Pendle Hill,1145.0,416.0,678.0,22.0,50.5,18.4,29.9,1.0
Pennant Hills,1864.0,258.0,282.0,9.0,77.2,10.7,11.7,0.4
Penrith,2334.0,1250.0,1283.0,7.0,47.3,25.3,26.0,0.1
Penrose (Wollongong - NSW),409.0,35.0,104.0,0.0,74.6,6.4,19.0,0.0
Penshurst (NSW),1897.0,440.0,2000.0,7.0,43.7,10.1,46.0,0.2
Petersham,854.0,807.0,1285.0,50.0,28.5,26.9,42.8,1.7
Phillip Bay,194.0,14.0,0.0,3.0,91.9,6.6,0.0,1.4
Picnic Point,1547.0,343.0,3.0,6.0,81.5,18.1,0.2,0.3
Plumpton (NSW),1948.0,293.0,6.0,0.0,86.7,13.0,0.3,0.0
Point Clare,1181.0,133.0,99.0,3.0,83.4,9.4,7.0,0.2
Point Frederick,305.0,252.0,241.0,0.0,38.2,31.6,30.2,0.0
Point Piper,148.0,29.0,300.0,0.0,31.0,6.1,62.9,0.0
Port Kembla,1471.0,102.0,287.0,38.0,77.3,5.4,15.1,2.0
Potts Point,12.0,145.0,3181.0,0.0,0.4,4.3,95.1,0.0
Prairiewood,747.0,139.0,25.0,0.0,82.0,15.3,2.7,0.0
Prestons,3277.0,623.0,3.0,3.0,83.9,15.9,0.1,0.1
Primbee,569.0,0.0,45.0,0.0,92.7,0.0,7.3,0.0
Prospect (NSW),1384.0,56.0,11.0,0.0,95.4,3.9,0.8,0.0
Punchbowl (Canterbury - NSW),3488.0,753.0,927.0,36.0,66.7,14.4,17.7,0.7
Putney,1161.0,155.0,6.0,8.0,87.3,11.7,0.5,0.6
Pymble,2807.0,113.0,446.0,3.0,83.3,3.4,13.2,0.1
Pyrmont,12.0,284.0,4695.0,0.0,0.2,5.7,93.6,0.0
Quakers Hill,6547.0,1507.0,28.0,5.0,81.0,18.6,0.3,0.1
Queens Park (NSW),395.0,392.0,290.0,6.0,36.5,36.2,26.8,0.6
Raby,1752.0,109.0,3.0,0.0,93.8,5.8,0.2,0.0
Ramsgate,237.0,15.0,43.0,3.0,79.5,5.0,14.4,1.0
Ramsgate Beach,305.0,36.0,352.0,0.0,44.0,5.2,50.8,0.0
Randwick,1876.0,1655.0,7415.0,63.0,17.0,15.0,67.2,0.6
