,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Ultimo,23.0,363.0,2183.0,3.0,0.9,14.1,84.5,0.1
Umina Beach,5016.0,772.0,455.0,43.0,79.8,12.3,7.2,0.7
Unanderra,1374.0,674.0,127.0,7.0,62.9,30.8,5.8,0.3
Valentine (NSW),1745.0,180.0,42.0,3.0,88.6,9.1,2.1,0.2
Valley Heights,470.0,18.0,0.0,0.0,96.3,3.7,0.0,0.0
Vaucluse,1579.0,387.0,1077.0,12.0,51.6,12.7,35.2,0.4
Villawood,1299.0,98.0,332.0,15.0,74.5,5.6,19.0,0.9
Voyager Point,365.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Wahroonga,4184.0,356.0,782.0,0.0,78.4,6.7,14.7,0.0
Waitara,363.0,204.0,1680.0,0.0,16.2,9.1,74.8,0.0
Wakeley,1141.0,198.0,11.0,3.0,84.3,14.6,0.8,0.2
Wallsend,3870.0,606.0,332.0,4.0,80.4,12.6,6.9,0.1
Wamberal,1892.0,134.0,101.0,6.0,88.5,6.3,4.7,0.3
Warabrook,607.0,131.0,3.0,0.0,81.9,17.7,0.4,0.0
Waratah (NSW),1165.0,303.0,314.0,11.0,64.7,16.8,17.4,0.6
Waratah West,962.0,52.0,16.0,0.0,93.4,5.0,1.6,0.0
Wareemba,321.0,122.0,103.0,21.0,56.6,21.5,18.2,3.7
Warilla,1848.0,228.0,193.0,237.0,73.7,9.1,7.7,9.5
Warners Bay,2261.0,624.0,106.0,3.0,75.5,20.8,3.5,0.1
Warrawee,660.0,5.0,251.0,0.0,72.1,0.5,27.4,0.0
Warrawong,1320.0,197.0,343.0,4.0,70.8,10.6,18.4,0.2
Warriewood,1223.0,637.0,102.0,10.0,61.9,32.3,5.2,0.5
Warrimoo,798.0,7.0,0.0,0.0,99.1,0.9,0.0,0.0
Warwick Farm,482.0,132.0,1051.0,0.0,28.9,7.9,63.1,0.0
Watanobbi,1177.0,79.0,44.0,0.0,90.3,6.1,3.4,0.0
Waterloo (NSW),52.0,563.0,3890.0,6.0,1.1,11.7,80.8,0.1
Watsons Bay,132.0,40.0,88.0,3.0,50.2,15.2,33.5,1.1
Wattle Grove (NSW),2476.0,65.0,0.0,0.0,97.3,2.6,0.0,0.0
Waverley (NSW),277.0,406.0,859.0,18.0,17.7,26.0,55.0,1.2
Waverton,196.0,225.0,852.0,0.0,15.4,17.7,66.9,0.0
Wentworthville,2017.0,842.0,771.0,3.0,55.5,23.2,21.2,0.1
Werrington,671.0,511.0,256.0,3.0,46.6,35.5,17.8,0.2
Werrington County,1194.0,4.0,9.0,0.0,98.9,0.3,0.7,0.0
Werrington Downs,824.0,0.0,222.0,0.0,78.8,0.0,21.2,0.0
West Gosford,176.0,181.0,254.0,4.0,28.4,29.2,41.0,0.6
West Hoxton,1957.0,425.0,15.0,0.0,81.5,17.7,0.6,0.0
West Pennant Hills,4523.0,394.0,80.0,0.0,90.1,7.8,1.6,0.0
West Pymble,1591.0,35.0,22.0,0.0,96.5,2.1,1.3,0.0
West Ryde,2063.0,400.0,2035.0,10.0,45.8,8.9,45.1,0.2
West Wallsend,598.0,4.0,14.0,10.0,95.5,0.6,2.2,1.6
West Wollongong,1198.0,282.0,224.0,9.0,69.9,16.5,13.1,0.5
Westleigh,1412.0,36.0,10.0,0.0,96.8,2.5,0.7,0.0
Westmead,967.0,614.0,3318.0,3.0,19.7,12.5,67.6,0.1
Wetherill Park,1686.0,128.0,0.0,4.0,92.7,7.0,0.0,0.2
Whalan,1701.0,36.0,174.0,0.0,89.0,1.9,9.1,0.0
Whitebridge,841.0,53.0,20.0,0.0,92.0,5.8,2.2,0.0
Wickham (NSW),183.0,137.0,95.0,15.0,42.6,31.9,22.1,3.5
Wiley Park,898.0,241.0,1842.0,0.0,30.0,8.1,61.6,0.0
Willmot,662.0,81.0,31.0,0.0,85.5,10.5,4.0,0.0
Willoughby (NSW),1282.0,239.0,569.0,12.0,61.0,11.4,27.1,0.6
Willoughby East,527.0,13.0,3.0,4.0,96.3,2.4,0.5,0.7
Windale,939.0,174.0,120.0,0.0,76.2,14.1,9.7,0.0
Windang,929.0,56.0,62.0,118.0,79.7,4.8,5.3,10.1
Winmalee,2209.0,16.0,14.0,0.0,98.7,0.7,0.6,0.0
Winston Hills,3498.0,137.0,133.0,3.0,92.8,3.6,3.5,0.1
Wollongong,1473.0,779.0,5057.0,49.0,20.0,10.6,68.6,0.7
Wollstonecraft,283.0,520.0,2946.0,0.0,7.5,13.9,78.6,0.0
Wombarra,294.0,3.0,17.0,0.0,93.6,1.0,5.4,0.0
Woodbine (NSW),826.0,14.0,4.0,0.0,97.9,1.7,0.5,0.0
Woodcroft (NSW),1467.0,353.0,0.0,0.0,80.6,19.4,0.0,0.0
Woodpark,394.0,22.0,4.0,3.0,93.1,5.2,0.9,0.7
Woodrising,386.0,9.0,0.0,0.0,97.7,2.3,0.0,0.0
Woollahra,502.0,1110.0,1464.0,3.0,16.3,36.0,47.5,0.1
Woolloomooloo,11.0,391.0,1299.0,3.0,0.6,22.9,76.2,0.2
Woolooware,966.0,304.0,221.0,19.0,64.0,20.1,14.6,1.3
Woolwich,168.0,40.0,67.0,4.0,60.2,14.3,24.0,1.4
Woonona,2834.0,989.0,480.0,5.0,65.8,23.0,11.1,0.1
Woronora,656.0,15.0,0.0,43.0,91.5,2.1,0.0,6.0
Woronora Heights,819.0,17.0,6.0,0.0,97.3,2.0,0.7,0.0
Woy Woy,2648.0,893.0,771.0,27.0,61.0,20.6,17.8,0.6
Woy Woy Bay,148.0,0.0,6.0,0.0,96.1,0.0,3.9,0.0
Wyoming,2925.0,636.0,124.0,21.0,78.9,17.2,3.3,0.6
Wyong,1057.0,228.0,230.0,54.0,67.4,14.5,14.7,3.4
Wyongah,665.0,11.0,0.0,0.0,98.4,1.6,0.0,0.0
Yagoona,3495.0,880.0,451.0,13.0,72.0,18.1,9.3,0.3
Yarrawarrah,904.0,40.0,0.0,3.0,95.5,4.2,0.0,0.3
Yattalunga (NSW),187.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Yennora,297.0,86.0,63.0,0.0,66.6,19.3,14.1,0.0
Yowie Bay,929.0,52.0,77.0,3.0,87.6,4.9,7.3,0.3
Zetland,76.0,242.0,1329.0,0.0,4.6,14.7,80.5,0.0
