,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Matraville,2325.0,706.0,77.0,74.8,22.7,2.5
Mayfield (Newcastle - NSW),2160.0,1268.0,298.0,58.0,34.0,8.0
Mayfield East,417.0,222.0,49.0,60.6,32.3,7.1
Mayfield West,422.0,225.0,47.0,60.8,32.4,6.8
Mays Hill,178.0,46.0,9.0,76.4,19.7,3.9
McMahons Point,595.0,453.0,67.0,53.4,40.6,6.0
Meadowbank (NSW),964.0,605.0,126.0,56.9,35.7,7.4
Melrose Park (NSW),397.0,86.0,7.0,81.0,17.6,1.4
Menai,2878.0,392.0,43.0,86.9,11.8,1.3
Merewether,2621.0,1293.0,344.0,61.6,30.4,8.1
Merewether Heights,411.0,66.0,12.0,84.0,13.5,2.5
Merrylands,6377.0,1751.0,258.0,76.0,20.9,3.1
Merrylands West,1475.0,592.0,51.0,69.6,28.0,2.4
Middle Cove,350.0,61.0,12.0,82.7,14.4,2.8
Miller,656.0,368.0,21.0,62.8,35.2,2.0
Millers Point,408.0,340.0,28.0,52.6,43.8,3.6
Milperra,1095.0,153.0,21.0,86.3,12.1,1.7
Milsons Point,542.0,300.0,35.0,61.8,34.2,4.0
Minchinbury,1366.0,146.0,30.0,88.6,9.5,1.9
Minmi,194.0,25.0,4.0,87.0,11.2,1.8
Minto,2550.0,583.0,61.0,79.8,18.3,1.9
Miranda (NSW),3830.0,1537.0,207.0,68.7,27.6,3.7
Mona Vale,2705.0,826.0,108.0,74.3,22.7,3.0
Monterey,1182.0,485.0,50.0,68.8,28.2,2.9
Moorebank,2031.0,380.0,41.0,82.8,15.5,1.7
Mortdale,2583.0,1021.0,160.0,68.6,27.1,4.3
Mortlake (NSW),217.0,62.0,5.0,76.4,21.8,1.8
Mosman,6993.0,3404.0,345.0,65.1,31.7,3.2
Mount Annan,2824.0,267.0,46.0,90.0,8.5,1.5
Mount Colah,1958.0,291.0,46.0,85.3,12.7,2.0
Mount Druitt,3796.0,846.0,129.0,79.6,17.7,2.7
Mount Hutton (NSW),834.0,350.0,38.0,68.2,28.6,3.1
Mount Keira,440.0,88.0,7.0,82.2,16.4,1.3
Mount Kembla,289.0,58.0,10.0,81.0,16.2,2.8
Mount Lewis,281.0,41.0,4.0,86.2,12.6,1.2
Mount Ousley,438.0,78.0,23.0,81.3,14.5,4.3
Mount Pleasant (NSW),347.0,72.0,4.0,82.0,17.0,0.9
Mount Pritchard,2206.0,528.0,50.0,79.2,19.0,1.8
Mount Riverview,858.0,149.0,14.0,84.0,14.6,1.4
Mount Saint Thomas,372.0,132.0,15.0,71.7,25.4,2.9
Mount Warrigal,1357.0,274.0,16.0,82.4,16.6,1.0
Narara,2117.0,504.0,75.0,78.5,18.7,2.8
Narellan,933.0,249.0,35.0,76.7,20.5,2.9
Narellan Vale,1952.0,243.0,32.0,87.7,10.9,1.4
Naremburn,1521.0,586.0,112.0,68.5,26.4,5.0
Narrabeen,1778.0,1320.0,141.0,54.9,40.8,4.4
Narraweena,1558.0,600.0,53.0,70.5,27.1,2.4
Narwee,1221.0,464.0,31.0,71.2,27.0,1.8
Neutral Bay,2329.0,1747.0,367.0,52.4,39.3,8.3
New Lambton,2516.0,1230.0,156.0,64.5,31.5,4.0
New Lambton Heights,618.0,80.0,15.0,86.7,11.2,2.1
Newcastle,521.0,422.0,144.0,47.9,38.8,13.2
Newcastle East,211.0,194.0,58.0,45.6,41.9,12.5
Newcastle West,109.0,132.0,39.0,38.9,47.1,13.9
Newington (NSW),1488.0,304.0,59.0,80.4,16.4,3.2
Newport (NSW),2468.0,722.0,105.0,74.9,21.9,3.2
Newtown (NSW),3004.0,2083.0,954.0,49.7,34.5,15.8
Niagara Park,747.0,203.0,40.0,75.5,20.5,4.0
Norah Head,304.0,78.0,6.0,78.4,20.1,1.5
Noraville,717.0,284.0,32.0,69.4,27.5,3.1
Normanhurst,1296.0,381.0,30.0,75.9,22.3,1.8
North Avoca,523.0,122.0,28.0,77.7,18.1,4.2
North Balgowlah,922.0,136.0,17.0,85.8,12.7,1.6
North Bondi,1959.0,853.0,378.0,61.4,26.7,11.8
North Curl Curl,918.0,173.0,37.0,81.4,15.3,3.3
North Epping,1196.0,218.0,23.0,83.2,15.2,1.6
North Gosford,862.0,424.0,66.0,63.8,31.4,4.9
North Lambton,748.0,297.0,131.0,63.6,25.3,11.1
North Manly,712.0,147.0,22.0,80.8,16.7,2.5
North Narrabeen,1458.0,302.0,61.0,80.1,16.6,3.3
North Parramatta,2895.0,1412.0,249.0,63.5,31.0,5.5
North Rocks,2142.0,331.0,29.0,85.6,13.2,1.2
North Ryde,2595.0,647.0,105.0,77.5,19.3,3.1
North St Marys,930.0,253.0,38.0,76.2,20.7,3.1
North Strathfield,1048.0,323.0,139.0,69.4,21.4,9.2
North Sydney,1450.0,1145.0,216.0,51.6,40.7,7.7
North Turramurra,1033.0,368.0,9.0,73.3,26.1,0.6
North Wahroonga,552.0,56.0,5.0,90.0,9.1,0.8
North Willoughby,1046.0,327.0,67.0,72.6,22.7,4.7
North Wollongong,331.0,292.0,149.0,42.9,37.8,19.3
Northbridge (NSW),1594.0,351.0,40.0,80.3,17.7,2.0
Northmead,2786.0,1127.0,138.0,68.8,27.8,3.4
Northwood (NSW),243.0,27.0,3.0,89.0,9.9,1.1
Oak Flats,1770.0,516.0,47.0,75.9,22.1,2.0
Oakhurst (NSW),1690.0,183.0,33.0,88.7,9.6,1.7
Oatlands (NSW),1330.0,314.0,35.0,79.2,18.7,2.1
Oatley,2781.0,734.0,60.0,77.8,20.5,1.7
Old Guildford,570.0,75.0,13.0,86.6,11.4,2.0
Old Toongabbie,734.0,150.0,15.0,81.6,16.7,1.7
Ourimbah,1104.0,269.0,47.0,77.7,18.9,3.3
Oxley Park,729.0,208.0,43.0,74.4,21.2,4.4
Oyster Bay,1509.0,230.0,21.0,85.7,13.1,1.2
Paddington (NSW),2643.0,1847.0,597.0,52.0,36.3,11.7
Padstow,3325.0,1063.0,90.0,74.3,23.7,2.0
Padstow Heights,904.0,260.0,20.0,76.4,22.0,1.7
Pagewood,933.0,277.0,36.0,74.9,22.2,2.9
Palm Beach (NSW),421.0,149.0,11.0,72.5,25.6,1.9
Panania,3041.0,864.0,83.0,76.3,21.7,2.1
Parramatta,4681.0,1842.0,600.0,65.7,25.9,8.4
Peakhurst,2496.0,892.0,45.0,72.7,26.0,1.3
Peakhurst Heights,680.0,123.0,6.0,84.1,15.2,0.7
Pearl Beach,125.0,78.0,5.0,60.1,37.5,2.4
Pelican (NSW),252.0,77.0,10.0,74.3,22.7,2.9
Pendle Hill,1616.0,598.0,52.0,71.3,26.4,2.3
Pennant Hills,1889.0,486.0,40.0,78.2,20.1,1.7
Penrith,2821.0,1905.0,208.0,57.2,38.6,4.2
Penrose (Wollongong - NSW),384.0,160.0,4.0,70.1,29.2,0.7
Penshurst (NSW),3071.0,1107.0,168.0,70.7,25.5,3.9
Petersham,1732.0,970.0,297.0,57.8,32.3,9.9
Phillip Bay,168.0,39.0,4.0,79.6,18.5,1.9
Picnic Point,1574.0,298.0,26.0,82.9,15.7,1.4
Plumpton (NSW),1968.0,239.0,39.0,87.6,10.6,1.7
Point Clare,984.0,397.0,36.0,69.4,28.0,2.5
Point Frederick,447.0,326.0,26.0,55.9,40.8,3.3
Point Piper,308.0,137.0,31.0,64.7,28.8,6.5
Port Kembla,1281.0,564.0,58.0,67.3,29.6,3.0
Potts Point,1108.0,1920.0,315.0,33.1,57.4,9.4
Prairiewood,789.0,109.0,13.0,86.6,12.0,1.4
Prestons,3543.0,322.0,42.0,90.7,8.2,1.1
Primbee,427.0,166.0,20.0,69.7,27.1,3.3
Prospect (NSW),1242.0,182.0,29.0,85.5,12.5,2.0
Punchbowl (Canterbury - NSW),4166.0,929.0,137.0,79.6,17.8,2.6
Putney,1086.0,214.0,29.0,81.7,16.1,2.2
Pymble,2917.0,406.0,46.0,86.6,12.1,1.4
Pyrmont,2833.0,1518.0,665.0,56.5,30.3,13.3
Quakers Hill,6919.0,1013.0,154.0,85.6,12.5,1.9
Queens Park (NSW),750.0,266.0,66.0,69.3,24.6,6.1
Raby,1612.0,230.0,27.0,86.2,12.3,1.4
Ramsgate,246.0,43.0,10.0,82.3,14.4,3.3
Ramsgate Beach,375.0,299.0,19.0,54.1,43.1,2.7
Randwick,6529.0,3252.0,1248.0,59.2,29.5,11.3
Rankin Park,728.0,131.0,26.0,82.3,14.8,2.9
Redfern,2275.0,2200.0,892.0,42.4,41.0,16.6
Redhead,938.0,380.0,23.0,69.9,28.3,1.7
Regents Park (NSW),1081.0,293.0,49.0,76.0,20.6,3.4
Regentville,155.0,37.0,5.0,78.7,18.8,2.5
Revesby,3266.0,991.0,110.0,74.8,22.7,2.5
Revesby Heights,362.0,85.0,6.0,79.9,18.8,1.3
Rhodes,1429.0,483.0,258.0,65.9,22.3,11.9
Riverstone,1632.0,432.0,54.0,77.1,20.4,2.5
Riverview (Lane Cove - NSW),828.0,115.0,10.0,86.9,12.1,1.0
Riverwood,2498.0,1167.0,122.0,66.0,30.8,3.2
Rockdale,3337.0,960.0,391.0,71.2,20.5,8.3
Rocky Point (NSW),73.0,22.0,0.0,76.8,23.2,0.0
Rodd Point,362.0,96.0,10.0,77.4,20.5,2.1
Rooty Hill,3232.0,499.0,72.0,85.0,13.1,1.9
Rose Bay (NSW),2428.0,1057.0,217.0,65.6,28.6,5.9
Rosebery (NSW),2142.0,588.0,220.0,72.6,19.9,7.5
Roselands,2817.0,770.0,58.0,77.3,21.1,1.6
Rosemeadow,1922.0,387.0,38.0,81.9,16.5,1.6
Roseville,2410.0,505.0,66.0,80.8,16.9,2.2
Roseville Chase,437.0,57.0,7.0,87.2,11.4,1.4
Rouse Hill,1838.0,236.0,35.0,87.2,11.2,1.7
Rozelle,2137.0,882.0,252.0,65.3,27.0,7.7
Ruse,1531.0,302.0,28.0,82.3,16.2,1.5
Rushcutters Bay,403.0,704.0,103.0,33.3,58.2,8.5
Russell Lea,1274.0,448.0,65.0,71.3,25.1,3.6
Russell Vale,416.0,125.0,12.0,75.2,22.6,2.2
Rydalmere,1589.0,426.0,64.0,76.4,20.5,3.1
Ryde,5579.0,2055.0,367.0,69.7,25.7,4.6
Sadleir,711.0,229.0,19.0,74.1,23.9,2.0
San Remo (NSW),1111.0,303.0,57.0,75.5,20.6,3.9
Sandringham (NSW),273.0,111.0,12.0,68.9,28.0,3.0
Sans Souci,2589.0,1097.0,100.0,68.4,29.0,2.6
Saratoga,1059.0,273.0,22.0,78.2,20.2,1.6
Scarborough (NSW),74.0,24.0,0.0,75.5,24.5,0.0
Schofields,993.0,242.0,37.0,78.1,19.0,2.9
Scotland Island,203.0,46.0,3.0,80.6,18.3,1.2
Seaforth (NSW),1809.0,279.0,37.0,85.1,13.1,1.7
Sefton,1276.0,340.0,30.0,77.5,20.7,1.8
Seven Hills (NSW),4972.0,1340.0,157.0,76.9,20.7,2.4
Shalvey,843.0,151.0,20.0,83.1,14.9,2.0
Shell Cove,1118.0,88.0,6.0,92.2,7.3,0.5
Shellharbour,943.0,252.0,24.0,77.4,20.7,2.0
Shelly Beach (NSW),344.0,112.0,15.0,73.0,23.8,3.2
Shortland,979.0,435.0,85.0,65.3,29.0,5.7
Silverwater (Lake Macquarie - NSW),73.0,19.0,3.0,76.8,20.0,3.2
Smithfield (NSW),2684.0,777.0,71.0,76.0,22.0,2.0
South Coogee,1210.0,678.0,61.0,62.1,34.8,3.1
South Granville,1038.0,364.0,22.0,72.9,25.6,1.5
South Hurstville,1256.0,367.0,50.0,75.1,21.9,3.0
South Penrith,3269.0,696.0,94.0,80.5,17.1,2.3
South Turramurra,819.0,122.0,13.0,85.8,12.8,1.4
South Wentworthville,1417.0,430.0,39.0,75.1,22.8,2.1
Speers Point,925.0,321.0,39.0,72.0,25.0,3.0
Springfield (Gosford - NSW),1088.0,292.0,26.0,77.4,20.8,1.8
Springwood (NSW),2210.0,844.0,77.0,70.6,27.0,2.5
St Andrews (NSW),1512.0,239.0,35.0,84.7,13.4,2.0
St Clair (Penrith - NSW),5340.0,658.0,86.0,87.8,10.8,1.4
St Helens Park,1644.0,298.0,44.0,82.8,15.0,2.2
St Huberts Island,316.0,96.0,6.0,75.6,23.0,1.4
St Ives (NSW),4353.0,799.0,47.0,83.7,15.4,0.9
St Ives Chase,871.0,92.0,0.0,90.4,9.6,0.0
St Johns Park,1488.0,167.0,19.0,88.9,10.0,1.1
St Leonards (NSW),1151.0,752.0,181.0,55.2,36.1,8.7
St Marys (NSW),2695.0,1246.0,162.0,65.7,30.4,3.9
St Peters (NSW),677.0,304.0,178.0,58.4,26.2,15.4
Stanhope Gardens,2018.0,342.0,35.0,84.3,14.3,1.5
Stanmore (NSW),1811.0,894.0,387.0,58.6,28.9,12.5
Stockton (NSW),995.0,440.0,54.0,66.8,29.6,3.6
Strathfield (NSW),5491.0,1405.0,582.0,73.4,18.8,7.8
Strathfield South,845.0,200.0,32.0,78.5,18.6,3.0
Summer Hill (Ashfield - NSW),1588.0,907.0,220.0,58.5,33.4,8.1
Surry Hills,2920.0,2972.0,1062.0,42.0,42.7,15.3
Sutherland (NSW),2578.0,1539.0,195.0,59.8,35.7,4.5
Swansea (NSW),1274.0,731.0,52.0,61.9,35.5,2.5
Swansea Heads,190.0,42.0,0.0,81.9,18.1,0.0
Sydenham (NSW),239.0,100.0,47.0,61.9,25.9,12.2
Sydney,2483.0,1936.0,935.0,46.4,36.2,17.5
Sylvania,2661.0,845.0,56.0,74.7,23.7,1.6
Sylvania Waters,874.0,178.0,21.0,81.5,16.6,2.0
Tacoma,205.0,21.0,5.0,88.7,9.1,2.2
Tacoma South,74.0,11.0,0.0,87.1,12.9,0.0
Tamarama,318.0,118.0,82.0,61.4,22.8,15.8
Taren Point,468.0,183.0,12.0,70.6,27.6,1.8
Tarrawanna,533.0,233.0,5.0,69.1,30.2,0.6
Tascott,442.0,130.0,9.0,76.1,22.4,1.5
Tempe,823.0,248.0,83.0,71.3,21.5,7.2
Teralba,384.0,169.0,18.0,67.3,29.6,3.2
Terrey Hills,793.0,108.0,21.0,86.0,11.7,2.3
Terrigal,2848.0,965.0,153.0,71.8,24.3,3.9
The Entrance,914.0,694.0,76.0,54.3,41.2,4.5
The Entrance North,366.0,171.0,25.0,65.1,30.4,4.4
The Hill,383.0,289.0,119.0,48.4,36.5,15.0
The Junction,359.0,238.0,62.0,54.5,36.1,9.4
Thirroul,1485.0,464.0,67.0,73.7,23.0,3.3
Thornleigh,2216.0,415.0,47.0,82.7,15.5,1.8
Tighes Hill,395.0,207.0,57.0,59.9,31.4,8.6
Tingira Heights,555.0,94.0,16.0,83.5,14.1,2.4
Toongabbie (NSW),3421.0,822.0,113.0,78.5,18.9,2.6
Toowoon Bay,147.0,103.0,6.0,57.4,40.2,2.3
Toronto,1427.0,645.0,53.0,67.2,30.4,2.5
Toukley,1054.0,677.0,62.0,58.8,37.8,3.5
Towradgi,781.0,397.0,26.0,64.9,33.0,2.2
Tregear,918.0,281.0,26.0,74.9,22.9,2.1
Tuggerah,263.0,84.0,16.0,72.5,23.1,4.4
Tuggerawong,302.0,134.0,22.0,65.9,29.3,4.8
Tumbi Umbi,1366.0,336.0,30.0,78.9,19.4,1.7
Turramurra,2994.0,712.0,45.0,79.8,19.0,1.2
Turrella,383.0,61.0,18.0,82.9,13.2,3.9
Ultimo,1115.0,1029.0,440.0,43.2,39.8,17.0
Umina Beach,4294.0,1814.0,178.0,68.3,28.9,2.8
Unanderra,1483.0,661.0,42.0,67.8,30.2,1.9
Valentine (NSW),1634.0,317.0,18.0,83.0,16.1,0.9
Valley Heights,400.0,77.0,13.0,81.6,15.7,2.7
Vaucluse,2328.0,627.0,101.0,76.2,20.5,3.3
Villawood,1139.0,568.0,40.0,65.2,32.5,2.3
Voyager Point,349.0,12.0,5.0,95.4,3.3,1.4
Wahroonga,4376.0,876.0,81.0,82.1,16.4,1.5
Waitara,1448.0,725.0,73.0,64.5,32.3,3.3
Wakeley,1214.0,121.0,18.0,89.7,8.9,1.3
Wallsend,3209.0,1416.0,190.0,66.6,29.4,3.9
Wamberal,1723.0,353.0,61.0,80.6,16.5,2.9
Warabrook,527.0,174.0,38.0,71.3,23.5,5.1
Waratah (NSW),976.0,686.0,138.0,54.2,38.1,7.7
Waratah West,646.0,250.0,135.0,62.7,24.2,13.1
Wareemba,402.0,142.0,24.0,70.8,25.0,4.2
Warilla,1664.0,783.0,58.0,66.4,31.3,2.3
Warners Bay,2095.0,843.0,56.0,70.0,28.2,1.9
Warrawee,787.0,115.0,12.0,86.1,12.6,1.3
Warrawong,1194.0,614.0,58.0,64.0,32.9,3.1
Warriewood,1657.0,280.0,38.0,83.9,14.2,1.9
Warrimoo,637.0,149.0,22.0,78.8,18.4,2.7
Warwick Farm,1017.0,574.0,75.0,61.0,34.5,4.5
Watanobbi,981.0,288.0,33.0,75.3,22.1,2.5
Waterloo (NSW),1981.0,2119.0,718.0,41.1,44.0,14.9
Watsons Bay,179.0,82.0,3.0,67.8,31.1,1.1
Wattle Grove (NSW),2230.0,276.0,39.0,87.6,10.8,1.5
Waverley (NSW),900.0,539.0,122.0,57.7,34.5,7.8
Waverton,738.0,425.0,110.0,58.0,33.4,8.6
Wentworthville,2682.0,827.0,122.0,73.9,22.8,3.4
Werrington,993.0,382.0,67.0,68.9,26.5,4.6
Werrington County,1005.0,179.0,22.0,83.3,14.8,1.8
Werrington Downs,895.0,136.0,16.0,85.5,13.0,1.5
West Gosford,312.0,270.0,40.0,50.2,43.4,6.4
West Hoxton,2253.0,129.0,18.0,93.9,5.4,0.8
West Pennant Hills,4404.0,577.0,39.0,87.7,11.5,0.8
West Pymble,1369.0,256.0,22.0,83.1,15.5,1.3
West Ryde,3132.0,1171.0,204.0,69.5,26.0,4.5
