,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%)
Abbotsbury,0.0,0.0,6.0,232.0,918.0,19.0,3.9,3.5,0.0,0.0,0.5,19.7,78.1,1.6,--,--
New South Wales,18042.0,137467.0,555253.0,986995.0,726049.0,47491.0,3.0,2.6,0.7,5.6,22.5,39.9,29.4,1.9,--,--
Australia,42160.0,363129.0,1481577.0,3379930.0,2350132.0,143394.0,3.1,2.6,0.5,4.7,19.1,43.6,30.3,1.8,--,--
Abbotsford (NSW),5.0,109.0,926.0,766.0,276.0,31.0,2.6,2.3,0.2,5.2,43.8,36.3,13.1,1.5,--,--
Acacia Gardens,3.0,3.0,4.0,347.0,715.0,7.0,3.7,3.4,0.3,0.3,0.4,32.2,66.3,0.6,--,--
Adamstown,6.0,132.0,835.0,895.0,425.0,45.0,2.7,2.3,0.3,5.6,35.7,38.3,18.2,1.9,--,--
Adamstown Heights,0.0,24.0,181.0,1052.0,661.0,23.0,3.3,2.6,0.0,1.2,9.3,54.2,34.1,1.2,--,--
Airds,3.0,34.0,25.0,864.0,160.0,33.0,3.1,2.9,0.3,3.0,2.2,77.2,14.3,2.9,--,--
Albion Park,3.0,16.0,252.0,1798.0,2003.0,33.0,3.5,3.0,0.1,0.4,6.1,43.8,48.8,0.8,--,--
Albion Park Rail,4.0,36.0,352.0,1443.0,586.0,38.0,3.1,2.7,0.2,1.5,14.3,58.7,23.8,1.5,--,--
Alexandria,43.0,872.0,1511.0,641.0,166.0,42.0,2.0,2.0,1.3,26.6,46.1,19.6,5.1,1.3,--,--
Alfords Point,0.0,3.0,7.0,157.0,751.0,7.0,4.0,3.6,0.0,0.3,0.8,17.0,81.2,0.8,--,--
Allambie Heights,75.0,169.0,185.0,877.0,911.0,44.0,3.2,2.8,3.3,7.5,8.2,38.8,40.3,1.9,--,--
Allawah,13.0,66.0,1149.0,629.0,163.0,44.0,2.5,2.5,0.6,3.2,55.7,30.5,7.9,2.1,--,--
Ambarvale,10.0,8.0,128.0,1302.0,681.0,47.0,3.3,3.0,0.5,0.4,5.9,59.8,31.3,2.2,--,--
Annandale (NSW),145.0,536.0,1309.0,1090.0,392.0,45.0,2.3,2.2,4.1,15.2,37.2,31.0,11.1,1.3,--,--
Argenton,3.0,26.0,200.0,258.0,60.0,13.0,2.7,2.4,0.5,4.6,35.7,46.1,10.7,2.3,--,--
Arncliffe,20.0,149.0,772.0,1071.0,559.0,87.0,2.9,2.9,0.8,5.6,29.0,40.3,21.0,3.3,--,--
Artarmon,8.0,231.0,2081.0,705.0,454.0,39.0,2.5,2.4,0.2,6.6,59.2,20.0,12.9,1.1,--,--
Ashbury,0.0,11.0,190.0,549.0,275.0,13.0,3.1,3.0,0.0,1.1,18.3,52.9,26.5,1.3,--,--
Ashcroft,31.0,27.0,123.0,629.0,205.0,41.0,3.1,3.0,2.9,2.6,11.6,59.6,19.4,3.9,--,--
Ashfield (NSW),114.0,980.0,4293.0,1815.0,857.0,157.0,2.3,2.4,1.4,11.9,52.3,22.1,10.4,1.9,--,--
Asquith,6.0,35.0,183.0,546.0,418.0,17.0,3.2,2.8,0.5,2.9,15.2,45.3,34.7,1.4,--,--
Auburn (NSW),114.0,379.0,3523.0,3423.0,1579.0,327.0,2.7,3.3,1.2,4.1,37.7,36.6,16.9,3.5,--,--
Austinmer,3.0,15.0,147.0,369.0,302.0,10.0,3.2,2.7,0.4,1.8,17.4,43.6,35.7,1.2,--,--
Avoca Beach,3.0,47.0,184.0,553.0,675.0,15.0,3.4,2.8,0.2,3.2,12.5,37.4,45.7,1.0,--,--
Balgowlah,8.0,194.0,1112.0,1064.0,476.0,34.0,2.7,2.5,0.3,6.7,38.5,36.8,16.5,1.2,--,--
Balgowlah Heights,4.0,8.0,43.0,343.0,612.0,15.0,3.7,3.1,0.4,0.8,4.2,33.5,59.7,1.5,--,--
Balgownie,3.0,41.0,254.0,987.0,699.0,26.0,3.3,2.6,0.1,2.0,12.6,49.1,34.8,1.3,--,--
Balmain,114.0,567.0,1682.0,1263.0,511.0,56.0,2.4,2.2,2.7,13.5,40.1,30.1,12.2,1.3,--,--
Balmain East,14.0,127.0,305.0,235.0,133.0,11.0,2.4,2.1,1.7,15.4,37.0,28.5,16.1,1.3,--,--
Bangor (NSW),6.0,33.0,54.0,624.0,1059.0,17.0,3.7,3.0,0.3,1.8,3.0,34.8,59.1,0.9,--,--
Banksia,0.0,14.0,220.0,539.0,234.0,22.0,3.1,2.9,0.0,1.4,21.4,52.4,22.7,2.1,--,--
Bankstown,27.0,315.0,4448.0,2663.0,1532.0,288.0,2.7,3.0,0.3,3.4,48.0,28.7,16.5,3.1,--,--
Bar Beach,7.0,147.0,128.0,109.0,107.0,23.0,2.4,2.0,1.3,28.2,24.6,20.9,20.5,4.4,--,--
Barden Ridge,0.0,3.0,8.0,244.0,861.0,6.0,4.0,3.6,0.0,0.3,0.7,21.7,76.7,0.5,--,--
Bardwell Park,0.0,12.0,159.0,374.0,208.0,13.0,3.1,2.9,0.0,1.6,20.8,48.8,27.2,1.7,--,--
Bardwell Valley,0.0,43.0,131.0,354.0,209.0,17.0,3.1,2.9,0.0,5.7,17.4,46.9,27.7,2.3,--,--
Barnsley,4.0,7.0,51.0,359.0,171.0,3.0,3.2,3.0,0.7,1.2,8.6,60.3,28.7,0.5,--,--
Barrack Heights,0.0,27.0,232.0,1304.0,521.0,54.0,3.2,2.7,0.0,1.3,10.9,61.0,24.4,2.5,--,--
Barrack Point,3.0,19.0,47.0,67.0,86.0,8.0,3.1,2.5,1.3,8.3,20.4,29.1,37.4,3.5,--,--
Bass Hill,62.0,112.0,300.0,1261.0,745.0,80.0,3.1,3.0,2.4,4.4,11.7,49.3,29.1,3.1,--,--
Bateau Bay,9.0,260.0,628.0,1967.0,1538.0,98.0,3.2,2.4,0.2,5.8,14.0,43.7,34.2,2.2,--,--
Baulkham Hills,4.0,84.0,1085.0,4829.0,5175.0,94.0,3.5,2.9,0.0,0.7,9.6,42.8,45.9,0.8,--,--
Bayview (NSW),8.0,126.0,249.0,259.0,521.0,23.0,3.2,2.4,0.7,10.6,21.0,21.8,43.9,1.9,--,--
Beacon Hill,5.0,30.0,122.0,860.0,1119.0,26.0,3.6,3.1,0.2,1.4,5.6,39.8,51.8,1.2,--,--
Beaconsfield (NSW),0.0,37.0,167.0,129.0,22.0,7.0,2.4,2.2,0.0,10.2,46.1,35.6,6.1,1.9,--,--
Beecroft,4.0,27.0,167.0,946.0,1635.0,17.0,3.7,3.0,0.1,1.0,6.0,33.8,58.5,0.6,--,--
Belfield,12.0,91.0,547.0,882.0,460.0,49.0,2.9,2.9,0.6,4.5,26.8,43.2,22.5,2.4,--,--
Bella Vista,4.0,3.0,11.0,309.0,1733.0,16.0,4.1,3.5,0.2,0.1,0.5,14.9,83.5,0.8,--,--
Bellambi,0.0,95.0,395.0,867.0,226.0,48.0,2.8,2.4,0.0,5.8,24.2,53.2,13.9,2.9,--,--
Bellevue Hill,13.0,299.0,1226.0,1025.0,1054.0,56.0,2.9,2.5,0.4,8.1,33.4,27.9,28.7,1.5,--,--
Belmont (NSW),4.0,274.0,768.0,915.0,668.0,67.0,2.8,2.3,0.1,10.2,28.5,33.9,24.8,2.5,--,--
Belmont North,9.0,66.0,337.0,1221.0,646.0,37.0,3.1,2.6,0.4,2.8,14.6,52.7,27.9,1.6,--,--
Belmont South,5.0,20.0,117.0,239.0,75.0,17.0,2.8,2.4,1.1,4.2,24.7,50.5,15.9,3.6,--,--
Belmore,23.0,158.0,1733.0,1514.0,642.0,128.0,2.7,2.8,0.5,3.8,41.3,36.1,15.3,3.0,--,--
Belrose,0.0,58.0,279.0,861.0,1484.0,37.0,3.6,2.9,0.0,2.1,10.3,31.7,54.6,1.4,--,--
Bensville,0.0,3.0,35.0,273.0,491.0,12.0,3.7,3.1,0.0,0.4,4.3,33.5,60.3,1.5,--,--
Berala,14.0,94.0,893.0,1048.0,604.0,73.0,2.9,3.1,0.5,3.4,32.8,38.4,22.2,2.7,--,--
Berkeley,21.0,108.0,455.0,1446.0,635.0,79.0,3.0,2.6,0.8,3.9,16.6,52.7,23.1,2.9,--,--
Berkeley Vale,6.0,48.0,451.0,1494.0,932.0,43.0,3.2,2.7,0.2,1.6,15.2,50.2,31.3,1.4,--,--
Berowra,3.0,13.0,70.0,591.0,759.0,12.0,3.6,3.1,0.2,0.9,4.8,40.8,52.4,0.8,--,--
Berowra Heights,4.0,18.0,62.0,816.0,756.0,16.0,3.5,3.0,0.2,1.1,3.7,48.8,45.2,1.0,--,--
Beverley Park,0.0,3.0,150.0,335.0,225.0,12.0,3.2,2.9,0.0,0.4,20.7,46.2,31.0,1.7,--,--
Beverly Hills,5.0,137.0,776.0,1507.0,818.0,58.0,3.0,2.8,0.2,4.2,23.5,45.7,24.8,1.8,--,--
Bexley,10.0,156.0,2043.0,2577.0,1226.0,107.0,2.9,2.9,0.2,2.5,33.4,42.1,20.0,1.7,--,--
Bexley North,6.0,84.0,333.0,595.0,305.0,23.0,2.9,2.8,0.4,6.2,24.7,44.2,22.7,1.7,--,--
Bidwill (NSW),3.0,32.0,34.0,1072.0,196.0,35.0,3.1,3.1,0.2,2.3,2.5,78.1,14.3,2.6,--,--
Birchgrove,18.0,131.0,364.0,488.0,230.0,6.0,2.7,2.4,1.5,10.6,29.4,39.5,18.6,0.5,--,--
Birmingham Gardens,6.0,54.0,189.0,344.0,169.0,19.0,2.9,2.6,0.8,6.9,24.2,44.0,21.6,2.4,--,--
Birrong,15.0,9.0,151.0,441.0,240.0,27.0,3.1,3.1,1.7,1.0,17.1,49.9,27.2,3.1,--,--
Blackalls Park,3.0,29.0,198.0,596.0,220.0,13.0,3.0,2.5,0.3,2.7,18.7,56.3,20.8,1.2,--,--
Blackbutt (NSW),0.0,50.0,158.0,410.0,522.0,17.0,3.4,2.7,0.0,4.3,13.7,35.4,45.1,1.5,--,--
Blackett,3.0,27.0,30.0,690.0,272.0,28.0,3.2,3.1,0.3,2.6,2.9,65.7,25.9,2.7,--,--
Blacksmiths,21.0,55.0,239.0,308.0,135.0,18.0,2.7,2.2,2.7,7.1,30.8,39.7,17.4,2.3,--,--
Blacktown,53.0,346.0,3253.0,7041.0,3385.0,329.0,3.0,2.9,0.4,2.4,22.6,48.9,23.5,2.3,--,--
Blackwall (NSW),4.0,34.0,182.0,344.0,146.0,20.0,2.9,2.3,0.5,4.7,24.9,47.1,20.0,2.7,--,--
Blairmount,0.0,3.0,18.0,32.0,63.0,3.0,3.6,3.3,0.0,2.5,15.1,26.9,52.9,2.5,--,--
Blakehurst,3.0,42.0,215.0,738.0,895.0,32.0,3.5,3.0,0.2,2.2,11.2,38.3,46.5,1.7,--,--
Blaxland (NSW),0.0,36.0,232.0,1200.0,1140.0,32.0,3.4,2.7,0.0,1.4,8.8,45.5,43.2,1.2,--,--
Blue Bay,3.0,15.0,147.0,177.0,65.0,11.0,2.7,2.2,0.7,3.6,35.2,42.3,15.6,2.6,--,--
Blue Haven,0.0,14.0,61.0,987.0,951.0,29.0,3.5,2.9,0.0,0.7,3.0,48.3,46.6,1.4,--,--
Bolton Point,0.0,46.0,99.0,444.0,209.0,24.0,3.1,2.5,0.0,5.6,12.0,54.0,25.4,2.9,--,--
Bondi,95.0,562.0,1989.0,822.0,318.0,95.0,2.2,2.1,2.4,14.5,51.2,21.2,8.2,2.4,--,--
Bondi Beach,175.0,1084.0,2350.0,698.0,246.0,126.0,2.0,2.0,3.7,23.2,50.2,14.9,5.3,2.7,--,--
Bondi Junction,103.0,649.0,1384.0,1026.0,289.0,74.0,2.3,2.1,2.9,18.4,39.3,29.1,8.2,2.1,--,--
Bonnet Bay,0.0,0.0,8.0,255.0,432.0,0.0,3.7,3.0,0.0,0.0,1.2,36.7,62.2,0.0,--,--
Bonnyrigg,8.0,66.0,47.0,1315.0,758.0,80.0,3.3,3.4,0.4,2.9,2.1,57.8,33.3,3.5,--,--
Bonnyrigg Heights,5.0,5.0,22.0,652.0,1174.0,20.0,3.7,3.8,0.3,0.3,1.2,34.7,62.5,1.1,--,--
Booker Bay,0.0,31.0,167.0,219.0,76.0,13.0,2.7,2.1,0.0,6.1,33.0,43.3,15.0,2.6,--,--
Boolaroo,0.0,18.0,114.0,203.0,52.0,7.0,2.8,2.3,0.0,4.6,28.9,51.5,13.2,1.8,--,--
Booragul,0.0,20.0,124.0,257.0,82.0,13.0,2.9,2.4,0.0,4.0,25.0,51.8,16.5,2.6,--,--
Bossley Park,7.0,31.0,112.0,1985.0,1851.0,89.0,3.5,3.4,0.2,0.8,2.7,48.7,45.4,2.2,--,--
Botany,35.0,203.0,917.0,1277.0,502.0,49.0,2.7,2.8,1.2,6.8,30.7,42.8,16.8,1.6,--,--
Bow Bowing,0.0,0.0,3.0,253.0,224.0,7.0,3.5,3.2,0.0,0.0,0.6,52.0,46.0,1.4,--,--
Bradbury (NSW),0.0,57.0,161.0,1717.0,985.0,50.0,3.3,2.8,0.0,1.9,5.4,57.8,33.2,1.7,--,--
Broadmeadow,3.0,48.0,252.0,283.0,76.0,21.0,2.6,2.2,0.4,7.0,36.9,41.4,11.1,3.1,--,--
Bronte,41.0,238.0,968.0,607.0,567.0,39.0,2.7,2.5,1.7,9.7,39.3,24.7,23.0,1.6,--,--
Brookvale,17.0,209.0,404.0,240.0,116.0,16.0,2.3,2.4,1.7,20.9,40.3,24.0,11.6,1.6,--,--
Budgewoi,5.0,48.0,372.0,609.0,289.0,35.0,2.9,2.3,0.4,3.5,27.4,44.8,21.3,2.6,--,--
Buff Point,0.0,26.0,237.0,652.0,360.0,30.0,3.1,2.4,0.0,2.0,18.2,50.0,27.6,2.3,--,--
Bulli,3.0,85.0,402.0,840.0,645.0,23.0,3.1,2.7,0.2,4.3,20.1,42.0,32.3,1.2,--,--
Burwood (NSW),46.0,324.0,1709.0,1194.0,851.0,110.0,2.7,2.7,1.1,7.7,40.4,28.2,20.1,2.6,--,--
Burwood Heights,0.0,10.0,50.0,81.0,102.0,4.0,3.4,3.0,0.0,4.0,20.2,32.8,41.3,1.6,--,--
Busby,5.0,23.0,61.0,745.0,328.0,36.0,3.2,3.1,0.4,1.9,5.1,62.2,27.4,3.0,--,--
Cabarita (NSW),0.0,0.0,69.0,446.0,173.0,5.0,3.2,2.6,0.0,0.0,10.0,64.4,25.0,0.7,--,--
Cabramatta,39.0,356.0,2731.0,2093.0,970.0,251.0,2.7,3.0,0.6,5.5,42.4,32.5,15.1,3.9,--,--
Cabramatta West,4.0,22.0,200.0,956.0,651.0,62.0,3.3,3.4,0.2,1.2,10.6,50.4,34.4,3.3,--,--
Cambridge Gardens,0.0,0.0,6.0,430.0,228.0,8.0,3.4,2.9,0.0,0.0,0.9,64.0,33.9,1.2,--,--
Cambridge Park,5.0,28.0,149.0,1419.0,544.0,47.0,3.2,2.7,0.2,1.3,6.8,64.7,24.8,2.1,--,--
Camden,13.0,89.0,280.0,514.0,298.0,34.0,2.9,2.4,1.1,7.2,22.8,41.9,24.3,2.8,--,--
Camden South,0.0,14.0,78.0,749.0,665.0,14.0,3.5,2.8,0.0,0.9,5.1,49.3,43.8,0.9,--,--
Cammeray,21.0,496.0,1257.0,866.0,325.0,27.0,2.4,2.1,0.7,16.6,42.0,28.9,10.9,0.9,--,--
Campbelltown (NSW),24.0,174.0,1044.0,1737.0,839.0,82.0,2.9,2.4,0.6,4.5,26.8,44.5,21.5,2.1,--,--
Camperdown (NSW),108.0,1193.0,1258.0,481.0,118.0,42.0,1.8,1.9,3.4,37.3,39.3,15.0,3.7,1.3,--,--
Campsie,51.0,306.0,4124.0,1591.0,811.0,217.0,2.4,2.8,0.7,4.3,58.1,22.4,11.4,3.1,--,--
Canada Bay,0.0,3.0,183.0,189.0,93.0,9.0,2.9,2.6,0.0,0.6,38.4,39.6,19.5,1.9,--,--
Canley Heights,10.0,42.0,318.0,1702.0,795.0,82.0,3.2,3.4,0.3,1.4,10.8,57.7,27.0,2.8,--,--
Canley Vale,22.0,186.0,892.0,1073.0,616.0,79.0,2.8,3.1,0.8,6.5,31.1,37.4,21.5,2.8,--,--
Canterbury (NSW),20.0,141.0,904.0,728.0,341.0,57.0,2.7,2.7,0.9,6.4,41.3,33.2,15.6,2.6,--,--
Canton Beach,6.0,48.0,333.0,142.0,39.0,11.0,2.3,1.8,1.0,8.3,57.5,24.5,6.7,1.9,--,--
Cardiff (NSW),0.0,56.0,542.0,1180.0,404.0,27.0,2.9,2.5,0.0,2.5,24.5,53.4,18.3,1.2,--,--
Cardiff Heights,0.0,8.0,95.0,174.0,159.0,11.0,3.3,2.5,0.0,1.8,21.3,38.9,35.6,2.5,--,--
Cardiff South,3.0,15.0,233.0,592.0,282.0,7.0,3.0,2.6,0.3,1.3,20.6,52.3,24.9,0.6,--,--
Caringbah,29.0,380.0,1833.0,1643.0,592.0,81.0,2.6,2.3,0.6,8.3,40.2,36.0,13.0,1.8,--,--
Carlingford,27.0,176.0,826.0,2956.0,3042.0,68.0,3.4,2.9,0.4,2.5,11.6,41.7,42.9,1.0,--,--
Carlton (NSW),14.0,98.0,1407.0,1141.0,629.0,71.0,2.7,2.8,0.4,2.9,41.9,34.0,18.7,2.1,--,--
Carramar (NSW),10.0,126.0,482.0,365.0,139.0,54.0,2.5,2.6,0.9,10.7,41.0,31.0,11.8,4.6,--,--
Carrington (Newcastle - NSW),3.0,67.0,296.0,360.0,58.0,15.0,2.5,2.2,0.4,8.4,37.0,45.1,7.3,1.9,--,--
Carss Park,4.0,31.0,69.0,153.0,165.0,13.0,3.2,2.8,0.9,7.1,15.9,35.2,37.9,3.0,--,--
Cartwright,74.0,66.0,131.0,402.0,128.0,39.0,2.6,2.6,8.8,7.9,15.6,47.9,15.2,4.6,--,--
Castle Cove,0.0,7.0,48.0,286.0,479.0,5.0,3.7,2.9,0.0,0.8,5.8,34.7,58.1,0.6,--,--
Castle Hill (NSW),11.0,286.0,1237.0,3135.0,7250.0,146.0,3.6,3.0,0.1,2.4,10.3,26.0,60.1,1.2,--,--
Castlecrag,0.0,7.0,81.0,302.0,543.0,12.0,3.7,3.0,0.0,0.7,8.6,32.0,57.5,1.3,--,--
Casula,7.0,79.0,319.0,1793.0,2022.0,191.0,3.5,3.1,0.2,1.8,7.2,40.6,45.8,4.3,--,--
Caves Beach,4.0,19.0,130.0,598.0,632.0,14.0,3.5,2.7,0.3,1.4,9.3,42.8,45.2,1.0,--,--
Cecil Hills,4.0,0.0,7.0,284.0,1483.0,29.0,4.0,3.7,0.2,0.0,0.4,15.7,82.1,1.6,--,--
Centennial Park (NSW),91.0,297.0,415.0,111.0,111.0,20.0,1.9,1.8,8.7,28.4,39.7,10.6,10.6,1.9,--,--
Charlestown (NSW),5.0,192.0,926.0,2478.0,1189.0,73.0,3.0,2.4,0.1,3.9,19.0,51.0,24.4,1.5,--,--
Charmhaven,3.0,19.0,137.0,445.0,211.0,20.0,3.1,2.6,0.4,2.3,16.4,53.3,25.3,2.4,--,--
Chatswood,104.0,1043.0,3040.0,2142.0,1363.0,111.0,2.5,2.5,1.3,13.4,39.0,27.5,17.5,1.4,--,--
Chatswood West,5.0,3.0,48.0,183.0,235.0,4.0,3.5,2.9,1.0,0.6,10.0,38.3,49.2,0.8,--,--
Cheltenham (NSW),0.0,3.0,23.0,210.0,409.0,5.0,3.8,3.1,0.0,0.5,3.5,32.3,62.9,0.8,--,--
Cherrybrook,3.0,60.0,254.0,1433.0,3999.0,39.0,3.8,3.2,0.1,1.0,4.4,24.8,69.1,0.7,--,--
Chester Hill,31.0,194.0,808.0,1827.0,865.0,101.0,3.0,3.0,0.8,5.1,21.1,47.8,22.6,2.6,--,--
Chifley (NSW),18.0,43.0,229.0,428.0,342.0,16.0,3.1,2.9,1.7,4.0,21.3,39.8,31.8,1.5,--,--
Chippendale,132.0,614.0,625.0,233.0,94.0,43.0,1.8,2.0,7.6,35.3,35.9,13.4,5.4,2.5,--,--
Chipping Norton,6.0,19.0,264.0,965.0,1535.0,32.0,3.6,3.0,0.2,0.7,9.4,34.2,54.4,1.1,--,--
Chiswick,0.0,141.0,643.0,191.0,115.0,15.0,2.3,2.1,0.0,12.8,58.2,17.3,10.4,1.4,--,--
Chittaway Bay,0.0,13.0,71.0,377.0,223.0,14.0,3.3,2.7,0.0,1.9,10.2,54.0,31.9,2.0,--,--
Chittaway Point,0.0,4.0,46.0,147.0,104.0,7.0,3.2,2.7,0.0,1.3,14.9,47.7,33.8,2.3,--,--
Church Point,3.0,6.0,29.0,137.0,219.0,3.0,3.6,2.7,0.8,1.5,7.3,34.5,55.2,0.8,--,--
Claremont Meadows,0.0,7.0,12.0,680.0,561.0,12.0,3.5,3.2,0.0,0.6,0.9,53.5,44.1,0.9,--,--
Claymore,4.0,0.0,3.0,626.0,152.0,29.0,3.2,3.5,0.5,0.0,0.4,76.9,18.7,3.6,--,--
Clontarf (NSW),0.0,3.0,28.0,138.0,355.0,9.0,3.8,3.1,0.0,0.6,5.3,25.9,66.6,1.7,--,--
Clovelly,7.0,136.0,729.0,492.0,338.0,18.0,2.7,2.5,0.4,7.9,42.4,28.6,19.7,1.0,--,--
Coal Point,0.0,8.0,71.0,262.0,275.0,11.0,3.4,2.6,0.0,1.3,11.3,41.8,43.9,1.8,--,--
Coledale,0.0,13.0,67.0,184.0,141.0,4.0,3.2,2.7,0.0,3.2,16.4,45.0,34.5,1.0,--,--
Collaroy (NSW),15.0,287.0,1221.0,1596.0,1820.0,49.0,3.1,2.8,0.3,5.8,24.5,32.0,36.5,1.0,--,--
Colyton,10.0,37.0,146.0,1745.0,667.0,41.0,3.2,2.9,0.4,1.4,5.5,65.9,25.2,1.5,--,--
Como (NSW),0.0,17.0,153.0,534.0,506.0,17.0,3.4,3.0,0.0,1.4,12.5,43.5,41.2,1.4,--,--
Concord,3.0,199.0,892.0,2182.0,1381.0,72.0,3.1,2.9,0.1,4.2,18.9,46.1,29.2,1.5,--,--
Concord West,3.0,73.0,384.0,843.0,579.0,24.0,3.1,2.9,0.2,3.8,20.1,44.2,30.4,1.3,--,--
Condell Park,17.0,46.0,363.0,1568.0,1013.0,63.0,3.3,3.2,0.6,1.5,11.8,51.1,33.0,2.1,--,--
Coniston,4.0,44.0,250.0,340.0,163.0,28.0,2.8,2.4,0.5,5.3,30.2,41.0,19.7,3.4,--,--
Connells Point,0.0,3.0,74.0,365.0,448.0,4.0,3.6,2.9,0.0,0.3,8.3,40.8,50.1,0.4,--,--
Coogee (NSW),38.0,834.0,3079.0,1371.0,530.0,63.0,2.3,2.2,0.6,14.1,52.1,23.2,9.0,1.1,--,--
Cooks Hill,3.0,145.0,698.0,592.0,148.0,31.0,2.5,2.1,0.2,9.0,43.2,36.6,9.2,1.9,--,--
Copacabana,0.0,12.0,114.0,384.0,385.0,11.0,3.4,2.8,0.0,1.3,12.6,42.4,42.5,1.2,--,--
Cordeaux Heights,0.0,0.0,32.0,455.0,891.0,10.0,3.8,3.4,0.0,0.0,2.3,32.8,64.2,0.7,--,--
Corrimal,5.0,114.0,716.0,1137.0,521.0,44.0,2.9,2.4,0.2,4.5,28.2,44.8,20.5,1.7,--,--
Cranebrook,3.0,19.0,74.0,2574.0,1901.0,58.0,3.5,3.1,0.1,0.4,1.6,55.6,41.1,1.3,--,--
Cremorne (NSW),55.0,831.0,2147.0,1250.0,528.0,65.0,2.3,2.0,1.1,17.0,44.0,25.6,10.8,1.3,--,--
Cremorne Point,25.0,112.0,399.0,243.0,102.0,6.0,2.4,2.0,2.8,12.6,45.0,27.4,11.5,0.7,--,--
Cringila,0.0,25.0,101.0,389.0,135.0,24.0,3.0,3.0,0.0,3.7,15.0,57.7,20.0,3.6,--,--
Cromer (NSW),22.0,217.0,270.0,910.0,1009.0,34.0,3.2,2.8,0.9,8.8,11.0,37.0,41.0,1.4,--,--
Cronulla,13.0,1143.0,3745.0,1841.0,866.0,167.0,2.4,2.1,0.2,14.7,48.2,23.7,11.1,2.1,--,--
Croudace Bay,4.0,0.0,19.0,94.0,82.0,0.0,3.3,2.7,2.0,0.0,9.5,47.2,41.2,0.0,--,--
Crows Nest (NSW),54.0,367.0,743.0,513.0,110.0,16.0,2.1,2.1,3.0,20.4,41.2,28.5,6.1,0.9,--,--
Croydon (NSW),23.0,214.0,1011.0,1276.0,845.0,69.0,2.9,2.8,0.7,6.2,29.4,37.1,24.6,2.0,--,--
Croydon Park (NSW),12.0,214.0,1304.0,1441.0,811.0,85.0,2.8,2.7,0.3,5.5,33.7,37.3,21.0,2.2,--,--
Curl Curl,8.0,34.0,193.0,258.0,284.0,9.0,3.1,2.9,1.0,4.3,24.6,32.8,36.1,1.1,--,--
Currans Hill,3.0,13.0,27.0,749.0,787.0,14.0,3.5,3.1,0.2,0.8,1.7,47.0,49.4,0.9,--,--
Daceyville,3.0,139.0,170.0,142.0,43.0,27.0,2.2,1.9,0.6,26.5,32.4,27.1,8.2,5.2,--,--
Daleys Point,0.0,7.0,82.0,77.0,90.0,4.0,3.0,2.1,0.0,2.7,31.5,29.6,34.6,1.5,--,--
Dapto,11.0,81.0,472.0,2313.0,989.0,69.0,3.1,2.6,0.3,2.1,12.0,58.8,25.1,1.8,--,--
Darling Point,20.0,244.0,832.0,598.0,141.0,43.0,2.4,1.9,1.1,13.0,44.3,31.8,7.5,2.3,--,--
Darlinghurst,469.0,1926.0,1577.0,473.0,214.0,86.0,1.6,1.7,9.9,40.6,33.2,10.0,4.5,1.8,--,--
Darlington (Sydney - NSW),26.0,120.0,263.0,196.0,177.0,10.0,2.6,2.3,3.3,15.2,33.2,24.7,22.3,1.3,--,--
Davidson,0.0,7.0,5.0,171.0,582.0,3.0,4.0,3.1,0.0,0.9,0.7,22.3,75.8,0.4,--,--
Davistown,0.0,23.0,279.0,395.0,228.0,20.0,3.0,2.4,0.0,2.4,29.5,41.8,24.1,2.1,--,--
Dawes Point,3.0,29.0,83.0,102.0,8.0,7.0,2.4,2.0,1.3,12.5,35.8,44.0,3.4,3.0,--,--
Dean Park,3.0,3.0,12.0,667.0,211.0,17.0,3.2,3.2,0.3,0.3,1.3,73.1,23.1,1.9,--,--
Dee Why,65.0,1437.0,4846.0,1148.0,777.0,164.0,2.2,2.2,0.8,17.0,57.4,13.6,9.2,1.9,--,--
Denistone,3.0,7.0,138.0,544.0,431.0,11.0,3.3,3.1,0.3,0.6,12.2,48.0,38.0,1.0,--,--
Denistone East,0.0,3.0,91.0,356.0,242.0,3.0,3.3,3.0,0.0,0.4,13.1,51.2,34.8,0.4,--,--
Denistone West,0.0,4.0,30.0,160.0,97.0,5.0,3.3,3.1,0.0,1.4,10.1,54.1,32.8,1.7,--,--
Dharruk,0.0,3.0,19.0,560.0,204.0,23.0,3.3,3.2,0.0,0.4,2.3,69.2,25.2,2.8,--,--
Dolans Bay,0.0,0.0,9.0,63.0,98.0,0.0,3.8,3.1,0.0,0.0,5.3,37.1,57.6,0.0,--,--
Dolls Point,0.0,49.0,450.0,235.0,72.0,24.0,2.4,2.1,0.0,5.9,54.2,28.3,8.7,2.9,--,--
Doonside,11.0,118.0,324.0,2442.0,1102.0,93.0,3.2,3.1,0.3,2.9,7.9,59.7,26.9,2.3,--,--
Double Bay,4.0,166.0,981.0,565.0,219.0,31.0,2.5,2.1,0.2,8.4,49.9,28.7,11.1,1.6,--,--
Dover Heights,7.0,43.0,259.0,396.0,605.0,21.0,3.3,2.9,0.5,3.2,19.5,29.8,45.5,1.6,--,--
