,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%)
Revesby Heights,0.0,0.0,40.0,243.0,163.0,5.0,3.4,2.9,0.0,0.0,8.9,53.9,36.1,1.1,--,--
Rhodes,16.0,359.0,1284.0,412.0,77.0,24.0,2.1,2.3,0.7,16.5,59.1,19.0,3.5,1.1,--,--
Riverstone,11.0,56.0,252.0,1121.0,611.0,64.0,3.2,2.8,0.5,2.6,11.9,53.0,28.9,3.0,--,--
Riverview (Lane Cove - NSW),0.0,16.0,77.0,296.0,555.0,9.0,3.7,3.2,0.0,1.7,8.1,31.1,58.2,0.9,--,--
Riverwood,98.0,244.0,1207.0,1591.0,524.0,124.0,2.6,2.5,2.6,6.4,31.9,42.0,13.8,3.3,--,--
Rockdale,26.0,321.0,2641.0,1089.0,512.0,98.0,2.4,2.7,0.6,6.8,56.3,23.2,10.9,2.1,--,--
Rocky Point (NSW),0.0,3.0,17.0,43.0,33.0,0.0,3.2,2.7,0.0,3.1,17.7,44.8,34.4,0.0,--,--
Rodd Point,0.0,4.0,129.0,196.0,130.0,7.0,3.1,2.7,0.0,0.9,27.7,42.1,27.9,1.5,--,--
Rooty Hill,6.0,36.0,173.0,2149.0,1365.0,74.0,3.4,3.3,0.2,0.9,4.5,56.5,35.9,1.9,--,--
Rose Bay (NSW),36.0,385.0,1615.0,985.0,628.0,53.0,2.6,2.3,1.0,10.4,43.6,26.6,17.0,1.4,--,--
Rosebery (NSW),11.0,303.0,1184.0,977.0,415.0,62.0,2.6,2.6,0.4,10.3,40.1,33.1,14.1,2.1,--,--
Roselands,16.0,118.0,988.0,1528.0,897.0,99.0,3.0,2.9,0.4,3.2,27.1,41.9,24.6,2.7,--,--
Rosemeadow,3.0,35.0,65.0,1428.0,753.0,63.0,3.4,3.1,0.1,1.5,2.8,60.8,32.1,2.7,--,--
Roseville,6.0,107.0,457.0,948.0,1422.0,43.0,3.4,3.0,0.2,3.6,15.3,31.8,47.7,1.4,--,--
Roseville Chase,4.0,0.0,38.0,178.0,275.0,4.0,3.6,3.1,0.8,0.0,7.6,35.7,55.1,0.8,--,--
Rouse Hill,5.0,67.0,91.0,263.0,1662.0,21.0,3.8,3.4,0.2,3.2,4.3,12.5,78.8,1.0,--,--
Rozelle,25.0,464.0,1284.0,1184.0,280.0,34.0,2.4,2.3,0.8,14.2,39.3,36.2,8.6,1.0,--,--
Ruse,3.0,5.0,49.0,1056.0,726.0,23.0,3.4,2.9,0.2,0.3,2.6,56.7,39.0,1.2,--,--
Rushcutters Bay,287.0,442.0,363.0,83.0,12.0,23.0,1.2,1.5,23.7,36.5,30.0,6.9,1.0,1.9,--,--
Russell Lea,6.0,80.0,563.0,699.0,409.0,28.0,2.9,2.6,0.3,4.5,31.5,39.2,22.9,1.6,--,--
Russell Vale,0.0,13.0,109.0,307.0,116.0,9.0,3.0,2.7,0.0,2.3,19.7,55.4,20.9,1.6,--,--
Rydalmere,23.0,108.0,301.0,1198.0,409.0,38.0,3.0,2.8,1.1,5.2,14.5,57.7,19.7,1.8,--,--
Ryde,37.0,640.0,2556.0,2889.0,1760.0,119.0,2.8,2.6,0.5,8.0,31.9,36.1,22.0,1.5,--,--
Sadleir,28.0,44.0,47.0,607.0,201.0,35.0,3.0,3.0,2.9,4.6,4.9,63.1,20.9,3.6,--,--
San Remo (NSW),0.0,17.0,171.0,877.0,377.0,29.0,3.2,2.8,0.0,1.2,11.6,59.6,25.6,2.0,--,--
Sandringham (NSW),0.0,8.0,131.0,139.0,112.0,8.0,3.0,2.4,0.0,2.0,32.9,34.9,28.1,2.0,--,--
Sans Souci,15.0,113.0,1168.0,1588.0,819.0,85.0,2.9,2.5,0.4,3.0,30.8,41.9,21.6,2.2,--,--
Saratoga,0.0,36.0,153.0,648.0,494.0,22.0,3.3,2.7,0.0,2.7,11.3,47.9,36.5,1.6,--,--
Scarborough (NSW),3.0,4.0,24.0,38.0,24.0,3.0,2.8,2.8,3.1,4.2,25.0,39.6,25.0,3.1,--,--
Schofields,4.0,20.0,104.0,609.0,512.0,24.0,3.4,2.9,0.3,1.6,8.2,47.8,40.2,1.9,--,--
Scotland Island,3.0,9.0,58.0,121.0,55.0,6.0,3.0,2.8,1.2,3.6,23.0,48.0,21.8,2.4,--,--
Seaforth (NSW),3.0,34.0,226.0,851.0,1000.0,13.0,3.5,3.1,0.1,1.6,10.6,40.0,47.0,0.6,--,--
Sefton,3.0,53.0,328.0,815.0,397.0,50.0,3.0,3.1,0.2,3.2,19.9,49.5,24.1,3.0,--,--
Seven Hills (NSW),29.0,239.0,698.0,3775.0,1618.0,111.0,3.1,2.8,0.4,3.7,10.8,58.3,25.0,1.7,--,--
Shalvey,0.0,10.0,11.0,732.0,222.0,38.0,3.3,3.3,0.0,1.0,1.1,72.3,21.9,3.8,--,--
Shell Cove,0.0,0.0,8.0,196.0,1000.0,9.0,3.9,3.3,0.0,0.0,0.7,16.2,82.4,0.7,--,--
Shellharbour,4.0,22.0,242.0,552.0,388.0,10.0,3.2,2.7,0.3,1.8,19.9,45.3,31.9,0.8,--,--
Shelly Beach (NSW),3.0,16.0,69.0,200.0,175.0,8.0,3.2,2.5,0.6,3.4,14.6,42.5,37.2,1.7,--,--
Shortland,4.0,59.0,364.0,828.0,220.0,24.0,2.9,2.4,0.3,3.9,24.3,55.2,14.7,1.6,--,--
Silverwater (Lake Macquarie - NSW),0.0,0.0,14.0,48.0,30.0,3.0,3.3,2.5,0.0,0.0,14.7,50.5,31.6,3.2,--,--
Smithfield (NSW),13.0,209.0,461.0,1808.0,927.0,114.0,3.1,2.9,0.4,5.9,13.1,51.2,26.2,3.2,--,--
South Coogee,61.0,212.0,515.0,609.0,478.0,71.0,2.7,2.4,3.1,10.9,26.5,31.3,24.6,3.6,--,--
South Granville,50.0,123.0,282.0,614.0,292.0,61.0,2.8,3.2,3.5,8.6,19.8,43.2,20.5,4.3,--,--
South Hurstville,0.0,45.0,480.0,726.0,386.0,34.0,3.0,2.9,0.0,2.7,28.7,43.4,23.1,2.0,--,--
South Penrith,9.0,40.0,134.0,2449.0,1359.0,68.0,3.4,2.8,0.2,1.0,3.3,60.3,33.5,1.7,--,--
South Turramurra,3.0,3.0,26.0,366.0,546.0,11.0,3.7,3.0,0.3,0.3,2.7,38.3,57.2,1.2,--,--
South Wentworthville,3.0,51.0,458.0,923.0,416.0,34.0,3.0,2.9,0.2,2.7,24.3,49.0,22.1,1.8,--,--
Speers Point,3.0,43.0,286.0,638.0,295.0,22.0,3.0,2.5,0.2,3.3,22.2,49.6,22.9,1.7,--,--
Springfield (Gosford - NSW),3.0,25.0,113.0,729.0,517.0,19.0,3.3,2.8,0.2,1.8,8.0,51.8,36.8,1.4,--,--
Springwood (NSW),13.0,132.0,489.0,1373.0,1081.0,44.0,3.2,2.5,0.4,4.2,15.6,43.8,34.5,1.4,--,--
St Andrews (NSW),0.0,10.0,39.0,1093.0,625.0,23.0,3.4,3.1,0.0,0.6,2.2,61.1,34.9,1.3,--,--
St Clair (Penrith - NSW),7.0,29.0,61.0,3460.0,2454.0,74.0,3.5,3.2,0.1,0.5,1.0,56.9,40.3,1.2,--,--
St Helens Park,3.0,3.0,71.0,1161.0,734.0,17.0,3.4,3.1,0.2,0.2,3.6,58.4,36.9,0.9,--,--
St Huberts Island,0.0,4.0,17.0,207.0,191.0,3.0,3.5,2.3,0.0,0.9,4.0,49.1,45.3,0.7,--,--
St Ives (NSW),6.0,60.0,548.0,1584.0,2947.0,53.0,3.6,2.9,0.1,1.2,10.5,30.5,56.7,1.0,--,--
St Ives Chase,3.0,0.0,14.0,244.0,700.0,6.0,4.0,3.1,0.3,0.0,1.4,25.2,72.4,0.6,--,--
St Johns Park,3.0,9.0,28.0,842.0,763.0,28.0,3.5,3.4,0.2,0.5,1.7,50.3,45.6,1.7,--,--
St Leonards (NSW),96.0,770.0,795.0,353.0,60.0,12.0,1.8,2.0,4.6,36.9,38.1,16.9,2.9,0.6,--,--
St Marys (NSW),30.0,177.0,982.0,2135.0,645.0,134.0,2.8,2.5,0.7,4.3,23.9,52.0,15.7,3.3,--,--
St Peters (NSW),7.0,112.0,564.0,348.0,109.0,20.0,2.4,2.2,0.6,9.7,48.6,30.0,9.4,1.7,--,--
Stanhope Gardens,0.0,44.0,191.0,632.0,1502.0,25.0,3.6,3.1,0.0,1.8,8.0,26.4,62.7,1.0,--,--
Stanmore (NSW),51.0,550.0,989.0,1040.0,416.0,43.0,2.5,2.3,1.7,17.8,32.0,33.7,13.5,1.4,--,--
Stockton (NSW),15.0,73.0,401.0,710.0,264.0,24.0,2.8,2.3,1.0,4.9,27.0,47.7,17.8,1.6,--,--
Strathfield (NSW),97.0,436.0,2499.0,1797.0,2445.0,205.0,3.0,2.9,1.3,5.8,33.4,24.0,32.7,2.7,--,--
Strathfield South,5.0,24.0,305.0,448.0,279.0,15.0,3.0,2.9,0.5,2.2,28.3,41.6,25.9,1.4,--,--
Summer Hill (Ashfield - NSW),36.0,456.0,1339.0,555.0,282.0,47.0,2.2,2.2,1.3,16.8,49.3,20.4,10.4,1.7,--,--
Surry Hills,389.0,2511.0,2615.0,912.0,373.0,155.0,1.8,1.8,5.6,36.1,37.6,13.1,5.4,2.2,--,--
Sutherland (NSW),9.0,236.0,2667.0,930.0,416.0,53.0,2.4,2.1,0.2,5.5,61.9,21.6,9.6,1.2,--,--
Swansea (NSW),5.0,174.0,697.0,827.0,299.0,56.0,2.6,2.2,0.2,8.5,33.9,40.2,14.5,2.7,--,--
Swansea Heads,0.0,4.0,22.0,92.0,109.0,4.0,3.4,2.8,0.0,1.7,9.5,39.8,47.2,1.7,--,--
Sydenham (NSW),0.0,17.0,148.0,168.0,40.0,15.0,2.7,2.4,0.0,4.4,38.1,43.3,10.3,3.9,--,--
Sydney,300.0,1947.0,2454.0,502.0,39.0,112.0,1.7,2.1,5.6,36.4,45.8,9.4,0.7,2.1,--,--
Sylvania,19.0,169.0,654.0,1515.0,1118.0,83.0,3.1,2.6,0.5,4.7,18.4,42.6,31.4,2.3,--,--
Sylvania Waters,4.0,3.0,125.0,421.0,498.0,21.0,3.5,2.9,0.4,0.3,11.7,39.3,46.5,2.0,--,--
Tacoma,0.0,3.0,23.0,101.0,103.0,3.0,3.4,3.1,0.0,1.3,9.9,43.3,44.2,1.3,--,--
Tacoma South,0.0,3.0,7.0,35.0,37.0,3.0,3.4,2.9,0.0,3.5,8.2,41.2,43.5,3.5,--,--
Tamarama,0.0,75.0,243.0,122.0,73.0,8.0,2.4,2.3,0.0,14.4,46.6,23.4,14.0,1.5,--,--
Taren Point,0.0,27.0,145.0,303.0,176.0,11.0,3.0,2.3,0.0,4.1,21.9,45.8,26.6,1.7,--,--
Tarrawanna,3.0,30.0,201.0,308.0,215.0,18.0,3.0,2.5,0.4,3.9,25.9,39.7,27.7,2.3,--,--
Tascott,0.0,10.0,68.0,302.0,194.0,7.0,3.3,2.6,0.0,1.7,11.7,52.0,33.4,1.2,--,--
Tempe,4.0,39.0,405.0,532.0,152.0,24.0,2.7,2.6,0.3,3.4,35.0,46.0,13.1,2.1,--,--
Teralba,4.0,50.0,151.0,252.0,104.0,9.0,2.8,2.4,0.7,8.8,26.5,44.2,18.2,1.6,--,--
Terrey Hills,3.0,27.0,49.0,280.0,550.0,13.0,3.7,3.1,0.3,2.9,5.3,30.4,59.7,1.4,--,--
Terrigal,6.0,96.0,589.0,1627.0,1595.0,52.0,3.3,2.5,0.2,2.4,14.9,41.0,40.2,1.3,--,--
The Entrance,6.0,131.0,914.0,467.0,114.0,50.0,2.4,2.0,0.4,7.8,54.3,27.8,6.8,3.0,--,--
