,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Table Top,4.0,34.0,182.0,194.0,17.0,0.9,7.9,42.2,45.0,3.9,13722
Little Billabong,0.0,4.0,18.0,17.0,0.0,0.0,10.3,46.2,43.6,0.0,12350
Gerogery,5.0,39.0,77.0,68.0,5.0,2.6,20.1,39.7,35.1,2.6,11605
Brocklesby,0.0,22.0,28.0,17.0,5.0,0.0,30.6,38.9,23.6,6.9,10584
Walla Walla,8.0,96.0,107.0,75.0,14.0,2.7,32.0,35.7,25.0,4.7,14097
Glenellen,0.0,3.0,22.0,20.0,0.0,0.0,6.7,48.9,44.4,0.0,11663
Burrumbuttock,3.0,34.0,38.0,41.0,8.0,2.4,27.4,30.6,33.1,6.5,10716
Walbundrie,0.0,14.0,28.0,16.0,0.0,0.0,24.1,48.3,27.6,0.0,14092
Morven (Greater Hume Shire - NSW),0.0,10.0,14.0,23.0,3.0,0.0,20.0,28.0,46.0,6.0,12737
Culcairn,19.0,187.0,194.0,109.0,18.0,3.6,35.5,36.8,20.7,3.4,11147
Henty (NSW),34.0,170.0,165.0,91.0,22.0,7.1,35.3,34.2,18.9,4.6,11892
Mullengandra,0.0,11.0,23.0,9.0,3.0,0.0,23.9,50.0,19.6,6.5,12823
Bowna,0.0,11.0,18.0,12.0,0.0,0.0,26.8,43.9,29.3,0.0,10534
Bungowannah,0.0,6.0,20.0,26.0,0.0,0.0,11.5,38.5,50.0,0.0,10686
Woomargama,4.0,31.0,26.0,15.0,4.0,5.0,38.8,32.5,18.8,5.0,14413
Springdale Heights,53.0,350.0,258.0,101.0,30.0,6.7,44.2,32.6,12.8,3.8,13622
Hay (NSW),65.0,303.0,297.0,159.0,62.0,7.3,34.2,33.5,17.9,7.0,11874
Hay South,3.0,38.0,51.0,37.0,13.0,2.1,26.8,35.9,26.1,9.2,11875
Gol Gol,17.0,83.0,261.0,136.0,17.0,3.3,16.1,50.8,26.5,3.3,11693
Buronga,17.0,136.0,175.0,79.0,26.0,3.9,31.4,40.4,18.2,6.0,10696
Wentworth (NSW),51.0,222.0,194.0,87.0,35.0,8.7,37.7,32.9,14.8,5.9,14225
Coomealla,22.0,60.0,94.0,68.0,15.0,8.5,23.2,36.3,26.3,5.8,11041
Dareton,33.0,74.0,56.0,9.0,13.0,17.8,40.0,30.3,4.9,7.0,11206
Curlwaa,7.0,34.0,51.0,39.0,3.0,5.2,25.4,38.1,29.1,2.2,11170
Euston,16.0,64.0,93.0,68.0,10.0,6.4,25.5,37.1,27.1,4.0,11468
Pomona (NSW),5.0,12.0,23.0,12.0,4.0,8.9,21.4,41.1,21.4,7.1,13240
