,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Bar Beach,,398,431,,,148,123,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,28.3,,,9.7,8.1,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barden Ridge,195,"1,767","1,486",,,382,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,32.6,27.4,,,7.1,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardwell Park,,401,412,,,152,,,,,,262,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,14.8,,,5.5,,,,,,9.4,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardwell Valley,,475,420,,,186,,,,,,,209,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,15.7,,,7.0,,,,,,,7.8,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley,,826,838,,,153,155,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,35.6,,,6.5,6.6,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack Heights,,"2,286","1,990",,,448,419,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,25.8,,,5.8,5.4,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack Point,,261,256,,,62,41,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,31.6,,,7.7,5.1,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass Hill,503,"1,489","1,153",,,,,,,,,,,,"1,654",627,,,,,,,,,,,,,,,,,,,,,,,,,5.3,15.6,12.1,,,,,,,,,,,,17.3,6.6,,,,,,,,,,,,,,,,,,,,,,,,
Bateau Bay,,"5,321","5,125",,,"1,471","1,191",,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,32.8,,,9.4,7.6,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baulkham Hills,,"10,135","9,435",,,"3,020","2,434",,,,,"3,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,21.7,,,6.9,5.6,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview,,"1,000","1,470",,,354,387,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,35.3,,,8.5,9.3,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Hill,644,"2,333","2,391",,,728,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,25.5,26.1,,,8.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,,204,218,,,116,69,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,18.8,,,10.0,5.9,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecroft,,"2,859","2,929",,,"1,012",886,,,,,"1,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,24.7,,,8.5,7.5,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfield,818,829,706,,,,,,,,,576,,,997,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.7,9.9,,,,,,,,,8.1,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vista,,"1,504","1,417",,,455,,739,,,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,15.9,,,5.1,,8.3,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellambi,165,"1,553","1,594",,,382,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,29.5,30.2,,,7.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Hill,,"2,526","2,749",,,"1,051",787,,,,,,,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,18.0,19.5,,,7.5,5.6,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,
Belmont,,"2,815","2,740",,,621,806,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,32.5,,,7.4,9.6,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont North,,"3,044","2,826",,,569,683,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,33.1,,,6.7,8.0,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont South,,545,521,,,105,131,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,33.7,,,6.8,8.5,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmore,,"1,112","1,112",,,,,,,,,"1,236","1,989",,"1,376",,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,,,,,,,,,8.7,14.0,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,
Belrose,,"2,910","3,233",,,869,782,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,26.5,29.5,,,7.9,7.1,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
Bensville,,"1,182","1,144",,,311,219,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,32.0,,,8.7,6.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berala,,819,754,,,,,,,,,"2,750",,,575,382,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.6,,,,,,,,,27.9,,,5.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,436,"2,475","2,281",,,530,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,26.4,24.4,,,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Vale,,"4,026","3,558",,,998,808,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,31.0,,,8.7,7.0,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra,,"1,940","1,935",,,503,492,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,30.2,,,7.9,7.7,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra Heights,,"2,227","2,258",,,600,546,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,31.7,,,8.4,7.7,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley Park,,427,380,,,143,,,,,,142,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,14.9,,,5.6,,,,,,5.6,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,,"1,392","1,314",,,536,,,,,,"2,774",956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,11.6,,,4.7,,,,,,24.5,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,,"2,752","2,645",,,,,,,,,"2,332","1,878",,"2,027",,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,11.8,,,,,,,,,10.4,8.4,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley North,,650,543,,,,,,,,,588,829,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,11.4,,,,,,,,,12.3,17.4,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Bidwill,,"1,600","1,369",,,261,249,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,23.5,,,4.5,4.3,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchgrove,,902,"1,345",,,527,382,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,30.8,,,12.1,8.8,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham Gardens,,816,769,,,204,178,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,27.6,,,7.3,6.4,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birrong,,462,369,,,,,,,,,391,,,297,520,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,10.7,,,,,,,,,11.4,,,8.6,15.1,,,,,,,,,,,,,,,,,,,,,,,,
Blackalls Park,,"1,254","1,255",,,285,307,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,34.1,,,7.8,8.4,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbutt,,"1,028",928,,,208,194,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,23.3,,,5.2,4.9,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackett,,"1,166","1,124",,,208,185,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,25.9,,,4.8,4.3,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacksmiths,,834,808,,,177,199,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,34.1,,,7.5,8.4,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacktown,,"9,186","7,958",,,"2,281",,"4,577","2,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,15.3,,,4.4,,8.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwall,,683,759,,,242,200,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,32.7,,,10.4,8.6,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blairmount,,134,135,,,59,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,21.5,,,9.4,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blakehurst,,"1,233","1,160",,,411,,,,,,811,"1,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,15.7,,,5.6,,,,,,11.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaxland,,"3,273","3,128",,,"1,053",827,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,30.3,,,10.2,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bay,,391,420,,,130,99,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,31.3,,,9.7,7.4,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
