,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Edensor Park,"1,226",965,,808,,,,,,,,809,,,,988,,,,,,,,,,,,,,,,,,,,,,,,,11.3,8.9,,7.5,,,,,,,,7.5,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,
Edgecliff,72,379,703,,,303,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,14.1,26.2,,,11.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgeworth,,"3,026","2,673",,,554,635,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,33.0,,,6.8,7.8,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elanora Heights,173,"1,603","1,616",,,401,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,30.4,30.7,,,7.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderslie,,"1,900","1,778",,,479,389,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,31.2,,,8.4,6.8,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleebana,,"2,366","2,446",,,580,634,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,33.1,,,7.8,8.6,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elermore Vale,,"2,261","1,944",,,461,553,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,28.9,,,6.8,8.2,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Bay,,977,"1,724",,,756,539,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,25.0,,,11.0,7.8,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerton,,659,618,,,143,,,,,148,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,21.9,20.5,,,4.7,,,,,4.9,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,
Empire Bay,,"1,029","1,017",,,298,229,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,33.1,,,9.7,7.4,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Heights,,"1,548","1,395",,,377,335,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,30.1,,,8.1,7.2,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Plains,,"3,423","3,136",,,927,739,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,29.1,,,8.6,6.9,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,317,380,314,,,,,,,,,425,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,11.8,9.7,,,,,,,,,13.2,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
Engadine,,"7,880","6,948",,,"2,173","1,526",,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,30.6,,,9.6,6.7,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enmore,,936,"1,127",,,489,331,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,23.0,,,10.0,6.8,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epping,,"4,046","4,259",,,"1,447",,,,,,"5,814",,,,,,,,,,"1,643",,,,,,,,,,,,,,,,,,,,16.4,17.2,,,5.9,,,,,,23.5,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,
Erina,,"1,789","2,005",,,455,446,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,33.1,,,7.5,7.4,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermington,,"2,391","2,042",,,712,,,,,,"1,063",,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,17.3,,,6.0,,,,,,9.0,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
Erskine Park,,"2,370","1,829",,,441,,,385,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,27.9,21.6,,,5.2,,,4.5,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,
Erskineville,,"1,866","2,433",,,"1,060",769,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,25.4,,,11.1,8.0,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eschol Park,,982,840,,,192,172,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,24.5,,,5.6,5.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ettalong Beach,,"1,899","1,899",,,612,437,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,,,10.0,7.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,,"1,234",,"2,116",,,,,,,,"1,756",,,,"1,599",,,,,,,,,,,,,,"1,549",,,,,,,,,,,,6.5,,11.1,,,,,,,,9.3,,,,8.4,,,,,,,,,,,,,,8.2,,,,,,,,,,
Fairfield East,,494,439,,,,,,,,,692,,,495,"1,100",,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7.8,,,,,,,,,12.3,,,8.8,19.5,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Heights,,559,,"1,021",,,,,,,,580,,,,681,,,,,,,,,,,,,,515,,,,,,,,,,,,7.6,,13.8,,,,,,,,7.9,,,,9.2,,,,,,,,,,,,,,7.0,,,,,,,,,,
Fairfield West,,"1,349","1,136",834,,,,,,,,952,,,,"1,787",,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.2,6.8,,,,,,,,7.7,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,
Fairlight,,"1,674","2,469",,,755,650,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,32.7,,,10.0,8.6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairy Meadow,740,"2,033","1,912",,,520,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,24.1,22.6,,,6.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmborough Heights,305,"1,560","1,473",,,389,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,28.0,26.4,,,7.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faulconbridge,,"1,721","1,651",,,534,453,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,29.8,,,9.6,8.2,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennell Bay,,616,687,,,161,181,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,34.3,,,8.0,9.0,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figtree,732,"3,734","3,497",,,954,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,26.6,24.9,,,6.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Dock,"2,222","1,936","1,825",,,831,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,17.4,16.4,,,7.5,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher,,"1,301","1,019",,,197,210,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,28.8,,,5.6,5.9,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders,,"1,837","1,709",,,365,340,,,,,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,25.3,,,5.4,5.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Floraville,,748,672,,,135,169,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,32.9,,,6.6,8.3,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Lodge,,771,908,,,420,292,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,23.7,,,11.0,7.6,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forestville,,"2,397","2,826",,,827,726,,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,26.9,,,7.9,6.9,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forresters Beach,,"1,024","1,083",,,320,269,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,31.9,,,9.4,7.9,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenchs Forest,,"4,720","5,279",,,"1,441","1,308",,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,29.5,,,8.0,7.3,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Suburb,,761,821,,,245,238,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,31.4,,,9.4,9.1,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateshead,,"1,633","1,454",,,378,360,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,31.4,,,8.2,7.8,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Hall,668,"1,779","1,438",,,,,,,,,,569,,"1,326",,,,,,,,,,,,,,,,,,,,,,,,,,6.5,17.3,13.9,,,,,,,,,,5.5,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,,893,803,,,233,195,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,29.8,,,8.6,7.2,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girraween,,766,664,,,,,926,,,,240,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,14.0,12.2,,,,,17.0,,,,4.4,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,
Gladesville,990,"3,248","3,231",,,"1,298",969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,22.2,22.1,,,8.9,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glebe,,"2,721","3,380",,,"1,605","1,131",,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,22.4,,,10.7,7.5,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Alpine,198,"1,469","1,335",,,383,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,26.2,23.8,,,6.8,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenbrook,,"2,270","2,059",,,742,565,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,29.3,,,10.6,8.0,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,,"1,569","1,346",,,290,336,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,30.9,,,6.7,7.7,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendenning,,"1,164",886,,,210,,566,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,14.5,,,3.4,,9.3,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield,,"1,668","1,497",,,403,,761,,,,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,16.4,,,4.4,,8.3,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenhaven,405,"2,085","2,212",,,604,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,25.8,27.4,,,7.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmore Park,853,"8,088","6,986",,,"1,699","1,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,30.3,26.2,,,6.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenning Valley,,963,857,,,252,184,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,30.9,,,9.1,6.6,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,,"3,344","2,917",,,,,"2,044","1,119",,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,15.5,,,,,10.9,6.0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,,"1,592","2,022",,,603,565,,,,,"1,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,23.5,,,7.0,6.6,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorokan,,"3,355","3,324",,,830,731,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,32.6,,,8.1,7.2,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosford,,"1,027","1,187",,,404,280,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,26.7,,,9.1,6.3,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville,,"1,367","1,254",,,,,"1,329",,,,"1,676",,,"2,083",,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,8.0,,,,,8.5,,,,10.7,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Point,,"1,188","1,214",,,353,314,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,31.1,,,9.0,8.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Point,,249,276,,,53,51,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,36.7,,,7.0,6.8,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,961,"1,205",996,,,,,,,,,"1,172",,,,"1,282",,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.5,7.0,,,,,,,,,8.3,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,
Greenacre,"1,092","2,662","1,901",,,,,,,,,,966,,"8,197",,,,,,,,,,,,,,,,,,,,,,,,,,4.2,10.2,7.3,,,,,,,,,,3.7,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Park,317,417,,840,,,,,,,,546,,,,692,,,,,,,,,,,,,,,,,,,,,,,,,5.8,7.6,,15.3,,,,,,,,10.0,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,,"1,502","1,921",,,776,531,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,27.1,,,10.9,7.5,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystanes,,"5,472","4,357",,,"1,566",,,,,,,,,"2,155",,,,,,,,"1,729",,,,,,,,,,,,,,,,,,,20.5,16.3,,,5.9,,,,,,,,,8.1,,,,,,,,6.5,,,,,,,,,,,,,,,,,
Guildford,,"2,597","2,197",,,585,,,,,,"1,264",,,"5,615",,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,9.7,,,2.6,,,,,,5.6,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford West,,997,863,,,228,185,,,,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,16.2,,,4.3,3.5,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,
Gwynneville,,753,746,,,262,244,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,20.4,,,7.2,6.7,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea,319,"2,792","2,603",,,929,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,29.0,27.0,,,9.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea Bay,276,"2,970","2,860",,,888,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,31.8,30.6,,,9.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haberfield,"2,127","1,593","1,540",,,741,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,18.5,17.9,,,8.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halekulani,,"1,095","1,084",,,316,251,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,33.4,,,9.8,7.7,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,201,"1,395","1,505",,,609,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,25.4,27.4,,,11.1,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton East,,355,385,,,145,98,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,30.5,,,11.5,7.8,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton North,36,370,373,,,110,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.5,30.7,,,9.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton South,191,"1,453","1,502",,,599,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,26.8,27.7,,,11.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammondville,,"1,250",922,,,241,183,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,22.3,,,5.8,4.4,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrington Park,580,"2,982","2,598",,,641,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,29.7,25.9,,,6.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Park,,311,427,,,,,"1,880",,,,371,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,7.7,,,,,34.1,,,,6.7,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
Hassall Grove,,"1,165",894,,,178,,254,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,16.4,,,3.3,,4.7,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haymarket,,,383,,,,,,,,,"1,914",,,,,,,,,,374,,,,,,,,,750,285,,,,,,,,,,,6.6,,,,,,,,,32.7,,,,,,,,,,6.4,,,,,,,,,12.8,4.9,,,,,,,,
Heathcote,,"2,855","2,550",,,708,575,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,31.6,,,8.8,7.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebersham,,"1,658","1,395",,,272,273,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,20.6,,,4.0,4.0,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heckenberg,,635,508,,,106,,,,,,,,,303,366,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,14.3,,,3.0,,,,,,,,,8.5,10.3,,,,,,,,,,,,,,,,,,,,,,,,
Henley,65,146,115,,,44,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,24.9,19.6,,,7.5,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highfields,,425,480,,,116,95,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.9,,,8.2,6.7,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough,,343,278,,,64,71,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,30.9,,,7.1,7.9,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsdale,,767,653,,,229,,,,,,576,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,12.9,11.0,,,3.9,,,,,,9.7,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,
Hinchinbrook,794,"1,476","1,179",,,,,700,,,,,,,,617,,,,,,,,,,,,,,,,,,,,,,,,,6.4,11.8,9.5,,,,,5.6,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,
Holmesville,,685,541,,,132,170,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,29.6,,,7.2,9.3,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holsworthy,,"1,587","1,374",,,405,333,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,21.0,,,6.2,5.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homebush,,621,612,,,,,819,,,,"1,027",,,,,,,,,,618,,,,,,,,,,,,,,,,,,,,8.9,8.7,,,,,11.7,,,,14.7,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,
Homebush West,,344,386,,,,,909,,,,"1,808",,,,,,,,,,369,,,,,,,,,,,,,,,,,,,,5.4,6.1,,,,,14.3,,,,28.4,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,
Horningsea Park,360,691,531,,,,,203,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,15.6,12.0,,,,,4.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby,,"4,342","4,702",,,"1,348",,"1,242",,,,"3,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,19.1,,,5.5,,5.0,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby Heights,,"2,325","2,353",,,678,579,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,28.1,,,8.1,6.9,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsley,335,"3,032","2,732",,,510,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,32.6,29.3,,,5.5,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoxton Park,338,617,462,,,,,388,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,12.5,9.4,,,,,7.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunters Hill,590,"2,840","2,910",,,"1,386",781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,23.3,23.9,,,11.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntleys Point,13,33,35,,,,11,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,21.6,22.9,,,,7.2,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurlstone Park,345,958,923,,,429,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,15.9,15.3,,,7.1,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville,,"1,961","2,193",,,,,,,,,"13,662","1,154",,753,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,7.6,,,,,,,,,47.5,4.0,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville Grove,,521,423,,,156,,,,,,443,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,14.5,,,5.3,,,,,,15.2,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illawong,,"2,376","2,141",,,612,514,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,22.8,,,6.5,5.5,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleburn,,"3,921","3,475",,,"1,101",835,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,20.0,,,6.3,4.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleside,140,371,393,,,98,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,25.0,26.5,,,6.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington,,621,729,,,298,253,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,28.7,,,11.8,10.0,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamisontown,,"2,027","2,008",,,553,501,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.8,,,7.9,7.2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannali,,"2,284","2,355",,,756,562,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,29.0,,,9.3,6.9,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesmond,,773,719,,,199,214,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,21.9,,,6.1,6.5,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewells,,"1,412","1,357",,,316,330,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,33.3,,,7.8,8.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahibah,,931,894,,,270,265,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,31.7,,,9.6,9.4,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanahooka,212,"2,054","2,019",,,413,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,30.9,30.3,,,6.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaroo Point,,126,118,,,43,,,,,,83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,16.6,,,6.0,,,,,,11.7,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanwal,,"1,747","1,547",,,351,347,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,30.8,,,7.0,6.9,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareela,,"1,184","1,164",,,396,279,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,26.5,,,9.0,6.3,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kariong,,"2,839","2,645",,,644,554,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,30.5,,,7.4,6.4,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearns,153,"1,096",845,,,226,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,30.3,23.4,,,6.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keiraville,,994,"1,026",,,359,291,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,23.3,,,8.2,6.6,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
