,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander,Average number of people per household,Average number of people per bedroom,Median household income,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander (%),Average number of people per household (%),Average number of people per bedroom (%),Median household income (%)
Kogarah Bay,,0.0,1.5,0.0,,--,--,--
Koolewong,,3.5,1.0,1375.0,,--,--,--
Koonawarra,,3.7,1.2,812.0,,--,--,--
Kotara,,3.5,1.1,1678.0,,--,--,--
Kotara South,,1.6,1.0,733.0,,--,--,--
Kurnell,,3.4,1.2,1583.0,,--,--,--
La Perouse,,3.0,1.1,715.0,,--,--,--
Lake Haven,,2.9,1.1,966.0,,--,--,--
Lake Heights,,3.0,1.2,617.0,,--,--,--
Lake Illawarra,,2.6,1.1,817.0,,--,--,--
Lakelands (NSW),,3.0,1.0,2250.0,,--,--,--
Lakemba,,1.5,1.0,759.0,,--,--,--
Lalor Park,,2.9,1.2,866.0,,--,--,--
Lambton,,2.7,1.2,875.0,,--,--,--
Lane Cove,,1.8,1.3,1458.0,,--,--,--
Lane Cove North,,2.3,1.3,387.0,,--,--,--
Lane Cove West,,4.0,1.0,4500.0,,--,--,--
Lansvale,,3.3,1.2,2583.0,,--,--,--
Lapstone,,3.6,1.0,900.0,,--,--,--
Leichhardt (NSW),,2.6,1.2,1047.0,,--,--,--
Leonay,,3.1,1.0,1375.0,,--,--,--
Lethbridge Park,,3.5,1.3,646.0,,--,--,--
Leumeah,,3.0,1.2,866.0,,--,--,--
Lewisham (NSW),,2.3,1.0,2125.0,,--,--,--
Liberty Grove,,3.0,1.0,3083.0,,--,--,--
Lidcombe,,2.6,1.2,1416.0,,--,--,--
Lilyfield,,2.8,1.3,1187.0,,--,--,--
Lindfield,,1.5,1.0,2083.0,,--,--,--
Lisarow,,3.6,1.1,1357.0,,--,--,--
Little Bay,,3.2,1.2,966.0,,--,--,--
Liverpool,,2.8,1.3,866.0,,--,--,--
Loftus,,2.5,1.2,1812.0,,--,--,--
Long Jetty,,2.9,1.2,716.0,,--,--,--
Lugarno,,3.6,1.2,1750.0,,--,--,--
Lurnea,,3.0,1.1,592.0,,--,--,--
Macquarie Fields,,3.2,1.2,719.0,,--,--,--
Macquarie Hills,,3.7,1.2,1770.0,,--,--,--
Macquarie Links,,2.0,1.0,1750.0,,--,--,--
Macquarie Park,,1.3,1.2,1166.0,,--,--,--
Malabar,,3.0,1.2,824.0,,--,--,--
Mangerton,,2.8,1.2,475.0,,--,--,--
Manly (NSW),,2.4,1.1,759.0,,--,--,--
Manly Vale,,3.8,1.0,2083.0,,--,--,--
Marayong,,3.1,1.2,909.0,,--,--,--
Mardi,,2.9,1.0,1437.0,,--,--,--
Marks Point,,2.5,1.1,1041.0,,--,--,--
Marmong Point,,4.0,1.0,1375.0,,--,--,--
Maroubra,,2.9,1.3,962.0,,--,--,--
Marrickville,,2.9,1.2,1144.0,,--,--,--
Marsfield,,2.2,1.4,1375.0,,--,--,--
Maryland (Newcastle - NSW),,3.1,1.1,991.0,,--,--,--
Maryville,,2.3,1.3,1383.0,,--,--,--
Mascot,,2.5,1.2,746.0,,--,--,--
Matraville,,3.2,1.2,1158.0,,--,--,--
Mayfield (Newcastle - NSW),,2.5,1.2,888.0,,--,--,--
Mayfield East,,2.6,1.1,1024.0,,--,--,--
Mayfield West,,3.6,1.4,350.0,,--,--,--
Mays Hill,,0.0,1.0,0.0,,--,--,--
Meadowbank (NSW),,1.5,1.5,2250.0,,--,--,--
Menai,,3.4,1.2,1292.0,,--,--,--
Merewether,,2.3,1.1,1700.0,,--,--,--
Merewether Heights,,2.5,1.0,4000.0,,--,--,--
Merrylands,,2.6,1.3,766.0,,--,--,--
Merrylands West,,3.6,1.3,860.0,,--,--,--
Miller,,2.7,1.2,579.0,,--,--,--
Millers Point,,2.8,1.0,1025.0,,--,--,--
Milperra,,3.1,1.1,1874.0,,--,--,--
Minchinbury,,3.6,1.3,1750.0,,--,--,--
Minmi,,2.0,1.0,500.0,,--,--,--
Minto,,3.4,1.2,875.0,,--,--,--
Miranda (NSW),,2.7,1.1,1625.0,,--,--,--
Mona Vale,,2.6,1.0,1406.0,,--,--,--
Monterey,,2.5,1.2,1375.0,,--,--,--
Moorebank,,3.4,1.3,1562.0,,--,--,--
Mortdale,,3.0,1.3,1125.0,,--,--,--
Mortlake (NSW),,5.0,2.0,700.0,,--,--,--
Mosman,,1.8,1.2,1562.0,,--,--,--
Mount Annan,,3.5,1.1,2092.0,,--,--,--
Mount Colah,,2.9,1.0,2250.0,,--,--,--
Mount Druitt,,3.2,1.3,987.0,,--,--,--
Mount Hutton (NSW),,2.9,1.2,1406.0,,--,--,--
Mount Keira,,2.9,1.5,419.0,,--,--,--
Mount Kembla,,3.0,1.0,2083.0,,--,--,--
Mount Ousley,,3.5,1.0,2250.0,,--,--,--
Mount Pleasant (NSW),,3.1,1.0,0.0,,--,--,--
Mount Pritchard,,3.6,1.2,1166.0,,--,--,--
Mount Riverview,,2.8,1.0,1056.0,,--,--,--
Mount Saint Thomas,,2.4,1.0,833.0,,--,--,--
Mount Warrigal,,3.9,1.2,900.0,,--,--,--
Narara,,3.7,1.4,1224.0,,--,--,--
Narellan,,3.4,1.3,1031.0,,--,--,--
Narellan Vale,,3.9,1.2,2181.0,,--,--,--
Naremburn,,1.8,1.2,2750.0,,--,--,--
Narrabeen,,2.5,1.5,2250.0,,--,--,--
Narraweena,,3.4,1.1,524.0,,--,--,--
Narwee,,2.0,1.5,490.0,,--,--,--
Neutral Bay,,2.3,1.0,2166.0,,--,--,--
New Lambton,,3.0,1.2,1375.0,,--,--,--
Newcastle,,2.2,1.1,2562.0,,--,--,--
Newcastle East,,2.5,1.2,966.0,,--,--,--
