,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
New Italy,3.0,5.0,22.0,23.0,12.0,0.0,2.6,2.5,4.6,7.7,33.8,35.4,18.5,0.0,--,--,12941
Swan Bay (Richmond Valley - NSW),0.0,3.0,6.0,34.0,30.0,0.0,3.2,2.9,0.0,4.1,8.2,46.6,41.1,0.0,--,--,13705
Doonbah,0.0,0.0,38.0,46.0,16.0,3.0,2.8,2.1,0.0,0.0,36.9,44.7,15.5,2.9,--,--,11274
Lennox Head,3.0,33.0,316.0,975.0,931.0,42.0,3.3,2.6,0.1,1.4,13.7,42.4,40.5,1.8,--,--,12303
Myocum,11.0,37.0,67.0,113.0,113.0,7.0,3.0,2.5,3.2,10.6,19.3,32.5,32.5,2.0,--,--,12877
Billinudgel,0.0,9.0,19.0,31.0,20.0,0.0,2.9,2.5,0.0,11.4,24.1,39.2,25.3,0.0,--,--,10355
Yelgun,0.0,4.0,11.0,11.0,9.0,7.0,2.9,1.9,0.0,9.5,26.2,26.2,21.4,16.7,--,--,14499
The Pocket,3.0,8.0,19.0,32.0,29.0,0.0,2.9,2.6,3.3,8.8,20.9,35.2,31.9,0.0,--,--,13834
Middle Pocket,3.0,3.0,8.0,18.0,19.0,0.0,2.9,2.5,5.9,5.9,15.7,35.3,37.3,0.0,--,--,12606
Main Arm,5.0,29.0,39.0,72.0,44.0,9.0,2.7,2.5,2.5,14.6,19.7,36.4,22.2,4.5,--,--,12445
Upper Main Arm,3.0,15.0,26.0,26.0,10.0,7.0,2.3,2.0,3.4,17.2,29.9,29.9,11.5,8.0,--,--,14035
Mullumbimby,21.0,68.0,212.0,649.0,348.0,35.0,3.0,2.4,1.6,5.1,15.9,48.7,26.1,2.6,--,--,12828
Mullumbimby Creek,3.0,19.0,23.0,78.0,45.0,13.0,2.9,2.6,1.7,10.5,12.7,43.1,24.9,7.2,--,--,12829
Wilsons Creek,5.0,22.0,27.0,48.0,26.0,8.0,2.7,2.6,3.7,16.2,19.9,35.3,19.1,5.9,--,--,14310
Goonengerry,8.0,18.0,34.0,49.0,29.0,7.0,2.6,2.3,5.5,12.4,23.4,33.8,20.0,4.8,--,--,11712
Huonbrook,3.0,7.0,22.0,9.0,6.0,3.0,2.0,2.1,6.0,14.0,44.0,18.0,12.0,6.0,--,--,11962
Whian Whian,0.0,0.0,3.0,25.0,15.0,0.0,3.3,2.7,0.0,0.0,7.0,58.1,34.9,0.0,--,--,14272
Yorklea,8.0,5.0,17.0,57.0,51.0,9.0,3.1,2.7,5.4,3.4,11.6,38.8,34.7,6.1,--,--,14517
Casino,28.0,161.0,897.0,1984.0,1007.0,141.0,3.0,2.3,0.7,3.8,21.3,47.0,23.9,3.3,--,--,10843
North Casino,7.0,8.0,9.0,77.0,195.0,4.0,3.7,3.1,2.3,2.7,3.0,25.7,65.0,1.3,--,--,12987
Fairy Hill,0.0,0.0,5.0,42.0,81.0,0.0,3.6,2.6,0.0,0.0,3.9,32.8,63.3,0.0,--,--,11483
Bonalbo,3.0,3.0,40.0,71.0,29.0,5.0,2.9,1.9,2.0,2.0,26.5,47.0,19.2,3.3,--,--,10463
Coraki,0.0,3.0,66.0,238.0,119.0,14.0,3.1,2.5,0.0,0.7,15.0,54.1,27.0,3.2,--,--,11063
Mallanganee,0.0,7.0,16.0,30.0,14.0,3.0,2.9,2.0,0.0,10.0,22.9,42.9,20.0,4.3,--,--,12457
Dobies Bight,0.0,5.0,4.0,26.0,11.0,0.0,2.9,2.3,0.0,10.9,8.7,56.5,23.9,0.0,--,--,11262
Backmede,0.0,0.0,3.0,20.0,21.0,0.0,3.5,3.0,0.0,0.0,6.8,45.5,47.7,0.0,--,--,10130
Stratheden,0.0,0.0,10.0,33.0,32.0,0.0,3.3,2.4,0.0,0.0,13.3,44.0,42.7,0.0,--,--,13674
Woodview,0.0,0.0,0.0,22.0,20.0,0.0,3.6,3.0,0.0,0.0,0.0,52.4,47.6,0.0,--,--,14397
Bentley (NSW),0.0,4.0,9.0,28.0,23.0,0.0,3.3,2.6,0.0,6.2,14.1,43.8,35.9,0.0,--,--,10298
Spring Grove,0.0,3.0,9.0,57.0,74.0,3.0,3.5,2.9,0.0,2.1,6.2,39.0,50.7,2.1,--,--,13614
Greenridge,0.0,0.0,8.0,12.0,22.0,0.0,3.4,3.1,0.0,0.0,19.0,28.6,52.4,0.0,--,--,11768
McKees Hill,0.0,0.0,7.0,42.0,55.0,3.0,3.6,3.3,0.0,0.0,6.5,39.3,51.4,2.8,--,--,12543
Tatham,3.0,3.0,6.0,40.0,20.0,0.0,3.1,2.5,4.2,4.2,8.3,55.6,27.8,0.0,--,--,13773
West Coraki,0.0,0.0,4.0,19.0,12.0,0.0,3.4,2.4,0.0,0.0,11.4,54.3,34.3,0.0,--,--,14243
Ellangowan (NSW),3.0,8.0,19.0,49.0,28.0,3.0,3.0,2.4,2.7,7.3,17.3,44.5,25.5,2.7,--,--,11400
Leeville,0.0,0.0,13.0,25.0,37.0,0.0,3.5,2.7,0.0,0.0,17.3,33.3,49.3,0.0,--,--,12295
Shannon Brook,0.0,0.0,3.0,31.0,23.0,3.0,3.4,2.4,0.0,0.0,5.0,51.7,38.3,5.0,--,--,13525
Rappville,0.0,4.0,11.0,25.0,16.0,0.0,2.8,2.6,0.0,7.1,19.6,44.6,28.6,0.0,--,--,13318
Goonellabah,9.0,108.0,700.0,2324.0,1615.0,115.0,3.2,2.4,0.2,2.2,14.4,47.7,33.2,2.4,--,--,11711
Chilcotts Grass,0.0,0.0,10.0,14.0,47.0,0.0,3.8,2.8,0.0,0.0,14.1,19.7,66.2,0.0,--,--,10903
Eden Creek,0.0,9.0,16.0,31.0,8.0,7.0,2.6,2.1,0.0,12.7,22.5,43.7,11.3,9.9,--,--,11376
West Wiangaree,0.0,3.0,4.0,24.0,10.0,0.0,3.1,2.3,0.0,7.3,9.8,58.5,24.4,0.0,--,--,14254
Wiangaree,0.0,7.0,11.0,25.0,10.0,0.0,2.7,2.8,0.0,13.2,20.8,47.2,18.9,0.0,--,--,14283
Doubtful Creek,0.0,3.0,4.0,22.0,21.0,3.0,3.2,2.6,0.0,5.7,7.5,41.5,39.6,5.7,--,--,11282
Ettrick (NSW),0.0,3.0,12.0,21.0,19.0,0.0,3.1,2.2,0.0,5.5,21.8,38.2,34.5,0.0,--,--,11448
Kyogle,3.0,25.0,204.0,439.0,163.0,34.0,2.9,2.2,0.3,2.9,23.5,50.6,18.8,3.9,--,--,12229
Cedar Point,0.0,3.0,9.0,25.0,29.0,0.0,3.2,2.6,0.0,4.5,13.6,37.9,43.9,0.0,--,--,10871
Geneva,0.0,0.0,35.0,151.0,85.0,3.0,3.2,2.3,0.0,0.0,12.8,55.1,31.0,1.1,--,--,11599
Upper Horseshoe Creek,3.0,3.0,10.0,15.0,10.0,0.0,2.6,3.0,7.3,7.3,24.4,36.6,24.4,0.0,--,--,14028
Barkers Vale,4.0,10.0,18.0,28.0,8.0,0.0,2.3,2.2,5.9,14.7,26.5,41.2,11.8,0.0,--,--,10201
Wadeville,3.0,19.0,24.0,13.0,11.0,4.0,2.1,1.9,4.1,25.7,32.4,17.6,14.9,5.4,--,--,14082
