,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Paxton,0.0,5.0,38.0,150.0,111.0,5.0,3.3,2.7,0.0,1.6,12.3,48.5,35.9,1.6,--,--,13162
Black Hill (NSW),0.0,3.0,11.0,41.0,112.0,3.0,3.9,2.9,0.0,1.8,6.5,24.1,65.9,1.8,--,--,10385
Mount Vincent,0.0,6.0,9.0,50.0,62.0,3.0,3.5,2.8,0.0,4.6,6.9,38.5,47.7,2.3,--,--,12799
Brunkerville,0.0,6.0,17.0,22.0,22.0,0.0,2.9,2.6,0.0,9.0,25.4,32.8,32.8,0.0,--,--,10620
Quorrobolong,3.0,3.0,14.0,56.0,75.0,3.0,3.5,2.7,1.9,1.9,9.1,36.4,48.7,1.9,--,--,13302
Congewai,0.0,4.0,5.0,37.0,19.0,0.0,3.2,2.1,0.0,6.2,7.7,56.9,29.2,0.0,--,--,11007
Mount View,0.0,0.0,3.0,17.0,12.0,3.0,3.6,2.2,0.0,0.0,8.6,48.6,34.3,8.6,--,--,12798
Paynes Crossing,0.0,0.0,5.0,9.0,3.0,3.0,2.9,2.2,0.0,0.0,25.0,45.0,15.0,15.0,--,--,13163
Laguna,0.0,4.0,19.0,20.0,17.0,3.0,2.9,2.1,0.0,6.3,30.2,31.7,27.0,4.8,--,--,12237
Wollombi,0.0,9.0,24.0,20.0,22.0,4.0,2.8,1.8,0.0,11.4,30.4,25.3,27.8,5.1,--,--,14355
Watagan,4.0,7.0,14.0,20.0,10.0,0.0,2.5,1.9,7.3,12.7,25.5,36.4,18.2,0.0,--,--,14180
Murrays Run,0.0,0.0,13.0,19.0,18.0,0.0,3.4,2.1,0.0,0.0,26.0,38.0,36.0,0.0,--,--,12855
Bucketty,0.0,10.0,16.0,24.0,14.0,0.0,2.6,2.3,0.0,15.6,25.0,37.5,21.9,0.0,--,--,10634
Clarence Town,3.0,19.0,82.0,288.0,276.0,8.0,3.3,2.7,0.4,2.8,12.1,42.6,40.8,1.2,--,--,10920
Dungog,0.0,36.0,168.0,418.0,181.0,23.0,3.0,2.2,0.0,4.4,20.3,50.6,21.9,2.8,--,--,11320
Bendolba,0.0,0.0,8.0,34.0,33.0,3.0,3.4,2.6,0.0,0.0,10.3,43.6,42.3,3.8,--,--,10291
Paterson (NSW),0.0,6.0,34.0,110.0,143.0,3.0,3.4,2.8,0.0,2.0,11.5,37.2,48.3,1.0,--,--,13159
Martins Creek,0.0,3.0,18.0,60.0,40.0,0.0,3.3,2.8,0.0,2.5,14.9,49.6,33.1,0.0,--,--,12511
Torryburn (Dungog - NSW),0.0,3.0,7.0,25.0,23.0,0.0,3.1,2.4,0.0,5.2,12.1,43.1,39.7,0.0,--,--,13920
Vacy,3.0,11.0,16.0,79.0,105.0,3.0,3.5,2.8,1.4,5.1,7.4,36.4,48.4,1.4,--,--,14063
East Gresford,0.0,7.0,13.0,66.0,22.0,3.0,3.0,2.6,0.0,6.3,11.7,59.5,19.8,2.7,--,--,11350
Gresford,0.0,3.0,13.0,49.0,30.0,0.0,3.2,2.1,0.0,3.2,13.7,51.6,31.6,0.0,--,--,11777
Glen Martin,0.0,0.0,6.0,32.0,21.0,0.0,3.2,2.7,0.0,0.0,10.2,54.2,35.6,0.0,--,--,11650
Wallarobba,0.0,0.0,9.0,31.0,25.0,3.0,3.3,2.3,0.0,0.0,13.2,45.6,36.8,4.4,--,--,14111
Hilldale,0.0,0.0,10.0,31.0,24.0,0.0,3.3,2.8,0.0,0.0,15.4,47.7,36.9,0.0,--,--,11906
Glen Oak,0.0,0.0,8.0,30.0,58.0,0.0,3.7,2.9,0.0,0.0,8.3,31.2,60.4,0.0,--,--,11652
Glen William,0.0,0.0,7.0,18.0,13.0,0.0,3.3,2.5,0.0,0.0,18.4,47.4,34.2,0.0,--,--,11654
Brookfield (NSW),0.0,6.0,15.0,30.0,21.0,0.0,3.1,2.4,0.0,8.3,20.8,41.7,29.2,0.0,--,--,10596
Abermain,3.0,19.0,153.0,420.0,214.0,19.0,3.1,2.6,0.4,2.3,18.5,50.7,25.8,2.3,--,--,10010
Weston (NSW),0.0,37.0,265.0,696.0,282.0,29.0,3.0,2.6,0.0,2.8,20.2,53.2,21.5,2.2,--,--,14262
Kurri Kurri,3.0,92.0,557.0,1161.0,406.0,73.0,2.9,2.4,0.1,4.0,24.3,50.7,17.7,3.2,--,--,12221
Stanford Merthyr,0.0,9.0,26.0,123.0,60.0,3.0,3.1,2.3,0.0,4.1,11.8,55.7,27.1,1.4,--,--,13647
Pelaw Main,0.0,16.0,95.0,200.0,77.0,12.0,2.9,2.4,0.0,4.0,23.8,50.0,19.2,3.0,--,--,13177
Heddon Greta,0.0,3.0,26.0,282.0,360.0,14.0,3.6,2.9,0.0,0.4,3.8,41.2,52.6,2.0,--,--,11888
Neath,0.0,19.0,51.0,86.0,22.0,7.0,2.6,2.3,0.0,10.3,27.6,46.5,11.9,3.8,--,--,12917
Cliftleigh,0.0,0.0,10.0,48.0,171.0,3.0,3.7,3.4,0.0,0.0,4.3,20.7,73.7,1.3,--,--,10932
Sawyers Gully,0.0,0.0,10.0,66.0,69.0,8.0,3.6,2.8,0.0,0.0,6.5,43.1,45.1,5.2,--,--,13499
Hunterview,0.0,3.0,30.0,343.0,585.0,16.0,3.6,2.9,0.0,0.3,3.1,35.1,59.9,1.6,--,--,11955
Redbournberry,0.0,0.0,9.0,17.0,41.0,3.0,3.8,3.0,0.0,0.0,12.9,24.3,58.6,4.3,--,--,13337
Singleton (NSW),6.0,79.0,372.0,980.0,485.0,41.0,3.0,2.3,0.3,4.0,19.0,49.9,24.7,2.1,--,--,13549
Whittingham,0.0,3.0,16.0,43.0,71.0,3.0,3.5,2.8,0.0,2.2,11.8,31.6,52.2,2.2,--,--,14279
Gowrie (Singleton - NSW),0.0,0.0,0.0,23.0,74.0,0.0,3.9,3.0,0.0,0.0,0.0,23.7,76.3,0.0,--,--,11729
Glenridding,6.0,17.0,9.0,43.0,18.0,3.0,2.6,2.4,6.2,17.7,9.4,44.8,18.8,3.1,--,--,11676
Singleton Heights,3.0,12.0,176.0,723.0,689.0,37.0,3.4,2.6,0.2,0.7,10.7,44.1,42.0,2.3,--,--,13550
Wattle Ponds,0.0,0.0,3.0,36.0,276.0,3.0,4.1,3.3,0.0,0.0,0.9,11.3,86.8,0.9,--,--,14193
McDougalls Hill,0.0,14.0,6.0,14.0,21.0,0.0,2.9,2.2,0.0,25.5,10.9,25.5,38.2,0.0,--,--,12541
Darlington (Singleton - NSW),0.0,0.0,25.0,63.0,52.0,0.0,3.3,2.4,0.0,0.0,17.9,45.0,37.1,0.0,--,--,11213
Broke (NSW),3.0,3.0,16.0,90.0,60.0,5.0,3.2,2.7,1.7,1.7,9.0,50.8,33.9,2.8,--,--,10590
Putty,3.0,0.0,11.0,6.0,6.0,3.0,2.6,2.2,10.3,0.0,37.9,20.7,20.7,10.3,--,--,13279
Howes Valley,3.0,4.0,5.0,7.0,7.0,0.0,2.5,2.0,11.5,15.4,19.2,26.9,26.9,0.0,--,--,11948
Bulga (NSW),0.0,0.0,10.0,51.0,46.0,4.0,3.5,3.0,0.0,0.0,9.0,45.9,41.4,3.6,--,--,10651
Jerrys Plains,0.0,3.0,12.0,44.0,39.0,0.0,3.3,2.6,0.0,3.1,12.2,44.9,39.8,0.0,--,--,12021
Maison Dieu,0.0,0.0,5.0,18.0,30.0,0.0,3.5,2.9,0.0,0.0,9.4,34.0,56.6,0.0,--,--,12448
Bridgman,0.0,0.0,3.0,22.0,38.0,4.0,3.6,2.8,0.0,0.0,4.5,32.8,56.7,6.0,--,--,10567
Mount Olive (Singleton - NSW),0.0,3.0,3.0,21.0,29.0,0.0,3.4,2.2,0.0,5.4,5.4,37.5,51.8,0.0,--,--,12781
Westbrook (NSW),0.0,0.0,6.0,14.0,29.0,0.0,3.8,2.9,0.0,0.0,12.2,28.6,59.2,0.0,--,--,14257
Reedy Creek (NSW),0.0,0.0,3.0,27.0,19.0,0.0,3.4,2.9,0.0,0.0,6.1,55.1,38.8,0.0,--,--,13342
Sedgefield,0.0,0.0,3.0,13.0,39.0,0.0,3.7,3.0,0.0,0.0,5.5,23.6,70.9,0.0,--,--,13514
Mitchells Flat,0.0,0.0,3.0,24.0,33.0,0.0,3.6,3.0,0.0,0.0,5.0,40.0,55.0,0.0,--,--,12651
Glendon,0.0,0.0,6.0,13.0,20.0,0.0,3.5,2.3,0.0,0.0,15.4,33.3,51.3,0.0,--,--,11660
Elderslie (Singleton - NSW),0.0,0.0,0.0,22.0,17.0,0.0,3.5,3.0,0.0,0.0,0.0,56.4,43.6,0.0,--,--,11392
Lambs Valley (Singleton - NSW),0.0,0.0,11.0,30.0,63.0,0.0,3.7,3.1,0.0,0.0,10.6,28.8,60.6,0.0,--,--,12263
Stanhope (NSW),0.0,0.0,4.0,16.0,24.0,0.0,3.6,2.9,0.0,0.0,9.1,36.4,54.5,0.0,--,--,13648
Glendon Brook,0.0,0.0,6.0,26.0,45.0,0.0,3.6,3.0,0.0,0.0,7.8,33.8,58.4,0.0,--,--,11661
Maitland (NSW),4.0,64.0,194.0,297.0,138.0,24.0,2.8,2.2,0.6,8.9,26.9,41.2,19.1,3.3,--,--,12449
South Maitland,8.0,18.0,35.0,77.0,19.0,4.0,2.5,2.1,5.0,11.2,21.7,47.8,11.8,2.5,--,--,13591
Gillieston Heights,0.0,22.0,117.0,207.0,717.0,29.0,3.6,2.8,0.0,2.0,10.7,19.0,65.7,2.7,--,--,11624
Louth Park,0.0,0.0,3.0,41.0,137.0,3.0,4.1,3.4,0.0,0.0,1.6,22.3,74.5,1.6,--,--,12395
Horseshoe Bend,0.0,6.0,38.0,73.0,24.0,6.0,2.9,2.3,0.0,4.1,25.9,49.7,16.3,4.1,--,--,11939
Oakhampton,0.0,0.0,25.0,18.0,17.0,0.0,2.9,2.3,0.0,0.0,41.7,30.0,28.3,0.0,--,--,13056
East Maitland,9.0,301.0,940.0,1958.0,1325.0,115.0,3.0,2.3,0.2,6.5,20.2,42.1,28.5,2.5,--,--,11360
Metford,0.0,49.0,148.0,922.0,545.0,20.0,3.2,2.7,0.0,2.9,8.8,54.8,32.4,1.2,--,--,12592
Tenambit,3.0,14.0,125.0,636.0,296.0,19.0,3.2,2.5,0.3,1.3,11.4,58.2,27.1,1.7,--,--,13787
Raworth,0.0,3.0,15.0,143.0,400.0,7.0,3.8,3.0,0.0,0.5,2.6,25.2,70.4,1.2,--,--,13325
Morpeth,3.0,3.0,176.0,231.0,163.0,10.0,3.0,2.3,0.5,0.5,30.0,39.4,27.8,1.7,--,--,12727
Ashtonfield,0.0,6.0,46.0,411.0,1005.0,23.0,3.8,3.0,0.0,0.4,3.1,27.6,67.4,1.5,--,--,10102
Chisholm (NSW),0.0,3.0,0.0,44.0,412.0,0.0,4.0,3.1,0.0,0.7,0.0,9.6,89.8,0.0,--,--,10909
Largs,4.0,10.0,42.0,203.0,367.0,12.0,3.6,2.9,0.6,1.6,6.6,31.8,57.5,1.9,--,--,12278
Bolwarra Heights,0.0,7.0,16.0,229.0,691.0,11.0,3.8,3.0,0.0,0.7,1.7,24.0,72.4,1.2,--,--,10451
Lorn,0.0,7.0,82.0,251.0,167.0,8.0,3.2,2.4,0.0,1.4,15.9,48.7,32.4,1.6,--,--,12389
Bolwarra (NSW),0.0,4.0,17.0,152.0,172.0,0.0,3.6,2.7,0.0,1.2,4.9,44.1,49.9,0.0,--,--,10450
Woodville (NSW),0.0,0.0,12.0,54.0,82.0,4.0,3.7,2.7,0.0,0.0,7.9,35.5,53.9,2.6,--,--,14398
Maitland Vale,0.0,0.0,3.0,16.0,22.0,3.0,3.6,2.9,0.0,0.0,6.8,36.4,50.0,6.8,--,--,12451
Rutherford,4.0,149.0,530.0,1910.0,1526.0,195.0,3.2,2.6,0.1,3.5,12.3,44.3,35.4,4.5,--,--,13449
Aberglasslyn,0.0,3.0,48.0,398.0,1259.0,24.0,3.8,3.0,0.0,0.2,2.8,23.0,72.7,1.4,--,--,10009
Luskintyre,0.0,3.0,0.0,23.0,31.0,0.0,3.9,2.9,0.0,5.3,0.0,40.4,54.4,0.0,--,--,12423
Lochinvar,0.0,7.0,11.0,102.0,146.0,0.0,3.6,2.8,0.0,2.6,4.1,38.3,54.9,0.0,--,--,12368
Windella,0.0,0.0,0.0,23.0,188.0,3.0,4.3,3.2,0.0,0.0,0.0,10.7,87.9,1.4,--,--,14317
Telarah,0.0,33.0,202.0,541.0,128.0,23.0,2.9,2.3,0.0,3.6,21.8,58.4,13.8,2.5,--,--,13780
Farley,0.0,0.0,3.0,29.0,37.0,3.0,3.8,2.7,0.0,0.0,4.2,40.3,51.4,4.2,--,--,11490
Bishops Bridge,0.0,0.0,3.0,28.0,37.0,0.0,3.7,2.8,0.0,0.0,4.4,41.2,54.4,0.0,--,--,10380
Thornton (NSW),3.0,19.0,143.0,993.0,1514.0,35.0,3.6,2.9,0.1,0.7,5.3,36.7,55.9,1.3,--,--,13851
Millers Forest,0.0,0.0,5.0,52.0,45.0,0.0,3.6,2.8,0.0,0.0,4.9,51.0,44.1,0.0,--,--,12618
Berry Park,0.0,0.0,0.0,11.0,24.0,0.0,3.9,2.5,0.0,0.0,0.0,31.4,68.6,0.0,--,--,10325
Anna Bay,14.0,30.0,247.0,618.0,424.0,34.0,3.1,2.4,1.0,2.2,18.1,45.2,31.0,2.5,--,--,10060
Boat Harbour (Port Stephens - NSW),0.0,0.0,28.0,122.0,179.0,10.0,3.6,2.7,0.0,0.0,8.3,36.0,52.8,2.9,--,--,10425
Bobs Farm,0.0,8.0,21.0,45.0,60.0,7.0,3.3,2.8,0.0,5.7,14.9,31.9,42.6,5.0,--,--,10429
One Mile (NSW),0.0,10.0,35.0,30.0,75.0,3.0,3.4,2.5,0.0,6.5,22.9,19.6,49.0,2.0,--,--,13085
Lemon Tree Passage,3.0,26.0,145.0,559.0,288.0,32.0,3.1,2.2,0.3,2.5,13.8,53.1,27.4,3.0,--,--,12300
Mallabula,0.0,0.0,42.0,193.0,106.0,7.0,3.2,2.4,0.0,0.0,12.1,55.5,30.5,2.0,--,--,12455
Tanilba Bay,0.0,29.0,124.0,577.0,430.0,30.0,3.3,2.4,0.0,2.4,10.4,48.5,36.1,2.5,--,--,13748
Salamander Bay,3.0,60.0,383.0,831.0,619.0,47.0,3.1,2.2,0.2,3.1,19.7,42.8,31.9,2.4,--,--,13463
Soldiers Point,3.0,19.0,112.0,267.0,170.0,22.0,3.1,2.2,0.5,3.2,18.9,45.0,28.7,3.7,--,--,13570
Corlette,0.0,32.0,104.0,871.0,962.0,38.0,3.5,2.5,0.0,1.6,5.2,43.4,47.9,1.9,--,--,11075
Taylors Beach (NSW),0.0,3.0,5.0,14.0,22.0,5.0,3.4,2.3,0.0,6.1,10.2,28.6,44.9,10.2,--,--,13777
Nelson Bay (NSW),4.0,71.0,455.0,1037.0,723.0,54.0,3.1,2.3,0.2,3.0,19.4,44.2,30.8,2.3,--,--,12923
Fingal Bay,0.0,12.0,166.0,278.0,166.0,16.0,3.0,2.1,0.0,1.9,26.0,43.6,26.0,2.5,--,--,11518
Shoal Bay (NSW),3.0,35.0,198.0,274.0,143.0,25.0,2.8,2.0,0.4,5.2,29.2,40.4,21.1,3.7,--,--,13539
Raymond Terrace,9.0,91.0,704.0,2259.0,1430.0,135.0,3.2,2.5,0.2,2.0,15.2,48.8,30.9,2.9,--,--,13327
Tomago,11.0,60.0,24.0,12.0,23.0,3.0,1.9,1.7,8.3,45.1,18.0,9.0,17.3,2.3,--,--,13889
Heatherbrae,0.0,15.0,21.0,36.0,48.0,114.0,3.1,1.9,0.0,6.4,9.0,15.4,20.5,48.7,--,--,11884
Eagleton,0.0,3.0,5.0,33.0,28.0,0.0,3.3,2.7,0.0,4.3,7.2,47.8,40.6,0.0,--,--,11342
Duns Creek,0.0,3.0,14.0,48.0,97.0,0.0,3.7,3.0,0.0,1.9,8.6,29.6,59.9,0.0,--,--,11326
Seaham,0.0,3.0,11.0,82.0,202.0,0.0,3.8,3.1,0.0,1.0,3.7,27.5,67.8,0.0,--,--,13510
Wallalong,0.0,0.0,9.0,75.0,214.0,7.0,3.9,3.2,0.0,0.0,3.0,24.6,70.2,2.3,--,--,14104
Brandy Hill,0.0,3.0,3.0,42.0,161.0,7.0,4.0,2.9,0.0,1.4,1.4,19.4,74.5,3.2,--,--,10548
Hinton,0.0,0.0,18.0,65.0,64.0,3.0,3.5,2.8,0.0,0.0,12.0,43.3,42.7,2.0,--,--,11916
Butterwick,0.0,0.0,4.0,13.0,30.0,0.0,3.6,2.9,0.0,0.0,8.5,27.7,63.8,0.0,--,--,10725
East Seaham,0.0,3.0,9.0,42.0,60.0,0.0,3.5,2.7,0.0,2.6,7.9,36.8,52.6,0.0,--,--,11362
Nelsons Plains,0.0,3.0,4.0,40.0,63.0,0.0,3.6,3.0,0.0,2.7,3.6,36.4,57.3,0.0,--,--,12924
Osterley (NSW),0.0,0.0,3.0,18.0,23.0,0.0,3.6,2.7,0.0,0.0,6.8,40.9,52.3,0.0,--,--,13099
Tea Gardens,3.0,14.0,213.0,549.0,455.0,31.0,3.2,2.0,0.2,1.1,16.8,43.4,36.0,2.5,--,--,13779
North Arm Cove,0.0,11.0,34.0,76.0,59.0,8.0,3.1,2.1,0.0,5.9,18.1,40.4,31.4,4.3,--,--,12979
Bundabah,0.0,0.0,14.0,22.0,12.0,0.0,2.8,2.0,0.0,0.0,29.2,45.8,25.0,0.0,--,--,10668
Pindimar,0.0,6.0,20.0,55.0,46.0,5.0,3.1,2.2,0.0,4.5,15.2,41.7,34.8,3.8,--,--,13211
Hawks Nest,0.0,15.0,133.0,246.0,113.0,19.0,2.9,2.0,0.0,2.9,25.3,46.8,21.5,3.6,--,--,11873
Karuah,3.0,45.0,126.0,202.0,153.0,15.0,2.9,2.3,0.6,8.3,23.2,37.1,28.1,2.8,--,--,12076
Medowie,4.0,19.0,91.0,1000.0,1845.0,58.0,3.7,3.0,0.1,0.6,3.0,33.1,61.2,1.9,--,--,12554
Salt Ash,3.0,9.0,24.0,147.0,174.0,12.0,3.5,2.7,0.8,2.4,6.5,39.8,47.2,3.3,--,--,13467
Williamtown,0.0,6.0,131.0,64.0,68.0,16.0,2.8,2.0,0.0,2.1,46.0,22.5,23.9,5.6,--,--,14299
Twelve Mile Creek,3.0,25.0,17.0,14.0,12.0,0.0,2.2,2.0,4.2,35.2,23.9,19.7,16.9,0.0,--,--,13988
Swan Bay (Port Stephens - NSW),0.0,3.0,17.0,44.0,41.0,3.0,3.2,2.8,0.0,2.8,15.7,40.7,38.0,2.8,--,--,13704
Muswellbrook,15.0,134.0,473.0,1863.0,1802.0,108.0,3.3,2.5,0.3,3.0,10.8,42.4,41.0,2.5,--,--,12868
Denman,0.0,9.0,97.0,294.0,254.0,33.0,3.3,2.4,0.0,1.3,14.1,42.8,37.0,4.8,--,--,11241
Gungal,0.0,4.0,10.0,37.0,30.0,3.0,3.2,2.9,0.0,4.8,11.9,44.0,35.7,3.6,--,--,11810
Martindale,0.0,0.0,5.0,27.0,14.0,4.0,3.2,2.4,0.0,0.0,10.0,54.0,28.0,8.0,--,--,12510
Castle Rock,0.0,0.0,4.0,18.0,30.0,3.0,3.8,2.7,0.0,0.0,7.3,32.7,54.5,5.5,--,--,10848
Aberdeen (NSW),0.0,22.0,128.0,348.0,250.0,19.0,3.2,2.5,0.0,2.9,16.7,45.4,32.6,2.5,--,--,10007
Wybong,0.0,0.0,3.0,17.0,22.0,0.0,3.7,2.8,0.0,0.0,7.1,40.5,52.4,0.0,--,--,14436
Sandy Hollow,0.0,3.0,9.0,30.0,13.0,4.0,3.0,2.2,0.0,5.1,15.3,50.8,22.0,6.8,--,--,13486
Muscle Creek,0.0,0.0,3.0,15.0,71.0,0.0,4.0,3.2,0.0,0.0,3.4,16.9,79.8,0.0,--,--,12867
McCullys Gap,0.0,0.0,10.0,23.0,45.0,0.0,3.5,3.0,0.0,0.0,12.8,29.5,57.7,0.0,--,--,12540
Scone,4.0,64.0,344.0,849.0,802.0,57.0,3.2,2.4,0.2,3.0,16.2,40.0,37.8,2.7,--,--,13503
Middle Brook,0.0,4.0,6.0,29.0,40.0,0.0,3.3,2.8,0.0,5.1,7.6,36.7,50.6,0.0,--,--,12600
Dartbrook,0.0,0.0,9.0,11.0,18.0,0.0,3.4,2.4,0.0,0.0,23.7,28.9,47.4,0.0,--,--,11217
Segenhoe,0.0,0.0,8.0,26.0,19.0,0.0,3.4,3.0,0.0,0.0,15.1,49.1,35.8,0.0,--,--,13517
Rouchel,0.0,3.0,3.0,21.0,21.0,0.0,3.3,2.8,0.0,6.2,6.2,43.8,43.8,0.0,--,--,13422
Murrurundi,3.0,18.0,64.0,221.0,86.0,11.0,3.0,2.2,0.7,4.5,15.9,54.8,21.3,2.7,--,--,12864
Blandford,0.0,5.0,10.0,42.0,29.0,0.0,3.2,2.0,0.0,5.8,11.6,48.8,33.7,0.0,--,--,10406
Wingen,0.0,0.0,10.0,40.0,31.0,0.0,3.3,2.7,0.0,0.0,12.3,49.4,38.3,0.0,--,--,14331
Parkville (NSW),0.0,0.0,15.0,45.0,40.0,0.0,3.3,2.6,0.0,0.0,15.0,45.0,40.0,0.0,--,--,13154
Upper Dartbrook,0.0,3.0,5.0,17.0,27.0,0.0,3.4,2.6,0.0,5.8,9.6,32.7,51.9,0.0,--,--,14022
Gundy,0.0,4.0,13.0,28.0,22.0,0.0,3.0,2.7,0.0,6.0,19.4,41.8,32.8,0.0,--,--,11809
Moonan Flat,0.0,3.0,3.0,29.0,9.0,0.0,3.0,2.0,0.0,6.8,6.8,65.9,20.5,0.0,--,--,12697
Niangala,0.0,7.0,6.0,18.0,20.0,0.0,3.2,2.0,0.0,13.7,11.8,35.3,39.2,0.0,--,--,12962
Merriwa (NSW),3.0,21.0,108.0,271.0,234.0,23.0,3.2,2.4,0.5,3.2,16.4,41.1,35.5,3.5,--,--,12585
Moobi,0.0,3.0,0.0,19.0,23.0,0.0,3.5,2.4,0.0,6.7,0.0,42.2,51.1,0.0,--,--,12688
Dapto,20.0,85.0,472.0,2188.0,1075.0,108.0,3.2,2.6,0.5,2.2,12.0,55.4,27.2,2.7,--,--,11202
Kanahooka,3.0,19.0,270.0,1010.0,703.0,54.0,3.3,2.5,0.1,0.9,13.1,49.1,34.1,2.6,--,--,12055
Koonawarra,0.0,24.0,42.0,874.0,309.0,28.0,3.2,2.7,0.0,1.9,3.3,68.4,24.2,2.2,--,--,12187
Avondale (NSW),0.0,60.0,58.0,330.0,161.0,23.0,3.1,2.5,0.0,9.5,9.2,52.2,25.5,3.6,--,--,10116
Marshall Mount,0.0,0.0,8.0,15.0,19.0,0.0,3.4,2.7,0.0,0.0,19.0,35.7,45.2,0.0,--,--,12507
Haywards Bay,0.0,0.0,3.0,24.0,275.0,5.0,4.0,3.2,0.0,0.0,1.0,7.8,89.6,1.6,--,--,11880
Brownsville,0.0,15.0,86.0,76.0,41.0,5.0,2.8,2.0,0.0,6.7,38.6,34.1,18.4,2.2,--,--,10612
Horsley,0.0,9.0,35.0,923.0,1559.0,32.0,3.7,3.1,0.0,0.4,1.4,36.1,60.9,1.3,--,--,11942
Wongawilli,0.0,0.0,3.0,20.0,28.0,0.0,3.6,3.1,0.0,0.0,5.9,39.2,54.9,0.0,--,--,14374
Kembla Grange,0.0,0.0,5.0,20.0,47.0,5.0,3.8,3.2,0.0,0.0,6.5,26.0,61.0,6.5,--,--,12092
Dombarton,0.0,0.0,3.0,16.0,22.0,0.0,3.6,2.9,0.0,0.0,7.3,39.0,53.7,0.0,--,--,11270
Port Kembla,13.0,106.0,461.0,858.0,396.0,61.0,2.9,2.4,0.7,5.6,24.3,45.3,20.9,3.2,--,--,13245
Coniston,4.0,60.0,260.0,327.0,158.0,26.0,2.8,2.4,0.5,7.2,31.1,39.2,18.9,3.1,--,--,11010
Unanderra,9.0,102.0,500.0,1032.0,357.0,51.0,2.9,2.4,0.4,5.0,24.4,50.3,17.4,2.5,--,--,14008
Mount Kembla,0.0,3.0,26.0,136.0,168.0,0.0,3.6,3.1,0.0,0.9,7.8,40.8,50.5,0.0,--,--,12769
Kembla Heights,0.0,3.0,17.0,15.0,4.0,0.0,2.7,3.0,0.0,7.7,43.6,38.5,10.3,0.0,--,--,12093
Cordeaux Heights,0.0,4.0,26.0,423.0,930.0,20.0,3.8,3.2,0.0,0.3,1.9,30.1,66.3,1.4,--,--,11070
Farmborough Heights,0.0,12.0,54.0,675.0,593.0,24.0,3.5,2.9,0.0,0.9,4.0,49.7,43.7,1.8,--,--,11491
Berkeley,25.0,107.0,403.0,1483.0,640.0,91.0,3.0,2.6,0.9,3.9,14.7,53.9,23.3,3.3,--,--,10303
Cringila,0.0,27.0,123.0,370.0,148.0,26.0,3.0,2.9,0.0,3.9,17.7,53.3,21.3,3.7,--,--,11116
Lake Heights,4.0,43.0,212.0,733.0,360.0,35.0,3.1,2.6,0.3,3.1,15.3,52.8,26.0,2.5,--,--,12248
Warrawong,11.0,143.0,419.0,836.0,284.0,64.0,2.8,2.4,0.6,8.1,23.8,47.6,16.2,3.6,--,--,14167
Windang,5.0,192.0,389.0,382.0,179.0,46.0,2.5,2.1,0.4,16.1,32.6,32.0,15.0,3.9,--,--,14316
Primbee,4.0,33.0,130.0,290.0,149.0,16.0,3.0,2.4,0.6,5.3,20.9,46.6,24.0,2.6,--,--,13264
Mount Keira,0.0,14.0,58.0,209.0,266.0,5.0,3.5,2.9,0.0,2.5,10.5,37.9,48.2,0.9,--,--,12768
Bulli,12.0,70.0,362.0,811.0,756.0,39.0,3.2,2.8,0.6,3.4,17.7,39.6,36.9,1.9,--,--,10662
Bargo,13.0,43.0,171.0,519.0,689.0,35.0,3.4,2.9,0.9,2.9,11.6,35.3,46.9,2.4,--,--,10198
Yerrinbool,0.0,6.0,42.0,175.0,164.0,8.0,3.4,2.9,0.0,1.5,10.6,44.3,41.5,2.0,--,--,14510
Wilton (NSW),0.0,4.0,19.0,204.0,671.0,6.0,3.9,3.3,0.0,0.4,2.1,22.6,74.2,0.7,--,--,14311
Pheasants Nest,3.0,3.0,16.0,38.0,125.0,9.0,3.8,3.3,1.5,1.5,8.2,19.6,64.4,4.6,--,--,13191
Albion Park,3.0,19.0,263.0,1801.0,2091.0,62.0,3.5,3.0,0.1,0.4,6.2,42.5,49.3,1.5,--,--,10025
Calderwood,0.0,0.0,4.0,22.0,20.0,0.0,3.6,3.0,0.0,0.0,8.7,47.8,43.5,0.0,--,--,10750
Tullimbar,0.0,4.0,6.0,73.0,98.0,3.0,3.6,2.9,0.0,2.2,3.3,39.7,53.3,1.6,--,--,13958
Yellow Rock (Shellharbour - NSW),0.0,0.0,4.0,10.0,44.0,0.0,4.2,3.5,0.0,0.0,6.9,17.2,75.9,0.0,--,--,14503
Albion Park Rail,3.0,41.0,365.0,1342.0,609.0,63.0,3.1,2.6,0.1,1.7,15.1,55.4,25.1,2.6,--,--,10026
Kiama,19.0,115.0,596.0,1147.0,818.0,53.0,3.1,2.3,0.7,4.2,21.7,41.7,29.8,1.9,--,--,12116
Kiama Heights,0.0,0.0,26.0,113.0,146.0,5.0,3.6,2.5,0.0,0.0,9.0,39.0,50.3,1.7,--,--,12118
Bombo,0.0,3.0,11.0,20.0,10.0,0.0,2.9,2.0,0.0,6.8,25.0,45.5,22.7,0.0,--,--,10458
