,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Phillip Bay,276.0,47.0,65.0,177.0,47.8,8.1,11.3,30.7
Picnic Point,2474.0,326.0,230.0,1080.0,60.3,7.9,5.6,26.3
Plumpton,2765.0,437.0,187.0,1383.0,58.2,9.2,3.9,29.1
Point Clare,1367.0,313.0,365.0,580.0,52.3,12.0,14.0,22.2
Point Frederick,618.0,189.0,169.0,383.0,45.4,13.9,12.4,28.1
Point Piper,584.0,134.0,91.0,362.0,50.3,11.5,7.8,31.2
Port Kembla,1888.0,404.0,327.0,1162.0,49.8,10.7,8.6,30.7
Potts Point,1767.0,908.0,209.0,3768.0,26.6,13.7,3.1,56.7
Prairiewood,1464.0,221.0,140.0,808.0,55.7,8.4,5.3,30.8
Prestons,3871.0,436.0,162.0,1570.0,64.1,7.2,2.7,26.0
Primbee,695.0,159.0,88.0,348.0,54.1,12.4,6.9,27.1
Prospect,1972.0,241.0,102.0,1002.0,59.3,7.2,3.1,30.1
Punchbowl,6942.0,1167.0,721.0,3992.0,54.1,9.1,5.6,31.1
Putney,1372.0,148.0,139.0,607.0,60.6,6.5,6.1,26.8
Pymble,4523.0,369.0,319.0,2030.0,62.6,5.1,4.4,28.1
Pyrmont,2385.0,769.0,171.0,3823.0,33.3,10.7,2.4,53.4
Quakers Hill,9394.0,1660.0,492.0,5025.0,56.7,10.0,3.0,30.3
Queens Park,1022.0,240.0,134.0,811.0,46.4,10.9,6.1,36.8
Raby,2637.0,446.0,92.0,1485.0,56.6,9.6,2.0,31.9
Ramsgate,324.0,50.0,44.0,175.0,55.0,8.5,7.5,29.7
Ramsgate Beach,544.0,164.0,180.0,307.0,45.6,13.7,15.1,25.7
Randwick,8442.0,2388.0,1320.0,10756.0,36.9,10.4,5.8,47.0
Rankin Park,1262.0,165.0,68.0,574.0,61.1,8.0,3.3,27.8
Redfern,2775.0,1365.0,598.0,5280.0,27.7,13.6,6.0,52.7
Redhead,1445.0,297.0,232.0,634.0,55.6,11.4,8.9,24.4
Regents Park,1539.0,314.0,214.0,926.0,51.4,10.5,7.2,30.9
Regentville,318.0,78.0,23.0,182.0,54.1,13.3,3.9,31.0
Revesby,4622.0,905.0,841.0,2652.0,51.2,10.0,9.3,29.4
Revesby Heights,599.0,69.0,74.0,238.0,60.7,7.0,7.5,24.1
Rhodes,289.0,43.0,65.0,191.0,48.9,7.3,11.0,32.3
Riverstone,2360.0,578.0,274.0,1566.0,49.5,12.1,5.8,32.9
Riverview,1435.0,128.0,121.0,786.0,58.3,5.2,4.9,31.9
Riverwood,4087.0,1136.0,699.0,2481.0,48.7,13.5,8.3,29.5
Rockdale,4785.0,921.0,506.0,3229.0,50.7,9.8,5.4,34.2
Rocky Point,101.0,15.0,6.0,42.0,65.6,9.7,3.9,27.3
Rodd Point,593.0,73.0,87.0,268.0,58.5,7.2,8.6,26.5
Rooty Hill,4498.0,824.0,572.0,2579.0,53.1,9.7,6.7,30.4
Rose Bay,3437.0,795.0,544.0,2587.0,46.7,10.8,7.4,35.2
Rosebery,2876.0,506.0,269.0,2146.0,49.5,8.7,4.6,36.9
Roselands,4363.0,724.0,488.0,2249.0,55.7,9.2,6.2,28.7
Rosemeadow,2793.0,628.0,134.0,1925.0,50.9,11.4,2.4,35.1
Roseville,3611.0,379.0,385.0,1909.0,57.4,6.0,6.1,30.3
Roseville Chase,741.0,65.0,69.0,316.0,62.1,5.4,5.8,26.5
Rouse Hill,1616.0,133.0,42.0,472.0,71.3,5.9,1.9,20.8
Rozelle,2217.0,749.0,188.0,2760.0,37.5,12.7,3.2,46.7
Ruse,2485.0,462.0,147.0,1556.0,53.4,9.9,3.2,33.4
Rushcutters Bay,535.0,286.0,128.0,1136.0,25.8,13.8,6.2,54.7
Russell Lea,2221.0,379.0,270.0,1338.0,52.7,9.0,6.4,31.8
Russell Vale,539.0,99.0,74.0,272.0,55.3,10.2,7.6,27.9
Rydalmere,491.0,123.0,89.0,505.0,40.8,10.2,7.4,42.0
Ryde,8468.0,1592.0,1261.0,5411.0,50.6,9.5,7.5,32.3
Sadleir,949.0,334.0,160.0,714.0,44.1,15.5,7.4,33.2
San Remo,1382.0,433.0,155.0,847.0,49.2,15.4,5.5,30.1
Sandringham,469.0,127.0,107.0,256.0,48.9,13.2,11.1,26.7
Sans Souci,4118.0,879.0,780.0,2064.0,52.5,11.2,9.9,26.3
