,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Woollahra,2517.0,704.0,484.0,2425.0,41.1,11.5,7.9,39.6
Woolloomooloo,748.0,425.0,105.0,1415.0,27.8,15.8,3.9,52.5
Woolooware,3213.0,431.0,330.0,1680.0,56.7,7.6,5.8,29.7
Woolwich,386.0,65.0,23.0,198.0,56.9,9.6,3.4,29.2
Woonona,4053.0,825.0,625.0,2089.0,53.3,10.9,8.2,27.5
Woronora,867.0,95.0,33.0,400.0,61.8,6.8,2.4,28.5
Woronora Heights,1417.0,75.0,24.0,553.0,68.4,3.6,1.2,26.7
Woy Woy,3747.0,1272.0,1037.0,2149.0,45.7,15.5,12.6,26.2
Woy Woy Bay,224.0,50.0,15.0,83.0,61.5,13.7,4.1,22.8
Wyoming,3587.0,851.0,483.0,1923.0,52.4,12.4,7.1,28.1
Wyong,1147.0,395.0,242.0,759.0,44.9,15.5,9.5,29.7
Wyongah,711.0,166.0,75.0,331.0,56.3,13.2,5.9,26.2
Yagoona,6193.0,1016.0,886.0,3208.0,54.8,9.0,7.8,28.4
Yarrawarrah,693.0,48.0,16.0,399.0,59.3,4.1,1.4,34.1
Yattalunga,221.0,57.0,33.0,133.0,48.4,12.5,7.2,29.1
Yennora,466.0,143.0,130.0,288.0,45.6,14.0,12.7,28.2
Yowie Bay,1817.0,170.0,146.0,739.0,63.1,5.9,5.1,25.7
Zetland,188.0,62.0,9.0,231.0,37.4,12.3,1.8,45.9
