,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Tomakin,167.0,58.0,37.0,626.0,16.6,5.8,3.7,62.3,13890
Mossy Point,72.0,43.0,38.0,395.0,12.5,7.4,6.6,68.3,12741
Bodalla,116.0,41.0,35.0,515.0,15.5,5.5,4.7,68.9,10434
Narooma,441.0,127.0,89.0,1702.0,16.9,4.9,3.4,65.3,12900
Eden,425.0,159.0,105.0,2130.0,13.5,5.0,3.3,67.6,11375
South Durras,37.0,18.0,16.0,222.0,10.8,5.3,4.7,64.9,13580
Mogo (Eurobodalla - NSW),37.0,13.0,6.0,228.0,11.5,4.0,1.9,71.0,12660
Jeremadra,24.0,14.0,9.0,113.0,14.1,8.2,5.3,66.5,12012
Mogendoura,41.0,12.0,10.0,121.0,21.6,6.3,5.3,63.7,12657
Turlinjah,31.0,8.0,11.0,109.0,18.5,4.8,6.5,64.9,13975
Potato Point,17.0,4.0,10.0,89.0,12.3,2.9,7.2,64.5,13253
Kianga (NSW),103.0,52.0,29.0,504.0,13.4,6.8,3.8,65.8,12119
Tuross Head,427.0,126.0,100.0,1463.0,19.0,5.6,4.5,65.1,13979
Pambula Beach,78.0,50.0,27.0,443.0,12.0,7.7,4.1,68.0,13141
Merimbula,622.0,221.0,161.0,2195.0,17.6,6.2,4.5,62.0,12575
Tura Beach,624.0,181.0,128.0,2027.0,19.7,5.7,4.1,64.1,13973
South Pambula,47.0,23.0,22.0,343.0,9.8,4.8,4.6,71.5,13595
Pambula,109.0,63.0,43.0,657.0,11.2,6.5,4.4,67.7,13140
Broadwater (Bega Valley - NSW),20.0,4.0,4.0,81.0,16.9,3.4,3.4,68.6,10579
Bald Hills (NSW),34.0,20.0,16.0,179.0,12.9,7.6,6.1,67.8,10147
Millingandi,75.0,34.0,24.0,278.0,16.8,7.6,5.4,62.2,12622
Mirador,60.0,37.0,14.0,255.0,15.9,9.8,3.7,67.5,12644
Berrambool,67.0,24.0,21.0,314.0,14.9,5.3,4.7,69.6,10312
Moruya,554.0,203.0,179.0,2706.0,13.9,5.1,4.5,68.0,12734
Moruya Heads,149.0,62.0,43.0,655.0,15.1,6.3,4.4,66.5,12735
Bergalia,20.0,6.0,19.0,112.0,12.0,3.6,11.4,67.5,10302
Congo,30.0,18.0,14.0,158.0,12.2,7.3,5.7,64.2,11008
Bingie,38.0,11.0,8.0,125.0,19.2,5.6,4.0,63.1,10367
Bermagui,263.0,96.0,75.0,990.0,17.1,6.2,4.9,64.4,10307
Dalmeny,315.0,122.0,73.0,1228.0,16.3,6.3,3.8,63.5,11191
Wallaga Lake,99.0,33.0,21.0,350.0,18.0,6.0,3.8,63.8,14102
Central Tilba,56.0,13.0,8.0,169.0,19.4,4.5,2.8,58.7,10877
North Narooma,95.0,41.0,24.0,413.0,15.3,6.6,3.9,66.7,12998
Akolele,11.0,0.0,7.0,101.0,6.7,0.0,4.2,61.2,10023
Mystery Bay,37.0,13.0,15.0,112.0,18.8,6.6,7.6,56.9,12883
Goulburn,2436.0,1033.0,696.0,15955.0,10.9,4.6,3.1,71.2,11725
Run-o-Waters,66.0,19.0,17.0,326.0,14.2,4.1,3.7,70.1,13440
Marulan,193.0,66.0,67.0,781.0,16.4,5.6,5.7,66.3,12513
