,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Kanoona,8.0,8.0,5.0,114.0,5.9,5.9,3.7,84.4,12066
Toothdale,27.0,13.0,9.0,109.0,15.5,7.5,5.2,62.6,13914
Wolumla,100.0,49.0,29.0,470.0,14.2,7.0,4.1,67.0,14362
South Wolumla,21.0,18.0,6.0,114.0,12.3,10.5,3.5,66.7,13602
Wyndham (NSW),56.0,21.0,21.0,241.0,14.3,5.4,5.4,61.6,14443
Kiah,16.0,6.0,4.0,107.0,11.3,4.3,2.8,75.9,12115
Towamba,31.0,16.0,11.0,157.0,13.5,7.0,4.8,68.6,13927
Lochiel (NSW),42.0,19.0,29.0,243.0,12.0,5.4,8.3,69.2,12367
Nethercote,47.0,27.0,18.0,231.0,13.3,7.6,5.1,65.3,12932
Candelo,81.0,48.0,36.0,449.0,11.9,7.0,5.3,65.9,10788
Tantawangalo,21.0,17.0,0.0,99.0,13.4,10.8,0.0,63.1,13753
Bemboka,67.0,25.0,22.0,410.0,11.7,4.4,3.8,71.6,10284
Quaama,47.0,12.0,9.0,199.0,16.4,4.2,3.1,69.6,13285
Cobargo,124.0,50.0,24.0,504.0,16.0,6.4,3.1,64.9,10951
Yowrie,25.0,13.0,0.0,77.0,21.2,11.0,0.0,65.3,14520
Wandella (NSW),28.0,10.0,5.0,94.0,19.7,7.0,3.5,66.2,14128
Angledale,20.0,14.0,5.0,101.0,12.9,9.0,3.2,65.2,10056
Verona,42.0,16.0,10.0,194.0,14.7,5.6,3.5,68.1,14073
Tanja,30.0,13.0,13.0,82.0,19.9,8.6,8.6,54.3,13749
Coolagolite,50.0,26.0,10.0,172.0,18.1,9.4,3.6,62.1,11023
Brogo,96.0,31.0,21.0,317.0,19.2,6.2,4.2,63.4,10589
Coopers Gully,14.0,3.0,4.0,131.0,8.2,1.8,2.4,77.1,11048
Stony Creek (Bega Valley - NSW),4.0,11.0,3.0,108.0,2.9,8.1,2.2,79.4,13668
Numbugga,28.0,9.0,0.0,80.0,22.4,7.2,0.0,64.0,13038
Buckajo,19.0,25.0,3.0,226.0,6.5,8.6,1.0,77.7,10629
Kameruka,24.0,8.0,7.0,73.0,19.8,6.6,5.8,60.3,12054
Greigs Flat,20.0,5.0,3.0,115.0,13.0,3.2,1.9,74.7,11775
Broulee,247.0,121.0,69.0,1160.0,14.4,7.0,4.0,67.4,10608
