,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
Bondi Junction,"1,646",,953,"1,465",,,,,,,224,,,,949,,,,20.6,,11.9,18.3,,,,,,,2.8,,,,11.9,,,
Bonnet Bay,698,,643,284,,60,,162,,,,,,,,,,,32.0,,29.5,13.0,,2.7,,7.4,,,,,,,,,,
Bonnyrigg,"2,218",477,472,548,,,,,,,"2,734",,,,,,,,26.7,5.7,5.7,6.6,,,,,,,32.9,,,,,,,
Bonnyrigg Heights,"2,423",803,,416,,,,,434,,"1,566",,,,,,,,34.9,11.6,,6.0,,,,,6.3,,22.6,,,,,,,
Booker Bay,344,,450,168,,56,,66,,,,,,,,,,,24.5,,32.1,12.0,,4.0,,4.7,,,,,,,,,,
Boolaroo,189,,311,141,,,,95,,,,,44,,,,,,19.8,,32.6,14.8,,,,10.0,,,,,4.6,,,,,
Booragul,320,,489,177,,44,,160,,,,,,,,,,,22.4,,34.3,12.4,,3.1,,11.2,,,,,,,,,,
Bossley Park,"7,209",811,955,602,,,,,,,"1,153",,,,,,,,51.7,5.8,6.9,4.3,,,,,,,8.3,,,,,,,
Botany,"2,925",450,"1,414",881,,,,197,,,,,,,,,,,39.2,6.0,19.0,11.8,,,,2.6,,,,,,,,,,
Bow Bowing,569,,318,114,,,96,,71,,,,,,,,,,35.5,,19.9,7.1,,,6.0,,4.4,,,,,,,,,
Bradbury,"2,791",,"2,413","1,148",,302,,,313,,,,,,,,,,30.2,,26.1,12.4,,3.3,,,3.4,,,,,,,,,
Broadmeadow,449,104,412,284,,,,110,,,,,,,,,,,26.0,6.0,23.8,16.4,,,,6.4,,,,,,,,,,
Bronte,"1,675",185,"1,044","1,376",,,,,,,,,,,265,,,,27.4,3.0,17.1,22.5,,,,,,,,,,,4.3,,,
Brookvale,"1,108",65,601,543,,,,134,,,,,,,,,,,34.4,2.0,18.6,16.8,,,,4.2,,,,,,,,,,
Budgewoi,795,,"1,044",405,,101,,113,,,,,,,,,,,26.9,,35.3,13.7,,3.4,,3.8,,,,,,,,,,
Buff Point,875,,"1,121",504,,155,,144,,,,,,,,,,,25.5,,32.7,14.7,,4.5,,4.2,,,,,,,,,,
Bulli,"1,405",,"1,332","1,038",,223,,426,,,,,,,,,,,25.8,,24.4,19.0,,4.1,,7.8,,,,,,,,,,
Burwood,"3,031",615,648,"2,840",,,,,,,"1,133",,,,,,,,25.3,5.1,5.4,23.7,,,,,,,9.5,,,,,,,
Burwood Heights,407,72,111,76,,,,,,,,,59,,,,,,40.3,7.1,11.0,7.5,,,,,,,,,5.8,,,,,
Busby,"1,063",,685,264,,,,,641,,316,,,,,,,,26.9,,17.4,6.7,,,,,16.2,,8.0,,,,,,,
Cabarita,842,91,324,249,,,,95,,,,,,,,,,,37.7,4.1,14.5,11.2,,,,4.3,,,,,,,,,,
Cabramatta,"3,177","1,262",606,"1,702",,,,,,,"9,692",,,,,,,,16.0,6.4,3.1,8.6,,,,,,,48.9,,,,,,,
Cabramatta West,"1,594",356,365,417,,,,,,,"2,635",,,,,,,,24.9,5.6,5.7,6.5,,,,,,,41.2,,,,,,,
Cambridge Gardens,745,,558,264,,86,,54,,,,,,,,,,,35.8,,26.8,12.7,,4.1,,2.6,,,,,,,,,,
Cambridge Park,"1,909",,"1,624",840,,204,,201,,,,,,,,,,,31.9,,27.2,14.0,,3.4,,3.4,,,,,,,,,,
Camden,911,,992,398,,120,,163,,,,,,,,,,,28.8,,31.3,12.6,,3.8,,5.1,,,,,,,,,,
Camden South,"1,324",,"1,418",536,,148,,267,,,,,,,,,,,30.3,,32.5,12.3,,3.4,,6.1,,,,,,,,,,
Cammeray,"1,789",,"1,418","1,560",,,,237,,,190,,,,,,,,26.7,,21.2,23.3,,,,3.5,,,2.8,,,,,,,
Campbelltown,"2,384",,"1,893",982,,,,215,396,,,,,,,,,,29.8,,23.6,12.3,,,,2.7,4.9,,,,,,,,,
Camperdown,"1,427",,912,"1,866",,,,155,,,209,,,,,,,,21.8,,13.9,28.5,,,,2.4,,,3.2,,,,,,,
Campsie,"4,997","1,697",,"4,085",,,,,"1,063",,"2,485",,,,,,,,24.4,8.3,,19.9,,,,,5.2,,12.1,,,,,,,
Canada Bay,567,76,138,132,,,,,,,42,,,,,,,,46.2,6.2,11.2,10.7,,,,,,,3.4,,,,,,,
Canley Heights,"2,368",528,646,703,,,,,,,"3,948",,,,,,,,24.1,5.4,6.6,7.2,,,,,,,40.2,,,,,,,
Canley Vale,"1,966",595,481,876,,,,,,,"3,337",,,,,,,,21.9,6.6,5.4,9.8,,,,,,,37.2,,,,,,,
Canterbury,"1,760",877,340,732,,,,,,,326,,,,,,,,32.5,16.2,6.3,13.5,,,,,,,6.0,,,,,,,
Canton Beach,221,,400,116,,69,,52,,,,,,,,,,,21.4,,38.6,11.2,,6.7,,5.0,,,,,,,,,,
