,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
Loftus,"1,248",,"1,132",520,,181,,258,,,,,,,,,,,31.3,,28.4,13.1,,4.5,,6.5,,,,,,,,,,
Long Jetty,"1,535",,"1,621",619,,194,,219,,,,,,,,,,,30.0,,31.7,12.1,,3.8,,4.3,,,,,,,,,,
Long Point,98,,86,36,,,,15,,,16,,,,,,,,28.9,,25.4,10.6,,,,4.4,,,4.7,,,,,,,
Longueville,769,,509,259,,67,,93,,,,,,,,,,,37.8,,25.0,12.7,,3.3,,4.6,,,,,,,,,,
Lugarno,"1,713",680,"1,294",545,,,,332,,,,,,,,,,,30.0,11.9,22.7,9.5,,,,5.8,,,,,,,,,,
Lurnea,"2,172",445,"1,059",453,,,,,"1,337",,,,,,,,,,29.1,6.0,14.2,6.1,,,,,17.9,,,,,,,,,
Macquarie Fields,"3,277",,"2,655","1,407",,,521,,773,,,,,,,,,,25.3,,20.5,10.8,,,4.0,,6.0,,,,,,,,,
Macquarie Hills,563,,547,274,,84,,157,,,,,,,,,,,28.1,,27.3,13.7,,4.2,,7.8,,,,,,,,,,
Macquarie Links,403,33,175,53,,,,,,,,,,23,,,,,44.2,3.6,19.2,5.8,,,,,,,,,,2.5,,,,
Macquarie Park,904,,569,"1,338",,,,,,,275,,279,,,,,,16.1,,10.2,23.9,,,,,,,4.9,,5.0,,,,,
Malabar,"1,363",167,651,386,,,,82,,,,,,,,,,,29.0,3.6,13.9,8.2,,,,1.7,,,,,,,,,,
Mangerton,751,211,627,426,,,,122,,,,,,,,,,,26.8,7.5,22.4,15.2,,,,4.4,,,,,,,,,,
Manly,"3,271",,"2,881","3,272",,401,,368,,,,,,,,,,,23.4,,20.7,23.5,,2.9,,2.6,,,,,,,,,,
Manly Vale,"1,421",,"1,169","1,059",,185,,190,,,,,,,,,,,28.0,,23.1,20.9,,3.7,,3.7,,,,,,,,,,
Marayong,"2,768",,"1,284",628,,,,253,189,,,,,,,,,,40.6,,18.8,9.2,,,,3.7,2.8,,,,,,,,,
Mardi,863,,729,415,,106,,102,,,,,,,,,,,29.4,,24.9,14.2,,3.6,,3.5,,,,,,,,,,
Marks Point,376,,477,272,,89,,128,,,,,,,,,,,22.7,,28.8,16.4,,5.4,,7.7,,,,,,,,,,
Marmong Point,79,,105,79,,,,41,,,,19,,,,,,,20.0,,26.6,20.0,,,,10.4,,,,4.8,,,,,,
Maroubra,"8,250","2,520","3,322","4,067",,,,,,,,,,,"1,204",,,,31.1,9.5,12.5,15.3,,,,,,,,,,,4.5,,,
Marrickville,"5,993","2,767","1,721","4,475",,,,,,,"2,103",,,,,,,,25.9,11.9,7.4,19.3,,,,,,,9.1,,,,,,,
Marsfield,"3,165",,"1,400","2,708",,511,,,,,592,,,,,,,,26.6,,11.8,22.8,,4.3,,,,,5.0,,,,,,,
Maryland,"1,911",,"2,104","1,123",,268,,648,,,,,,,,,,,25.1,,27.7,14.8,,3.5,,8.5,,,,,,,,,,
Maryville,326,,275,321,,37,,72,,,,,,,,,,,23.4,,19.8,23.1,,2.7,,5.2,,,,,,,,,,
Mascot,"2,947",947,940,793,,,,,561,,,,,,,,,,34.6,11.1,11.0,9.3,,,,,6.6,,,,,,,,,
Matraville,"3,501",500,"1,376",943,,,,,,,241,,,,,,,,39.8,5.7,15.7,10.7,,,,,,,2.7,,,,,,,
Mayfield,"2,491",,"2,004","1,492",,,,478,,,,,278,,,,,,27.6,,22.2,16.6,,,,5.3,,,,,3.1,,,,,
Mayfield East,358,,383,299,,43,,68,,,,,,,,,,,24.2,,25.8,20.2,,2.9,,4.6,,,,,,,,,,
Mayfield West,466,,373,278,,,,97,,,,,61,,,,,,28.3,,22.6,16.9,,,,5.9,,,,,3.7,,,,,
Mays Hill,231,,77,70,,,46,,52,,,,,,,,,,33.3,,11.1,10.1,,,6.6,,7.5,,,,,,,,,
McMahons Point,419,,396,525,,63,,56,,,,,,,,,,,20.4,,19.3,25.6,,3.1,,2.7,,,,,,,,,,
Meadowbank,587,,249,509,,,103,,,,108,,,,,,,,21.9,,9.3,19.0,,,3.8,,,,4.0,,,,,,,
Melrose Park,734,71,340,281,,,,86,,,,,,,,,,,36.5,3.5,16.9,14.0,,,,4.3,,,,,,,,,,
Menai,"3,663",678,"2,515",961,,,,430,,,,,,,,,,,34.0,6.3,23.3,8.9,,,,4.0,,,,,,,,,,
Merewether,"3,107",,"2,626","1,776",,370,,692,,,,,,,,,,,30.0,,25.3,17.1,,3.6,,6.7,,,,,,,,,,
Merewether Heights,351,,404,244,,80,,95,,,,,,,,,,,25.5,,29.4,17.8,,5.8,,6.9,,,,,,,,,,
Merrylands,"8,017","1,189","1,802","1,572",,,,,"2,741",,,,,,,,,,38.4,5.7,8.6,7.5,,,,,13.1,,,,,,,,,
Merrylands West,"2,389",262,742,401,,,,,539,,,,,,,,,,41.2,4.5,12.8,6.9,,,,,9.3,,,,,,,,,
Middle Cove,275,,234,259,,,,61,,,,,,,31,,,,26.9,,22.9,25.3,,,,6.0,,,,,,,3.0,,,
Miller,759,,539,251,,,,,463,,210,,,,,,,,25.3,,18.0,8.4,,,,,15.4,,7.0,,,,,,,
Millers Point,341,45,223,242,,,,,,,59,,,,,,,,16.9,2.2,11.1,12.0,,,,,,,2.9,,,,,,,
Milperra,"1,301",139,"1,252",351,,,,139,,,,,,,,,,,33.5,3.6,32.2,9.0,,,,3.6,,,,,,,,,,
Milsons Point,252,,241,315,,,,37,,,71,,,,,,,,16.2,,15.5,20.3,,,,2.4,,,4.6,,,,,,,
Minchinbury,"2,167",,856,425,,,,159,282,,,,,,,,,,41.0,,16.2,8.0,,,,3.0,5.3,,,,,,,,,
Minmi,124,,261,108,,26,,52,,,,,,,,,,,16.9,,35.7,14.8,,3.6,,7.1,,,,,,,,,,
Minto,"2,869",,"2,086","1,110",,,468,,949,,,,,,,,,,26.1,,19.0,10.1,,,4.3,,8.6,,,,,,,,,
Miranda,"4,011",559,"3,251","1,632",,,,530,,,,,,,,,,,30.7,4.3,24.9,12.5,,,,4.1,,,,,,,,,,
Mona Vale,"2,404",,"2,587","1,645",,326,,504,,,,,,,,,,,25.2,,27.1,17.2,,3.4,,5.3,,,,,,,,,,
Monterey,993,"1,061",543,280,,,,,161,,,,,,,,,,23.9,25.6,13.1,6.7,,,,,3.9,,,,,,,,,
Moorebank,"2,545",638,"1,530",633,,,,,267,,,,,,,,,,33.5,8.4,20.1,8.3,,,,,3.5,,,,,,,,,
Mortdale,"2,568",882,"1,798","1,464",,,,319,,,,,,,,,,,26.6,9.1,18.6,15.2,,,,3.3,,,,,,,,,,
Mortlake,113,23,112,77,,,,,,,22,,,,,,,,23.1,4.7,22.9,15.7,,,,,,,4.5,,,,,,,
Mosman,"6,633",,"7,222","5,033",,"1,000",,801,,,,,,,,,,,25.3,,27.5,19.2,,3.8,,3.1,,,,,,,,,,
Mount Annan,"2,895",,"2,408","1,090",,192,,279,,,,,,,,,,,34.5,,28.7,13.0,,2.3,,3.3,,,,,,,,,,
Mount Colah,"1,774",,"1,609","1,182",,175,,530,,,,,,,,,,,25.4,,23.1,16.9,,2.5,,7.6,,,,,,,,,,
Mount Druitt,"4,913",,"1,391",790,,,494,,"1,741",,,,,,,,,,36.2,,10.2,5.8,,,3.6,,12.8,,,,,,,,,
Mount Hutton,731,,868,494,,155,,230,,,,,,,,,,,23.5,,27.9,15.9,,5.0,,7.4,,,,,,,,,,
Mount Keira,443,90,296,238,,,,78,,,,,,,,,,,30.7,6.2,20.5,16.5,,,,5.4,,,,,,,,,,
Mount Kembla,227,,213,183,,30,,59,,,,,,,,,,,25.0,,23.5,20.2,,3.3,,6.5,,,,,,,,,,
Mount Lewis,401,173,83,34,,,,,289,,,,,,,,,,36.6,15.8,7.6,3.1,,,,,26.4,,,,,,,,,
Mount Ousley,560,,340,261,,65,,92,,,,,,,,,,,33.2,,20.2,15.5,,3.9,,5.5,,,,,,,,,,
Mount Pleasant,267,38,221,115,,,,42,,,,,,,,,,,29.5,4.2,24.4,12.7,,,,4.6,,,,,,,,,,
Mount Pritchard,"2,861",862,"1,117",637,,,,,,,"1,142",,,,,,,,32.2,9.7,12.6,7.2,,,,,,,12.8,,,,,,,
Mount Riverview,655,,848,481,,167,,,,,,,124,,,,,,21.9,,28.3,16.1,,5.6,,,,,,,4.1,,,,,
Mount Saint Thomas,439,129,343,241,,,,67,,,,,,,,,,,29.6,8.7,23.1,16.2,,,,4.5,,,,,,,,,,
Mount Warrigal,"1,802",291,"1,245",637,,,,217,,,,,,,,,,,34.8,5.6,24.0,12.3,,,,4.2,,,,,,,,,,
Narara,"1,936",,"2,150","1,301",,,,414,,,,,264,,,,,,24.8,,27.6,16.7,,,,5.3,,,,,3.4,,,,,
Narellan,"1,085",,"1,142",433,,116,,108,,,,,,,,,,,30.9,,32.6,12.3,,3.3,,3.1,,,,,,,,,,
Narellan Vale,"2,611",,"2,221",906,,169,,293,,,,,,,,,,,35.5,,30.2,12.3,,2.3,,4.0,,,,,,,,,,
Naremburn,"1,343",,"1,036","1,042",,140,,141,,,,,,,,,,,27.1,,20.9,21.0,,2.8,,2.8,,,,,,,,,,
Narrabeen,"1,445",,"1,701","1,037",,236,,273,,,,,,,,,,,22.5,,26.4,16.1,,3.7,,4.2,,,,,,,,,,
Narraweena,"1,923",,"1,263",802,,178,,241,,,,,,,,,,,35.2,,23.1,14.7,,3.3,,4.4,,,,,,,,,,
Narwee,"1,239",396,584,859,,,,,,,381,,,,,,,,24.7,7.9,11.6,17.1,,,,,,,7.6,,,,,,,
Neutral Bay,"2,262",,"2,113","2,400",,294,,326,,,,,,,,,,,22.0,,20.6,23.4,,2.9,,3.2,,,,,,,,,,
New Lambton,"2,617",,"2,332","1,462",,343,,770,,,,,,,,,,,28.3,,25.2,15.8,,3.7,,8.3,,,,,,,,,,
New Lambton Heights,413,,476,307,,62,,143,,,,,,,,,,,23.0,,26.5,17.1,,3.5,,8.0,,,,,,,,,,
Newcastle,362,,399,362,,58,,85,,,,,,,,,,,20.8,,23.0,20.8,,3.3,,4.9,,,,,,,,,,
Newcastle East,209,,170,212,,31,,40,,,,,,,,,,,21.4,,17.4,21.7,,3.2,,4.1,,,,,,,,,,
Newcastle West,78,,79,77,,12,,12,,,,,,,,,,,22.3,,22.6,22.1,,3.4,,3.4,,,,,,,,,,
Newington,"1,258",,521,988,,249,,,,,317,,,,,,,,25.6,,10.6,20.1,,5.1,,,,,6.5,,,,,,,
Newport,"1,973",,"2,661","2,021",,325,,441,,,,,,,,,,,21.4,,28.8,21.9,,3.5,,4.8,,,,,,,,,,
Newtown,"2,145",436,"1,476","4,475",,,,,,,510,,,,,,,,15.8,3.2,10.9,33.0,,,,,,,3.8,,,,,,,
Niagara Park,516,,612,473,,,,105,,,,,85,,,,,,22.5,,26.7,20.7,,,,4.6,,,,,3.7,,,,,
Norah Head,305,,363,158,,45,,36,,,,,,,,,,,26.7,,31.7,13.8,,3.9,,3.1,,,,,,,,,,
Noraville,775,,840,353,,93,,108,,,,,,,,,,,30.4,,33.0,13.9,,3.6,,4.2,,,,,,,,,,
Normanhurst,"1,369",,"1,003",639,,164,,429,,,,,,,,,,,28.6,,21.0,13.4,,3.4,,9.0,,,,,,,,,,
North Avoca,560,,604,396,,65,,128,,,,,,,,,,,24.7,,26.6,17.4,,2.9,,5.6,,,,,,,,,,
North Balgowlah,907,,904,682,,111,,138,,,,,,,,,,,27.4,,27.3,20.6,,3.4,,4.2,,,,,,,,,,
North Bondi,"1,628",187,921,"1,507",,,,,,,,,,,"2,001",,,,19.0,2.2,10.8,17.6,,,,,,,,,,,23.4,,,
North Curl Curl,988,,918,652,,117,,138,,,,,,,,,,,29.3,,27.2,19.3,,3.5,,4.1,,,,,,,,,,
North Epping,914,,980,796,,208,,254,,,,,,,,,,,21.9,,23.4,19.0,,5.0,,6.1,,,,,,,,,,
North Gosford,847,,810,647,,124,,164,,,,,,,,,,,24.6,,23.6,18.8,,3.6,,4.8,,,,,,,,,,
North Lambton,799,,711,476,,94,,223,,,,,,,,,,,26.5,,23.5,15.8,,3.1,,7.4,,,,,,,,,,
North Manly,897,,601,525,,76,,132,,,,,,,,,,,32.8,,22.0,19.2,,2.8,,4.8,,,,,,,,,,
North Narrabeen,"1,378",,"1,335","1,079",,140,,215,,,,,,,,,,,26.1,,25.3,20.4,,2.7,,4.1,,,,,,,,,,
North Parramatta,"2,086",,948,989,,,,307,509,,,,,,,,,,24.9,,11.3,11.8,,,,3.7,6.1,,,,,,,,,
North Rocks,"2,240",,"1,452","1,054",,266,,553,,,,,,,,,,,31.0,,20.1,14.6,,3.7,,7.6,,,,,,,,,,
North Ryde,"3,149",,"1,793","1,495",,,,371,,,,,,,,416,,,30.9,,17.6,14.7,,,,3.6,,,,,,,,4.1,,
North St Marys,"1,177",,889,489,,128,,79,,,,,,,,,,,32.3,,24.4,13.4,,3.5,,2.2,,,,,,,,,,
North Strathfield,"1,174",168,329,461,,170,,,,,,,,,,,,,35.8,5.1,10.0,14.1,,5.2,,,,,,,,,,,,
North Sydney,"1,388",,"1,070","1,369",,177,,,,,250,,,,,,,,22.9,,17.7,22.6,,2.9,,,,,4.1,,,,,,,
North Turramurra,770,,"1,283",519,,145,,366,,,,,,,,,,,20.1,,33.4,13.5,,3.8,,9.5,,,,,,,,,,
North Wahroonga,482,,629,284,,106,,202,,,,,,,,,,,21.6,,28.2,12.7,,4.7,,9.0,,,,,,,,,,
North Willoughby,"1,273",123,692,765,,,,,,,134,,,,,,,,33.1,3.2,18.0,19.9,,,,,,,3.5,,,,,,,
North Wollongong,406,80,307,413,,,,57,,,,,,,,,,,23.0,4.5,17.4,23.3,,,,3.2,,,,,,,,,,
Northbridge,"1,807",,"1,459","1,097",,,,301,,,154,,,,,,,,30.0,,24.2,18.2,,,,5.0,,,2.6,,,,,,,
Northmead,"2,189",,"1,361",950,,228,,360,,,,,,,,,,,31.4,,19.5,13.6,,3.3,,5.2,,,,,,,,,,
Northwood,280,,274,154,,,,38,,,17,,,,,,,,30.9,,30.3,17.0,,,,4.2,,,1.9,,,,,,,
Oak Flats,"1,632",,"1,701","1,088",,200,,320,,,,,,,,,,,25.5,,26.6,17.0,,3.1,,5.0,,,,,,,,,,
Oakhurst,"2,638",,979,536,,,295,,389,,,,,,,,,,40.4,,15.0,8.2,,,4.5,,6.0,,,,,,,,,
Oatlands,"1,820",,884,602,,,,273,,,,,246,,,,,,34.0,,16.5,11.3,,,,5.1,,,,,4.6,,,,,
Oatley,"2,848",588,"2,416","1,184",,,,647,,,,,,,,,,,29.9,6.2,25.3,12.4,,,,6.8,,,,,,,,,,
Old Guildford,687,,190,140,,,,,609,,132,,,,,,,,30.2,,8.4,6.2,,,,,26.8,,5.8,,,,,,,
Old Toongabbie,"1,526",,"1,065",533,,,,298,243,,,,,,,,,,30.1,,21.0,10.5,,,,5.9,4.8,,,,,,,,,
Ourimbah,724,,903,549,,92,,161,,,,,,,,,,,23.6,,29.4,17.9,,3.0,,5.2,,,,,,,,,,
Oxley Park,827,,526,311,,91,,,84,,,,,,,,,,32.8,,20.8,12.3,,3.6,,,3.3,,,,,,,,,
Oyster Bay,"1,570",196,"1,335",811,,,,266,,,,,,,,,,,31.5,3.9,26.8,16.3,,,,5.3,,,,,,,,,,
Paddington,"2,546",315,"2,620","2,878",,,,,,,,,,,293,,,,21.8,2.7,22.5,24.7,,,,,,,,,,,2.5,,,
Padstow,"3,387",890,"2,220","1,334",,,,,545,,,,,,,,,,28.9,7.6,19.0,11.4,,,,,4.7,,,,,,,,,
Padstow Heights,"1,196",321,805,351,,,,120,,,,,,,,,,,34.7,9.3,23.4,10.2,,,,3.5,,,,,,,,,,
Pagewood,"1,063",414,477,297,,,,,,,90,,,,,,,,35.8,14.0,16.1,10.0,,,,,,,3.0,,,,,,,
Palm Beach,280,,457,320,,64,,50,,,,,,,,,,,17.4,,28.5,19.9,,4.0,,3.1,,,,,,,,,,
Panania,"3,675",673,"2,649","1,025",,,,466,,,,,,,,,,,33.4,6.1,24.1,9.3,,,,4.2,,,,,,,,,,
Parramatta,"3,928",,"1,374","3,367",,,"2,447",,"1,260",,,,,,,,,,21.3,,7.4,18.3,,,13.3,,6.8,,,,,,,,,
Peakhurst,"2,586",920,"1,977",891,,,,388,,,,,,,,,,,28.2,10.0,21.5,9.7,,,,4.2,,,,,,,,,,
Peakhurst Heights,736,214,561,212,,,,135,,,,,,,,,,,32.1,9.3,24.4,9.2,,,,5.9,,,,,,,,,,
Pearl Beach,73,,124,118,,24,,25,,,,,,,,,,,15.2,,25.9,24.6,,5.0,,5.2,,,,,,,,,,
Pelican,157,,302,129,,51,,88,,,,,,,,,,,18.2,,35.0,15.0,,5.9,,10.2,,,,,,,,,,
Pendle Hill,"3,087",,"1,522",947,,,"1,066",,409,,,,,,,,,,31.0,,15.3,9.5,,,10.7,,4.1,,,,,,,,,
Pennant Hills,"1,640",,"1,446","1,082",,279,,472,,,,,,,,,,,24.0,,21.2,15.8,,4.1,,6.9,,,,,,,,,,
Penrith,"3,196",,"2,965","1,553",,438,,339,,,,,,,,,,,28.0,,26.0,13.6,,3.8,,3.0,,,,,,,,,,
Penrose,373,,425,223,,56,,97,,,,,,,,,,,26.1,,29.8,15.6,,3.9,,6.8,,,,,,,,,,
Penshurst,"3,345","1,003","1,539","1,917",,,,,,,399,,,,,,,,29.9,9.0,13.7,17.1,,,,,,,3.6,,,,,,,
Petersham,"2,227",379,821,"1,878",,,,,,,220,,,,,,,,30.1,5.1,11.1,25.4,,,,,,,3.0,,,,,,,
Phillip Bay,267,32,166,88,,,14,,,,,,,,,,,,38.0,4.6,23.6,12.5,,,2.0,,,,,,,,,,,
Picnic Point,"2,039",405,"1,535",522,,,,263,,,,,,,,,,,34.3,6.8,25.8,8.8,,,,4.4,,,,,,,,,,
Plumpton,"3,389",,911,551,,,424,,589,,,,,,,,,,43.1,,11.6,7.0,,,5.4,,7.5,,,,,,,,,
Point Clare,736,,880,483,,138,,176,,,,,,,,,,,24.7,,29.6,16.2,,4.6,,5.9,,,,,,,,,,
Point Frederick,474,,462,241,,65,,81,,,,,,,,,,,28.0,,27.3,14.2,,3.8,,4.8,,,,,,,,,,
Point Piper,256,48,289,170,,,,,,,,,,,232,,,,18.2,3.4,20.5,12.1,,,,,,,,,,,16.5,,,
Port Kembla,"1,353","1,094",647,462,,,,103,,,,,,,,,,,31.0,25.0,14.8,10.6,,,,2.4,,,,,,,,,,
Potts Point,"1,331",,761,"1,592",,121,,,,,185,,,,,,,,19.4,,11.1,23.1,,1.8,,,,,2.7,,,,,,,
Prairiewood,"1,408",177,158,,166,,,,,,309,,,,,,,,49.1,6.2,5.5,,5.8,,,,,,10.8,,,,,,,
Prestons,"4,146",793,"1,228",,,,976,,"1,310",,,,,,,,,,32.3,6.2,9.6,,,,7.6,,10.2,,,,,,,,,
Primbee,584,172,351,181,,,,53,,,,,,,,,,,35.5,10.4,21.3,11.0,,,,3.2,,,,,,,,,,
Prospect,"1,635",221,621,344,,,245,,,,,,,,,,,,38.8,5.2,14.7,8.2,,,5.8,,,,,,,,,,,
Punchbowl,"5,395","1,890",,865,,,,,"4,456",,"1,113",,,,,,,,31.3,11.0,,5.0,,,,,25.9,,6.5,,,,,,,
Putney,"1,349",171,590,395,,158,,,,,,,,,,,,,42.3,5.4,18.5,12.4,,4.9,,,,,,,,,,,,
Pymble,"2,035",,"2,662","1,487",,436,,834,,,,,,,,,,,21.7,,28.4,15.9,,4.7,,8.9,,,,,,,,,,
Pyrmont,"2,217",,"1,064","2,298",,,,216,,,625,,,,,,,,20.0,,9.6,20.7,,,,1.9,,,5.6,,,,,,,
Quakers Hill,"9,086",,"4,294","2,530",,,"1,080",,857,,,,,,,,,,36.3,,17.2,10.1,,,4.3,,3.4,,,,,,,,,
Queens Park,772,87,495,514,,,,,,,,,,,284,,,,28.4,3.2,18.2,18.9,,,,,,,,,,,10.4,,,
Raby,"2,170",,"1,505",646,,,,168,258,,,,,,,,,,35.6,,24.7,10.6,,,,2.8,4.2,,,,,,,,,
Ramsgate,257,164,225,83,,,,31,,,,,,,,,,,24.4,15.6,21.4,7.9,,,,2.9,,,,,,,,,,
Ramsgate Beach,380,209,311,112,,,,56,,,,,,,,,,,26.5,14.6,21.7,7.8,,,,3.9,,,,,,,,,,
Randwick,"7,641","1,126","3,778","5,442",,,,,,,,,,,"1,216",,,,29.6,4.4,14.6,21.1,,,,,,,,,,,4.7,,,
Rankin Park,604,,629,390,,123,,228,,,,,,,,,,,23.5,,24.5,15.2,,4.8,,8.9,,,,,,,,,,
Redfern,"2,280",501,"1,252","2,872",,,,,,,444,,,,,,,,19.9,4.4,10.9,25.0,,,,,,,3.9,,,,,,,
Redhead,898,,916,481,,186,,253,,,,,,,,,,,26.9,,27.5,14.4,,5.6,,7.6,,,,,,,,,,
Regents Park,"1,338",,422,489,,,,,707,,732,,,,,,,,26.8,,8.5,9.8,,,,,14.2,,14.7,,,,,,,
Regentville,227,,245,66,,27,,,,,,,,,,,,16,31.8,,34.3,9.2,,3.8,,,,,,,,,,,,2.2
Revesby,"3,849",782,"2,147","1,161",,,,,696,,,,,,,,,,32.5,6.6,18.1,9.8,,,,,5.9,,,,,,,,,
Revesby Heights,435,68,330,131,,,,57,,,,,,,,,,,32.9,5.1,25.0,9.9,,,,4.3,,,,,,,,,,
Rhodes,476,,187,281,,83,,72,,,,,,,,,,,28.5,,11.2,16.8,,5.0,,4.3,,,,,,,,,,
Riverstone,"2,061",,"1,596",754,,,,208,,,,,196,,,,,,33.8,,26.2,12.4,,,,3.4,,,,,3.2,,,,,
Riverview,"1,578",113,527,430,,,,111,,,,,,,,,,,47.2,3.4,15.8,12.9,,,,3.3,,,,,,,,,,
Riverwood,"2,510",788,"1,208","1,517",,,,,873,,,,,,,,,,25.5,8.0,12.3,15.4,,,,,8.9,,,,,,,,,
Rockdale,"3,193","2,219",901,"1,892",,,,,"1,414",,,,,,,,,,22.8,15.9,6.4,13.5,,,,,10.1,,,,,,,,,
Rocky Point,67,,72,32,,,,16,,,,,10,,,,,,26.6,,28.6,12.7,,,,6.3,,,,,4.0,,,,,
Rodd Point,542,85,205,179,,,,46,,,,,,,,,,,43.6,6.8,16.5,14.4,,,,3.7,,,,,,,,,,
Rooty Hill,"5,470",,"1,627",820,,,428,,497,,,,,,,,,,44.6,,13.3,6.7,,,3.5,,4.1,,,,,,,,,
Rose Bay,"1,550",317,"1,217","1,067",,,,,,,,,,,"2,364",,,,17.4,3.6,13.6,11.9,,,,,,,,,,,26.5,,,
Rosebery,"2,161","1,362",579,910,,,,,422,,,,,,,,,,29.1,18.3,7.8,12.3,,,,,5.7,,,,,,,,,
Roselands,"2,799","1,875",930,710,,,,,"1,362",,,,,,,,,,27.5,18.5,9.2,7.0,,,,,13.4,,,,,,,,,
Rosemeadow,"2,461",,"1,704",873,,,,,261,,291,,,,,,,,33.2,,23.0,11.8,,,,,3.5,,3.9,,,,,,,
Roseville,"1,956",,"2,352","1,397",,296,,556,,,,,,,,,,,23.7,,28.5,16.9,,3.6,,6.7,,,,,,,,,,
Roseville Chase,445,,392,266,,45,,72,,,,,,,,,,,28.5,,25.1,17.0,,2.9,,4.6,,,,,,,,,,
Rouse Hill,"2,472",,"1,422",609,,,,287,,,,,,158,,,,,38.2,,22.0,9.4,,,,4.4,,,,,,2.4,,,,
Rozelle,"1,674",196,"1,272","1,824",,,,180,,,,,,,,,,,24.4,2.9,18.5,26.5,,,,2.6,,,,,,,,,,
Ruse,"1,917",,"1,663",636,,170,,214,,,,,,,,,,,34.1,,29.6,11.3,,3.0,,3.8,,,,,,,,,,
Rushcutters Bay,396,,288,476,,,,45,,,74,,,,,,,,17.7,,12.9,21.3,,,,2.0,,,3.3,,,,,,,
Russell Lea,"2,305",340,761,620,,152,,,,,,,,,,,,,45.5,6.7,15.0,12.2,,3.0,,,,,,,,,,,,
Russell Vale,288,,358,203,,74,,111,,,,,,,,,,,22.4,,27.8,15.8,,5.7,,8.6,,,,,,,,,,
Rydalmere,469,,238,187,,73,,58,,,,,,,,,,,33.1,,16.8,13.2,,5.2,,4.1,,,,,,,,,,
Ryde,"7,246",929,"2,938","2,652",,677,,,,,,,,,,,,,35.6,4.6,14.4,13.0,,3.3,,,,,,,,,,,,
Sadleir,791,,549,199,,,,,486,,191,,,,,,,,28.0,,19.4,7.0,,,,,17.2,,6.8,,,,,,,
San Remo,"1,095",,"1,377",667,,133,,119,,,,,,,,,,,27.3,,34.3,16.6,,3.3,,3.0,,,,,,,,,,
Sandringham,303,279,282,98,,,,38,,,,,,,,,,,24.5,22.6,22.8,7.9,,,,3.1,,,,,,,,,,
Sans Souci,"2,507","1,715","1,628",684,,,,,202,,,,,,,,,,29.2,20.0,19.0,8.0,,,,,2.4,,,,,,,,,
Saratoga,846,,"1,111",498,,131,,206,,,,,,,,,,,23.0,,30.2,13.6,,3.6,,5.6,,,,,,,,,,
Scarborough,81,,85,95,,,,,,,7,,8,,,,,,23.4,,24.6,27.5,,,,,,,2.0,,2.3,,,,,
Schofields,"1,709",,806,456,,,,131,,,,,93,,,,,,43.7,,20.6,11.7,,,,3.4,,,,,2.4,,,,,
Scotland Island,107,,101,246,,16,,22,,,,,,,,,,,16.7,,15.7,38.3,,2.5,,3.4,,,,,,,,,,
Seaforth,"1,722",,"1,837","1,141",,255,,207,,,,,,,,,,,27.1,,28.9,17.9,,4.0,,3.3,,,,,,,,,,
Sefton,"1,434",,522,511,,,,,915,,713,,,,,,,,26.6,,9.7,9.5,,,,,17.0,,13.2,,,,,,,
Seven Hills,"6,046",,"3,468","2,007",,,975,633,,,,,,,,,,,33.5,,19.2,11.1,,,5.4,3.5,,,,,,,,,,
Shalvey,"1,075",,875,435,,,,151,157,,,,,,,,,,28.8,,23.5,11.7,,,,4.0,4.2,,,,,,,,,
Shell Cove,977,210,710,348,,,,151,,,,,,,,,,,34.5,7.4,25.1,12.3,,,,5.3,,,,,,,,,,
Shellharbour,"1,125",173,805,381,,,,134,,,,,,,,,,,34.0,5.2,24.4,11.5,,,,4.1,,,,,,,,,,
Shelly Beach,477,,408,137,,40,,72,,,,,,,,,,,35.5,,30.4,10.2,,3.0,,5.4,,,,,,,,,,
Shortland,999,,"1,054",701,,158,,286,,,,,,,,,,,23.9,,25.2,16.8,,3.8,,6.8,,,,,,,,,,
Silverwater,213,,90,95,,,,,262,,47,,,,,,,,7.4,,3.1,3.3,,,,,9.1,,1.6,,,,,,,
Smithfield,"5,037",,"1,367",694,,,,,624,,685,,,,,,,,45.3,,12.3,6.2,,,,,5.6,,6.2,,,,,,,
South Coogee,"1,730",464,847,728,,,,,,,,,,,242,,,,32.2,8.6,15.8,13.6,,,,,,,,,,,4.5,,,
South Granville,"1,118",191,333,182,,,,,850,,,,,,,,,,32.4,5.5,9.7,5.3,,,,,24.6,,,,,,,,,
South Hurstville,"1,247",565,627,676,,,,,306,,,,,,,,,,27.3,12.4,13.7,14.8,,,,,6.7,,,,,,,,,
South Penrith,"3,793",,"3,379","1,423",,454,,365,,,,,,,,,,,32.8,,29.2,12.3,,3.9,,3.2,,,,,,,,,,
