,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%)
Mount Keira,91.0,104.0,77.0,151.0,291.0,11.9,13.6,10.1,19.7,38.0
Mount Kembla,65.0,51.0,46.0,80.0,243.0,12.2,9.6,8.6,15.0,45.7
Mount Lewis,35.0,20.0,41.0,60.0,156.0,9.9,5.7,11.6,17.0,44.3
Mount Ousley,86.0,80.0,86.0,116.0,300.0,12.2,11.4,12.2,16.5,42.6
Mount Pleasant (NSW),67.0,51.0,64.0,85.0,273.0,11.5,8.7,11.0,14.6,46.7
Mount Pritchard,301.0,293.0,295.0,862.0,1256.0,9.3,9.1,9.1,26.6,38.8
Mount Riverview,191.0,152.0,135.0,252.0,729.0,12.3,9.8,8.7,16.3,47.1
Mount Saint Thomas,67.0,59.0,59.0,112.0,273.0,10.7,9.4,9.4,17.9,43.6
Mount Warrigal,196.0,188.0,216.0,352.0,735.0,10.7,10.3,11.8,19.3,40.2
Narara,465.0,382.0,451.0,807.0,1473.0,12.1,9.9,11.7,21.0,38.3
Narellan,148.0,168.0,154.0,369.0,815.0,8.5,9.6,8.8,21.2,46.8
Narellan Vale,333.0,347.0,314.0,760.0,1782.0,8.8,9.2,8.3,20.1,47.1
Naremburn,232.0,235.0,246.0,366.0,1914.0,7.3,7.4,7.8,11.6,60.6
Narrabeen,345.0,282.0,321.0,581.0,2017.0,9.3,7.6,8.7,15.7,54.6
Narraweena,298.0,301.0,263.0,453.0,1228.0,11.0,11.1,9.7,16.7,45.2
Narwee,182.0,187.0,176.0,491.0,815.0,9.3,9.6,9.0,25.1,41.7
Neutral Bay,385.0,443.0,407.0,849.0,3773.0,6.3,7.3,6.7,13.9,61.8
New Lambton,559.0,491.0,481.0,819.0,2076.0,11.9,10.5,10.2,17.4,44.2
New Lambton Heights,161.0,144.0,133.0,149.0,544.0,13.4,12.0,11.1,12.4,45.4
Newcastle,152.0,117.0,102.0,235.0,768.0,10.6,8.1,7.1,16.4,53.4
Newcastle East,83.0,47.0,46.0,70.0,222.0,16.6,9.4,9.2,14.0,44.3
Newcastle West,16.0,18.0,32.0,64.0,180.0,5.0,5.6,10.0,19.9,56.1
Newington (NSW),183.0,220.0,189.0,476.0,1645.0,6.4,7.7,6.6,16.7,57.9
Newport (NSW),593.0,545.0,517.0,563.0,2277.0,12.4,11.4,10.8,11.8,47.5
Newtown (NSW),758.0,771.0,725.0,1516.0,4768.0,8.5,8.6,8.1,16.9,53.3
Niagara Park,151.0,164.0,146.0,281.0,508.0,11.3,12.3,10.9,21.0,38.0
Norah Head,56.0,51.0,54.0,85.0,177.0,12.1,11.0,11.6,18.3,38.1
Noraville,148.0,114.0,135.0,227.0,401.0,13.4,10.3,12.2,20.5,36.3
Normanhurst,297.0,271.0,203.0,307.0,1099.0,12.9,11.8,8.8,13.3,47.7
North Avoca,126.0,109.0,106.0,131.0,502.0,12.1,10.4,10.1,12.5,48.0
North Balgowlah,220.0,197.0,176.0,195.0,812.0,13.2,11.8,10.6,11.7,48.8
North Bondi,395.0,443.0,423.0,469.0,2607.0,8.7,9.7,9.3,10.3,57.2
North Curl Curl,222.0,177.0,168.0,230.0,838.0,12.8,10.2,9.7,13.3,48.4
North Epping,263.0,222.0,216.0,318.0,999.0,12.4,10.5,10.2,15.0,47.2
North Gosford,175.0,132.0,166.0,319.0,666.0,11.2,8.4,10.6,20.4,42.6
North Lambton,220.0,138.0,130.0,232.0,590.0,15.9,9.9,9.4,16.7,42.5
North Manly,156.0,151.0,156.0,162.0,655.0,11.6,11.3,11.6,12.1,48.8
North Narrabeen,376.0,321.0,318.0,413.0,1380.0,12.6,10.8,10.7,13.9,46.4
North Parramatta,413.0,456.0,435.0,1327.0,2754.0,7.2,8.0,7.6,23.2,48.1
North Rocks,424.0,400.0,349.0,603.0,1806.0,11.2,10.6,9.2,16.0,47.8
North Ryde,498.0,508.0,445.0,815.0,2186.0,10.6,10.8,9.5,17.3,46.5
North St Marys,108.0,112.0,111.0,335.0,558.0,8.3,8.6,8.5,25.6,42.6
North Strathfield,175.0,177.0,171.0,432.0,1120.0,8.0,8.1,7.8,19.7,51.1
North Sydney,233.0,274.0,259.0,511.0,2250.0,6.3,7.4,7.0,13.8,60.8
North Turramurra,225.0,173.0,137.0,139.0,686.0,15.7,12.0,9.5,9.7,47.8
North Wahroonga,129.0,118.0,77.0,112.0,465.0,13.6,12.4,8.1,11.8,48.8
North Willoughby,166.0,200.0,167.0,244.0,998.0,8.8,10.6,8.9,13.0,53.1
North Wollongong,246.0,121.0,84.0,169.0,392.0,22.5,11.1,7.7,15.5,35.9
Northbridge (NSW),387.0,300.0,254.0,262.0,1489.0,13.6,10.6,8.9,9.2,52.4
Northmead,437.0,428.0,467.0,949.0,2505.0,8.7,8.5,9.3,18.9,49.8
Northwood (NSW),69.0,42.0,38.0,32.0,239.0,15.8,9.6,8.7,7.3,54.7
Oak Flats,306.0,286.0,335.0,588.0,1123.0,10.8,10.1,11.8,20.7,39.6
Oakhurst (NSW),251.0,243.0,283.0,969.0,1293.0,7.7,7.5,8.7,29.9,39.9
Oatlands (NSW),304.0,200.0,208.0,402.0,1188.0,12.4,8.1,8.5,16.4,48.4
Oatley,571.0,552.0,447.0,787.0,2401.0,11.4,11.0,8.9,15.7,47.8
Old Guildford,68.0,75.0,84.0,175.0,322.0,8.5,9.3,10.4,21.8,40.0
Old Toongabbie,127.0,121.0,139.0,244.0,619.0,9.6,9.1,10.5,18.4,46.6
Ourimbah,290.0,226.0,212.0,377.0,854.0,13.9,10.8,10.1,18.0,40.9
Oxley Park,96.0,76.0,104.0,277.0,528.0,8.2,6.5,8.9,23.7,45.1
Oyster Bay,303.0,353.0,266.0,407.0,1329.0,10.8,12.6,9.5,14.5,47.4
Paddington (NSW),537.0,498.0,511.0,729.0,4484.0,7.5,7.0,7.2,10.2,63.0
