,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%)
Abbotsbury,254.0,206.0,225.0,450.0,1055.0,11.0,8.9,9.7,19.4,45.5
New South Wales,326514.0,304830.0,308122.0,569665.0,1438260.0,10.4,9.7,9.8,18.2,45.8
Australia,1087799.0,947792.0,1027380.0,1808879.0,4558678.0,10.8,9.4,10.2,18.0,45.3
Abbotsford (NSW),206.0,225.0,210.0,375.0,1446.0,7.8,8.6,8.0,14.3,55.1
Acacia Gardens,147.0,172.0,152.0,425.0,1019.0,7.2,8.5,7.5,20.9,50.2
Adamstown,348.0,301.0,287.0,534.0,1292.0,11.8,10.2,9.7,18.1,43.8
Adamstown Heights,356.0,294.0,268.0,375.0,1082.0,14.2,11.7,10.7,14.9,43.1
Airds,79.0,55.0,68.0,171.0,195.0,12.7,8.8,10.9,27.4,31.2
Albion Park,639.0,618.0,596.0,1228.0,2666.0,10.4,10.0,9.7,20.0,43.3
Albion Park Rail,322.0,310.0,335.0,608.0,1194.0,10.9,10.5,11.3,20.6,40.4
Alexandria,245.0,274.0,340.0,849.0,3032.0,5.0,5.6,6.9,17.2,61.5
Alfords Point,265.0,188.0,180.0,318.0,897.0,13.6,9.7,9.3,16.3,46.1
Allambie Heights,399.0,355.0,321.0,424.0,1518.0,12.5,11.2,10.1,13.3,47.7
Allawah,234.0,266.0,219.0,647.0,1219.0,8.6,9.7,8.0,23.7,44.7
Ambarvale,248.0,244.0,232.0,712.0,1239.0,8.6,8.5,8.0,24.7,43.0
Annandale (NSW),404.0,473.0,432.0,640.0,2935.0,7.9,9.2,8.4,12.5,57.1
Argenton,62.0,40.0,51.0,126.0,220.0,11.6,7.5,9.6,23.6,41.2
Arncliffe,303.0,380.0,345.0,764.0,1498.0,8.5,10.7,9.7,21.4,42.0
Artarmon,379.0,425.0,371.0,779.0,2585.0,8.0,8.9,7.8,16.4,54.4
Ashbury,141.0,186.0,165.0,238.0,709.0,9.2,12.1,10.7,15.5,46.0
Ashcroft,80.0,84.0,100.0,245.0,281.0,9.2,9.6,11.5,28.1,32.2
Ashfield (NSW),923.0,1309.0,1031.0,2431.0,4583.0,8.5,12.0,9.5,22.3,42.1
Asquith,205.0,178.0,178.0,317.0,758.0,11.8,10.3,10.3,18.3,43.8
Auburn (NSW),1010.0,1512.0,1137.0,2750.0,3870.0,9.0,13.5,10.1,24.5,34.5
Austinmer,171.0,131.0,134.0,163.0,521.0,14.1,10.8,11.1,13.5,43.1
Avoca Beach,313.0,245.0,224.0,287.0,920.0,14.8,11.6,10.6,13.6,43.5
Balgowlah,407.0,401.0,383.0,451.0,1977.0,10.6,10.5,10.0,11.8,51.7
Balgowlah Heights,210.0,193.0,134.0,110.0,734.0,14.4,13.2,9.2,7.5,50.3
Balgownie,295.0,251.0,268.0,448.0,1061.0,11.9,10.1,10.8,18.1,42.8
Balmain,416.0,416.0,430.0,649.0,3424.0,7.4,7.4,7.6,11.5,60.8
Balmain East,89.0,98.0,72.0,110.0,634.0,8.3,9.2,6.7,10.3,59.4
Bangor (NSW),356.0,358.0,304.0,481.0,1525.0,11.1,11.2,9.5,15.0,47.7
Banksia,128.0,150.0,123.0,343.0,630.0,8.7,10.2,8.4,23.3,42.8
Bankstown,1031.0,999.0,928.0,2662.0,4058.0,9.9,9.6,8.9,25.5,38.9
Bar Beach,65.0,71.0,42.0,61.0,296.0,11.5,12.6,7.4,10.8,52.5
Barden Ridge,293.0,232.0,242.0,355.0,1129.0,12.3,9.8,10.2,14.9,47.5
Bardwell Park,108.0,116.0,105.0,182.0,542.0,9.6,10.3,9.4,16.2,48.3
Bardwell Valley,88.0,103.0,78.0,185.0,449.0,9.1,10.7,8.1,19.1,46.4
Barnsley,82.0,96.0,101.0,177.0,396.0,8.9,10.4,11.0,19.2,43.0
Barrack Heights,258.0,229.0,262.0,475.0,878.0,11.3,10.1,11.5,20.9,38.6
Barrack Point,37.0,23.0,28.0,42.0,121.0,13.7,8.5,10.3,15.5,44.6
Bass Hill,284.0,295.0,313.0,633.0,1260.0,9.4,9.8,10.3,20.9,41.7
Bateau Bay,648.0,529.0,568.0,909.0,1973.0,13.1,10.7,11.5,18.4,39.9
Baulkham Hills,1743.0,1711.0,1524.0,2909.0,8559.0,10.0,9.8,8.7,16.7,49.1
Bayview (NSW),211.0,162.0,124.0,131.0,591.0,16.4,12.6,9.6,10.2,46.0
Beacon Hill,426.0,369.0,368.0,547.0,1594.0,12.1,10.5,10.5,15.6,45.4
Beaconsfield (NSW),19.0,29.0,39.0,81.0,341.0,3.5,5.4,7.3,15.1,63.6
Beecroft,612.0,514.0,411.0,502.0,2116.0,14.0,11.7,9.4,11.4,48.2
Belfield,246.0,236.0,241.0,468.0,1126.0,9.8,9.4,9.6,18.7,45.0
Bella Vista,500.0,390.0,326.0,657.0,1987.0,12.1,9.5,7.9,16.0,48.3
Bellambi,180.0,156.0,165.0,298.0,546.0,12.5,10.8,11.4,20.7,37.8
Bellevue Hill,547.0,487.0,465.0,516.0,2904.0,10.6,9.4,9.0,10.0,56.1
Belmont (NSW),325.0,300.0,254.0,441.0,1142.0,12.4,11.4,9.7,16.8,43.4
Belmont North,327.0,318.0,292.0,507.0,1263.0,11.3,11.0,10.1,17.5,43.5
Belmont South,59.0,46.0,72.0,84.0,194.0,12.2,9.5,14.9,17.4,40.1
Belmore,415.0,527.0,505.0,1125.0,1986.0,8.5,10.7,10.3,22.9,40.5
Belrose,468.0,394.0,386.0,433.0,1770.0,12.8,10.8,10.6,11.8,48.4
Bensville,161.0,154.0,145.0,208.0,514.0,12.7,12.2,11.4,16.4,40.6
Berala,282.0,389.0,308.0,920.0,1249.0,8.4,11.5,9.1,27.3,37.0
Berkeley,287.0,285.0,312.0,637.0,1102.0,10.1,10.1,11.0,22.5,38.9
Berkeley Vale,447.0,403.0,463.0,773.0,1570.0,11.5,10.4,11.9,19.9,40.5
Berowra,316.0,276.0,227.0,342.0,1126.0,13.1,11.4,9.4,14.2,46.6
Berowra Heights,325.0,278.0,273.0,465.0,1223.0,12.0,10.2,10.0,17.1,45.0
Beverley Park,106.0,78.0,104.0,156.0,463.0,11.1,8.1,10.8,16.3,48.3
Beverly Hills,416.0,400.0,394.0,911.0,1853.0,9.8,9.4,9.3,21.5,43.7
Bexley,705.0,827.0,787.0,1909.0,3624.0,8.4,9.8,9.3,22.6,43.0
Bexley North,144.0,171.0,155.0,323.0,752.0,8.7,10.4,9.4,19.6,45.7
Bidwill (NSW),122.0,97.0,117.0,244.0,346.0,12.2,9.7,11.7,24.4,34.6
Birchgrove,149.0,152.0,152.0,167.0,1068.0,8.3,8.5,8.5,9.3,59.5
Birmingham Gardens,129.0,112.0,94.0,149.0,299.0,15.4,13.3,11.2,17.7,35.6
Birrong,132.0,78.0,88.0,298.0,437.0,12.0,7.1,8.0,27.2,39.9
Blackalls Park,135.0,141.0,156.0,231.0,475.0,11.3,11.8,13.0,19.3,39.6
Blackbutt (NSW),164.0,148.0,155.0,322.0,593.0,11.1,10.0,10.5,21.7,40.0
Blackett,85.0,82.0,118.0,305.0,326.0,8.6,8.2,11.9,30.7,32.8
Blacksmiths,84.0,69.0,82.0,122.0,300.0,11.8,9.7,11.5,17.1,42.1
Blacktown,1559.0,1703.0,1711.0,4879.0,7803.0,8.3,9.0,9.1,25.9,41.4
Blackwall (NSW),71.0,85.0,74.0,130.0,262.0,10.7,12.8,11.2,19.6,39.5
Blairmount,19.0,12.0,18.0,35.0,106.0,9.2,5.8,8.7,17.0,51.5
Blakehurst,317.0,301.0,282.0,430.0,1435.0,10.8,10.3,9.7,14.7,49.1
Blaxland (NSW),467.0,361.0,381.0,639.0,1708.0,12.5,9.6,10.2,17.1,45.6
Blue Bay,56.0,51.0,44.0,76.0,166.0,13.8,12.6,10.8,18.7,40.9
Blue Haven,251.0,229.0,293.0,575.0,927.0,10.3,9.4,12.0,23.5,37.9
Bolton Point,100.0,78.0,75.0,136.0,286.0,13.5,10.5,10.1,18.3,38.5
Bondi,377.0,484.0,408.0,694.0,3116.0,7.1,9.1,7.7,13.0,58.5
Bondi Beach,388.0,505.0,518.0,822.0,3943.0,6.0,7.8,8.0,12.7,60.8
Bondi Junction,386.0,365.0,346.0,613.0,2502.0,8.7,8.2,7.8,13.8,56.1
Bonnet Bay,112.0,140.0,99.0,157.0,599.0,9.5,11.8,8.4,13.3,50.6
Bonnyrigg,283.0,240.0,243.0,715.0,1083.0,10.1,8.6,8.7,25.6,38.8
Bonnyrigg Heights,264.0,270.0,259.0,773.0,1372.0,8.3,8.5,8.2,24.4,43.4
Booker Bay,53.0,39.0,46.0,66.0,154.0,13.4,9.8,11.6,16.6,38.8
Boolaroo,45.0,53.0,29.0,79.0,173.0,10.9,12.9,7.1,19.2,42.1
Booragul,60.0,50.0,56.0,84.0,197.0,12.8,10.7,12.0,18.0,42.2
Bossley Park,605.0,531.0,544.0,1526.0,2499.0,9.9,8.7,8.9,25.0,40.9
Botany,345.0,395.0,393.0,841.0,2161.0,7.9,9.0,9.0,19.2,49.2
Bow Bowing,71.0,61.0,61.0,190.0,371.0,8.8,7.6,7.6,23.6,46.1
Bradbury (NSW),330.0,324.0,389.0,853.0,1645.0,8.7,8.5,10.2,22.5,43.3
Broadmeadow,82.0,71.0,102.0,140.0,350.0,10.3,9.0,12.9,17.7,44.1
Bronte,329.0,314.0,347.0,388.0,2018.0,9.2,8.8,9.7,10.8,56.3
Brookvale,94.0,118.0,120.0,276.0,727.0,6.7,8.4,8.5,19.6,51.6
Budgewoi,127.0,153.0,131.0,223.0,496.0,10.6,12.7,10.9,18.5,41.2
Buff Point,157.0,135.0,133.0,225.0,567.0,12.1,10.4,10.2,17.3,43.5
Bulli,339.0,296.0,264.0,443.0,1200.0,12.5,10.9,9.7,16.3,44.3
Burwood (NSW),578.0,760.0,499.0,1137.0,2435.0,10.2,13.4,8.8,20.0,42.8
Burwood Heights,46.0,38.0,28.0,63.0,163.0,12.6,10.4,7.7,17.3,44.8
Busby,123.0,93.0,130.0,310.0,408.0,10.6,8.0,11.2,26.7,35.1
Cabarita (NSW),107.0,97.0,82.0,115.0,533.0,10.8,9.8,8.3,11.6,53.9
Cabramatta,743.0,626.0,565.0,1949.0,2120.0,11.4,9.6,8.6,29.8,32.4
Cabramatta West,285.0,175.0,189.0,579.0,830.0,12.8,7.9,8.5,26.1,37.4
Cambridge Gardens,84.0,96.0,93.0,222.0,515.0,7.6,8.7,8.4,20.1,46.7
Cambridge Park,218.0,236.0,259.0,688.0,1305.0,7.6,8.2,9.0,23.9,45.3
Camden,140.0,116.0,126.0,262.0,782.0,9.2,7.6,8.3,17.2,51.3
Camden South,221.0,221.0,241.0,387.0,1083.0,9.6,9.6,10.5,16.9,47.2
Cammeray,271.0,326.0,328.0,496.0,2469.0,6.6,8.0,8.0,12.1,60.4
Campbelltown (NSW),372.0,335.0,390.0,970.0,1927.0,8.8,7.9,9.2,22.8,45.3
Camperdown (NSW),559.0,344.0,287.0,670.0,2759.0,11.5,7.1,5.9,13.8,56.9
Campsie,798.0,1145.0,881.0,2072.0,3307.0,9.1,13.1,10.1,23.7,37.7
Canada Bay,56.0,62.0,56.0,114.0,345.0,8.4,9.3,8.4,17.1,51.8
Canley Heights,397.0,291.0,275.0,1070.0,1328.0,10.9,8.0,7.6,29.5,36.6
Canley Vale,288.0,280.0,251.0,875.0,1120.0,9.5,9.2,8.2,28.7,36.8
Canterbury (NSW),247.0,312.0,292.0,610.0,1248.0,8.5,10.8,10.1,21.1,43.1
Canton Beach,40.0,30.0,22.0,42.0,80.0,17.6,13.2,9.7,18.5,35.2
Cardiff (NSW),252.0,273.0,270.0,570.0,1098.0,9.6,10.4,10.3,21.7,41.8
Cardiff Heights,66.0,67.0,58.0,88.0,247.0,11.8,12.0,10.4,15.7,44.2
Cardiff South,154.0,173.0,171.0,290.0,594.0,10.5,11.8,11.6,19.8,40.5
Caringbah,498.0,480.0,574.0,960.0,2846.0,8.8,8.5,10.1,16.9,50.2
Carlingford,1212.0,988.0,948.0,1745.0,4618.0,12.0,9.8,9.4,17.3,45.9
Carlton (NSW),390.0,483.0,432.0,1068.0,1989.0,8.4,10.4,9.3,22.9,42.7
Carramar (NSW),108.0,102.0,112.0,321.0,394.0,9.7,9.2,10.1,28.9,35.4
Carrington (Newcastle - NSW),83.0,73.0,106.0,172.0,418.0,9.0,7.9,11.5,18.7,45.4
Carss Park,66.0,52.0,50.0,75.0,265.0,12.1,9.5,9.2,13.7,48.5
Cartwright,70.0,48.0,57.0,173.0,194.0,11.7,8.0,9.5,29.0,32.5
Castle Cove,154.0,124.0,110.0,115.0,558.0,13.7,11.0,9.8,10.2,49.6
Castle Hill (NSW),2070.0,1811.0,1733.0,2802.0,9707.0,10.9,9.5,9.1,14.7,51.0
Castlecrag,210.0,135.0,120.0,101.0,712.0,15.6,10.0,8.9,7.5,52.8
Casula,492.0,491.0,537.0,1472.0,2731.0,8.1,8.0,8.8,24.1,44.7
Caves Beach,237.0,225.0,186.0,312.0,696.0,13.5,12.8,10.6,17.7,39.5
Cecil Hills,303.0,280.0,291.0,765.0,1509.0,9.0,8.3,8.7,22.8,44.9
Centennial Park (NSW),90.0,106.0,102.0,217.0,801.0,6.6,7.8,7.5,15.9,58.8
Charlestown (NSW),704.0,614.0,651.0,1150.0,2592.0,11.6,10.1,10.7,18.9,42.5
Charmhaven,97.0,95.0,123.0,186.0,355.0,10.6,10.4,13.4,20.3,38.7
Chatswood,958.0,991.0,854.0,1645.0,5079.0,9.5,9.9,8.5,16.4,50.5
Chatswood West,89.0,77.0,71.0,81.0,345.0,12.7,11.0,10.1,11.6,49.2
Cheltenham (NSW),172.0,119.0,94.0,124.0,513.0,16.3,11.2,8.9,11.7,48.5
Cherrybrook,1245.0,970.0,837.0,1515.0,4671.0,12.9,10.0,8.7,15.7,48.3
Chester Hill,395.0,404.0,362.0,1012.0,1741.0,9.4,9.6,8.6,24.1,41.4
Chifley (NSW),167.0,157.0,136.0,229.0,697.0,11.3,10.6,9.2,15.5,47.0
Chippendale,207.0,246.0,178.0,435.0,1180.0,8.8,10.4,7.6,18.5,50.1
Chipping Norton,422.0,393.0,393.0,876.0,2156.0,9.4,8.7,8.7,19.5,48.0
Chiswick,72.0,88.0,108.0,241.0,913.0,4.8,5.8,7.1,15.9,60.3
Chittaway Bay,107.0,81.0,95.0,177.0,360.0,12.3,9.3,10.9,20.3,41.2
Chittaway Point,54.0,45.0,54.0,82.0,184.0,12.2,10.2,12.2,18.5,41.5
Church Point,68.0,60.0,65.0,56.0,255.0,12.6,11.1,12.0,10.4,47.2
Claremont Meadows,191.0,178.0,183.0,441.0,996.0,9.0,8.4,8.6,20.8,47.0
Claymore,52.0,38.0,63.0,124.0,125.0,11.5,8.4,13.9,27.4,27.6
Clontarf (NSW),132.0,85.0,67.0,46.0,376.0,17.8,11.4,9.0,6.2,50.6
Clovelly,209.0,219.0,227.0,286.0,1408.0,8.4,8.8,9.1,11.4,56.4
Coal Point,97.0,93.0,87.0,94.0,371.0,12.1,11.6,10.8,11.7,46.3
Coledale,82.0,81.0,48.0,65.0,266.0,14.0,13.8,8.2,11.1,45.4
Collaroy (NSW),871.0,815.0,786.0,982.0,3763.0,11.4,10.7,10.3,12.9,49.4
Colyton,297.0,261.0,306.0,863.0,1553.0,8.4,7.4,8.7,24.5,44.2
Como (NSW),230.0,246.0,174.0,314.0,923.0,11.5,12.3,8.7,15.7,46.2
Concord,712.0,688.0,640.0,1074.0,3311.0,10.4,10.1,9.4,15.7,48.5
Concord West,285.0,303.0,238.0,494.0,1317.0,10.1,10.8,8.5,17.6,46.8
Condell Park,388.0,345.0,353.0,795.0,1632.0,10.2,9.1,9.3,21.0,43.1
Coniston,92.0,98.0,87.0,195.0,345.0,10.4,11.1,9.8,22.1,39.0
Connells Point,136.0,124.0,113.0,155.0,655.0,10.7,9.7,8.9,12.2,51.4
Coogee (NSW),608.0,674.0,692.0,1205.0,4885.0,7.1,7.9,8.1,14.1,57.3
Cooks Hill,246.0,176.0,194.0,357.0,1000.0,11.7,8.4,9.3,17.0,47.7
Copacabana,174.0,145.0,161.0,188.0,564.0,13.2,11.0,12.3,14.3,42.9
Cordeaux Heights,344.0,268.0,262.0,463.0,1102.0,13.2,10.3,10.1,17.8,42.4
Corrimal,307.0,318.0,272.0,581.0,1093.0,11.2,11.6,9.9,21.2,40.0
Cranebrook,629.0,624.0,677.0,1570.0,3434.0,8.5,8.4,9.1,21.1,46.2
Cremorne (NSW),499.0,497.0,445.0,729.0,3854.0,7.9,7.8,7.0,11.5,60.8
Cremorne Point,113.0,104.0,84.0,104.0,660.0,10.1,9.3,7.5,9.3,59.2
Cringila,56.0,65.0,66.0,130.0,216.0,9.7,11.3,11.4,22.5,37.4
Cromer (NSW),436.0,395.0,373.0,505.0,1695.0,12.1,11.0,10.4,14.0,47.1
Cronulla,845.0,862.0,854.0,1584.0,5311.0,8.4,8.6,8.5,15.8,52.9
Croudace Bay,33.0,32.0,19.0,35.0,127.0,12.5,12.2,7.2,13.3,48.3
Crows Nest (NSW),147.0,174.0,172.0,357.0,1593.0,5.7,6.8,6.7,14.0,62.3
Croydon (NSW),527.0,554.0,444.0,880.0,2235.0,10.7,11.3,9.0,17.9,45.4
Croydon Park (NSW),559.0,496.0,504.0,932.0,2255.0,10.9,9.7,9.9,18.2,44.1
Curl Curl,130.0,117.0,97.0,132.0,643.0,11.0,9.9,8.2,11.2,54.5
Currans Hill,202.0,213.0,202.0,552.0,1234.0,8.0,8.4,8.0,21.7,48.6
Daceyville,42.0,30.0,37.0,43.0,107.0,14.4,10.3,12.7,14.7,36.6
Daleys Point,39.0,21.0,18.0,33.0,101.0,17.4,9.4,8.0,14.7,45.1
Dapto,422.0,441.0,481.0,947.0,1792.0,9.6,10.1,11.0,21.6,40.9
Darling Point,185.0,165.0,144.0,185.0,1197.0,9.3,8.3,7.3,9.3,60.3
Darlinghurst,353.0,501.0,467.0,885.0,4084.0,5.4,7.6,7.1,13.5,62.2
Darlington (Sydney - NSW),167.0,129.0,111.0,196.0,613.0,13.0,10.1,8.7,15.3,47.8
Davidson,182.0,153.0,130.0,124.0,629.0,14.2,12.0,10.2,9.7,49.1
Davistown,118.0,89.0,124.0,186.0,421.0,11.9,9.0,12.6,18.8,42.6
Dawes Point,26.0,17.0,24.0,24.0,199.0,8.8,5.7,8.1,8.1,67.2
Dean Park,94.0,114.0,126.0,343.0,677.0,6.6,8.0,8.8,24.0,47.3
Dee Why,886.0,1070.0,1016.0,2278.0,5720.0,7.6,9.2,8.8,19.7,49.4
Denistone,240.0,178.0,175.0,284.0,835.0,13.2,9.8,9.6,15.7,46.0
Denistone East,101.0,92.0,101.0,165.0,507.0,9.9,9.0,9.9,16.2,49.7
Denistone West,45.0,36.0,46.0,86.0,203.0,10.4,8.4,10.7,20.0,47.1
Dharruk,72.0,86.0,109.0,274.0,417.0,6.9,8.3,10.5,26.3,40.0
Dolans Bay,44.0,33.0,33.0,28.0,132.0,15.4,11.6,11.6,9.8,46.3
Dolls Point,57.0,87.0,65.0,193.0,464.0,6.2,9.5,7.1,21.0,50.5
Doonside,461.0,480.0,471.0,1322.0,2050.0,8.9,9.3,9.1,25.5,39.6
Double Bay,210.0,237.0,185.0,251.0,1488.0,8.4,9.5,7.4,10.1,59.9
Dover Heights,253.0,202.0,192.0,171.0,999.0,13.2,10.5,10.0,8.9,52.0
Drummoyne,536.0,497.0,465.0,753.0,3483.0,8.9,8.2,7.7,12.4,57.5
Dudley,144.0,105.0,113.0,160.0,514.0,13.1,9.5,10.2,14.5,46.6
Dulwich Hill,546.0,615.0,632.0,1339.0,3330.0,7.9,8.9,9.2,19.5,48.4
Dundas (NSW),143.0,166.0,157.0,369.0,814.0,8.1,9.4,8.9,20.8,46.0
Dundas Valley,221.0,192.0,203.0,440.0,971.0,10.3,8.9,9.4,20.4,45.1
Dural (Hornsby - NSW),477.0,422.0,345.0,454.0,1857.0,12.8,11.3,9.3,12.2,49.9
Eagle Vale,213.0,234.0,233.0,691.0,1189.0,7.8,8.5,8.5,25.2,43.3
Earlwood,734.0,716.0,758.0,1329.0,3553.0,9.7,9.4,10.0,17.5,46.8
East Gosford,180.0,165.0,186.0,297.0,701.0,11.0,10.1,11.4,18.2,43.0
East Hills,135.0,142.0,150.0,273.0,719.0,8.9,9.4,9.9,18.1,47.6
East Killara,176.0,140.0,128.0,129.0,626.0,13.9,11.1,10.1,10.2,49.5
East Lindfield,195.0,148.0,153.0,132.0,782.0,13.1,10.0,10.3,8.9,52.7
East Ryde,138.0,131.0,94.0,152.0,553.0,12.2,11.6,8.3,13.5,49.0
Eastern Creek,26.0,25.0,26.0,76.0,163.0,7.7,7.4,7.7,22.4,48.1
Eastlakes,269.0,288.0,308.0,654.0,999.0,10.0,10.7,11.4,24.3,37.1
Eastwood (NSW),883.0,758.0,640.0,1373.0,3275.0,12.0,10.3,8.7,18.7,44.6
Edensor Park,398.0,352.0,384.0,976.0,1846.0,9.5,8.4,9.1,23.2,43.8
Edgecliff,60.0,87.0,84.0,146.0,725.0,5.2,7.5,7.3,12.7,62.9
Edgeworth,241.0,284.0,277.0,525.0,1170.0,8.9,10.5,10.3,19.5,43.3
Elanora Heights,298.0,225.0,214.0,194.0,920.0,15.1,11.4,10.8,9.8,46.6
Elderslie (Camden - NSW),229.0,201.0,175.0,340.0,1103.0,10.5,9.3,8.1,15.7,50.8
Eleebana,385.0,322.0,299.0,453.0,1254.0,13.5,11.3,10.5,15.9,44.0
Elermore Vale,323.0,244.0,250.0,438.0,1030.0,13.3,10.1,10.3,18.1,42.5
Elizabeth Bay,172.0,219.0,215.0,423.0,2101.0,5.3,6.8,6.6,13.0,64.8
Emerton,62.0,64.0,54.0,194.0,259.0,8.9,9.2,7.8,28.0,37.3
Empire Bay,132.0,87.0,121.0,170.0,446.0,12.8,8.5,11.8,16.5,43.4
Emu Heights (NSW),194.0,154.0,171.0,343.0,839.0,10.8,8.6,9.5,19.1,46.6
Emu Plains,372.0,359.0,339.0,754.0,1804.0,9.7,9.4,8.8,19.7,47.0
Enfield (NSW),125.0,128.0,97.0,256.0,537.0,10.2,10.5,7.9,20.9,43.9
Engadine,894.0,945.0,840.0,1478.0,3926.0,10.4,11.0,9.7,17.1,45.5
Enmore (Marrickville - NSW),155.0,176.0,188.0,393.0,1081.0,7.3,8.3,8.9,18.6,51.3
Epping (NSW),1135.0,975.0,905.0,1731.0,4812.0,11.4,9.8,9.1,17.3,48.2
Erina,246.0,164.0,156.0,268.0,633.0,15.9,10.6,10.1,17.3,40.9
Ermington,392.0,379.0,364.0,843.0,1918.0,9.5,9.1,8.8,20.3,46.3
Erskine Park,335.0,313.0,308.0,750.0,1732.0,9.2,8.6,8.5,20.6,47.6
Erskineville,253.0,290.0,321.0,879.0,2928.0,5.2,5.9,6.6,18.0,60.0
Eschol Park,105.0,98.0,107.0,333.0,604.0,8.0,7.4,8.1,25.3,45.9
Ettalong Beach,145.0,159.0,182.0,297.0,602.0,9.6,10.5,12.1,19.7,39.9
Fairfield (NSW),503.0,450.0,488.0,1339.0,1888.0,9.9,8.9,9.6,26.5,37.3
Fairfield East,162.0,132.0,140.0,453.0,555.0,10.4,8.4,9.0,29.0,35.5
Fairfield Heights,191.0,166.0,206.0,499.0,761.0,9.6,8.3,10.3,25.0,38.1
Fairfield West,412.0,332.0,307.0,994.0,1559.0,10.5,8.5,7.9,25.4,39.9
Fairlight,312.0,287.0,279.0,374.0,1703.0,10.0,9.2,8.9,12.0,54.4
Fairy Meadow,355.0,293.0,263.0,525.0,1090.0,13.1,10.8,9.7,19.4,40.2
Farmborough Heights,226.0,210.0,230.0,430.0,807.0,11.1,10.3,11.3,21.1,39.5
Faulconbridge,224.0,217.0,240.0,365.0,862.0,11.0,10.7,11.8,17.9,42.3
Fennell Bay,61.0,81.0,68.0,108.0,226.0,10.2,13.6,11.4,18.1,37.9
Figtree,582.0,534.0,474.0,920.0,1969.0,12.1,11.1,9.9,19.2,41.0
Five Dock,393.0,403.0,392.0,700.0,2392.0,8.6,8.9,8.6,15.4,52.6
Fletcher (NSW),156.0,151.0,136.0,274.0,632.0,10.9,10.6,9.5,19.2,44.4
Flinders (NSW),234.0,247.0,239.0,497.0,1050.0,9.6,10.2,9.9,20.5,43.3
Floraville,93.0,96.0,71.0,132.0,337.0,12.1,12.5,9.2,17.1,43.7
Forest Lodge,185.0,157.0,139.0,227.0,866.0,11.1,9.4,8.3,13.6,51.9
Forestville (NSW),420.0,419.0,345.0,419.0,1720.0,11.9,11.9,9.8,11.9,48.9
Forresters Beach,148.0,143.0,143.0,176.0,558.0,11.8,11.4,11.4,14.1,44.6
Frenchs Forest,836.0,747.0,622.0,836.0,3159.0,12.8,11.4,9.5,12.8,48.3
Garden Suburb,122.0,104.0,120.0,162.0,412.0,12.6,10.8,12.4,16.8,42.6
Gateshead,154.0,126.0,142.0,275.0,458.0,12.4,10.1,11.4,22.1,36.9
Georges Hall,349.0,315.0,346.0,714.0,1642.0,9.6,8.7,9.6,19.7,45.3
Georgetown (NSW),117.0,109.0,114.0,196.0,448.0,11.3,10.5,11.0,18.9,43.3
Girraween (NSW),157.0,158.0,188.0,563.0,866.0,7.7,7.8,9.2,27.6,42.5
Gladesville,523.0,506.0,504.0,898.0,2974.0,9.2,8.9,8.9,15.8,52.3
Glebe (NSW),544.0,542.0,501.0,919.0,3024.0,9.3,9.3,8.6,15.7,51.8
Glen Alpine,259.0,227.0,245.0,465.0,1191.0,10.3,9.0,9.7,18.4,47.2
Glenbrook,350.0,282.0,251.0,371.0,1219.0,13.4,10.8,9.6,14.2,46.8
Glendale (NSW),154.0,140.0,159.0,262.0,611.0,10.9,9.9,11.3,18.5,43.2
Glendenning,189.0,181.0,208.0,655.0,1044.0,7.8,7.5,8.6,27.2,43.3
Glenfield (NSW),266.0,276.0,307.0,940.0,1502.0,7.6,7.9,8.8,26.9,43.0
Glenhaven,429.0,337.0,302.0,336.0,1610.0,13.5,10.6,9.5,10.6,50.7
Glenmore Park,935.0,892.0,979.0,2126.0,5451.0,8.5,8.1,8.9,19.4,49.6
Glenning Valley,137.0,104.0,123.0,198.0,414.0,13.3,10.1,11.9,19.2,40.2
Glenwood (NSW),699.0,686.0,630.0,1622.0,3748.0,9.0,8.8,8.1,20.8,48.2
Gordon (NSW),446.0,308.0,276.0,309.0,1514.0,14.9,10.3,9.2,10.3,50.7
Gorokan,329.0,266.0,345.0,615.0,1051.0,11.7,9.4,12.2,21.8,37.2
Gosford,128.0,144.0,170.0,447.0,782.0,7.2,8.1,9.6,25.2,44.0
Granville (NSW),455.0,717.0,551.0,1450.0,2189.0,7.9,12.5,9.6,25.2,38.1
Grays Point,241.0,182.0,142.0,182.0,727.0,15.5,11.7,9.1,11.7,46.7
Green Point (Great Lakes - NSW),41.0,26.0,35.0,43.0,73.0,16.8,10.7,14.3,17.6,29.9
Green Valley (NSW),451.0,432.0,432.0,1396.0,2103.0,8.7,8.3,8.3,26.8,40.4
Greenacre,819.0,757.0,795.0,1603.0,3035.0,10.8,10.0,10.5,21.1,39.9
Greenfield Park,209.0,150.0,179.0,485.0,782.0,10.8,7.8,9.3,25.1,40.5
Greenwich,282.0,275.0,235.0,338.0,1516.0,10.1,9.9,8.4,12.1,54.5
Greystanes,975.0,939.0,929.0,1982.0,4588.0,9.7,9.3,9.2,19.7,45.5
Guildford (NSW),631.0,579.0,607.0,1610.0,2740.0,9.4,8.7,9.1,24.1,41.0
Guildford West,166.0,149.0,159.0,379.0,747.0,9.6,8.6,9.2,21.8,43.1
