,Median weekly rent,Median monthly mortgage repayment,Average people per household,Average number of people per bedroom,Median weekly rent (%),Median monthly mortgage repayment (%),Average people per household (%),Average number of people per bedroom (%)
Edensor Park,240.0,1603.0,3.6,1.1,--,--,--,--
Edgecliff,335.0,2167.0,1.7,1.1,--,--,--,--
Edgeworth,180.0,1196.0,2.5,1.1,--,--,--,--
Elanora Heights,428.0,2000.0,3.1,1.1,--,--,--,--
Elderslie (Camden),220.0,1733.0,2.7,1.0,--,--,--,--
Eleebana,250.0,1304.0,2.9,1.0,--,--,--,--
Elermore Vale,185.0,1300.0,2.8,1.1,--,--,--,--
Elizabeth Bay,300.0,2036.0,1.5,1.2,--,--,--,--
Emerton,160.0,1138.0,2.9,1.2,--,--,--,--
Empire Bay,215.0,1600.0,2.7,1.1,--,--,--,--
Emu Heights,230.0,1548.0,3.1,1.1,--,--,--,--
Emu Plains,231.0,1547.0,2.6,1.1,--,--,--,--
Enfield,280.0,1806.0,2.7,1.2,--,--,--,--
Engadine,260.0,1900.0,2.9,1.1,--,--,--,--
Enmore (Marrickville),265.0,2000.0,2.1,1.1,--,--,--,--
Epping,300.0,1950.0,2.8,1.1,--,--,--,--
Erina,210.0,1625.0,2.2,1.0,--,--,--,--
Ermington,162.0,1889.0,2.7,1.1,--,--,--,--
Erskine Park,240.0,1582.0,3.6,1.1,--,--,--,--
Eschol Park,220.0,1408.0,3.0,1.1,--,--,--,--
Ettalong Beach,200.0,1300.0,2.1,1.1,--,--,--,--
Fairfield,185.0,1485.0,3.0,1.3,--,--,--,--
Fairfield East,160.0,1733.0,3.2,1.2,--,--,--,--
Fairfield Heights,218.0,1733.0,3.1,1.2,--,--,--,--
Fairfield West,220.0,1517.0,3.3,1.2,--,--,--,--
Fairlight,370.0,2234.0,2.2,1.1,--,--,--,--
Fairy Meadow,180.0,1460.0,2.3,1.1,--,--,--,--
Farmborough Heights,200.0,1500.0,3.0,1.1,--,--,--,--
Faulconbridge,220.0,1517.0,2.7,1.1,--,--,--,--
Fennell Bay,183.0,1221.0,2.5,1.1,--,--,--,--
Figtree,200.0,1517.0,2.7,1.1,--,--,--,--
Five Dock,320.0,2167.0,2.4,1.1,--,--,--,--
Fletcher,310.0,1733.0,3.2,1.0,--,--,--,--
Flinders,240.0,1692.0,3.0,1.1,--,--,--,--
Floraville,225.0,1300.0,2.8,1.0,--,--,--,--
Forest Lodge,320.0,2200.0,2.2,1.1,--,--,--,--
Forestville,390.0,2167.0,2.7,1.1,--,--,--,--
Forresters Beach,245.0,1517.0,2.8,1.1,--,--,--,--
Frenchs Forest,450.0,2200.0,3.1,1.1,--,--,--,--
Garden Suburb,200.0,1331.0,2.9,1.1,--,--,--,--
Gateshead,140.0,1148.0,2.6,1.1,--,--,--,--
Georges Hall,270.0,1733.0,3.1,1.1,--,--,--,--
Georgetown,195.0,1300.0,2.3,1.1,--,--,--,--
Girraween,220.0,1751.0,2.7,1.2,--,--,--,--
Gladesville,240.0,2010.0,2.4,1.1,--,--,--,--
Glebe,230.0,2178.0,2.0,1.1,--,--,--,--
Glen Alpine,370.0,1842.0,3.5,1.0,--,--,--,--
Glenbrook,250.0,1700.0,2.9,1.1,--,--,--,--
Glendale,157.0,1200.0,2.4,1.1,--,--,--,--
Glendenning,230.0,1733.0,3.4,1.1,--,--,--,--
Glenfield,190.0,1452.0,2.8,1.1,--,--,--,--
Glenhaven,380.0,2167.0,3.3,1.0,--,--,--,--
Glenmore Park,260.0,1866.0,3.2,1.0,--,--,--,--
Glenning Valley,250.0,1456.0,3.0,1.1,--,--,--,--
Glenwood,345.0,2114.0,3.4,1.1,--,--,--,--
Gordon,405.0,2626.0,2.9,1.1,--,--,--,--
Gorokan,185.0,1300.0,2.2,1.1,--,--,--,--
Gosford,210.0,1444.0,1.8,1.1,--,--,--,--
Granville,200.0,1517.0,3.0,1.3,--,--,--,--
Grays Point,380.0,2000.0,3.1,1.1,--,--,--,--
Green Point (Gosford),215.0,1567.0,2.5,1.0,--,--,--,--
Green Valley,240.0,1700.0,3.6,1.2,--,--,--,--
Greenacre,200.0,1702.0,3.2,1.2,--,--,--,--
Greenfield Park,240.0,1517.0,3.6,1.1,--,--,--,--
Greenwich,330.0,2300.0,2.5,1.1,--,--,--,--
Greystanes,250.0,1733.0,2.9,1.1,--,--,--,--
Guildford,210.0,1569.0,2.9,1.3,--,--,--,--
Guildford West,235.0,1517.0,3.0,1.2,--,--,--,--
Gwynneville,170.0,1517.0,2.3,1.1,--,--,--,--
Gymea,260.0,1950.0,2.4,1.1,--,--,--,--
Gymea Bay,345.0,2078.0,3.1,1.1,--,--,--,--
Haberfield,280.0,2100.0,2.7,1.1,--,--,--,--
Halekulani,185.0,1213.0,2.3,1.1,--,--,--,--
Hamilton,210.0,1300.0,2.1,1.1,--,--,--,--
