,Catholic,Anglican,Orthodox,Oriental Christian,No Religion,Presbyterian & Reformed,Uniting Church,Baptist,Islam,Buddhism,Hinduism,Judaism,Pentecostal,"Christian, nfd",Sikhism,Catholic (%),Anglican (%),Orthodox (%),Oriental Christian (%),No Religion (%),Presbyterian & Reformed (%),Uniting Church (%),Baptist (%),Islam (%),Buddhism (%),Hinduism (%),Judaism (%),Pentecostal (%),"Christian, nfd (%)",Sikhism (%)
Mosman,"6,447","7,536",,,"4,345","1,110",991,,,,,,,,,26.0,30.4,,,17.5,4.5,4.0,,,,,,,,
Mount Annan,"2,256","2,031",,,727,177,284,,,,,,,,,34.0,30.6,,,10.9,2.7,4.3,,,,,,,,
Mount Colah,"1,736","1,724",,,931,192,535,,,,,,,,,25.3,25.1,,,13.6,2.8,7.8,,,,,,,,
Mount Druitt,"4,360","1,607",,,753,,,,"1,108",,335,,,,,37.7,13.9,,,6.5,,,,9.6,,2.9,,,,
Mount Hutton,705,937,,,365,129,238,,,,,,,,,23.4,31.1,,,12.1,4.3,7.9,,,,,,,,
Mount Keira,417,317,70,,198,,103,,,,,,,,,30.1,22.9,5.1,,14.3,,7.4,,,,,,,,
Mount Kembla,245,271,,,160,38,59,,,,,,,,,26.6,29.4,,,17.4,4.1,6.4,,,,,,,,
Mount Lewis,399,107,176,,30,,,,226,,,,,,,36.1,9.7,15.9,,2.7,,,,20.4,,,,,,
Mount Ousley,565,403,,,191,75,100,,,,,,,,,32.3,23.0,,,10.9,4.3,5.7,,,,,,,,
Mount Pleasant,304,211,,,120,45,55,,,,,,,,,32.8,22.7,,,12.9,4.8,5.9,,,,,,,,
Mount Pritchard,"3,176","1,417",789,,582,,,,,978,,,,,,35.5,15.8,8.8,,6.5,,,,,10.9,,,,,
Mount Riverview,677,921,,,415,165,174,,,,,,,,,21.9,29.7,,,13.4,5.3,5.6,,,,,,,,
Mount Saint Thomas,451,376,123,,187,,67,,,,,,,,,29.1,24.2,7.9,,12.0,,4.3,,,,,,,,
Mount Warrigal,"1,933","1,406",325,,566,,253,,,,,,,,,34.8,25.3,5.8,,10.2,,4.6,,,,,,,,
Narara,"2,060","2,321",,,996,295,526,,,,,,,,,25.5,28.7,,,12.3,3.6,6.5,,,,,,,,
Narellan,"1,138","1,257",,,338,141,139,,,,,,,,,31.2,34.5,,,9.3,3.9,3.8,,,,,,,,
Narellan Vale,"2,328","2,139",,,672,218,320,,,,,,,,,33.4,30.7,,,9.7,3.1,4.6,,,,,,,,
Naremburn,"1,340",998,145,,967,,159,,,,,,,,,27.6,20.5,3.0,,19.9,,3.3,,,,,,,,
Narrabeen,"1,465","1,950",,,896,288,338,,,,,,,,,23.0,30.7,,,14.1,4.5,5.3,,,,,,,,
Narraweena,"1,934","1,296",,,591,198,268,,,,,,,,,36.8,24.7,,,11.2,3.8,5.1,,,,,,,,
Narwee,"1,079",574,331,,501,,,,,213,,,,,,27.4,14.6,8.4,,12.7,,,,,5.4,,,,,
Neutral Bay,"2,338","2,266",,,"1,933",344,308,,,,,,,,,24.4,23.6,,,20.1,3.6,3.2,,,,,,,,
New Lambton,"2,546","2,454",,,"1,128",379,839,,,,,,,,,28.3,27.2,,,12.5,4.2,9.3,,,,,,,,
New Lambton Heights,738,765,,,398,127,277,,,,,,,,,25.4,26.4,,,13.7,4.4,9.6,,,,,,,,
Newcastle,304,334,,,318,63,93,,,,,,,,,17.4,19.1,,,18.2,3.6,5.3,,,,,,,,
Newcastle East,215,195,,,193,47,30,,,,,,,,,23.5,21.3,,,21.1,5.1,3.3,,,,,,,,
Newcastle West,42,37,,,18,7,9,,,,,,,,,24.1,21.3,,,10.3,4.0,5.2,,,,,,,,
Newington,259,113,,,215,66,,,,95,,,,,,8.8,3.8,,,7.3,2.2,,,,3.2,,,,,
Newport,"1,862","2,812",,,"1,544",385,422,,,,,,,,,20.8,31.5,,,17.3,4.3,4.7,,,,,,,,
Newtown,"2,322","1,616",513,,"3,772",,,,,496,,,,,,18.6,13.0,4.1,,30.3,,,,,4.0,,,,,
Niagara Park,544,654,,,323,,186,85,,,,,,,,23.0,27.6,,,13.6,,7.9,3.6,,,,,,,
Norah Head,337,340,,,148,48,48,,,,,,,,,30.5,30.8,,,13.4,4.3,4.3,,,,,,,,
Noraville,750,905,,,276,97,126,,,,,,,,,30.1,36.3,,,11.1,3.9,5.1,,,,,,,,
Normanhurst,"1,219","1,047",,,504,176,439,,,,,,,,,27.3,23.5,,,11.3,3.9,9.8,,,,,,,,
North Avoca,616,599,,,319,83,149,,,,,,,,,28.7,27.9,,,14.8,3.9,6.9,,,,,,,,
North Balgowlah,808,987,,,488,133,202,,,,,,,,,25.6,31.3,,,15.5,4.2,6.4,,,,,,,,
North Bondi,"1,807","1,044",212,,"1,371",,,,,,,"1,843",,,,22.0,12.7,2.6,,16.7,,,,,,,22.4,,,
North Curl Curl,943,902,,,521,90,155,,,,,,,,,29.8,28.5,,,16.4,2.8,4.9,,,,,,,,
North Epping,975,"1,031",,,608,207,296,,,,,,,,,23.5,24.9,,,14.7,5.0,7.1,,,,,,,,
North Gosford,784,898,,,460,150,179,,,,,,,,,24.2,27.7,,,14.2,4.6,5.5,,,,,,,,
North Lambton,807,727,,,342,141,257,,,,,,,,,27.0,24.3,,,11.4,4.7,8.6,,,,,,,,
North Manly,884,634,,,340,100,142,,,,,,,,,33.9,24.3,,,13.1,3.8,5.5,,,,,,,,
North Narrabeen,"1,417","1,503",,,921,178,230,,,,,,,,,26.0,27.6,,,16.9,3.3,4.2,,,,,,,,
North Parramatta,"2,287","1,531",,,969,,454,,486,,,,,,,26.3,17.6,,,11.1,,5.2,,5.6,,,,,,
North Rocks,"2,128","1,621",,,928,291,622,,,,,,,,,29.4,22.4,,,12.8,4.0,8.6,,,,,,,,
North Ryde,"3,227","2,013",,425,"1,064",,445,,,,,,,,,32.7,20.4,,4.3,10.8,,4.5,,,,,,,,
North St Marys,"1,211","1,061",,,385,159,125,,,,,,,,,31.9,27.9,,,10.1,4.2,3.3,,,,,,,,
North Strathfield,"1,074",344,158,,444,165,,,,,,,,,,35.2,11.3,5.2,,14.5,5.4,,,,,,,,,
North Sydney,"1,191","1,162",,,"1,154",,192,,,221,,,,,,21.7,21.2,,,21.0,,3.5,,,4.0,,,,,
North Turramurra,750,"1,331",,,432,151,341,,,,,,,,,20.4,36.2,,,11.7,4.1,9.3,,,,,,,,
North Wahroonga,481,650,,,265,65,273,,,,,,,,,21.6,29.2,,,11.9,2.9,12.2,,,,,,,,
North Willoughby,"1,220",725,,131,585,,146,,,,,,,,,32.8,19.5,,3.5,15.7,,3.9,,,,,,,,
North Wollongong,489,351,90,,348,,,,,87,,,,,,24.2,17.4,4.5,,17.2,,,,,4.3,,,,,
Northbridge,"1,612","1,413",,,987,195,303,,,,,,,,,27.8,24.4,,,17.0,3.4,5.2,,,,,,,,
Northmead,"2,043","1,551",,,695,239,381,,,,,,,,,30.9,23.4,,,10.5,3.6,5.8,,,,,,,,
Northwood,239,269,,,159,36,52,,,,,,,,,25.6,28.9,,,17.1,3.9,5.6,,,,,,,,
Oak Flats,"1,827","1,875",,,926,218,369,,,,,,,,,27.4,28.1,,,13.9,3.3,5.5,,,,,,,,
Oakhurst,"2,720",998,,,488,,,,328,,200,,,,,42.8,15.7,,,7.7,,,,5.2,,3.2,,,,
Oatlands,"1,598",960,,,522,241,290,,,,,,,,,32.5,19.5,,,10.6,4.9,5.9,,,,,,,,
Oatley,"2,735","2,652",456,,"1,126",,747,,,,,,,,,29.1,28.2,4.9,,12.0,,8.0,,,,,,,,
Old Guildford,743,232,,,118,,,,465,153,,,,,,34.4,10.7,,,5.5,,,,21.5,7.1,,,,,
Old Toongabbie,"1,486","1,142",,,477,,220,,229,,,,,,,29.7,22.8,,,9.5,,4.4,,4.6,,,,,,
Ourimbah,615,851,,,383,88,165,,,,,,,,,22.9,31.6,,,14.2,3.3,6.1,,,,,,,,
Oxley Park,894,585,81,,222,96,,,,,,,,,,37.0,24.2,3.4,,9.2,4.0,,,,,,,,,
Oyster Bay,"1,636","1,555",,,760,160,371,,,,,,,,,29.9,28.5,,,13.9,2.9,6.8,,,,,,,,
Paddington,"2,534","2,442",313,,"2,581",316,,,,,,,,,,22.0,21.2,2.7,,22.4,2.7,,,,,,,,,
Padstow,"3,435","2,657",777,,"1,012",,,,,423,,,,,,28.4,22.0,6.4,,8.4,,,,,3.5,,,,,
Padstow Heights,"1,114",864,281,,296,,162,,,,,,,,,32.7,25.4,8.2,,8.7,,4.8,,,,,,,,
Pagewood,"1,291",581,500,,235,81,,,,,,,,,,38.5,17.3,14.9,,7.0,2.4,,,,,,,,,
Palm Beach,270,442,,,284,65,58,,,,,,,,,16.9,27.6,,,17.7,4.1,3.6,,,,,,,,
Panania,"3,590","2,903",544,,849,,519,,,,,,,,,33.2,26.9,5.0,,7.9,,4.8,,,,,,,,
Parramatta,"3,827","1,583",,,"2,314",,,,"1,240",,982,,,,,21.3,8.8,,,12.9,,,,6.9,,5.5,,,,
Peakhurst,"2,387","2,026",659,,667,,408,,,,,,,,,29.7,25.2,8.2,,8.3,,5.1,,,,,,,,
Peakhurst Heights,718,628,198,,164,,176,,,,,,,,,30.5,26.6,8.4,,7.0,,7.5,,,,,,,,
Pearl Beach,37,38,,,43,12,12,,,,,,,,,23.1,23.8,,,26.9,7.5,7.5,,,,,,,,
Pelican,174,289,,,96,44,81,,,,,,,,,21.2,35.2,,,11.7,5.4,9.9,,,,,,,,
Pendle Hill,"3,018","1,634",,,788,,360,,,,512,,,,,33.3,18.0,,,8.7,,4.0,,,,5.7,,,,
Pennant Hills,"1,552","1,444",,,857,241,522,,,,,,,,,25.4,23.6,,,14.0,3.9,8.5,,,,,,,,
Penrith,"3,306","3,220",,,"1,370",471,403,,,,,,,,,28.6,27.8,,,11.8,4.1,3.5,,,,,,,,
Penrose,459,454,,,148,58,112,,,,,,,,,30.2,29.9,,,9.7,3.8,7.4,,,,,,,,
Penshurst,"3,260","1,716",897,,"1,359",,,,386,,,,,,,29.9,15.8,8.2,,12.5,,,,3.5,,,,,,
Petersham,"1,959",847,318,,"1,473",,,,,201,,,,,,29.8,12.9,4.8,,22.4,,,,,3.1,,,,,
Phillip Bay,281,183,44,,81,12,,,,,,,,,,40.0,26.1,6.3,,11.5,1.7,,,,,,,,,
Picnic Point,"1,729","1,541",256,,395,,242,,,,,,,,,33.2,29.6,4.9,,7.6,,4.7,,,,,,,,
Plumpton,"2,935",935,,,427,,,,320,,287,,,,,43.2,13.8,,,6.3,,,,4.7,,4.2,,,,
Point Clare,777,"1,002",,,399,172,226,,,,,,,,,24.4,31.4,,,12.5,5.4,7.1,,,,,,,,
Point Frederick,463,483,,,202,80,86,,,,,,,,,28.4,29.7,,,12.4,4.9,5.3,,,,,,,,
Point Piper,261,290,49,,143,,,,,,,242,,,,19.0,21.1,3.6,,10.4,,,,,,,17.6,,,
Port Kembla,"1,447",743,"1,232",,361,,121,,,,,,,,,31.6,16.2,26.9,,7.9,,2.6,,,,,,,,
Potts Point,"1,508",863,,,"1,556",164,,,,215,,,,,,21.0,12.0,,,21.7,2.3,,,,3.0,,,,,
Prairiewood,"1,605",238,246,180,,,,,,325,,,,,,48.6,7.2,7.4,5.4,,,,,,9.8,,,,,
Prestons,"3,089","1,006",543,,,,,,631,,542,,,,,36.5,11.9,6.4,,,,,,7.5,,6.4,,,,
Primbee,574,340,166,,135,60,,,,,,,,,,36.7,21.8,10.6,,8.6,3.8,,,,,,,,,
Prospect,"1,712",665,200,,323,,,,,,212,,,,,40.0,15.5,4.7,,7.6,,,,,,5.0,,,,
Punchbowl,"5,379","1,029","1,961",,,,,,"3,817","1,169",,,,,,31.4,6.0,11.5,,,,,,22.3,6.8,,,,,
Putney,"1,061",634,149,,357,151,,,,,,,,,,36.9,22.0,5.2,,12.4,5.2,,,,,,,,,
Pymble,"1,932","2,829",,,"1,198",398,936,,,,,,,,,20.9,30.6,,,12.9,4.3,10.1,,,,,,,,
Pyrmont,"1,726",911,,,"1,597",210,,,,502,,,,,,22.0,11.6,,,20.3,2.7,,,,6.4,,,,,
Quakers Hill,"8,781","4,440",,,"1,869",,868,,567,,,,,,,38.4,19.4,,,8.2,,3.8,,2.5,,,,,,
Queens Park,714,594,82,,432,,,,,,,235,,,,26.8,22.3,3.1,,16.2,,,,,,,8.8,,,
Raby,"2,312","1,771",,,495,,217,,219,,,,,,,36.4,27.9,,,7.8,,3.4,,3.4,,,,,,
Ramsgate,191,178,115,,51,16,,,,,,,,,,26.3,24.6,15.9,,7.0,2.2,,,,,,,,,
Ramsgate Beach,341,345,172,,93,52,,,,,,,,,,25.2,25.5,12.7,,6.9,3.8,,,,,,,,,
Randwick,"7,918","4,167","1,156",,"4,643",,,,,,,"1,098",,,,30.1,15.8,4.4,,17.6,,,,,,,4.2,,,
Rankin Park,604,727,,,345,125,266,,,,,,,,,23.7,28.5,,,13.5,4.9,10.4,,,,,,,,
Redfern,"2,495","1,366",583,,"2,342",,,,,397,,,,,,22.7,12.5,5.3,,21.4,,,,,3.6,,,,,
Redhead,862,917,,,432,193,290,,,,,,,,,27.0,28.7,,,13.5,6.0,9.1,,,,,,,,
Regents Park,"1,145",440,,,314,,,,427,479,,,,,,29.9,11.5,,,8.2,,,,11.2,12.5,,,,,
Regentville,236,252,,,60,38,41,,,,,,,,,30.3,32.4,,,7.7,4.9,5.3,,,,,,,,
Revesby,"4,062","2,609",747,,953,,468,,,,,,,,,36.3,23.3,6.7,,8.5,,4.2,,,,,,,,
Revesby Heights,438,338,47,,112,,53,,,,,,,,,34.7,26.7,3.7,,8.9,,4.2,,,,,,,,
Rhodes,280,153,,,67,24,46,,,,,,,,,38.1,20.8,,,9.1,3.3,6.3,,,,,,,,
Riverstone,"2,272","1,785",,,569,158,207,,,,,,,,,35.9,28.2,,,9.0,2.5,3.3,,,,,,,,
Riverview,"1,469",595,112,,387,,145,,,,,,,,,45.4,18.4,3.5,,12.0,,4.5,,,,,,,,
Riverwood,"2,803","1,522",880,,"1,236",,,,972,,,,,,,26.9,14.6,8.4,,11.9,,,,9.3,,,,,,
Rockdale,"2,656",899,"2,275",,"1,409",,,,935,,,,,,,23.2,7.9,19.9,,12.3,,,,8.2,,,,,,
Rocky Point,64,97,,,25,7,9,,,,,,,,,29.0,43.9,,,11.3,3.2,4.1,,,,,,,,
Rodd Point,579,217,61,,138,44,,,,,,,,,,46.7,17.5,4.9,,11.1,3.5,,,,,,,,,
Rooty Hill,"5,019","1,732",,,737,,321,,339,,,,,,,45.1,15.6,,,6.6,,2.9,,3.0,,,,,,
Rose Bay,"1,487","1,239",277,,"1,004",,,,,,,"2,173",,,,16.8,14.0,3.1,,11.4,,,,,,,24.6,,,
Rosebery,"2,049",559,"1,384",,731,,,,348,,,,,,,29.4,8.0,19.9,,10.5,,,,5.0,,,,,,
Roselands,"2,874","1,200","1,773",,635,,,,"1,139",,,,,,,29.0,12.1,17.9,,6.4,,,,11.5,,,,,,
Rosemeadow,"2,727","1,896",,,785,,,,227,341,,,,,,34.3,23.9,,,9.9,,,,2.9,4.3,,,,,
Roseville,"1,889","2,340",,,"1,170",314,610,,,,,,,,,23.6,29.2,,,14.6,3.9,7.6,,,,,,,,
Roseville Chase,356,420,,,242,64,91,,,,,,,,,23.4,27.6,,,15.9,4.2,6.0,,,,,,,,
Rouse Hill,"1,215",752,,,292,84,124,,,,,,,,,38.6,23.9,,,9.3,2.7,3.9,,,,,,,,
Rozelle,"1,690","1,323",205,,"1,749",188,,,,,,,,,,24.9,19.5,3.0,,25.7,2.8,,,,,,,,,
Ruse,"2,008","1,916",,,480,211,245,,,,,,,,,34.6,33.0,,,8.3,3.6,4.2,,,,,,,,
Rushcutters Bay,441,335,,,483,,57,,,72,,,,,,19.9,15.1,,,21.8,,2.6,,,3.3,,,,,
Russell Lea,"2,279",844,363,,546,138,,,,,,,,,,44.6,16.5,7.1,,10.7,2.7,,,,,,,,,
Russell Vale,250,352,,,164,80,140,,,,,,,,,20.3,28.5,,,13.3,6.5,11.4,,,,,,,,
Rydalmere,460,310,,,152,68,65,,,,,,,,,32.5,21.9,,,10.7,4.8,4.6,,,,,,,,
Ryde,"7,422","3,348",860,,"2,092",,735,,,,,,,,,36.7,16.5,4.2,,10.3,,3.6,,,,,,,,
Sadleir,865,659,,,210,,,,368,164,,,,,,29.7,22.6,,,7.2,,,,12.6,5.6,,,,,
San Remo,"1,011","1,366",,,555,112,153,,,,,,,,,26.0,35.2,,,14.3,2.9,3.9,,,,,,,,
Sandringham,315,314,177,,98,,43,,,,,,,,,28.2,28.1,15.8,,8.8,,3.8,,,,,,,,
Sans Souci,"2,745","2,189","1,544",,627,,264,,,,,,,,,29.6,23.6,16.6,,6.8,,2.8,,,,,,,,
Saratoga,893,"1,334",,,421,159,243,,,,,,,,,23.6,35.3,,,11.1,4.2,6.4,,,,,,,,
Scarborough,79,76,,,102,,14,,,8,,,,,,22.8,22.0,,,29.5,,4.0,,,2.3,,,,,
Schofields,"1,212",628,,,300,,127,90,,,,,,,,40.4,20.9,,,10.0,,4.2,3.0,,,,,,,
Scotland Island,86,113,,,227,,33,,,,,,,31,,11.7,15.4,,,30.9,,4.5,,,,,,,4.2,
Seaforth,"1,476","1,834",,,898,285,324,,,,,,,,,24.4,30.3,,,14.9,4.7,5.4,,,,,,,,
Sefton,"1,648",669,,,361,,,,604,611,,,,,,32.2,13.1,,,7.0,,,,11.8,11.9,,,,,
Seven Hills,"6,072","3,738",,,"1,622",633,714,,,,,,,,,34.4,21.2,,,9.2,3.6,4.0,,,,,,,,
Shalvey,"1,096",968,,,382,123,137,,,,,,,,,29.2,25.8,,,10.2,3.3,3.7,,,,,,,,
Shell Cove,439,335,75,,78,,83,,,,,,,,,36.8,28.1,6.3,,6.5,,7.0,,,,,,,,
Shellharbour,"1,152",920,204,,329,,193,,,,,,,,,34.6,27.6,6.1,,9.9,,5.8,,,,,,,,
Shelly Beach,421,458,,,127,52,67,,,,,,,,,32.4,35.3,,,9.8,4.0,5.2,,,,,,,,
Shortland,"1,039","1,155",,,533,179,388,,,,,,,,,24.2,26.8,,,12.4,4.2,9.0,,,,,,,,
Silverwater,284,149,53,,92,,,,189,,,,,,,25.7,13.5,4.8,,8.3,,,,17.1,,,,,,
Smithfield,"4,767","1,407",478,,574,,,,,757,,,,,,46.0,13.6,4.6,,5.5,,,,,7.3,,,,,
South Coogee,"1,689",872,430,,563,,,,,,,186,,,,34.0,17.5,8.7,,11.3,,,,,,,3.7,,,
South Granville,"1,169",462,210,,192,,,,597,,,,,,,35.6,14.1,6.4,,5.9,,,,18.2,,,,,,
South Hurstville,"1,273",659,517,,518,,,,266,,,,,,,29.6,15.3,12.0,,12.0,,,,6.2,,,,,,
South Penrith,"3,925","3,620",,,"1,263",495,438,,,,,,,,,32.6,30.0,,,10.5,4.1,3.6,,,,,,,,
South Turramurra,593,788,,,401,128,304,,,,,,,,,20.7,27.5,,,14.0,4.5,10.6,,,,,,,,
South Wentworthville,"2,052",860,227,,343,,,,202,,,,,,,42.6,17.9,4.7,,7.1,,,,4.2,,,,,,
Speers Point,727,894,,,409,143,301,,,,,,,,,24.0,29.5,,,13.5,4.7,9.9,,,,,,,,
Springfield,"1,059","1,189",,,514,147,218,,,,,,,,,27.0,30.3,,,13.1,3.7,5.6,,,,,,,,
Springwood,"1,796","2,009",,,"1,359",418,,460,,,,,,,,22.4,25.1,,,17.0,5.2,,5.7,,,,,,,
St Andrews,"2,267","1,565",,,500,,188,,303,,,,,,,36.3,25.1,,,8.0,,3.0,,4.9,,,,,,
St Clair,"8,492","4,633",,,"1,696",575,835,,,,,,,,,40.2,21.9,,,8.0,2.7,4.0,,,,,,,,
St Helens Park,"1,797","1,563",,,634,156,,,161,,,,,,,31.2,27.2,,,11.0,2.7,,,2.8,,,,,,
St Huberts Island,341,372,,,89,47,53,,,,,,,,,31.3,34.1,,,8.2,4.3,4.9,,,,,,,,
St Ives,"2,739","3,704",,,"1,632",,932,,,,,"1,713",,,,19.7,26.6,,,11.7,,6.7,,,,,12.3,,,
St Ives Chase,725,729,,,380,,208,,,,,351,,,,23.7,23.8,,,12.4,,6.8,,,,,11.5,,,
St Johns Park,"2,045",272,672,,299,,,,,"1,411",,,,,,35.5,4.7,11.7,,5.2,,,,,24.5,,,,,
St Leonards,569,427,,,587,,88,,,138,,,,,,21.4,16.0,,,22.1,,3.3,,,5.2,,,,,
St Marys,"3,142","2,096",380,,878,315,,,,,,,,,,34.1,22.8,4.1,,9.5,3.4,,,,,,,,,
St Peters,526,309,186,,482,,,,,103,,,,,,23.1,13.6,8.2,,21.2,,,,,4.5,,,,,
Stanhope Gardens,809,622,,,253,,148,,,,,,127,,,29.6,22.8,,,9.3,,5.4,,,,,,4.7,,
Stanmore,"2,059",905,440,,"1,685",,178,,,,,,,,,29.5,13.0,6.3,,24.1,,2.6,,,,,,,,
Stockton,"1,138","1,570",,,432,251,380,,,,,,,,,26.1,36.1,,,9.9,5.8,8.7,,,,,,,,
Strathfield,"6,948","1,914",,,"2,148",,,,,"1,200","1,432",,,,,33.8,9.3,,,10.4,,,,,5.8,7.0,,,,
Strathfield South,"1,078",323,178,,374,,,,,,289,,,,,35.4,10.6,5.8,,12.3,,,,,,9.5,,,,
Summer Hill,"1,828",750,223,,"1,414",,,,,230,,,,,,29.2,12.0,3.6,,22.6,,,,,3.7,,,,,
Surry Hills,"2,761","1,536",396,,"3,349",,,,,575,,,,,,19.5,10.8,2.8,,23.6,,,,,4.1,,,,,
Sutherland,"2,483","2,439",,,"1,202",355,488,,,,,,,,,27.2,26.7,,,13.1,3.9,5.3,,,,,,,,
Swansea,940,"1,484",,,586,312,427,,,,,,,,,20.1,31.8,,,12.5,6.7,9.1,,,,,,,,
Swansea Heads,163,174,,,79,,29,33,,,,,,,,27.1,28.9,,,13.1,,4.8,5.5,,,,,,,
Sydenham,247,105,119,,119,,,,,113,,,,,,24.8,10.5,11.9,,11.9,,,,,11.3,,,,,
Sydney,"2,017","1,295",,,"2,043",,384,,,860,,,,,,13.7,8.8,,,13.9,,2.6,,,5.8,,,,,
Sylvania,"2,490","2,478",914,,805,,535,,,,,,,,,27.9,27.8,10.3,,9.0,,6.0,,,,,,,,
Sylvania Waters,"1,028",724,481,,318,,124,,,,,,,,,30.8,21.7,14.4,,9.5,,3.7,,,,,,,,
Tacoma,172,250,,,112,30,32,,,,,,,,,22.9,33.3,,,14.9,4.0,4.3,,,,,,,,
Tacoma South,70,77,,,58,,18,7,,,,,,,,22.7,24.9,,,18.8,,5.8,2.3,,,,,,,
Tamarama,364,263,,,339,,,,,39,,84,,,,25.1,18.1,,,23.3,,,,,2.7,,5.8,,,
Taren Point,255,325,158,,98,,43,,,,,,,,,23.0,29.3,14.3,,8.8,,3.9,,,,,,,,
Tarrawanna,510,326,88,,131,,89,,,,,,,,,36.0,23.0,6.2,,9.2,,6.3,,,,,,,,
Tascott,464,526,,,201,57,107,,,,,,,,,28.0,31.7,,,12.1,3.4,6.4,,,,,,,,
Tempe,861,415,569,,404,,,,,144,,,,,,25.9,12.5,17.1,,12.1,,,,,4.3,,,,,
Teralba,258,422,,,175,65,153,,,,,,,,,18.0,29.4,,,12.2,4.5,10.7,,,,,,,,
Terrey Hills,692,865,,,421,122,174,,,,,,,,,23.9,29.9,,,14.5,4.2,6.0,,,,,,,,
Terrigal,"2,675","2,824",,,"1,006",382,681,,,,,,,,,28.4,30.0,,,10.7,4.1,7.2,,,,,,,,
The Entrance,817,868,,,248,104,98,,,,,,,,,29.6,31.5,,,9.0,3.8,3.6,,,,,,,,
The Entrance North,305,369,,,120,59,48,,,,,,,,,28.9,34.9,,,11.4,5.6,4.5,,,,,,,,
The Hill,406,437,,,385,77,76,,,,,,,,,21.1,22.7,,,20.0,4.0,4.0,,,,,,,,
The Junction,378,319,,,186,47,91,,,,,,,,,29.9,25.3,,,14.7,3.7,7.2,,,,,,,,
Thirroul,"1,417","1,463",,,959,182,478,,,,,,,,,25.4,26.2,,,17.2,3.3,8.6,,,,,,,,
Thornleigh,"2,166","1,737",,,"1,026",,574,255,,,,,,,,28.3,22.7,,,13.4,,7.5,3.3,,,,,,,
Tighes Hill,362,344,,,239,49,85,,,,,,,,,24.9,23.7,,,16.5,3.4,5.9,,,,,,,,
Tingira Heights,715,878,,,346,130,320,,,,,,,,,24.3,29.8,,,11.8,4.4,10.9,,,,,,,,
Toongabbie,"4,531","2,534",,,"1,227",460,594,,,,,,,,,35.4,19.8,,,9.6,3.6,4.6,,,,,,,,
Toowoon Bay,126,208,,,43,15,31,,,,,,,,,24.0,39.7,,,8.2,2.9,5.9,,,,,,,,
Toronto,"1,048","1,564",,,719,225,583,,,,,,,,,20.4,30.5,,,14.0,4.4,11.4,,,,,,,,
Toukley,"1,111","1,532",,,445,178,205,,,,,,,,,26.9,37.1,,,10.8,4.3,5.0,,,,,,,,
Towradgi,954,776,,,308,138,187,,,,,,,,,31.3,25.5,,,10.1,4.5,6.1,,,,,,,,
Tregear,"1,074","1,032",,,382,206,163,,,,,,,,,26.9,25.9,,,9.6,5.2,4.1,,,,,,,,
Tuggerah,241,276,,,138,26,54,,,,,,,,,26.2,30.0,,,15.0,2.8,5.9,,,,,,,,
Tuggerawong,319,411,,,125,62,68,,,,,,,,,25.7,33.1,,,10.1,5.0,5.5,,,,,,,,
Tumbi Umbi,949,"1,155",,,393,140,203,,,,,,,,,28.0,34.1,,,11.6,4.1,6.0,,,,,,,,
Turramurra,"1,987","3,372",,,"1,356",432,"1,034",,,,,,,,,19.3,32.8,,,13.2,4.2,10.1,,,,,,,,
Turrella,296,142,243,,132,,,,318,,,,,,,22.0,10.5,18.0,,9.8,,,,23.6,,,,,,
Ultimo,637,285,,,943,100,,,,420,,,,,,15.7,7.0,,,23.3,2.5,,,,10.4,,,,,
Umina Beach,"4,300","5,251",,,"1,769",613,772,,,,,,,,,28.3,34.5,,,11.6,4.0,5.1,,,,,,,,
Unanderra,"1,860","1,516",275,,578,,351,,,,,,,,,31.4,25.6,4.6,,9.7,,5.9,,,,,,,,
Valentine,"1,229","1,496",,,628,251,630,,,,,,,,,23.8,28.9,,,12.1,4.9,12.2,,,,,,,,
Valley Heights,311,290,,,241,76,77,,,,,,,,,23.0,21.4,,,17.8,5.6,5.7,,,,,,,,
Vaucluse,"1,709","1,635",482,,896,,,,,,,"2,126",,,,19.1,18.3,5.4,,10.0,,,,,,,23.8,,,
Villawood,"1,889",827,,,429,,,,892,"1,329",,,,,,27.8,12.2,,,6.3,,,,13.1,19.5,,,,,
Voyager Point,226,200,33,,52,,,,,,52,,,,,29.7,26.3,4.3,,6.8,,,,,,6.8,,,,
Wahroonga,"3,405","4,398",,,"1,816",586,"1,299",,,,,,,,,22.6,29.2,,,12.1,3.9,8.6,,,,,,,,
Waitara,413,431,,,246,46,104,,,,,,,,,24.5,25.5,,,14.6,2.7,6.2,,,,,,,,
Wakeley,"1,908",296,487,340,,,,,,831,,,,,,39.1,6.1,10.0,7.0,,,,,,17.0,,,,,
Wallsend,"2,786","3,270",,,"1,166",464,"1,165",,,,,,,,,24.2,28.4,,,10.1,4.0,10.1,,,,,,,,
Wamberal,"1,471","1,629",,,765,262,375,,,,,,,,,27.1,30.0,,,14.1,4.8,6.9,,,,,,,,
Warabrook,618,494,,,166,,129,95,,,,,,,,30.7,24.5,,,8.2,,6.4,4.7,,,,,,,
Waratah,"1,231","1,230",,,492,187,355,,,,,,,,,27.9,27.9,,,11.2,4.2,8.1,,,,,,,,
Waratah West,873,725,,,336,93,229,,,,,,,,,31.2,25.9,,,12.0,3.3,8.2,,,,,,,,
