,Catholic,Anglican,Orthodox,Oriental Christian,No Religion,Presbyterian & Reformed,Uniting Church,Baptist,Islam,Buddhism,Hinduism,Judaism,Pentecostal,"Christian, nfd",Sikhism,Catholic (%),Anglican (%),Orthodox (%),Oriental Christian (%),No Religion (%),Presbyterian & Reformed (%),Uniting Church (%),Baptist (%),Islam (%),Buddhism (%),Hinduism (%),Judaism (%),Pentecostal (%),"Christian, nfd (%)",Sikhism (%)
Blackbutt,"1,046",697,457,,261,,132,,,,,,,,,34.3,22.9,15.0,,8.6,,4.3,,,,,,,,
Blackett,"1,093","1,023",,,359,106,124,,,,,,,,,31.3,29.3,,,10.3,3.0,3.5,,,,,,,,
Blacksmiths,354,601,,,260,95,180,,,,,,,,,20.5,34.8,,,15.1,5.5,10.4,,,,,,,,
Blacktown,"13,192","6,708","1,562",,"3,215",,,,"1,769",,,,,,,35.3,17.9,4.2,,8.6,,,,4.7,,,,,,
Blackwall,476,561,,,203,69,75,,,,,,,,,27.9,32.9,,,11.9,4.0,4.4,,,,,,,,
Blairmount,283,101,,,31,,14,,26,,,,,,,50.0,17.8,,,5.5,,2.5,,4.6,,,,,,
Blakehurst,"1,519","1,086",900,,451,,235,,,,,,,,,28.5,20.4,16.9,,8.5,,4.4,,,,,,,,
Blaxland,"1,542","1,821",,,"1,062",,488,379,,,,,,,,22.0,26.0,,,15.1,,7.0,5.4,,,,,,,
Blue Bay,289,272,,,93,46,35,,,,,,,,,34.4,32.3,,,11.1,5.5,4.2,,,,,,,,
Blue Haven,"1,362","1,661",,,521,166,199,,,,,,,,,29.0,35.4,,,11.1,3.5,4.2,,,,,,,,
Bolton Point,431,648,,,348,85,202,,,,,,,,,18.8,28.3,,,15.2,3.7,8.8,,,,,,,,
Bondi,"2,112",927,288,,"1,541",,,,,,,"1,394",,,,24.1,10.6,3.3,,17.6,,,,,,,15.9,,,
Bondi Beach,"2,185","1,309",282,,"2,203",,,,,,,981,,,,20.3,12.2,2.6,,20.5,,,,,,,9.1,,,
Bondi Junction,"1,775","1,129",,,"1,358",,,,,257,,848,,,,23.2,14.8,,,17.8,,,,,3.4,,11.1,,,
Bonnet Bay,726,750,,,225,84,195,,,,,,,,,31.2,32.2,,,9.7,3.6,8.4,,,,,,,,
Bonnyrigg,"2,463",668,519,,543,,,,,"2,909",,,,,,27.8,7.5,5.9,,6.1,,,,,32.9,,,,,
Bonnyrigg Heights,"2,634",,815,,292,,,,315,"1,566",,,,,,37.2,,11.5,,4.1,,,,4.4,22.1,,,,,
Booker Bay,348,468,,,173,53,61,,,,,,,,,26.3,35.3,,,13.1,4.0,4.6,,,,,,,,
Boolaroo,254,418,,,109,,131,47,,,,,,,,21.4,35.2,,,9.2,,11.0,4.0,,,,,,,
Booragul,334,504,,,209,63,188,,,,,,,,,20.5,30.9,,,12.8,3.9,11.5,,,,,,,,
Bossley Park,"7,289","1,150",865,717,,,,,,"1,259",,,,,,50.6,8.0,6.0,5.0,,,,,,8.7,,,,,
Botany,"2,834","1,474",492,,652,,237,,,,,,,,,38.0,19.7,6.6,,8.7,,3.2,,,,,,,,
Bow Bowing,590,338,,,100,,,,70,,86,,,,,36.2,20.7,,,6.1,,,,4.3,,5.3,,,,
Bradbury,"2,833","2,518",,,920,330,359,,,,,,,,,31.3,27.9,,,10.2,3.7,4.0,,,,,,,,
Broadmeadow,385,345,87,,208,,105,,,,,,,,,26.5,23.7,6.0,,14.3,,7.2,,,,,,,,
Bronte,"1,964","1,251",213,,"1,332",,,,,,,352,,,,29.0,18.5,3.1,,19.7,,,,,,,5.2,,,
Brookvale,935,427,,,267,90,134,,,,,,,,,37.5,17.1,,,10.7,3.6,5.4,,,,,,,,
Budgewoi,768,"1,109",,,332,128,134,,,,,,,,,26.1,37.8,,,11.3,4.4,4.6,,,,,,,,
Buff Point,913,"1,201",,,410,160,168,,,,,,,,,26.7,35.1,,,12.0,4.7,4.9,,,,,,,,
Bulli,"1,263","1,502",,,839,243,479,,,,,,,,,23.6,28.0,,,15.7,4.5,8.9,,,,,,,,
Burwood,"3,404",830,678,,"1,879",,,,,975,,,,,,30.6,7.5,6.1,,16.9,,,,,8.8,,,,,
Burwood Heights,387,160,71,,67,61,,,,,,,,,,40.3,16.6,7.4,,7.0,6.3,,,,,,,,,
Busby,"1,178",877,,,273,,,,511,267,,,,,,29.2,21.7,,,6.8,,,,12.6,6.6,,,,,
Cabarita,444,271,29,,125,,48,,,,,,,,,38.2,23.3,2.5,,10.8,,4.1,,,,,,,,
Cabramatta,"3,193",629,"1,399",,"1,710",,,,,"9,411",,,,,,16.5,3.2,7.2,,8.8,,,,,48.5,,,,,
Cabramatta West,"1,834",460,437,,426,,,,,"2,419",,,,,,28.1,7.0,6.7,,6.5,,,,,37.1,,,,,
Cambridge Gardens,789,608,,,218,92,85,,,,,,,,,36.2,27.9,,,10.0,4.2,3.9,,,,,,,,
Cambridge Park,"1,880","1,821",,,660,261,255,,,,,,,,,30.7,29.7,,,10.8,4.3,4.2,,,,,,,,
Camden,846,"1,045",,,291,108,228,,,,,,,,,27.6,34.1,,,9.5,3.5,7.4,,,,,,,,
Camden South,"1,398","1,568",,,488,160,301,,,,,,,,,30.0,33.7,,,10.5,3.4,6.5,,,,,,,,
Cammeray,"1,522","1,306",,,"1,210",216,227,,,,,,,,,25.7,22.1,,,20.5,3.7,3.8,,,,,,,,
Campbelltown,"3,252","2,424",,,939,280,315,,,,,,,,,32.8,24.4,,,9.5,2.8,3.2,,,,,,,,
Camperdown,"1,353",989,,,"1,286",,204,,,151,,,,,,24.8,18.1,,,23.6,,3.7,,,2.8,,,,,
Campsie,"5,584",,"2,082",,"3,313",,,,"1,084","2,311",,,,,,26.8,,10.0,,15.9,,,,5.2,11.1,,,,,
Canada Bay,573,166,57,,114,,,,,32,,,,,,47.5,13.8,4.7,,9.4,,,,,2.7,,,,,
Canley Heights,"2,553",787,632,,611,,,,,"3,595",,,,,,26.4,8.1,6.5,,6.3,,,,,37.1,,,,,
Canley Vale,"2,242",651,757,,812,,,,,"3,365",,,,,,22.2,6.5,7.5,,8.0,,,,,33.3,,,,,
Canterbury,"1,762",388,864,,637,,,,,290,,,,,,32.4,7.1,15.9,,11.7,,,,,5.3,,,,,
Canton Beach,231,405,,,99,75,,,,,,81,,,,20.6,36.2,,,8.8,6.7,,,,,,7.2,,,
Cardiff,"1,314","1,414",,,552,207,424,,,,,,,,,26.1,28.1,,,11.0,4.1,8.4,,,,,,,,
Cardiff Heights,437,447,,,220,87,184,,,,,,,,,24.6,25.1,,,12.4,4.9,10.3,,,,,,,,
Cardiff South,677,793,,,325,115,257,,,,,,,,,25.2,29.6,,,12.1,4.3,9.6,,,,,,,,
Caringbah,"6,516","6,091",,,"2,063",832,"1,175",,,,,,,,,31.6,29.6,,,10.0,4.0,5.7,,,,,,,,
Carlingford,"4,932","3,585",,,"3,092",888,"1,266",,,,,,,,,25.3,18.4,,,15.9,4.6,6.5,,,,,,,,
Carlton,"2,258","1,183","1,872",,"1,191",,,,608,,,,,,,23.7,12.4,19.6,,12.5,,,,6.4,,,,,,
Carramar,"1,001",255,,,210,,,,225,480,,,,,,32.2,8.2,,,6.8,,,,7.2,15.4,,,,,
Carrington,426,486,,,242,55,93,,,,,,,,,26.5,30.2,,,15.0,3.4,5.8,,,,,,,,
Carss Park,348,263,197,,67,,70,,,,,,,,,30.3,22.9,17.1,,5.8,,6.1,,,,,,,,
Cartwright,663,473,,,160,,,,208,135,,,,,,29.3,20.9,,,7.1,,,,9.2,6.0,,,,,
Castle Cove,587,483,,,390,,,,,95,,114,,,,25.3,20.8,,,16.8,,,,,4.1,,4.9,,,
Castle Hill,"10,031","7,731",,,"3,072","1,101","1,842",,,,,,,,,31.8,24.5,,,9.7,3.5,5.8,,,,,,,,
Castlecrag,646,607,,,506,,122,,,,,110,,,,24.4,23.0,,,19.1,,4.6,,,,,4.2,,,
Casula,"4,331","1,667",848,,758,,,,971,,,,,,,38.7,14.9,7.6,,6.8,,,,8.7,,,,,,
Caves Beach,"1,076","1,156",,,389,235,396,,,,,,,,,26.1,28.1,,,9.4,5.7,9.6,,,,,,,,
Cecil Hills,"2,848",435,379,303,,,,,,462,,,,,,49.0,7.5,6.5,5.2,,,,,,7.9,,,,,
Centennial Park,524,361,71,,407,,,,,,,79,,,,24.9,17.2,3.4,,19.4,,,,,,,3.8,,,
Charlestown,"3,191","2,915",,,"1,396",504,"1,115",,,,,,,,,28.2,25.7,,,12.3,4.4,9.8,,,,,,,,
Charmhaven,557,816,,,244,83,102,,,,,,,,,24.8,36.4,,,10.9,3.7,4.5,,,,,,,,
Chatswood,"2,667","1,459",,,"2,047",,379,,,705,,,,,,26.1,14.3,,,20.0,,3.7,,,6.9,,,,,
Chatswood West,"1,788","1,433",,,"1,529",278,396,,,,,,,,,23.9,19.1,,,20.4,3.7,5.3,,,,,,,,
Cheltenham,367,584,,,296,95,168,,,,,,,,,18.6,29.5,,,15.0,4.8,8.5,,,,,,,,
Cherrybrook,"4,849","3,903",,,"2,217",839,"1,296",,,,,,,,,26.1,21.0,,,11.9,4.5,7.0,,,,,,,,
Chester Hill,"2,826","1,566",,,668,,,,909,872,,,,,,28.4,15.7,,,6.7,,,,9.1,8.8,,,,,
Chifley,"1,137",742,145,,292,,66,,,,,,,,,38.1,24.8,4.9,,9.8,,2.2,,,,,,,,
Chippendale,601,340,,,841,,83,,,224,,,,,,18.2,10.3,,,25.5,,2.5,,,6.8,,,,,
Chipping Norton,"3,463","1,858",786,,637,,,,,317,,,,,,38.5,20.7,8.7,,7.1,,,,,3.5,,,,,
Chiswick,548,228,50,,183,37,,,,,,,,,,41.9,17.4,3.8,,14.0,2.8,,,,,,,,,
Chittaway Bay,594,692,,,267,54,102,,,,,,,,,29.9,34.8,,,13.4,2.7,5.1,,,,,,,,
Chittaway Point,213,223,,,93,28,56,,,,,,,,,26.8,28.0,,,11.7,3.5,7.0,,,,,,,,
Church Point,241,385,,,204,22,59,,,,,,,,,21.5,34.4,,,18.2,2.0,5.3,,,,,,,,
