,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Long Jetty,--,--,30.1,6.7,12378
Shelly Beach (NSW),--,--,18.8,15.7,13535
Blue Bay,--,--,25.2,7.4,10414
Toowoon Bay,--,--,30.3,9.5,13916
The Entrance North,--,--,25.9,9.7,13819
Magenta (NSW),--,--,15.7,21.7,12441
The Entrance,--,--,34.8,3.9,13818
Toukley,--,--,33.3,5.0,13925
Canton Beach,--,--,46.9,2.2,10798
Noraville,--,--,21.5,8.1,12974
Norah Head,--,--,13.2,19.7,12973
Kangy Angy,--,--,27.8,10.0,12064
Tuggerah,--,--,17.6,8.5,13950
Wyong,--,--,32.8,6.9,14446
Mardi,--,--,15.4,16.7,12488
Tacoma South,--,--,6.3,10.1,13725
Hamlyn Terrace,--,--,16.2,13.2,11843
Woongarrah,--,--,12.0,19.7,14415
Warnervale,--,--,15.7,20.9,14154
Wallarah,--,--,11.8,11.8,14109
Wadalba,--,--,19.0,12.1,14080
Watanobbi,--,--,23.7,6.3,14181
Tacoma,--,--,14.4,20.0,13724
Llanarth (NSW),--,--,10.1,24.6,12362
South Bathurst,--,--,26.9,4.0,13577
Bathurst,--,--,30.1,7.7,10231
Robin Hill,--,--,8.4,32.3,13375
West Bathurst,--,--,25.9,6.8,14241
Mitchell (NSW),--,--,51.5,3.0,12650
Gormans Hill,--,--,38.2,7.9,11720
Abercrombie,--,--,10.6,25.0,10004
Eglinton (NSW),--,--,14.1,11.5,11386
Windradyne,--,--,21.4,9.9,14324
Raglan (NSW),--,--,14.5,8.2,13304
White Rock (NSW),--,--,9.0,28.7,14275
Kelso (NSW),--,--,19.7,13.5,12090
O'Connell (NSW),--,--,13.0,22.7,13052
Brewongle,--,--,27.9,18.6,10564
Trunkey Creek,--,--,34.2,0.0,13942
Perthville,--,--,15.5,13.7,13189
Sofala,--,--,52.1,6.2,13569
Wattle Flat (NSW),--,--,45.4,3.1,14191
Peel,--,--,8.6,12.3,13174
Limekilns,--,--,20.6,8.8,12330
Clear Creek,--,--,20.0,20.0,10925
Rockley,--,--,32.8,5.2,13380
Georges Plains,--,--,16.4,16.4,11602
Duramana,--,--,11.4,10.0,11330
Billywillinga,--,--,19.3,10.5,10357
Mount Rankin,--,--,16.0,26.4,12786
Rock Forest,--,--,9.5,19.0,13377
Evans Plains,--,--,9.3,16.7,11470
The Lagoon,--,--,17.9,19.6,13828
Wisemans Creek,--,--,22.0,7.3,14343
Yetholme,--,--,21.2,15.0,14513
Meadow Flat,--,--,14.1,21.7,12549
Tarana,--,--,19.1,12.8,13760
Glanmire (NSW),--,--,17.9,17.9,11640
Napoleon Reef,--,--,20.8,7.5,12893
Oberon,--,--,25.5,7.6,13068
Black Springs (NSW),--,--,26.6,7.8,10389
Condobolin,--,--,28.4,7.4,11002
Tullamore,--,--,30.9,2.2,13954
Lake Cargelligo,--,--,30.5,4.1,12242
Tullibigeal,--,--,23.7,5.3,13957
Ungarie,--,--,30.5,9.6,14011
Euabalong,--,--,31.7,5.0,11449
Fifield,--,--,28.2,12.8,11514
Tottenham (NSW),--,--,42.3,8.5,13923
Cowra,--,--,29.5,6.3,11099
Canowindra,--,--,31.5,4.9,10796
Woodstock (Cowra - NSW),--,--,33.1,4.0,14394
Gooloogong,--,--,35.0,4.2,11709
Mandurama,--,--,31.1,12.1,12467
Wattamondara,--,--,22.2,5.6,14190
Darbys Falls,--,--,26.7,4.0,11205
Billimari,--,--,34.1,9.1,10354
Moorbel,--,--,27.0,5.4,12709
Forbes (NSW),--,--,27.5,7.0,11536
Eugowra,--,--,22.1,6.6,11454
Warroo (NSW),--,--,16.2,18.9,14175
Bedgerabong,--,--,22.9,6.2,10247
Grenfell,--,--,34.3,5.1,11776
Greenethorpe,--,--,22.5,12.7,11760
Quandialla,--,--,29.5,4.9,13290
Caragabal,--,--,23.4,6.4,10806
