,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Wilcannia,--,--,29.6,6.5,14290
Tibooburra,--,--,16.7,0.0,13860
Pooncarie,--,--,40.0,0.0,13242
Ivanhoe (NSW),--,--,25.9,10.6,11991
Baradine,--,--,37.9,3.2,10190
Coonabarabran,--,--,33.0,4.0,11043
Binnaway,--,--,41.5,4.5,10372
Mendooran,--,--,36.2,6.5,12570
Coolah,--,--,30.2,5.8,11024
Bugaldie,--,--,44.2,7.7,10646
Ulamambri,--,--,15.9,11.6,14001
Tambar Springs,--,--,43.3,6.0,13743
Merrygoen,--,--,22.6,0.0,12587
Dubbo,--,--,20.1,11.7,11296
Terramungamine,--,--,16.0,18.7,13801
Brocklehurst,--,--,20.4,7.1,10583
Wongarbon,--,--,11.5,12.0,14373
Elong Elong,--,--,28.9,15.6,11406
Gollan,--,--,22.9,20.0,11694
Eumungerie,--,--,29.2,9.4,11456
Minore,--,--,28.3,15.2,12641
Ballimore,--,--,13.0,10.9,10161
Gilgandra,--,--,30.5,4.8,11619
Collie (NSW),--,--,21.0,8.1,10975
Armatree,--,--,19.4,22.2,10084
Curban,--,--,18.2,15.9,11166
Tooraweenah,--,--,28.9,9.6,13911
Narromine,--,--,27.3,8.4,12911
Trangie,--,--,31.1,8.0,13932
Tomingley,--,--,24.0,4.2,13896
Wellington (NSW),--,--,39.2,3.7,14221
Mumbil,--,--,43.0,4.3,12832
Stuart Town,--,--,32.9,4.1,13680
Euchareena,--,--,31.1,6.7,11452
Mount Arthur,--,--,10.9,21.7,12747
Maryvale (NSW),--,--,18.8,10.4,12517
Geurie,--,--,20.2,12.7,11608
Montefiores,--,--,18.4,11.9,12685
Greta (NSW),--,--,18.6,10.6,11778
Lower Belford,--,--,6.7,22.1,12401
Belford,--,--,0.0,25.0,10258
Branxton,--,--,18.0,19.4,10549
Pokolbin,--,--,11.5,32.2,13236
Keinbah,--,--,7.5,17.5,12084
Lovedale,--,--,9.7,27.1,12396
East Branxton,--,--,13.0,13.5,11346
North Rothbury,--,--,16.6,12.9,13004
Leconfield,--,--,7.9,13.2,12291
Cessnock,--,--,29.4,7.0,10878
Nulkaba,--,--,7.6,28.3,13031
Aberdare,--,--,27.1,3.3,10006
Kearsley,--,--,24.4,8.1,12080
Bellbird,--,--,21.6,10.7,10268
Bellbird Heights,--,--,16.8,13.8,10269
Ellalong,--,--,16.1,13.2,11398
Kitchener,--,--,26.7,8.9,12174
Abernethy,--,--,15.2,8.9,10011
Mulbring,--,--,14.4,17.4,12813
Buchanan (NSW),--,--,8.2,26.5,10628
Millfield,--,--,20.7,7.2,12620
Paxton,--,--,20.2,10.1,13162
Black Hill (NSW),--,--,12.3,36.4,10385
Mount Vincent,--,--,11.2,26.2,12799
Brunkerville,--,--,24.6,12.3,10620
Quorrobolong,--,--,17.9,27.9,13302
Congewai,--,--,28.1,7.8,11007
Mount View,--,--,11.1,22.2,12798
Paynes Crossing,--,--,32.3,0.0,13163
Laguna,--,--,32.3,4.8,12237
Wollombi,--,--,30.5,10.2,14355
Murrays Run,--,--,14.8,13.0,12855
Bucketty,--,--,15.0,15.0,10634
Clarence Town,--,--,14.5,13.5,10920
Dungog,--,--,34.2,3.7,11320
Bendolba,--,--,32.8,10.4,10291
Paterson (NSW),--,--,14.2,15.7,13159
Martins Creek,--,--,12.7,16.4,12511
Torryburn (Dungog - NSW),--,--,6.8,20.5,13920
Vacy,--,--,12.4,13.4,14063
East Gresford,--,--,25.5,11.3,11350
Gresford,--,--,26.7,11.1,11777
Glen Martin,--,--,10.4,12.5,11650
Wallarobba,--,--,15.3,23.7,14111
Hilldale,--,--,21.6,15.7,11906
Glen Oak,--,--,17.0,22.3,11652
Brookfield (NSW),--,--,25.0,10.0,10596
Abermain,--,--,23.2,6.5,10010
Weston (NSW),--,--,27.7,6.8,14262
Kurri Kurri,--,--,28.6,5.5,12221
Stanford Merthyr,--,--,23.8,7.4,13647
Pelaw Main,--,--,26.6,5.3,13177
Heddon Greta,--,--,12.0,16.5,11888
Neath,--,--,45.1,2.3,12917
Cliftleigh,--,--,16.1,6.8,10932
Sawyers Gully,--,--,15.4,20.6,13499
Hunterview,--,--,9.3,23.8,11955
Redbournberry,--,--,15.8,38.6,13337
Singleton (NSW),--,--,26.0,14.1,13549
Whittingham,--,--,18.8,19.6,14279
Gowrie (Singleton - NSW),--,--,7.8,37.8,11729
Glenridding,--,--,31.8,5.9,11676
Singleton Heights,--,--,18.5,16.1,13550
Wattle Ponds,--,--,4.5,38.5,14193
McDougalls Hill,--,--,11.9,25.4,12541
Darlington (Singleton - NSW),--,--,17.4,14.0,11213
Broke (NSW),--,--,20.3,18.4,10590
Putty,--,--,23.1,0.0,13279
Howes Valley,--,--,34.5,13.8,11948
Bulga (NSW),--,--,13.8,14.9,10651
Jerrys Plains,--,--,20.7,12.0,12021
Maison Dieu,--,--,22.2,13.3,12448
Bridgman,--,--,7.3,32.7,10567
Mount Olive (Singleton - NSW),--,--,17.0,18.9,12781
Westbrook (NSW),--,--,7.7,28.2,14257
Reedy Creek (NSW),--,--,9.1,25.0,13342
Sedgefield,--,--,5.9,33.3,13514
Mitchells Flat,--,--,6.3,34.9,12651
Glendon,--,--,20.5,20.5,11660
Elderslie (Singleton - NSW),--,--,14.3,28.6,11392
Lambs Valley (Singleton - NSW),--,--,7.0,29.1,12263
Stanhope (NSW),--,--,7.7,23.1,13648
Glendon Brook,--,--,12.5,16.7,11661
Maitland (NSW),--,--,26.4,8.0,12449
South Maitland,--,--,29.6,6.3,13591
Gillieston Heights,--,--,14.4,9.9,11624
Louth Park,--,--,6.7,44.2,12395
Horseshoe Bend,--,--,32.1,3.1,11939
Oakhampton,--,--,28.8,13.5,13056
East Maitland,--,--,25.2,11.0,11360
Metford,--,--,20.6,6.5,12592
Tenambit,--,--,23.2,6.6,13787
Raworth,--,--,10.8,20.4,13325
Morpeth,--,--,25.0,12.1,12727
Ashtonfield,--,--,10.4,21.0,10102
Chisholm (NSW),--,--,4.0,26.8,10909
Largs,--,--,14.4,20.5,12278
Bolwarra Heights,--,--,9.8,30.4,10451
Lorn,--,--,21.8,22.6,12389
Bolwarra (NSW),--,--,13.2,24.8,10450
Woodville (NSW),--,--,14.0,21.7,14398
Maitland Vale,--,--,11.1,36.1,12451
Rutherford,--,--,23.5,8.2,13449
Aberglasslyn,--,--,9.3,17.9,10009
Luskintyre,--,--,16.1,28.6,12423
Windella,--,--,7.4,35.3,14317
Telarah,--,--,28.5,3.7,13780
Farley,--,--,13.8,23.1,11490
Bishops Bridge,--,--,10.0,21.7,10380
Thornton (NSW),--,--,12.3,14.1,13851
Millers Forest,--,--,10.2,17.3,12618
Berry Park,--,--,25.0,33.3,10325
Anna Bay,--,--,26.3,6.8,10060
Boat Harbour (Port Stephens - NSW),--,--,14.2,17.6,10425
Bobs Farm,--,--,18.3,14.3,10429
One Mile (NSW),--,--,28.3,17.5,13085
Lemon Tree Passage,--,--,25.8,5.8,12300
Mallabula,--,--,25.9,4.1,12455
Tanilba Bay,--,--,28.9,4.9,13748
Soldiers Point,--,--,22.4,10.2,13570
Corlette,--,--,20.1,13.4,11075
Taylors Beach (NSW),--,--,14.7,8.8,13777
Nelson Bay (NSW),--,--,24.8,9.1,12923
Fingal Bay,--,--,27.3,6.0,11518
Shoal Bay (NSW),--,--,32.8,5.3,13539
Raymond Terrace,--,--,25.6,5.8,13327
Tomago,--,--,40.3,4.8,13889
Heatherbrae,--,--,38.8,4.8,11884
Eagleton,--,--,8.8,17.6,11342
Duns Creek,--,--,9.5,20.3,11326
Seaham,--,--,8.1,20.6,13510
Wallalong,--,--,10.1,22.4,14104
Brandy Hill,--,--,12.4,26.4,10548
Hinton,--,--,10.6,23.4,11916
Butterwick,--,--,6.4,36.2,10725
Nelsons Plains,--,--,12.4,19.6,12924
Osterley (NSW),--,--,16.7,27.8,13099
Tea Gardens,--,--,26.6,4.6,13779
North Arm Cove,--,--,23.3,7.4,12979
Bundabah,--,--,36.6,7.3,10668
Pindimar,--,--,22.7,11.7,13211
Hawks Nest,--,--,34.0,4.9,11873
Karuah,--,--,34.0,4.1,12076
Medowie,--,--,11.7,16.2,12554
Williamtown,--,--,43.8,10.4,14299
Twelve Mile Creek,--,--,42.1,7.0,13988
Swan Bay (Port Stephens - NSW),--,--,21.1,7.8,13704
Muswellbrook,--,--,23.6,13.5,12868
Denman,--,--,24.5,11.4,11241
Gungal,--,--,26.2,7.7,11810
Martindale,--,--,23.5,5.9,12510
Castle Rock,--,--,20.0,26.7,10848
Aberdeen (NSW),--,--,21.3,10.8,10007
Wybong,--,--,0.0,9.4,14436
Muscle Creek,--,--,3.4,37.9,12867
Scone,--,--,22.1,13.4,13503
Middle Brook,--,--,15.9,20.6,12600
Dartbrook,--,--,0.0,24.3,11217
Segenhoe,--,--,8.0,30.0,13517
Rouchel,--,--,0.0,40.0,13422
Murrurundi,--,--,36.5,5.4,12864
Blandford,--,--,27.8,19.4,10406
Wingen,--,--,22.6,8.3,14331
Parkville (NSW),--,--,17.2,13.1,13154
Upper Dartbrook,--,--,18.8,33.3,14022
Gundy,--,--,13.3,16.7,11809
Moonan Flat,--,--,28.9,6.7,12697
Niangala,--,--,22.0,16.0,12962
Merriwa (NSW),--,--,28.7,7.4,12585
Moobi,--,--,0.0,21.1,12688
Dapto,--,--,22.8,8.1,11202
Kanahooka,--,--,22.0,9.9,12055
Koonawarra,--,--,27.2,4.1,12187
Avondale (NSW),--,--,25.9,11.7,10116
Marshall Mount,--,--,16.3,23.3,12507
Haywards Bay,--,--,8.6,21.1,11880
Brownsville,--,--,30.0,4.3,10612
Horsley,--,--,10.9,17.1,11942
Wongawilli,--,--,13.6,29.5,14374
Kembla Grange,--,--,15.7,27.1,12092
Port Kembla,--,--,29.6,8.8,13245
Coniston,--,--,26.8,7.3,11010
Unanderra,--,--,32.3,5.8,14008
Mount Kembla,--,--,10.2,35.4,12769
Kembla Heights,--,--,27.0,0.0,12093
Cordeaux Heights,--,--,8.9,31.9,11070
Farmborough Heights,--,--,12.1,18.7,11491
Berkeley,--,--,29.4,7.5,10303
Cringila,--,--,32.4,5.2,11116
Lake Heights,--,--,25.9,6.6,12248
Warrawong,--,--,39.8,3.5,14167
Windang,--,--,37.0,9.4,14316
Primbee,--,--,26.7,9.7,13264
Mount Keira,--,--,11.7,28.3,12768
Bulli,--,--,17.2,26.1,10662
Bargo,--,--,17.8,14.7,10198
Yerrinbool,--,--,16.5,12.0,14510
Wilton (NSW),--,--,6.6,33.7,14311
Pheasants Nest,--,--,9.2,27.0,13191
Albion Park,--,--,14.5,14.2,10025
Calderwood,--,--,13.5,30.8,10750
Tullimbar,--,--,10.5,18.5,13958
Yellow Rock (Shellharbour - NSW),--,--,12.2,36.7,14503
Albion Park Rail,--,--,21.7,7.9,10026
Kiama,--,--,22.3,15.0,12116
Kiama Heights,--,--,15.5,17.7,12118
Bombo,--,--,25.0,16.7,10458
Kiama Downs,--,--,13.7,20.3,12117
Minnamurra,--,--,19.6,20.0,12639
Jamberoo,--,--,13.1,23.6,11998
Werri Beach,--,--,18.8,16.5,14233
Gerroa,--,--,12.1,20.6,11607
Curramore (NSW),--,--,9.4,24.5,11174
Jerrara,--,--,8.3,27.8,12017
Toolijooa,--,--,26.1,13.0,13903
Foxground,--,--,24.5,20.4,11558
Flinders (NSW),--,--,13.2,18.1,11534
Shellharbour,--,--,19.6,14.2,13533
Shell Cove,--,--,8.1,27.8,13532
Barrack Point,--,--,26.2,16.2,10208
Dunmore (NSW),--,--,10.0,16.7,11323
Oak Flats,--,--,19.8,9.8,13053
Blackbutt (NSW),--,--,20.9,15.1,10391
Shellharbour City Centre,--,--,43.5,8.7,13534
Warilla,--,--,33.2,5.7,14151
Lake Illawarra,--,--,33.5,4.7,12250
Barrack Heights,--,--,26.0,8.5,10207
Mount Warrigal,--,--,22.2,8.2,12801
Fairy Meadow,--,--,27.0,10.0,11484
Balgownie,--,--,19.9,19.5,10155
Gwynneville,--,--,33.4,10.8,11825
North Wollongong,--,--,26.4,13.2,13017
Mount Ousley,--,--,14.0,22.3,12782
Mount Pleasant (NSW),--,--,9.7,33.6,12784
Tarrawanna,--,--,30.9,13.8,13769
Corrimal,--,--,25.2,11.1,11082
Towradgi,--,--,28.0,14.8,13929
Fernhill,--,--,36.1,10.1,11507
East Corrimal,--,--,23.8,11.1,11348
Bellambi,--,--,34.5,7.0,10264
West Wollongong,--,--,23.8,14.5,14255
Keiraville,--,--,24.5,16.3,12085
Figtree,--,--,18.4,19.4,11515
Helensburgh,--,--,10.5,25.0,11890
Otford,--,--,2.9,30.8,13101
Stanwell Park,--,--,9.9,38.1,13653
Stanwell Tops,--,--,7.1,29.3,13654
Thirroul,--,--,15.2,27.7,13848
Austinmer,--,--,11.2,29.8,10108
Coledale,--,--,13.9,31.0,10966
Wombarra,--,--,11.8,33.3,14363
Scarborough (NSW),--,--,7.0,32.6,13500
Coalcliff,--,--,7.3,40.0,10944
Woonona,--,--,21.2,19.4,14416
Russell Vale,--,--,19.1,14.5,13448
Wollongong,--,--,26.8,11.0,14358
Mount Saint Thomas,--,--,21.7,11.7,12791
Mangerton,--,--,22.3,23.4,12468
Bulahdelah,--,--,33.9,3.6,10649
Wards River,--,--,46.0,6.3,14147
Stroud Road,--,--,34.3,7.1,13679
Stroud,--,--,24.3,9.0,13677
Girvan,--,--,23.2,5.4,11637
Nerong,--,--,35.7,0.0,12929
Allworth,--,--,33.8,7.4,10041
Markwell,--,--,25.6,7.0,12493
Booral (NSW),--,--,11.0,10.2,10496
Limeburners Creek (Mid-Coast - NSW),--,--,20.0,9.0,12328
Forster (NSW),--,--,31.2,5.4,11550
Green Point (Mid-Coast - NSW),--,--,27.5,5.5,11755
Darawank,--,--,26.6,14.8,11203
Tarbuck Bay,--,--,35.0,5.0,13762
Nabiac,--,--,28.7,3.7,12885
Failford,--,--,34.6,3.8,11476
Coomba Park,--,--,42.0,1.3,11038
Smiths Lake,--,--,26.4,1.5,13563
Bungwahl,--,--,30.6,3.5,10687
Charlotte Bay,--,--,17.3,9.6,10887
Wootton,--,--,30.4,0.0,14417
Coolongolook,--,--,33.1,2.5,11032
Coomba Bay,--,--,34.6,7.7,11037
Minimbah,--,--,33.9,10.2,12636
Elizabeth Beach,--,--,20.7,12.2,11396
Blueys Beach,--,--,34.4,4.9,10420
Boomerang Beach,--,--,28.1,10.4,10487
Tuncurry,--,--,37.8,3.3,13969
South Kempsey,--,--,32.8,4.4,13588
West Kempsey,--,--,39.2,2.2,14247
Kempsey,--,--,42.4,2.3,12095
Frederickton,--,--,24.1,4.2,11561
Aldavilla,--,--,19.8,5.4,10028
Euroka,--,--,18.1,10.5,11464
Greenhill (NSW),--,--,28.3,5.8,11763
East Kempsey,--,--,29.2,5.9,11354
Verges Creek,--,--,16.7,5.6,14072
Yarravel,--,--,22.4,6.0,14483
Stuarts Point,--,--,44.3,1.6,13681
Barraganyatti,--,--,37.2,0.0,10209
Yarrahapinni,--,--,33.3,5.3,14474
Hat Head,--,--,35.7,8.5,11869
Kinchela,--,--,23.7,4.3,12140
Gladstone (NSW),--,--,34.8,2.2,11639
Smithtown,--,--,26.6,3.5,13564
Mungay Creek,--,--,36.8,0.0,12841
Willawarrin,--,--,23.2,10.7,14295
Temagog,--,--,39.2,0.0,13783
Turners Flat,--,--,28.3,6.5,13976
Millbank (NSW),--,--,48.6,0.0,12616
Hickeys Creek,--,--,29.3,0.0,11899
Belmore River,--,--,30.5,7.3,10280
Austral Eden,--,--,25.5,8.5,10110
Crescent Head,--,--,29.5,7.5,11114
Fishermans Reach,--,--,50.7,4.5,11524
Clybucca,--,--,15.0,7.5,10940
Bellimbopinni,--,--,25.7,8.6,10272
Collombatti,--,--,25.9,3.2,10979
Kundabung,--,--,15.3,8.0,12209
Sherwood (Kempsey - NSW),--,--,17.6,13.7,13537
Bellbrook,--,--,41.2,0.0,10270
Macksville,--,--,31.0,3.0,12430
North Macksville,--,--,31.5,2.3,12995
Way Way,--,--,19.3,14.5,14203
Scotts Head,--,--,34.4,3.4,13508
Gumma,--,--,24.5,4.8,11801
Nambucca Heads,--,--,41.0,2.9,12887
Hyland Park,--,--,24.1,9.5,11968
Bowraville,--,--,40.6,2.3,10537
Valla Beach,--,--,26.1,8.4,14068
South Arm (Nambucca - NSW),--,--,38.1,2.7,13575
Newee Creek,--,--,16.0,4.2,12952
Congarinni North,--,--,20.6,5.6,11006
Congarinni,--,--,22.4,9.2,11005
Talarm,--,--,27.2,3.7,13728
Warrell Creek,--,--,19.8,3.3,14170
Eungai Creek,--,--,33.6,2.3,11458
Eungai Rail,--,--,28.8,4.5,11459
Allgomera,--,--,34.1,0.0,10040
Utungun,--,--,15.2,0.0,14062
Upper Taylors Arm,--,--,41.5,7.5,14045
Taylors Arm,--,--,38.8,0.0,13776
Argents Hill,--,--,34.2,5.3,10079
Missabotti,--,--,28.6,3.1,12649
South West Rocks,--,--,30.4,4.3,13600
Arakoon,--,--,20.5,9.3,10069
Lord Howe Island,--,--,11.6,11.6,12387
Lake Cathie,--,--,22.5,8.1,12243
Bonny Hills,--,--,20.5,10.0,10470
North Haven (NSW),--,--,39.5,2.2,12992
Kendall,--,--,25.4,2.8,12096
West Haven,--,--,33.6,2.8,14245
Laurieton,--,--,42.1,1.9,12283
Kew (NSW),--,--,18.8,6.0,12109
Herons Creek,--,--,14.3,12.9,11897
Upsalls Creek,--,--,23.4,17.0,14049
Logans Crossing,--,--,20.0,14.5,12373
Lorne (NSW),--,--,24.7,11.2,12390
Lakewood,--,--,32.6,3.5,12259
Dunbogan,--,--,29.7,6.2,11310
Johns River,--,--,31.7,6.7,12037
Camden Head,--,--,29.8,7.0,10771
Port Macquarie,--,--,26.1,8.6,13246
Lake Innes,--,--,7.9,21.9,12251
Fernbank Creek,--,--,11.6,16.3,11505
Riverside (NSW),--,--,24.0,14.6,13367
Thrumster,--,--,10.3,15.1,13852
North Shore (NSW),--,--,29.6,3.2,13006
Telegraph Point,--,--,23.3,7.2,13781
Blackmans Point,--,--,33.3,5.6,10395
Gum Scrub,--,--,14.3,8.6,11797
Cooperabung,--,--,16.9,12.0,11046
Rollands Plains,--,--,18.8,6.2,13392
Upper Rollands Plains,--,--,44.1,0.0,14043
Frazers Creek,--,--,15.5,8.5,11560
Mortons Creek,--,--,20.0,8.9,12731
Brombin,--,--,18.2,12.1,10593
Long Flat (NSW),--,--,38.6,6.8,12377
Byabarra,--,--,15.6,8.3,10727
Ellenborough,--,--,24.5,0.0,11401
Comboyne,--,--,28.7,7.6,10992
Wauchope,--,--,29.6,3.7,14197
Rosewood (Port Macquarie-Hastings - NSW),--,--,8.8,13.2,13414
Beechwood,--,--,24.9,6.2,10248
Redbank (NSW),--,--,8.5,15.4,13336
Crosslands,--,--,16.9,8.1,11127
King Creek,--,--,13.3,19.1,12145
Sancrox,--,--,13.5,14.0,13471
Gloucester,--,--,34.1,4.5,11685
Craven,--,--,31.0,0.0,11107
Stratford (NSW),--,--,29.2,6.2,13672
Forbesdale,--,--,19.6,7.8,11539
Barrington (NSW),--,--,25.8,5.5,10216
Bowman,--,--,23.3,0.0,10531
Diamond Beach,--,--,24.6,6.9,11251
Manning Point,--,--,42.3,2.9,12478
Mitchells Island,--,--,23.5,3.4,12652
Oxley Island,--,--,24.4,12.8,13109
Old Bar,--,--,28.7,4.8,13073
Black Head,--,--,23.9,5.2,10384
Red Head,--,--,27.0,6.3,13329
Rainbow Flat,--,--,17.4,11.0,13305
Hallidays Point,--,--,17.0,10.3,11832
Wallabi Point,--,--,13.7,13.3,14099
Koorainghat,--,--,27.5,13.0,12191
Tallwoods Village,--,--,15.3,10.4,13737
Taree,--,--,35.7,3.5,13764
Cundletown,--,--,22.7,5.7,11161
Taree South,--,--,36.7,4.2,13765
Pampoolah,--,--,21.8,6.5,13142
Glenthorne,--,--,28.4,6.8,11680
Tinonee,--,--,25.3,4.0,13876
Harrington,--,--,34.6,3.1,11858
Wherrol Flat,--,--,28.7,0.0,14271
Coopernook,--,--,34.4,2.7,11047
Moto,--,--,26.2,7.1,12742
Moorland (NSW),--,--,35.0,2.5,12714
Hannam Vale,--,--,25.0,11.8,11849
Stewarts River,--,--,31.4,8.6,13659
Upper Lansdowne,--,--,22.5,2.6,14033
Lansdowne (Mid-Coast - NSW),--,--,31.0,2.7,12273
Kundle Kundle,--,--,23.2,0.0,12211
Killabakh,--,--,28.1,5.6,12128
Cedar Party,--,--,22.8,8.7,10870
Marlee,--,--,15.4,5.8,12494
Elands,--,--,63.2,0.0,11388
Bobin,--,--,37.0,0.0,10427
Mount George (NSW),--,--,41.0,3.0,12761
Killawarra (NSW),--,--,18.8,8.3,12132
Burrell Creek,--,--,33.3,9.2,10709
Bootawa,--,--,37.7,5.7,10504
Mondrook,--,--,14.6,12.5,12676
Hillville,--,--,30.5,6.3,11913
Kimbriki,--,--,10.6,0.0,12139
Belbora,--,--,26.3,10.5,10256
Krambach,--,--,36.4,4.9,12202
Possum Brush,--,--,22.7,20.5,13251
Dyers Crossing,--,--,27.4,2.6,11338
Firefly,--,--,25.3,10.1,11521
Coralville,--,--,32.4,0.0,11064
Wingham,--,--,30.1,3.3,14332
Thurgoona,--,--,11.2,12.8,13856
East Albury,--,--,21.3,13.2,11344
Wirlinga,--,--,14.7,26.5,14337
North Albury,--,--,31.1,4.9,12977
Lavington,--,--,31.3,4.1,12287
Glenroy (Albury - NSW),--,--,17.9,11.5,11678
Hamilton Valley,--,--,11.7,5.6,11842
Albury,--,--,22.1,16.1,10027
South Albury,--,--,36.0,6.6,13573
West Albury,--,--,27.6,10.9,14239
Splitters Creek,--,--,12.9,41.2,13610
Jindera,--,--,12.3,10.4,12032
Holbrook,--,--,29.6,7.3,11920
Table Top,--,--,8.2,26.6,13722
Little Billabong,--,--,8.8,14.7,12350
Gerogery,--,--,16.0,10.9,11605
Brocklesby,--,--,32.8,9.8,10584
Walla Walla,--,--,27.6,4.2,14097
Glenellen,--,--,17.8,17.8,11663
Burrumbuttock,--,--,21.1,8.8,10716
Walbundrie,--,--,23.2,7.1,14092
Morven (Greater Hume Shire - NSW),--,--,35.6,13.3,12737
Culcairn,--,--,26.0,5.3,11147
Henty (NSW),--,--,34.8,6.8,11892
Mullengandra,--,--,25.6,15.4,12823
Bowna,--,--,11.1,11.1,10534
Bungowannah,--,--,28.6,23.2,10686
Woomargama,--,--,31.7,18.3,14413
Springdale Heights,--,--,29.8,4.2,13622
Hay (NSW),--,--,29.3,6.4,11874
Hay South,--,--,25.7,11.5,11875
Gol Gol,--,--,16.0,16.3,11693
Buronga,--,--,23.3,8.8,10696
Wentworth (NSW),--,--,34.8,4.7,14225
Coomealla,--,--,26.4,7.9,11041
Dareton,--,--,40.0,1.8,11206
Curlwaa,--,--,26.4,9.6,11170
Euston,--,--,20.6,7.0,11468
Pomona (NSW),--,--,35.3,11.8,13240
Tooleybuc,--,--,24.7,0.0,13902
Balranald,--,--,28.0,3.0,10168
Corowa,--,--,28.0,5.3,11080
Mulwala,--,--,26.6,4.9,12830
Balldale,--,--,17.4,6.5,10159
Rand,--,--,31.4,4.3,13311
Oaklands,--,--,28.7,7.0,13059
Howlong,--,--,26.4,6.4,11950
Urana,--,--,37.3,5.9,14052
Deniliquin,--,--,28.6,8.1,11237
Mathoura,--,--,33.4,1.7,12522
Barham,--,--,39.3,3.6,10199
Wakool,--,--,31.5,9.9,14090
Moulamein,--,--,30.1,6.9,12743
Koraleigh,--,--,27.6,2.9,12195
Conargo,--,--,14.0,0.0,10998
Murray Downs,--,--,10.4,16.9,12852
Moama,--,--,23.8,8.5,12654
Blighty,--,--,27.5,5.9,10412
Barooga,--,--,21.6,6.5,10205
Tocumwal,--,--,34.4,5.6,13886
Finley,--,--,29.7,5.9,11520
Berrigan,--,--,35.1,4.3,10318
Jerilderie,--,--,23.6,5.2,12014
Armidale,--,--,24.5,10.5,10085
Guyra,--,--,27.7,2.8,11822
South Guyra,--,--,25.2,7.2,13586
Llangothlin,--,--,28.2,7.7,12364
Ben Lomond (NSW),--,--,21.6,9.8,10286
Black Mountain (NSW),--,--,15.2,17.4,10387
Thalgarrah,--,--,21.0,6.5,13810
Hillgrove (Armidale Regional - NSW),--,--,24.5,5.7,11907
Ebor,--,--,36.1,0.0,11372
Uralla (NSW),--,--,29.9,4.4,14051
Saumarez Ponds,--,--,10.7,17.4,13495
Invergowrie,--,--,15.0,9.9,11983
Arding,--,--,27.0,18.9,10075
Castle Doyle,--,--,8.2,22.4,10846
Dangarsleigh,--,--,14.9,21.3,11200
Kellys Plains,--,--,15.5,24.1,12087
Yarrowyck,--,--,36.6,9.8,14492
Kentucky,--,--,20.3,11.9,12102
Kentucky South,--,--,31.8,6.8,12103
Balala,--,--,31.6,13.2,10144
Rocky River (Uralla - NSW),--,--,31.9,3.2,13390
Walcha,--,--,28.3,9.0,14093
Woolbrook,--,--,36.7,6.1,14400
Nowendoc,--,--,13.3,11.1,13026
Yarrowitch,--,--,36.5,9.6,14491
Stonehenge (NSW),--,--,12.2,7.3,13665
Glen Innes,--,--,35.0,3.7,11649
Emmaville,--,--,39.7,2.0,11414
Deepwater (NSW),--,--,48.2,0.0,11231
Red Range,--,--,28.1,4.7,13333
Glencoe (NSW),--,--,31.0,13.8,11657
Inverell,--,--,28.5,5.9,11981
Ashford (NSW),--,--,39.4,1.4,10099
Tingha,--,--,30.9,1.6,13874
Yetman,--,--,40.6,6.2,14514
Bundarra,--,--,36.8,3.2,10671
Gilgai,--,--,26.6,1.4,11618
Bonshaw (NSW),--,--,35.5,9.7,10473
Bukkulla,--,--,22.2,11.1,10648
Oakwood (NSW),--,--,23.5,0.0,13061
Nullamanna,--,--,18.2,6.8,13032
Elsmore,--,--,58.1,0.0,11408
Bingara,--,--,38.5,2.3,10365
Gravesend,--,--,33.3,8.1,11742
Delungra,--,--,33.3,8.6,11234
Warialda,--,--,31.4,3.5,14149
Yallaroi,--,--,8.3,25.0,14456
Warialda Rail,--,--,50.0,6.5,14150
Upper Horton,--,--,35.4,0.0,14029
Tabulam,--,--,42.1,1.8,13723
Tenterfield,--,--,35.8,3.1,13792
Drake,--,--,56.2,0.0,11290
Liston,--,--,41.1,8.9,12346
Legume,--,--,50.9,12.3,12296
Urbenville,--,--,45.9,2.8,14057
Woodenbong,--,--,32.2,3.9,14382
Jennings,--,--,38.3,0.0,12008
Moree,--,--,23.2,10.4,12722
Pallamallawa,--,--,19.3,11.4,13131
Garah,--,--,27.9,9.3,11586
Ashley,--,--,16.5,11.9,10100
Boggabilla,--,--,34.0,3.2,10441
North Star,--,--,9.7,9.7,13008
Mungindi (NSW),--,--,24.5,7.8,12843
Gurley,--,--,25.4,7.9,11817
Biniguy,--,--,12.5,12.5,10369
Bellata,--,--,23.1,9.6,10266
Narrabri,--,--,22.3,11.7,12903
Wee Waa,--,--,29.3,7.9,14211
Merah North,--,--,15.7,19.6,12572
Maules Creek,--,--,35.1,10.8,12526
Baan Baa,--,--,29.8,8.8,10120
Tarriaro,--,--,8.6,28.6,13770
Bohena Creek,--,--,16.3,18.4,10444
Jacks Creek,--,--,24.0,10.0,11993
Gwabegar,--,--,40.4,5.8,11823
Gunnedah,--,--,24.4,12.9,11812
Curlewis (NSW),--,--,25.5,8.1,11169
Boggabri,--,--,26.8,8.1,10442
Carroll,--,--,25.3,13.2,10832
Breeza,--,--,6.1,22.4,10561
Spring Ridge,--,--,18.2,8.0,13619
Emerald Hill,--,--,25.6,16.3,11412
Mullaley,--,--,28.6,6.1,12820
Kelvin,--,--,11.5,11.5,12091
Werris Creek,--,--,36.6,4.1,14238
