,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%)
Coledale,118.0,157.0,44.0,0.0,37.0,49.2,13.8,0.0
Collaroy (NSW),1406.0,2032.0,489.0,52.0,35.3,51.1,12.3,1.3
Colyton,621.0,1044.0,488.0,43.0,28.3,47.5,22.2,2.0
Como (NSW),312.0,634.0,88.0,13.0,29.8,60.6,8.4,1.2
Concord,1200.0,2092.0,518.0,57.0,31.0,54.1,13.4,1.5
Concord West,453.0,892.0,193.0,20.0,29.1,57.3,12.4,1.3
Condell Park,707.0,1466.0,494.0,46.0,26.1,54.0,18.2,1.7
Coniston,223.0,228.0,95.0,12.0,40.0,40.9,17.0,2.2
Connells Point,248.0,428.0,78.0,4.0,32.7,56.5,10.3,0.5
Coogee (NSW),1633.0,1221.0,346.0,104.0,49.4,37.0,10.5,3.1
Cooks Hill,394.0,249.0,142.0,28.0,48.5,30.6,17.5,3.4
Copacabana,205.0,375.0,132.0,3.0,28.7,52.4,18.5,0.4
Cordeaux Heights,348.0,846.0,109.0,8.0,26.5,64.5,8.3,0.6
Corrimal,657.0,725.0,306.0,27.0,38.3,42.3,17.8,1.6
Cranebrook,1068.0,2129.0,816.0,42.0,26.3,52.5,20.1,1.0
Cremorne (NSW),1359.0,1018.0,269.0,69.0,50.1,37.5,9.9,2.5
Cremorne Point,285.0,188.0,41.0,13.0,54.1,35.7,7.8,2.5
Cringila,157.0,246.0,141.0,17.0,28.0,43.9,25.1,3.0
Cromer (NSW),614.0,1099.0,231.0,20.0,31.3,56.0,11.8,1.0
Cronulla,2217.0,1449.0,727.0,104.0,49.3,32.2,16.2,2.3
Croudace Bay,72.0,73.0,27.0,0.0,41.9,42.4,15.7,0.0
Crows Nest (NSW),557.0,328.0,121.0,34.0,53.6,31.5,11.6,3.3
Croydon (NSW),793.0,1406.0,385.0,69.0,29.9,53.0,14.5,2.6
Croydon Park (NSW),857.0,1488.0,512.0,52.0,29.5,51.2,17.6,1.8
Curl Curl,204.0,358.0,65.0,5.0,32.3,56.6,10.3,0.8
Currans Hill,349.0,756.0,255.0,23.0,25.2,54.7,18.4,1.7
Daceyville,84.0,66.0,96.0,10.0,32.8,25.8,37.5,3.9
Daleys Point,108.0,48.0,22.0,0.0,60.7,27.0,12.4,0.0
Dapto,1127.0,1273.0,581.0,57.0,37.1,41.9,19.1,1.9
Darling Point,586.0,258.0,95.0,23.0,60.9,26.8,9.9,2.4
Darlinghurst,1417.0,281.0,112.0,53.0,76.1,15.1,6.0,2.8
Darlington (Sydney - NSW),202.0,94.0,41.0,23.0,56.1,26.1,11.4,6.4
Davidson,246.0,393.0,72.0,4.0,34.4,55.0,10.1,0.6
Davistown,298.0,261.0,113.0,6.0,44.0,38.5,16.7,0.9
Dawes Point,92.0,36.0,11.0,3.0,64.8,25.4,7.7,2.1
Dean Park,166.0,465.0,165.0,10.0,20.6,57.7,20.5,1.2
Dee Why,2316.0,2113.0,813.0,133.0,43.1,39.3,15.1,2.5
Denistone,293.0,596.0,98.0,9.0,29.4,59.8,9.8,0.9
Denistone East,173.0,350.0,72.0,6.0,28.8,58.2,12.0,1.0
Denistone West,73.0,157.0,17.0,6.0,28.9,62.1,6.7,2.4
Dharruk,179.0,347.0,198.0,9.0,24.4,47.3,27.0,1.2
Dolans Bay,60.0,87.0,9.0,0.0,38.5,55.8,5.8,0.0
Dolls Point,206.0,183.0,98.0,10.0,41.4,36.8,19.7,2.0
Doonside,783.0,1668.0,973.0,56.0,22.5,47.9,28.0,1.6
Double Bay,562.0,341.0,152.0,44.0,51.1,31.0,13.8,4.0
Dover Heights,351.0,608.0,102.0,17.0,32.6,56.4,9.5,1.6
Drummoyne,1351.0,1210.0,327.0,68.0,45.7,40.9,11.1,2.3
Dudley,260.0,290.0,116.0,7.0,38.6,43.1,17.2,1.0
Dulwich Hill,1274.0,1368.0,594.0,101.0,38.2,41.0,17.8,3.0
Dundas (NSW),317.0,536.0,132.0,18.0,31.6,53.4,13.2,1.8
Dundas Valley,358.0,641.0,190.0,22.0,29.6,52.9,15.7,1.8
Dural (Hornsby - NSW),624.0,1116.0,228.0,20.0,31.4,56.1,11.5,1.0
Eagle Vale,344.0,828.0,331.0,20.0,22.6,54.4,21.7,1.3
Earlwood,1527.0,2494.0,718.0,58.0,31.8,52.0,15.0,1.2
East Gosford,457.0,340.0,206.0,18.0,44.8,33.3,20.2,1.8
East Hills,270.0,432.0,153.0,14.0,31.1,49.7,17.6,1.6
East Killara,228.0,485.0,99.0,5.0,27.9,59.4,12.1,0.6
East Lindfield,264.0,607.0,81.0,10.0,27.4,63.1,8.4,1.0
East Ryde,230.0,355.0,69.0,11.0,34.6,53.4,10.4,1.7
Eastern Creek,58.0,97.0,54.0,5.0,27.1,45.3,25.2,2.3
Eastlakes,504.0,856.0,350.0,47.0,28.7,48.7,19.9,2.7
Eastwood (NSW),1390.0,2216.0,604.0,116.0,32.1,51.2,14.0,2.7
Edensor Park,543.0,1539.0,462.0,43.0,21.0,59.5,17.9,1.7
Edgecliff,263.0,111.0,45.0,14.0,60.7,25.6,10.4,3.2
Edgeworth,664.0,714.0,358.0,22.0,37.8,40.6,20.4,1.3
Elanora Heights,332.0,625.0,107.0,6.0,31.0,58.4,10.0,0.6
Elderslie (Camden - NSW),413.0,606.0,188.0,14.0,33.8,49.6,15.4,1.1
Eleebana,662.0,816.0,143.0,8.0,40.6,50.1,8.8,0.5
Elermore Vale,544.0,663.0,228.0,15.0,37.5,45.7,15.7,1.0
Elizabeth Bay,760.0,141.0,63.0,19.0,77.3,14.3,6.4,1.9
Emerton,115.0,227.0,211.0,17.0,20.2,39.8,37.0,3.0
Empire Bay,234.0,301.0,97.0,5.0,36.7,47.3,15.2,0.8
Emu Heights (NSW),261.0,515.0,138.0,7.0,28.3,55.9,15.0,0.8
Emu Plains,848.0,1022.0,358.0,20.0,37.7,45.5,15.9,0.9
Enfield (NSW),204.0,364.0,136.0,12.0,28.5,50.8,19.0,1.7
Engadine,1623.0,2585.0,591.0,40.0,33.5,53.4,12.2,0.8
Enmore (Marrickville - NSW),380.0,264.0,103.0,23.0,49.4,34.3,13.4,3.0
Epping (NSW),1754.0,3085.0,667.0,137.0,31.1,54.7,11.8,2.4
Erina,544.0,437.0,158.0,11.0,47.3,38.0,13.7,1.0
Ermington,713.0,1296.0,456.0,43.0,28.4,51.7,18.2,1.7
Erskine Park,386.0,1138.0,240.0,15.0,21.7,64.0,13.5,0.8
Erskineville,1048.0,496.0,176.0,49.0,59.2,28.0,9.9,2.8
Eschol Park,187.0,379.0,148.0,5.0,26.0,52.7,20.6,0.7
Ettalong Beach,531.0,313.0,319.0,36.0,44.3,26.1,26.6,3.0
Fairfield (NSW),1016.0,2260.0,1095.0,133.0,22.6,50.2,24.3,3.0
Fairfield East,294.0,633.0,313.0,26.0,23.2,50.0,24.7,2.1
Fairfield Heights,389.0,868.0,428.0,47.0,22.5,50.1,24.7,2.7
Fairfield West,728.0,1508.0,602.0,51.0,25.2,52.2,20.8,1.8
Fairlight,710.0,626.0,172.0,19.0,46.5,41.0,11.3,1.2
Fairy Meadow,662.0,678.0,360.0,46.0,37.9,38.8,20.6,2.6
Farmborough Heights,384.0,645.0,141.0,12.0,32.5,54.6,11.9,1.0
Faulconbridge,397.0,567.0,164.0,13.0,34.8,49.7,14.4,1.1
Fennell Bay,196.0,149.0,90.0,7.0,44.3,33.7,20.4,1.6
Figtree,1093.0,1481.0,369.0,22.0,36.9,49.9,12.4,0.7
Five Dock,878.0,1146.0,348.0,54.0,36.2,47.2,14.3,2.2
Fletcher (NSW),199.0,489.0,67.0,0.0,26.4,64.8,8.9,0.0
Flinders (NSW),440.0,806.0,198.0,15.0,30.2,55.2,13.6,1.0
Floraville,127.0,242.0,58.0,7.0,29.3,55.8,13.4,1.6
Forest Lodge,299.0,217.0,74.0,19.0,49.1,35.6,12.2,3.1
Forestville (NSW),680.0,1183.0,253.0,26.0,31.7,55.2,11.8,1.2
Forresters Beach,272.0,335.0,108.0,5.0,37.8,46.5,15.0,0.7
Frenchs Forest,1118.0,2220.0,394.0,24.0,29.8,59.1,10.5,0.6
Garden Suburb,199.0,270.0,75.0,5.0,36.2,49.2,13.7,0.9
Gateshead,297.0,361.0,292.0,18.0,30.7,37.3,30.2,1.9
Georges Hall,721.0,1216.0,360.0,29.0,31.0,52.3,15.5,1.2
Georgetown (NSW),208.0,214.0,121.0,14.0,37.3,38.4,21.7,2.5
Girraween (NSW),356.0,725.0,193.0,24.0,27.4,55.9,14.9,1.8
Gladesville,1020.0,1402.0,391.0,59.0,35.5,48.8,13.6,2.1
Glebe (NSW),1231.0,625.0,460.0,92.0,51.1,26.0,19.1,3.8
Glen Alpine,370.0,751.0,100.0,12.0,30.0,60.9,8.1,1.0
Glenbrook,443.0,760.0,158.0,9.0,32.3,55.5,11.5,0.7
Glendale (NSW),344.0,387.0,174.0,15.0,37.4,42.1,18.9,1.6
Glendenning,262.0,857.0,226.0,11.0,19.3,63.2,16.7,0.8
Glenfield (NSW),600.0,1020.0,345.0,32.0,30.0,51.1,17.3,1.6
Glenhaven,583.0,988.0,144.0,6.0,33.9,57.4,8.4,0.3
Glenmore Park,1417.0,3417.0,730.0,51.0,25.2,60.9,13.0,0.9
Glenning Valley,193.0,300.0,92.0,3.0,32.8,51.0,15.6,0.5
Glenwood (NSW),872.0,2750.0,421.0,27.0,21.4,67.6,10.3,0.7
Gordon (NSW),597.0,977.0,222.0,32.0,32.7,53.4,12.1,1.8
Gorokan,795.0,710.0,545.0,34.0,38.1,34.1,26.2,1.6
Gosford,442.0,160.0,163.0,19.0,56.4,20.4,20.8,2.4
Granville (NSW),1028.0,1672.0,624.0,103.0,30.0,48.8,18.2,3.0
Grays Point,257.0,471.0,75.0,4.0,31.8,58.4,9.3,0.5
Green Point (Great Lakes - NSW),81.0,72.0,15.0,0.0,48.2,42.9,8.9,0.0
Green Valley (NSW),597.0,1984.0,600.0,40.0,18.5,61.6,18.6,1.2
Greenacre,1207.0,3266.0,1102.0,72.0,21.4,57.8,19.5,1.3
Greenfield Park,270.0,773.0,231.0,22.0,20.8,59.6,17.8,1.7
Greenwich,584.0,624.0,148.0,32.0,42.1,45.0,10.7,2.3
Greystanes,1995.0,3155.0,965.0,99.0,32.1,50.8,15.5,1.6
Guildford (NSW),1169.0,2514.0,962.0,128.0,24.5,52.7,20.2,2.7
Guildford West,303.0,608.0,236.0,23.0,25.9,52.0,20.2,2.0
Gwynneville,227.0,266.0,111.0,23.0,36.2,42.4,17.7,3.7
Gymea,794.0,879.0,334.0,36.0,38.9,43.0,16.3,1.8
Gymea Bay,587.0,1142.0,189.0,14.0,30.4,59.1,9.8,0.7
Haberfield,544.0,952.0,230.0,35.0,30.9,54.1,13.1,2.0
Halekulani,299.0,249.0,121.0,10.0,44.0,36.7,17.8,1.5
Hamilton (NSW),410.0,338.0,188.0,39.0,42.1,34.7,19.3,4.0
Hamilton East,89.0,124.0,28.0,3.0,36.5,50.8,11.5,1.2
Hamilton North,72.0,88.0,61.0,4.0,32.0,39.1,27.1,1.8
Hamilton South,347.0,416.0,208.0,22.0,34.9,41.9,20.9,2.2
Hammondville,259.0,403.0,142.0,9.0,31.9,49.6,17.5,1.1
Harrington Park,524.0,1335.0,225.0,11.0,25.0,63.7,10.7,0.5
Harris Park,504.0,580.0,155.0,61.0,38.8,44.6,11.9,4.7
Hassall Grove,199.0,738.0,194.0,8.0,17.5,64.8,17.0,0.7
Haymarket,455.0,167.0,69.0,112.0,56.7,20.8,8.6,13.9
Heathcote (NSW),511.0,910.0,178.0,22.0,31.5,56.1,11.0,1.4
Hebersham,331.0,677.0,426.0,27.0,22.7,46.3,29.2,1.8
Heckenberg,145.0,310.0,249.0,14.0,20.2,43.2,34.7,1.9
Henley,37.0,72.0,9.0,0.0,31.4,61.0,7.6,0.0
Highfields (NSW),104.0,135.0,38.0,5.0,36.9,47.9,13.5,1.8
Hillsborough (Lake Macquarie - NSW),53.0,99.0,36.0,4.0,27.6,51.6,18.8,2.1
Hillsdale,400.0,619.0,289.0,38.0,29.7,46.0,21.5,2.8
Hinchinbrook (NSW),555.0,1756.0,496.0,31.0,19.6,61.9,17.5,1.1
Holmesville,133.0,195.0,58.0,8.0,33.8,49.5,14.7,2.0
Holsworthy,315.0,808.0,157.0,11.0,24.4,62.6,12.2,0.9
Homebush (NSW),487.0,753.0,209.0,40.0,32.7,50.6,14.0,2.7
Homebush West,604.0,696.0,240.0,46.0,38.1,43.9,15.1,2.9
Horningsea Park,193.0,651.0,130.0,7.0,19.7,66.4,13.3,0.7
Hornsby,1937.0,2567.0,883.0,103.0,35.3,46.8,16.1,1.9
Hornsby Heights,521.0,1037.0,201.0,16.0,29.4,58.4,11.3,0.9
Horsley,588.0,1129.0,267.0,13.0,29.4,56.5,13.4,0.7
Hoxton Park,238.0,721.0,172.0,14.0,20.8,63.0,15.0,1.2
Hunters Hill,699.0,1171.0,237.0,22.0,32.8,55.0,11.1,1.0
Huntleys Point,18.0,22.0,3.0,0.0,41.9,51.2,7.0,0.0
Hurlstone Park,458.0,626.0,223.0,24.0,34.4,47.0,16.8,1.8
Hurstville,2402.0,3236.0,1181.0,221.0,34.1,46.0,16.8,3.1
Hurstville Grove,195.0,396.0,66.0,12.0,29.1,59.2,9.9,1.8
Illawong,590.0,1250.0,201.0,16.0,28.7,60.8,9.8,0.8
Ingleburn,1106.0,1878.0,783.0,62.0,28.9,49.0,20.4,1.6
Ingleside,94.0,168.0,31.0,3.0,31.8,56.8,10.5,1.0
Islington,183.0,111.0,116.0,23.0,42.3,25.6,26.8,5.3
Jamisontown,525.0,589.0,260.0,20.0,37.7,42.3,18.7,1.4
Jannali,488.0,810.0,255.0,25.0,30.9,51.3,16.2,1.6
Jesmond,180.0,197.0,118.0,21.0,34.9,38.2,22.9,4.1
Jewells,368.0,404.0,115.0,9.0,41.1,45.1,12.8,1.0
Kahibah,235.0,239.0,102.0,5.0,40.4,41.1,17.6,0.9
Kanahooka,654.0,604.0,171.0,16.0,45.3,41.8,11.8,1.1
Kangaroo Point (NSW),66.0,92.0,12.0,0.0,38.8,54.1,7.1,0.0
Kanwal,348.0,391.0,212.0,12.0,36.1,40.6,22.0,1.2
Kareela,386.0,522.0,82.0,4.0,38.8,52.5,8.2,0.4
Kariong,432.0,988.0,302.0,13.0,24.9,56.9,17.4,0.7
Kearns,161.0,451.0,117.0,8.0,21.8,61.2,15.9,1.1
Keiraville,320.0,310.0,98.0,23.0,42.6,41.3,13.0,3.1
Kellyville,1323.0,3669.0,543.0,48.0,23.7,65.7,9.7,0.9
Kembla Grange,21.0,29.0,11.0,0.0,34.4,47.5,18.0,0.0
Kensington (NSW),1024.0,920.0,300.0,119.0,43.3,38.9,12.7,5.0
Kilaben Bay,178.0,181.0,53.0,3.0,42.9,43.6,12.8,0.7
Killara (NSW),780.0,1384.0,280.0,38.0,31.4,55.8,11.3,1.5
Killarney Heights,382.0,745.0,132.0,10.0,30.1,58.7,10.4,0.8
Killarney Vale,668.0,729.0,488.0,33.0,34.8,38.0,25.4,1.7
Kincumber,697.0,780.0,331.0,18.0,38.2,42.7,18.1,1.0
Kincumber South,123.0,34.0,20.0,0.0,69.5,19.2,11.3,0.0
Kings Langley,832.0,1505.0,319.0,19.0,31.1,56.3,11.9,0.7
Kings Park (NSW),327.0,509.0,142.0,7.0,33.2,51.7,14.4,0.7
Kingsford (NSW),1124.0,1399.0,456.0,176.0,35.6,44.3,14.5,5.6
Kingsgrove,1018.0,1712.0,508.0,56.0,30.9,52.0,15.4,1.7
Kingswood (Tamworth - NSW),146.0,153.0,30.0,4.0,43.8,45.9,9.0,1.2
Kirrawee,881.0,1168.0,392.0,31.0,35.6,47.2,15.9,1.3
Kirribilli,586.0,177.0,58.0,21.0,69.6,21.0,6.9,2.5
Kogarah,1248.0,1550.0,493.0,95.0,36.9,45.8,14.6,2.8
Kogarah Bay,177.0,317.0,74.0,10.0,30.6,54.8,12.8,1.7
Koolewong,105.0,84.0,34.0,3.0,46.5,37.2,15.0,1.3
Koonawarra,321.0,384.0,306.0,16.0,31.3,37.4,29.8,1.6
Kotara,433.0,515.0,174.0,12.0,38.2,45.4,15.3,1.1
