,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%)
Winston Hills,1150.0,1666.0,368.0,22.0,35.9,52.0,11.5,0.7
Wollongong,1903.0,1047.0,628.0,124.0,51.4,28.3,17.0,3.3
Wollstonecraft,1232.0,629.0,187.0,79.0,57.9,29.6,8.8,3.7
Wombarra,93.0,117.0,30.0,0.0,38.8,48.8,12.5,0.0
Woodbine (NSW),238.0,366.0,127.0,14.0,31.9,49.1,17.0,1.9
Woodcroft (NSW),398.0,1173.0,190.0,16.0,22.4,66.0,10.7,0.9
Woodpark,105.0,199.0,63.0,8.0,28.0,53.1,16.8,2.1
Woodrising,94.0,154.0,83.0,5.0,28.0,45.8,24.7,1.5
Woollahra,828.0,671.0,231.0,44.0,46.7,37.8,13.0,2.5
Woolloomooloo,416.0,105.0,146.0,20.0,60.6,15.3,21.3,2.9
Woolooware,381.0,603.0,154.0,11.0,33.2,52.5,13.4,1.0
Woolwich,98.0,90.0,19.0,3.0,46.7,42.9,9.0,1.4
Woonona,1126.0,1427.0,545.0,40.0,35.9,45.5,17.4,1.3
Woronora,206.0,344.0,79.0,3.0,32.6,54.4,12.5,0.5
Woronora Heights,179.0,572.0,61.0,3.0,22.0,70.2,7.5,0.4
Woy Woy,1066.0,922.0,606.0,52.0,40.3,34.8,22.9,2.0
Woy Woy Bay,59.0,50.0,12.0,0.0,48.8,41.3,9.9,0.0
Wyoming,935.0,1046.0,580.0,38.0,36.0,40.2,22.3,1.5
Wyong,358.0,302.0,263.0,27.0,37.7,31.8,27.7,2.8
Wyongah,178.0,251.0,98.0,9.0,33.2,46.8,18.3,1.7
Yagoona,992.0,2141.0,781.0,71.0,24.9,53.7,19.6,1.8
Yarrawarrah,269.0,524.0,69.0,3.0,31.1,60.6,8.0,0.3
Yattalunga (NSW),57.0,69.0,25.0,7.0,36.1,43.7,15.8,4.4
Yennora,90.0,148.0,62.0,11.0,28.9,47.6,19.9,3.5
Yowie Bay,299.0,508.0,80.0,12.0,33.3,56.5,8.9,1.3
Zetland,550.0,242.0,98.0,46.0,58.8,25.9,10.5,4.9
