,Male,Female,Male (%),Female (%),SSC_CODE
Kahibah,--,--,24.0,76.0,12048
Elermore Vale,--,--,13.2,86.8,11394
Nords Wharf,--,--,26.2,73.8,12975
Valentine,--,--,12.8,87.2,14065
Speers Point,--,--,26.1,73.9,13605
Teralba,--,--,24.7,75.3,13793
Brightwaters,--,--,6.7,93.3,10570
Wyee Point,--,--,9.5,90.5,14439
Kilaben Bay,--,--,26.8,73.2,12125
Balmoral (Lake Macquarie - NSW),--,--,10.7,89.3,10166
Merewether,--,--,23.6,76.4,12573
Carrington (Newcastle - NSW),--,--,24.5,75.5,10830
Wickham (NSW),--,--,32.7,67.3,14285
Tighes Hill,--,--,13.4,86.6,13863
Skennars Head,--,--,9.4,90.6,13554
East Wardell,--,--,47.4,52.6,11365
Possum Creek,--,--,64.3,35.7,13252
South Lismore,--,--,26.0,74.0,13589
Girards Hill,--,--,21.8,78.2,11631
Koonorigan,--,--,46.7,53.3,12188
Dunoon,--,--,8.1,91.9,11325
Hillston,--,--,30.6,69.4,11912
Cambewarra Village,--,--,10.3,89.7,10764
Milton (NSW),--,--,23.4,76.6,12630
Fishermans Paradise,--,--,36.0,64.0,11523
Burradoo,--,--,10.2,89.8,10701
Kurrajong,--,--,28.1,71.9,12218
Kurmond,--,--,32.4,67.6,12215
Oakville,--,--,29.3,70.7,13060
Pagewood,--,--,21.3,78.7,13125
Daceyville,--,--,4.0,96.0,11185
Enmore (Inner West - NSW),--,--,11.0,89.0,11425
Eveleigh,--,--,5.6,94.4,11471
Chippendale,--,--,4.5,95.5,10907
Tamarama,--,--,32.0,68.0,13741
Peakhurst Heights,--,--,25.3,74.7,13169
Beverley Park,--,--,27.1,72.9,10330
Dolls Point,--,--,12.4,87.6,11267
Burwood Heights,--,--,10.5,89.5,10719
Middle Cove,--,--,38.7,61.3,12602
Brooklyn (NSW),--,--,32.1,67.9,10599
Kurraba Point,--,--,11.6,88.4,12217
Elanora Heights,--,--,25.2,74.8,11389
Ingleside,--,--,42.4,57.6,11979
Bardia,--,--,5.0,95.0,10194
Kentlyn,--,--,34.6,65.4,12101
Cambridge Gardens,--,--,8.4,91.6,10767
Llandilo,--,--,37.8,62.2,12363
Claremont Meadows,--,--,10.9,89.1,10918
Luddenham,--,--,37.3,62.7,12419
Berkshire Park,--,--,39.5,60.5,10305
Old Guildford,--,--,5.4,94.6,13077
Cheltenham (NSW),--,--,33.8,66.2,10896
Catherine Field,--,--,30.3,69.7,10856
Carnes Hill,--,--,6.5,93.5,10820
Cartwright,--,--,8.2,91.8,10838
Woolooware,--,--,24.8,75.2,14410
