,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%)
Croydon Park (NSW),488.0,1531.0,1248.0,473.0,126.0,12.6,39.6,32.3,12.2,3.3
Curl Curl,44.0,250.0,354.0,116.0,21.0,5.6,31.8,45.1,14.8,2.7
Currans Hill,33.0,501.0,796.0,244.0,21.0,2.1,31.4,49.9,15.3,1.3
Daceyville,198.0,201.0,64.0,15.0,46.0,37.8,38.4,12.2,2.9,8.8
Daleys Point,15.0,107.0,90.0,36.0,11.0,5.8,41.3,34.7,13.9,4.2
Dapto,333.0,1453.0,1423.0,605.0,121.0,8.5,36.9,36.2,15.4,3.1
Darling Point,251.0,966.0,492.0,100.0,68.0,13.4,51.5,26.2,5.3,3.6
Darlinghurst,2172.0,1982.0,410.0,57.0,126.0,45.8,41.8,8.6,1.2,2.7
Darlington (Sydney - NSW),267.0,372.0,107.0,27.0,19.0,33.7,47.0,13.5,3.4,2.4
Davidson,3.0,141.0,409.0,206.0,8.0,0.4,18.4,53.3,26.9,1.0
Davistown,63.0,392.0,323.0,136.0,30.0,6.7,41.5,34.2,14.4,3.2
Dawes Point,43.0,106.0,64.0,11.0,10.0,18.4,45.3,27.4,4.7,4.3
Dean Park,49.0,281.0,372.0,183.0,28.0,5.4,30.8,40.7,20.0,3.1
Dee Why,1054.0,4218.0,2354.0,566.0,245.0,12.5,50.0,27.9,6.7,2.9
Denistone,49.0,413.0,491.0,163.0,18.0,4.3,36.4,43.3,14.4,1.6
Denistone East,35.0,230.0,312.0,104.0,15.0,5.0,33.0,44.8,14.9,2.2
Denistone West,7.0,100.0,137.0,45.0,8.0,2.4,33.7,46.1,15.2,2.7
Dharruk,79.0,296.0,281.0,123.0,31.0,9.8,36.5,34.7,15.2,3.8
Dolans Bay,0.0,31.0,79.0,55.0,4.0,0.0,18.3,46.7,32.5,2.4
Dolls Point,88.0,413.0,252.0,47.0,30.0,10.6,49.8,30.4,5.7,3.6
Doonside,569.0,1518.0,1250.0,576.0,177.0,13.9,37.1,30.6,14.1,4.3
Double Bay,338.0,977.0,488.0,96.0,68.0,17.2,49.7,24.8,4.9,3.5
Dover Heights,83.0,352.0,582.0,278.0,38.0,6.2,26.4,43.7,20.9,2.9
Drummoyne,423.0,2016.0,1582.0,364.0,104.0,9.4,44.9,35.2,8.1,2.3
Dudley,23.0,258.0,374.0,157.0,18.0,2.8,31.1,45.1,18.9,2.2
Dulwich Hill,904.0,2657.0,1233.0,252.0,129.0,17.5,51.3,23.8,4.9,2.5
Dundas (NSW),100.0,477.0,496.0,169.0,31.0,7.9,37.5,39.0,13.3,2.4
Dundas Valley,194.0,546.0,626.0,214.0,56.0,11.9,33.4,38.3,13.1,3.4
Dural (Hornsby - NSW),78.0,556.0,948.0,698.0,41.0,3.4,24.0,40.8,30.1,1.8
Eagle Vale,84.0,496.0,700.0,398.0,36.0,4.9,28.9,40.8,23.2,2.1
Earlwood,541.0,2114.0,2006.0,899.0,176.0,9.4,36.9,35.0,15.7,3.1
East Gosford,320.0,803.0,468.0,123.0,76.0,17.9,44.9,26.1,6.9,4.2
East Hills,143.0,383.0,395.0,214.0,30.0,12.3,32.9,33.9,18.4,2.6
