,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%)
Stanmore (NSW),627.0,1549.0,662.0,173.0,79.0,20.3,50.1,21.4,5.6,2.6
Stockton (NSW),216.0,578.0,452.0,185.0,56.0,14.5,38.9,30.4,12.4,3.8
Strathfield (NSW),1407.0,2747.0,2021.0,1048.0,257.0,18.8,36.7,27.0,14.0,3.4
Strathfield South,98.0,418.0,391.0,150.0,19.0,9.1,38.8,36.3,13.9,1.8
Summer Hill (Ashfield - NSW),583.0,1420.0,540.0,105.0,66.0,21.5,52.3,19.9,3.9,2.4
Surry Hills,3267.0,2824.0,591.0,64.0,209.0,47.0,40.6,8.5,0.9,3.0
Sutherland (NSW),533.0,2223.0,1160.0,274.0,120.0,12.4,51.6,26.9,6.4,2.8
Swansea (NSW),274.0,922.0,527.0,234.0,98.0,13.3,44.9,25.6,11.4,4.8
Swansea Heads,11.0,64.0,101.0,50.0,5.0,4.8,27.7,43.7,21.6,2.2
Sydenham (NSW),76.0,191.0,91.0,24.0,6.0,19.6,49.2,23.5,6.2,1.5
Sydney,3171.0,1753.0,256.0,29.0,144.0,59.2,32.7,4.8,0.5,2.7
Sylvania,289.0,1114.0,1390.0,644.0,121.0,8.1,31.3,39.1,18.1,3.4
Sylvania Waters,35.0,290.0,466.0,260.0,22.0,3.3,27.0,43.4,24.2,2.1
Tacoma,3.0,68.0,86.0,74.0,3.0,1.3,29.1,36.8,31.6,1.3
Tacoma South,0.0,21.0,30.0,31.0,3.0,0.0,24.7,35.3,36.5,3.5
Tamarama,77.0,252.0,156.0,19.0,16.0,14.8,48.5,30.0,3.7,3.1
Taren Point,48.0,262.0,226.0,97.0,27.0,7.3,39.7,34.2,14.7,4.1
Tarrawanna,88.0,298.0,244.0,115.0,30.0,11.4,38.5,31.5,14.8,3.9
Tascott,31.0,233.0,242.0,56.0,19.0,5.3,40.1,41.7,9.6,3.3
Tempe,182.0,524.0,313.0,97.0,40.0,15.7,45.3,27.1,8.4,3.5
Teralba,59.0,216.0,179.0,104.0,12.0,10.4,37.9,31.4,18.2,2.1
Terrey Hills,20.0,187.0,413.0,284.0,19.0,2.2,20.3,44.7,30.8,2.1
Terrigal,224.0,1411.0,1596.0,621.0,113.0,5.6,35.6,40.3,15.7,2.8
The Entrance,319.0,834.0,348.0,84.0,96.0,19.0,49.6,20.7,5.0,5.7
The Entrance North,45.0,247.0,170.0,71.0,29.0,8.0,44.0,30.2,12.6,5.2
The Hill,76.0,342.0,279.0,65.0,30.0,9.6,43.2,35.2,8.2,3.8
The Junction,95.0,245.0,224.0,75.0,19.0,14.4,37.2,34.0,11.4,2.9
Thirroul,164.0,722.0,787.0,289.0,52.0,8.1,35.8,39.1,14.3,2.6
Thornleigh,151.0,973.0,1129.0,373.0,50.0,5.6,36.4,42.2,13.9,1.9
Tighes Hill,83.0,308.0,190.0,48.0,30.0,12.6,46.7,28.8,7.3,4.6
Tingira Heights,14.0,183.0,320.0,137.0,10.0,2.1,27.6,48.2,20.6,1.5
Toongabbie (NSW),372.0,1743.0,1510.0,605.0,128.0,8.5,40.0,34.6,13.9,2.9
Toowoon Bay,38.0,112.0,64.0,27.0,16.0,14.8,43.6,24.9,10.5,6.2
Toronto,254.0,906.0,621.0,259.0,83.0,12.0,42.7,29.3,12.2,3.9
Toukley,294.0,756.0,470.0,159.0,114.0,16.4,42.2,26.2,8.9,6.4
Towradgi,157.0,434.0,398.0,166.0,50.0,13.0,36.0,33.0,13.8,4.1
Tregear,240.0,512.0,283.0,90.0,100.0,19.6,41.8,23.1,7.3,8.2
Tuggerah,22.0,168.0,121.0,35.0,16.0,6.1,46.4,33.4,9.7,4.4
Tuggerawong,45.0,171.0,157.0,69.0,18.0,9.8,37.2,34.1,15.0,3.9
Tumbi Umbi,95.0,612.0,641.0,339.0,45.0,5.5,35.3,37.0,19.6,2.6
Turramurra,220.0,1305.0,1552.0,612.0,62.0,5.9,34.8,41.4,16.3,1.7
Turrella,47.0,171.0,149.0,78.0,18.0,10.2,36.9,32.2,16.8,3.9
Ultimo,1388.0,951.0,153.0,26.0,66.0,53.7,36.8,5.9,1.0,2.6
Umina Beach,787.0,2705.0,1886.0,640.0,270.0,12.5,43.0,30.0,10.2,4.3
Unanderra,349.0,901.0,612.0,216.0,107.0,16.0,41.2,28.0,9.9,4.9
Valentine (NSW),32.0,524.0,952.0,432.0,31.0,1.6,26.6,48.3,21.9,1.6
Valley Heights,21.0,146.0,212.0,100.0,8.0,4.3,30.0,43.5,20.5,1.6
Vaucluse,200.0,1014.0,1221.0,534.0,87.0,6.5,33.2,40.0,17.5,2.8
Villawood,399.0,649.0,383.0,192.0,121.0,22.9,37.2,22.0,11.0,6.9
Voyager Point,0.0,58.0,208.0,98.0,3.0,0.0,15.8,56.7,26.7,0.8
Wahroonga,220.0,1707.0,2373.0,937.0,98.0,4.1,32.0,44.5,17.6,1.8
Waitara,429.0,1348.0,347.0,69.0,55.0,19.1,60.0,15.4,3.1,2.4
Wakeley,83.0,391.0,518.0,331.0,30.0,6.1,28.9,38.3,24.5,2.2
Wallsend,566.0,1853.0,1592.0,609.0,195.0,11.8,38.5,33.1,12.6,4.0
Wamberal,89.0,600.0,968.0,427.0,54.0,4.2,28.1,45.3,20.0,2.5
Warabrook,44.0,284.0,263.0,124.0,25.0,5.9,38.4,35.5,16.8,3.4
Waratah (NSW),302.0,776.0,483.0,181.0,60.0,16.8,43.1,26.8,10.0,3.3
Waratah West,107.0,423.0,310.0,150.0,41.0,10.4,41.0,30.1,14.5,4.0
Wareemba,60.0,235.0,191.0,68.0,15.0,10.5,41.3,33.6,12.0,2.6
Warilla,368.0,1068.0,690.0,264.0,115.0,14.7,42.6,27.5,10.5,4.6
Warners Bay,204.0,1192.0,1058.0,449.0,89.0,6.8,39.8,35.4,15.0,3.0
Warrawee,31.0,285.0,401.0,188.0,9.0,3.4,31.2,43.9,20.6,1.0
Warrawong,464.0,769.0,348.0,181.0,102.0,24.9,41.3,18.7,9.7,5.5
Warriewood,47.0,591.0,975.0,320.0,41.0,2.4,29.9,49.4,16.2,2.1
Warrimoo,43.0,272.0,320.0,157.0,16.0,5.3,33.7,39.6,19.4,2.0
Warwick Farm,464.0,740.0,285.0,67.0,110.0,27.9,44.4,17.1,4.0,6.6
Watanobbi,127.0,525.0,418.0,174.0,59.0,9.7,40.3,32.1,13.4,4.5
Waterloo (NSW),1926.0,2004.0,484.0,78.0,324.0,40.0,41.6,10.0,1.6,6.7
Watsons Bay,25.0,98.0,92.0,38.0,9.0,9.5,37.4,35.1,14.5,3.4
Wattle Grove (NSW),47.0,756.0,1258.0,439.0,43.0,1.8,29.7,49.5,17.3,1.7
Waverley (NSW),355.0,752.0,343.0,63.0,49.0,22.7,48.1,22.0,4.0,3.1
Waverton,191.0,743.0,276.0,40.0,21.0,15.0,58.5,21.7,3.1,1.7
Wentworthville,518.0,1687.0,989.0,316.0,122.0,14.3,46.4,27.2,8.7,3.4
Werrington,189.0,652.0,396.0,149.0,55.0,13.1,45.2,27.5,10.3,3.8
Werrington County,32.0,337.0,528.0,283.0,27.0,2.7,27.9,43.7,23.4,2.2
Werrington Downs,30.0,280.0,462.0,260.0,12.0,2.9,26.8,44.3,24.9,1.1
West Gosford,137.0,309.0,117.0,32.0,26.0,22.1,49.8,18.8,5.2,4.2
West Hoxton,28.0,414.0,1242.0,661.0,57.0,1.2,17.2,51.7,27.5,2.4
West Pennant Hills,141.0,1091.0,2320.0,1388.0,80.0,2.8,21.7,46.2,27.6,1.6
West Pymble,69.0,435.0,810.0,309.0,24.0,4.2,26.4,49.2,18.8,1.5
West Ryde,672.0,2171.0,1154.0,406.0,104.0,14.9,48.2,25.6,9.0,2.3
West Wallsend,45.0,210.0,215.0,135.0,20.0,7.2,33.6,34.4,21.6,3.2
West Wollongong,195.0,712.0,571.0,180.0,54.0,11.4,41.6,33.4,10.5,3.2
Westleigh,28.0,366.0,748.0,313.0,5.0,1.9,25.1,51.2,21.4,0.3
Westmead,849.0,2788.0,936.0,204.0,126.0,17.3,56.9,19.1,4.2,2.6
Wetherill Park,112.0,551.0,664.0,450.0,43.0,6.2,30.3,36.5,24.7,2.4
Whalan,397.0,761.0,468.0,168.0,116.0,20.8,39.8,24.5,8.8,6.1
Whitebridge,32.0,275.0,391.0,193.0,24.0,3.5,30.1,42.7,21.1,2.6
Wickham (NSW),59.0,179.0,142.0,35.0,14.0,13.8,41.7,33.1,8.2,3.3
Wiley Park,472.0,1421.0,697.0,252.0,149.0,15.8,47.5,23.3,8.4,5.0
Willmot,151.0,296.0,205.0,68.0,53.0,19.5,38.3,26.5,8.8,6.9
Willoughby (NSW),182.0,998.0,697.0,177.0,47.0,8.7,47.5,33.2,8.4,2.2
Willoughby East,21.0,193.0,262.0,58.0,13.0,3.8,35.3,47.9,10.6,2.4
Windale,324.0,530.0,214.0,82.0,82.0,26.3,43.0,17.4,6.7,6.7
Windang,135.0,586.0,283.0,96.0,66.0,11.6,50.3,24.3,8.2,5.7
Winmalee,76.0,647.0,999.0,482.0,37.0,3.4,28.9,44.6,21.5,1.7
Winston Hills,195.0,1109.0,1741.0,652.0,73.0,5.2,29.4,46.2,17.3,1.9
Wollongong,1456.0,3346.0,1756.0,517.0,297.0,19.8,45.4,23.8,7.0,4.0
Wollstonecraft,610.0,2087.0,847.0,146.0,59.0,16.3,55.7,22.6,3.9,1.6
Wombarra,12.0,112.0,134.0,50.0,8.0,3.8,35.4,42.4,15.8,2.5
Woodbine (NSW),28.0,281.0,310.0,201.0,25.0,3.3,33.3,36.7,23.8,3.0
Woodcroft (NSW),61.0,558.0,795.0,364.0,40.0,3.4,30.7,43.7,20.0,2.2
Woodpark,18.0,139.0,185.0,79.0,3.0,4.2,32.8,43.6,18.6,0.7
Woodrising,10.0,129.0,177.0,71.0,9.0,2.5,32.6,44.7,17.9,2.3
Woollahra,547.0,1463.0,784.0,167.0,123.0,17.7,47.4,25.4,5.4,4.0
Woolloomooloo,783.0,687.0,153.0,25.0,55.0,46.0,40.3,9.0,1.5,3.2
Woolooware,108.0,521.0,611.0,224.0,44.0,7.2,34.5,40.5,14.9,2.9
Woolwich,18.0,92.0,108.0,59.0,3.0,6.4,32.9,38.6,21.1,1.1
Woonona,431.0,1575.0,1615.0,571.0,116.0,10.0,36.6,37.5,13.3,2.7
Woronora,28.0,160.0,346.0,170.0,13.0,3.9,22.3,48.3,23.7,1.8
Woronora Heights,6.0,99.0,407.0,320.0,8.0,0.7,11.8,48.5,38.1,1.0
Woy Woy,852.0,2007.0,981.0,279.0,219.0,19.6,46.3,22.6,6.4,5.0
Woy Woy Bay,7.0,47.0,62.0,33.0,4.0,4.6,30.7,40.5,21.6,2.6
Wyoming,433.0,1581.0,1131.0,426.0,134.0,11.7,42.7,30.5,11.5,3.6
Wyong,293.0,694.0,366.0,138.0,78.0,18.7,44.2,23.3,8.8,5.0
Wyongah,38.0,212.0,290.0,119.0,18.0,5.6,31.3,42.8,17.6,2.7
Yagoona,576.0,1809.0,1555.0,733.0,179.0,11.9,37.3,32.0,15.1,3.7
Yarrawarrah,19.0,181.0,443.0,296.0,7.0,2.0,19.1,46.8,31.3,0.7
Yattalunga (NSW),4.0,59.0,90.0,27.0,5.0,2.2,31.9,48.6,14.6,2.7
Yennora,127.0,138.0,114.0,48.0,17.0,28.6,31.1,25.7,10.8,3.8
Yowie Bay,40.0,247.0,471.0,262.0,40.0,3.8,23.3,44.4,24.7,3.8
Zetland,237.0,952.0,391.0,51.0,18.0,14.4,57.7,23.7,3.1,1.1
