,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Ettalong Beach,748,74,,107,,&nbsp;,302,829,,,50,,57,,,,,,,,,,,,,,49.6,4.9,,7.1,,&nbsp;,20.0,55.0,,,3.3,,3.8,,,,,,,,,,,,,
Fairfield,"2,869",359,,723,,&nbsp;,"1,035","3,233",,,144,,101,,,,,,,,,,,,,,56.7,7.1,,14.3,,&nbsp;,20.5,63.9,,,2.8,,2.0,,,,,,,,,,,,,
Fairfield East,893,126,,181,30,&nbsp;,275,"1,025",,,28,,,,,,,,,,,,,,,,57.1,8.1,,11.6,1.9,&nbsp;,17.6,65.6,,,1.8,,,,,,,,,,,,,,,
Fairfield Heights,"1,185",163,,155,,&nbsp;,311,"1,347",35,,,,59,,,,,,,,,,,,,,59.4,8.2,,7.8,,&nbsp;,15.6,67.5,1.8,,,,3.0,,,,,,,,,,,,,
Fairfield West,"2,568",263,,206,,&nbsp;,493,"2,842",73,,,,97,,,,,,,,,,,,,,65.7,6.7,,5.3,,&nbsp;,12.6,72.7,1.9,,,,2.5,,,,,,,,,,,,,
Fairlight,"1,291",107,,,,&nbsp;,915,"1,407",413,271,152,,,,,,,,,,,,,,,,41.3,3.4,,,,&nbsp;,29.2,45.0,13.2,8.7,4.9,,,,,,,,,,,,,,,
Fairy Meadow,"1,653",154,,90,,&nbsp;,275,"1,818",116,,84,,,,,,,,,,,,,,,,61.0,5.7,,3.3,,&nbsp;,10.1,67.0,4.3,,3.1,,,,,,,,,,,,,,,
Farmborough Heights,"1,434",109,,21,22,&nbsp;,72,"1,556",23,,,,,,,,,,,,,,,,,,70.3,5.3,,1.0,1.1,&nbsp;,3.5,76.2,1.1,,,,,,,,,,,,,,,,,
Faulconbridge,"1,221",78,52,175,,&nbsp;,263,"1,307",,,26,,,,,,,,,,,,,,,,60.0,3.8,2.6,8.6,,&nbsp;,12.9,64.1,,,1.3,,,,,,,,,,,,,,,
Fennell Bay,420,26,7,5,,&nbsp;,20,450,8,,,,,,,,,,,,,,,,,,70.5,4.4,1.2,0.8,,&nbsp;,3.4,75.4,1.3,,,,,,,,,,,,,,,,,
Figtree,"3,258",298,,71,,&nbsp;,224,"3,568",53,,73,,,,,,,,,,,,,,,,67.8,6.2,,1.5,,&nbsp;,4.7,74.3,1.1,,1.5,,,,,,,,,,,,,,,
Five Dock,"2,522",189,,,,&nbsp;,845,"2,721",594,,128,,72,,,,,,,,,,,,,,55.4,4.2,,,,&nbsp;,18.6,59.8,13.1,,2.8,,1.6,,,,,,,,,,,,,
Fletcher,"1,062",86,,,10,&nbsp;,13,"1,160",11,,,,,11,,,,,,,,,,,,,74.6,6.0,,,0.7,&nbsp;,0.9,81.3,0.8,,,,,0.8,,,,,,,,,,,,
Flinders,"1,808",116,,23,14,&nbsp;,57,"1,931",16,,,,,,,,,,,,,,,,,,74.6,4.8,,0.9,0.6,&nbsp;,2.3,79.6,0.7,,,,,,,,,,,,,,,,,
Floraville,573,45,,,6,&nbsp;,8,620,6,,,,,3,,,,,,,,,,,,,74.4,5.8,,,0.8,&nbsp;,1.0,80.4,0.8,,,,,0.4,,,,,,,,,,,,
Forest Lodge,486,,,,,&nbsp;,480,543,337,,245,89,88,,,,,,,,,,,,,,29.2,,,,,&nbsp;,28.8,32.6,20.2,,14.7,5.3,5.3,,,,,,,,,,,,,
Forestville,"2,036",130,,,,&nbsp;,548,"2,171",385,,87,,62,,,,,,,,,,,,,,57.9,3.7,,,,&nbsp;,15.6,61.7,10.9,,2.5,,1.8,,,,,,,,,,,,,
Forresters Beach,868,54,21,15,,&nbsp;,64,924,17,,,,,,,,,,,,,,,,,,69.3,4.3,1.7,1.2,,&nbsp;,5.1,73.9,1.4,,,,,,,,,,,,,,,,,
Frenchs Forest,"3,905",250,,,,&nbsp;,819,"4,170",565,,139,,80,,,,,,,,,,,,,,59.7,3.8,,,,&nbsp;,12.5,63.8,8.6,,2.1,,1.2,,,,,,,,,,,,,
Garden Suburb,713,45,,,8,&nbsp;,25,760,11,,,7,,,,,,,,,,,,,,,73.7,4.7,,,0.8,&nbsp;,2.6,78.7,1.1,,,0.7,,,,,,,,,,,,,,
Gateshead,831,93,,,27,&nbsp;,45,934,33,,26,,,,,,,,,,,,,,,,67.0,7.5,,,2.2,&nbsp;,3.6,75.2,2.7,,2.1,,,,,,,,,,,,,,,
Georges Hall,"2,447",172,87,124,74,&nbsp;,357,"2,629",,,,,,,,,,,,,,,,,,,67.6,4.8,2.4,3.4,2.0,&nbsp;,9.9,72.6,,,,,,,,,,,,,,,,,,
Georgetown,675,69,,,,&nbsp;,28,748,14,,46,19,,,,,,,,,,,,,,,65.2,6.7,,,,&nbsp;,2.7,72.1,1.4,,4.4,1.8,,,,,,,,,,,,,,
Girraween,"1,108",101,,375,,&nbsp;,504,"1,212",,,30,,51,,,,,,,,,,,,,,54.4,5.0,,18.4,,&nbsp;,24.7,59.5,,,1.5,,2.5,,,,,,,,,,,,,
Gladesville,"3,081",170,,,,&nbsp;,"1,210","3,258",911,,180,,115,,,,,,,,,,,,,,54.2,3.0,,,,&nbsp;,21.3,57.3,16.0,,3.2,,2.0,,,,,,,,,,,,,
Glebe,"1,554",,,,,&nbsp;,"1,692","1,727","1,099",,"1,078",251,279,,,,,,,,,,,,,,26.6,,,,,&nbsp;,29.0,29.6,18.8,,18.5,4.3,4.8,,,,,,,,,,,,,
Glen Alpine,"1,612",151,53,192,34,&nbsp;,323,"1,774",,,,,,,,,,,,,,,,,,,63.9,6.0,2.1,7.6,1.3,&nbsp;,12.8,70.3,,,,,,,,,,,,,,,,,,
Glenbrook,"1,528",115,38,262,,&nbsp;,349,"1,645",,,48,,,,,,,,,,,,,,,,58.7,4.4,1.5,10.1,,&nbsp;,13.4,63.2,,,1.8,,,,,,,,,,,,,,,
Glendale,998,88,,,17,&nbsp;,44,"1,088",,,20,,,18,,,,,,,,,,,,,70.7,6.2,,,1.2,&nbsp;,3.1,77.1,,,1.4,,,1.3,,,,,,,,,,,,
Glendenning,"1,528",161,69,137,,&nbsp;,402,"1,692",,,,,77,,,,,,,,,,,,,,63.4,6.7,2.9,5.7,,&nbsp;,16.7,70.2,,,,,3.2,,,,,,,,,,,,,
Glenfield,"1,789",159,63,733,,&nbsp;,988,"1,960",,,,,76,,,,,,,,,,,,,,51.2,4.6,1.8,21.0,,&nbsp;,28.3,56.1,,,,,2.2,,,,,,,,,,,,,
Glenhaven,"2,121",125,41,,,&nbsp;,255,"2,254",106,,,,,,39,,,,,,,,,,,,66.8,3.9,1.3,,,&nbsp;,8.0,71.0,3.3,,,,,,1.2,,,,,,,,,,,
Glenmore Park,"7,603",563,294,413,123,&nbsp;,"1,042","8,194",,,,,,,,,,,,,,,,,,,69.2,5.1,2.7,3.8,1.1,&nbsp;,9.5,74.6,,,,,,,,,,,,,,,,,,
Glenning Valley,690,54,9,19,17,&nbsp;,52,752,,,,,,,,,,,,,,,,,,,66.8,5.2,0.9,1.8,1.6,&nbsp;,5.0,72.8,,,,,,,,,,,,,,,,,,
Glenwood,"4,868",368,,178,,&nbsp;,"1,292","5,249",680,,,,161,,,,,,,,,,,,,,62.5,4.7,,2.3,,&nbsp;,16.6,67.4,8.7,,,,2.1,,,,,,,,,,,,,
Gordon,"1,328",91,30,733,,&nbsp;,864,"1,422",,,97,,,,,,,,,,,,,,,,44.4,3.0,1.0,24.5,,&nbsp;,28.9,47.6,,,3.2,,,,,,,,,,,,,,,
Gorokan,"1,867",189,,41,47,&nbsp;,166,"2,064",49,,,,,,,,,,,,,,,,,,66.1,6.7,,1.5,1.7,&nbsp;,5.9,73.1,1.7,,,,,,,,,,,,,,,,,
Gosford,790,102,,303,,&nbsp;,451,904,52,,155,,,,,,,,,,,,,,,,44.5,5.7,,17.1,,&nbsp;,25.4,50.9,2.9,,8.7,,,,,,,,,,,,,,,
Granville,"2,628",334,,"1,339",,&nbsp;,"1,815","2,974",,,228,,224,,,,,,,,,,,,,,45.7,5.8,,23.3,,&nbsp;,31.5,51.7,,,4.0,,3.9,,,,,,,,,,,,,
Grays Point,973,66,58,72,,&nbsp;,179,"1,043",,,,,14,,,,,,,,,,,,,,62.6,4.2,3.7,4.6,,&nbsp;,11.5,67.2,,,,,0.9,,,,,,,,,,,,,
Green Point,172,12,,,3,&nbsp;,3,190,3,,,,,,,3,,,,,,,,,,,70.5,4.9,,,1.2,&nbsp;,1.2,78.2,1.2,,,,,,,1.2,,,,,,,,,,
Green Valley,"3,453",388,125,171,,&nbsp;,578,"3,866",133,,,,,,,,,,,,,,,,,,66.3,7.5,2.4,3.3,,&nbsp;,11.1,74.3,2.6,,,,,,,,,,,,,,,,,
Greenacre,"4,852",475,,357,159,&nbsp;,892,"5,342",,,,,183,,,,,,,,,,,,,,63.8,6.2,,4.7,2.1,&nbsp;,11.7,70.2,,,,,2.4,,,,,,,,,,,,,
Greenfield Park,"1,276",120,42,99,,&nbsp;,274,"1,405",53,,,,,,,,,,,,,,,,,,66.0,6.2,2.2,5.1,,&nbsp;,14.2,72.7,2.7,,,,,,,,,,,,,,,,,
Greenwich,"1,088",91,,285,,&nbsp;,813,"1,184",306,,193,,,,,,,,,,,,,,,,39.1,3.3,,10.2,,&nbsp;,29.2,42.6,11.0,,6.9,,,,,,,,,,,,,,,
Greystanes,"6,678",538,192,358,,&nbsp;,"1,060","7,234",191,,,,,,,,,,,,,,,,,,66.3,5.3,1.9,3.6,,&nbsp;,10.5,71.8,1.9,,,,,,,,,,,,,,,,,
Guildford,"3,720",475,,920,141,&nbsp;,"1,378","4,222",,,,,159,,,,,,,,,,,,,,55.6,7.1,,13.8,2.1,&nbsp;,20.6,63.1,,,,,2.4,,,,,,,,,,,,,
Guildford West,"1,054",100,,98,,&nbsp;,253,"1,156",56,,,,48,,,,,,,,,,,,,,60.7,5.8,,5.6,,&nbsp;,14.6,66.6,3.2,,,,2.8,,,,,,,,,,,,,
Gwynneville,528,90,,27,,&nbsp;,106,618,66,,102,,,,,,,,,,,,,,,,50.6,8.6,,2.6,,&nbsp;,10.1,59.1,6.3,,9.8,,,,,,,,,,,,,,,
Gymea,"2,167",156,40,603,,&nbsp;,719,"2,327",,,128,,,,,,,,,,,,,,,,57.3,4.1,1.1,15.9,,&nbsp;,19.0,61.5,,,3.4,,,,,,,,,,,,,,,
Gymea Bay,"2,236",140,79,302,,&nbsp;,438,"2,388",,,40,,,,,,,,,,,,,,,,63.3,4.0,2.2,8.5,,&nbsp;,12.4,67.6,,,1.1,,,,,,,,,,,,,,,
Haberfield,"1,635",127,,100,,&nbsp;,569,"1,759",352,,84,,,,,,,,,,,,,,,,53.0,4.1,,3.2,,&nbsp;,18.5,57.1,11.4,,2.7,,,,,,,,,,,,,,,
Halekulani,582,46,,,18,&nbsp;,40,635,14,,16,,,,,,,,,,,,,,,,68.4,5.4,,,2.1,&nbsp;,4.7,74.6,1.6,,1.9,,,,,,,,,,,,,,,
Hamilton,"1,155",99,,,,&nbsp;,142,"1,260",79,,174,62,,,,,,,,,,,,,,,56.3,4.8,,,,&nbsp;,6.9,61.4,3.9,,8.5,3.0,,,,,,,,,,,,,,
Hamilton East,272,28,,,9,&nbsp;,24,294,15,,36,,,,,,,,,,,,,,,,59.5,6.1,,,2.0,&nbsp;,5.3,64.6,3.3,,7.9,,,,,,,,,,,,,,,
Hamilton North,329,21,,,,&nbsp;,27,359,14,,15,17,,,,,,,,,,,,,,,67.8,4.3,,,,&nbsp;,5.6,74.0,2.9,,3.1,3.5,,,,,,,,,,,,,,
Hamilton South,936,96,,,,&nbsp;,69,"1,034",37,,74,35,,,,,,,,,,,,,,,61.3,6.3,,,,&nbsp;,4.5,67.8,2.4,,4.8,2.3,,,,,,,,,,,,,,
Hammondville,920,57,39,100,,&nbsp;,200,973,,,36,,,,,,,,,,,,,,,,63.9,4.0,2.7,6.9,,&nbsp;,13.9,67.7,,,2.5,,,,,,,,,,,,,,,
Harrington Park,"2,834",177,110,82,47,&nbsp;,260,"3,014",,,,,,,,,,,,,,,,,,,71.7,4.5,2.8,2.1,1.2,&nbsp;,6.6,76.3,,,,,,,,,,,,,,,,,,
Harris Park,911,,,629,,&nbsp;,908,"1,011",111,,175,,108,,,,,,,,,,,,,,38.8,,,26.8,,&nbsp;,38.7,43.1,4.7,,7.5,,4.6,,,,,,,,,,,,,
Hassall Grove,"1,281",125,56,110,,&nbsp;,302,"1,413",,,,,59,,,,,,,,,,,,,,64.5,6.3,2.8,5.5,,&nbsp;,15.2,71.1,,,,,3.0,,,,,,,,,,,,,
Haymarket,199,,,365,,&nbsp;,942,242,449,,892,,68,,,,,,,,,,,,,,8.3,,,15.2,,&nbsp;,39.1,10.0,18.6,,37.0,,2.8,,,,,,,,,,,,,
Heathcote,"1,819",119,40,307,,&nbsp;,403,"1,949",,,45,,,,,,,,,,,,,,,,60.0,3.9,1.3,10.1,,&nbsp;,13.3,64.4,,,1.5,,,,,,,,,,,,,,,
Hebersham,"1,193",173,,104,,&nbsp;,269,"1,372",,,32,,64,,,,,,,,,,,,,,60.0,8.7,,5.2,,&nbsp;,13.5,69.1,,,1.6,,3.2,,,,,,,,,,,,,
Heckenberg,549,81,,17,,&nbsp;,99,630,34,,,,27,,,,,,,,,,,,,,64.3,9.5,,2.0,,&nbsp;,11.6,73.8,4.0,,,,3.2,,,,,,,,,,,,,
Henley,148,8,,,,&nbsp;,33,150,17,5,,,,,,,,,,4,,,,,,,62.4,3.4,,,,&nbsp;,14.0,63.8,7.2,2.1,,,,,,,,,,1.7,,,,,,
Highfields,378,27,,,,&nbsp;,12,404,9,,,4,,5,,,,,,,,,,,,,72.8,5.2,,,,&nbsp;,2.3,77.5,1.7,,,0.8,,1.0,,,,,,,,,,,,
Hillsborough,268,9,,4,3,&nbsp;,4,281,,,,3,,,,,,,,,,,,,,,75.9,2.5,,1.1,0.8,&nbsp;,1.1,79.8,,,,0.8,,,,,,,,,,,,,,
Hillsdale,"1,193",132,,,,&nbsp;,595,"1,328",466,,156,,63,,,,,,,,,,,,,,48.9,5.4,,,,&nbsp;,24.4,54.4,19.1,,6.4,,2.6,,,,,,,,,,,,,
Hinchinbrook,"3,256",303,101,147,,&nbsp;,522,"3,568",121,,,,,,,,,,,,,,,,,,67.5,6.3,2.1,3.0,,&nbsp;,10.8,74.0,2.5,,,,,,,,,,,,,,,,,
Holmesville,487,34,,,9,&nbsp;,11,524,,,10,5,,,,,,,,,,,,,,,73.6,5.1,,,1.4,&nbsp;,1.7,79.3,,,1.5,0.8,,,,,,,,,,,,,,
Holsworthy,"1,480",118,46,451,,&nbsp;,591,"1,604",,,204,,,,,,,,,,,,,,,,52.1,4.2,1.6,15.9,,&nbsp;,20.8,56.4,,,7.2,,,,,,,,,,,,,,,
Homebush,"1,252",109,,910,,&nbsp;,"1,149","1,368",,,105,,119,,,,,,,,,,,,,,41.7,3.6,,30.3,,&nbsp;,38.3,45.6,,,3.5,,4.0,,,,,,,,,,,,,
Homebush West,"1,267",131,,871,,&nbsp;,"1,084","1,400",,,96,,107,,,,,,,,,,,,,,43.6,4.5,,30.0,,&nbsp;,37.3,48.2,,,3.3,,3.7,,,,,,,,,,,,,
Horningsea Park,"1,249",91,41,81,28,&nbsp;,195,"1,349",,,,,,,,,,,,,,,,,,,69.5,5.1,2.3,4.5,1.6,&nbsp;,10.8,75.1,,,,,,,,,,,,,,,,,,
Hornsby,"4,017",349,,"2,773",,&nbsp;,"3,532","4,376",,,725,,299,,,,,,,,,,,,,,39.3,3.4,,27.1,,&nbsp;,34.6,42.8,,,7.1,,2.9,,,,,,,,,,,,,
Hornsby Heights,"1,837",102,178,241,,&nbsp;,674,"1,949",,,,,119,,,,,,,,,,,,,,55.2,3.1,5.4,7.2,,&nbsp;,20.3,58.6,,,,,3.6,,,,,,,,,,,,,
Horsley,"2,440",211,,66,30,&nbsp;,140,"2,670",,,,,,27,,,,,,,,,,,,,70.5,6.1,,1.9,0.9,&nbsp;,4.0,77.1,,,,,,0.8,,,,,,,,,,,,
Hoxton Park,"1,329",114,48,61,,&nbsp;,228,"1,450",48,,,,,,,,,,,,,,,,,,68.0,5.8,2.5,3.1,,&nbsp;,11.7,74.2,2.5,,,,,,,,,,,,,,,,,
Hunters Hill,"2,137",130,,,,&nbsp;,626,"2,264",387,94,109,,,,,,,,,,,,,,,,56.3,3.4,,,,&nbsp;,16.5,59.7,10.2,2.5,2.9,,,,,,,,,,,,,,,
Huntleys Point,43,5,,,,&nbsp;,7,49,5,,,,,3,,,,,,,,3,,,,,55.8,6.5,,,,&nbsp;,9.0,63.6,6.5,,,,,3.9,,,,,,,,3.9,,,,
Hurlstone Park,"1,100",93,,458,,&nbsp;,684,"1,199",85,,,,72,,,,,,,,,,,,,,47.1,4.0,,19.6,,&nbsp;,29.3,51.4,3.6,,,,3.1,,,,,,,,,,,,,
Hurstville,"4,935",526,,"3,415",,&nbsp;,"4,243","5,473",,,626,,371,,,,,,,,,,,,,,42.1,4.5,,29.1,,&nbsp;,36.2,46.7,,,5.3,,3.2,,,,,,,,,,,,,
Hurstville Grove,673,62,26,141,,&nbsp;,233,733,,,,,27,,,,,,,,,,,,,,57.2,5.3,2.2,12.0,,&nbsp;,19.8,62.3,,,,,2.3,,,,,,,,,,,,,
Illawong,"2,737",167,213,169,52,&nbsp;,491,"2,912",,,,,,,,,,,,,,,,,,,65.3,4.0,5.1,4.0,1.2,&nbsp;,11.7,69.4,,,,,,,,,,,,,,,,,,
Ingleburn,"3,558",280,,"1,104",,&nbsp;,"1,554","3,848",,,140,,155,,,,,,,,,,,,,,55.1,4.3,,17.1,,&nbsp;,24.1,59.6,,,2.2,,2.4,,,,,,,,,,,,,
Ingleside,336,21,,,26,&nbsp;,19,358,10,,26,,,,,,,,,,,,,,,,57.9,3.6,,,4.5,&nbsp;,3.3,61.9,1.7,,4.5,,,,,,,,,,,,,,,
Islington,561,49,,,,&nbsp;,75,609,31,,49,26,,,,,,,,,,,,,,,59.8,5.2,,,,&nbsp;,8.0,65.0,3.3,,5.2,2.8,,,,,,,,,,,,,,
Jamisontown,"1,807",125,,130,54,&nbsp;,263,"1,941",,,60,,,,,,,,,,,,,,,,66.7,4.6,,4.8,2.0,&nbsp;,9.7,71.7,,,2.2,,,,,,,,,,,,,,,
Jannali,"1,461",80,,664,,&nbsp;,760,"1,544",,,45,,29,,,,,,,,,,,,,,50.8,2.8,,23.1,,&nbsp;,26.4,53.7,,,1.6,,1.0,,,,,,,,,,,,,
Jesmond,531,55,,,,&nbsp;,67,583,56,,50,16,,,,,,,,,,,,,,,57.8,6.0,,,,&nbsp;,7.3,63.6,6.1,,5.4,1.7,,,,,,,,,,,,,,
Jewells,"1,016",67,,,20,&nbsp;,26,"1,092",17,,30,,,,,,,,,,,,,,,,70.9,4.7,,,1.4,&nbsp;,1.8,76.2,1.2,,2.1,,,,,,,,,,,,,,,
Kahibah,691,53,,,,&nbsp;,22,750,14,,8,14,,,,,,,,,,,,,,,70.6,5.4,,,,&nbsp;,2.2,76.6,1.4,,0.8,1.4,,,,,,,,,,,,,,
Kanahooka,"1,516",101,,26,23,&nbsp;,73,"1,619",24,,,,,,,,,,,,,,,,,,72.4,4.8,,1.2,1.1,&nbsp;,3.5,77.3,1.1,,,,,,,,,,,,,,,,,
Kangaroo Point,200,20,,8,9,&nbsp;,24,220,,,,,7,,,,,,,,,,,,,,66.7,6.7,,2.7,3.0,&nbsp;,8.0,73.3,,,,,2.3,,,,,,,,,,,,,
Kanwal,881,84,25,23,,&nbsp;,83,967,,,25,,,,,,,,,,,,,,,,65.7,6.3,1.9,1.7,,&nbsp;,6.2,72.1,,,1.9,,,,,,,,,,,,,,,
Kareela,"1,084",53,62,95,,&nbsp;,226,"1,138",,,,,27,,,,,,,,,,,,,,64.8,3.2,3.7,5.7,,&nbsp;,13.5,68.1,,,,,1.6,,,,,,,,,,,,,
Kariong,"2,034",180,78,59,,&nbsp;,254,"2,229",38,,,,,,,,,,,,,,,,,,64.6,5.7,2.5,1.9,,&nbsp;,8.1,70.8,1.2,,,,,,,,,,,,,,,,,
Kearns,"1,046",97,40,77,,&nbsp;,159,"1,146",,,,,22,,,,,,,,,,,,,,66.9,6.2,2.6,4.9,,&nbsp;,10.2,73.3,,,,,1.4,,,,,,,,,,,,,
Keiraville,783,83,,,,&nbsp;,84,867,36,,102,28,,,,,,,,,,,,,,,57.4,6.1,,,,&nbsp;,6.2,63.5,2.6,,7.5,2.1,,,,,,,,,,,,,,
Kellyville,"7,154",457,,,110,&nbsp;,"1,092","7,628",655,,,,,,103,,,,,,,,,,,,67.7,4.3,,,1.0,&nbsp;,10.3,72.1,6.2,,,,,,1.0,,,,,,,,,,,
Kembla Grange,79,5,3,0,,&nbsp;,3,87,,,7,,,,,,,,,,,,,,,,68.1,4.3,2.6,0.0,,&nbsp;,2.5,73.7,,,6.0,,,,,,,,,,,,,,,
Kensington,"2,074",240,,,,&nbsp;,"1,757","2,316","1,367",,540,,234,,,,,,,,,,,,,,36.2,4.2,,,,&nbsp;,30.7,40.4,23.8,,9.4,,4.1,,,,,,,,,,,,,
Kilaben Bay,487,29,,,12,&nbsp;,26,514,11,,,,,6,,,,,,,,,,,,,71.5,4.3,,,1.8,&nbsp;,3.8,75.6,1.6,,,,,0.9,,,,,,,,,,,,
Killara,"1,955",174,105,836,,&nbsp;,"1,091","2,134",,,81,,,,,,,,,,,,,,,,46.8,4.2,2.5,20.0,,&nbsp;,26.1,51.1,,,1.9,,,,,,,,,,,,,,,
Killarney Heights,"1,157",92,,,,&nbsp;,292,"1,248",189,,37,,27,,,,,,,,,,,,,,56.7,4.5,,,,&nbsp;,14.3,61.2,9.3,,1.8,,1.3,,,,,,,,,,,,,
Killarney Vale,"1,926",170,,,43,&nbsp;,122,"2,105",37,,58,,,,,,,,,,,,,,,,67.8,6.0,,,1.5,&nbsp;,4.3,74.1,1.3,,2.0,,,,,,,,,,,,,,,
Kincumber,"1,824",131,76,43,,&nbsp;,203,"1,961",,,51,,,,,,,,,,,,,,,,65.1,4.7,2.7,1.5,,&nbsp;,7.3,70.1,,,1.8,,,,,,,,,,,,,,,
Kincumber South,105,11,7,9,,&nbsp;,16,115,,,7,,,,,,,,,,,,,,,,60.0,6.3,4.0,5.1,,&nbsp;,9.1,65.0,,,4.0,,,,,,,,,,,,,,,
Kings Langley,"3,295",181,140,225,,&nbsp;,676,"3,485",138,,,,,,,,,,,,,,,,,,65.5,3.6,2.8,4.5,,&nbsp;,13.4,69.3,2.7,,,,,,,,,,,,,,,,,
Kings Park,"1,225",80,46,125,31,&nbsp;,241,"1,303",,,,,,,,,,,,,,,,,,,66.7,4.4,2.5,6.8,1.7,&nbsp;,13.1,71.0,,,,,,,,,,,,,,,,,,
Kingsford,"2,400",265,,,,&nbsp;,"1,871","2,675","1,462",,556,,249,,,,,,,,,,,,,,38.9,4.3,,,,&nbsp;,30.3,43.3,23.7,,9.0,,4.0,,,,,,,,,,,,,
Kingsgrove,"2,810",245,,780,,&nbsp;,"1,086","3,064",103,,,,86,,,,,,,,,,,,,,56.3,4.9,,15.6,,&nbsp;,21.8,61.4,2.1,,,,1.7,,,,,,,,,,,,,
Kingswood,399,37,,,25,&nbsp;,0,437,,,,,,3,,5,,,,,,,,,,,68.9,6.4,,,4.3,&nbsp;,0.0,75.5,,,,,,0.5,,0.9,,,,,,,,,,
Kirrawee,"2,516",188,59,603,,&nbsp;,771,"2,710",,,96,,,,,,,,,,,,,,,,57.2,4.3,1.3,13.7,,&nbsp;,17.5,61.6,,,2.2,,,,,,,,,,,,,,,
Kirribilli,518,56,,583,,&nbsp;,900,577,,132,271,,,,,,,,,,,,,,,,24.6,2.7,,27.7,,&nbsp;,42.8,27.4,,6.3,12.9,,,,,,,,,,,,,,,
Kogarah,"2,433",237,,"1,826",,&nbsp;,"2,385","2,676",,,468,,324,,,,,,,,,,,,,,38.4,3.7,,28.8,,&nbsp;,37.6,42.2,,,7.4,,5.1,,,,,,,,,,,,,
Kogarah Bay,601,46,27,59,,&nbsp;,143,647,,,,,32,,,,,,,,,,,,,,61.0,4.7,2.7,6.0,,&nbsp;,14.5,65.6,,,,,3.2,,,,,,,,,,,,,
Koolewong,179,16,5,77,,&nbsp;,99,198,,,,,8,,,,,,,,,,,,,,48.1,4.3,1.3,20.7,,&nbsp;,26.6,52.9,,,,,2.2,,,,,,,,,,,,,
Koonawarra,855,101,,17,22,&nbsp;,50,961,,,20,,,,,,,,,,,,,,,,67.4,8.0,,1.3,1.7,&nbsp;,3.9,75.7,,,1.6,,,,,,,,,,,,,,,
Kotara,"1,274",121,,,,&nbsp;,68,"1,403",28,,29,25,,,,,,,,,,,,,,,67.4,6.4,,,,&nbsp;,3.6,74.3,1.5,,1.5,1.3,,,,,,,,,,,,,,
Kotara South,363,16,,,,&nbsp;,14,384,12,,,,,4,,,,,,5,,,,,,,71.6,3.2,,,,&nbsp;,2.8,75.9,2.4,,,,,0.8,,,,,,1.0,,,,,,
Kurnell,782,42,,21,24,&nbsp;,61,828,,,,21,,,,,,,,,,,,,,,68.9,3.7,,1.9,2.1,&nbsp;,5.4,73.0,,,,1.9,,,,,,,,,,,,,,
Kyeemagh,227,22,7,11,,&nbsp;,32,252,5,,,,,,,,,,,,,,,,,,64.7,6.3,2.0,3.1,,&nbsp;,9.1,71.8,1.4,,,,,,,,,,,,,,,,,
Kyle Bay,237,20,18,26,,&nbsp;,63,259,,,,,5,,,,,,,,,,,,,,58.8,5.0,4.5,6.5,,&nbsp;,15.6,64.0,,,,,1.2,,,,,,,,,,,,,
La Perouse,88,6,,,,&nbsp;,24,96,13,,7,,,,8,,,,,,,,,,,,54.3,3.7,,,,&nbsp;,14.9,59.6,8.0,,4.3,,,,4.9,,,,,,,,,,,
Lake Haven,727,80,,21,25,&nbsp;,66,814,,,31,,,,,,,,,,,,,,,,64.4,7.1,,1.9,2.2,&nbsp;,5.8,72.2,,,2.7,,,,,,,,,,,,,,,
Lake Heights,803,89,,,14,&nbsp;,50,896,22,,,,,14,,,,,,,,,,,,,67.9,7.5,,,1.2,&nbsp;,4.2,75.7,1.9,,,,,1.2,,,,,,,,,,,,
Lake Illawarra,782,73,,,13,&nbsp;,48,851,25,,22,,,,,,,,,,,,,,,,70.2,6.6,,,1.2,&nbsp;,4.3,76.6,2.2,,2.0,,,,,,,,,,,,,,,
Lakelands,582,40,,7,10,&nbsp;,16,621,,,11,,,,,,,,,,,,,,,,70.4,4.8,,0.8,1.2,&nbsp;,1.9,75.3,,,1.3,,,,,,,,,,,,,,,
Lakemba,"2,540",262,,"1,064",,&nbsp;,"1,431","2,804",,,174,,184,,,,,,,,,,,,,,49.9,5.1,,20.9,,&nbsp;,28.1,55.1,,,3.4,,3.6,,,,,,,,,,,,,
