,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Bondi Junction,"1,203",,,"1,258",,&nbsp;,"1,821","1,338",347,,460,,132,,,,,,,,,,,,,,27.0,,,28.2,,&nbsp;,40.9,30.0,7.8,,10.3,,3.0,,,,,,,,,,,,,
Bonnet Bay,661,43,48,154,,&nbsp;,238,707,,,,,17,,,,,,,,,,,,,,55.8,3.6,4.1,13.0,,&nbsp;,20.1,59.8,,,,,1.4,,,,,,,,,,,,,
Bonnyrigg,"1,806",221,,111,,&nbsp;,372,"2,035",78,,,,55,,,,,,,,,,,,,,64.6,7.9,,4.0,,&nbsp;,13.3,72.8,2.8,,,,2.0,,,,,,,,,,,,,
Bonnyrigg Heights,"2,132",220,90,109,,&nbsp;,381,"2,366",78,,,,,,,,,,,,,,,,,,67.4,7.0,2.8,3.4,,&nbsp;,12.0,74.8,2.5,,,,,,,,,,,,,,,,,
Booker Bay,206,15,,28,,&nbsp;,73,223,9,,,,10,,,,,,,,,,,,,,51.9,3.8,,7.1,,&nbsp;,18.4,56.3,2.3,,,,2.5,,,,,,,,,,,,,
Boolaroo,277,18,,,6,&nbsp;,11,301,5,,13,,,,,,,,,,,,,,,,67.2,4.4,,,1.5,&nbsp;,2.7,72.7,1.2,,3.2,,,,,,,,,,,,,,,
Booragul,328,25,,6,13,&nbsp;,18,356,,,,,,,,,5,,,,,,,,,,70.2,5.4,,1.3,2.8,&nbsp;,3.8,75.9,,,,,,,,,1.1,,,,,,,,,
Bossley Park,"4,098",396,131,166,,&nbsp;,635,"4,506",141,,,,,,,,,,,,,,,,,,67.0,6.5,2.1,2.7,,&nbsp;,10.4,73.7,2.3,,,,,,,,,,,,,,,,,
Botany,"2,600",203,,,,&nbsp;,687,"2,800",494,,202,,83,,,,,,,,,,,,,,59.3,4.6,,,,&nbsp;,15.7,63.8,11.3,,4.6,,1.9,,,,,,,,,,,,,
Bow Bowing,531,33,11,75,15,&nbsp;,114,571,,,,,,,,,,,,,,,,,,,66.0,4.1,1.4,9.3,1.9,&nbsp;,14.2,70.8,,,,,,,,,,,,,,,,,,
Bradbury,"2,338",226,80,233,,&nbsp;,507,"2,578",,,,,86,,,,,,,,,,,,,,61.5,5.9,2.1,6.1,,&nbsp;,13.3,67.8,,,,,2.3,,,,,,,,,,,,,
Broadmeadow,516,44,,,,&nbsp;,51,562,25,,31,15,,,,,,,,,,,,,,,64.9,5.5,,,,&nbsp;,6.4,71.0,3.1,,3.9,1.9,,,,,,,,,,,,,,
Bronte,"1,602",,,,,&nbsp;,879,"1,718",266,,142,125,412,,,,,,,,,,,,,,44.7,,,,,&nbsp;,24.5,48.0,7.4,,4.0,3.5,11.5,,,,,,,,,,,,,
Brookvale,741,61,,,,&nbsp;,230,808,170,,130,,24,,,,,,,,,,,,,,52.7,4.3,,,,&nbsp;,16.3,57.5,12.1,,9.2,,1.7,,,,,,,,,,,,,
Budgewoi,829,69,,,18,&nbsp;,38,903,,,18,,,10,,,,,,,,,,,,,68.9,5.7,,,1.5,&nbsp;,3.2,75.1,,,1.5,,,0.8,,,,,,,,,,,,
Buff Point,919,77,,12,23,&nbsp;,33,"1,010",13,,,,,,,,,,,,,,,,,,70.7,5.9,,0.9,1.8,&nbsp;,2.5,77.6,1.0,,,,,,,,,,,,,,,,,
Bulli,"1,747",120,35,125,,&nbsp;,237,"1,883",,,63,,,,,,,,,,,,,,,,64.5,4.4,1.3,4.6,,&nbsp;,8.7,69.5,,,2.3,,,,,,,,,,,,,,,
Burwood,"1,907",,,"1,904",,&nbsp;,"2,475","2,091",185,,378,,247,,,,,,,,,,,,,,33.6,,,33.5,,&nbsp;,43.6,36.8,3.3,,6.7,,4.3,,,,,,,,,,,,,
Burwood Heights,182,22,,41,,&nbsp;,84,202,16,,,,16,,,,,,,,,,,,,,50.0,6.0,,11.3,,&nbsp;,23.1,55.8,4.4,,,,4.4,,,,,,,,,,,,,
Busby,734,85,,43,,&nbsp;,151,826,54,,,,29,,,,,,,,,,,,,,63.2,7.3,,3.7,,&nbsp;,13.0,71.0,4.6,,,,2.5,,,,,,,,,,,,,
Cabarita,611,35,,26,,&nbsp;,150,653,,70,,,17,,,,,,,,,,,,,,61.8,3.5,,2.6,,&nbsp;,15.2,66.2,,7.1,,,1.7,,,,,,,,,,,,,
Cabramatta,"3,609",645,,888,,&nbsp;,"1,183","4,280",,,330,,131,,,,,,,,,,,,,,55.1,9.9,,13.6,,&nbsp;,18.1,65.4,,,5.0,,2.0,,,,,,,,,,,,,
Cabramatta West,"1,378",221,,138,45,&nbsp;,294,"1,609",,,,,49,,,,,,,,,,,,,,62.1,10.0,,6.2,2.0,&nbsp;,13.2,72.5,,,,,2.2,,,,,,,,,,,,,
