,Personal and Household Good Retailing,Business Services,Construction Trade Services,Food Retailing,Education,Health Services,"Accommodation, Cafes and Restaurants",Community Services,Metal Product Manufacturing,Personal and Household Good Wholesaling,Finance,Government Administration,Machinery and Equipment Manufacturing,Road Transport,Property Services,General Construction,Services to Finance and Insurance,Communication Services,"Libraries, Museums and the Arts",Other Services,Defence,Machinery and Motor Vehicle Wholesaling,Motor Vehicle Retailing and Services,Sport and Recreation,"Petroleum, Coal, Chemical and Associated Product Manufacturing","Printing, Publishing and Recorded Media","Food, Beverage and Tobacco Manufacturing","Water Supply, Sewerage and Drainage Services",Air and Space Transport,Commercial Fishing,"Motion Picture, Radio and Television Services",Personal and Household Good Retailing (%),Business Services (%),Construction Trade Services (%),Food Retailing (%),Education (%),Health Services (%),"Accommodation, Cafes and Restaurants (%)",Community Services (%),Metal Product Manufacturing (%),Personal and Household Good Wholesaling (%),Finance (%),Government Administration (%),Machinery and Equipment Manufacturing (%),Road Transport (%),Property Services (%),General Construction (%),Services to Finance and Insurance (%),Communication Services (%),"Libraries, Museums and the Arts (%)",Other Services (%),Defence (%),Machinery and Motor Vehicle Wholesaling (%),Motor Vehicle Retailing and Services (%),Sport and Recreation (%),"Petroleum, Coal, Chemical and Associated Product Manufacturing (%)","Printing, Publishing and Recorded Media (%)","Food, Beverage and Tobacco Manufacturing (%)","Water Supply, Sewerage and Drainage Services (%)",Air and Space Transport (%),Commercial Fishing (%),"Motion Picture, Radio and Television Services (%)"
Glebe,344,"1,057",,,523,345,400,,,,,,,,,,,,,,,,,,,,,,,,,3.6,11.1,,,5.5,3.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,
Glen Alpine,182,188,146,,202,131,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,6.0,4.7,,6.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Glenbrook,166,262,,,405,209,,,,,,,,,,116,,,,,,,,,,,,,,,,4.3,6.8,,,10.6,5.5,,,,,,,,,,3.0,,,,,,,,,,,,,,,
Glendale,84,66,,96,92,79,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.7,,3.9,3.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Glendenning,116,176,,,,118,,,,95,,,99,,,,,,,,,,,,,,,,,,,3.7,5.6,,,,3.8,,,,3.0,,,3.2,,,,,,,,,,,,,,,,,,
Glenfield,159,259,,156,197,156,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.7,,2.8,3.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Glenhaven,283,400,152,,212,211,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,9.4,3.6,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmore Park,551,698,,526,482,465,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.9,,4.4,4.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Glenning Valley,70,67,60,,53,58,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,13.4,12.0,,10.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,313,633,224,,259,283,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,9.3,3.3,,3.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,174,675,,,268,233,,,,,134,,,,,,,,,,,,,,,,,,,,,3.4,13.2,,,5.3,4.6,,,,,2.6,,,,,,,,,,,,,,,,,,,,
Gorokan,177,172,170,164,,152,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.9,2.8,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Gosford,60,139,,,59,125,79,,,,,,,,,,,,,,,,,,,,,,,,,2.4,5.7,,,2.4,5.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,
Granville,476,761,451,442,,437,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.8,2.9,2.8,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Point,95,176,75,,148,116,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,8.3,3.5,,7.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Green Point,250,256,,164,180,215,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.2,,3.3,3.6,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,242,323,295,251,,,,,,,,,246,,,,,,,,,,,,,,,,,,,3.0,3.9,3.6,3.1,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
Greenacre,508,636,395,444,,371,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.1,2.5,2.9,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Park,123,194,,98,,110,,,,,,,99,,,,,,,,,,,,,,,,,,,3.0,4.7,,2.4,,2.7,,,,,,,2.4,,,,,,,,,,,,,,,,,,
Greenwich,159,667,,,207,248,146,,,,,,,,,,,,,,,,,,,,,,,,,3.6,14.9,,,4.6,5.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Greystanes,644,897,598,,643,595,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.2,3.4,,3.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford,223,386,227,230,,185,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.7,2.8,2.8,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford West,115,143,112,111,,69,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.5,3.5,3.5,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Gwynneville,51,67,,,110,52,62,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,6.5,3.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Gymea,231,295,169,,166,207,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.5,3.2,,3.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea Bay,206,354,178,,309,215,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,7.2,3.6,,6.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Haberfield,195,467,,,260,223,160,,,,,,,,,,,,,,,,,,,,,,,,,3.5,8.4,,,4.7,4.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Halekulani,,58,63,53,44,53,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.4,2.8,2.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,126,181,,,187,174,159,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.2,,,5.4,5.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton East,41,41,,29,76,59,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,3.5,9.3,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton North,23,30,,18,39,29,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.2,,2.5,5.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton South,76,136,,,134,140,73,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4.5,,,4.4,4.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,
Hammondville,62,98,68,,72,65,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.8,2.6,,2.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Harrington Park,129,123,78,,86,80,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,5.9,3.7,,4.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Park,136,366,,,146,173,190,,,,,,,,,,,,,,,,,,,,,,,,,2.4,6.5,,,2.6,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Hassall Grove,104,140,,102,,124,,,,,88,,,,,,,,,,,,,,,,,,,,,3.6,4.8,,3.5,,4.3,,,,,3.0,,,,,,,,,,,,,,,,,,,,
Haymarket,84,199,,138,52,,232,,,,,,,,,,,,,,,,,,,,,,,,,1.8,4.4,,3.0,1.1,,5.1,,,,,,,,,,,,,,,,,,,,,,,,
Heathcote,199,300,,158,235,197,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,6.6,,3.5,5.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Hebersham,132,147,,118,,105,,,,,,,94,,,,,,,,,,,,,,,,,,,3.1,3.4,,2.7,,2.4,,,,,,,2.2,,,,,,,,,,,,,,,,,,
Heckenberg,43,44,,64,,56,,,43,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,3.0,,2.6,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Henley,20,47,,10,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,14.3,,3.0,4.9,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
Highfields,27,26,,,31,20,,,,,,14,,,,,,,,,,,,,,,,,,,,5.5,5.3,,,6.3,4.0,,,,,,2.8,,,,,,,,,,,,,,,,,,,
Hillsborough,20,,20,26,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,3.8,5.0,4.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsdale,170,250,,168,,192,169,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.4,,3.6,,4.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,
Hinchinbrook,262,346,265,255,,237,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.9,3.8,3.6,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Holmesville,33,,39,53,,51,,,43,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.5,4.7,,4.6,,,3.8,,,,,,,,,,,,,,,,,,,,,,
Holsworthy,64,140,,,88,76,,,,,,,,,,,,,,,381,,,,,,,,,,,3.1,6.8,,,4.3,3.7,,,,,,,,,,,,,,,18.5,,,,,,,,,,
Homebush,107,249,,,134,176,101,,,,,,,,,,,,,,,,,,,,,,,,,3.1,7.3,,,3.9,5.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Homebush West,64,139,,55,,59,60,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.6,,2.6,,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Horningsea Park,94,121,69,68,,74,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,6.3,3.6,3.5,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby,557,"1,496",,448,671,817,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,9.9,,3.0,4.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby Heights,216,503,,173,275,263,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,11.0,,3.8,6.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
Horsley,203,183,,187,,164,,,286,,,,,,,,,,,,,,,,,,,,,,,5.3,4.8,,4.9,,4.3,,,7.5,,,,,,,,,,,,,,,,,,,,,,
Hoxton Park,76,110,85,,,90,,,,,,,76,,,,,,,,,,,,,,,,,,,3.2,4.7,3.6,,,3.8,,,,,,,3.2,,,,,,,,,,,,,,,,,,
Hunters Hill,198,621,,,279,406,,,,,141,,,,,,,,,,,,,,,,,,,,,2.8,8.8,,,3.9,5.7,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Huntleys Point,11,13,,,7,10,,,,,,,,,,,,,,,,5,,,,,,,,,,7.7,9.2,,,4.9,7.0,,,,,,,,,,,,,,,,3.5,,,,,,,,,
Hurlstone Park,121,301,,,209,156,126,,,,,,,,,,,,,,,,,,,,,,,,,2.9,7.3,,,5.0,3.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville,560,"1,088",,419,,494,630,,,,,,,,,,,,,,,,,,,,,,,,,3.4,6.6,,2.5,,3.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville Grove,52,137,,62,85,77,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,7.7,,3.5,4.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Illawong,296,472,217,,334,237,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,3.7,,5.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleburn,352,543,,324,396,350,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.9,,2.9,3.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleside,35,49,37,,,25,27,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.3,4.7,,,3.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Islington,38,40,,,54,49,68,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.3,,,4.4,4.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,
Jamisontown,203,190,177,150,,150,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,4.9,4.5,3.8,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Jannali,122,264,113,,164,160,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,6.6,2.8,,4.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jesmond,56,,,52,69,60,52,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,2.6,3.5,3.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,
Jewells,110,92,,101,101,103,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.4,,4.8,4.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Kahibah,78,72,,53,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.7,,2.7,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Kanahooka,,147,,133,161,147,,,174,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.6,4.4,4.0,,,4.7,,,,,,,,,,,,,,,,,,,,,,
Kangaroo Point,43,43,,,18,33,,,,,,,,,,,,,,,,,16,,,,,,,,,8.9,8.9,,,3.7,6.8,,,,,,,,,,,,,,,,,3.3,,,,,,,,
Kanwal,111,89,91,88,,90,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.2,3.3,3.2,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kareela,98,183,,77,136,96,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,8.5,,3.6,6.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Kariong,166,246,,132,141,191,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,6.1,,3.3,3.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Kearns,98,107,,87,78,66,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.4,,4.4,4.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Keiraville,,122,,,281,132,79,,76,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,9.8,4.6,2.8,,2.7,,,,,,,,,,,,,,,,,,,,,,
Kellyville,492,870,413,,475,396,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,9.0,4.3,,4.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Kembla Grange,5,,,4,4,,,,,,,,,,,4,,,,,,,,18,,,,,,,,4.2,,,3.4,3.4,,,,,,,,,,,3.4,,,,,,,,15.1,,,,,,,
Kensington,334,773,,,456,372,486,,,,,,,,,,,,,,,,,,,,,,,,,3.5,8.2,,,4.8,4.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,
Kilaben Bay,49,52,,37,64,47,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.3,,3.8,6.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Killara,230,838,,,281,352,,,,,164,,,,,,,,,,,,,,,,,,,,,3.7,13.4,,,4.5,5.6,,,,,2.6,,,,,,,,,,,,,,,,,,,,
Killarney Heights,144,402,,69,141,141,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,12.4,,2.1,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Killarney Vale,203,160,193,232,,168,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.9,3.5,4.2,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Kincumber,165,195,,199,152,231,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.8,,3.9,3.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Kincumber South,14,17,,13,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.1,,2.4,2.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Langley,352,597,,291,425,363,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,7.9,,3.8,5.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Park,129,185,,110,111,117,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,6.7,,4.0,4.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsford,452,827,,,543,464,465,,,,,,,,,,,,,,,,,,,,,,,,,3.7,6.7,,,4.4,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,
Kingsgrove,285,466,,236,259,273,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.2,,2.6,2.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Kingswood,254,308,,,217,250,179,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.6,,,3.2,3.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,
Kirrawee,350,533,,265,354,327,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.8,,3.4,4.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Kirribilli,88,676,,,,108,111,,,,115,,,,,,,,,,,,,,,,,,,,,2.7,20.6,,,,3.3,3.4,,,,3.5,,,,,,,,,,,,,,,,,,,,
Kogarah,268,487,,213,,362,349,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.4,,2.4,,4.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,
Kogarah Bay,70,90,,,58,62,48,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.9,,,3.8,4.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,
Koolewong,16,39,,,19,38,,,,,,,,,,,,15,,,,,,,,,,,,,,2.5,6.1,,,3.0,5.9,,,,,,,,,,,,2.3,,,,,,,,,,,,,
Koonawarra,83,88,,91,,88,,,115,,,,,,,,,,,,,,,,,,,,,,,3.0,3.1,,3.3,,3.1,,,4.1,,,,,,,,,,,,,,,,,,,,,,
Kotara,103,134,,94,187,165,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.4,,3.1,6.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Kotara South,32,51,,21,36,49,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.5,,2.3,3.9,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kurnell,53,59,82,,,55,,,,,,,,,,,,,,,,,,,90,,,,,,,3.2,3.6,5.0,,,3.4,,,,,,,,,,,,,,,,,,,5.5,,,,,,
Kyeemagh,26,40,18,22,,,21,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.6,2.5,3.1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Bay,41,78,,,39,38,,,,,27,,,,,,,,,,,,,,,,,,,,,4.2,8.0,,,4.0,3.9,,,,,2.8,,,,,,,,,,,,,,,,,,,,
La Perouse,,14,,,,13,14,,,,,14,,,,,,,,12,,,,,,,,,,,,,4.3,,,,4.0,4.3,,,,,4.3,,,,,,,,3.7,,,,,,,,,,,
Lake Haven,96,78,66,103,,85,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.8,2.4,3.7,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Heights,89,122,,88,,,69,,197,,,,,,,,,,,,,,,,,,,,,,,3.0,4.1,,3.0,,,2.3,,6.6,,,,,,,,,,,,,,,,,,,,,,
Lake Illawarra,75,85,66,83,,,,,107,,,,,,,,,,,,,,,,,,,,,,,2.8,3.2,2.5,3.1,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Lakelands,52,52,,41,66,82,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,,3.6,5.9,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
Lakemba,238,454,,243,,237,311,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4.2,,2.2,,2.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Lalor Park,163,236,162,173,,205,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.1,2.8,3.0,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton,100,176,,116,190,221,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.8,,3.2,5.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove,230,941,,,286,378,,,,,184,,,,,,,,,,,,,,,,,,,,,3.4,13.9,,,4.2,5.6,,,,,2.7,,,,,,,,,,,,,,,,,,,,
Lane Cove North,294,"1,060",,,324,325,219,,,,,,,,,,,,,,,,,,,,,,,,,4.1,14.6,,,4.5,4.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove West,68,220,,,68,74,,,,,54,,,,,,,,,,,,,,,,,,,,,4.1,13.2,,,4.1,4.4,,,,,3.2,,,,,,,,,,,,,,,,,,,,
Lansvale,50,67,50,49,,,,,,,,,44,,,,,,,,,,,,,,,,,,,2.6,3.5,2.6,2.6,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,
Lapstone,24,65,,,90,35,,,,,,26,,,,,,,,,,,,,,,,,,,,3.3,8.9,,,12.3,4.8,,,,,,3.5,,,,,,,,,,,,,,,,,,,
Lavender Bay,,243,,,50,42,34,,,,,,,,,,,31,,,,,,,,,,,,,,,23.9,,,4.9,4.1,3.3,,,,,,,,,,,3.0,,,,,,,,,,,,,
Leichhardt,416,"1,246",,,599,505,424,,,,,,,,,,,,,,,,,,,,,,,,,3.8,11.5,,,5.5,4.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,
Leonay,112,140,82,,151,108,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.8,4.0,,7.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Lethbridge Park,86,103,70,83,,80,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.9,2.0,2.4,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Leumeah,273,343,,215,283,211,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.8,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,78,214,,,152,124,81,,,,,,,,,,,,,,,,,,,,,,,,,3.1,8.6,,,6.1,5.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Grove,52,153,,,51,56,,,,,39,,,,,,,,,,,,,,,,,,,,,4.6,13.4,,,4.5,4.9,,,,,3.4,,,,,,,,,,,,,,,,,,,,
Lidcombe,315,564,,266,,351,345,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.5,,2.6,,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Lilli Pilli,76,120,,59,109,99,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,7.1,,3.5,6.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
Lilyfield,183,670,,,272,325,172,,,,,,,,,,,,,,,,,,,,,,,,,3.1,11.4,,,4.6,5.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Lindfield,246,818,,,346,285,160,,,,,,,,,,,,,,,,,,,,,,,,,3.8,12.7,,,5.4,4.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,
Linley Point,13,38,,,13,22,,,,,,,,,14,,,,,,,,,,,,,,,,,4.5,13.1,,,4.5,7.6,,,,,,,,,4.8,,,,,,,,,,,,,,,,
Lisarow,136,215,,124,141,203,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,6.4,,3.7,4.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Little Bay,44,84,,,69,69,,,,,,39,,,,,,,,,,,,,,,,,,,,2.8,5.4,,,4.5,4.5,,,,,,2.5,,,,,,,,,,,,,,,,,,,
Liverpool,368,665,412,362,,417,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.1,2.6,2.3,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Loftus,120,228,131,,172,135,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,7.4,4.3,,5.6,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Long Jetty,125,,147,133,,130,144,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,3.4,3.1,,3.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Long Point,13,15,11,,,,,,11,,,,,,,12,,,,,,,,,,,,,,,,4.5,5.2,3.8,,,,,,3.8,,,,,,,4.2,,,,,,,,,,,,,,,
Longueville,59,206,,,78,116,61,,,,,,,,,,,,,,,,,,,,,,,,,3.7,13.0,,,4.9,7.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,
Lugarno,189,362,147,,254,186,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,8.2,3.3,,5.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Lurnea,176,178,156,169,,127,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.0,2.6,2.8,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Fields,271,396,,303,,270,226,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.0,,3.1,,2.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Hills,120,92,,93,110,92,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,4.8,,4.9,5.7,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Links,,24,,10,12,11,,,,,,,9,,,,,,,,,,,,,,,,,,,,9.6,,4.0,4.8,4.4,,,,,,,3.6,,,,,,,,,,,,,,,,,,
Macquarie Park,240,492,,,274,201,179,,,,,,,,,,,,,,,,,,,,,,,,,4.5,9.1,,,5.1,3.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Malabar,90,154,,,153,122,91,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.0,,,3.9,3.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Mangerton,57,114,,,127,102,,,78,,,,,,,,,,,,,,,,,,,,,,,2.8,5.6,,,6.2,5.0,,,3.8,,,,,,,,,,,,,,,,,,,,,,
Manly,425,"1,701",,,375,415,551,,,,,,,,,,,,,,,,,,,,,,,,,3.4,13.6,,,3.0,3.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,
Manly Vale,193,396,,,137,176,147,,,,,,,,,,,,,,,,,,,,,,,,,4.8,9.8,,,3.4,4.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,
Marayong,161,234,134,153,,183,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.3,2.4,2.8,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mardi,104,101,,67,,66,53,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.6,,3.7,,3.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Marks Point,40,45,,43,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.2,,3.1,2.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Marmong Point,12,10,,11,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.0,,3.3,4.9,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
Maroubra,872,"1,442",,,930,929,805,,,,,,,,,,,,,,,,,,,,,,,,,4.1,6.7,,,4.3,4.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Marrickville,570,"1,280",,,778,731,713,,,,,,,,,,,,,,,,,,,,,,,,,2.7,6.2,,,3.7,3.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Marsfield,429,"1,102",,,491,360,260,,,,,,,,,,,,,,,,,,,,,,,,,4.4,11.4,,,5.1,3.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
