,Personal and Household Good Retailing,Business Services,Construction Trade Services,Food Retailing,Education,Health Services,"Accommodation, Cafes and Restaurants",Community Services,Metal Product Manufacturing,Personal and Household Good Wholesaling,Finance,Government Administration,Machinery and Equipment Manufacturing,Road Transport,Property Services,General Construction,Services to Finance and Insurance,Communication Services,"Libraries, Museums and the Arts",Other Services,Defence,Machinery and Motor Vehicle Wholesaling,Motor Vehicle Retailing and Services,Sport and Recreation,"Petroleum, Coal, Chemical and Associated Product Manufacturing","Printing, Publishing and Recorded Media","Food, Beverage and Tobacco Manufacturing","Water Supply, Sewerage and Drainage Services",Air and Space Transport,Commercial Fishing,"Motion Picture, Radio and Television Services",Personal and Household Good Retailing (%),Business Services (%),Construction Trade Services (%),Food Retailing (%),Education (%),Health Services (%),"Accommodation, Cafes and Restaurants (%)",Community Services (%),Metal Product Manufacturing (%),Personal and Household Good Wholesaling (%),Finance (%),Government Administration (%),Machinery and Equipment Manufacturing (%),Road Transport (%),Property Services (%),General Construction (%),Services to Finance and Insurance (%),Communication Services (%),"Libraries, Museums and the Arts (%)",Other Services (%),Defence (%),Machinery and Motor Vehicle Wholesaling (%),Motor Vehicle Retailing and Services (%),Sport and Recreation (%),"Petroleum, Coal, Chemical and Associated Product Manufacturing (%)","Printing, Publishing and Recorded Media (%)","Food, Beverage and Tobacco Manufacturing (%)","Water Supply, Sewerage and Drainage Services (%)",Air and Space Transport (%),Commercial Fishing (%),"Motion Picture, Radio and Television Services (%)"
Barnsley,53,52,66,65,,,,,55,,,,,,,,,,,,,,,,,,,,,,,3.9,3.8,4.9,4.8,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,
Barrack Heights,208,206,,183,,177,,,300,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,,3.6,,3.5,,,5.9,,,,,,,,,,,,,,,,,,,,,,
Barrack Point,16,,24,23,,19,,,17,,,,,,,,,,,,,,,,,,,,,,,3.4,,5.2,4.9,,4.1,,,3.6,,,,,,,,,,,,,,,,,,,,,,
Bass Hill,233,292,203,194,176,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.3,3.0,2.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bateau Bay,341,299,296,329,345,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.4,3.4,3.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Baulkham Hills,"1,305","2,245",,894,"1,423","1,338",,,,,,,,,,,,,,,,,,,,,,,,,,4.9,8.4,,3.3,5.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview,78,210,,,93,85,63,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,3.6,3.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Hill,289,450,,161,203,171,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,9.6,,3.4,4.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,,59,,,24,23,24,,,19,,,,,,,,,,,,,,,,,,,,,,,9.6,,,3.9,3.7,3.9,,,3.1,,,,,,,,,,,,,,,,,,,,,
Beecroft,295,793,,146,483,484,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,11.6,,2.1,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
Belfield,160,216,153,,117,131,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.9,3.4,,2.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vista,158,297,,151,124,179,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,9.1,,4.6,3.8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Bellambi,,140,,106,97,95,86,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,3.3,3.0,2.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Hill,335,980,,,320,493,287,,,,,,,,,,,,,,,,,,,,,,,,,4.2,12.4,,,4.0,6.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,135,186,136,,147,169,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.8,2.8,,3.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont North,156,124,,155,152,133,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,2.9,,3.6,3.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont South,,26,27,23,,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.0,2.5,,2.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,
Belmore,287,475,,262,,257,264,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.8,,2.6,,2.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,
Belrose,332,621,172,,236,231,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,10.1,2.8,,3.8,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Bensville,70,90,,56,53,51,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,7.2,,4.5,4.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Berala,160,227,,,,179,154,,,,,,135,,,,,,,,,,,,,,,,,,,2.6,3.7,,,,2.9,2.5,,,,,,2.2,,,,,,,,,,,,,,,,,,
Berkeley,166,185,,174,,156,,,278,,,,,,,,,,,,,,,,,,,,,,,2.9,3.2,,3.0,,2.7,,,4.8,,,,,,,,,,,,,,,,,,,,,,
