,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Crookwell,574.0,1382.0,1001.0,--,--,--,11123
Bungonia,544.0,1140.0,1025.0,--,--,--,10685
Collector,827.0,1906.0,1786.0,--,--,--,10972
Middle Arm,744.0,1924.0,1812.0,--,--,--,12599
Taralga,555.0,1652.0,1050.0,--,--,--,13759
Tarlo,599.0,1916.0,1781.0,--,--,--,13767
Wayo,659.0,1624.0,1325.0,--,--,--,14204
Kingsdale,888.0,2125.0,1937.0,--,--,--,12155
Bannister (NSW),766.0,2036.0,1562.0,--,--,--,10183
Brayton,556.0,2187.0,1125.0,--,--,--,10554
Greenwich Park,456.0,1125.0,899.0,--,--,--,11771
Tallong,529.0,1300.0,1176.0,--,--,--,13733
Carrick (NSW),735.0,2083.0,1542.0,--,--,--,10828
Brisbane Grove,656.0,1687.0,1625.0,--,--,--,10577
Binda,504.0,1228.0,944.0,--,--,--,10363
Towrang,492.0,1416.0,1274.0,--,--,--,13930
Mummel,830.0,2312.0,1937.0,--,--,--,12835
Baw Baw (NSW),708.0,1449.0,1442.0,--,--,--,10234
Boxers Creek,575.0,1583.0,1194.0,--,--,--,10541
Gundary,653.0,1480.0,1455.0,--,--,--,11806
Yass,728.0,1853.0,1470.0,--,--,--,14493
Bookham,630.0,1343.0,1268.0,--,--,--,10478
Binalong,641.0,1286.0,1104.0,--,--,--,10362
Jugiong,643.0,1600.0,1268.0,--,--,--,12044
Galong,496.0,1160.0,814.0,--,--,--,11580
Manton (NSW),841.0,2299.0,2031.0,--,--,--,12481
Yass River,1162.0,2678.0,2558.0,--,--,--,14494
Rye Park,461.0,1228.0,1149.0,--,--,--,13455
Dalton,546.0,1428.0,1171.0,--,--,--,11194
Gundaroo,1178.0,2756.0,2493.0,--,--,--,11805
Bowning,714.0,1625.0,1389.0,--,--,--,10535
Bellmount Forest,977.0,3416.0,2750.0,--,--,--,10274
Gunning,764.0,1859.0,1493.0,--,--,--,11813
Lade Vale,972.0,2187.0,1974.0,--,--,--,12232
Good Hope,784.0,1895.0,1541.0,--,--,--,11700
Wallaroo (NSW),881.0,2557.0,2266.0,--,--,--,14112
Murrumbateman,1182.0,2967.0,2822.0,--,--,--,12860
Springrange,1076.0,2519.0,2559.0,--,--,--,13625
Jeir,1146.0,3035.0,2963.0,--,--,--,12004
Marchmont,1075.0,2777.0,2555.0,--,--,--,12487
Nanima,1125.0,3125.0,2874.0,--,--,--,12891
Young,532.0,1229.0,966.0,--,--,--,14518
Kingsvale,565.0,1166.0,1136.0,--,--,--,12161
Burrangong,585.0,1525.0,936.0,--,--,--,10706
Wyangala,452.0,945.0,831.0,--,--,--,14434
Wombat,575.0,1483.0,1218.0,--,--,--,14364
Cunningar,729.0,1406.0,1224.0,--,--,--,11164
Harden,481.0,1091.0,829.0,--,--,--,11851
Boorowa,560.0,1407.0,973.0,--,--,--,10503
Murrumburrah,589.0,1174.0,1062.0,--,--,--,12863
Frogmore,564.0,1625.0,939.0,--,--,--,11571
Maimuru,655.0,1446.0,1303.0,--,--,--,12444
Bendick Murrell,560.0,1274.0,924.0,--,--,--,10290
Koorawatha,457.0,971.0,781.0,--,--,--,12192
Monteagle,505.0,1406.0,1149.0,--,--,--,12683
Murringo,585.0,1375.0,1138.0,--,--,--,12858
Thuddungra,660.0,1281.0,1125.0,--,--,--,13853
Bribbaree,458.0,875.0,714.0,--,--,--,10566
Avoca Beach,764.0,2165.0,1896.0,--,--,--,10114
Copacabana,756.0,2046.0,1837.0,--,--,--,11056
Killcare Heights,783.0,1987.0,1592.0,--,--,--,12134
Macmasters Beach,720.0,1916.0,1755.0,--,--,--,12432
Empire Bay,627.0,1642.0,1449.0,--,--,--,11415
Wagstaffe,807.0,2218.0,1531.0,--,--,--,14084
St Huberts Island,666.0,1757.0,1414.0,--,--,--,13638
Killcare,742.0,1625.0,1316.0,--,--,--,12133
Bensville,707.0,2037.0,1960.0,--,--,--,10297
Daleys Point,518.0,1194.0,934.0,--,--,--,11189
Pretty Beach (Central Coast - NSW),660.0,1825.0,1569.0,--,--,--,13261
Hardys Bay,689.0,1399.0,1271.0,--,--,--,11852
Kincumber South,461.0,868.0,645.0,--,--,--,12142
Somersby,672.0,1875.0,1659.0,--,--,--,13571
Calga,596.0,1375.0,1562.0,--,--,--,10752
Woy Woy,497.0,1303.0,947.0,--,--,--,14425
Patonga,504.0,1166.0,833.0,--,--,--,13160
Mooney Mooney,810.0,2230.0,2031.0,--,--,--,12704
Kariong,703.0,1929.0,1813.0,--,--,--,12074
Peats Ridge,745.0,1764.0,1696.0,--,--,--,13172
Central Mangrove,654.0,1921.0,1775.0,--,--,--,10876
Mangrove Mountain,688.0,1760.0,1471.0,--,--,--,12472
Kulnura,669.0,1658.0,1544.0,--,--,--,12206
Mount White,680.0,1292.0,954.0,--,--,--,12803
Wendoree Park,1048.0,2200.0,2021.0,--,--,--,14224
Wisemans Ferry,537.0,1458.0,954.0,--,--,--,14344
Gunderman,627.0,1343.0,1194.0,--,--,--,11808
Spencer,488.0,1052.0,812.0,--,--,--,13607
Erina,545.0,1468.0,941.0,--,--,--,11433
Green Point (Central Coast - NSW),612.0,1718.0,1324.0,--,--,--,11753
Matcham,864.0,2750.0,2700.0,--,--,--,12520
Holgate,837.0,2577.0,2602.0,--,--,--,11921
Lisarow,676.0,1956.0,1742.0,--,--,--,12343
Erina Heights,679.0,2227.0,1974.0,--,--,--,11434
Terrigal,734.0,1973.0,1679.0,--,--,--,13805
Springfield (Central Coast - NSW),660.0,1788.0,1527.0,--,--,--,13623
North Gosford,629.0,1486.0,1195.0,--,--,--,12991
West Gosford,609.0,1342.0,951.0,--,--,--,14244
Gosford,719.0,1495.0,1203.0,--,--,--,11722
East Gosford,601.0,1556.0,1065.0,--,--,--,11349
Point Frederick,709.0,1744.0,1193.0,--,--,--,13232
Kincumber,566.0,1467.0,1082.0,--,--,--,12141
Picketts Valley,792.0,2333.0,2687.0,--,--,--,13198
Narara,666.0,1704.0,1531.0,--,--,--,12895
Niagara Park,642.0,1752.0,1482.0,--,--,--,12961
Mount Elliot (NSW),762.0,2321.0,2463.0,--,--,--,12757
Point Clare,611.0,1706.0,1315.0,--,--,--,13231
Tascott,709.0,1865.0,1580.0,--,--,--,13772
Koolewong,689.0,1861.0,1504.0,--,--,--,12185
Saratoga,697.0,1897.0,1638.0,--,--,--,13492
Davistown,609.0,1495.0,1176.0,--,--,--,11221
Yattalunga (NSW),713.0,1735.0,1468.0,--,--,--,14496
North Avoca,867.0,2373.0,2215.0,--,--,--,12980
Umina Beach,565.0,1453.0,1160.0,--,--,--,14007
Booker Bay,555.0,1253.0,1002.0,--,--,--,10477
Ettalong Beach,496.0,1146.0,867.0,--,--,--,11445
Pearl Beach,684.0,1555.0,1309.0,--,--,--,13171
Wamberal,798.0,2186.0,1981.0,--,--,--,14122
Forresters Beach,691.0,1808.0,1520.0,--,--,--,11549
Tumbi Umbi,622.0,1639.0,1417.0,--,--,--,13962
Horsfield Bay,732.0,2180.0,1937.0,--,--,--,11941
Phegans Bay,725.0,2180.0,1680.0,--,--,--,13192
Woy Woy Bay,781.0,2079.0,1864.0,--,--,--,14426
Blackwall (NSW),599.0,1481.0,1188.0,--,--,--,10399
Wyoming,565.0,1533.0,1194.0,--,--,--,14445
Bateau Bay,583.0,1589.0,1245.0,--,--,--,10227
Killarney Vale,579.0,1447.0,1222.0,--,--,--,12131
Blue Haven,573.0,1400.0,1331.0,--,--,--,10415
San Remo (NSW),524.0,1263.0,1146.0,--,--,--,13470
Doyalson,506.0,1410.0,1231.0,--,--,--,11286
Buff Point,528.0,1321.0,1104.0,--,--,--,10645
Budgewoi,560.0,1286.0,1029.0,--,--,--,10642
Halekulani,476.0,1171.0,852.0,--,--,--,11830
Glenning Valley,733.0,2047.0,1888.0,--,--,--,11672
Berkeley Vale,651.0,1651.0,1397.0,--,--,--,10304
Chittaway Point,660.0,1962.0,1603.0,--,--,--,10912
Chittaway Bay,609.0,1613.0,1443.0,--,--,--,10911
Kanwal,483.0,1359.0,1097.0,--,--,--,12067
Wyongah,624.0,1470.0,1337.0,--,--,--,14448
Tuggerawong,582.0,1540.0,1204.0,--,--,--,13951
Rocky Point (NSW),603.0,1674.0,1410.0,--,--,--,13388
Gorokan,509.0,1258.0,989.0,--,--,--,11721
Charmhaven,544.0,1356.0,1194.0,--,--,--,10889
Lake Haven,486.0,1214.0,866.0,--,--,--,12247
Jilliby,712.0,2174.0,2161.0,--,--,--,12027
Yarramalong,796.0,2399.0,1981.0,--,--,--,14475
Cedar Brush Creek,718.0,2541.0,1458.0,--,--,--,10867
Wyong Creek,727.0,1906.0,1589.0,--,--,--,14447
Dooralong,487.0,2047.0,1724.0,--,--,--,11276
Lake Munmorah,521.0,1339.0,1004.0,--,--,--,12253
Chain Valley Bay,473.0,1111.0,844.0,--,--,--,10880
Kingfisher Shores,632.0,1562.0,1275.0,--,--,--,12146
Mannering Park,557.0,1310.0,1187.0,--,--,--,12477
Doyalson North,430.0,772.0,666.0,--,--,--,11287
Ourimbah,715.0,1878.0,1609.0,--,--,--,13103
Fountaindale,786.0,2266.0,2293.0,--,--,--,11554
Palm Grove (NSW),718.0,1656.0,1187.0,--,--,--,13133
Gwandalan,550.0,1417.0,1258.0,--,--,--,11824
Summerland Point,534.0,1289.0,1126.0,--,--,--,13690
Long Jetty,544.0,1270.0,972.0,--,--,--,12378
Shelly Beach (NSW),648.0,1757.0,1504.0,--,--,--,13535
Blue Bay,619.0,1400.0,1141.0,--,--,--,10414
Toowoon Bay,569.0,1265.0,949.0,--,--,--,13916
The Entrance North,599.0,1404.0,1135.0,--,--,--,13819
