,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
West Wollongong,595.0,1758.0,1293.0,--,--,--,14255
Keiraville,461.0,1783.0,1296.0,--,--,--,12085
Figtree,645.0,1906.0,1581.0,--,--,--,11515
Helensburgh,827.0,2279.0,2111.0,--,--,--,11890
Otford,1008.0,2575.0,2428.0,--,--,--,13101
Stanwell Park,838.0,2453.0,2338.0,--,--,--,13653
Stanwell Tops,821.0,2511.0,2360.0,--,--,--,13654
Thirroul,799.0,2262.0,1947.0,--,--,--,13848
Austinmer,880.0,2408.0,2031.0,--,--,--,10108
Coledale,830.0,2355.0,2154.0,--,--,--,10966
Wombarra,817.0,2325.0,2181.0,--,--,--,14363
Scarborough (NSW),840.0,2042.0,2058.0,--,--,--,13500
Coalcliff,892.0,2687.0,2333.0,--,--,--,10944
Woonona,673.0,1974.0,1511.0,--,--,--,14416
Russell Vale,633.0,1728.0,1452.0,--,--,--,13448
Wollongong,573.0,1546.0,1180.0,--,--,--,14358
Mount Saint Thomas,660.0,1853.0,1479.0,--,--,--,12791
Mangerton,746.0,2219.0,1671.0,--,--,--,12468
Bulahdelah,450.0,996.0,780.0,--,--,--,10649
Wards River,405.0,817.0,683.0,--,--,--,14147
Stroud Road,532.0,1916.0,1292.0,--,--,--,13679
Stroud,488.0,1354.0,1192.0,--,--,--,13677
Girvan,476.0,1187.0,1075.0,--,--,--,11637
Nerong,386.0,780.0,733.0,--,--,--,12929
Allworth,606.0,1375.0,1050.0,--,--,--,10041
Bunyah,439.0,966.0,949.0,--,--,--,10690
Markwell,575.0,1375.0,1142.0,--,--,--,12493
Booral (NSW),601.0,1481.0,1406.0,--,--,--,10496
Limeburners Creek (Mid-Coast - NSW),514.0,1318.0,1279.0,--,--,--,12328
Forster (NSW),487.0,1094.0,868.0,--,--,--,11550
Green Point (Mid-Coast - NSW),477.0,1094.0,960.0,--,--,--,11755
Darawank,541.0,1406.0,1169.0,--,--,--,11203
Tarbuck Bay,512.0,1020.0,792.0,--,--,--,13762
Nabiac,470.0,1081.0,972.0,--,--,--,12885
Failford,458.0,1075.0,789.0,--,--,--,11476
Coomba Park,410.0,907.0,728.0,--,--,--,11038
Smiths Lake,489.0,1092.0,982.0,--,--,--,13563
Bungwahl,478.0,1125.0,941.0,--,--,--,10687
Charlotte Bay,479.0,1142.0,1192.0,--,--,--,10887
Wootton,417.0,900.0,833.0,--,--,--,14417
Coolongolook,459.0,1018.0,836.0,--,--,--,11032
Coomba Bay,458.0,1062.0,780.0,--,--,--,11037
Minimbah,505.0,1354.0,1145.0,--,--,--,12636
Elizabeth Beach,642.0,1437.0,1137.0,--,--,--,11396
Blueys Beach,533.0,1100.0,819.0,--,--,--,10420
Boomerang Beach,643.0,1781.0,1114.0,--,--,--,10487
Tuncurry,453.0,944.0,750.0,--,--,--,13969
South Kempsey,447.0,993.0,889.0,--,--,--,13588
West Kempsey,460.0,978.0,761.0,--,--,--,14247
Kempsey,447.0,892.0,712.0,--,--,--,12095
Frederickton,483.0,1228.0,1003.0,--,--,--,11561
Aldavilla,495.0,1258.0,1125.0,--,--,--,10028
Euroka,599.0,1537.0,1512.0,--,--,--,11464
Dondingalong,475.0,1152.0,968.0,--,--,--,11272
Greenhill (NSW),433.0,968.0,879.0,--,--,--,11763
East Kempsey,569.0,1245.0,930.0,--,--,--,11354
Verges Creek,555.0,1525.0,1275.0,--,--,--,14072
Yarravel,470.0,1236.0,1133.0,--,--,--,14483
Stuarts Point,428.0,904.0,715.0,--,--,--,13681
Barraganyatti,437.0,1125.0,850.0,--,--,--,10209
Yarrahapinni,440.0,916.0,777.0,--,--,--,14474
Hat Head,471.0,981.0,792.0,--,--,--,11869
Kinchela,503.0,1278.0,1055.0,--,--,--,12140
Gladstone (NSW),467.0,1107.0,892.0,--,--,--,11639
Smithtown,539.0,1258.0,953.0,--,--,--,13564
Mungay Creek,417.0,933.0,752.0,--,--,--,12841
Willawarrin,462.0,1319.0,949.0,--,--,--,14295
Temagog,394.0,933.0,780.0,--,--,--,13783
Turners Flat,545.0,1399.0,1208.0,--,--,--,13976
Millbank (NSW),438.0,780.0,725.0,--,--,--,12616
Hickeys Creek,403.0,1125.0,900.0,--,--,--,11899
Belmore River,512.0,1231.0,1073.0,--,--,--,10280
Austral Eden,594.0,1424.0,1281.0,--,--,--,10110
Crescent Head,545.0,1298.0,1015.0,--,--,--,11114
Fishermans Reach,411.0,875.0,665.0,--,--,--,11524
Clybucca,525.0,1270.0,1125.0,--,--,--,10940
Bellimbopinni,563.0,1267.0,1093.0,--,--,--,10272
Collombatti,446.0,1187.0,1007.0,--,--,--,10979
Kundabung,522.0,1420.0,1366.0,--,--,--,12209
Sherwood (Kempsey - NSW),512.0,1075.0,985.0,--,--,--,13537
Bellbrook,422.0,907.0,740.0,--,--,--,10270
Macksville,482.0,1135.0,886.0,--,--,--,12430
North Macksville,495.0,1130.0,904.0,--,--,--,12995
Way Way,626.0,1375.0,1166.0,--,--,--,14203
Scotts Head,502.0,1231.0,969.0,--,--,--,13508
Gumma,453.0,1050.0,900.0,--,--,--,11801
Nambucca Heads,446.0,944.0,735.0,--,--,--,12887
Hyland Park,566.0,1416.0,1071.0,--,--,--,11968
Bowraville,440.0,907.0,742.0,--,--,--,10537
Valla Beach,505.0,1237.0,951.0,--,--,--,14068
South Arm (Nambucca - NSW),405.0,945.0,764.0,--,--,--,13575
Newee Creek,569.0,1328.0,1237.0,--,--,--,12952
Congarinni North,515.0,1292.0,1075.0,--,--,--,11006
Congarinni,552.0,1292.0,1140.0,--,--,--,11005
Talarm,543.0,1347.0,1160.0,--,--,--,13728
Warrell Creek,577.0,1365.0,1260.0,--,--,--,14170
Eungai Creek,446.0,1031.0,905.0,--,--,--,11458
Eungai Rail,402.0,900.0,788.0,--,--,--,11459
Allgomera,479.0,1375.0,959.0,--,--,--,10040
Yarranbella,447.0,825.0,756.0,--,--,--,14478
Utungun,468.0,1208.0,933.0,--,--,--,14062
Upper Taylors Arm,384.0,1041.0,737.0,--,--,--,14045
Taylors Arm,393.0,749.0,850.0,--,--,--,13776
Argents Hill,433.0,949.0,794.0,--,--,--,10079
Missabotti,429.0,1062.0,866.0,--,--,--,12649
South West Rocks,476.0,1053.0,853.0,--,--,--,13600
Arakoon,564.0,1193.0,1075.0,--,--,--,10069
Jerseyville,456.0,1078.0,924.0,--,--,--,12022
Lord Howe Island,762.0,1774.0,1397.0,--,--,--,12387
Lake Cathie,490.0,1187.0,1034.0,--,--,--,12243
Bonny Hills,588.0,1457.0,1264.0,--,--,--,10470
North Haven (NSW),452.0,941.0,741.0,--,--,--,12992
Kendall,492.0,1157.0,1061.0,--,--,--,12096
West Haven,469.0,1004.0,781.0,--,--,--,14245
Laurieton,447.0,909.0,716.0,--,--,--,12283
Kew (NSW),477.0,1201.0,1025.0,--,--,--,12109
Herons Creek,585.0,1333.0,1187.0,--,--,--,11897
Upsalls Creek,662.0,1541.0,1166.0,--,--,--,14049
Logans Crossing,583.0,1392.0,1187.0,--,--,--,12373
Lorne (NSW),529.0,1303.0,1093.0,--,--,--,12390
Lakewood,453.0,1003.0,824.0,--,--,--,12259
Dunbogan,469.0,1069.0,875.0,--,--,--,11310
Johns River,468.0,1224.0,942.0,--,--,--,12037
Camden Head,505.0,1050.0,900.0,--,--,--,10771
Port Macquarie,570.0,1355.0,1069.0,--,--,--,13246
Lake Innes,662.0,1875.0,1847.0,--,--,--,12251
Fernbank Creek,587.0,1392.0,1321.0,--,--,--,11505
Riverside (NSW),606.0,1406.0,1264.0,--,--,--,13367
Thrumster,829.0,1916.0,1885.0,--,--,--,13852
North Shore (NSW),567.0,1520.0,1114.0,--,--,--,13006
Telegraph Point,560.0,1442.0,1199.0,--,--,--,13781
Blackmans Point,525.0,1343.0,900.0,--,--,--,10395
Gum Scrub,771.0,1625.0,1375.0,--,--,--,11797
Cooperabung,664.0,1854.0,1771.0,--,--,--,11046
Rollands Plains,477.0,922.0,928.0,--,--,--,13392
Upper Rollands Plains,412.0,1274.0,749.0,--,--,--,14043
Pembrooke,566.0,1312.0,1062.0,--,--,--,13180
Frazers Creek,541.0,1474.0,1292.0,--,--,--,11560
Mortons Creek,620.0,1375.0,1375.0,--,--,--,12731
Brombin,725.0,1875.0,1625.0,--,--,--,10593
Long Flat (NSW),458.0,1125.0,849.0,--,--,--,12377
Byabarra,550.0,1517.0,1454.0,--,--,--,10727
Ellenborough,443.0,1156.0,1062.0,--,--,--,11401
Comboyne,480.0,1108.0,942.0,--,--,--,10992
Wauchope,488.0,1145.0,920.0,--,--,--,14197
Yippin Creek,557.0,1271.0,1271.0,--,--,--,14515
Rosewood (Port Macquarie-Hastings - NSW),587.0,1516.0,1406.0,--,--,--,13414
Beechwood,495.0,1229.0,1093.0,--,--,--,10248
Redbank (NSW),587.0,1329.0,1343.0,--,--,--,13336
Crosslands,563.0,1454.0,1281.0,--,--,--,11127
King Creek,626.0,1723.0,1582.0,--,--,--,12145
Sancrox,682.0,1562.0,1449.0,--,--,--,13471
Gloucester,486.0,1117.0,848.0,--,--,--,11685
Craven,488.0,1062.0,866.0,--,--,--,11107
Stratford (NSW),436.0,1125.0,833.0,--,--,--,13672
Forbesdale,506.0,1291.0,1275.0,--,--,--,11539
Barrington (NSW),501.0,1172.0,1070.0,--,--,--,10216
Bowman,529.0,1196.0,1073.0,--,--,--,10531
Diamond Beach,570.0,1350.0,1187.0,--,--,--,11251
Manning Point,452.0,792.0,686.0,--,--,--,12478
Mitchells Island,470.0,1154.0,1062.0,--,--,--,12652
Oxley Island,624.0,1468.0,1187.0,--,--,--,13109
Old Bar,491.0,1130.0,917.0,--,--,--,13073
Black Head,532.0,1225.0,990.0,--,--,--,10384
Red Head,509.0,1275.0,1031.0,--,--,--,13329
Rainbow Flat,490.0,1276.0,1267.0,--,--,--,13305
Hallidays Point,523.0,1391.0,1210.0,--,--,--,11832
Wallabi Point,707.0,1739.0,1581.0,--,--,--,14099
Koorainghat,504.0,1264.0,1021.0,--,--,--,12191
Tallwoods Village,562.0,1348.0,1256.0,--,--,--,13737
Taree,465.0,1064.0,808.0,--,--,--,13764
Cundletown,538.0,1254.0,1073.0,--,--,--,11161
Taree South,448.0,912.0,767.0,--,--,--,13765
Pampoolah,508.0,1336.0,1140.0,--,--,--,13142
Glenthorne,470.0,1047.0,900.0,--,--,--,11680
Tinonee,521.0,1331.0,1134.0,--,--,--,13876
Harrington,439.0,958.0,784.0,--,--,--,11858
Wherrol Flat,462.0,1136.0,1021.0,--,--,--,14271
Coopernook,468.0,1070.0,828.0,--,--,--,11047
Moto,397.0,900.0,900.0,--,--,--,12742
Moorland (NSW),450.0,1090.0,922.0,--,--,--,12714
Hannam Vale,537.0,1224.0,1087.0,--,--,--,11849
Stewarts River,467.0,1125.0,1100.0,--,--,--,13659
Upper Lansdowne,474.0,1147.0,973.0,--,--,--,14033
Lansdowne (Mid-Coast - NSW),430.0,911.0,789.0,--,--,--,12273
Kundle Kundle,523.0,1333.0,1270.0,--,--,--,12211
Killabakh,488.0,1131.0,1104.0,--,--,--,12128
Cedar Party,510.0,1239.0,1083.0,--,--,--,10870
Marlee,484.0,1350.0,1300.0,--,--,--,12494
Elands,403.0,739.0,468.0,--,--,--,11388
Bobin,464.0,971.0,885.0,--,--,--,10427
Mount George (NSW),451.0,1024.0,749.0,--,--,--,12761
Killawarra (NSW),558.0,962.0,1062.0,--,--,--,12132
Burrell Creek,551.0,1446.0,1031.0,--,--,--,10709
Bootawa,512.0,1187.0,1062.0,--,--,--,10504
Mondrook,512.0,1291.0,1125.0,--,--,--,12676
Hillville,464.0,1318.0,1208.0,--,--,--,11913
Kimbriki,479.0,1178.0,1071.0,--,--,--,12139
Belbora,445.0,1292.0,949.0,--,--,--,10256
Krambach,467.0,1062.0,821.0,--,--,--,12202
Possum Brush,464.0,1187.0,1031.0,--,--,--,13251
Dyers Crossing,503.0,1303.0,1042.0,--,--,--,11338
Firefly,476.0,1260.0,1052.0,--,--,--,11521
Coralville,381.0,924.0,875.0,--,--,--,11064
Wingham,479.0,1150.0,912.0,--,--,--,14332
Thurgoona,721.0,1795.0,1618.0,--,--,--,13856
East Albury,732.0,1865.0,1327.0,--,--,--,11344
Wirlinga,900.0,2125.0,2042.0,--,--,--,14337
North Albury,554.0,1261.0,959.0,--,--,--,12977
Lavington,540.0,1251.0,933.0,--,--,--,12287
Glenroy (Albury - NSW),672.0,1636.0,1420.0,--,--,--,11678
Hamilton Valley,704.0,1546.0,1472.0,--,--,--,11842
Albury,786.0,2028.0,1372.0,--,--,--,10027
South Albury,612.0,1412.0,878.0,--,--,--,13573
West Albury,669.0,1545.0,1138.0,--,--,--,14239
Splitters Creek,862.0,2687.0,2531.0,--,--,--,13610
Jindera,700.0,1675.0,1492.0,--,--,--,12032
Holbrook,562.0,1326.0,991.0,--,--,--,11920
Table Top,871.0,2205.0,2131.0,--,--,--,13722
Little Billabong,820.0,1708.0,1583.0,--,--,--,12350
Gerogery,697.0,1666.0,1510.0,--,--,--,11605
Brocklesby,543.0,1428.0,1050.0,--,--,--,10584
Walla Walla,495.0,1312.0,1096.0,--,--,--,14097
Glenellen,749.0,2200.0,1958.0,--,--,--,11663
Burrumbuttock,641.0,1575.0,1224.0,--,--,--,10716
Walbundrie,603.0,1218.0,1031.0,--,--,--,14092
Morven (Greater Hume Shire - NSW),596.0,1474.0,1281.0,--,--,--,12737
Culcairn,548.0,1270.0,1053.0,--,--,--,11147
Henty (NSW),494.0,1142.0,810.0,--,--,--,11892
Mullengandra,575.0,1478.0,1357.0,--,--,--,12823
Bowna,900.0,1812.0,1666.0,--,--,--,10534
Bungowannah,850.0,2111.0,1791.0,--,--,--,10686
Woomargama,624.0,1343.0,939.0,--,--,--,14413
Springdale Heights,525.0,1220.0,948.0,--,--,--,13622
Hay (NSW),556.0,1304.0,1037.0,--,--,--,11874
Hay South,704.0,1387.0,1226.0,--,--,--,11875
Gol Gol,735.0,1850.0,1527.0,--,--,--,11693
Buronga,593.0,1389.0,1149.0,--,--,--,10696
Wentworth (NSW),462.0,1033.0,792.0,--,--,--,14225
Coomealla,479.0,1158.0,1013.0,--,--,--,11041
Dareton,386.0,830.0,744.0,--,--,--,11206
Curlwaa,595.0,1375.0,1125.0,--,--,--,11170
Euston,671.0,1526.0,1342.0,--,--,--,11468
Pomona (NSW),562.0,1166.0,982.0,--,--,--,13240
Tooleybuc,553.0,1357.0,1062.0,--,--,--,13902
Balranald,577.0,1375.0,1057.0,--,--,--,10168
Corowa,563.0,1296.0,998.0,--,--,--,11080
Mulwala,557.0,1280.0,1028.0,--,--,--,12830
Balldale,642.0,1458.0,1093.0,--,--,--,10159
Rand,618.0,1562.0,1303.0,--,--,--,13311
Oaklands,563.0,1261.0,858.0,--,--,--,13059
Howlong,534.0,1322.0,1024.0,--,--,--,11950
Urana,530.0,1145.0,863.0,--,--,--,14052
Deniliquin,586.0,1400.0,1063.0,--,--,--,11237
Mayrung,728.0,1562.0,1224.0,--,--,--,12537
Mathoura,486.0,1125.0,840.0,--,--,--,12522
Barham,495.0,1181.0,835.0,--,--,--,10199
Wakool,481.0,1100.0,871.0,--,--,--,14090
Moulamein,558.0,1160.0,940.0,--,--,--,12743
Koraleigh,418.0,922.0,857.0,--,--,--,12195
Conargo,669.0,1416.0,1100.0,--,--,--,10998
Murray Downs,707.0,1812.0,1666.0,--,--,--,12852
Moama,596.0,1411.0,1148.0,--,--,--,12654
Warragoon,556.0,1312.0,1166.0,--,--,--,14159
Blighty,661.0,1125.0,955.0,--,--,--,10412
Barooga,607.0,1332.0,1079.0,--,--,--,10205
Tocumwal,484.0,1174.0,888.0,--,--,--,13886
Finley,545.0,1272.0,988.0,--,--,--,11520
Berrigan,499.0,1288.0,880.0,--,--,--,10318
Jerilderie,603.0,1330.0,1110.0,--,--,--,12014
Armidale,564.0,1526.0,1201.0,--,--,--,10085
Guyra,534.0,1195.0,948.0,--,--,--,11822
South Guyra,548.0,1267.0,1057.0,--,--,--,13586
Llangothlin,597.0,1343.0,1166.0,--,--,--,12364
Ben Lomond (NSW),597.0,1292.0,1050.0,--,--,--,10286
Black Mountain (NSW),646.0,1764.0,1520.0,--,--,--,10387
Thalgarrah,739.0,1666.0,1428.0,--,--,--,13810
Hillgrove (Armidale Regional - NSW),553.0,1281.0,987.0,--,--,--,11907
Ebor,450.0,949.0,791.0,--,--,--,11372
Uralla (NSW),520.0,1254.0,957.0,--,--,--,14051
Saumarez Ponds,745.0,1930.0,1718.0,--,--,--,13495
Invergowrie,665.0,1712.0,1536.0,--,--,--,11983
Arding,589.0,1375.0,1281.0,--,--,--,10075
Castle Doyle,725.0,1687.0,1625.0,--,--,--,10846
Dangarsleigh,702.0,1910.0,1562.0,--,--,--,11200
Kellys Plains,770.0,2062.0,1624.0,--,--,--,12087
Yarrowyck,511.0,1149.0,833.0,--,--,--,14492
Kentucky,715.0,1458.0,1187.0,--,--,--,12102
Kentucky South,507.0,1166.0,788.0,--,--,--,12103
Balala,556.0,1333.0,1042.0,--,--,--,10144
Rocky River (Uralla - NSW),539.0,1347.0,990.0,--,--,--,13390
Walcha,592.0,1372.0,1071.0,--,--,--,14093
Woolbrook,434.0,1041.0,900.0,--,--,--,14400
Nowendoc,483.0,1104.0,939.0,--,--,--,13026
Yarrowitch,484.0,974.0,780.0,--,--,--,14491
Stonehenge (NSW),680.0,1687.0,1312.0,--,--,--,13665
Glen Innes,481.0,1122.0,833.0,--,--,--,11649
Emmaville,448.0,922.0,768.0,--,--,--,11414
Deepwater (NSW),420.0,875.0,665.0,--,--,--,11231
Dundee,504.0,1271.0,1075.0,--,--,--,11314
Red Range,452.0,1166.0,937.0,--,--,--,13333
Shannon Vale,523.0,1025.0,900.0,--,--,--,13526
Glencoe (NSW),478.0,1208.0,1047.0,--,--,--,11657
Inverell,542.0,1228.0,971.0,--,--,--,11981
Ashford (NSW),426.0,957.0,791.0,--,--,--,10099
Tingha,411.0,960.0,854.0,--,--,--,13874
Yetman,467.0,924.0,780.0,--,--,--,14514
Bundarra,424.0,918.0,773.0,--,--,--,10671
Gilgai,457.0,1044.0,944.0,--,--,--,11618
Bonshaw (NSW),459.0,1041.0,875.0,--,--,--,10473
Coolatai,462.0,1562.0,778.0,--,--,--,11028
Bukkulla,575.0,1343.0,1125.0,--,--,--,10648
Oakwood (NSW),535.0,1142.0,979.0,--,--,--,13061
Nullamanna,479.0,1196.0,1071.0,--,--,--,13032
Elsmore,204.0,466.0,474.0,--,--,--,11408
Bingara,454.0,1031.0,760.0,--,--,--,10365
Gravesend,578.0,1437.0,1053.0,--,--,--,11742
Auburn Vale,766.0,1812.0,1687.0,--,--,--,10107
Gum Flat,581.0,1312.0,1156.0,--,--,--,11796
Delungra,448.0,1062.0,782.0,--,--,--,11234
Warialda,475.0,1149.0,919.0,--,--,--,14149
Yallaroi,1096.0,2062.0,1625.0,--,--,--,14456
Warialda Rail,428.0,900.0,624.0,--,--,--,14150
Upper Horton,492.0,949.0,756.0,--,--,--,14029
Tabulam,404.0,929.0,725.0,--,--,--,13723
Tenterfield,474.0,1054.0,794.0,--,--,--,13792
Drake,402.0,814.0,487.0,--,--,--,11290
Liston,455.0,1208.0,787.0,--,--,--,12346
Legume,408.0,825.0,661.0,--,--,--,12296
Urbenville,385.0,740.0,657.0,--,--,--,14057
Woodenbong,490.0,1187.0,861.0,--,--,--,14382
Jennings,419.0,933.0,710.0,--,--,--,12008
Moree,688.0,1521.0,1270.0,--,--,--,12722
Pallamallawa,669.0,1461.0,1174.0,--,--,--,13131
Garah,693.0,1392.0,1221.0,--,--,--,11586
Boomi,818.0,1924.0,1375.0,--,--,--,10489
Ashley,770.0,1739.0,1557.0,--,--,--,10100
Boggabilla,379.0,873.0,919.0,--,--,--,10441
North Star,758.0,1547.0,1297.0,--,--,--,13008
Mungindi (NSW),687.0,1510.0,1229.0,--,--,--,12843
Gurley,710.0,1768.0,1275.0,--,--,--,11817
Biniguy,606.0,1333.0,1292.0,--,--,--,10369
Bellata,694.0,1525.0,1218.0,--,--,--,10266
Narrabri,659.0,1622.0,1317.0,--,--,--,12903
Wee Waa,603.0,1444.0,1065.0,--,--,--,14211
Merah North,700.0,1718.0,1437.0,--,--,--,12572
Maules Creek,533.0,1583.0,1199.0,--,--,--,12526
Baan Baa,655.0,1347.0,1218.0,--,--,--,10120
Tarriaro,870.0,1875.0,1562.0,--,--,--,13770
Bohena Creek,691.0,1678.0,1642.0,--,--,--,10444
Jacks Creek,547.0,1300.0,1125.0,--,--,--,11993
Gwabegar,417.0,790.0,739.0,--,--,--,11823
Gunnedah,620.0,1628.0,1270.0,--,--,--,11812
Curlewis (NSW),523.0,1298.0,1100.0,--,--,--,11169
Boggabri,571.0,1328.0,1162.0,--,--,--,10442
Carroll,578.0,1305.0,1196.0,--,--,--,10832
Piallaway,602.0,1562.0,1149.0,--,--,--,13196
Breeza,553.0,1350.0,1300.0,--,--,--,10561
Caroona,458.0,1089.0,939.0,--,--,--,10823
Spring Ridge,730.0,1447.0,1330.0,--,--,--,13619
Emerald Hill,833.0,2125.0,1792.0,--,--,--,11412
Mullaley,554.0,1268.0,1024.0,--,--,--,12820
Kelvin,687.0,1625.0,1449.0,--,--,--,12091
Werris Creek,453.0,1104.0,786.0,--,--,--,14238
Quirindi,560.0,1355.0,1052.0,--,--,--,13301
Wallabadah,484.0,1138.0,966.0,--,--,--,14098
Currabubula,653.0,1541.0,1116.0,--,--,--,11172
Quipolly,629.0,1562.0,1350.0,--,--,--,13300
Willow Tree,419.0,1025.0,844.0,--,--,--,14305
Blackville,659.0,1218.0,1224.0,--,--,--,10398
Hillvue,715.0,1714.0,1471.0,--,--,--,11914
Calala,722.0,1710.0,1520.0,--,--,--,10748
Kingswood (Tamworth Regional - NSW),742.0,1894.0,1801.0,--,--,--,12164
South Tamworth,549.0,1143.0,889.0,--,--,--,13597
West Tamworth,522.0,1068.0,861.0,--,--,--,14252
North Tamworth,660.0,1628.0,1154.0,--,--,--,13011
Tamworth,669.0,1312.0,825.0,--,--,--,13746
East Tamworth,730.0,1706.0,1368.0,--,--,--,11363
Oxley Vale,637.0,1383.0,1208.0,--,--,--,13111
Nemingha,713.0,1728.0,1375.0,--,--,--,12926
Westdale (Tamworth Regional - NSW),728.0,1502.0,1410.0,--,--,--,14259
Kootingal,647.0,1444.0,1237.0,--,--,--,12194
Duri,698.0,1642.0,1447.0,--,--,--,11332
Bithramere,667.0,1542.0,1437.0,--,--,--,10381
Winton (NSW),752.0,1517.0,1437.0,--,--,--,14336
Rushes Creek,457.0,1312.0,1031.0,--,--,--,13445
Somerton (NSW),673.0,1770.0,1268.0,--,--,--,13572
Bective,623.0,1731.0,1583.0,--,--,--,10245
Attunga,639.0,1375.0,1184.0,--,--,--,10105
Garthowen,634.0,1781.0,1781.0,--,--,--,11593
Limbri,442.0,1093.0,966.0,--,--,--,12327
Tintinhull,604.0,1571.0,1359.0,--,--,--,13879
Loomberah,776.0,1797.0,1666.0,--,--,--,12386
Moonbi,532.0,1278.0,1064.0,--,--,--,12699
Bendemeer,511.0,1273.0,905.0,--,--,--,10289
Watsons Creek (NSW),404.0,900.0,662.0,--,--,--,14188
Halls Creek (NSW),541.0,1228.0,1093.0,--,--,--,11834
Barraba,442.0,986.0,737.0,--,--,--,10206
Upper Manilla,661.0,1406.0,1125.0,--,--,--,14037
Manilla,456.0,1095.0,837.0,--,--,--,12474
Daruka,914.0,2359.0,2231.0,--,--,--,11218
Moore Creek,827.0,2161.0,2109.0,--,--,--,12710
Hallsville,665.0,1656.0,1519.0,--,--,--,11835
Nundle,430.0,817.0,695.0,--,--,--,13043
Ogunbil,530.0,1375.0,1125.0,--,--,--,13071
Dungowan,717.0,1569.0,1286.0,--,--,--,11321
Piallamore,660.0,1515.0,1444.0,--,--,--,13195
Woolomin,445.0,1057.0,949.0,--,--,--,14408
Warral,676.0,1766.0,1462.0,--,--,--,14163
Timbumburi,812.0,1791.0,1625.0,--,--,--,13870
Windale,405.0,820.0,689.0,--,--,--,14315
Jewells,660.0,1724.0,1492.0,--,--,--,12024
Belmont North,606.0,1654.0,1409.0,--,--,--,10277
Belmont (NSW),565.0,1488.0,1040.0,--,--,--,10276
Floraville,708.0,2050.0,1848.0,--,--,--,11535
Blacksmiths,501.0,1413.0,988.0,--,--,--,10396
Pelican (NSW),537.0,1409.0,1206.0,--,--,--,13178
Marks Point,569.0,1261.0,955.0,--,--,--,12492
Belmont South,511.0,1254.0,1026.0,--,--,--,10278
Kahibah,722.0,1877.0,1435.0,--,--,--,12048
Charlestown (NSW),680.0,1751.0,1424.0,--,--,--,10885
Whitebridge,683.0,1914.0,1534.0,--,--,--,14276
Gateshead,477.0,1164.0,926.0,--,--,--,11594
Dudley,793.0,2305.0,1991.0,--,--,--,11300
Highfields (NSW),809.0,2080.0,1756.0,--,--,--,11902
Garden Suburb,760.0,2057.0,1856.0,--,--,--,11587
Cardiff (NSW),623.0,1504.0,1231.0,--,--,--,10809
Hillsborough (Lake Macquarie - NSW),667.0,1826.0,1542.0,--,--,--,11909
Warners Bay,626.0,1588.0,1231.0,--,--,--,14153
Argenton,490.0,1197.0,1002.0,--,--,--,10078
Glendale (NSW),572.0,1548.0,1204.0,--,--,--,11658
Elermore Vale,619.0,1619.0,1325.0,--,--,--,11394
Macquarie Hills,786.0,2021.0,1930.0,--,--,--,12434
Kotara,722.0,1951.0,1638.0,--,--,--,12200
Cardiff Heights,644.0,1977.0,1468.0,--,--,--,10810
Cardiff South,654.0,1680.0,1386.0,--,--,--,10811
New Lambton Heights,894.0,2496.0,2295.0,--,--,--,12943
Rankin Park,729.0,1908.0,1709.0,--,--,--,13315
Tingira Heights,687.0,1885.0,1719.0,--,--,--,13875
Mount Hutton (NSW),548.0,1498.0,1174.0,--,--,--,12766
Eleebana,774.0,2218.0,1969.0,--,--,--,11393
Redhead,639.0,1877.0,1281.0,--,--,--,13340
Caves Beach,597.0,1652.0,1407.0,--,--,--,10862
Nords Wharf,677.0,1699.0,1485.0,--,--,--,12975
Swansea (NSW),480.0,1210.0,874.0,--,--,--,13711
Swansea Heads,612.0,1903.0,1634.0,--,--,--,13712
Catherine Hill Bay,703.0,1713.0,1416.0,--,--,--,10857
Cams Wharf,675.0,1724.0,1524.0,--,--,--,10784
Murrays Beach,933.0,2137.0,2070.0,--,--,--,12854
Valentine,707.0,2049.0,1795.0,--,--,--,14065
Croudace Bay,639.0,1766.0,1448.0,--,--,--,11128
Speers Point,625.0,1816.0,1369.0,--,--,--,13605
Lakelands (NSW),768.0,2259.0,1939.0,--,--,--,12256
Boolaroo,589.0,1505.0,1187.0,--,--,--,10482
Booragul,510.0,1240.0,932.0,--,--,--,10495
Fennell Bay,542.0,1393.0,1204.0,--,--,--,11500
Marmong Point,666.0,1948.0,1575.0,--,--,--,12498
Woodrising,572.0,1494.0,1418.0,--,--,--,14391
Bolton Point,502.0,1198.0,1009.0,--,--,--,10449
Teralba,552.0,1419.0,1133.0,--,--,--,13793
Fassifern (NSW),576.0,1489.0,1238.0,--,--,--,11495
Balcolyn,548.0,1362.0,1153.0,--,--,--,10145
Yarrawonga Park,611.0,1474.0,1308.0,--,--,--,14487
Mirrabooka (NSW),594.0,1477.0,1244.0,--,--,--,12647
Sunshine (NSW),585.0,1487.0,1212.0,--,--,--,13694
Silverwater (Lake Macquarie - NSW),553.0,1575.0,1160.0,--,--,--,13546
Bonnells Bay,571.0,1359.0,1210.0,--,--,--,10468
Brightwaters,624.0,1600.0,1333.0,--,--,--,10570
Morisset Park,675.0,1656.0,1612.0,--,--,--,12724
Windermere Park,528.0,1330.0,1092.0,--,--,--,14321
Edgeworth,546.0,1392.0,1167.0,--,--,--,11381
