,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Mount Pleasant,906.0,458.0,448.0,42.0,833.0,185.0,0.0,255.0,342.0,2.8,1647.0,1733.0,273.0
Mount Pritchard,8895.0,4451.0,4444.0,35.0,7576.0,3387.0,14.0,2297.0,2991.0,3.0,798.0,1500.0,180.0
Mount Riverview,2993.0,1489.0,1504.0,38.0,2770.0,455.0,0.0,872.0,1100.0,2.8,1495.0,1602.0,250.0
Mount Saint Thomas,1484.0,698.0,786.0,37.0,1340.0,335.0,5.0,422.0,642.0,2.5,922.0,1420.0,140.0
Mount Warrigal,5181.0,2561.0,2620.0,39.0,4637.0,1179.0,8.0,1508.0,1890.0,2.8,922.0,1387.0,195.0
Narara,7791.0,3805.0,3986.0,35.0,7020.0,1209.0,38.0,2193.0,2904.0,2.8,1093.0,1473.0,215.0
Narellan,3508.0,1704.0,1804.0,34.0,3149.0,447.0,4.0,950.0,1270.0,2.8,1128.0,1517.0,230.0
Narellan Vale,7349.0,3588.0,3761.0,30.0,6761.0,1015.0,20.0,2061.0,2414.0,3.2,1466.0,1750.0,260.0
Naremburn,4951.0,2375.0,2576.0,35.0,4089.0,1561.0,58.0,1334.0,2302.0,2.4,1988.0,2500.0,400.0
Narrabeen,6436.0,3107.0,3329.0,42.0,5436.0,1229.0,23.0,1498.0,3283.0,2.0,1090.0,2100.0,300.0
Narraweena,5470.0,2620.0,2850.0,40.0,4814.0,1428.0,24.0,1479.0,2220.0,2.6,1003.0,2100.0,154.0
Narwee,5019.0,2387.0,2632.0,40.0,4155.0,2202.0,39.0,1328.0,2052.0,2.6,844.0,1600.0,180.0
Neutral Bay,10278.0,4847.0,5431.0,35.0,7449.0,3420.0,156.0,2386.0,6058.0,1.9,1723.0,2383.0,334.0
New Lambton,9236.0,4388.0,4848.0,38.0,8507.0,976.0,24.0,2462.0,4208.0,2.3,923.0,1367.0,190.0
New Lambton Heights,1793.0,898.0,895.0,41.0,1676.0,207.0,7.0,470.0,617.0,2.9,1778.0,1473.0,243.0
Newcastle,1737.0,894.0,843.0,36.0,1355.0,245.0,120.0,324.0,1112.0,1.9,1197.0,1876.0,290.0
Newcastle East,975.0,502.0,473.0,37.0,756.0,116.0,46.0,180.0,605.0,1.9,840.0,2167.0,185.0
Newcastle West,349.0,195.0,154.0,32.0,280.0,54.0,21.0,55.0,242.0,1.6,958.0,1714.0,275.0
Newington,4912.0,2419.0,2493.0,33.0,3451.0,2385.0,81.0,1367.0,1984.0,2.8,1701.0,2357.0,350.0
Newport,9227.0,4553.0,4674.0,40.0,8025.0,1920.0,73.0,2536.0,4044.0,2.6,1484.0,2188.0,330.0
Newtown,13550.0,6820.0,6730.0,32.0,9417.0,3609.0,366.0,2513.0,6839.0,2.0,1394.0,2128.0,310.0
Niagara Park,2289.0,1108.0,1181.0,35.0,2104.0,327.0,10.0,648.0,875.0,2.7,1067.0,1408.0,200.0
Norah Head,1144.0,575.0,569.0,45.0,1013.0,107.0,3.0,317.0,492.0,2.6,952.0,1500.0,205.0
Noraville,2548.0,1281.0,1267.0,40.0,2354.0,257.0,3.0,674.0,1220.0,2.4,723.0,1517.0,185.0
Normanhurst,4786.0,2148.0,2638.0,40.0,4260.0,1235.0,25.0,1195.0,1722.0,2.7,1467.0,2011.0,300.0
North Avoca,2270.0,1129.0,1141.0,36.0,1970.0,296.0,10.0,601.0,1087.0,2.7,1420.0,1800.0,280.0
North Balgowlah,3309.0,1625.0,1684.0,37.0,2902.0,762.0,42.0,926.0,1167.0,3.0,1760.0,2500.0,385.0
North Bondi,8550.0,4247.0,4303.0,34.0,6388.0,2758.0,174.0,1936.0,4030.0,2.4,1544.0,2400.0,350.0
North Curl Curl,3371.0,1669.0,1702.0,37.0,2996.0,736.0,36.0,915.0,1192.0,3.0,1701.0,2167.0,400.0
North Epping,4183.0,2038.0,2145.0,40.0,3792.0,1160.0,34.0,1206.0,1515.0,2.9,1586.0,2000.0,350.0
