,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Epping,18970.0,9216.0,9754.0,37.0,15238.0,7841.0,242.0,5114.0,7195.0,2.8,1432.0,1950.0,300.0
Erina,4966.0,2163.0,2803.0,51.0,4497.0,953.0,25.0,1260.0,2158.0,2.2,766.0,1625.0,210.0
Ermington,10343.0,5052.0,5291.0,37.0,8953.0,3123.0,66.0,2716.0,4010.0,2.7,1024.0,1889.0,162.0
Erskine Park,6921.0,3447.0,3474.0,29.0,6186.0,1655.0,20.0,1813.0,1995.0,3.6,1523.0,1582.0,240.0
Erskineville,6558.0,3391.0,3167.0,32.0,5180.0,1988.0,47.0,1610.0,3650.0,2.1,1663.0,2167.0,340.0
Eschol Park,2599.0,1270.0,1329.0,30.0,2339.0,521.0,6.0,735.0,891.0,3.0,1173.0,1408.0,220.0
Ettalong Beach,4208.0,2035.0,2173.0,45.0,3668.0,512.0,46.0,1080.0,2421.0,2.1,592.0,1300.0,200.0
Fairfield,15483.0,7607.0,7876.0,34.0,11723.0,9300.0,63.0,3977.0,5680.0,3.0,666.0,1485.0,185.0
Fairfield East,4475.0,2240.0,2235.0,34.0,3757.0,2281.0,16.0,1121.0,1457.0,3.2,744.0,1733.0,160.0
Fairfield Heights,6003.0,2957.0,3046.0,35.0,4794.0,3418.0,22.0,1543.0,2092.0,3.1,781.0,1733.0,218.0
Fairfield West,10301.0,5103.0,5198.0,35.0,9031.0,5133.0,20.0,2826.0,3258.0,3.3,970.0,1517.0,220.0
Fairlight,5624.0,2659.0,2965.0,36.0,4440.0,1529.0,97.0,1496.0,2776.0,2.2,1680.0,2234.0,370.0
Fairy Meadow,6425.0,3166.0,3259.0,35.0,5482.0,1758.0,130.0,1610.0,2915.0,2.3,655.0,1460.0,180.0
Farmborough Heights,3854.0,1887.0,1967.0,34.0,3407.0,660.0,20.0,1007.0,1263.0,3.0,1345.0,1500.0,200.0
Faulconbridge,4014.0,1952.0,2062.0,37.0,3679.0,658.0,12.0,1138.0,1549.0,2.7,1275.0,1517.0,220.0
Fennell Bay,1549.0,763.0,786.0,44.0,1445.0,146.0,0.0,458.0,635.0,2.5,859.0,1221.0,183.0
Figtree,10386.0,5188.0,5198.0,39.0,9551.0,2228.0,32.0,2922.0,3955.0,2.7,1167.0,1517.0,200.0
Five Dock,7954.0,3764.0,4190.0,38.0,6698.0,2547.0,45.0,2183.0,3506.0,2.4,1261.0,2167.0,320.0
Fletcher,1935.0,990.0,945.0,31.0,1840.0,160.0,0.0,548.0,639.0,3.2,1639.0,1733.0,310.0
Flinders,4150.0,2029.0,2121.0,32.0,3751.0,766.0,0.0,1143.0,1444.0,3.0,1121.0,1692.0,240.0
Floraville,1494.0,732.0,762.0,37.0,1425.0,130.0,0.0,425.0,552.0,2.8,1126.0,1300.0,225.0
Forest Lodge,2407.0,1181.0,1226.0,32.0,1789.0,677.0,22.0,489.0,1217.0,2.2,1526.0,2200.0,320.0
Forestville,7802.0,3737.0,4065.0,40.0,6890.0,2241.0,67.0,2191.0,3001.0,2.7,1389.0,2167.0,390.0
Forresters Beach,2289.0,1156.0,1133.0,38.0,2069.0,268.0,9.0,651.0,946.0,2.8,1203.0,1517.0,245.0
Frenchs Forest,12557.0,6242.0,6315.0,38.0,11193.0,3392.0,100.0,3625.0,4255.0,3.1,1733.0,2200.0,450.0
Garden Suburb,1716.0,879.0,837.0,39.0,1576.0,176.0,7.0,496.0,619.0,2.9,1345.0,1331.0,200.0
Gateshead,3546.0,1711.0,1835.0,38.0,3294.0,231.0,6.0,1008.0,1446.0,2.6,645.0,1148.0,140.0
Georges Hall,8049.0,3993.0,4056.0,36.0,7295.0,2461.0,28.0,2184.0,2676.0,3.1,1176.0,1733.0,270.0
Georgetown,1857.0,892.0,965.0,36.0,1750.0,164.0,3.0,507.0,887.0,2.3,810.0,1300.0,195.0
Girraween,4058.0,2002.0,2056.0,36.0,3362.0,1752.0,39.0,1089.0,1574.0,2.7,1054.0,1751.0,220.0
Gladesville,10833.0,5168.0,5665.0,37.0,9376.0,2998.0,87.0,2776.0,4876.0,2.4,1188.0,2010.0,240.0
Glebe,11062.0,5176.0,5886.0,35.0,7979.0,3158.0,344.0,2262.0,5675.0,2.0,1068.0,2178.0,230.0
Glen Alpine,4403.0,2221.0,2182.0,37.0,4008.0,1076.0,7.0,1223.0,1296.0,3.5,1965.0,1842.0,370.0
Glenbrook,5138.0,2524.0,2614.0,36.0,4825.0,707.0,22.0,1401.0,1889.0,2.9,1579.0,1700.0,250.0
Glendale,2997.0,1456.0,1541.0,40.0,2840.0,249.0,7.0,847.0,1296.0,2.4,763.0,1200.0,157.0
Glendenning,4820.0,2389.0,2431.0,28.0,4123.0,1948.0,29.0,1286.0,1481.0,3.4,1250.0,1733.0,230.0
Glenfield,6759.0,3217.0,3542.0,37.0,5545.0,2207.0,24.0,1607.0,2397.0,2.8,1080.0,1452.0,190.0
Glenhaven,5622.0,2763.0,2859.0,38.0,5112.0,1259.0,34.0,1593.0,1821.0,3.3,2157.0,2167.0,380.0
Glenmore Park,19208.0,9311.0,9897.0,29.0,17382.0,3878.0,60.0,5268.0,6136.0,3.2,1580.0,1866.0,260.0
Glenning Valley,1913.0,914.0,999.0,36.0,1776.0,247.0,4.0,546.0,675.0,3.0,1246.0,1456.0,250.0
Glenwood,13900.0,6976.0,6924.0,31.0,11920.0,5440.0,190.0,3766.0,4246.0,3.4,1767.0,2114.0,345.0
Gordon,5993.0,2790.0,3203.0,43.0,5001.0,2245.0,115.0,1627.0,2147.0,2.9,1940.0,2626.0,405.0
Gorokan,7066.0,3340.0,3726.0,42.0,6406.0,837.0,15.0,1946.0,3552.0,2.2,616.0,1300.0,185.0
Gosford,3021.0,1578.0,1443.0,34.0,2217.0,618.0,17.0,636.0,1903.0,1.8,835.0,1444.0,210.0
Granville,22889.0,11659.0,11230.0,30.0,18219.0,10331.0,144.0,5646.0,8256.0,3.0,776.0,1517.0,200.0
Grays Point,2831.0,1423.0,1408.0,39.0,2643.0,400.0,7.0,800.0,925.0,3.1,1851.0,2000.0,380.0
Green Point,6462.0,3008.0,3454.0,44.0,5745.0,1069.0,28.0,1811.0,2631.0,2.5,984.0,1567.0,215.0
Green Valley,11959.0,5898.0,6061.0,30.0,10079.0,5629.0,33.0,2980.0,3393.0,3.6,1130.0,1700.0,240.0
Greenacre,22462.0,11005.0,11457.0,33.0,19420.0,8966.0,93.0,5476.0,7358.0,3.2,823.0,1702.0,200.0
Greenfield Park,5271.0,2592.0,2679.0,33.0,4682.0,2808.0,13.0,1375.0,1511.0,3.6,1126.0,1517.0,240.0
Greenwich,5054.0,2491.0,2563.0,39.0,4106.0,1436.0,147.0,1263.0,2076.0,2.5,1951.0,2300.0,330.0
Greystanes,20140.0,9892.0,10248.0,37.0,18139.0,5901.0,66.0,5727.0,7041.0,2.9,1168.0,1733.0,250.0
Guildford,11259.0,5546.0,5713.0,32.0,8887.0,4432.0,54.0,2681.0,4212.0,2.9,797.0,1569.0,210.0
Guildford West,4215.0,2117.0,2098.0,33.0,3531.0,1239.0,9.0,1092.0,1493.0,3.0,1006.0,1517.0,235.0
Gwynneville,2524.0,1279.0,1245.0,30.0,1884.0,852.0,107.0,554.0,1155.0,2.3,656.0,1517.0,170.0
Gymea,6800.0,3305.0,3495.0,36.0,6130.0,1152.0,27.0,1956.0,3025.0,2.4,1153.0,1950.0,260.0
Gymea Bay,7420.0,3603.0,3817.0,37.0,6971.0,863.0,28.0,2087.0,2534.0,3.1,1781.0,2078.0,345.0
Haberfield,6589.0,3202.0,3387.0,42.0,5819.0,2057.0,62.0,1802.0,2505.0,2.7,1291.0,2100.0,280.0
Halekulani,2379.0,1166.0,1213.0,44.0,2140.0,266.0,0.0,662.0,1140.0,2.3,586.0,1213.0,185.0
Hamilton,3711.0,1782.0,1929.0,37.0,3335.0,585.0,22.0,844.0,1884.0,2.1,805.0,1300.0,210.0
Hamilton East,960.0,456.0,504.0,44.0,885.0,103.0,19.0,250.0,437.0,2.5,1148.0,1500.0,213.0
Hamilton North,837.0,408.0,429.0,34.0,765.0,73.0,6.0,203.0,414.0,2.2,907.0,1400.0,220.0
Hamilton South,3924.0,1958.0,1966.0,42.0,3499.0,522.0,13.0,946.0,1962.0,2.2,610.0,1600.0,90.0
Hammondville,2878.0,1329.0,1549.0,35.0,2629.0,725.0,7.0,734.0,1057.0,2.8,1195.0,1690.0,225.0
Harrington Park,6055.0,2943.0,3112.0,31.0,5384.0,1072.0,20.0,1637.0,1902.0,3.4,1692.0,2063.0,350.0
Harris Park,6854.0,3695.0,3159.0,30.0,4123.0,3962.0,195.0,1584.0,3072.0,2.5,886.0,1400.0,200.0
Hassall Grove,4371.0,2216.0,2155.0,27.0,3871.0,1606.0,17.0,1125.0,1262.0,3.6,1201.0,1625.0,230.0
Haymarket,4312.0,2154.0,2158.0,26.0,902.0,2903.0,1105.0,575.0,1554.0,2.8,844.0,2085.0,500.0
Heathcote,5853.0,2825.0,3028.0,38.0,5523.0,652.0,15.0,1591.0,2047.0,2.9,1365.0,1794.0,285.0
Hebersham,5700.0,2797.0,2903.0,29.0,4760.0,1610.0,26.0,1450.0,1830.0,3.2,871.0,1300.0,175.0
Heckenberg,2870.0,1415.0,1455.0,30.0,2434.0,973.0,7.0,741.0,940.0,3.2,692.0,1517.0,150.0
Henley,478.0,232.0,246.0,43.0,426.0,110.0,0.0,127.0,183.0,2.9,2527.0,2500.0,360.0
Highfields,686.0,328.0,358.0,39.0,644.0,64.0,0.0,188.0,288.0,2.5,1075.0,1300.0,200.0
Hillsborough,663.0,333.0,330.0,37.0,632.0,39.0,0.0,189.0,234.0,2.9,1133.0,1083.0,215.0
Hillsdale,4567.0,2301.0,2266.0,32.0,3310.0,2495.0,44.0,1226.0,1959.0,2.5,948.0,1559.0,225.0
Hinchinbrook,10431.0,5159.0,5272.0,29.0,9128.0,4558.0,34.0,2738.0,3004.0,3.6,1228.0,1733.0,250.0
Holmesville,1542.0,768.0,774.0,34.0,1483.0,85.0,0.0,446.0,555.0,2.9,1054.0,1163.0,195.0
Holsworthy,4361.0,2353.0,2008.0,27.0,3908.0,1129.0,15.0,1092.0,1332.0,3.3,1479.0,1733.0,250.0
Homebush,7016.0,3552.0,3464.0,30.0,4337.0,3901.0,139.0,1680.0,2614.0,2.8,1111.0,2000.0,300.0
Homebush West,4172.0,2142.0,2030.0,30.0,2457.0,2695.0,61.0,1088.0,1939.0,2.4,882.0,1733.0,250.0
Horningsea Park,3515.0,1743.0,1772.0,29.0,2948.0,1232.0,8.0,908.0,1024.0,3.5,1456.0,2000.0,280.0
Hornsby,18702.0,9176.0,9526.0,35.0,14832.0,7718.0,204.0,5093.0,8078.0,2.4,1139.0,1800.0,266.0
Hornsby Heights,5898.0,2930.0,2968.0,37.0,5328.0,1463.0,23.0,1710.0,2022.0,3.0,1741.0,1838.0,340.0
Horsley,6798.0,3373.0,3425.0,32.0,6197.0,1114.0,10.0,1892.0,2211.0,3.2,1389.0,1603.0,250.0
Hoxton Park,3663.0,1812.0,1851.0,29.0,3119.0,1600.0,24.0,936.0,1092.0,3.5,1192.0,1800.0,250.0
Hunters Hill,9024.0,4572.0,4452.0,41.0,7722.0,2214.0,85.0,2007.0,3149.0,2.6,1842.0,3000.0,275.0
Huntleys Point,178.0,94.0,84.0,47.0,166.0,34.0,0.0,50.0,60.0,3.2,2666.0,2600.0,700.0
Hurlstone Park,4769.0,2343.0,2426.0,39.0,4032.0,1940.0,46.0,1324.0,1941.0,2.6,1119.0,1675.0,230.0
Hurstville,23331.0,11437.0,11894.0,33.0,16481.0,13636.0,368.0,6186.0,8851.0,2.8,968.0,1733.0,270.0
Hurstville Grove,2331.0,1165.0,1166.0,39.0,2165.0,673.0,5.0,676.0,829.0,3.1,1374.0,2000.0,320.0
Illawong,7549.0,3766.0,3783.0,38.0,7060.0,1593.0,23.0,2039.0,2307.0,3.4,1991.0,1824.0,380.0
Ingleburn,13540.0,6693.0,6847.0,35.0,11470.0,4163.0,57.0,3702.0,5222.0,2.7,1053.0,1450.0,190.0
Ingleside,272.0,139.0,133.0,38.0,240.0,56.0,0.0,71.0,99.0,3.1,1429.0,1751.0,300.0
Islington,1530.0,748.0,782.0,35.0,1211.0,160.0,8.0,336.0,801.0,2.1,731.0,1265.0,188.0
Jamisontown,4786.0,2361.0,2425.0,33.0,4275.0,839.0,12.0,1274.0,2018.0,2.5,1066.0,1376.0,210.0
Jannali,5556.0,2726.0,2830.0,36.0,5041.0,901.0,14.0,1524.0,2273.0,2.6,1159.0,1950.0,210.0
Jesmond,2441.0,1135.0,1306.0,32.0,1827.0,665.0,58.0,523.0,1145.0,2.2,552.0,1083.0,180.0
Jewells,2569.0,1283.0,1286.0,41.0,2402.0,200.0,12.0,759.0,937.0,2.8,1255.0,1430.0,240.0
Kahibah,2475.0,1228.0,1247.0,40.0,2316.0,244.0,4.0,722.0,1107.0,2.4,945.0,1300.0,200.0
Kanahooka,4939.0,2376.0,2563.0,45.0,4497.0,1059.0,8.0,1442.0,1953.0,2.6,936.0,1365.0,215.0
Kangaroo Point,577.0,288.0,289.0,44.0,532.0,126.0,6.0,177.0,213.0,3.1,2586.0,4000.0,550.0
Kanwal,3679.0,1758.0,1921.0,39.0,3313.0,441.0,5.0,1012.0,1485.0,2.6,777.0,1300.0,200.0
Kareela,2435.0,1198.0,1237.0,42.0,2294.0,522.0,10.0,752.0,872.0,2.9,1714.0,2000.0,380.0
Kariong,6113.0,3022.0,3091.0,32.0,5409.0,994.0,19.0,1671.0,2058.0,3.1,1188.0,1532.0,235.0
Kearns,2757.0,1389.0,1368.0,30.0,2549.0,537.0,5.0,729.0,873.0,3.2,1350.0,1560.0,215.0
Keiraville,3070.0,1547.0,1523.0,36.0,2422.0,916.0,117.0,738.0,1281.0,2.5,966.0,1500.0,200.0
Kellyville,18362.0,9121.0,9241.0,32.0,16078.0,5373.0,75.0,4947.0,5736.0,3.4,1870.0,2167.0,370.0
Kembla Grange,148.0,71.0,77.0,37.0,125.0,18.0,0.0,43.0,56.0,2.9,1179.0,1800.0,150.0
Kensington,10849.0,5498.0,5351.0,30.0,7408.0,4893.0,364.0,2183.0,4390.0,2.4,1171.0,2058.0,300.0
Kilaben Bay,1274.0,605.0,669.0,44.0,1183.0,166.0,16.0,364.0,517.0,2.7,1153.0,1534.0,238.0
Killara,8974.0,4173.0,4801.0,42.0,7770.0,2781.0,109.0,2379.0,3320.0,2.9,2237.0,2500.0,410.0
Killarney Heights,4135.0,2013.0,2122.0,40.0,3646.0,1308.0,44.0,1201.0,1414.0,3.1,1899.0,2350.0,500.0
Killarney Vale,6781.0,3183.0,3598.0,40.0,6218.0,656.0,8.0,1868.0,2921.0,2.5,735.0,1404.0,200.0
Kincumber,7141.0,3291.0,3850.0,43.0,6568.0,959.0,15.0,1884.0,3062.0,2.4,696.0,1408.0,210.0
Kincumber South,707.0,315.0,392.0,61.0,625.0,147.0,8.0,177.0,390.0,1.8,474.0,1207.0,126.0
Kings Langley,9213.0,4606.0,4607.0,36.0,8249.0,2382.0,33.0,2657.0,3137.0,3.0,1644.0,1700.0,280.0
Kings Park,3266.0,1664.0,1602.0,33.0,2913.0,859.0,15.0,964.0,1221.0,2.8,1327.0,1733.0,245.0
Kingsford,14234.0,7244.0,6990.0,31.0,9581.0,6558.0,256.0,3312.0,5911.0,2.6,1042.0,2015.0,315.0
Kingsgrove,10695.0,5213.0,5482.0,40.0,9344.0,4277.0,51.0,3061.0,4062.0,2.8,1042.0,1733.0,265.0
Kingswood,8182.0,4037.0,4145.0,32.0,6991.0,1839.0,79.0,2106.0,3646.0,2.4,885.0,1400.0,195.0
Kirrawee,8944.0,4321.0,4623.0,37.0,8193.0,1406.0,33.0,2501.0,3640.0,2.5,1164.0,1950.0,238.0
Kirribilli,3481.0,1684.0,1797.0,39.0,2444.0,1203.0,152.0,762.0,2400.0,1.7,1648.0,2400.0,341.0
Kogarah,11715.0,5810.0,5905.0,34.0,8207.0,6071.0,173.0,3008.0,4900.0,2.5,1025.0,1733.0,240.0
Kogarah Bay,1877.0,921.0,956.0,41.0,1705.0,526.0,15.0,517.0,692.0,2.9,1248.0,2200.0,330.0
Koolewong,870.0,438.0,432.0,45.0,720.0,148.0,3.0,221.0,404.0,2.4,1034.0,1300.0,220.0
Koonawarra,3630.0,1788.0,1842.0,34.0,3209.0,712.0,3.0,1057.0,1312.0,2.8,710.0,1213.0,136.0
Kotara,3946.0,1916.0,2030.0,40.0,3730.0,380.0,7.0,1173.0,1646.0,2.5,1024.0,1300.0,220.0
Kotara South,1161.0,567.0,594.0,39.0,1106.0,109.0,0.0,353.0,478.0,2.5,977.0,1408.0,182.0
Kurnell,2110.0,1075.0,1035.0,35.0,1870.0,350.0,3.0,577.0,773.0,2.9,1187.0,1777.0,300.0
Kyeemagh,790.0,385.0,405.0,41.0,737.0,289.0,0.0,237.0,336.0,2.7,967.0,2000.0,350.0
Kyle Bay,1268.0,618.0,650.0,41.0,1177.0,297.0,3.0,367.0,455.0,3.1,1769.0,2500.0,395.0
La Perouse,391.0,204.0,187.0,39.0,342.0,62.0,6.0,95.0,137.0,3.0,1124.0,1868.0,120.0
Lake Haven,3615.0,1662.0,1953.0,45.0,3266.0,540.0,4.0,1000.0,1586.0,2.4,609.0,1300.0,185.0
Lake Heights,2922.0,1425.0,1497.0,41.0,2567.0,1020.0,6.0,864.0,1273.0,2.5,720.0,1324.0,178.0
Lake Illawarra,3119.0,1521.0,1598.0,42.0,2737.0,598.0,6.0,843.0,1556.0,2.2,597.0,1181.0,150.0
Lakelands,1562.0,751.0,811.0,38.0,1490.0,177.0,0.0,433.0,516.0,3.1,1565.0,1323.0,230.0
Lakemba,14468.0,7542.0,6926.0,31.0,10088.0,8232.0,108.0,3513.0,5470.0,2.8,686.0,1285.0,175.0
Lalor Park,7164.0,3584.0,3580.0,36.0,6190.0,1438.0,17.0,1892.0,3021.0,2.5,773.0,1500.0,130.0
Lambton,4681.0,2223.0,2458.0,37.0,4273.0,534.0,29.0,1268.0,2038.0,2.4,928.0,1400.0,200.0
Lane Cove,9077.0,4225.0,4852.0,38.0,7549.0,2879.0,99.0,2350.0,4212.0,2.3,1562.0,2157.0,295.0
Lane Cove North,8818.0,4249.0,4569.0,34.0,7009.0,3143.0,131.0,2238.0,4293.0,2.2,1494.0,2027.0,280.0
Lane Cove West,2202.0,1059.0,1143.0,36.0,1963.0,639.0,11.0,598.0,862.0,2.7,1821.0,2383.0,315.0
Lansvale,2324.0,1199.0,1125.0,37.0,2028.0,1003.0,9.0,636.0,816.0,3.0,957.0,1500.0,200.0
Lapstone,854.0,443.0,411.0,43.0,800.0,135.0,10.0,265.0,349.0,2.6,1436.0,1600.0,260.0
Lavender Bay,910.0,429.0,481.0,37.0,671.0,260.0,113.0,230.0,608.0,1.8,1823.0,2500.0,320.0
Leichhardt,12248.0,5773.0,6475.0,35.0,10029.0,3429.0,101.0,3170.0,6027.0,2.2,1516.0,2200.0,340.0
Leonay,2414.0,1222.0,1192.0,39.0,2194.0,480.0,11.0,736.0,881.0,2.9,1711.0,1717.0,290.0
Lethbridge Park,4633.0,2244.0,2389.0,31.0,3752.0,953.0,16.0,1186.0,1726.0,2.8,635.0,1212.0,140.0
Leumeah,8661.0,4278.0,4383.0,35.0,7520.0,2129.0,31.0,2403.0,3373.0,2.7,1001.0,1400.0,180.0
Lewisham,2761.0,1330.0,1431.0,39.0,2324.0,829.0,11.0,655.0,1211.0,2.3,1138.0,1907.0,235.0
Liberty Grove,2041.0,994.0,1047.0,31.0,1506.0,1017.0,35.0,589.0,793.0,2.7,1988.0,2101.0,365.0
Lidcombe,14162.0,7129.0,7033.0,34.0,10226.0,7804.0,153.0,3460.0,4916.0,3.0,991.0,1733.0,240.0
Lilli Pilli,2179.0,1064.0,1115.0,41.0,1987.0,265.0,6.0,581.0,715.0,3.1,1976.0,2687.0,450.0
Lilyfield,6761.0,3229.0,3532.0,38.0,5664.0,1754.0,64.0,1725.0,3136.0,2.3,1431.0,2316.0,280.0
Lindfield,7349.0,3541.0,3808.0,40.0,6373.0,2362.0,59.0,1932.0,2782.0,2.8,1926.0,2450.0,331.0
Linley Point,347.0,170.0,177.0,43.0,312.0,106.0,0.0,96.0,134.0,2.8,2678.0,3325.0,465.0
Lisarow,5284.0,2582.0,2702.0,34.0,4783.0,803.0,22.0,1431.0,1729.0,3.2,1335.0,1603.0,240.0
Little Bay,1827.0,908.0,919.0,41.0,1570.0,455.0,8.0,474.0,765.0,2.6,1080.0,2112.0,117.0
Liverpool,21318.0,10528.0,10790.0,33.0,15041.0,11842.0,94.0,5219.0,8302.0,2.7,760.0,1400.0,180.0
Loftus,3981.0,2010.0,1971.0,37.0,3738.0,475.0,8.0,1163.0,1440.0,2.9,1401.0,1897.0,310.0
Long Jetty,5115.0,2432.0,2683.0,44.0,4444.0,589.0,5.0,1290.0,3056.0,2.1,599.0,1343.0,190.0
Long Point,339.0,165.0,174.0,34.0,310.0,75.0,0.0,94.0,118.0,3.1,1212.0,1517.0,160.0
Longueville,2037.0,1045.0,992.0,42.0,1846.0,393.0,19.0,551.0,685.0,3.2,2795.0,3800.0,613.0
Lugarno,5707.0,2799.0,2908.0,42.0,5300.0,1089.0,19.0,1692.0,2009.0,2.9,1530.0,2000.0,330.0
Lurnea,7462.0,3691.0,3771.0,32.0,5947.0,2446.0,17.0,1858.0,2624.0,2.9,743.0,1474.0,200.0
Macquarie Fields,12973.0,6357.0,6616.0,32.0,10595.0,3889.0,49.0,3310.0,4756.0,2.9,859.0,1400.0,170.0
Macquarie Hills,2007.0,1013.0,994.0,35.0,1895.0,164.0,14.0,584.0,690.0,3.0,1315.0,1387.0,240.0
Macquarie Links,911.0,471.0,440.0,34.0,787.0,292.0,3.0,234.0,309.0,3.5,2299.0,2500.0,420.0
Macquarie Park,5599.0,2540.0,3059.0,31.0,3416.0,2757.0,757.0,1055.0,2734.0,1.9,989.0,1625.0,255.0
Malabar,4692.0,2847.0,1845.0,41.0,2882.0,1176.0,26.0,820.0,1471.0,2.5,1034.0,2000.0,105.0
Mangerton,2804.0,1372.0,1432.0,37.0,2379.0,537.0,14.0,700.0,1213.0,2.5,1034.0,1674.0,135.0
Manly,13949.0,6877.0,7072.0,35.0,8966.0,4808.0,652.0,3091.0,7733.0,2.1,1591.0,2300.0,380.0
Manly Vale,5067.0,2522.0,2545.0,35.0,4207.0,1536.0,49.0,1359.0,2402.0,2.3,1195.0,1958.0,300.0
Marayong,6821.0,3359.0,3462.0,36.0,5847.0,2277.0,26.0,1822.0,2530.0,2.8,993.0,1517.0,200.0
Mardi,2932.0,1405.0,1527.0,33.0,2540.0,553.0,3.0,797.0,1062.0,2.8,1098.0,1700.0,230.0
Marks Point,1655.0,794.0,861.0,44.0,1531.0,128.0,4.0,461.0,879.0,2.1,636.0,1472.0,173.0
Marmong Point,395.0,205.0,190.0,48.0,378.0,30.0,0.0,109.0,200.0,2.2,861.0,1148.0,185.0
Maroubra,26538.0,12959.0,13579.0,36.0,20486.0,9869.0,320.0,6697.0,11816.0,2.4,1101.0,2167.0,300.0
Marrickville,23161.0,11437.0,11724.0,36.0,18676.0,9694.0,255.0,5727.0,9968.0,2.5,1048.0,1798.0,225.0
Marsfield,11895.0,5530.0,6365.0,34.0,8554.0,5449.0,267.0,2902.0,5125.0,2.4,1176.0,1931.0,295.0
Maryland,7603.0,3744.0,3859.0,32.0,7153.0,717.0,13.0,2172.0,2668.0,2.9,1119.0,1317.0,215.0
Maryville,1391.0,683.0,708.0,34.0,1164.0,136.0,0.0,355.0,699.0,2.2,949.0,1322.0,250.0
Mascot,8517.0,4257.0,4260.0,35.0,6697.0,3486.0,169.0,2290.0,3367.0,2.7,1109.0,2037.0,300.0
Matraville,8787.0,4167.0,4620.0,39.0,7470.0,2933.0,43.0,2332.0,3361.0,2.8,1056.0,1952.0,250.0
Mayfield,9010.0,4378.0,4632.0,37.0,8018.0,1219.0,50.0,2161.0,4308.0,2.2,676.0,1300.0,180.0
Mayfield East,1482.0,736.0,746.0,35.0,1348.0,149.0,3.0,376.0,735.0,2.2,725.0,1300.0,190.0
Mayfield West,1648.0,834.0,814.0,38.0,1485.0,174.0,0.0,436.0,774.0,2.2,677.0,1213.0,160.0
Mays Hill,694.0,358.0,336.0,35.0,539.0,302.0,11.0,167.0,272.0,2.7,1043.0,1764.0,240.0
McMahons Point,2049.0,979.0,1070.0,37.0,1435.0,681.0,58.0,492.0,1326.0,1.8,1832.0,2500.0,369.0
Meadowbank,2683.0,1378.0,1305.0,32.0,1644.0,1168.0,44.0,572.0,1500.0,1.9,1041.0,1517.0,225.0
Melrose Park,2012.0,1019.0,993.0,36.0,1783.0,545.0,3.0,558.0,739.0,2.9,1366.0,2000.0,280.0
Menai,10782.0,5288.0,5494.0,32.0,9811.0,2096.0,35.0,2917.0,3500.0,3.2,1659.0,1900.0,290.0
Merewether,10368.0,5071.0,5297.0,37.0,9557.0,1043.0,39.0,2546.0,4812.0,2.3,1116.0,1646.0,220.0
Merewether Heights,1374.0,693.0,681.0,41.0,1309.0,131.0,5.0,417.0,540.0,2.7,1359.0,1733.0,320.0
Merrylands,20895.0,10380.0,10515.0,33.0,16393.0,9321.0,130.0,5319.0,7976.0,2.8,873.0,1600.0,220.0
Merrylands West,5805.0,2764.0,3041.0,36.0,4917.0,2099.0,21.0,1459.0,2298.0,2.6,799.0,1517.0,210.0
Middle Cove,1023.0,503.0,520.0,43.0,916.0,315.0,13.0,301.0,372.0,2.9,2359.0,3000.0,571.0
Miller,2998.0,1473.0,1525.0,34.0,2487.0,916.0,6.0,717.0,1201.0,2.7,498.0,1300.0,101.0
Millers Point,2014.0,1007.0,1007.0,38.0,934.0,458.0,171.0,320.0,1195.0,1.8,1300.0,2838.0,252.0
Milperra,3886.0,1948.0,1938.0,37.0,3640.0,541.0,22.0,1146.0,1330.0,3.0,1406.0,1720.0,300.0
Milsons Point,1552.0,804.0,748.0,37.0,867.0,598.0,137.0,362.0,1054.0,1.9,2574.0,3000.0,520.0
Minchinbury,5282.0,2580.0,2702.0,30.0,4684.0,1745.0,31.0,1421.0,1594.0,3.5,1386.0,1700.0,250.0
Minmi,732.0,367.0,365.0,31.0,695.0,39.0,0.0,204.0,235.0,3.2,1121.0,1300.0,188.0
Minto,10986.0,5295.0,5691.0,29.0,9017.0,3533.0,35.0,2821.0,3793.0,3.0,883.0,1452.0,165.0
Miranda,13077.0,6270.0,6807.0,37.0,11266.0,2942.0,62.0,3523.0,5945.0,2.4,1076.0,1902.0,265.0
Mona Vale,9537.0,4644.0,4893.0,41.0,8315.0,2116.0,55.0,2490.0,3962.0,2.6,1263.0,2150.0,350.0
Monterey,4150.0,2009.0,2141.0,41.0,3336.0,1398.0,17.0,1070.0,1901.0,2.4,1019.0,1905.0,260.0
Moorebank,7599.0,3830.0,3769.0,34.0,6690.0,2132.0,14.0,2107.0,2741.0,2.9,1166.0,1733.0,223.0
Mortdale,9641.0,4729.0,4912.0,36.0,8245.0,2908.0,71.0,2549.0,4136.0,2.4,1104.0,1798.0,225.0
Mortlake,489.0,252.0,237.0,38.0,396.0,145.0,3.0,152.0,244.0,2.3,1775.0,2683.0,370.0
Mosman,26236.0,12002.0,14234.0,40.0,20945.0,7826.0,325.0,6633.0,12608.0,2.3,1916.0,2600.0,345.0
Mount Annan,8383.0,4129.0,4254.0,30.0,7706.0,1263.0,26.0,2324.0,2613.0,3.3,1594.0,1900.0,280.0
