,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Eastern Creek,256.0,26.0,90.8,9.2
Eastlakes,2556.0,140.0,94.8,5.2
Eastwood (NSW),5570.0,298.0,94.9,5.1
Edensor Park,2642.0,83.0,97.0,3.0
Edgecliff,977.0,149.0,86.8,13.2
Edgeworth,2342.0,158.0,93.7,6.3
Elanora Heights,1217.0,75.0,94.2,5.8
Elderslie (Camden - NSW),1465.0,83.0,94.6,5.4
Eleebana,1910.0,139.0,93.2,6.8
Elermore Vale,1857.0,140.0,93.0,7.0
Elizabeth Bay,2866.0,527.0,84.5,15.5
Emerton,716.0,35.0,95.3,4.7
Empire Bay,822.0,70.0,92.2,7.8
Emu Heights (NSW),1045.0,48.0,95.6,4.4
Emu Plains,2876.0,120.0,96.0,4.0
Enfield (NSW),945.0,49.0,95.1,4.9
Engadine,5695.0,205.0,96.5,3.5
Enmore (Marrickville - NSW),1444.0,134.0,91.5,8.5
Epping (NSW),7107.0,410.0,94.5,5.5
Erina,1877.0,165.0,91.9,8.1
Ermington,3191.0,184.0,94.5,5.5
Erskine Park,1890.0,57.0,97.1,2.9
Erskineville,3235.0,236.0,93.2,6.8
Eschol Park,819.0,47.0,94.6,5.4
Ettalong Beach,2107.0,515.0,80.4,19.6
Fairfield (NSW),5552.0,307.0,94.8,5.2
Fairfield East,1484.0,92.0,94.2,5.8
Fairfield Heights,2007.0,103.0,95.1,4.9
Fairfield West,3107.0,95.0,97.0,3.0
Fairlight,2239.0,292.0,88.5,11.5
Fairy Meadow,2695.0,219.0,92.5,7.5
Farmborough Heights,1371.0,70.0,95.1,4.9
Faulconbridge,1418.0,95.0,93.7,6.3
Fennell Bay,591.0,34.0,94.6,5.4
Figtree,3702.0,223.0,94.3,5.7
Five Dock,3404.0,248.0,93.2,6.8
Fletcher (NSW),795.0,34.0,95.9,4.1
Flinders (NSW),1714.0,81.0,95.5,4.5
Floraville,515.0,29.0,94.7,5.3
Forest Lodge,1171.0,101.0,92.1,7.9
Forestville (NSW),2707.0,139.0,95.1,4.9
Forresters Beach,876.0,115.0,88.4,11.6
Frenchs Forest,4173.0,213.0,95.1,4.9
Garden Suburb,643.0,38.0,94.4,5.6
Gateshead,1321.0,88.0,93.8,6.2
Georges Hall,2605.0,127.0,95.4,4.6
Georgetown (NSW),844.0,52.0,94.2,5.8
Girraween (NSW),1588.0,83.0,95.0,5.0
Gladesville,4373.0,365.0,92.3,7.7
Glebe (NSW),4791.0,484.0,90.8,9.2
Glen Alpine,1231.0,33.0,97.4,2.6
Glenbrook,1702.0,95.0,94.7,5.3
Glendale (NSW),1268.0,60.0,95.5,4.5
Glendenning,1432.0,32.0,97.8,2.2
Glenfield (NSW),2435.0,182.0,93.0,7.0
Glenhaven,1924.0,127.0,93.8,6.2
Glenmore Park,6161.0,207.0,96.7,3.3
Glenning Valley,668.0,49.0,93.2,6.8
Glenwood (NSW),4243.0,112.0,97.4,2.6
Gordon (NSW),2196.0,202.0,91.6,8.4
Gorokan,3194.0,383.0,89.3,10.7
Gosford,1645.0,189.0,89.7,10.3
Granville (NSW),4497.0,242.0,94.9,5.1
Grays Point,876.0,67.0,92.9,7.1
Green Point (Great Lakes - NSW),224.0,59.0,79.2,20.8
Green Valley (NSW),3305.0,70.0,97.9,2.1
Greenacre,6746.0,425.0,94.1,5.9
Greenfield Park,1327.0,46.0,96.6,3.4
Greenwich,1948.0,166.0,92.1,7.9
Greystanes,7089.0,363.0,95.1,4.9
Guildford (NSW),6057.0,399.0,93.8,6.2
Guildford West,1400.0,87.0,94.1,5.9
Gwynneville,1085.0,90.0,92.3,7.7
Gymea,2896.0,155.0,94.9,5.1
Gymea Bay,2181.0,109.0,95.2,4.8
Haberfield,2241.0,140.0,94.1,5.9
Halekulani,1022.0,103.0,90.8,9.2
Hamilton (NSW),1762.0,156.0,91.9,8.1
Hamilton East,333.0,25.0,93.0,7.0
Hamilton North,353.0,26.0,93.1,6.9
Hamilton South,1716.0,147.0,92.1,7.9
Hammondville,1037.0,32.0,97.0,3.0
Harrington Park,2186.0,112.0,95.1,4.9
Harris Park,1781.0,142.0,92.6,7.4
Hassall Grove,1201.0,38.0,96.9,3.1
Haymarket,1644.0,225.0,88.0,12.0
Heathcote (NSW),2019.0,74.0,96.5,3.5
Hebersham,1649.0,95.0,94.6,5.4
Heckenberg,860.0,26.0,97.1,2.9
Henley,152.0,16.0,90.5,9.5
Highfields (NSW),382.0,21.0,94.8,5.2
Hillsborough (Lake Macquarie - NSW),227.0,5.0,97.8,2.2
Hillsdale,1888.0,109.0,94.5,5.5
Hinchinbrook (NSW),2877.0,85.0,97.1,2.9
Holmesville,472.0,26.0,94.8,5.2
Holsworthy,1426.0,63.0,95.8,4.2
Homebush (NSW),1894.0,94.0,95.3,4.7
Homebush West,2090.0,106.0,95.2,4.8
Horningsea Park,1017.0,40.0,96.2,3.8
Hornsby,7605.0,478.0,94.1,5.9
Hornsby Heights,2024.0,105.0,95.1,4.9
Horsley,2203.0,86.0,96.2,3.8
Hoxton Park,1179.0,34.0,97.2,2.8
Hunters Hill,2864.0,270.0,91.4,8.6
Huntleys Point,51.0,7.0,87.9,12.1
Hurlstone Park,1766.0,116.0,93.8,6.2
Hurstville,8749.0,437.0,95.2,4.8
Hurstville Grove,755.0,53.0,93.4,6.6
Illawong,2176.0,86.0,96.2,3.8
Ingleburn,4883.0,257.0,95.0,5.0
Ingleside,366.0,27.0,93.1,6.9
Islington,794.0,67.0,92.2,7.8
Jamisontown,2024.0,92.0,95.7,4.3
Jannali,2133.0,93.0,95.8,4.2
Jesmond,1033.0,79.0,92.9,7.1
Jewells,1058.0,68.0,94.0,6.0
Kahibah,846.0,61.0,93.3,6.7
Kanahooka,1885.0,96.0,95.2,4.8
Kangaroo Point (NSW),180.0,18.0,90.9,9.1
Kanwal,1323.0,104.0,92.7,7.3
Kareela,1115.0,64.0,94.6,5.4
Kariong,2038.0,76.0,96.4,3.6
Kearns,835.0,25.0,97.1,2.9
Keiraville,1225.0,86.0,93.4,6.6
Kellyville,5860.0,303.0,95.1,4.9
Kembla Grange,72.0,13.0,84.7,15.3
Kensington (NSW),4018.0,296.0,93.1,6.9
Kilaben Bay,491.0,49.0,90.9,9.1
Killara (NSW),3107.0,389.0,88.9,11.1
Killarney Heights,1406.0,75.0,94.9,5.1
Killarney Vale,2556.0,245.0,91.3,8.7
Kincumber,2666.0,416.0,86.5,13.5
Kincumber South,395.0,8.0,98.0,2.0
Kings Langley,3007.0,125.0,96.0,4.0
Kings Park (NSW),1175.0,37.0,96.9,3.1
Kingsford (NSW),5084.0,428.0,92.2,7.8
Kingsgrove,3919.0,209.0,94.9,5.1
Kingswood (Tamworth - NSW),383.0,20.0,95.0,5.0
Kirrawee,3384.0,222.0,93.8,6.2
Kirribilli,1846.0,416.0,81.6,18.4
Kogarah,4634.0,248.0,94.9,5.1
Kogarah Bay,657.0,40.0,94.3,5.7
Koolewong,308.0,68.0,81.9,18.1
Koonawarra,1266.0,55.0,95.8,4.2
Kotara,1488.0,99.0,93.8,6.2
Kotara South,431.0,26.0,94.3,5.7
Kurnell,734.0,64.0,92.0,8.0
Kyeemagh,279.0,33.0,89.4,10.6
Kyle Bay,257.0,23.0,91.8,8.2
La Perouse,142.0,19.0,88.2,11.8
Lake Haven,1403.0,128.0,91.6,8.4
Lake Heights,1232.0,135.0,90.1,9.9
Lake Illawarra,1383.0,131.0,91.3,8.7
Lakelands (NSW),481.0,27.0,94.7,5.3
Lakemba,4785.0,249.0,95.1,4.9
Lalor Park,2623.0,161.0,94.2,5.8
Lambton,2014.0,146.0,93.2,6.8
Lane Cove,3799.0,298.0,92.7,7.3
Lane Cove North,3819.0,325.0,92.2,7.8
Lane Cove West,762.0,60.0,92.7,7.3
Lansvale,759.0,34.0,95.7,4.3
Lapstone,333.0,18.0,94.9,5.1
Lavender Bay,405.0,59.0,87.3,12.7
Leichhardt (NSW),5443.0,441.0,92.5,7.5
Leonay,822.0,45.0,94.8,5.2
Lethbridge Park,1517.0,72.0,95.5,4.5
Leumeah,3419.0,183.0,94.9,5.1
Lewisham (NSW),1095.0,104.0,91.3,8.7
Liberty Grove,705.0,41.0,94.5,5.5
Lidcombe,5131.0,229.0,95.7,4.3
Lilli Pilli (Sutherland - NSW),399.0,28.0,93.4,6.6
Lilyfield,2830.0,237.0,92.3,7.7
Lindfield,2895.0,267.0,91.6,8.4
Linley Point,119.0,10.0,92.2,7.8
Lisarow,1589.0,61.0,96.3,3.7
Little Bay,1043.0,115.0,90.1,9.9
Liverpool,7857.0,443.0,94.7,5.3
Loftus,1353.0,63.0,95.6,4.4
Long Jetty,2517.0,534.0,82.5,17.5
Long Point (Campbelltown - NSW),67.0,0.0,100.0,0.0
Longueville,635.0,37.0,94.5,5.5
Lugarno,1860.0,101.0,94.8,5.2
Lurnea,2749.0,110.0,96.2,3.8
Macquarie Fields,4398.0,207.0,95.5,4.5
Macquarie Hills,1010.0,50.0,95.3,4.7
Macquarie Links,322.0,24.0,93.1,6.9
Macquarie Park,2389.0,207.0,92.0,8.0
Malabar,1251.0,105.0,92.3,7.7
Mangerton,1077.0,100.0,91.5,8.5
Manly (NSW),6324.0,1212.0,83.9,16.1
Manly Vale,2268.0,156.0,93.6,6.4
Marayong,2458.0,118.0,95.4,4.6
Mardi,1114.0,58.0,95.1,4.9
Marks Point,765.0,93.0,89.2,10.8
Marmong Point,291.0,16.0,94.8,5.2
Maroubra,11020.0,937.0,92.2,7.8
Marrickville,9196.0,712.0,92.8,7.2
Marsfield,4692.0,343.0,93.2,6.8
Maryland (Newcastle - NSW),2626.0,88.0,96.8,3.2
Maryville,596.0,56.0,91.4,8.6
Mascot,3674.0,219.0,94.4,5.6
Matraville,3108.0,201.0,93.9,6.1
Mayfield (Newcastle - NSW),3727.0,260.0,93.5,6.5
