"address","lon","lat"
"Kiaora Lane and Kiaora Road, Double Bay NSW 2028",151.244792,-33.8775912
"Centro Shopping Centre Lady Cutler Ave, Bankstown NSW 2200",151.0394248,-33.9158183
"95 Victoria Rd, Parramatta NSW 2150",151.0159041,-33.808883
"6 Aurelia St, Toongabbie NSW 2146",150.9504258,-33.7877885
"6-10 Harrow Rd, Auburn NSW 2144",151.0317324,-33.8523244
"33 Oaks Ave, Dee Why NSW 2099",151.287697,-33.7540945
"79- 113 Sailors Bay Rd, Northbridge NSW 2063",151.2087929,-33.8100597
"5/ 14 Redfern Rd, Minto NSW 2566",150.8435466,-34.027866
"5/ 74 Hawkesbury Rd, Westmead NSW 2145",150.9853317,-33.8123547
"74B Old Bells Line Of Rd, Kurrajong NSW 2758",150.6665307,-33.5534713
"18/ 328 King St, Newtown NSW 2042",151.178801,-33.8982714
"12 Carmen Dr, Carlingford NSW 2118",151.041259,-33.7610092
"Cnr Benaud Pl and Evans Rd, Telopea NSW 2117",151.0450073,-33.7955264
"6/ 14 Oxford Rd, Ingleburn NSW 2565",150.8654798,-33.9978441
"Shop 4/ 264 Canley Vale Rd, Canley Heights NSW 2166",150.9252396,-33.884223
"341 Macquarie St, Liverpool NSW 2170",150.9215655,-33.9256941
"126 Haldon St, Lakemba NSW 2195",151.0780807,-33.9221786
"105 Pitt St, Sydney NSW 2000",151.2082615,-33.8659556
"40 King St, Newtown NSW 2042",151.1864794,-33.8928003
"167 Castlereagh St, Sydney NSW 2000",151.2089466,-33.8724176
"371 Pitt St, Sydney NSW 2000",151.2076047,-33.8760586
"580 George St, Sydney NSW 2000",151.2068292,-33.8757147
"Shop 5/ 379 Pitt St, Sydney NSW 2000",151.2086642,-33.8669728
"822 George St, Sydney NSW 2000",151.2026745,-33.8841944
"Shop 1/ 410 Sussex St, Haymarket NSW 1236",151.204948,-33.8783245
"14 Campbell St, Sydney NSW 2000",151.2061887,-33.8792101
"Cnr Shelley St & Erskine St, Sydney NSW 2000",-80.0189383,33.1931608
"Cnr Park and George Sts, Sydney NSW 2000",151.207043,-33.8729583
"128/ 158 Day St, Sydney NSW 2000",151.2038633,-33.8744224
"19-21 Hunter St, Sydney NSW 2000",151.2081999,-33.8657995
"605 George St, Sydney NSW 2000",151.2054668,-33.8775806
"376 Pitt St, Sydney NSW 2000",151.2078166,-33.8775807
"Shop 6/ 1 Pyrmont Bridge Rd, Pyrmont NSW 2009",151.1971862,-33.8702026
"130 Victoria St, Potts Point NSW 2011",151.22302,-33.871988
"Shop 4/ 24 Springfield Ave, Potts Point NSW 2011",151.2240246,-33.8729579
"261 Harris St, Pyrmont NSW 2009",151.1956993,-33.8733041
"Unit 4/ 274 Victoria St, Darlinghurst NSW 2010",151.2221526,-33.876246
"76 Oxford St, Paddington NSW 2021",151.2209859,-33.8829954
"10 Ennis Rd, Milsons Point NSW 2061",151.2122253,-33.8449561
"371 Glebe Point Rd, Glebe NSW 2037",151.184215,-33.8758542
"616 Bourke St, Surry Hills NSW 2010",151.2150004,-33.8907495
"36 Blue St, North Sydney NSW 2060",151.2074666,-33.840302
"Shop 1/ 45 Morehead St, Redfern NSW 2016",151.2094229,-33.8950071
"2 Knox St, Double Bay NSW 2028",151.2423133,-33.8770684
"125- 127 Raglan St, Waterloo NSW 2017",151.1999011,-33.8965496
"47 Booth St, Annandale NSW 2038",151.1731713,-33.8821069
"Shop 2/ 1 Hunter St, Waterloo NSW 2017",151.2071737,-33.9006486
"117 Johnston St, Annandale NSW 2038",151.1711462,-33.8810873
"224 Military Rd, Neutral Bay NSW 2089",151.2231972,-33.8312124
"224 Military Rd, Neutral Bay NSW 2089",151.2231972,-33.8312124
"259 King St, Newtown NSW 2042",151.1804805,-33.8956598
"2 Black Lion Pl, Kensington NSW 2033",151.2165289,-33.9050234
"267- 305 Military Rd, Cremorne NSW 2090",151.229441,-33.8289344
"Store 1023 L 1 500 Oxford St, Bondi Junction NSW 2022",151.242137,-33.891652
"L 1 1022 500 Oxford St, Bondi Junction NSW 2022",151.2508154,-33.8914152
"336 King St, Newtown NSW 2042",151.1784816,-33.8980587
"131 Parramatta Rd, Annandale NSW 2038",151.1667486,-33.8876982
"Shop 40 Crows Nest Plaza 103-111 Willoughby Rd, Crows Nest NSW 2065",151.2006109,-33.8264263
"253 Parramatta Rd, Annandale NSW 2038",151.1623185,-33.8878735
"330 Miller St, Cammeray NSW 2062",151.2088097,-33.8287134
"22 Burrows Rd, St Peters NSW 2044",151.1819489,-33.9177302
"220 Lyons Rd, Five Dock NSW 2046",151.14496,-33.8571901
"298 Bondi Rd, Bondi NSW 2026",151.2683097,-33.8943664
"142 Curlewis St, Bondi NSW 2026",151.2748524,-33.8890037
"155 Ramsay Rd, Haberfield NSW 2045",151.1387641,-33.8799205
"52 Perouse Rd, Randwick NSW 2031",151.2424548,-33.9204508
"136 Wairoa Ave, Bondi NSW 2026",151.2783189,-33.8884083
"8A Sloane St, Summer Hill NSW 2130",151.1391758,-33.8896222
"1077 Botany Rd, Mascot NSW 2020",151.1952106,-33.9283863
"45 Gladesville Rd, Hunters Hill NSW 2110",151.1429596,-33.8338582
"45 Gladesville Rd, Hunters Hill NSW 2110",151.1429596,-33.8338582
"337 Illawarra Rd, Marrickville NSW 2204",151.1544309,-33.9125626
"350 Illawarra Rd, Marrickville NSW 2204",151.1522774,-33.9143951
"394 Illawarra Rd, Marrickville NSW 2204",151.1498995,-33.9158808
"63 High St, Hunters Hill NSW 2110",151.1403767,-33.8218477
"5 Station St, Ashfield NSW 2131",151.1261728,-33.8873485
"192 Liverpool Rd, Ashfield NSW 2131",151.1265578,-33.8899472
"306 Liverpool Rd, Ashfield NSW 2131",151.1224924,-33.8878146
