"SSC_2006_NAME","SSC_CODE_2001","SSC_CODE_2006","SSC_CODE_2011","SSC_CODE_2016"
"Mays Hill",12511,11641,11495,12538
"McMahons Point",12516,11643,11500,12547
"Meadowbank",12521,11645,11502,12550
"Melrose Park",12526,11647,11508,12563
"Menai",12531,11649,11511,12567
"Merewether",16311,14331,11517,12573
"Merewether Heights",16316,14336,11518,12574
"Merrylands",12536,11651,11524,12588
"Merrylands West",12541,11653,11525,12589
"Middle Cove",12546,11655,11533,12602
"Miller",12551,11657,11537,12617
"Millers Point",12556,11659,11539,12619
"Milperra",12561,11661,11543,12625
"Milsons Point",12566,11663,11545,12629
"Minchinbury",12571,11665,11547,12633
"Minmi",16321,14341,11549,12638
"Minto",12576,11667,11553,12642
"Miranda",12581,11669,11555,12645
"Mona Vale",12586,11671,11573,12672
"Monterey",12591,11673,11578,12686
"Moorebank",12596,11675,11590,12712
"Mortdale",12601,11677,11597,12728
"Mortlake",12606,11679,11598,12729
"Mosman",12611,11681,11603,12738
"Mount Annan",12616,11683,11608,12745
"Mount Colah",12621,11685,11612,12750
"Mount Druitt",12626,11687,11613,12756
"Mount Hutton",16326,14346,11618,12766
"Mount Keira",17151,15166,11619,12768
"Mount Kembla",17156,15171,11620,12769
"Mount Lewis",12636,11691,11622,12774
"Mount Ousley",17161,15176,11624,12782
"Mount Pleasant",17166,15181,11625,12784
"Mount Pritchard",12641,11693,11626,12785
"Mount Riverview",12646,11695,11628,12788
"Mount Saint Thomas",17171,15186,11630,12791
"Mount Warrigal",17176,15191,11636,12801
"Narara",15196,13256,11681,12895
"Narellan",12651,11697,11682,12896
"Narellan Vale",12656,11699,11683,12897
"Naremburn",12661,11701,11684,12898
"Narrabeen",12666,11703,11686,12902
"Narraweena",12671,11705,11691,12910
"Narwee",12676,11707,11693,12912
"Neutral Bay",12681,11709,11708,12934
"New Lambton",16331,14351,11714,12942
"New Lambton Heights",16336,14356,11715,12943
"Newcastle",16341,14361,11717,12949
"Newcastle East",16346,14366,11718,12950
"Newcastle West",16351,14371,11719,12951
"Newington",12686,11711,11721,12953
"Newport",12691,11713,11722,12956
"Newtown",12696,11715,11724,12960
"Niagara Park",15201,13261,11725,12961
"Norah Head",15206,13266,11730,12973
"Noraville",15211,13271,11731,12974
"Normanhurst",12701,11717,11733,12976
"North Avoca",15216,13276,11736,12980
"North Balgowlah",12706,11719,11737,12981
"North Bondi",12711,11721,11740,12984
"North Curl Curl",12716,11723,11743,12988
"North Epping",12721,11725,11745,12990
"North Gosford",15221,13281,11746,12991
"North Lambton",16356,14376,11748,12993
"North Manly",12726,11727,11751,12997
"North Narrabeen",12731,11729,11753,12999
"North Parramatta",12736,11731,11755,13001
"North Rocks",12741,11733,11757,13003
"North Ryde",12746,11735,11759,13005
"North St Marys",12751,11737,11761,13007
"North Strathfield",12756,11739,11763,13009
"North Sydney",12761,11741,11764,13010
"North Turramurra",12766,11743,11767,13013
"North Wahroonga",12771,11745,11769,13015
"North Willoughby",12776,11747,11770,13016
"North Wollongong",17181,15196,11771,13017
"Northbridge",12781,11749,11773,13022
"Northmead",12786,11751,11774,13023
"Northwood",12791,11753,11775,13024
"Oak Flats",17186,15201,11791,13053
"Oakhurst",12796,11755,11794,13058
"Oatlands",12801,11757,11798,13063
"Oatley",12806,11759,11799,13064
"Old Guildford",12811,11761,11807,13077
"Old Toongabbie",12816,11763,11809,13081
"Ourimbah",15226,13286,11821,13103
"Oxley Park",12826,11765,11824,13110
"Oyster Bay",12831,11767,11826,13112
"Paddington",12836,11769,11827,13115
"Padstow",12841,11771,11829,13120
"Padstow Heights",12846,11773,11830,13121
"Pagewood",12851,11775,11831,13125
"Palm Beach",12856,11777,11833,13132
"Panania",12861,11779,11838,13144
"Parramatta",12871,11783,11844,13156
"Peakhurst",12876,11785,11850,13168
"Peakhurst Heights",12881,11787,11851,13169
"Pearl Beach",15231,13291,11852,13171
"Pelican",16361,14381,11856,13178
"Pendle Hill",12886,11791,11859,13182
"Pennant Hills",12891,11793,11860,13183
"Penrith",12896,11795,11861,13184
"Penrose",17191,15206,11863,13185
"Penshurst",12901,11797,11864,13186
"Petersham",12906,11799,11866,13190
"Phillip Bay",12911,11801,11869,13193
"Picnic Point",12916,11803,11874,13199
"Plumpton",12921,11805,11886,13230
"Point Clare",15236,13301,11887,13231
"Point Frederick",15241,13306,11888,13232
"Point Piper",12926,11807,11889,13233
"Port Kembla",17196,15211,11897,13245
"Potts Point",12931,11809,11905,13256
"Prairiewood",12936,11811,11907,13258
"Prestons",12941,11813,11909,13260
"Primbee",17201,15216,11911,13264
"Prospect",12946,11815,11913,13266
"Punchbowl",12951,11817,11916,13274
"Putney",12956,11819,11918,13277
"Pymble",12961,11821,11921,13281
"Pyrmont",12966,11823,11923,13284
"Quakers Hill",12971,11825,11925,13286
"Queens Park",12976,11827,11931,13294
"Raby",12981,11831,11936,13303
"Ramsgate",12986,11833,11941,13309
"Ramsgate Beach",12991,11835,11942,13310
"Randwick",12996,11837,11944,13312
"Rankin Park",16366,14386,11945,13315
"Redfern",13001,11839,11959,13339
"Redhead",16371,14391,11960,13340
"Regents Park",13006,11841,11962,13345
"Regentville",13011,11843,11963,13346
"Revesby",13016,11845,11966,13355
"Revesby Heights",13021,11847,11967,13356
"Rhodes",13026,11849,11968,13358
"Riverstone",13031,11851,11974,13368
"Riverview",13036,11853,11976,13370
"Riverwood",13041,11855,11977,13371
"Rockdale",13046,11857,11983,13379
"Rocky Point",15246,13316,11985,13388
"Rodd Point",13051,11859,11987,13391
"Rooty Hill",13056,11861,11989,13395
"Rose Bay",13061,11863,11991,13398
"Rosebery",13066,11865,11994,13405
"Roselands",13076,11867,11998,13409
"Rosemeadow",13081,11869,11999,13410
"Roseville",13086,11871,12000,13412
"Roseville Chase",13091,11873,12001,13413
"Rouse Hill",13096,11875,12010,13429
"Rozelle",13101,11877,12014,13435
"Ruse",13106,11879,12016,13443
"Rushcutters Bay",13111,11881,12017,13444
"Russell Lea",13116,11883,12018,13447
"Russell Vale",17206,15221,12019,13448
"Rydalmere",13121,11885,12022,13453
"Ryde",13126,11887,12023,13454
"Sadleir",13131,11889,12029,13461
"San Remo",15251,13321,12035,13470
"Sandringham",13136,11891,12039,13478
"Sans Souci",13141,11893,12044,13489
"Saratoga",15256,13326,12046,13492
"Scarborough",17211,15226,12051,13500
"Schofields",13146,11895,12052,13502
"Scotland Island",13151,11897,12054,13505
"Seaforth",13156,11899,12056,13509
"Sefton",13161,11901,12062,13516
"Seven Hills",13166,11903,12064,13518
"Shalvey",13171,11905,12066,13523
"Shell Cove",17216,15231,12070,13532
"Shellharbour",17221,15236,12071,13533
"Shelly Beach",15261,13331,12073,13535
"Shortland",16381,14406,12077,13542
"Silverwater",13176,11907,12080,13547
"Smithfield",13181,11911,12086,13559
"South Coogee",13186,11913,12097,13579
"South Granville",13191,11915,12101,13583
"South Hurstville",13196,11917,12105,13587
"South Penrith",13201,11919,12114,13596
"South Turramurra",13206,11921,12116,13598
"South Wentworthville",13211,11923,12117,13599
"Speers Point",16386,14411,12122,13605
"Springfield",15266,13336,12134,13624
"Springwood",13216,11925,12138,13629
"St Andrews",13221,11927,12140,13631
"St Clair",13226,11929,12141,13633
"St Helens Park",13231,11931,12144,13637
"St Huberts Island",15271,13341,12145,13638
"St Ives",13236,11933,12146,13639
"St Ives Chase",13241,11935,12147,13640
"St Johns Park",13246,11937,12148,13641
"St Leonards",13251,11939,12149,13642
"St Marys",13256,11941,12150,13643
"St Peters",13261,11943,12151,13644
"Stanhope Gardens",13266,11945,12154,13649
"Stanmore",13271,11947,12155,13650
"Stockton",16391,14416,12159,13662
"Strathfield",13276,11949,12164,13675
"Strathfield South",13281,11951,12165,13676
"Summer Hill",13286,11953,12173,13687
"Surry Hills",13291,11955,12182,13699
"Sutherland",13296,11957,12184,13701
"Swansea",16396,14421,12189,13711
"Swansea Heads",16401,14426,12190,13712
"Sydenham",13301,11959,12191,13714
"Sydney",13306,11961,12192,13715
"Sylvania",13311,11963,12194,13717
"Sylvania Waters",13316,11965,12195,13718
"Tacoma",15276,13351,12198,13724
"Tacoma South",15281,13356,12199,13725
"Tamarama",13321,11967,12206,13741
"Taren Point",13331,11969,12221,13766
"Tarrawanna",17226,15241,12223,13769
"Tascott",15286,13361,12225,13772
"Tempe",13336,11971,12237,13785
